,annualAccountsReceivable,trailingInvestingCashFlow,quarterlyOtherCurrentLiabilities,annualPurchaseOfInvestment,annualInvestingCashFlow,quarterlyDilutedEPS,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,trailingPretaxIncome,trailingSaleOfInvestment,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualTotalAssets,trailingNetIncome,annualNonCurrentDeferredTaxesLiabilities,trailingCashDividendsPaid,annualStockholdersEquity,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,annualLongTermDebt,trailingNetOtherInvestingChanges,annualDepreciationAndAmortization,quarterlyCommonStockIssuance,quarterlyCostOfRevenue,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,annualCurrentLiabilities,quarterlyAccountsReceivable,quarterlyGoodwill,annualDilutedAverageShares,annualRetainedEarnings,annualGoodwill,annualOtherShortTermInvestments,annualCommonStockIssuance,annualSaleOfInvestment,quarterlyLongTermDebt,quarterlyInventory,quarterlyCashAndCashEquivalents,annualDilutedEPS,annualCapitalStock,trailingOperatingIncome,annualTotalRevenue,trailingResearchAndDevelopment,annualAccountsPayable,annualOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBasicAverageShares,trailingGrossProfit,annualNetPPE,quarterlyCashDividendsPaid,annualOtherIntangibleAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCashCashEquivalentsAndMarketableSecurities,annualEndCashPosition,quarterlyCapitalStock,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,trailingTotalRevenue,annualOperatingIncome,quarterlyCurrentDebt,quarterlyFreeCashFlow,annualCashAndCashEquivalents,trailingChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentAssets,annualGrossPPE,annualNetOtherInvestingChanges,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,trailingEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyTotalAssets,quarterlyTotalLiabilitiesNetMinorityInterest,annualPretaxIncome,quarterlyNetOtherFinancingCharges,quarterlyTotalNonCurrentAssets,annualOtherNonCurrentLiabilities,trailingCapitalExpenditure,quarterlyGrossPPE,quarterlySaleOfInvestment,annualCapitalExpenditure,annualSellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,annualOtherNonCurrentAssets,trailingInterestExpense,trailingOperatingExpense,quarterlyNonCurrentDeferredRevenue,quarterlyDilutedAverageShares,quarterlyChangeInWorkingCapital,trailingNetIncomeContinuousOperations,trailingBeginningCashPosition,annualCurrentAssets,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,annualBasicEPS,trailingNetIncomeCommonStockholders,quarterlyBasicEPS,annualRepaymentOfDebt,annualEbitda,annualChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,annualNetIncomeCommonStockholders,quarterlyStockholdersEquity,quarterlyEbitda,quarterlyGrossProfit,quarterlyInvestingCashFlow,annualNetOtherFinancingCharges,quarterlyEndCashPosition,quarterlyOperatingExpense,annualInterestExpense,quarterlyChangeInInventory,annualCostOfRevenue,annualOtherCurrentAssets,quarterlyOtherNonCashItems,quarterlyNonCurrentDeferredTaxesLiabilities,annualResearchAndDevelopment,annualTotalNonCurrentAssets,trailingFreeCashFlow,quarterlySellingGeneralAndAdministration,annualGrossProfit,quarterlyTaxProvision,quarterlyRetainedEarnings,annualInventory,annualTotalLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,annualChangeInInventory,annualTaxProvision,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,trailingCostOfRevenue,quarterlyPretaxIncome,quarterlyNetPPE,annualNetIncomeContinuousOperations,quarterlyCapitalExpenditure,quarterlyOperatingIncome,annualOtherNonCashItems,quarterlyTotalRevenue,trailingTaxProvision,annualBasicAverageShares,annualFreeCashFlow,annualOperatingExpense,trailingSellingGeneralAndAdministration,annualCashDividendsPaid,annualCurrentDebt,annualPurchaseOfBusiness,annualBeginningCashPosition,annualNetIncome,trailingPurchaseOfInvestment,annualStockBasedCompensation,trailingCashFlowFromContinuingFinancingActivities,trailingDilutedEPS,quarterlyCashFlowFromContinuingFinancingActivities,annualAccumulatedDepreciation,annualCashFlowFromContinuingFinancingActivities,trailingDilutedAverageShares,quarterlyStockBasedCompensation,quarterlyCurrentDeferredRevenue,trailingCommonStockIssuance,trailingStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,annualCurrentAccruedExpenses,quarterlyChangesInAccountReceivables,trailingPurchaseOfBusiness,quarterlyPurchaseOfBusiness,annualDeferredIncomeTax,trailingOperatingCashFlow,annualInvestmentsAndAdvances,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIncomeExpense,quarterlyDeferredIncomeTax,trailingChangesInAccountReceivables,trailingChangeInWorkingCapital,quarterlyAccumulatedDepreciation,trailingChangeInInventory,quarterlyInvestmentsAndAdvances,annualChangesInAccountReceivables,annualGainsLossesNotAffectingRetainedEarnings,trailingBasicEPS,annualChangeInAccountPayable,quarterlyChangeInAccountPayable,trailingOtherIncomeExpense,quarterlyCurrentAccruedExpenses,annualOtherIncomeExpense,trailingChangeInAccountPayable,annualIncomeTaxPayable,quarterlyIncomeTaxPayable,annualCurrentDeferredRevenue,trailingBasicAverageShares,annualRepurchaseOfCapitalStock,trailingDeferredIncomeTax,trailingDepreciationAndAmortization,trailingOtherNonCashItems,trailingRepurchaseOfCapitalStock
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041292800,1900142127.0,,,-7014429.0,-2601906098.0,,,,,,,,,54867147082.0,,,,2267583364.0,,,14328453819.0,,3091611900.0,,,,717963502.0,22106762075.0,,,,,,0.0,311485197.0,249606560.0,,,,,2267583364.0,,25060086132.0,,3794350470.0,7096909553.0,,,,41991877747.0,,56605158.0,29039774251.0,4035340469.0,4035340469.0,,,,,3277213671.0,,,4035340469.0,,,41991877747.0,-243430236.0,,,,,,,,,1049190568.0,,,13494800283.0,,,,-2892123792.0,2788202681.0,,310238278.0,,,,,,,,10881507094.0,,,,,,-8546079985.0,6977223588.0,-386700654.0,5212781514.0,,827805709.0,,,,,-3910918313.0,,,2836421120.0,,18393953364.0,0.0,,,,43985639988.0,,,6666132768.0,,,896082571.0,51146536326.0,,-23451470.0,24055101.0,,,,,,,1025135467.0,,,2808417610.0,,,,4204785761.0,3388919097.0,,-2492673463.0,8947886297.0,,3977044649.0,827805709.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072828800,1979154628.0,,,-4000000.0,-4309226457.0,,,,,,,,,52766505992.0,,,,4274911984.0,,,12819820824.0,,3215386999.0,,,,1934899280.0,21091729284.0,,,,,,0.0,3332228459.0,86156140.0,,,,,4274911984.0,,24791766142.0,,5484377401.0,7632226485.0,,,,41863784207.0,,75273903.0,26064807793.0,3860829657.0,3860829657.0,,,,,2664002686.0,,,3860829657.0,,,41863784207.0,-812546027.0,,,,,,,,,159977715.0,,,12096116142.0,,,,-3742624316.0,2680591026.0,,269368952.0,,,,,,,,8842393029.0,,,,,,-11110894936.0,5854437901.0,-1005882222.0,5227547718.0,,215429423.0,,,,,906143569.0,,,2479073187.0,,19175577433.0,0.0,,,,43924112963.0,,,5616188709.0,,,866921635.0,47156537077.0,,-10928742.0,20065489.0,,,,,,,139912226.0,,,2427102553.0,,,,3889602169.0,2952186023.0,,-2177408557.0,7121978355.0,,4866711879.0,215429423.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104451200,2374364558.0,,,-970398410.0,-6627220636.0,,,,,,,,,67846183680.0,,,,17013695963.0,,,12896621763.0,,3620805874.0,,,,400978431.0,23775815730.0,,,,179495104.0,,0.0,9239630112.0,180527272.0,,,,0.282958,9050618182.0,,34938509878.0,,4938934549.0,8190786144.0,,,,49213438035.0,,443172431.0,24398603994.0,10209109046.0,9771028846.0,,,,,4503024685.0,,,10209109046.0,,,49213438035.0,873935236.0,,,,,,,,,3223002886.0,,,10576241322.0,,,,-6824751427.0,3557808603.0,,1041355544.0,,,,,,,,14574567663.0,,,0.282958,,,-11008879084.0,8650132146.0,7186567073.0,5104335613.0,,2560940617.0,,,,,7461485673.0,,,1806323386.0,,26016601301.0,0.0,,,,53271616017.0,,,8921908577.0,,,883674443.0,48174419724.0,,14969734.0,381069423.0,,,,,,,2841933463.0,,,1724024460.0,,,,1366034717.0,4418883892.0,,-1842977013.0,7198151929.0,,2584461773.0,2560940617.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135987200,3063389632.0,,6731549239.0,,-11682260354.0,,,8078671119.0,,,,,,69061959812.0,,,,19840022241.0,,,13182992319.0,,4150061455.0,,,0.0,340935970.0,24235406601.0,3063389632.0,,,1582711272.0,,0.0,1172096507.0,266298811.0,13182992319.0,1090691416.0,2744162242.0,0.181199,9433210909.0,,40303243079.0,,5331381051.0,7067694168.0,2744162242.0,,,57294210884.0,,506023465.0,22214760732.0,2744162242.0,2396711651.0,9433210909.0,,,,3231336824.0,7477497937.0,,2744162242.0,,918013874.0,57294210884.0,310891190.0,,,,,506023465.0,,69061959812.0,46450167333.0,2558571777.0,,61035063199.0,8078671119.0,,57294210884.0,,-12361034821.0,4085630459.0,,918013874.0,,,,,,,,8026896613.0,107459765.0,5331381051.0,0.181199,,,-9181041303.0,7548681662.0,-7374317195.0,6731549239.0,,1709286955.0,19840022241.0,,,,-2764513834.0,,,840048430.0,,32014850658.0,107459765.0,,,,61035063199.0,,,8288392421.0,,1582711272.0,1090691416.0,46450167333.0,8026896613.0,-207016973.0,642353985.0,24235406601.0,22214760732.0,,,,57294210884.0,1916217792.0,,,751576920.0,,,,-5293340653.0,5057055597.0,,-1839697433.0,7477497937.0,,9771028846.0,1709286955.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151625600,,,7327519525.0,,,,,8444754044.0,,,,,,,,,,,,,,,,,,0.0,,,2930808163.0,,,,,,,,13488188564.0,1230633149.0,2818506676.0,,,,,,,,2818506676.0,,,,,,,,,9433210909.0,,,,,9655429068.0,,,,867439958.0,,,,,,,497063114.0,,72058486640.0,49620106915.0,,,63519971346.0,,,59840565984.0,,,,,,,,,,,,,,201120549.0,6095222318.0,,,,,,,,,,19638429393.0,,,,,,,,,,,,,,,,,,,1403021570.0,,,8538515294.0,,,26628902874.0,22991204041.0,,,,59840565984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159574400,,,8017795795.0,,,0.269321,2794320699.0,10381677219.0,4932732944.0,,,3299551752.0,4149203004.0,,,,,,,,,,,,10886827242.0,0.0,,,3491476867.0,,,,,,,,13658841974.0,1269432701.0,7743619489.0,,,,,,,,7743619489.0,,,,-248070029.0,,,,,12251362273.0,2624140007.0,,,,8259549650.0,1639810148.0,,,47802946.0,,,-5422473448.0,151729573.0,,3299551752.0,491016370.0,1155573851.0,87603528236.0,52475459046.0,,7894500683.0,73265761349.0,,,61802631015.0,543321118.0,,,22027240.0,,,,,,333868499.0,,,,198904926.0,6566286464.0,,,0.269321,,,,,,,31474526314.0,5669322823.0,3169802118.0,-6017225557.0,,7556872951.0,1722465834.0,,-38799552.0,,,102025811.0,,,,,1383495237.0,,212816395.0,4702573322.0,,,14337766887.0,,,27310891023.0,25164568023.0,-10356501704.0,,4362019399.0,61802631015.0,,-1154510551.0,1447336284.0,,14056629360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167523200,3233145945.0,,6967381313.0,-7097987580.0,-11697742027.0,,1562907265.0,11247854864.0,-3821397349.0,,,-153274462.0,-65607837.0,87117437291.0,,,,31239979582.0,,,13251205546.0,,4571602621.0,-19605010.0,10423400678.0,0.0,2352643284.0,26560523784.0,3233145945.0,,,4131428229.0,,0.0,8570348048.0,578758474.0,13251205546.0,1253973381.0,5517756738.0,0.260492,12251362273.0,,47330878921.0,,6272900877.0,7398569874.0,5517756738.0,,,64065508768.0,-897833597.0,552460495.0,25639294839.0,5517756738.0,3121045087.0,12251362273.0,7556872951.0,,,2440875386.0,8509374500.0,207747281.0,5517756738.0,,2111564076.0,64065508768.0,538010481.0,-1631869988.0,1024921387.0,,-153274462.0,552460495.0,1237390525.0,87117437291.0,52199818623.0,4865408358.0,-206518299.0,75659015427.0,11247854864.0,,64065508768.0,-9844539.0,-6156084475.0,4806931231.0,330143762.0,2111564076.0,,,,,2093768922.0,,,11458421864.0,165281917.0,6272900877.0,0.260492,,,-13584240019.0,11352682053.0,1338763951.0,6967381313.0,,3191381004.0,31239979582.0,2627499258.0,1842669229.0,-2394674132.0,6426426290.0,3121045087.0,1705585600.0,1915671074.0,342023250.0,38969320898.0,165281917.0,90394722.0,,,75659015427.0,,1452005158.0,8361558023.0,430795183.0,4131428229.0,1253973381.0,52199818623.0,11458421864.0,163281965.0,689625300.0,26560523784.0,25639294839.0,1725139403.0,,365187346.0,64065508768.0,4175783058.0,-1355159984.0,137083629.0,895546118.0,12266069907.0,,,1242485399.0,5920682637.0,,-2128900994.0,8509374500.0,,1782281136.0,3191381004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175299200,,,6313000000.0,,,0.03,,60000000.0,-1655000000.0,,,423000000.0,403000000.0,,,,,,,,,,,,9123000000.0,153000000.0,,,2739000000.0,1322000000.0,,,,,,,14997000000.0,711000000.0,3291000000.0,,,,,,,,3444000000.0,14100000000.0,,,-465000000.0,,,,,12251000000.0,3201000000.0,,,,8971000000.0,-737000000.0,,,0.0,,,-3032000000.0,217000000.0,,423000000.0,519000000.0,,82796000000.0,52132000000.0,,0.0,74322000000.0,,,59973000000.0,35000000.0,,,62000000.0,,,,,14100000000.0,,,,,0.0,7168000000.0,,,0.03,,,,,,,30482000000.0,717000000.0,1348000000.0,-5223000000.0,,1546000000.0,1095000000.0,,,,,,,,,,841000000.0,,97000000.0,4654000000.0,,,8474000000.0,,,25687000000.0,26445000000.0,-4091000000.0,,500000000.0,59973000000.0,,-2305000000.0,253000000.0,,10471000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183161600,,,6900182000.0,,,,,10120669000.0,857650000.0,,,877297000.0,820061000.0,,,,,,,,,,,,9988618000.0,212572000.0,,,3374680000.0,131945000.0,,,,,,,15493946000.0,746054000.0,3935981000.0,,,,,,,,4148553000.0,,,,-970177000.0,,,,,12251362000.0,,,,,9600422000.0,-286254000.0,,,0.0,,,-955000.0,756627000.0,,877297000.0,525322000.0,,83605470000.0,54203006000.0,,-1576813000.0,73941211000.0,,,61180949000.0,2964495000.0,,,-2431421000.0,,,,,,,,,,0.0,7446394000.0,,,,,,,,,,29227757000.0,1956630000.0,2284401000.0,-2010210000.0,,,1323222000.0,,,,,,,,,,1031132000.0,,379942000.0,4662805000.0,,,9664259000.0,,,27345304000.0,26857702000.0,-1244419000.0,,1200003000.0,61180949000.0,,-2592443000.0,961179000.0,,12273019000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
