,annualOperatingIncome,annualAccountsPayable,annualResearchAndDevelopment,annualTotalRevenue,trailingFreeCashFlow,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentLiabilities,quarterlyBasicEPS,quarterlyCurrentAssets,annualOtherCurrentAssets,annualOtherShortTermInvestments,trailingChangeInAccountPayable,quarterlyOtherNonCashItems,quarterlyDepreciationAndAmortization,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlySellingGeneralAndAdministration,annualChangeInAccountPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualEndCashPosition,annualTaxProvision,annualChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyBasicAverageShares,trailingTotalRevenue,trailingCostOfRevenue,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,trailingTaxProvision,annualNetIncomeContinuousOperations,trailingEndCashPosition,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualCurrentDebt,annualPretaxIncome,annualCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyTotalAssets,annualCostOfRevenue,trailingOperatingIncome,annualFreeCashFlow,quarterlyNetIncomeCommonStockholders,annualNetIncome,quarterlyTotalNonCurrentAssets,annualBasicEPS,quarterlyNetIncomeContinuousOperations,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,trailingSaleOfInvestment,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedAverageShares,annualRepurchaseOfCapitalStock,trailingPretaxIncome,annualTotalAssets,annualCurrentAssets,annualStockholdersEquity,quarterlyOtherCurrentAssets,annualLongTermDebt,annualNetIncomeCommonStockholders,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,annualDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,trailingNetOtherInvestingChanges,trailingNetIncomeCommonStockholders,annualCurrentAccruedExpenses,annualCurrentLiabilities,annualRetainedEarnings,quarterlyStockholdersEquity,quarterlyChangeInInventory,annualSaleOfInvestment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,annualCommonStockIssuance,trailingOperatingCashFlow,trailingRepurchaseOfCapitalStock,quarterlyEndCashPosition,quarterlyInventory,quarterlyGrossProfit,annualAccountsReceivable,quarterlyInvestingCashFlow,quarterlyOtherIncomeExpense,quarterlyChangeInAccountPayable,quarterlyOperatingExpense,trailingGrossProfit,annualNetPPE,annualTotalNonCurrentAssets,annualOperatingCashFlow,quarterlyCurrentDeferredRevenue,annualOtherIncomeExpense,annualCashCashEquivalentsAndMarketableSecurities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,annualOtherIntangibleAssets,annualGrossProfit,quarterlyCapitalStock,trailingRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,annualCashFlowFromContinuingFinancingActivities,annualEbitda,annualDilutedAverageShares,quarterlyNetPPE,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,trailingChangeInCashSupplementalAsReported,annualGrossPPE,annualDilutedEPS,annualChangeInInventory,trailingCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,annualOtherNonCashItems,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,trailingDepreciationAndAmortization,quarterlyOtherNonCurrentAssets,annualBasicAverageShares,quarterlyAccumulatedDepreciation,annualIncomeTaxPayable,quarterlyOtherIntangibleAssets,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,annualPurchaseOfBusiness,trailingOtherIncomeExpense,quarterlyDilutedEPS,quarterlyNetOtherFinancingCharges,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,annualDeferredIncomeTax,annualCapitalExpenditure,annualInvestingCashFlow,trailingInvestingCashFlow,trailingOperatingExpense,annualOperatingExpense,trailingSellingGeneralAndAdministration,quarterlyGrossPPE,trailingCapitalExpenditure,annualPurchaseOfInvestment,quarterlyRepurchaseOfCapitalStock,trailingDeferredIncomeTax,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,annualAccumulatedDepreciation,trailingBeginningCashPosition,quarterlyResearchAndDevelopment,quarterlyChangeInWorkingCapital,trailingPurchaseOfInvestment,trailingNetIncomeContinuousOperations,annualNonCurrentDeferredTaxesLiabilities,trailingInterestExpense,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,trailingNetIncome,quarterlyDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,trailingChangeInInventory,quarterlyStockBasedCompensation,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,quarterlyCommonStockIssuance,trailingStockBasedCompensation,annualNetOtherFinancingCharges,quarterlyOtherShortTermInvestments,annualChangeInCashSupplementalAsReported,quarterlyEbitda,annualInventory,trailingChangeInWorkingCapital,annualRepaymentOfDebt,annualCapitalStock,annualStockBasedCompensation,annualGoodwill,annualInterestExpense,trailingBasicAverageShares,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,trailingCommonStockIssuance,annualChangesInAccountReceivables,trailingPurchaseOfBusiness,annualCashDividendsPaid,quarterlyNonCurrentDeferredRevenue,trailingOtherNonCashItems,annualNonCurrentDeferredRevenue,annualInvestmentsAndAdvances,trailingBasicEPS,trailingDilutedEPS,trailingChangesInAccountReceivables,quarterlyCashDividendsPaid,trailingCashDividendsPaid,trailingResearchAndDevelopment,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765072000,,,,,,,300000.0,-0.0025,600000.0,,,,100000.0,100000.0,,1100000.0,,,,,,,-2100000.0,42528000.0,,,,1600000.0,,,,,,,,,300000.0,-100000.0,1700000.0,,,,,,1100000.0,,,,,,,,42528000.0,,,,,,0.0,,,500000.0,,,,0.0,,,,,,,1400000.0,,,,,,,,0.0,300000.0,1100000.0,,-100000.0,,,1200000.0,,,,,,,,200000.0,200000.0,,,,,300000.0,,,,,1100000.0,,,,,,,,,,,-100000.0,0.0,,,0.0,,,,,,,,,-0.0025,,,,,,,,,,,,,,,,0.0,-100000.0,,,,-200000.0,,,,,-100000.0,100000.0,,,,200000.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
772934400,,,,,,,,0.0025,,,,,,,,,,,,,,,,42528000.0,,,,1800000.0,,,,,,,,,,,,,,,,,,,,,,,,,42528000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,1800000.0,,,,,,,,,,,,,,,1800000.0,,,,,,,,,,,,,,,,,,,,,,,,,
780883200,,,,,,,,0.0,,,,,,,,,,,,,,,,42528000.0,,,,1900000.0,,,,,,,,,,,,,,,,,,,,,,,,,42528000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1900000.0,,,,,,,,,,,,,,,1900000.0,,,,,,,,,,,,,,,,,,,,,,,,,
788832000,7300000.0,,,7300000.0,,,,,,,,,,,,,,,,,,,,,,,,2000000.0,,300000.0,,,,,,,,,,,,,,300000.0,,0.0075,,,,,,,,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7300000.0,40000000.0,,,,,,,0.0075,,,,,,,,,,40000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000.0,,,,,,,,,,,,,,,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
796608000,,,,,,,,0.0125,,,,,,,,,,,,,,,,40000000.0,,,,6100000.0,,,,,,,,,,,,,,,500000.0,,,,500000.0,,,,500000.0,,40000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0125,,,,,,,,,,,,,,,,,,,,,,,,,,6100000.0,,,,,,,,,,,,,,,6100000.0,,,,,,,,,,,,,,,,,,,,,,,,,
804470400,,,,,,,,0.0125,,,,,,,,,,,,,,,,48000000.0,,,,6100000.0,,,,,,,,,,,,,,,600000.0,,,,600000.0,,,,600000.0,,48000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0125,,,,,,,,,,,,,,,,,,,,,,,,,,6100000.0,,,,,,,,,,,,,,,6100000.0,,,,,,,,,,,,,,,,,,,,,,,,,
812419200,,,,,,,2200000.0,0.0125,4500000.0,,,,,,,4500000.0,,-100000.0,,,,,-300000.0,40000000.0,,,,7300000.0,,,,,,,,,2100000.0,,7800000.0,,,,500000.0,,3300000.0,,500000.0,,,,500000.0,,40000000.0,,,,,,100000.0,,,1700000.0,,,,,,,,,,,5700000.0,,,,,,,,,1500000.0,5600000.0,,,-100000.0,,4700000.0,,,,,,,,2900000.0,2900000.0,,,,,,,,,,3000000.0,300000.0,,800000.0,,,,,,,,,,,,300000.0,,-100000.0,,,,,,,0.0125,,,,,,,,,,,3100000.0,,,,,,,,,100000.0,,,,,,900000.0,1700000.0,,,,500000.0,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
820368000,3500000.0,1200000.0,300000.0,24500000.0,,,3600000.0,,5400000.0,300000.0,,,,100000.0,,5200000.0,,,0.0,1400000.0,1500000.0,3600000.0,600000.0,,,,,8400000.0,,2300000.0,,3000000.0,100000.0,,3700000.0,,3600000.0,200000.0,10200000.0,5400000.0,,-200000.0,900000.0,2300000.0,4800000.0,0.0525,900000.0,200000.0,15000000.0,,900000.0,,,,,10200000.0,5400000.0,6600000.0,300000.0,,2300000.0,1600000.0,,,300000.0,-100000.0,,,,,3600000.0,600000.0,6600000.0,-600000.0,,,,2500000.0,,,0.0,2100000.0,6800000.0,,-1600000.0,0.0,,5500000.0,,4600000.0,4800000.0,3900000.0,,200000.0,3000000.0,3000000.0,3000000.0,,19100000.0,,,0.0,,2200000.0,3800000.0,46000000.0,4600000.0,400000.0,,1300000.0,,5500000.0,0.05,-1200000.0,,,,-1500000.0,-300000.0,,,200000.0,43809524.0,-900000.0,,,,600000.0,,,,-300000.0,,,-100000.0,-4100000.0,-3800000.0,,,15600000.0,,5500000.0,,,,,1700000.0,-200000.0,-900000.0,,200000.0,800000.0,,,,,1300000.0,2400000.0,,,,1200000.0,,,2400000.0,,0.0,,-300000.0,,2300000.0,1400000.0,2100000.0,,,,,,,,,,,,,,,,,,,,,,,,
828230400,,,,,,,3400000.0,0.0225,5300000.0,,,,,100000.0,,6700000.0,,,,,,,2000000.0,48888889.0,,,,10600000.0,,,,,,,,,3400000.0,-600000.0,11400000.0,,,,1100000.0,,6100000.0,,1100000.0,,,,1100000.0,,48888889.0,,,,,,200000.0,,,1900000.0,,,,0.0,,,,,,,8000000.0,-600000.0,,,,,,,0.0,2700000.0,8700000.0,,-1200000.0,100000.0,,6900000.0,,,,,,,,2400000.0,2400000.0,,,,,3000000.0,,,,,5700000.0,700000.0,,1800000.0,,,,,,,,-1200000.0,0.0,,,400000.0,,-1000000.0,,,,,,,0.0225,,,,,,,,,,,6700000.0,,,,,600000.0,-600000.0,,,100000.0,-600000.0,,,,,1800000.0,1800000.0,,,,1600000.0,,,,,,,,,,1900000.0,,,,,,,,,,,,,,,,,,,,,,,,,
