,annualOtherCurrentAssets,annualCostOfRevenue,quarterlyOtherNonCashItems,trailingOperatingIncome,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,quarterlySellingGeneralAndAdministration,trailingTotalRevenue,annualBasicAverageShares,annualCurrentDebt,trailingFreeCashFlow,trailingCommonStockIssuance,annualEndCashPosition,annualTaxProvision,quarterlyCurrentLiabilities,quarterlyCurrentAssets,annualOtherShortTermInvestments,quarterlyCashDividendsPaid,trailingTaxProvision,trailingEndCashPosition,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyEbitda,annualOperatingIncome,annualAccountsPayable,annualChangeInWorkingCapital,quarterlyFreeCashFlow,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,quarterlyPurchaseOfInvestment,quarterlyNonCurrentDeferredRevenue,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,annualInvestmentsAndAdvances,quarterlyOperatingIncome,quarterlyTotalAssets,annualFreeCashFlow,quarterlyNetIncomeCommonStockholders,annualNetIncome,quarterlyDilutedAverageShares,quarterlyTotalNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,annualOperatingExpense,annualGainsLossesNotAffectingRetainedEarnings,annualBasicEPS,annualDilutedAverageShares,annualCurrentAssets,annualAccountsReceivable,annualBeginningCashPosition,annualLongTermDebt,annualCashDividendsPaid,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeContinuousOperations,trailingPretaxIncome,annualTotalAssets,annualSellingGeneralAndAdministration,quarterlyOtherCurrentAssets,quarterlyBasicEPS,annualRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,annualOtherNonCashItems,trailingNetIncomeCommonStockholders,annualStockholdersEquity,quarterlyStockholdersEquity,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualNetIncomeCommonStockholders,annualSaleOfInvestment,annualDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyInvestingCashFlow,trailingRepurchaseOfCapitalStock,annualCommonStockIssuance,quarterlyGrossProfit,quarterlyEndCashPosition,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyChangeInAccountPayable,annualCurrentAccruedExpenses,annualRetainedEarnings,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyInvestmentsAndAdvances,annualDilutedEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,annualCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,trailingOperatingCashFlow,trailingOtherIncomeExpense,quarterlyRepaymentOfDebt,annualCashFlowFromContinuingFinancingActivities,trailingCashFlowFromContinuingFinancingActivities,quarterlyTaxProvision,annualGrossProfit,annualCurrentLiabilities,annualInventory,quarterlyNetPPE,quarterlyPretaxIncome,trailingRepaymentOfDebt,annualOtherIncomeExpense,annualNetPPE,quarterlyBeginningCashPosition,annualTotalNonCurrentAssets,annualEbitda,annualOperatingCashFlow,quarterlyCommonStockIssuance,quarterlyBasicAverageShares,quarterlyCapitalStock,trailingDepreciationAndAmortization,quarterlyCapitalExpenditure,annualOtherNonCurrentLiabilities,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,annualNonCurrentDeferredTaxesLiabilities,annualChangeInInventory,annualIncomeTaxPayable,quarterlyChangesInAccountReceivables,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherNonCurrentAssets,trailingOtherNonCashItems,quarterlyAccumulatedDepreciation,annualPurchaseOfInvestment,trailingDeferredIncomeTax,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,annualChangesInAccountReceivables,trailingBeginningCashPosition,quarterlyIncomeTaxPayable,annualPretaxIncome,annualDeferredIncomeTax,annualInvestingCashFlow,annualInterestExpense,quarterlySaleOfInvestment,trailingChangesInAccountReceivables,trailingInterestExpense,trailingCashDividendsPaid,quarterlyGrossPPE,trailingNetIncome,annualNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,annualAccumulatedDepreciation,trailingChangeInCashSupplementalAsReported,trailingPurchaseOfInvestment,annualGrossPPE,trailingInvestingCashFlow,trailingOperatingExpense,trailingNetIncomeContinuousOperations,quarterlyOtherCurrentLiabilities,trailingCapitalExpenditure,quarterlyOtherShortTermInvestments,quarterlyDilutedEPS,trailingChangeInInventory,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,trailingChangeInWorkingCapital,annualCapitalExpenditure,trailingGrossProfit,annualRepaymentOfDebt,annualTotalRevenue,quarterlyOtherIntangibleAssets,annualChangeInAccountPayable,annualGoodwill,trailingSellingGeneralAndAdministration,trailingDilutedAverageShares,annualResearchAndDevelopment,annualStockBasedCompensation,quarterlyStockBasedCompensation,quarterlyPurchaseOfBusiness,trailingBasicEPS,trailingChangeInAccountPayable,quarterlyGoodwill,trailingStockBasedCompensation,quarterlyResearchAndDevelopment,trailingNetOtherInvestingChanges,trailingBasicAverageShares,trailingResearchAndDevelopment,trailingSaleOfInvestment,quarterlyCurrentDeferredRevenue,annualCurrentDeferredRevenue,annualPurchaseOfBusiness,trailingPurchaseOfBusiness,trailingDilutedEPS,annualOtherIntangibleAssets
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378604800,33300000.0,2341100000.0,,,2581700000.0,,,,555888889.0,137000000.0,,,,339600000.0,,,,,,,,,,785300000.0,,,,500300000.0,766100000.0,,,,,,3391800000.0,,,,,,500300000.0,,,,465900000.0,,0.9,555888889.0,1515200000.0,,,1272500000.0,,,,,6598100000.0,295500000.0,,,,219100000.0,,,3206300000.0,,,,,500300000.0,,,,,,,,,,,,,,,2615300000.0,,,,0.9,,,,,,,,,,,,1251200000.0,810100000.0,187300000.0,,,,166200000.0,4863800000.0,,5082900000.0,955700000.0,,,,,,,236200000.0,,,,,1073000000.0,,,,766100000.0,,,,,,,,,,,839900000.0,,,111600000.0,,,,,,,,,,,,-2064000000.0,,,6927800000.0,,,,,,,,,673100000.0,,,,,,,,3592300000.0,,,,,,,,,,,,,,,,,,,,,,,,
410140800,38500000.0,2131200000.0,,,3140900000.0,,,,563170732.0,127900000.0,,,,309000000.0,,,,,,,,,,659200000.0,,,,461800000.0,784300000.0,,,,,,3865900000.0,,,,,,461800000.0,,,,568600000.0,,0.82,563170732.0,1365400000.0,,,1108600000.0,,,,,7854000000.0,326800000.0,,,,308500000.0,,,3988100000.0,,,,,461800000.0,,,,,,,,,,,,,,,3370600000.0,,,,0.82,,,,,,,,,,,,1227800000.0,725000000.0,76300000.0,,,,201700000.0,6180100000.0,,6488600000.0,901000000.0,,,,,,,245500000.0,,,,,1786800000.0,,,,784300000.0,,,,,,,,,,,770800000.0,,,90200000.0,,,,,,,,,,,,-2885400000.0,,,9065500000.0,,,,,,,,,597100000.0,,,,,,,,3359000000.0,,,,,,,,,,,,,,,,,,,,,,,,
441676800,46800000.0,2041100000.0,,,3210300000.0,,,,565873016.0,114400000.0,,,,247100000.0,,,,,,,,,,543700000.0,,,,356500000.0,1038800000.0,,,,,,3997600000.0,,,,,,356500000.0,,,,563200000.0,,0.63,565873016.0,1654300000.0,,,961900000.0,,,,,8171900000.0,329200000.0,,,,319000000.0,,,4174300000.0,,,,,356500000.0,,,,,,,,,,,,,,,3550900000.0,,,,0.63,,,,,,,,,,,,1106900000.0,787300000.0,64600000.0,,,,139400000.0,6198600000.0,,6517600000.0,777700000.0,,,,,,,259600000.0,,,,,1988800000.0,,,,1038800000.0,,,,,,,,,,,603600000.0,,,79600000.0,,,,,,,,,,,,-3027300000.0,,,9225900000.0,,,,,,,,,672900000.0,,,,,,,,3148000000.0,,,,,,,,,,,,,,,,,,,,,,,,
449539200,,,,,,,,,,,,,,,,,,,,,,,884700000.0,,,,,,,,,,884700000.0,,,,884700000.0,,,103200000.0,,573333333.0,,,,,,,,,,,,,103200000.0,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,103200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573333333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457401600,,,,,,,,,,,,,,,,,,,,,,,920300000.0,,,,,,,,,,920300000.0,,,,920300000.0,,,136100000.0,,567083333.0,,,,,,,,,,,,,136100000.0,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,136100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567083333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465350400,,,,,,,,,,,,,,,,,,,,,,,904900000.0,,,,,,,,,,904900000.0,,,,904900000.0,,,134700000.0,,561250000.0,,,,,,,,,,,,,134700000.0,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,134700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561250000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473299200,67300000.0,2180500000.0,,,3327000000.0,,,,567294118.0,103700000.0,,,,357000000.0,867600000.0,1782100000.0,,,,,3849000000.0,,-1975900000.0,734000000.0,,,,482200000.0,1047000000.0,,,,814700000.0,,4194600000.0,,-1975900000.0,8667200000.0,,108200000.0,482200000.0,,6885100000.0,4194600000.0,610100000.0,,0.85,567294118.0,1782100000.0,,,857400000.0,,270000000.0,108200000.0,,8667200000.0,364900000.0,67300000.0,,,459400000.0,,,4472600000.0,4472600000.0,,,3327000000.0,482200000.0,,,,,,,,,,77200000.0,,108200000.0,,,3849000000.0,,,,0.85,2199600000.0,857400000.0,,1047000000.0,1047000000.0,,,,,,,1344100000.0,867600000.0,77200000.0,6425700000.0,,,173500000.0,6425700000.0,,6885100000.0,979200000.0,,,,,,,270000000.0,103700000.0,,,,2199600000.0,,,,1047000000.0,459400000.0,,-3197800000.0,,,,,,,,839200000.0,,,68300000.0,,,,,9623500000.0,,,,,,,-3197800000.0,,,9623500000.0,,,,763900000.0,,,,,763900000.0,,,,,,,,3524600000.0,,,,,,,,,,,,,,,,,,,,,,,,
481075200,,,,,,,,,,,,,,,,,,,,,,,862200000.0,,,,,,,,,,862200000.0,,,,862200000.0,,,99800000.0,,554444444.0,,,,,,,,,,,,,99800000.0,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,99800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554444444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488937600,,,,,,,,,,,,,,,,,,,,,,,892400000.0,,,,,,,,,,892400000.0,,,,892400000.0,,,138700000.0,,577916667.0,,,,,,,,,,,,,138700000.0,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,138700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577916667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
