,annualCurrentAccruedExpenses,annualNetOtherFinancingCharges,quarterlyEbitda,trailingEndCashPosition,quarterlyTotalRevenue,quarterlyDilutedEPS,annualNetIncomeContinuousOperations,trailingTaxProvision,quarterlyPurchaseOfInvestment,annualCashAndCashEquivalents,annualCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,annualCostOfRevenue,annualTotalRevenue,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,annualInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,annualCurrentDebt,quarterlyGrossPPE,annualOtherNonCurrentAssets,quarterlyCurrentAssets,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,annualDeferredIncomeTax,quarterlyCurrentLiabilities,annualOperatingExpense,annualOtherShortTermInvestments,quarterlyIncomeTaxPayable,trailingFreeCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,annualChangeInAccountPayable,annualAccumulatedDepreciation,annualDilutedAverageShares,annualChangesInAccountReceivables,annualChangeInWorkingCapital,annualCurrentAssets,quarterlyOperatingIncome,annualTotalLiabilitiesNetMinorityInterest,trailingNetIncomeContinuousOperations,quarterlyBasicAverageShares,quarterlyRetainedEarnings,quarterlyNonCurrentDeferredRevenue,trailingCostOfRevenue,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,annualNetIncomeCommonStockholders,quarterlyNetOtherInvestingChanges,trailingNetIncomeCommonStockholders,trailingNetOtherInvestingChanges,quarterlyStockholdersEquity,annualRetainedEarnings,annualCashDividendsPaid,quarterlyLongTermDebt,annualBeginningCashPosition,quarterlyChangeInInventory,annualAccountsReceivable,annualNetIncome,annualFreeCashFlow,annualTotalNonCurrentAssets,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualBasicAverageShares,trailingSaleOfInvestment,quarterlyCurrentDeferredRevenue,annualSellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,annualLongTermDebt,annualOtherNonCashItems,annualOtherCurrentAssets,annualTaxProvision,annualTotalAssets,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualStockholdersEquity,quarterlyInventory,quarterlyNetPPE,quarterlyOtherIncomeExpense,annualChangeInInventory,annualDepreciationAndAmortization,annualInventory,trailingCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,trailingDepreciationAndAmortization,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyCurrentDebt,annualCurrentLiabilities,quarterlyCapitalExpenditure,trailingOtherNonCashItems,quarterlyDilutedAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetOtherFinancingCharges,annualCapitalStock,annualPurchaseOfBusiness,quarterlyInvestmentsAndAdvances,trailingOperatingCashFlow,annualIncomeTaxPayable,annualBasicEPS,trailingOtherIncomeExpense,annualSaleOfInvestment,annualGrossProfit,annualOtherIntangibleAssets,quarterlyPretaxIncome,annualNetPPE,annualCashCashEquivalentsAndMarketableSecurities,annualOperatingCashFlow,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentAssets,quarterlyChangeInCashSupplementalAsReported,annualEbitda,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,annualNonCurrentDeferredTaxesLiabilities,quarterlyTaxProvision,trailingCashDividendsPaid,quarterlyPurchaseOfBusiness,trailingNetIncome,quarterlyBasicEPS,annualChangeInCashSupplementalAsReported,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,trailingPretaxIncome,annualNetOtherInvestingChanges,quarterlyOtherShortTermInvestments,annualGrossPPE,annualRepaymentOfDebt,annualPretaxIncome,annualOtherNonCurrentLiabilities,annualPurchaseOfInvestment,quarterlyFreeCashFlow,trailingChangeInWorkingCapital,annualDilutedEPS,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,annualInterestExpense,quarterlyTotalAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,annualInvestingCashFlow,trailingGrossProfit,annualOperatingIncome,quarterlySaleOfInvestment,annualOtherIncomeExpense,quarterlyDepreciationAndAmortization,trailingCapitalExpenditure,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingInvestingCashFlow,annualAccountsPayable,trailingDeferredIncomeTax,annualCapitalExpenditure,trailingPurchaseOfInvestment,trailingTotalRevenue,trailingRepaymentOfDebt,quarterlyCapitalStock,trailingInterestExpense,quarterlyBeginningCashPosition,annualCashFlowFromContinuingFinancingActivities,annualNonCurrentDeferredRevenue,quarterlyAccountsPayable,annualEndCashPosition,annualResearchAndDevelopment,trailingBasicAverageShares,trailingStockBasedCompensation,quarterlyCommonStockIssuance,trailingRepurchaseOfCapitalStock,quarterlyStockBasedCompensation,trailingSellingGeneralAndAdministration,annualCommonStockIssuance,quarterlyRepurchaseOfCapitalStock,trailingChangeInInventory,trailingChangesInAccountReceivables,trailingPurchaseOfBusiness,trailingDilutedEPS,trailingNetOtherFinancingCharges,annualGoodwill,annualStockBasedCompensation,trailingBasicEPS,trailingResearchAndDevelopment,trailingCommonStockIssuance,trailingChangeInAccountPayable,trailingOperatingExpense,annualRepurchaseOfCapitalStock,quarterlyGoodwill,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915062400,,7139000.0,,,,,377036000.0,,,214049000.0,,,474562000.0,1444619000.0,,,,,,,,174361000.0,,1085975000.0,,,,3993000.0,,625207000.0,,,,2359016000.0,,4719000.0,-2157309000.0,273333333.0,-3509000.0,-49368000.0,633798000.0,,2925175000.0,,,,,,,,,,,,377036000.0,,,,,678447000.0,-84942000.0,,674696000.0,,,377036000.0,-86757000.0,7217287000.0,,,,273333333.0,,,378730000.0,,,923472000.0,493075000.0,123057000.0,90629000.0,7851085000.0,,,,4925910000.0,,,,-4961000.0,246477000.0,10527000.0,,,,,,,566159000.0,,,,,,1348908000.0,,,,,1.3794,,,970057000.0,,,6131312000.0,214049000.0,681714000.0,,,,591327000.0,,,214896000.0,,,,,,-460647000.0,,,337711000.0,,26499000.0,,8288621000.0,-80102000.0,467665000.0,1220648000.0,-242484000.0,,,1.3794,,,,,,-984456000.0,,344850000.0,,29161000.0,,,,,,54087000.0,,-768471000.0,,,,,,,-157905000.0,,,214049000.0,,,,,,,,,,,,,,,,,,,,,,,,
922838400,,,112488000.0,,368768000.0,-0.0172,,,,,,2929676000.0,,,-2236000.0,,,211560000.0,,,,,8636464000.0,,686280000.0,,,,661684000.0,,,,,,,,,,,,,53836000.0,,,273655000.0,1291548000.0,,,,,,,157208000.0,,,,,,4458756000.0,,,1116280000.0,,,,,,,157724000.0,-2236000.0,-2236000.0,,,,,1151712000.0,99072000.0,,,,,,160132000.0,,2267992000.0,,11696000.0,5569876000.0,-6364000.0,,,,,50396000.0,,,-3066588000.0,238220000.0,,,,273655000.0,,,,,,,,,,,,,-3096000.0,,,,,1132276000.0,,,344688000.0,,,-860000.0,,,,-0.0172,,,,,,,,,,,,,,,,,6702152000.0,,7388432000.0,,,,,,,,,261096000.0,261096000.0,,,,,,,,1620240000.0,,,,,78776000.0,,,,,,,,,,,,,,,,,,,,,,,,,
930700800,,,137352000.0,,363735000.0,0.1947,,,,,,2949528000.0,,,51684000.0,,,209745000.0,,,,,8809467000.0,,634722000.0,,,,595605000.0,,,,,,,,,,,,,86022000.0,,,265454545.0,1344669000.0,,,,,,,153990000.0,,,,,,4503411000.0,,,1130322000.0,,,,,,,123723000.0,51684000.0,51684000.0,,,,,1223601000.0,72393000.0,,,,,,121245000.0,,2353923000.0,,10797000.0,5653734000.0,-3186000.0,,,,,-3491000.0,,,-3155733000.0,287802000.0,,,,265454545.0,,,,,,,,,,,,,86553000.0,,,,,1164483000.0,,,229392000.0,,,34869000.0,,,,0.1947,,,,,,,,,,,,,,,,,6818217000.0,,7452939000.0,,,,,,,,,228684000.0,228684000.0,,,,,,,,1622028000.0,,,,,78411000.0,,,,,,,,,,,,,,,,,,,,,,,,,
938649600,,,193920000.0,,408192000.0,,,,,,,3064320000.0,,,59520000.0,,,244992000.0,,,,,9124032000.0,,693696000.0,,,,655488000.0,,,,,,,,,,,,,134400000.0,,,,1392384000.0,,,,,,,163200000.0,,,,,,4524672000.0,,,1166976000.0,,,,,,,110592000.0,59520000.0,59520000.0,,,,,1241856000.0,51072000.0,,,,,,96384000.0,,2408832000.0,,10752000.0,5700864000.0,-8064000.0,,,,,32256000.0,,,-3423168000.0,317760000.0,,,,,,,,,,,,,,,,,93888000.0,,,,,1194432000.0,,,252480000.0,,,34368000.0,,,,,,,,,,,,,,,,,,,,,6895296000.0,,7588992000.0,,,,,,,,,293568000.0,293568000.0,,,,,,,,1607616000.0,,,,,85248000.0,,,,,,,,,,,,,,,,,,,,,,,,,
946598400,,-17893660.0,221211140.0,,612518250.0,,290400020.0,,,181561100.0,,3696134030.0,755079510.0,1747238250.0,181728020.0,,,329374740.0,,,,303448310.0,10447443080.0,1288772490.0,727721360.0,,,-16302670.0,707085550.0,650711290.0,,,,2989048480.0,,21765250.0,-2925361820.0,145031000.0,-4908720.0,-54265610.0,727721360.0,68423450.0,3696134030.0,,,1392463770.0,,,,,,,283143510.0,,290400020.0,,,,5842441080.0,1392463770.0,-156063630.0,1124295980.0,256723160.0,,,290400020.0,86563250.0,8810853750.0,260951290.0,181728020.0,181728020.0,145031000.0,,,329347600.0,1253627720.0,108163600.0,1124295980.0,642729190.0,213391760.0,101180810.0,9538575110.0,213391760.0,,2989048480.0,5842441080.0,13057340.0,7522081260.0,-11366590.0,-347520.0,321363690.0,13057340.0,,-15357330.0,,,-2925361820.0,303448310.0,707085550.0,,,,611124780.0,,2215883450.0,,,,,1.0498,,30770.0,992158740.0,,214748830.0,7522081260.0,181561100.0,809033800.0,,1288772490.0,,662811140.0,317007020.0,,611124780.0,33020810.0,,,,,-75162060.0,,,317007020.0,,19052060.0,,10447443080.0,,391580830.0,1253627720.0,-43740460.0,,,1.0498,,8810853750.0,63362670.0,9538575110.0,,-747128180.0,,341447450.0,,-29030590.0,,,181561100.0,181561100.0,,86630220.0,,-722470550.0,,,,2215883450.0,,,-137065870.0,,86630220.0,181561100.0,,,,,,,,,,,,,,,,,,,,,,,,
954460800,,,202574750.0,,453087250.0,0.3675,,,,,,3093079500.0,,,101015250.0,,,306367250.0,,,,,8593044250.0,,839618500.0,,,,715991500.0,,,,,,,,,,,,,138640250.0,,,145031000.0,1564869250.0,,,,,,,146720000.0,,,,,,4738053250.0,,,1095757250.0,,,,,,,167727000.0,101015250.0,101015250.0,,,,,1132894000.0,103792500.0,,,,,,183494500.0,,2377088000.0,,13149500.0,5764655750.0,-16779000.0,,,,,,,,-2828388500.0,304526250.0,,,,145031000.0,148436750.0,,,,,,,,,,,,135667000.0,,,,,1226858500.0,,,318176250.0,,,34651750.0,,,,0.3675,,,,,,,,,,,,,,,,,6991514250.0,,7831132750.0,,,,,,,,,314476750.0,314476750.0,,,,,,,,1623567750.0,,,,,93289000.0,,,,,,,,,,,,,,,,,,,,,,,,,
962323200,,,191418360.0,,450740680.0,,,,,,,3035846030.0,,,71788220.0,,,304456480.0,,,,,8779497310.0,,761990090.0,,,,672449390.0,,,,,,,,,,,,,126844800.0,,,,1639431030.0,,,,,,,146284200.0,,,,,,4818239910.0,,,1099491740.0,,,,,,,177611680.0,71788220.0,71788220.0,,,,,1096548680.0,113038120.0,,,,,,125165120.0,,2363396640.0,,12322480.0,5854135490.0,-9978530.0,,,,,16594080.0,,,-2925361820.0,267458270.0,,,,,167356220.0,,,,,,,,,,,,100272190.0,,,,,1237960360.0,,,321043320.0,,,28483970.0,,,,,,,,,,,,,,,,,,,,,7092095850.0,,7854085940.0,,,,,,,,,292523150.0,292523150.0,,,,,,,,1626446090.0,,,,,83947800.0,,,,,,,,,,,,,,,,,,,,,,,,,
970272000,,,272117600.0,,552071760.0,0.4232,,,,,,3012479280.0,,,116155520.0,,,386311680.0,,,,,8772264400.0,,840070400.0,,,,639263840.0,,,,,,,,,,,,,204646640.0,,,145031000.0,1746699120.0,,,,,,,165760080.0,,,,,,4908273600.0,,,1078030240.0,,,,,,,181665040.0,116155520.0,116155520.0,,,,,1106714000.0,114194080.0,,,,,,83153280.0,,2373215440.0,,11713440.0,5798415920.0,-30041680.0,,,,,14639040.0,,,-2973848480.0,286813680.0,,,,145031000.0,188471200.0,,,,,,,,,,,,159965920.0,,,,,1282266560.0,,,262176080.0,,,43810400.0,,,,0.4232,,,,,,,,,,,,,,,,,7080682480.0,,7920752880.0,,,,,,,,,321527120.0,321527120.0,,,,,,,,1617628640.0,,,,,90274080.0,,,,,,,,,,,,,,,,,,,,,,,,,
978220800,,-9999600.0,268789910.0,,664624000.0,,430370850.0,,,224076450.0,,3874378950.0,764072400.0,2116420800.0,142169810.0,,,357982960.0,,,,275663700.0,11732627400.0,1402750050.0,770415750.0,,,-24400350.0,651966900.0,785631600.0,,,,3222412050.0,,-9541350.0,-3539651700.0,145031000.0,-158080650.0,-113507550.0,770415750.0,97776240.0,3874378950.0,,,1636592100.0,,,,,,448581900.0,306641040.0,,430370850.0,,,,6491762550.0,1636592100.0,-174985200.0,1104033450.0,198092700.0,,448581900.0,430370850.0,309691200.0,9595725750.0,260206720.0,142169810.0,142169810.0,145031000.0,,,419224650.0,1297327200.0,89193050.0,1104033450.0,732813900.0,38931750.0,132991950.0,10366141500.0,38931750.0,,3222412050.0,6491762550.0,14628900.0,8192975700.0,39168140.0,-382200.0,366406950.0,14628900.0,,11257720.0,,,-3539651700.0,275663700.0,651966900.0,,,,821051400.0,,2417650950.0,,,,,1.569945,,,1352348400.0,,168496960.0,8192975700.0,224076450.0,717679950.0,,1402750050.0,,933123750.0,291324150.0,,821051400.0,26327150.0,,,,,25983750.0,,,291324150.0,,42221400.0,,11732627400.0,,563362800.0,1297327200.0,-28606500.0,,,1.569945,,9595725750.0,28649400.0,10366141500.0,,-394373850.0,,566716800.0,,-17514900.0,,,224076450.0,224076450.0,,84979050.0,,-407988750.0,,,,2417650950.0,,,-297322350.0,,84979050.0,224076450.0,,,,,,,,,,,,,,,,,,,,,,,,
