date,trailingBeginningCashPosition,annualInterestExpense,annualBasicAverageShares,trailingInterestExpense,trailingOperatingExpense,quarterlyGrossPPE,annualNetIncomeCommonStockholders,trailingChangeInCashSupplementalAsReported,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualGrossPPE,trailingCapitalExpenditure,annualBasicEPS,quarterlyOtherCurrentAssets,annualRepurchaseOfCapitalStock,quarterlyAccountsPayable,annualCurrentAssets,annualDilutedEPS,annualEbitda,annualRepaymentOfDebt,quarterlyStockholdersEquity,annualAccumulatedDepreciation,annualOtherIntangibleAssets,annualCapitalExpenditure,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,trailingGrossProfit,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,trailingNetIncomeCommonStockholders,annualCapitalStock,trailingOperatingCashFlow,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,trailingCostOfRevenue,annualCurrentDebt,trailingTaxProvision,annualInventory,annualTaxProvision,annualChangeInInventory,annualDilutedAverageShares,annualTotalNonCurrentAssets,trailingFreeCashFlow,quarterlyCurrentLiabilities,quarterlyCurrentAssets,annualGrossProfit,annualResearchAndDevelopment,annualOtherCurrentAssets,quarterlyRetainedEarnings,annualOtherNonCashItems,quarterlyNetPPE,trailingNetIncomeContinuousOperations,annualNonCurrentDeferredTaxesLiabilities,annualTotalLiabilitiesNetMinorityInterest,trailingSellingGeneralAndAdministration,annualOperatingExpense,annualFreeCashFlow,annualNetIncomeContinuousOperations,annualBeginningCashPosition,annualNetIncome,annualPurchaseOfBusiness,annualCostOfRevenue,annualPretaxIncome,annualCashDividendsPaid,trailingCashDividendsPaid,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,annualGoodwill,annualTotalAssets,trailingPretaxIncome,trailingInvestingCashFlow,trailingNetIncome,quarterlyOtherShortTermInvestments,annualLongTermDebt,quarterlyOtherCurrentLiabilities,trailingPurchaseOfInvestment,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualStockholdersEquity,annualSaleOfInvestment,annualOtherShortTermInvestments,annualDepreciationAndAmortization,quarterlyGoodwill,quarterlyAccountsReceivable,annualInvestingCashFlow,annualRetainedEarnings,annualCommonStockIssuance,annualStockBasedCompensation,annualTotalRevenue,quarterlyBasicEPS,annualPurchaseOfInvestment,quarterlyInventory,annualAccountsReceivable,quarterlyCashCashEquivalentsAndMarketableSecurities,annualEndCashPosition,trailingEndCashPosition,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCurrentLiabilities,annualOperatingIncome,annualNetPPE,quarterlyDilutedEPS,annualAccountsPayable,annualOperatingCashFlow,quarterlyCashAndCashEquivalents,trailingTotalRevenue,trailingRepaymentOfDebt,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyCapitalStock,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,annualCashCashEquivalentsAndMarketableSecurities,annualNetOtherInvestingChanges,quarterlyTotalNonCurrentAssets,annualCashAndCashEquivalents,trailingOperatingIncome,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,annualOtherNonCurrentLiabilities,quarterlyCostOfRevenue,annualChangesInAccountReceivables,quarterlyOtherNonCashItems,annualCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,trailingSaleOfInvestment,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,trailingBasicEPS,trailingChangeInInventory,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,trailingChangeInAccountPayable,quarterlyPretaxIncome,trailingRepurchaseOfCapitalStock,annualOtherIncomeExpense,quarterlyInterestExpense,trailingNetOtherInvestingChanges,quarterlyResearchAndDevelopment,trailingChangesInAccountReceivables,quarterlyTaxProvision,quarterlyEbitda,trailingDilutedAverageShares,trailingCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,trailingCommonStockIssuance,quarterlyIncomeTaxPayable,trailingDepreciationAndAmortization,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,trailingOtherIncomeExpense,quarterlyCashFlowFromContinuingFinancingActivities,annualNonCurrentDeferredRevenue,annualCurrentAccruedExpenses,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,trailingDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,annualIncomeTaxPayable,quarterlyCashDividendsPaid,trailingBasicAverageShares,trailingOtherNonCashItems,annualDeferredIncomeTax,trailingPurchaseOfBusiness,quarterlyEndCashPosition,quarterlyChangesInAccountReceivables,trailingDilutedEPS,quarterlyOperatingExpense,trailingResearchAndDevelopment,quarterlyOperatingIncome,trailingChangeInWorkingCapital,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,trailingStockBasedCompensation,quarterlyCurrentAccruedExpenses,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentDeferredRevenue,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,annualInvestmentsAndAdvances,quarterlyTotalRevenue,annualCurrentDeferredRevenue
1970-01-01 00:00:01.561852800,1097832000.0,803142.5,75000000.0,58640000.0,2006843000.0,,31299165.0,541253000.0,0.0,142218602.5,54060067.5,-172634000.0,0.415867,,,,170944592.5,0.415867,46590062.5,-24959797.5,,-18979115.0,,-8787782.5,-9906000.0,0.0,4250639000.0,-77748872.5,33303122.5,2062235000.0,15595.0,2132370000.0,,,1492163000.0,29154852.5,202821000.0,13130990.0,11189412.5,-966890.0,75000000.0,39673680.0,1959736000.0,,,202251555.0,17622350.0,0.0,,4156067.5,,2056976000.0,,108587985.0,2075470000.0,159185962.5,53522040.0,30792327.5,34418165.0,31299165.0,,91269737.5,41981740.0,,-737732000.0,,,,210618272.5,2259797000.0,-369897000.0,2062235000.0,,,,-265658000.0,,3649230.0,103106342.5,,,3805180.0,,,30371262.5,-358685.0,,19813447.5,293521292.5,,,,73733160.0,,69772030.0,1639085000.0,0.0,108587985.0,43065592.5,35080952.5,,35806120.0,62309822.5,,5742802000.0,-56710000.0,,,,,69772030.0,38995297.5,,69772030.0,2243796000.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2198829.08,81998212.0,,,,63444619.8,,0.0,165547722.96,59602147.72,,0.775312,,,,348941756.36,0.771416,82861522.44,-94272057.4,,-23515052.52,4456098.8,-5807538.6,,0.0,,-69164497.44,56855437.64,,34516503.0,,,,,,,77996339.16,12214093.76,-65643448.88,82048740.0,52428559.16,,,,245436077.84,11929195.64,0.0,,20556495.12,,,,95696548.0,,176899817.28,42201447.16,63364263.92,65365855.84,63444619.8,-3922827.96,132579896.92,75578357.68,,,,,4244251.48,401370315.52,,,,,,,,,-38242093.8,306813360.0,,,5084335.68,,,-13594753.88,21455019.96,146021244.12,,378015974.76,,-5624911.6,,105762948.24,,128576713.08,,0.0,95696548.0,68536260.56,36087095.2,,94381633.6,48008985.76,,,,,,,,128576713.08,0.0,,128576713.08,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1542219.48,88586955.0,,,,101991205.08,,0.0,174495992.58,65285016.66,,1.150068,,,,375346195.92,1.150068,145528197.48,,,-28032909.84,51691648.5,-7560969.84,,0.0,,-934885.26,8270663.76,,32243305.5,,,,,0.0,,40568561.1,30619198.26,36487821.06,88586955.0,105703450.2,,,,305475464.7,15524554.5,0.0,,-54591.84,,,5725319.22,121282596.54,,190020547.08,61873026.66,102687251.04,120108871.98,101991205.08,0.0,189945483.3,133306449.3,-48327426.36,,,,3964732.38,481049646.12,,,,,,,,,-49275959.58,360237904.2,1276084.26,0.0,10679528.7,,,-11901021.12,61374876.12,0.0,,495420948.0,,,,117508935.6,,137161998.0,,47890691.64,73391904.9,115454917.62,37252106.82,,67809889.26,69433996.5,,,,,,,,144395416.8,-7233418.8,,144395416.8,,,,-470854.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2662916.1,88714695.0,,,57327804.04,141230145.16,,0.0,220127569.61,57327804.04,,1.591377,0.0,,81253081.0,526574588.8,1.584094,200258118.71,,366888386.67,-32917739.79,44115643.39,-1911837.2,,0.0,,-77245050.87,-34747641.11,,32371500.59,,-32917739.79,12044574.36,,112777910.83,,75517569.4,41623427.04,-35683075.74,89195885.0,93249859.43,,203392166.12,526574588.8,415537815.42,13915443.62,0.0,123736834.78,-3953406.21,24410064.25,,12044574.36,251563635.57,,234043013.23,104256579.31,142227031.7,137242599.0,141230145.16,-5994975.22,243049132.04,183850458.74,-64667893.29,,,0.0,2587808.21,619824448.23,,,,211667.69,,0.0,,48171469.45,-58215442.74,366888386.67,0.0,211667.69,13744743.87,2587808.21,141653480.54,-113453881.84,123736834.78,3079423.49,,658586947.46,,,75517569.4,141653480.54,223855652.15,103191412.87,,48171469.45,203392166.12,181494802.19,24410064.25,,81253081.0,106168416.51,223643984.46,,,251563635.57,32371500.59,0.0,112777910.83,223855652.15,-113214902.19,93249859.43,223643984.46,,44115643.39,619824448.23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4534933.86,,83310684.35,,,,,442285426.34,,,,,,,,,,,,,15586281.69,,,,,,,,,,213611726.91,601307716.68,,,,,,22538485.1,,,,,,,,,,,,,,,,33950721.06,,,,,,2764539.26,,892006.51,,49537002.75,,,,,,2580690.59,281513169.03,,,,,,0.0,,118732194.77,,194321234.98,,,,,,,0.0,,,191556695.72,,,263148729.66,32466313.28,-2206184.04,111303346.66,,,104126439.32,,,39398089.06,705434156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4092326.54,1873910831.0,,,58154812.16,202871947.94,,2659680.62,287802647.04,58154812.16,,0.10828,1021423.48,,54732380.24,1357014154.14,0.1069,244173272.68,-109550984.54,1326451041.18,-36386553.32,35603904.16,-24872325.0,,0.0,,-5133647.88,785282310.14,,37925321.16,,-36386553.32,14081052.26,,28261593.82,,105976002.36,26152420.66,-31816678.14,1897550623.0,123433058.2,,109225986.16,1357014154.14,518020887.24,0.0,1021423.48,,20819794.18,21768258.84,,14081052.26,153996171.16,,285328679.78,49353325.42,203561740.42,100238786.06,202871947.94,0.0,358658926.5,229714161.08,-31445251.42,,,30689132.74,2513762.98,1480447212.34,,,,252039.56,,0.0,,44770185.0,-152696177.64,1326451041.18,86960280.82,252039.56,10366785.06,2513762.98,330523352.46,66830279.12,,822637225.98,,876679813.74,,,105976002.36,330523352.46,918982664.1,888684855.94,,44770185.0,109225986.16,232692207.46,21768258.84,,54732380.24,74225650.42,918730624.54,,,153996171.16,37925321.16,2659680.62,28261593.82,918982664.1,0.0,123433058.2,918730624.54,,35603904.16,1480447212.34,30689132.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2005693.8,,63690483.12,,,,,2342721528.18,,,,,,,,,,,,,21984992.04,,,,,,,,,,285306708.06,1201895834.7,,,,,,49605336.66,,,,,,,,,,,,,,,,27820914.0,,,,,,0.0,,0.0,,49805906.04,,,,,,1204677926.1,416026183.98,,,,,,0.0,,113541679.02,,669319431.0,,,,,,,0.0,,,669319431.0,,,335112614.1,41660201.22,-685817.88,179231385.96,,,1492087377.66,,,169552295.88,2693983212.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5870190.0,2352670207.0,,,91314765.0,391404660.0,,74401830.0,366409215.0,91314765.0,,0.166385,1194150.0,,178556850.0,1455115770.0,0.166134,459898590.0,-55182300.0,2442432705.0,-42769425.0,212608980.0,-86707860.0,,0.0,,0.0,-240784635.0,,50587965.0,,-42769425.0,28841865.0,,251362290.0,,132236400.0,35950200.0,-9716610.0,2356059406.0,1525023825.0,,466874940.0,1455115770.0,748675485.0,,1194150.0,,-7799685.0,48545340.0,,28841865.0,521617290.0,,366409215.0,307638180.0,391938885.0,842108295.0,391404660.0,-314275140.0,573644520.0,427889085.0,-159356175.0,,,25900485.0,1122714690.0,2980139595.0,,,,0.0,,0.0,,54742350.0,-18553320.0,2442432705.0,29181255.0,0.0,26139315.0,1122714690.0,457673700.0,-676020885.0,,9986865.0,,1322320005.0,,-241897080.0,132236400.0,457673700.0,863414445.0,615339210.0,,54742350.0,466874940.0,382266270.0,48545340.0,,178556850.0,394346040.0,863414445.0,,,521617290.0,50587965.0,74401830.0,251362290.0,863414445.0,-78939600.0,1525023825.0,863414445.0,,212608980.0,2980139595.0,25900485.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,13790246.25,,138634293.75,,,,,2662421178.75,,,,,,,,,,,,,30259631.25,,,,,,,,,,728280277.5,1918295163.75,,,,,,62180201.25,,,,,,,,,,,,,,,,23475873.75,,,,,,,,0.0,,53735505.0,,,,,,1136782117.5,541376940.0,,,,,,0.0,,105383700.0,,1251005066.25,,,,,,,0.0,,,1251005066.25,,,782015782.5,76835917.5,68722136.25,562192766.25,,,1542509362.5,,,209825565.0,3460804526.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12496103.62,2414747512.0,,,140634221.11,530797280.59,,87010831.4,476524742.64,140634221.11,,0.219837,0.0,,60183532.02,1809213595.74,0.219837,634748384.33,-520292314.36,2798328259.2,-49447618.82,219861515.44,-68634942.76,,5068349.72,,-8495103.41,53092835.86,,75363613.94,,-49447618.82,31202808.19,,404750169.45,,96673153.28,58392132.55,24873612.85,2414747512.0,1641052992.53,,583216000.97,1809213595.74,1034904581.62,,0.0,733812150.84,-18706704.57,91186602.29,,31202808.19,635372565.33,,460239860.35,366980977.14,531352801.68,611110649.86,530797280.59,0.0,724449435.84,589744934.23,-177604461.74,,,20953756.17,1114999487.54,3450266588.27,,,,,,5068349.72,,52156564.36,-112402514.48,2798328259.2,,,32507346.48,1114999487.54,314243924.45,-330672368.37,733812150.84,0.0,,1759354017.46,,-85107079.35,96673153.28,314243924.45,668884843.22,668884843.22,,52156564.36,583216000.97,574664721.27,91186602.29,,60183532.02,435615919.9,668884843.22,,,635372565.33,75363613.94,87010831.4,404750169.45,668884843.22,-210049390.12,1641052992.53,668884843.22,,219861515.44,3450266588.27,20953756.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
