,annualDilutedAverageShares,annualBeginningCashPosition,annualCurrentAssets,quarterlyIncomeTaxPayable,annualCapitalExpenditure,annualSellingGeneralAndAdministration,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOtherNonCurrentAssets,quarterlyGrossPPE,trailingInterestExpense,trailingBeginningCashPosition,trailingOperatingExpense,annualRepurchaseOfCapitalStock,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,trailingNetIncomeCommonStockholders,trailingNetIncomeContinuousOperations,annualRepaymentOfDebt,quarterlyDilutedEPS,annualEbitda,annualDilutedEPS,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,quarterlyStockholdersEquity,annualAccumulatedDepreciation,annualOtherIntangibleAssets,annualNetOtherFinancingCharges,annualInterestExpense,trailingOperatingCashFlow,annualCostOfRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,annualOtherCurrentAssets,annualBasicEPS,quarterlyAccumulatedDepreciation,annualTotalNonCurrentAssets,annualGrossProfit,annualInventory,quarterlyRetainedEarnings,quarterlyNetPPE,annualTaxProvision,annualTotalLiabilitiesNetMinorityInterest,annualChangeInInventory,quarterlyCurrentAssets,quarterlyCurrentLiabilities,trailingFreeCashFlow,trailingCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherNonCashItems,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,trailingTaxProvision,annualOperatingExpense,annualFreeCashFlow,trailingSellingGeneralAndAdministration,annualCurrentDebt,annualNetIncome,annualCashDividendsPaid,annualPurchaseOfInvestment,annualAccountsReceivable,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyBasicEPS,annualInvestingCashFlow,trailingInvestingCashFlow,quarterlyOtherNonCurrentLiabilities,annualTotalAssets,trailingNetIncome,trailingPretaxIncome,annualNonCurrentDeferredTaxesLiabilities,annualStockholdersEquity,quarterlyOtherShortTermInvestments,annualDepreciationAndAmortization,annualChangeInWorkingCapital,quarterlyGoodwill,annualCurrentLiabilities,annualRetainedEarnings,annualCommonStockIssuance,quarterlyInventory,annualGoodwill,annualSaleOfInvestment,quarterlyAccountsReceivable,annualOtherShortTermInvestments,quarterlyInvestmentsAndAdvances,annualCapitalStock,quarterlyCashAndCashEquivalents,trailingOperatingIncome,annualOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,annualTotalRevenue,annualNetPPE,trailingGrossProfit,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCashFlowFromContinuingFinancingActivities,annualOtherIncomeExpense,annualCashCashEquivalentsAndMarketableSecurities,annualBasicAverageShares,annualOperatingIncome,annualEndCashPosition,trailingTotalRevenue,annualOtherNonCurrentLiabilities,quarterlyOtherNonCurrentAssets,quarterlyCapitalStock,trailingChangeInCashSupplementalAsReported,annualGrossPPE,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,trailingEndCashPosition,quarterlyTotalAssets,quarterlyTotalLiabilitiesNetMinorityInterest,annualGainsLossesNotAffectingRetainedEarnings,annualIncomeTaxPayable,annualPretaxIncome,annualInvestmentsAndAdvances,quarterlyTotalNonCurrentAssets,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,annualCurrentAccruedExpenses,quarterlyCashDividendsPaid,trailingOtherIncomeExpense,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,trailingDeferredIncomeTax,quarterlyChangeInInventory,quarterlyNonCurrentDeferredRevenue,trailingOtherNonCashItems,quarterlyPurchaseOfInvestment,annualNonCurrentDeferredRevenue,trailingStockBasedCompensation,annualChangeInAccountPayable,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,trailingBasicEPS,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,trailingChangeInWorkingCapital,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,trailingCommonStockIssuance,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,annualChangesInAccountReceivables,trailingDilutedAverageShares,quarterlyNetIncome,quarterlyCurrentAccruedExpenses,trailingPurchaseOfInvestment,trailingResearchAndDevelopment,quarterlyChangeInAccountPayable,trailingNetOtherFinancingCharges,trailingDilutedEPS,trailingSaleOfInvestment,trailingChangeInInventory,quarterlyCommonStockIssuance,quarterlyEndCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,trailingRepaymentOfDebt,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,trailingRepurchaseOfCapitalStock,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,annualCurrentDeferredRevenue,quarterlyCostOfRevenue,trailingChangeInAccountPayable,quarterlyBeginningCashPosition,annualResearchAndDevelopment,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,trailingChangesInAccountReceivables,trailingBasicAverageShares,trailingCashDividendsPaid,trailingPurchaseOfBusiness,trailingCapitalExpenditure,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,trailingCashFlowFromContinuingFinancingActivities,trailingNetOtherInvestingChanges,annualDeferredIncomeTax,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,trailingDepreciationAndAmortization,quarterlyInterestExpense,annualLongTermDebt,quarterlyCapitalExpenditure,annualStockBasedCompensation
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135987200,800000000.0,50485000.0,216785000.0,,-207000.0,35335000.0,,0.0,,,,,,,,,,-418019000.0,,-574176000.0,-0.746,-596450000.0,1057000.0,-64585000.0,,,,0.0,18568000.0,,1170757000.0,,43797000.0,-0.746,,9506000.0,27472000.0,54868000.0,,,734000.0,370888000.0,240137000.0,,,,,,511094000.0,,-596450000.0,,29799000.0,119266000.0,,230149000.0,-596450000.0,,,874000.0,,,,25588000.0,,,226291000.0,,,1300000.0,-144597000.0,,2972000.0,127733000.0,,369588000.0,,,,,,,,,16000000.0,,,119473000.0,,1198229000.0,8519000.0,,,1300000.0,,,7676000.0,800000000.0,-2327000.0,-14100000.0,,,,,,,7676000.0,23891000.0,,,,,,,,-595716000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167523200,800000000.0,-14100000.0,4880000.0,,-9000.0,23955000.0,,0.0,,,,,,,,,,-13232000.0,,-179402000.0,-0.226,-181125000.0,0.0,-33424000.0,,,,0.0,472000.0,,34924000.0,,0.0,-0.226,,510000.0,1410000.0,0.0,,,-1300000.0,331112000.0,7936000.0,,,,,,106868000.0,,-181125000.0,,20677000.0,-78463000.0,,259378000.0,-181125000.0,,,874000.0,,,,43947000.0,,,5390000.0,,,0.0,-325722000.0,,2551000.0,-57777000.0,,331112000.0,,,,,,,,,16000000.0,,,-78454000.0,,36334000.0,265000.0,,,0.0,,,2680000.0,800000000.0,-19267000.0,-47524000.0,,,,,,,2680000.0,43797000.0,,,,,,,,-182425000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199059200,800191507.0,-47524000.0,6424000.0,,-14000.0,3028000.0,,0.0,,,,,,,,,,-1474000.0,,-1037000.0,-0.0016,-1271000.0,0.0,52369000.0,,-13357000.0,,0.0,46000.0,,37923000.0,,0.0,-0.0016,,13000.0,2144000.0,,,,187000.0,332542000.0,0.0,,,,,,-20000.0,,-1271000.0,,2561000.0,-1448000.0,,2031000.0,-1271000.0,,,1579000.0,,,,1096000.0,,,6437000.0,,,,-326105000.0,,1000.0,-627000.0,,332542000.0,,54181000.0,,,,,,,16023000.0,,,-1434000.0,,40067000.0,13000.0,,,0.0,,,4845000.0,800191507.0,-417000.0,4845000.0,,0.0,,,,13370000.0,4845000.0,0.0,,,,,,,,-1084000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230681600,1193305207.0,4845000.0,42352000.0,,,5680000.0,,0.0,13370000.0,,,,0.0,,0.0,,,0.0,,-2303000.0,-0.0022,-2560000.0,0.0,26433000.0,29071000.0,-13359000.0,,0.0,293000.0,,10519000.0,,0.0,-0.0022,-13359000.0,11000.0,1623000.0,,,11000.0,-38000.0,13292000.0,,42352000.0,13292000.0,,,0.0,-699000.0,,-2560000.0,,3928000.0,-14156000.0,,2031000.0,-2560000.0,,,,0.0,,,589000.0,,0.0,42363000.0,,,,29071000.0,,2000.0,-10606000.0,,13292000.0,,0.0,,,,,,,26386000.0,31328000.0,,-14156000.0,31328000.0,12142000.0,11000.0,,,0.0,,,31328000.0,1193305207.0,-2305000.0,31328000.0,,0.0,0.0,26386000.0,,13370000.0,31328000.0,0.0,2031000.0,,,42363000.0,13292000.0,,,-2598000.0,,11000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246320000,,,,,,,-19532000.0,,,,,,,,0.0,,,,0.0,,,,,,26802000.0,,,,,,,,,,,,,,,9000.0,,,,39850000.0,13364000.0,,,0.0,,,,,,,,,,,,,2031000.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,33351000.0,,,33351000.0,,,,,,,,,,,,,,307000.0,46334000.0,,,,,2031000.0,,,40166000.0,13364000.0,,,,,316000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262217600,1857556510.0,31328000.0,37852000.0,,-633000.0,3698000.0,-21503000.0,0.0,647000.0,,,,,,5049000.0,,,,,-3861000.0,-0.0022,-4219000.0,2031000.0,138000.0,24831000.0,-68000.0,,,293000.0,,236000.0,,5049000.0,-0.0022,-68000.0,579000.0,24000.0,,,579000.0,0.0,13600000.0,,37852000.0,13600000.0,,,0.0,237000.0,,-4219000.0,,2519000.0,-818000.0,,2031000.0,-4219000.0,,,,2031000.0,,,323000.0,,0.0,38431000.0,,,,24831000.0,,65000.0,-309000.0,,13600000.0,,,,,900000.0,,,,46334000.0,31466000.0,,-185000.0,31466000.0,260000.0,579000.0,,,0.0,0.0,-1431000.0,31466000.0,1857556510.0,-2495000.0,31466000.0,,0.0,0.0,46334000.0,,647000.0,31466000.0,56000.0,2031000.0,,,38431000.0,13600000.0,-21503000.0,,-4219000.0,,579000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277856000,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,228061000.0,,,,,,,,,,,,,,,503000.0,,,,243948000.0,16390000.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,234287000.0,,,234287000.0,,,,,,,,,,,,,,0.0,50334000.0,,,,,2031000.0,,,244451000.0,16390000.0,,,,,503000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293753600,5583676178.0,31466000.0,246507000.0,,-2000.0,4057000.0,249999000.0,0.0,649000.0,,,,,,106000.0,,,,,5688000.0,0.001,5243000.0,0.0,204310000.0,233223000.0,-220000.0,,0.0,293000.0,,8524000.0,,106000.0,0.0022,-220000.0,429000.0,359000.0,,-476256000.0,429000.0,0.0,13713000.0,,246507000.0,13713000.0,,,0.0,-33000.0,,5243000.0,,4057000.0,749000.0,,2031000.0,5243000.0,,,106000.0,0.0,,,324000.0,,0.0,246936000.0,,,,233223000.0,9288000.0,152000.0,-372000.0,,13713000.0,-476256000.0,203235000.0,,,0.0,106000.0,9288000.0,,50334000.0,235776000.0,,751000.0,245064000.0,8883000.0,429000.0,,,0.0,203235000.0,8908000.0,245064000.0,2461914520.0,-3698000.0,235776000.0,,0.0,0.0,50334000.0,,649000.0,235776000.0,326000.0,2031000.0,,,246936000.0,13713000.0,249999000.0,,5243000.0,,429000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309392000,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,232755000.0,,,,,,,,,,,,,,,353000.0,,,,240369000.0,15211000.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,2447000.0,,,,220183000.0,,,220183000.0,,,,,,,,,,,,,,0.0,50334000.0,,,,,2031000.0,,,247966000.0,15211000.0,,,,,7597000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325289600,4968586391.0,235776000.0,160647000.0,11000.0,-285000.0,4833000.0,171955000.0,78811000.0,934000.0,,,,,489000.0,0.0,,,,,6504000.0,0.0012,6153000.0,0.0,-144151000.0,239332000.0,-372000.0,,,0.0,,5479000.0,188000.0,0.0,0.0022,-372000.0,79373000.0,-2728000.0,,-470103000.0,562000.0,199000.0,688000.0,,160647000.0,500000.0,,,188000.0,-13913000.0,,6153000.0,,-7945000.0,-66475000.0,,0.0,6153000.0,,-78811000.0,,0.0,,,-77961000.0,,0.0,240020000.0,,,188000.0,239332000.0,68132000.0,152000.0,-60779000.0,,500000.0,-470103000.0,0.0,,,,,68132000.0,78811000.0,70541000.0,91625000.0,,-66190000.0,159757000.0,2751000.0,562000.0,,489000.0,188000.0,0.0,-3720000.0,159757000.0,2857187428.0,5217000.0,91625000.0,,0.0,78811000.0,70541000.0,,934000.0,91625000.0,1135000.0,0.0,,,240020000.0,688000.0,171955000.0,11000.0,6352000.0,78811000.0,79373000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341014400,,,,,,,-310316000.0,,,,,,,676000.0,33008000.0,,,,0.0,,,,,,251164000.0,,,,,,,188000.0,,,,,,,,810000.0,,,,171066000.0,1350000.0,,,188000.0,,,,,,,,,,,,,676000.0,,0.0,,,0.0,,,,,,,,,,,,,,,,60000.0,,80826000.0,,137441000.0,,,137441000.0,,,,,,,,,,,,,,80826000.0,76759000.0,,,,,,,,252702000.0,1538000.0,,,,,81636000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1356912000,5139659860.0,91625000.0,168071000.0,,-333000.0,5216000.0,,0.0,1267000.0,,,,,448000.0,0.0,,,,,16841000.0,0.004,20071000.0,448000.0,75552000.0,251727000.0,-565000.0,,0.0,,,0.0,64000.0,0.0,0.0052,-565000.0,85513000.0,21864000.0,,-450032000.0,702000.0,1213000.0,1857000.0,,168071000.0,1793000.0,,,64000.0,-676000.0,,20071000.0,,5216000.0,84641000.0,,,20071000.0,-7676000.0,-2089000.0,,448000.0,,,-1746000.0,,0.0,253584000.0,,,64000.0,251727000.0,0.0,193000.0,68087000.0,,1793000.0,-450032000.0,,,,,,0.0,,86863000.0,167177000.0,,84974000.0,167177000.0,21864000.0,702000.0,,448000.0,64000.0,,,167177000.0,3844323072.0,16648000.0,167177000.0,,0.0,0.0,86863000.0,,1267000.0,167177000.0,0.0,,,,253584000.0,1857000.0,,,21284000.0,,85513000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1372550400,,,,,,,,,568000.0,,,,,514000.0,0.0,,,,0.0,,,,,,224403000.0,,,,,,,105000.0,,,,,,,-459984000.0,568000.0,,,,209872000.0,70807000.0,,,105000.0,,,,,,,,,,,,,514000.0,,0.0,,,0.0,,,,,,194899000.0,,,,,,,,,,,,,,14303000.0,,,209202000.0,,,,,,,,,,,,,,0.0,86863000.0,,,,,68948000.0,,,295315000.0,70912000.0,,,,,85443000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1388448000,5638470698.0,167177000.0,171172000.0,,-3000.0,6076000.0,,0.0,1270000.0,,,,,461000.0,0.0,,,-64955000.0,,23095000.0,0.0036,20600000.0,461000.0,3009000.0,254955000.0,-790000.0,,0.0,396000.0,,0.0,144000.0,0.0,0.0048,-790000.0,85379000.0,24831000.0,,-429432000.0,480000.0,1874000.0,1596000.0,,171172000.0,1452000.0,,,144000.0,169000.0,,20600000.0,,6076000.0,16635000.0,,,20600000.0,-17372000.0,-78000.0,,461000.0,,,146000.0,,0.0,256551000.0,,,144000.0,254955000.0,,225000.0,-79000.0,,1452000.0,-429432000.0,,,,,,,,86863000.0,170186000.0,,16638000.0,170186000.0,24831000.0,480000.0,,461000.0,144000.0,,,170186000.0,4343133910.0,18755000.0,170186000.0,,0.0,0.0,86863000.0,,1270000.0,170186000.0,0.0,,,,256551000.0,1596000.0,,,22474000.0,,85379000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1404086400,,,,,,,,,405000.0,,,,,40516000.0,0.0,,,,0.0,,,,,,501810000.0,,,,,,,144000.0,,,,,,,-148745000.0,405000.0,,,,513557000.0,96907000.0,,,144000.0,,,,,,,,,,,,,40516000.0,,0.0,,,0.0,,,,,,406522000.0,,,,,,,,,,,,,,106038000.0,,,512560000.0,,,,,,,,,,,,,,0.0,112769000.0,,,,,,,,598861000.0,97051000.0,,,,,85304000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
