,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,annualOtherNonCurrentLiabilities,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,quarterlyChangesInAccountReceivables,quarterlyBasicEPS,annualCashCashEquivalentsAndMarketableSecurities,quarterlyNetOtherInvestingChanges,quarterlyChangeInInventory,annualChangeInCashSupplementalAsReported,trailingGrossProfit,annualRepaymentOfDebt,quarterlyCashAndCashEquivalents,trailingOtherIncomeExpense,quarterlySaleOfInvestment,annualBeginningCashPosition,trailingInterestExpense,quarterlyOtherIntangibleAssets,quarterlyRepaymentOfDebt,annualSellingGeneralAndAdministration,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,annualTotalNonCurrentAssets,quarterlyBeginningCashPosition,quarterlyCapitalStock,annualOtherIncomeExpense,annualGrossPPE,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyOperatingIncome,annualPurchaseOfBusiness,quarterlyTotalRevenue,trailingNetIncomeContinuousOperations,annualNetOtherFinancingCharges,annualChangeInInventory,quarterlyNonCurrentDeferredRevenue,annualBasicEPS,annualStockBasedCompensation,quarterlyChangeInWorkingCapital,annualNonCurrentDeferredTaxesLiabilities,annualCashFlowFromContinuingFinancingActivities,annualInvestingCashFlow,trailingSellingGeneralAndAdministration,quarterlyAccumulatedDepreciation,quarterlyDilutedAverageShares,annualCapitalExpenditure,annualOperatingExpense,quarterlyCashFlowFromContinuingFinancingActivities,annualNetIncomeContinuousOperations,quarterlyOtherNonCashItems,annualTotalRevenue,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOperatingCashFlow,annualDeferredIncomeTax,annualCapitalStock,annualChangesInAccountReceivables,annualInterestExpense,quarterlyCurrentLiabilities,quarterlyPretaxIncome,quarterlyGrossPPE,trailingCostOfRevenue,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,annualInventory,quarterlyTaxProvision,quarterlyDeferredIncomeTax,annualAccumulatedDepreciation,quarterlyNetPPE,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyStockBasedCompensation,trailingOperatingExpense,annualGrossProfit,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,annualResearchAndDevelopment,quarterlyFreeCashFlow,annualNetOtherInvestingChanges,quarterlyGoodwill,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,trailingNetIncome,annualGoodwill,quarterlyTotalAssets,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,annualDilutedEPS,annualRetainedEarnings,annualDilutedAverageShares,annualNetIncome,trailingPretaxIncome,annualGainsLossesNotAffectingRetainedEarnings,quarterlyLongTermDebt,annualPurchaseOfInvestment,trailingOperatingIncome,annualCostOfRevenue,annualOtherCurrentAssets,trailingTotalRevenue,quarterlySellingGeneralAndAdministration,annualOperatingIncome,annualLongTermDebt,quarterlyNetIncomeContinuousOperations,annualPretaxIncome,annualCashDividendsPaid,annualEndCashPosition,annualCurrentDebt,quarterlyNetIncomeCommonStockholders,annualFreeCashFlow,quarterlyDilutedEPS,quarterlyDepreciationAndAmortization,annualNonCurrentDeferredRevenue,trailingTaxProvision,quarterlyPurchaseOfInvestment,quarterlyOtherNonCurrentLiabilities,annualAccountsPayable,annualBasicAverageShares,annualOtherNonCashItems,quarterlyCurrentDebt,annualCashAndCashEquivalents,quarterlyInterestExpense,annualDepreciationAndAmortization,quarterlyNetOtherFinancingCharges,annualStockholdersEquity,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualInvestmentsAndAdvances,quarterlyGrossProfit,annualTaxProvision,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,annualCurrentAccruedExpenses,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherNonCurrentAssets,quarterlyCurrentDeferredRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualAccountsReceivable,annualCurrentAssets,quarterlyOperatingExpense,quarterlyCashDividendsPaid,annualOtherShortTermInvestments,annualCommonStockIssuance,annualSaleOfInvestment,quarterlyBasicAverageShares,annualRepurchaseOfCapitalStock,annualOtherIntangibleAssets,annualCurrentLiabilities,annualNetPPE,annualEbitda,annualOtherNonCurrentAssets,annualOperatingCashFlow,trailingInvestingCashFlow,trailingChangeInAccountPayable,trailingOtherNonCashItems,trailingCashDividendsPaid,quarterlyIncomeTaxPayable,trailingChangeInWorkingCapital,trailingBasicAverageShares,trailingOperatingCashFlow,trailingPurchaseOfBusiness,trailingNetOtherFinancingCharges,annualIncomeTaxPayable,trailingDeferredIncomeTax,trailingResearchAndDevelopment,trailingSaleOfInvestment,trailingCashFlowFromContinuingFinancingActivities,trailingDilutedEPS,trailingFreeCashFlow,trailingNetOtherInvestingChanges,trailingRepaymentOfDebt,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,trailingDilutedAverageShares,trailingCommonStockIssuance,annualCurrentDeferredRevenue,trailingEndCashPosition,trailingChangeInCashSupplementalAsReported,trailingCapitalExpenditure,trailingStockBasedCompensation,trailingRepurchaseOfCapitalStock,trailingDepreciationAndAmortization,trailingChangeInInventory,trailingBeginningCashPosition,trailingBasicEPS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631065600,,-1400000.0,,,,,-0.045,,0.0,,,,,300000.0,,,,,32800000.0,,,32200000.0,,7200000.0,,800000.0,,,,300000.0,100000.0,-1500000.0,-800000.0,,51400000.0,,,,,,,-45100000.0,,,,,-20100000.0,88888889.0,,,44700000.0,,,,-500000.0,23800000.0,-43700000.0,,,,,141300000.0,-9300000.0,104700000.0,,,151800000.0,,-5300000.0,,,84600000.0,,4600000.0,-29100000.0,,,,,,,,-45200000.0,,,20700000.0,178600000.0,166700000.0,,,,,318500000.0,,,,,,,,,178600000.0,,,,,,26100000.0,,,-4000000.0,,,,,-4000000.0,,-0.045,5400000.0,,,,0.0,,,,85300000.0,,8500000.0,,-100000.0,,,0.0,-1500000.0,,30700000.0,,88300000.0,-100000.0,-4000000.0,,,319900000.0,,49300000.0,,,,,,31500000.0,,,,,88888889.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638841600,,10900000.0,,,,,0.145,,0.0,,,,,3400000.0,,,,,31000000.0,,,43600000.0,,3400000.0,,0.0,,,,3400000.0,0.0,-1500000.0,27800000.0,,149700000.0,,,,,,,-30300000.0,,,,,-22700000.0,51724138.0,,,17400000.0,,,,3100000.0,35300000.0,-12800000.0,,,,,181600000.0,17600000.0,106100000.0,,,208400000.0,,10100000.0,,,83400000.0,,33000000.0,-16800000.0,,,,,,,,-14300000.0,,,72600000.0,179200000.0,163300000.0,,,,,371700000.0,,,,,,,,,179200000.0,,,,,,44100000.0,,,7500000.0,,,,,7500000.0,,0.145,5200000.0,,,,0.0,,,,102700000.0,,10000000.0,,0.0,,,0.0,-1500000.0,,77100000.0,,68700000.0,-200000.0,7500000.0,,,360800000.0,,48900000.0,,,,,,49300000.0,,,,,51724138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646704000,,5300000.0,,,,,-0.11,,0.0,,,,,2800000.0,,,,,29300000.0,,,20100000.0,,2200000.0,,0.0,,,,2800000.0,0.0,-1700000.0,3400000.0,,96900000.0,,,,,,,65000000.0,,,,,-25300000.0,50909091.0,,,-63500000.0,,,,-600000.0,30900000.0,64600000.0,,,,,89800000.0,,107700000.0,,,114200000.0,,,,,82400000.0,,8600000.0,-22500000.0,,,,,,,,62900000.0,,,49800000.0,178800000.0,159700000.0,,,,,273900000.0,,,,,,,,,178800000.0,,,,,,38500000.0,,,-5600000.0,,,,,-5600000.0,,-0.11,5200000.0,,,,0.0,,,,38800000.0,,8700000.0,,0.0,,,0.0,-1700000.0,,47100000.0,,50400000.0,-400000.0,-5600000.0,,,268600000.0,,48000000.0,,,,,,43700000.0,,,,,50909091.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654652800,,-4200000.0,0.0,-6900000.0,27800000.0,,,1100000.0,-600000.0,,300000.0,,,1100000.0,,,800000.0,,65500000.0,,132500000.0,28200000.0,,4600000.0,160000000.0,0.0,,-3000000.0,110400000.0,1100000.0,100000.0,-3800000.0,100000.0,,52400000.0,,-100000.0,3000000.0,,-0.19,,3300000.0,,-1500000.0,-8900000.0,,-27000000.0,,-8500000.0,142800000.0,-100000.0,-6900000.0,-200000.0,350400000.0,-1700000.0,27800000.0,2500000.0,,,,34500000.0,92200000.0,,110400000.0,,,110400000.0,58100000.0,,,-27000000.0,83400000.0,,-5400000.0,-32000000.0,,,,173500000.0,-7100000.0,,,-1300000.0,-600000.0,,33800000.0,182400000.0,160000000.0,,,,,270400000.0,270400000.0,274600000.0,-0.19,-32000000.0,36315789.0,-6900000.0,,,182400000.0,,,176900000.0,4600000.0,,24000000.0,30700000.0,182400000.0,-9500000.0,-6800000.0,,0.0,36200000.0,-9500000.0,2100000.0,,-5500000.0,,,,0.0,28200000.0,36315789.0,-100000.0,36200000.0,1100000.0,7300000.0,10300000.0,0.0,-4200000.0,,0.0,-4200000.0,,18600000.0,100000.0,58100000.0,-2300000.0,-9500000.0,,,274600000.0,,11100000.0,,182400000.0,,,110400000.0,18500000.0,,,200000.0,,,,65500000.0,92200000.0,83400000.0,41000000.0,11100000.0,10600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662601600,,-8000000.0,,,,,-0.07,,0.0,,,,,800000.0,,,,,25700000.0,,,39200000.0,,11700000.0,,1100000.0,,,,800000.0,,-2600000.0,-900000.0,,57200000.0,,,,,,,-27600000.0,,,,,-29300000.0,50000000.0,,,28300000.0,,,,-300000.0,25900000.0,-26100000.0,,,,,129700000.0,-9800000.0,112500000.0,,,146700000.0,,-6300000.0,,,83200000.0,-400000.0,4100000.0,-35500000.0,,,,,,,,-28700000.0,,,27200000.0,182300000.0,157300000.0,,,,,304000000.0,,,,,,,,,182400000.0,,,,,,25900000.0,,,-3500000.0,,,,,-3500000.0,,-0.07,5000000.0,,,,-100000.0,,,,64600000.0,,8300000.0,,0.0,,,0.0,-2600000.0,,30000000.0,,77700000.0,-500000.0,-3500000.0,,,312000000.0,,48400000.0,,,,,,30900000.0,,,,,50000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670377600,,2200000.0,,,,,0.055,,0.0,,,,,2000000.0,,,,,25000000.0,,,11200000.0,,10000000.0,,0.0,,,,2000000.0,,-1900000.0,26300000.0,,145700000.0,,,,,,,,,,,,-31900000.0,50000000.0,,,14200000.0,,,,1200000.0,100600000.0,-11000000.0,,,,,180500000.0,16600000.0,114300000.0,,,210200000.0,,11700000.0,,,82400000.0,-100000.0,26300000.0,-25200000.0,,,,,,,,-12900000.0,,,73900000.0,182300000.0,154800000.0,,,,,365000000.0,,,,,,,,,182300000.0,,,,,,45500000.0,,,4900000.0,,,,,4900000.0,,0.055,,,,,0.0,,,,68700000.0,,8800000.0,,100000.0,,,0.0,-1900000.0,,71800000.0,,63600000.0,-1100000.0,4900000.0,,,362800000.0,,47400000.0,,,,,,45500000.0,,,,,50000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678240000,,7100000.0,,,,,0.03,,0.0,,,,,1900000.0,,,,,24200000.0,,,26600000.0,,3700000.0,,0.0,,,,1900000.0,,-1700000.0,13700000.0,,123400000.0,,,,,,,,,,,,-34300000.0,50000000.0,,,-64300000.0,,,,-100000.0,30900000.0,65800000.0,,,,,73500000.0,5600000.0,115400000.0,,,110700000.0,,3400000.0,,,81100000.0,-200000.0,13700000.0,-20100000.0,,,,,,,,64100000.0,,,64800000.0,182300000.0,152200000.0,,,,,262900000.0,,,,,,,,,182200000.0,,,,,,44900000.0,,,2200000.0,,,,,2200000.0,,0.03,,,,,100000.0,,,,16000000.0,,7700000.0,,-100000.0,,,0.0,-1700000.0,,58600000.0,,47000000.0,-500000.0,2200000.0,,,255800000.0,,46900000.0,,,,,,44900000.0,,,,,50000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686188800,,-100000.0,0.0,1700000.0,28100000.0,,,2900000.0,0.0,,1800000.0,,,2900000.0,,,1100000.0,,60400000.0,,142200000.0,30000000.0,,3300000.0,151000000.0,0.0,,-2200000.0,116300000.0,2900000.0,,-2600000.0,-1700000.0,,61700000.0,,-100000.0,1700000.0,,0.075,,,,-16300000.0,-8600000.0,,-36400000.0,,-8800000.0,152900000.0,5500000.0,1700000.0,,388100000.0,1000000.0,28100000.0,-2100000.0,,,,30900000.0,88400000.0,-8000000.0,116300000.0,,,109700000.0,56400000.0,-4900000.0,,-36400000.0,79900000.0,0.0,-1700000.0,-27700000.0,,,,190400000.0,2000000.0,,,-4700000.0,0.0,,26800000.0,172400000.0,151000000.0,,,,,260700000.0,260700000.0,260800000.0,0.075,-27700000.0,50000000.0,1700000.0,,,172400000.0,,,197700000.0,3300000.0,,25900000.0,37500000.0,172400000.0,-3100000.0,4400000.0,,0.0,30300000.0,-3100000.0,17800000.0,,,,,,0.0,30000000.0,50000000.0,2600000.0,30300000.0,2900000.0,6200000.0,10700000.0,-100000.0,-100000.0,,0.0,-2400000.0,,34900000.0,2700000.0,56400000.0,-100000.0,-3100000.0,,,260800000.0,,10700000.0,,172400000.0,,,109700000.0,36600000.0,,,500000.0,,,-700000.0,60400000.0,88400000.0,79900000.0,48200000.0,10700000.0,26600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694137600,,-2500000.0,,,,,-0.035,,0.0,,,,,2500000.0,,,,,22600000.0,,,35300000.0,,6100000.0,,2900000.0,,,,2500000.0,300000.0,-2800000.0,1900000.0,,61400000.0,,,,,,,-38800000.0,,,,,-38900000.0,42146000.0,,,39900000.0,,100000.0,,-400000.0,25200000.0,-37400000.0,,,,,130300000.0,-5000000.0,119100000.0,,,150300000.0,,-2300000.0,,,80200000.0,,5900000.0,-30400000.0,,,,,,,,-40200000.0,,,28500000.0,172400000.0,149900000.0,,,,,300200000.0,,,,,,,,,172400000.0,,,,,,27000000.0,,,-2700000.0,,,,,-2700000.0,,-0.035,4000000.0,,,,0.0,,,,69800000.0,,6700000.0,,-300000.0,,,0.0,-2800000.0,,32900000.0,,79300000.0,-100000.0,-2700000.0,,,302700000.0,,47100000.0,,,,,,31000000.0,,,,,42146000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
