date,quarterlyChangeInWorkingCapital,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,annualInvestmentsAndAdvances,annualRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,annualAccumulatedDepreciation,trailingRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,annualSellingGeneralAndAdministration,annualOperatingExpense,quarterlyDilutedEPS,annualOtherNonCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,annualNetIncomeContinuousOperations,quarterlyGrossProfit,trailingNetIncomeContinuousOperations,trailingSellingGeneralAndAdministration,quarterlyTotalRevenue,trailingOperatingExpense,trailingNetOtherFinancingCharges,annualCurrentAccruedExpenses,annualCashAndCashEquivalents,trailingDeferredIncomeTax,annualCapitalExpenditure,quarterlyGrossPPE,annualTaxProvision,quarterlyOperatingIncome,quarterlyChangeInInventory,annualInterestExpense,annualChangesInAccountReceivables,trailingBeginningCashPosition,trailingCostOfRevenue,annualCurrentAssets,trailingChangeInAccountPayable,annualTotalRevenue,annualDilutedAverageShares,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,quarterlyOtherNonCashItems,quarterlyEbitda,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,quarterlyStockBasedCompensation,annualCommonStockIssuance,quarterlyEndCashPosition,quarterlyBasicAverageShares,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyCashDividendsPaid,annualNetOtherFinancingCharges,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyGoodwill,trailingNetIncomeCommonStockholders,quarterlyPretaxIncome,annualRetainedEarnings,quarterlyStockholdersEquity,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,trailingNetIncome,quarterlyCurrentLiabilities,trailingFreeCashFlow,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherInvestingChanges,annualCurrentDebt,quarterlyRepaymentOfDebt,annualNetIncome,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,annualBasicAverageShares,quarterlyOtherNonCurrentLiabilities,annualCashDividendsPaid,annualBeginningCashPosition,annualLongTermDebt,annualCostOfRevenue,annualOtherCurrentAssets,annualTotalNonCurrentAssets,trailingDepreciationAndAmortization,annualFreeCashFlow,trailingTaxProvision,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,annualStockholdersEquity,quarterlyNetOtherFinancingCharges,trailingPurchaseOfBusiness,quarterlyCashFlowFromContinuingFinancingActivities,annualPurchaseOfBusiness,annualOtherNonCashItems,trailingOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyDilutedAverageShares,annualInvestingCashFlow,annualBasicEPS,quarterlyNetIncome,quarterlyCapitalExpenditure,annualNonCurrentDeferredTaxesLiabilities,annualChangeInInventory,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,trailingStockBasedCompensation,trailingCashDividendsPaid,annualInventory,quarterlyChangeInCashSupplementalAsReported,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyOtherIncomeExpense,quarterlyNetPPE,annualCapitalStock,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyTaxProvision,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyCostOfRevenue,trailingChangeInInventory,annualNetPPE,quarterlyBasicEPS,annualOperatingCashFlow,quarterlyOperatingExpense,annualGrossProfit,annualCurrentLiabilities,annualStockBasedCompensation,annualOtherIntangibleAssets,annualGoodwill,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,trailingRepaymentOfDebt,quarterlyCapitalStock,trailingChangeInWorkingCapital,annualOtherNonCurrentLiabilities,annualEbitda,annualRepaymentOfDebt,annualGainsLossesNotAffectingRetainedEarnings,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,annualOtherIncomeExpense,annualNetOtherInvestingChanges,trailingGrossProfit,annualOperatingIncome,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualDilutedEPS,annualCashCashEquivalentsAndMarketableSecurities,annualEndCashPosition,trailingInterestExpense,trailingPretaxIncome,annualPretaxIncome,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,trailingTotalRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,annualGrossPPE,trailingChangeInCashSupplementalAsReported,trailingInvestingCashFlow,annualAccountsPayable,trailingOtherIncomeExpense,trailingOperatingIncome,quarterlyTotalNonCurrentAssets,quarterlyCurrentDebt,quarterlyInterestExpense,trailingCashFlowFromContinuingFinancingActivities,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyChangesInAccountReceivables,trailingEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyPurchaseOfInvestment,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable,annualSaleOfInvestment,trailingResearchAndDevelopment,trailingSaleOfInvestment,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,annualResearchAndDevelopment,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,trailingDilutedAverageShares,trailingCommonStockIssuance,annualCurrentDeferredRevenue,annualPurchaseOfInvestment,quarterlyNonCurrentDeferredRevenue,annualOtherShortTermInvestments,trailingBasicEPS
1998-12-31,,,,,,,,-1480000000.0,,,5019000000.0,,,,1632000000.0,,3885000000.0,6136000000.0,,6310000000.0,313000000.0,,,-626000000.0,-841000000.0,,,,,536000000.0,,1100000000.0,15531000000.0,,4000000.0,24140000000.0,1457142857.0,1632000000.0,,,,,,,,,,,,,,,,,,3870000000.0,,,,,,,3870000000.0,,3040000000.0,31391000000.0,16257000000.0,,,,1632000000.0,,,1457142857.0,,,,,15586000000.0,,,1047000000.0,,2000000.0,,,15134000000.0,,-284000000.0,,,,97000000.0,,,,,,1.12,,,,,,,135000000.0,-1542000000.0,2570000000.0,,,3965000000.0,,,,,,,,,,31000000.0,6494000000.0,,,,8554000000.0,,,,,,,-5044000000.0,,-448000000.0,,3535000000.0,,,,,0.0,,10337000000.0,3535000000.0,,,1.12,,,456000000.0,3447000000.0,2999000000.0,,,25868000000.0,,,-925000000.0,6494000000.0,228000000.0,-960000000.0,,-124000000.0,4027000000.0,,,,-2787000000.0,,,,1328000000.0,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31,,,,,,,,,,,5236000000.0,,,,1753000000.0,,,,,,,,,,-860000000.0,,,,,539000000.0,,,,,,23430000000.0,1460833333.0,1753000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30336000000.0,16875000000.0,,,,1753000000.0,,,1460833333.0,,,,,14615000000.0,,,,,,,,13461000000.0,,,,,,,,,,,,1.2,,,,,,,,,2563000000.0,,,,,,,,,,,,,,6526000000.0,,,,8815000000.0,,,,,,,,,,,3579000000.0,,,,,0.0,,,3579000000.0,,,1.2,,,,,3040000000.0,,,,,,,6526000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-31,,,,,,,-3637000000.0,,,8068000000.0,8603000000.0,,3930000000.0,,2001000000.0,,,,,,,3637000000.0,191000000.0,,-16430000000.0,,1414000000.0,,,597000000.0,,,,7152000000.0,,26532000000.0,1455000000.0,992000000.0,245000000.0,,,30433000000.0,,,,,,,,,-44000000.0,,17000000.0,,,,,992000000.0,,,,,,,,52071000000.0,38023000000.0,,859000000.0,,2001000000.0,,,1455000000.0,,-1009000000.0,95000000.0,24102000000.0,12883000000.0,185000000.0,44919000000.0,,-13176000000.0,,,,14048000000.0,,,,,129000000.0,,,,,,-16138000000.0,1.38,,,1446000000.0,175000000.0,12982000000.0,1034000000.0,,,3041000000.0,,3231000000.0,,,,0.0,,,,,,,,9405000000.0,,3254000000.0,,13649000000.0,7590000000.0,,31584000000.0,,,,,,,4885000000.0,6615000000.0,,-2174000000.0,,,0.0,-8000000.0,,5046000000.0,1123000000.0,96000000.0,1.38,191000000.0,191000000.0,,,3415000000.0,,,,,,,13042000000.0,,,1971000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-31,-953000000.0,37732000000.0,1560000000.0,,,55000000.0,,,,,,0.22,,-2227000000.0,,4100000000.0,,,8367000000.0,,,,,,,13088000000.0,,1092000000.0,-201000000.0,,,,,,,,,,,120000000.0,1517000000.0,,,,,163000000.0,1455000000.0,-194000000.0,,,,30299000000.0,,1318000000.0,,,610000000.0,,14321000000.0,,7432000000.0,2768000000.0,,7433000000.0,,,,13000000.0,,,,290000000.0,-3744000000.0,,4721000000.0,,,,,,,,,,,3854000000.0,,519000000.0,,164000000.0,,,,,2000000.0,326000000.0,1455000000.0,,,326000000.0,-174000000.0,,,,,,,,-28000000.0,,,0.0,9344000000.0,,1467000000.0,3257000000.0,284000000.0,24111000000.0,1850000000.0,4267000000.0,,,0.22,,3008000000.0,,,,,,3530000000.0,3289000000.0,,0.0,,,,,,-172000000.0,191000000.0,,,,,,,,,,,,,52053000000.0,326000000.0,,163000000.0,163000000.0,,,,,,,,44621000000.0,493000000.0,482000000.0,,31423000000.0,425000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-30,76000000.0,28750000000.0,1567000000.0,,,28000000.0,,,,,,0.33,,-2439000000.0,,4300000000.0,,,8692000000.0,,,,,,,13000000000.0,,1365000000.0,14000000.0,,,,,,,,,,,-385000000.0,1775000000.0,,,,,187000000.0,1530303030.0,-321000000.0,,,,20630000000.0,,1792000000.0,,,914000000.0,,23008000000.0,,7387000000.0,2695000000.0,,8120000000.0,,,,8000000.0,,,,215000000.0,-3854000000.0,,4712000000.0,,,,,,,,,,,3837000000.0,,1149000000.0,,-277000000.0,,,,,626000000.0,505000000.0,1530303030.0,,,505000000.0,-274000000.0,,,,,,,,24000000.0,,,0.0,9146000000.0,,1682000000.0,3168000000.0,409000000.0,14236000000.0,2903000000.0,4392000000.0,,,0.33,,2935000000.0,,,,,,3300000000.0,3212000000.0,,0.0,,,,,,352000000.0,163000000.0,,,,,,,,,,,,,51758000000.0,505000000.0,,187000000.0,187000000.0,,,,,,,,44371000000.0,350000000.0,451000000.0,,31388000000.0,410000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-30,-146000000.0,28516000000.0,1558000000.0,,,147000000.0,,,,,,0.29,,-2417000000.0,,3832000000.0,,,8056000000.0,,,,,,,13078000000.0,,1176000000.0,-132000000.0,,,,,,,,,,,-146000000.0,1565000000.0,,,,,175000000.0,1734482759.0,-208000000.0,,,,20097000000.0,,2069000000.0,31472000000.0,,920000000.0,,23307000000.0,,7348000000.0,2417000000.0,,8419000000.0,,,,45000000.0,,,,232000000.0,-3988000000.0,,4783000000.0,,,,,,,,,,,3913000000.0,,-314000000.0,,-587000000.0,,,,-8000000.0,784000000.0,503000000.0,1734482759.0,,,503000000.0,-243000000.0,,,,,,,,-12000000.0,,,0.0,9090000000.0,,1660000000.0,3273000000.0,417000000.0,13654000000.0,2709000000.0,4224000000.0,,,0.29,,2656000000.0,,,,,,3436000000.0,3121000000.0,,0.0,,,,,,541000000.0,187000000.0,,,,,,,,,,,,,51823000000.0,503000000.0,,175000000.0,175000000.0,,,,,,,,44475000000.0,716000000.0,256000000.0,,,389000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,426000000.0,32320000000.0,1897000000.0,,,184000000.0,-4163000000.0,,,10498000000.0,11460000000.0,,3726000000.0,-2568000000.0,1882000000.0,4112000000.0,,,8760000000.0,,,3877000000.0,162000000.0,,-1101000000.0,13272000000.0,1565000000.0,1251000000.0,212000000.0,1452000000.0,,,,7006000000.0,,33875000000.0,1608547009.0,1882000000.0,414000000.0,324000000.0,1669000000.0,23445000000.0,,,8425000000.0,162000000.0,,-499000000.0,,,0.0,23445000000.0,-597000000.0,2391000000.0,,,1003000000.0,2391000000.0,23478000000.0,,7006000000.0,2618000000.0,,8875000000.0,,55798000000.0,32320000000.0,-14000000.0,2873000000.0,,1882000000.0,221000000.0,-4163000000.0,1608547009.0,5280000000.0,-225000000.0,191000000.0,13134000000.0,17531000000.0,221000000.0,48792000000.0,,2227000000.0,,,3726000000.0,23478000000.0,-1579000000.0,,-1431000000.0,,-87000000.0,,-10000000.0,1916000000.0,548000000.0,,-1222000000.0,1.17,548000000.0,-410000000.0,5031000000.0,-107000000.0,-2131000000.0,1642000000.0,,,3026000000.0,-13000000.0,3131000000.0,,0.0,9109000000.0,0.0,5031000000.0,3026000000.0,455000000.0,13134000000.0,0.0,4648000000.0,,9109000000.0,,3328000000.0,2861000000.0,16344000000.0,8875000000.0,,35957000000.0,,3877000000.0,3131000000.0,,0.0,,5280000000.0,6526000000.0,,-2568000000.0,1506000000.0,175000000.0,0.0,52000000.0,,4884000000.0,0.0,-29000000.0,1.17,162000000.0,162000000.0,,,3447000000.0,55798000000.0,548000000.0,,162000000.0,162000000.0,,13272000000.0,,,1897000000.0,,,48792000000.0,2873000000.0,263000000.0,,35957000000.0,418000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-31,-589000000.0,31960000000.0,1665000000.0,,,-11000000.0,,,,,,0.4,,-2637000000.0,,2864000000.0,,,7147000000.0,,,,,,,13390000000.0,,1304000000.0,-201000000.0,,,,,,,,,,,-76000000.0,1476000000.0,,,,,152000000.0,1732500000.0,-171000000.0,,-225000000.0,,22222000000.0,,2859000000.0,,,1074000000.0,,23877000000.0,,7311000000.0,1558000000.0,,9738000000.0,,,,5000000.0,,,,248000000.0,-4296000000.0,,5405000000.0,,,,,,,,,,,3488000000.0,,0.0,,-54000000.0,,,,,216000000.0,693000000.0,1732500000.0,,,693000000.0,-195000000.0,,,,,,,,-10000000.0,,,0.0,9094000000.0,,5013000000.0,3309000000.0,381000000.0,11804000000.0,560000000.0,4283000000.0,,,0.4,,1560000000.0,,,,,,3345000000.0,3195000000.0,,0.0,,,,,,21000000.0,162000000.0,,,,,,,,,,,,,55837000000.0,693000000.0,,152000000.0,152000000.0,,,,,,,,48526000000.0,4168000000.0,230000000.0,,35944000000.0,172000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-30,-269000000.0,31710000000.0,1699000000.0,,,85000000.0,,,,,,0.52,,-2350000000.0,,3127000000.0,,,7513000000.0,,,,,,,13847000000.0,,1619000000.0,-4000000.0,,,,,,,,,,,-191000000.0,1791000000.0,,,,,140000000.0,1732692308.0,-234000000.0,,-226000000.0,,23081000000.0,,3534000000.0,,,1397000000.0,,24839000000.0,,7410000000.0,1506000000.0,,8629000000.0,,,,12000000.0,,,,263000000.0,-4559000000.0,,5450000000.0,,,,,,,,,,,3536000000.0,,0.0,,-709000000.0,,,,,929000000.0,901000000.0,1732692308.0,,,901000000.0,-248000000.0,,,,,,,,-12000000.0,,,-1000000.0,9288000000.0,,5083000000.0,3376000000.0,496000000.0,12548000000.0,0.0,4386000000.0,,,0.52,,1508000000.0,,,,,,3328000000.0,3266000000.0,,0.0,,,,,,681000000.0,152000000.0,,,,,,,,,,,,,56549000000.0,901000000.0,,140000000.0,140000000.0,,,,,,,,49139000000.0,3050000000.0,221000000.0,,36315000000.0,172000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-30,1000000.0,31433000000.0,1709000000.0,,,41000000.0,,,,,,0.5,,-2384000000.0,,2971000000.0,,,7216000000.0,,,,,,,14073000000.0,,1560000000.0,-230000000.0,,,,,,,,,,,-8000000.0,1738000000.0,,,,,127000000.0,1738000000.0,-363000000.0,,-225000000.0,,23386000000.0,,4143000000.0,,,1350000000.0,,25329000000.0,,7431000000.0,1410000000.0,,8047000000.0,,,,7000000.0,,,,255000000.0,-4706000000.0,,5409000000.0,,,,,,,,,,,3601000000.0,,2160000000.0,,-728000000.0,,,,,1081000000.0,869000000.0,1738000000.0,,,869000000.0,-314000000.0,,,,,,,,-13000000.0,,,0.0,9367000000.0,,5106000000.0,3588000000.0,480000000.0,12871000000.0,2311000000.0,4245000000.0,,,0.5,,1411000000.0,,,,,,3429000000.0,3138000000.0,,0.0,,,,,,767000000.0,140000000.0,,,,,,,,,,,,,56762000000.0,869000000.0,,127000000.0,127000000.0,,,,,,,,49331000000.0,598000000.0,210000000.0,,36363000000.0,178000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
