,quarterlyCapitalStock,trailingRepaymentOfDebt,quarterlyBeginningCashPosition,annualRepaymentOfDebt,annualEbitda,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyOperatingExpense,annualOtherNonCurrentLiabilities,trailingNetIncomeCommonStockholders,trailingGrossProfit,quarterlyStockholdersEquity,annualCashCashEquivalentsAndMarketableSecurities,annualChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyNetOtherInvestingChanges,annualOtherCurrentLiabilities,trailingInterestExpense,quarterlyRepaymentOfDebt,annualCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,trailingOtherIncomeExpense,annualBeginningCashPosition,annualDilutedAverageShares,annualGrossPPE,quarterlySaleOfInvestment,annualOtherIncomeExpense,annualTotalNonCurrentAssets,quarterlyCashAndCashEquivalents,quarterlyChangesInAccountReceivables,trailingCapitalExpenditure,trailingChangeInCashSupplementalAsReported,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,trailingDepreciationAndAmortization,annualSellingGeneralAndAdministration,quarterlyCurrentDebt,trailingCashFlowFromContinuingFinancingActivities,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,annualNonCurrentDeferredTaxesLiabilities,annualOperatingExpense,annualPurchaseOfBusiness,trailingNetIncomeContinuousOperations,quarterlyBasicAverageShares,trailingOtherNonCashItems,trailingOperatingExpense,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalRevenue,quarterlyOperatingCashFlow,trailingDeferredIncomeTax,annualCapitalExpenditure,quarterlyIncomeTaxPayable,trailingStockBasedCompensation,trailingSellingGeneralAndAdministration,quarterlyGrossPPE,annualBasicAverageShares,annualNetIncomeContinuousOperations,annualPurchaseOfInvestment,quarterlyOperatingIncome,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,annualChangeInInventory,annualInvestingCashFlow,trailingNetOtherFinancingCharges,trailingBeginningCashPosition,annualInterestExpense,trailingNetIncome,annualGoodwill,trailingChangesInAccountReceivables,annualStockBasedCompensation,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,trailingCostOfRevenue,quarterlyTaxProvision,annualChangesInAccountReceivables,annualCapitalStock,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyChangeInCashSupplementalAsReported,annualNetOtherFinancingCharges,annualGrossProfit,annualInventory,annualAccumulatedDepreciation,quarterlyRepurchaseOfCapitalStock,trailingChangeInInventory,quarterlyEbitda,annualDeferredIncomeTax,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualCommonStockIssuance,annualFreeCashFlow,quarterlyFreeCashFlow,trailingChangeInWorkingCapital,quarterlyRetainedEarnings,annualOperatingIncome,annualNetOtherInvestingChanges,annualTotalRevenue,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentLiabilities,trailingChangeInAccountPayable,annualRetainedEarnings,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,trailingFreeCashFlow,trailingCommonStockIssuance,quarterlyGoodwill,annualEndCashPosition,annualTaxProvision,annualCurrentDebt,quarterlyTotalAssets,annualTotalAssets,quarterlyNetIncomeCommonStockholders,annualPretaxIncome,trailingTotalRevenue,annualOtherCurrentAssets,quarterlyTotalNonCurrentAssets,annualCostOfRevenue,annualLongTermDebt,annualNetIncome,quarterlyBasicEPS,annualAccountsPayable,trailingInvestingCashFlow,trailingOperatingIncome,quarterlyOtherNonCurrentLiabilities,trailingEndCashPosition,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,trailingTaxProvision,quarterlyTotalLiabilitiesNetMinorityInterest,annualRepurchaseOfCapitalStock,quarterlyOtherNonCurrentAssets,quarterlyChangeInAccountPayable,annualIncomeTaxPayable,annualSaleOfInvestment,annualOtherNonCashItems,annualDilutedEPS,annualStockholdersEquity,trailingRepurchaseOfCapitalStock,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,annualCashAndCashEquivalents,annualDepreciationAndAmortization,annualCurrentAccruedExpenses,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,trailingPretaxIncome,quarterlyLongTermDebt,quarterlyInvestingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyDilutedAverageShares,quarterlyEndCashPosition,annualBasicEPS,annualCurrentAssets,trailingOperatingCashFlow,annualAccountsReceivable,quarterlyOtherIncomeExpense,quarterlyChangeInInventory,quarterlyInventory,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,annualCurrentLiabilities,quarterlyAccountsReceivable,annualOtherNonCurrentAssets,quarterlyCostOfRevenue,annualOperatingCashFlow,trailingNetOtherInvestingChanges,annualNetPPE,annualOtherIntangibleAssets,annualOtherShortTermInvestments,annualNetIncomeCommonStockholders,annualResearchAndDevelopment,trailingBasicAverageShares,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,annualInvestmentsAndAdvances,trailingCashDividendsPaid,quarterlyInvestmentsAndAdvances,trailingPurchaseOfBusiness,annualCashDividendsPaid,trailingDilutedEPS,trailingBasicEPS,trailingResearchAndDevelopment,quarterlyCashDividendsPaid,annualNonCurrentDeferredRevenue,trailingSaleOfInvestment,trailingPurchaseOfInvestment,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733536000,,,400000.0,,,,3300000.0,,9000000.0,,,,31500000.0,,,0.005,-600000.0,,,,,-10000000.0,2400000.0,,,,,,,,,,,,,,,,4100000.0,,10900000.0,,,,,,,68936000.0,,,,28500000.0,100000.0,,,,,,30700000.0,,,,3200000.0,-800000.0,900000.0,,,,,,,,,,3400000.0,20700000.0,,1300000.0,,,,-2100000.0,,,-400000.0,,,,,,,3200000.0,,,13100000.0,,,,-700000.0,,31100000.0,,,,,18400000.0,,,35100000.0,9000000.0,,,,,,,63000000.0,,2000000.0,,,,27900000.0,,,,0.005,,,,600000.0,,,,,31500000.0,,7200000.0,,,,,,,,200000.0,12200000.0,,,,2000000.0,2000000.0,,12500000.0,-1400000.0,,68936000.0,0.0,,,,,100000.0,,26200000.0,,,,,,,16300000.0,,,,,,,,,,,,,,,,,,,,,,,,,
741398400,,,0.0,,,,3600000.0,,10100000.0,,,,54300000.0,,,0.005625,6600000.0,,,,,-10300000.0,800000.0,,,,,,,,10100000.0,,,,10100000.0,,,,500000.0,,9300000.0,,,,,,,68936000.0,,,,35400000.0,-400000.0,,,,,,23700000.0,,,,3500000.0,-2500000.0,14200000.0,,,,,,,,,,2800000.0,13400000.0,,1200000.0,,,,-2900000.0,,,9000000.0,,,,,,,3500000.0,,,1400000.0,,,,-2900000.0,,34200000.0,,,,,12600000.0,,,54100000.0,10100000.0,,,,,,,68300000.0,,2400000.0,,,,14200000.0,,,,0.005625,,,,400000.0,,,,,14000000.0,,800000.0,,,,,,,,19500000.0,13600000.0,,,,2400000.0,2400000.0,,1000000.0,-4800000.0,,68936000.0,0.0,,,,,100000.0,,26800000.0,,,,,,,21800000.0,,,,,,,,,,,,,,,,,,,,,,,,,
749347200,,,0.0,,,,4200000.0,,11100000.0,,,,57000000.0,,,0.005,0.0,,,,,-10300000.0,15400000.0,,,,,,,,3900000.0,,,,3900000.0,,,,500000.0,,9900000.0,,,,,,,68960000.0,,,,37800000.0,1600000.0,,,,,,25300000.0,,,,4200000.0,-2300000.0,-100000.0,,,,,,,,,,2700000.0,15000000.0,,1600000.0,,,,-1000000.0,,,-6200000.0,,,,,,,4200000.0,,,1400000.0,,,,-700000.0,,26800000.0,,,,,13100000.0,,,55600000.0,11100000.0,,,,,,,71500000.0,,2600000.0,,,,15900000.0,,,,0.005,,,,500000.0,,,-6000000.0,,14500000.0,,900000.0,,,,,,,,19600000.0,15300000.0,,,,2600000.0,2600000.0,,900000.0,-7800000.0,,68960000.0,0.0,,,,,100000.0,,28700000.0,,,,,,,22500000.0,,,,,,,,,,,,,,,,,,,,,,,,,
757296000,,,0.0,,15400000.0,,1600000.0,,15100000.0,400000.0,,,57800000.0,3200000.0,1600000.0,,0.0,3000000.0,,,14500000.0,-11200000.0,1800000.0,,1600000.0,68984000.0,28200000.0,9600000.0,400000.0,17900000.0,3200000.0,,,,3200000.0,,,42500000.0,500000.0,,10500000.0,,,200000.0,45300000.0,,,,,,,35500000.0,-3100000.0,,-8500000.0,,,,28200000.0,68984000.0,8200000.0,-18900000.0,1600000.0,-2900000.0,-500000.0,-10700000.0,-11100000.0,,,200000.0,,,,,3000000.0,17000000.0,,500000.0,,,,6100000.0,,,-800000.0,-500000.0,57900000.0,34800000.0,-11200000.0,,,1600000.0,-100000.0,15300000.0,1300000.0,-13300000.0,19800000.0,-10300000.0,-6000000.0,,37600000.0,12600000.0,6000000.0,137200000.0,,14000000.0,,37600000.0,55200000.0,12300000.0,,,,0.0,4600000.0,500000.0,73100000.0,73100000.0,1100000.0,12800000.0,,1800000.0,17900000.0,79300000.0,700000.0,8200000.0,,10500000.0,,,400000.0,,,-4000000.0,,15300000.0,,900000.0,,,10100000.0,100000.0,0.01625,57800000.0,,-20100000.0,16700000.0,3200000.0,2800000.0,,1100000.0,1100000.0,,700000.0,2900000.0,200000.0,,0.0,0.01625,55200000.0,,,200000.0,,34800000.0,,1300000.0,,14000000.0,,900000.0,18800000.0,-1800000.0,,17000000.0,,,8200000.0,,,,,,,,,,,,,,,,,,,
765072000,,,3200000.0,,,,3900000.0,,11100000.0,,,,60800000.0,,,0.004375,100000.0,,,,,-11200000.0,1200000.0,,,,,1900000.0,,,3700000.0,,,,3700000.0,,,,400000.0,,13100000.0,,,,,,,69160000.0,,,,36700000.0,700000.0,,,,,,30100000.0,,,,3800000.0,-2700000.0,500000.0,,,,,,,,,,3300000.0,18900000.0,,1500000.0,,,,-1700000.0,,600000.0,500000.0,,,,,,,3800000.0,,,1300000.0,,,,-2000000.0,,40000000.0,,,,,16800000.0,,,58700000.0,11100000.0,,,,,,,78900000.0,,2400000.0,,,,20200000.0,,,,0.004375,,,,600000.0,,,,,18100000.0,,1300000.0,,,,,,,,-100000.0,14900000.0,,,,2400000.0,2400000.0,,700000.0,-700000.0,,69160000.0,0.0,,,,,100000.0,,38900000.0,,,,,,,21800000.0,,,,,,,,,,,,,,,,,,,,,,,,,
772934400,,,0.0,,,,4600000.0,,13100000.0,,,,64100000.0,,,0.005625,-400000.0,,,,,-11800000.0,1200000.0,,,,,1700000.0,,,2000000.0,,,,2000000.0,,,,400000.0,,11500000.0,,,,,,,69264000.0,,,,43300000.0,0.0,,,,,,33200000.0,,,,4500000.0,-3200000.0,200000.0,,,,,,,,,,3700000.0,21400000.0,,1700000.0,,,,-3000000.0,,300000.0,-1700000.0,,,,,,,4500000.0,,,1200000.0,,,,-3200000.0,,42900000.0,,,,,15600000.0,,,58000000.0,13100000.0,,,,,,,80900000.0,,2900000.0,,,,22900000.0,,,,0.005625,,,,600000.0,,,,,16800000.0,,1500000.0,,,,,,,,-100000.0,17600000.0,,,,2900000.0,2900000.0,,600000.0,-1900000.0,,69264000.0,0.0,,,,,100000.0,,40400000.0,,,,,,,25700000.0,,,,,,,,,,,,,,,,,,,,,,,,,
780883200,,,0.0,,,,5100000.0,,13500000.0,,,,67500000.0,,,0.00625,300000.0,,,,,-12600000.0,1200000.0,,,,,0.0,,,900000.0,,,,900000.0,,,,400000.0,,12400000.0,,,,,,,69344000.0,,,,44700000.0,2000000.0,,,,,,36800000.0,,,,5100000.0,-3600000.0,100000.0,,,,,,,,,,3800000.0,24200000.0,,1900000.0,,,,-1200000.0,,200000.0,-1100000.0,,,,,,,5100000.0,,,1200000.0,,,,-1600000.0,,46200000.0,,,,,16600000.0,,,59000000.0,13500000.0,,,,,,,85300000.0,,3200000.0,,,,26300000.0,,,,0.00625,,,,600000.0,,,,,17800000.0,,2100000.0,,,,,,,,0.0,18600000.0,,,,3200000.0,3200000.0,,600000.0,-3300000.0,,69344000.0,0.0,,,,,100000.0,,42800000.0,,,,,,,26100000.0,,,,,,,,,,,,,,,,,,,,,,,,,
788832000,,,0.0,,20400000.0,,4000000.0,,17500000.0,400000.0,,,70200000.0,3400000.0,200000.0,,-1300000.0,5200000.0,,,100000.0,-13400000.0,1600000.0,,3200000.0,69432000.0,40900000.0,4100000.0,500000.0,30100000.0,3400000.0,,,,3400000.0,,,52100000.0,300000.0,,10300000.0,,,400000.0,55300000.0,,,,,,,42400000.0,5700000.0,,-13700000.0,,,,40900000.0,69432000.0,11100000.0,-1100000.0,3900000.0,-4200000.0,-700000.0,-7600000.0,-8300000.0,,,100000.0,,,,,5200000.0,27500000.0,,1500000.0,,,,6500000.0,,-500000.0,2500000.0,0.0,72500000.0,42500000.0,-13400000.0,,,3900000.0,,17100000.0,1300000.0,-6800000.0,600000.0,-5300000.0,1500000.0,,48700000.0,17200000.0,-1300000.0,167100000.0,,15800000.0,,48700000.0,57200000.0,14300000.0,,,,0.0,6500000.0,300000.0,87300000.0,87300000.0,2500000.0,17600000.0,,1600000.0,30100000.0,94600000.0,500000.0,11100000.0,,10300000.0,,,400000.0,,,,,17100000.0,,2600000.0,,,7700000.0,600000.0,0.02,70200000.0,,0.0,21400000.0,3400000.0,3200000.0,,2500000.0,2500000.0,,500000.0,-2400000.0,400000.0,,0.0,0.02,57200000.0,,,200000.0,,42500000.0,,1300000.0,,15800000.0,,2600000.0,21000000.0,8400000.0,,27500000.0,,,11100000.0,,,,,,,,,,,,,,,,,,,
796608000,,,3400000.0,,,,4600000.0,,13000000.0,,,,74100000.0,,,0.005625,0.0,,,,,-14200000.0,2900000.0,,,,,1100000.0,,,2000000.0,,,,2000000.0,,,,1300000.0,,12100000.0,,,,,,,69776000.0,,,,42800000.0,1000000.0,,,,,,45700000.0,,,,4600000.0,-4800000.0,1400000.0,,,,,,,,,,5500000.0,31500000.0,,1700000.0,,,,-1900000.0,,300000.0,-1300000.0,,,,,,,4600000.0,,,1400000.0,,,,-3800000.0,,51600000.0,,,,,18900000.0,,,59900000.0,13000000.0,,,,,,,94400000.0,,2900000.0,,,,34500000.0,,,,0.005625,,,,900000.0,,,,,20300000.0,,3000000.0,,,,,,,,100000.0,17600000.0,,,,2900000.0,2900000.0,,500000.0,-3700000.0,,69776000.0,0.0,,,,,100000.0,,45800000.0,,,,,,,25200000.0,,,,,,,,,,,,,,,,,,,,,,,,,
