,annualNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,quarterlyNetOtherFinancingCharges,trailingPurchaseOfBusiness,annualStockholdersEquity,quarterlyResearchAndDevelopment,annualPurchaseOfBusiness,quarterlyCapitalExpenditure,annualAccountsReceivable,annualDepreciationAndAmortization,quarterlyDilutedEPS,annualPurchaseOfInvestment,quarterlyLongTermDebt,annualInvestingCashFlow,quarterlyOtherNonCurrentAssets,quarterlyOperatingCashFlow,trailingPretaxIncome,trailingSaleOfInvestment,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualGoodwill,quarterlyTaxProvision,trailingNetIncome,annualChangeInInventory,trailingCashDividendsPaid,quarterlyInventory,quarterlyNetPPE,trailingNetOtherInvestingChanges,quarterlyOtherCurrentLiabilities,annualOperatingCashFlow,quarterlyCommonStockIssuance,quarterlyCostOfRevenue,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,annualDilutedAverageShares,annualCurrentLiabilities,annualNetPPE,quarterlyAccountsReceivable,annualOtherIntangibleAssets,quarterlyChangeInCashSupplementalAsReported,annualGrossProfit,annualInventory,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,quarterlyBasicAverageShares,annualOtherNonCurrentLiabilities,annualOperatingIncome,quarterlyBasicEPS,quarterlyFreeCashFlow,annualCapitalStock,annualTotalRevenue,trailingResearchAndDevelopment,annualRepaymentOfDebt,trailingGrossProfit,annualNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,trailingEndCashPosition,annualBasicAverageShares,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,annualEndCashPosition,trailingInterestExpense,annualPretaxIncome,trailingPurchaseOfInvestment,trailingTotalRevenue,quarterlyTotalNonCurrentAssets,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,trailingOperatingIncome,annualAccountsPayable,trailingInvestingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingCapitalExpenditure,trailingChangeInCashSupplementalAsReported,quarterlySaleOfInvestment,annualGrossPPE,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyGrossProfit,annualSellingGeneralAndAdministration,quarterlyTotalLiabilitiesNetMinorityInterest,annualOtherNonCurrentAssets,trailingSellingGeneralAndAdministration,annualOperatingExpense,trailingOperatingExpense,trailingNetIncomeContinuousOperations,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,annualNetIncomeContinuousOperations,annualBasicEPS,annualCashAndCashEquivalents,quarterlyOperatingIncome,quarterlyGrossPPE,annualCapitalExpenditure,quarterlyTotalRevenue,trailingNetOtherFinancingCharges,quarterlyInvestingCashFlow,annualNetOtherFinancingCharges,quarterlyEndCashPosition,trailingBeginningCashPosition,annualInterestExpense,trailingCostOfRevenue,quarterlyChangeInInventory,quarterlyOtherNonCashItems,annualDilutedEPS,annualCurrentAssets,annualResearchAndDevelopment,annualEbitda,quarterlyCashDividendsPaid,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyEbitda,annualNetIncomeCommonStockholders,quarterlyRetainedEarnings,annualFreeCashFlow,annualTotalLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyPurchaseOfBusiness,annualCommonStockIssuance,annualOtherShortTermInvestments,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyOperatingExpense,trailingNetIncomeCommonStockholders,annualCostOfRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyGoodwill,trailingFreeCashFlow,quarterlySellingGeneralAndAdministration,annualRetainedEarnings,quarterlyStockholdersEquity,annualTotalAssets,quarterlyNetOtherInvestingChanges,annualTaxProvision,annualCurrentDebt,annualCashDividendsPaid,quarterlyRepaymentOfDebt,annualBeginningCashPosition,annualLongTermDebt,quarterlyOtherCurrentAssets,annualNetIncome,annualOtherCurrentAssets,annualOtherNonCashItems,quarterlyDilutedAverageShares,annualTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,trailingTaxProvision,trailingRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,trailingDeferredIncomeTax,annualDeferredIncomeTax,trailingChangeInAccountPayable,annualStockBasedCompensation,quarterlyOtherIncomeExpense,trailingOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyRepurchaseOfCapitalStock,annualChangesInAccountReceivables,trailingOperatingCashFlow,annualInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,trailingBasicEPS,trailingBasicAverageShares,annualNonCurrentDeferredRevenue,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCurrentDeferredRevenue,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,annualRepurchaseOfCapitalStock,annualAccumulatedDepreciation,annualGainsLossesNotAffectingRetainedEarnings,trailingCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,trailingChangeInInventory,quarterlyCurrentDeferredRevenue,annualOtherIncomeExpense,annualChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,annualIncomeTaxPayable,trailingDepreciationAndAmortization,trailingOtherIncomeExpense,trailingDilutedAverageShares,quarterlyAccumulatedDepreciation
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662601600,,,,,51446920.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168632328.43,26749167.58,,21319966.79,,39082829.6,,,,,,,,,,39082829.6,,,41332680.17,218642826.81,,,,,,34584800.84,,,,,,,21469584.79,,,,,,,23058147.62,,,,,,26749167.58,,,,,,10733207.44,,0.0,,,,,19185901.32,,,,,,,,,,,,,,,,,161276906.74,,39082829.6,,0.0,,19185901.32,,,168632328.43,,,,,,,,,,179559997.21,,,,,,,220079248.55,,2283683.47,37500000.0,,,,,,19185901.32,109432211.6,,,58802341.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694137600,,,,,190567000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101662132.72,,,,,,,,,,101662132.72,,,,101662132.72,,,,,,,,,,,,,13097973.02,,,,,,,,,,,,,,,,,,,,,100598424.3,,,,,10132873.02,0.002813,,,,,,,,,,,,,,,0.002813,,,101662132.72,,377927100.0,,10132873.02,,,377927100.0,,,,,,,,,,,,,,,,,568494100.0,,2965100.0,,,,,,,10132873.02,,,,568494100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725760000,,,,,235426866.35,,,,58948594.28,,,,,,,,,,,,,,,,,,,,,,,,,,,705493071.55,99360924.14,,78309636.35,,78385598.59,219893301.2,221303270.08,,,,,,,1781863.37,37145150.29,,,92365611.4,661356211.38,,,,,,60938643.4,,,,,,,79159743.79,,,,,,,42994697.79,,,,,,99360924.14,,,,35227595.1,,118840672.56,,41240448.3,,,,,65421050.81,0.020062,204653478.04,,,,,,,,,,9328103.54,,,,0.020062,666011352.81,,88487847.33,,19820784.59,,71333519.79,,,725313856.14,,,,16649792.04,,,,,,582970612.79,,,,,,,962522585.86,,13738692.98,196887471.8,,,,19820784.59,,71333519.79,23072739.04,,,296511233.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757296000,,,,,928417358.16,,,,71384446.96,,,,21770657.02,,301970315.91,,,,,,,,,,,570163906.76,166388606.98,,48904297.24,,,,48855807.14,,,1135584689.91,166388606.98,71384446.96,2797303.07,,159436344.33,570163906.76,739144076.18,2797303.07,,183546916.4,,,,1887862.52,59723986.16,,,183546916.4,1091758858.9,,,,,,48904297.24,,,,2136158632.31,,,180904680.87,,,471156225.96,336555180.0,690288269.04,,69044915.07,,739144076.18,,,,166388606.98,,,,84221253.31,1205853411.63,301970315.91,,99712358.17,,,,69044915.07,153552488.08,0.04309,690288269.04,,166388606.98,,,,,,,,21062353.28,,,,0.04309,1665002406.35,,201967034.15,,70268721.72,,155155331.19,155155331.19,,1205853411.63,1665002406.35,,,48855807.14,1135584689.91,70268721.72,,,,932322514.57,,,,,155155331.19,928417358.16,2136158632.31,,27352192.79,336555180.0,,,,21770657.02,128190758.65,155155331.19,128190758.65,,,471156225.96,1887862.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772934400,,,,,,,,,,,,,,,350524481.18,,,,,,,,,,,,173841740.17,,1191698358.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2238958122.51,,,,,,524366221.35,,,,,,,,,,,,,,,1264800648.66,,,,,,,,,,,,173841740.17,,,,,,,,,,,,,,,,,,,,,,,1714591901.16,,,,1191698358.06,73102290.6,,,,,,,,,,971003620.47,,,,,,,,,1714591901.16,,,,,,73102290.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788832000,,,,,1089371037.68,,,,224680993.21,,,,85175587.54,,348146508.02,,,,,,,,,,,867093603.77,308347282.1,,249314.7,,,,42488988.68,,,1442120725.79,308347282.1,224680993.21,32915749.2,,312063357.69,867093603.77,507553758.92,32915749.2,,242955336.4,,,,58520321.1,150842832.75,,,242955336.4,1249663007.64,,,,,,249314.7,,,,2675187672.11,,,215031121.31,,,689409539.32,407662500.0,465064770.24,,137621235.53,,507553758.92,,,,308347282.1,,,,124223698.2,1527296313.33,348146508.02,,161220524.94,,,,137621235.53,175968245.3,0.048003,465064770.24,,308347282.1,,,,,,,,17018264.91,,,,0.048003,1985778132.79,,232049386.22,,85175587.54,,173367919.72,173832893.87,,1527296313.33,1985778132.79,,,42488988.68,1442120725.79,85175587.54,,,,937599649.95,,,,,173832893.87,1089371037.68,2675187672.11,,39062876.01,407662500.0,,,,85175587.54,-7707904.96,173367919.72,-7707904.96,,,689409539.32,58520321.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804470400,,,,,,,,,,,,,,,380269582.34,,,,,,,,,,,,313834071.82,,1571620470.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2829178845.95,,,,,,694103654.16,,,,,,,,,,,,,,,1656467102.25,,,,,,,,,,,,313834071.82,,,,,,,,,,,,,,,,,,,,,,,2135075191.79,,,,1571620470.11,84846632.14,,,,,,,,,,1119525049.71,,,,,,,,,2135075191.79,,,,,,84846632.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820368000,,,,,1179492645.8,,,,369305070.4,,,,53442568.8,,415203137.76,,,,,,,,,,,1222124277.41,254574420.71,,30085334.32,,,,56936110.62,,,1746428636.51,254574420.71,369305070.4,27702130.26,,436195027.22,1222124277.41,561460737.33,27702130.26,,288225136.4,,,,182764159.08,199385728.35,,,288225136.4,1515464942.37,,,,,,30085334.32,,,,3234377489.99,,,208146813.64,,,697479688.73,647114732.59,504524626.71,,168396148.52,,561460737.33,,,,254574420.71,,,,196465201.1,1872120685.11,415203137.76,,236809298.87,,,,168396148.52,168255020.92,0.039154,504524626.71,,254574420.71,,,,,,,,45818820.12,,,,0.039154,2536897801.26,,253965633.76,,125692048.6,,147452376.33,4313657.33,,1872120685.11,2536897801.26,,,56936110.62,1746428636.51,125692048.6,,,,1079269915.15,,,,,4313657.33,1179492645.8,3234377489.99,,39891792.72,647114732.59,,,,53442568.8,-4554164.62,147452376.33,-4554164.62,,,697479688.73,182764159.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836092800,,,,,,,,,,,,,,,440922733.13,,,,,,,,,,,,242740114.99,,1663855501.47,,,,,,,,,,,,,,,,,288225136.4,,,,,,,,,,,,,,,,,,,3218677625.2,,,,,,683662848.12,,,,,,,,,,,,,,,1797291945.77,,,,,,,,,,,,242740114.99,,,,,,,,,,,,,,,,,,,,57914698.6,,,2535014777.08,,,,1663855501.47,133436444.3,,,,,,,,,,1237149031.21,,,,,,,,,2535014777.08,,,,,,133436444.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
