date,trailingRepaymentOfDebt,annualCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyBeginningCashPosition,annualOtherIntangibleAssets,annualGrossProfit,annualRepaymentOfDebt,annualNetPPE,annualEbitda,quarterlyStockholdersEquity,trailingGrossProfit,annualTotalNonCurrentAssets,trailingNetIncomeCommonStockholders,annualOperatingCashFlow,annualDilutedEPS,quarterlyCashAndCashEquivalents,annualOtherCurrentLiabilities,annualOtherIncomeExpense,quarterlyPretaxIncome,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,quarterlyOtherCurrentAssets,trailingCashFlowFromContinuingFinancingActivities,annualDilutedAverageShares,trailingChangeInCashSupplementalAsReported,quarterlyCashCashEquivalentsAndMarketableSecurities,annualGrossPPE,quarterlyAccumulatedDepreciation,trailingOtherIncomeExpense,quarterlySaleOfInvestment,annualOtherNonCurrentLiabilities,annualPurchaseOfBusiness,trailingOtherNonCashItems,annualBeginningCashPosition,quarterlyChangesInAccountReceivables,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,annualSaleOfInvestment,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,annualRepurchaseOfCapitalStock,quarterlyInvestmentsAndAdvances,annualOtherNonCurrentAssets,quarterlyNetIncome,annualOtherNonCashItems,trailingDepreciationAndAmortization,annualSellingGeneralAndAdministration,quarterlyOtherNonCurrentAssets,annualCashAndCashEquivalents,quarterlyNetIncomeContinuousOperations,annualCurrentAssets,annualDepreciationAndAmortization,annualStockholdersEquity,annualLongTermDebt,annualTaxProvision,annualTotalAssets,quarterlyChangeInInventory,quarterlyNetOtherInvestingChanges,quarterlyOtherIncomeExpense,annualCurrentAccruedExpenses,annualCurrentLiabilities,annualRetainedEarnings,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlySellingGeneralAndAdministration,trailingChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyCurrentAccruedExpenses,annualNetIncomeCommonStockholders,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyAccountsReceivable,quarterlyOperatingExpense,quarterlyInventory,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,annualOtherShortTermInvestments,annualCommonStockIssuance,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,annualBasicAverageShares,trailingRepurchaseOfCapitalStock,annualTotalLiabilitiesNetMinorityInterest,trailingChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,annualChangeInWorkingCapital,annualGainsLossesNotAffectingRetainedEarnings,quarterlyOtherShortTermInvestments,trailingNetOtherInvestingChanges,annualAccountsPayable,annualNetOtherInvestingChanges,annualOperatingIncome,annualOtherCurrentAssets,trailingFreeCashFlow,trailingCommonStockIssuance,trailingCostOfRevenue,trailingTotalRevenue,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingNetIncome,annualEndCashPosition,quarterlyNetIncomeCommonStockholders,annualNetIncome,trailingCashDividendsPaid,trailingTaxProvision,trailingEndCashPosition,trailingPretaxIncome,annualCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyOtherNonCurrentLiabilities,quarterlyFreeCashFlow,quarterlyBasicEPS,annualCostOfRevenue,quarterlyTotalNonCurrentAssets,annualCashDividendsPaid,annualPretaxIncome,annualFreeCashFlow,annualCurrentDebt,quarterlyTotalAssets,trailingOperatingIncome,quarterlyDeferredIncomeTax,annualNonCurrentDeferredTaxesLiabilities,annualInvestmentsAndAdvances,annualIncomeTaxPayable,quarterlyAccountsPayable,annualAccumulatedDepreciation,quarterlyRepurchaseOfCapitalStock,annualInvestingCashFlow,annualOperatingExpense,trailingSellingGeneralAndAdministration,quarterlyInterestExpense,quarterlyCapitalExpenditure,annualCapitalExpenditure,annualNetIncomeContinuousOperations,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,trailingInvestingCashFlow,trailingDeferredIncomeTax,annualBasicEPS,trailingCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyIncomeTaxPayable,trailingNetOtherFinancingCharges,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,trailingStockBasedCompensation,quarterlyTotalRevenue,trailingOperatingExpense,trailingNetIncomeContinuousOperations,quarterlyGrossPPE,annualChangeInInventory,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangesInAccountReceivables,quarterlyNetPPE,trailingBeginningCashPosition,trailingPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyDilutedAverageShares,annualCashFlowFromContinuingFinancingActivities,quarterlyTaxProvision,trailingChangesInAccountReceivables,annualInventory,quarterlyEbitda,annualChangeInCashSupplementalAsReported,trailingChangeInInventory,annualPurchaseOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,annualTotalRevenue,annualCapitalStock,annualDeferredIncomeTax,annualNetOtherFinancingCharges,annualInterestExpense,annualStockBasedCompensation,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualGoodwill,annualNonCurrentDeferredRevenue,trailingResearchAndDevelopment,trailingSaleOfInvestment,trailingDilutedEPS,trailingPurchaseOfInvestment,annualResearchAndDevelopment,trailingDilutedAverageShares,quarterlyNonCurrentDeferredRevenue,trailingInterestExpense,quarterlyGoodwill,trailingBasicEPS
2009-12-31,-1811041000.0,18771000.0,,,,228000.0,,127000.0,-6066000.0,,320115000.0,300000.0,-87933000.0,-5833000.0,0.29756,,0.0,,,,,,-213576000.0,20500040.0,-522935000.0,,189000.0,,31383000.0,,381000.0,,337595000.0,24690000.0,,,,,,,,,0.0,,0.0,432196000.0,6294000.0,,18771000.0,,18850000.0,43000.0,-1971000.0,0.0,,19150000.0,,,,0.0,75000.0,-12329000.0,,,,54933000.0,381000.0,22000.0,,,,6100000.0,0.0,549938000.0,,,,,,,,,,,20500040.0,-8315000.0,456000.0,-190554000.0,,,,15000.0,-18000.0,,-349693000.0,75000.0,-8000.0,-6110000.0,79000.0,115679000.0,132404000.0,24179478000.0,24499593000.0,,,,-87385000.0,18771000.0,,6100000.0,-205068000.0,-42293000.0,536265000.0,-82902000.0,0.0,,,,,0.0,,-8000.0,,-5903000.0,0.0,,48026000.0,,,,,,-62000.0,,-78000.0,6338000.0,261455000.0,,,-70000.0,6100000.0,,,-859297000.0,-44659000.0,0.29756,-434259000.0,,,,-6221000.0,,,35769000.0,,272089000.0,-40609000.0,,0.0,,67000.0,,1059200000.0,-75345000.0,,,-8000.0,,188045000.0,0.0,,-5919000.0,55988000.0,,,,,228000.0,10376000.0,,0.0,10000.0,0.0,,,,,,,,,,,,,,
2010-12-31,,155457000.0,516231000.0,,,6700000.0,,639565000.0,-34171000.0,458661000.0,,694264000.0,,-1208000.0,-2.163752,155457000.0,0.0,-6051000.0,,,,11106000.0,,20500040.0,,155457000.0,640825000.0,-1260000.0,,,21512000.0,,,18771000.0,,,,,,815732000.0,,,0.0,,3260000.0,,40999000.0,0.0,155457000.0,,580129000.0,1530000.0,458661000.0,323814000.0,,1274393000.0,,,,366515000.0,470406000.0,-56521000.0,,323814000.0,,,345326000.0,23294000.0,66339000.0,,366515000.0,-44357000.0,36937000.0,,36937000.0,,376629000.0,,,,,,,,20500040.0,,815732000.0,,-56521000.0,,,35807000.0,-1049000.0,,,36302000.0,-8000.0,-35701000.0,11106000.0,,,,,470406000.0,580129000.0,345326000.0,,155457000.0,,-44357000.0,,,,,66339000.0,,21512000.0,,,203971000.0,694264000.0,0.0,,-502512000.0,1250000.0,1274393000.0,,,,,,36302000.0,-1260000.0,,-501312000.0,42401000.0,,,,-501304000.0,-44357000.0,,1250000.0,,,-2.163752,,,,,,,0.0,,,,,640825000.0,14126000.0,-1049000.0,-36438000.0,639565000.0,,,,,639206000.0,,,376629000.0,,136686000.0,,,,,,210671000.0,516231000.0,,494206000.0,1388000.0,2300000.0,,,,,,,,,,,,,,
2011-06-30,,,925925000.0,,,,,,,989109000.0,,,,,,143937000.0,,,,,,14321000.0,,,,143937000.0,,-16707000.0,,,,,,,,,,,,2569400000.0,,,,,,,,0.0,,,,,,,,,,,,,,,,701471000.0,,,,,101601000.0,,1214128000.0,,,,351004000.0,,1469369000.0,,,,,,,,,,,,64233000.0,,,,,,,,,,,,,,,1824188000.0,1978631000.0,745212000.0,,,,,,,,,,,43741000.0,,,,1579878000.0,,,,,3558509000.0,,,,,,284966000.0,,,,,,,,,,,161250000.0,,,,,,,,,,0.0,,,,,1443377000.0,,-1049000.0,,1426670000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-30,,,,143937000.0,,,,,,,,,,,,,,,,-168657000.0,0.0,,,,,,,,,,,,,,56686000.0,16891000.0,,,578533000.0,,,,,306397000.0,,,,,,306397000.0,,,,,,,-259880000.0,48219000.0,-30000.0,,,,,,229776000.0,,,,,,,,,,,246505000.0,,4166227000.0,,,,-85884000.0,161670000.0,224607000.0,,,,,,17779000.0,,,,,,,,,,,,,,,,,,,306397000.0,,,,,,,,,179370000.0,,,,,,,,,,,,,,,,,,,,,-134103000.0,,,-146919000.0,,,,,,,313473000.0,,,332028000.0,,,4744760000.0,,,,,,,,,,9086000.0,,,,,,349807000.0,,,,80670000.0,614000.0,-22911000.0,,,,,,,,,,,,,,,,,,,,
2011-12-31,,50166000.0,0.0,224607000.0,,446344000.0,-520046000.0,1513947000.0,363337000.0,1107615000.0,,1674605000.0,,249282000.0,11.837587,50166000.0,0.0,1373000.0,,-51119000.0,0.0,0.0,,20500040.0,,50166000.0,1555175000.0,-41228000.0,,,36553000.0,-168156000.0,,155457000.0,-21934000.0,-20344000.0,,,-590490000.0,2513494000.0,0.0,,0.0,-184480000.0,23228000.0,,86183000.0,0.0,50166000.0,-184480000.0,1946504000.0,56919000.0,1107615000.0,800851000.0,,3621109000.0,135120000.0,-40421000.0,2038000.0,1095877000.0,1660127000.0,186150000.0,,800851000.0,-443072000.0,,853367000.0,249765000.0,189234000.0,,1095877000.0,242671000.0,316252000.0,,316252000.0,-424965000.0,1516727000.0,5366931000.0,,,0.0,-48447000.0,-160569000.0,50166000.0,20500040.0,,2513494000.0,,186150000.0,19097000.0,,-85820000.0,-2376000.0,,,286067000.0,-58977000.0,306418000.0,0.0,,,,,1660127000.0,1946504000.0,853367000.0,,50166000.0,-184480000.0,242671000.0,,,,,189234000.0,,36553000.0,-226378000.0,,14513994000.0,1674605000.0,,242671000.0,-262778000.0,4014000.0,3621109000.0,,,,,,286067000.0,-41228000.0,,-739193000.0,139926000.0,,,-8026000.0,-512060000.0,242671000.0,92358000.0,4014000.0,,,11.837587,,,-218352000.0,,,-165525000.0,0.0,,4776441000.0,,,1555175000.0,-512054000.0,-2376000.0,-279315000.0,1513947000.0,,,-84365000.0,,384620000.0,,,1516727000.0,-146428000.0,-105291000.0,,,-174441000.0,605000.0,28179000.0,14960338000.0,0.0,,397148000.0,,2516000.0,,,,,,,,,,,,,,
2012-03-31,,,,50166000.0,,,,,,,,,,,,,,,-202531000.0,-651044000.0,,,,,,,,,,,,,,,-180988000.0,-15558000.0,,,-132230000.0,,,,,-202531000.0,,,,,,-202531000.0,,,,,,,54144000.0,-15720000.0,-4537000.0,,,,,,13814000.0,,,,,-9.879542,,,,,,34356000.0,,4848336000.0,0.0,,,-39116000.0,62886000.0,6255000.0,,,,,,21752000.0,20500040.0,,,,,,,,,,,,,,,,,,-202531000.0,,,,,,,,,-292097000.0,-9.879542,,,,,,,,,0.0,,,,,,,,,,31408000.0,-23396000.0,,,263906000.0,,,,,,250000.0,-268701000.0,,,-166586000.0,,,4716106000.0,,,,,,,,,,-80110000.0,20500040.0,,0.0,,,-144834000.0,,,,-43911000.0,507000.0,-18998000.0,,,,,,,,,,,,,,,,,,,,
2012-06-30,,,,6255000.0,,,,,,,,,,,,,,,555742000.0,-390674000.0,,,,,,,,,,,,,,,48992000.0,-104330000.0,,,627267000.0,,,,,555742000.0,,,,,,555742000.0,,,,,,,-119898000.0,-10011000.0,4626000.0,,,,,,25286000.0,,,,,27.109313,,,,,,47708000.0,,4449748000.0,-12860000.0,,,-50738000.0,-57004000.0,8728000.0,,,,,,23728000.0,20500040.0,,,,,,,,,,,,,,,,,,555742000.0,,,,,,,,,345348000.0,27.109313,,,,,,,,,0.0,,,,,,,,,,28443000.0,-40727000.0,,,-332864000.0,,,,,,0.0,386075000.0,,,579559000.0,,,5077015000.0,,,,,,,,,,-200281000.0,20500040.0,,0.0,,,603287000.0,,,,2473000.0,540000.0,7771000.0,,,,,,,,,,,,,,,,,,,,
2012-09-30,,,0.0,8728000.0,,,,,,1633326000.0,,,,,,170048000.0,,,186564000.0,-142879000.0,,0.0,,,,170048000.0,,,,,,,,,-47993000.0,-6656000.0,1297000.0,,283526000.0,2299181000.0,,,,186564000.0,,,,88201000.0,,186564000.0,,,,,,,150933000.0,21381000.0,-6664000.0,,,,,732961000.0,38942000.0,,,,202953000.0,9.100665,1019775000.0,,,,496241000.0,63397000.0,1479728000.0,5111680000.0,,,,-44001000.0,-45035000.0,170048000.0,,,,,710843000.0,25664000.0,20500040.0,,,,,,,,,,,,,1532010000.0,2172405000.0,767171000.0,,,186564000.0,,,,,,,,12986000.0,286066000.0,9.100665,,1760102000.0,,,,,3932507000.0,,,,,,246914000.0,,,,,,26901000.0,-65382000.0,,,-146127000.0,0.0,,,,,,351448000.0,,,220129000.0,0.0,,5395206000.0,,,,,-2357000.0,,1574712000.0,,,110983000.0,20500040.0,,0.0,,,245793000.0,,,,161320000.0,660000.0,29749000.0,,,,,,,,,,,,,,,,,,,,
2012-12-31,,285884000.0,24000.0,170048000.0,1085000.0,1130785000.0,-1184597000.0,1635587000.0,1015754000.0,419754000.0,,1945798000.0,,812433000.0,0.08,285884000.0,0.0,-4163000.0,,0.0,0.0,0.0,,97230904.0,,285884000.0,1741762000.0,-106175000.0,,,1083000.0,0.0,,50166000.0,-7555000.0,-11565000.0,1085000.0,,-185658000.0,2530157000.0,-571160000.0,,87149000.0,-537818000.0,7344000.0,,120443000.0,87149000.0,285884000.0,264263000.0,2307904000.0,97650000.0,419754000.0,729980000.0,1275000.0,4253702000.0,-165276000.0,-39057000.0,2412000.0,963882000.0,1603074000.0,1956000.0,,729980000.0,-495479000.0,,927083000.0,73990000.0,237084000.0,,963882000.0,1956000.0,503796000.0,,503796000.0,-470660000.0,1497119000.0,5136018000.0,,,579058000.0,-85452000.0,113143000.0,285884000.0,23570240.0,,2530157000.0,,1956000.0,26506000.0,,-118022000.0,-61000.0,,,360057000.0,-43407000.0,918104000.0,0.0,,,,,1603074000.0,2307904000.0,927083000.0,,285884000.0,-537818000.0,1956000.0,,,,,237084000.0,,1083000.0,297216000.0,,19007902000.0,1945798000.0,-160965000.0,805312000.0,636533000.0,0.0,4253702000.0,,,,,1275000.0,360057000.0,-106175000.0,,-219307000.0,212681000.0,,,-46395000.0,-175900000.0,804037000.0,-142323000.0,0.0,,,0.08,,,343611000.0,1275000.0,,285002000.0,0.0,,4950360000.0,,,1741762000.0,-80097000.0,-61000.0,-187544000.0,1635587000.0,,,51386000.0,,-357408000.0,,,1497119000.0,311508000.0,235718000.0,,,115836000.0,1247000.0,-11178000.0,20138687000.0,24000.0,,-138109000.0,108629000.0,2954000.0,,,,,,,,,,,,,,
2013-03-31,,,24000.0,285884000.0,,,,,,1761407000.0,,,,,,404088000.0,,,77155000.0,0.0,,0.0,,,,404088000.0,,,,,,,,,-159050000.0,-733000.0,997000.0,,156731000.0,2747666000.0,,,,11406000.0,,,,85382000.0,,69711000.0,,,,,,,22060000.0,-3001000.0,-1339000.0,,,,,682768000.0,30094000.0,,,,260081000.0,0.48,1066546000.0,,,,662846000.0,56626000.0,1450518000.0,4641116000.0,-32976000.0,,,-59153000.0,116163000.0,404088000.0,,,,,6278000.0,28142000.0,23589687.0,,,,,,,,,,,,,1828727000.0,2551677000.0,919155000.0,,,11406000.0,,,,,,,,32603000.0,211066000.0,0.48,,1957396000.0,,,,,4509073000.0,,7444000.0,,,,476220000.0,,,,,,21611000.0,-56152000.0,,,-33709000.0,,,,,,0.0,211066000.0,1275000.0,,100105000.0,0.0,,4797847000.0,,,,,-87000.0,,1658291000.0,,,107381000.0,97415576.0,,7444000.0,,,126637000.0,,,,118204000.0,1020000.0,-8153000.0,,,,,,,,,,,,,,,,,,,,
