,trailingChangeInWorkingCapital,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualBasicEPS,annualTotalLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,annualFreeCashFlow,annualCommonStockIssuance,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyDilutedAverageShares,annualNetOtherInvestingChanges,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentLiabilities,trailingFreeCashFlow,annualTotalRevenue,quarterlyGoodwill,annualCostOfRevenue,annualRetainedEarnings,quarterlyFreeCashFlow,quarterlySellingGeneralAndAdministration,annualCurrentDebt,annualEndCashPosition,annualPretaxIncome,annualDilutedEPS,annualNetIncome,annualTaxProvision,annualCurrentDeferredRevenue,trailingEndCashPosition,annualTotalAssets,trailingTotalRevenue,annualLongTermDebt,annualCashDividendsPaid,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,annualNonCurrentDeferredRevenue,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,annualOperatingIncome,quarterlyPurchaseOfInvestment,annualOtherCurrentAssets,trailingTaxProvision,annualAccountsPayable,trailingInvestingCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyBasicEPS,quarterlyTotalLiabilitiesNetMinorityInterest,annualRepurchaseOfCapitalStock,quarterlyNetOtherFinancingCharges,annualIncomeTaxPayable,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,annualSaleOfInvestment,annualInvestmentsAndAdvances,trailingRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,annualStockholdersEquity,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualDepreciationAndAmortization,annualCashAndCashEquivalents,annualCurrentAccruedExpenses,quarterlyOtherNonCurrentAssets,quarterlyChangeInInventory,quarterlyLongTermDebt,trailingPretaxIncome,annualCurrentAssets,trailingOperatingCashFlow,annualAccountsReceivable,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyInventory,quarterlyInvestingCashFlow,annualBasicAverageShares,annualNetIncomeCommonStockholders,quarterlyCurrentAccruedExpenses,annualChangeInAccountPayable,quarterlyCashDividendsPaid,annualNetPPE,quarterlyCostOfRevenue,quarterlyAccountsReceivable,annualOtherIntangibleAssets,trailingNetOtherInvestingChanges,annualEbitda,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCurrentLiabilities,annualOperatingCashFlow,annualOtherNonCurrentAssets,quarterlyCapitalStock,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,annualOtherNonCurrentLiabilities,quarterlyOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,quarterlyPretaxIncome,annualOtherCurrentLiabilities,trailingGrossProfit,trailingOtherIncomeExpense,quarterlyOperatingExpense,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyDilutedEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,trailingNetIncomeCommonStockholders,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,trailingInterestExpense,quarterlyOtherCurrentAssets,annualCashFlowFromContinuingFinancingActivities,annualBeginningCashPosition,quarterlySaleOfInvestment,trailingChangeInCashSupplementalAsReported,trailingCapitalExpenditure,quarterlyChangesInAccountReceivables,annualOtherIncomeExpense,annualDilutedAverageShares,annualOtherNonCashItems,annualSellingGeneralAndAdministration,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingDepreciationAndAmortization,trailingCashFlowFromContinuingFinancingActivities,quarterlyCashAndCashEquivalents,annualTotalNonCurrentAssets,quarterlyCurrentDebt,annualGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,trailingOtherNonCashItems,trailingNetIncomeContinuousOperations,quarterlyResearchAndDevelopment,quarterlyOperatingIncome,annualPurchaseOfBusiness,quarterlyGainsLossesNotAffectingRetainedEarnings,annualNonCurrentDeferredTaxesLiabilities,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyOperatingCashFlow,trailingSellingGeneralAndAdministration,annualInvestingCashFlow,quarterlyGrossPPE,trailingStockBasedCompensation,annualChangeInInventory,quarterlyTotalRevenue,annualPurchaseOfInvestment,annualNetIncomeContinuousOperations,annualOperatingExpense,quarterlyCashFlowFromContinuingFinancingActivities,trailingDeferredIncomeTax,annualCapitalExpenditure,quarterlyCapitalExpenditure,trailingChangesInAccountReceivables,trailingCashDividendsPaid,quarterlyTaxProvision,trailingResearchAndDevelopment,trailingNetIncome,annualCapitalStock,trailingCostOfRevenue,quarterlyNetPPE,annualChangesInAccountReceivables,annualGoodwill,annualStockBasedCompensation,trailingBeginningCashPosition,annualInterestExpense,annualDeferredIncomeTax,trailingChangeInInventory,quarterlyEbitda,annualNetOtherFinancingCharges,trailingOperatingExpense,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,annualAccumulatedDepreciation,quarterlyOtherShortTermInvestments,quarterlyRepurchaseOfCapitalStock,annualInventory,annualChangeInWorkingCapital,quarterlyOtherNonCashItems,annualResearchAndDevelopment,annualGrossProfit,quarterlyStockBasedCompensation,trailingDilutedAverageShares,quarterlyPurchaseOfBusiness,trailingBasicEPS,trailingCommonStockIssuance,trailingChangeInAccountPayable,trailingBasicAverageShares,annualOtherShortTermInvestments,quarterlyCommonStockIssuance,trailingSaleOfInvestment,trailingPurchaseOfInvestment,trailingPurchaseOfBusiness,trailingDilutedEPS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112227200,,,,,,,,,,113300000.0,,,,,,,,,,,,,,,,,,,,,,,-14467000.0,,,,,,,,,,,,-0.1267,,,,,,,,,,,,-14467000.0,-14467000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1267,,,,,,,,,,,,,,,,,,,,113300000.0,,,,,,,,,,,,,,216733000.0,,,,,,,,,,,,,,216733000.0,,,,,,,,,,,,,,,,,,,,,,,216733000.0,,,,,,,,,,,,,,,,,,,,,,,,,
1120089600,,,,,,,,,,113300000.0,,,,,,,,,,,,,,,,,,,,,,,-14467000.0,,,,,,,,,,,,-0.1267,,,,,,,,,,,,-14467000.0,-14467000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1267,,,,,,,,,,,,,,,,,,,,113300000.0,,,,,,,,,,,,,,216733000.0,,,,,,,,,,,,,,216733000.0,,,,,,,,,,,,,,,,,,,,,,,216733000.0,,,,,,,,,,,,,,,,,,,,,,,,,
1128038400,,,,,,,,,,113300000.0,,,,,,,,,,,,,,,,,,,,,,,-14467000.0,,,,,,,,,,,,-0.1267,,,,,,,,,,,,-14467000.0,-14467000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1267,,,,,,,,,,,,,,,,,,,,113300000.0,,,,,,,,,,,,,,216733000.0,,,,,,,,,,,,,,216733000.0,,,,,,,,,,,,,,,,,,,,,,,216733000.0,,,,,,,,,,,,,,,,,,,,,,,,,
1135987200,,1019300000.0,-0.8,1330800000.0,,79200000.0,,862100000.0,-90300000.0,,0.0,4200000.0,311500000.0,,1207600000.0,,1056400000.0,-90300000.0,,,11600000.0,241300000.0,-76600000.0,-0.8,-90300000.0,13700000.0,,,1656600000.0,,710000000.0,,-46900000.0,,,794500000.0,1656600000.0,-67800000.0,,0.0,,173700000.0,,308200000.0,,1330800000.0,,,,,,,,,,325800000.0,-46900000.0,-46900000.0,31900000.0,241300000.0,125600000.0,275700000.0,,710000000.0,,862100000.0,,98800000.0,,,510700000.0,,112875000.0,-90300000.0,125600000.0,,,518800000.0,,98800000.0,,,-35900000.0,1019300000.0,311500000.0,223800000.0,275700000.0,1200000.0,,,308200000.0,,241300000.0,,600000.0,,,,,325800000.0,,1100000.0,,,,241300000.0,-28600000.0,,,0.0,1047800000.0,0.0,,,,,1300000.0,112875000.0,25000000.0,140700000.0,,,241300000.0,,,241300000.0,794500000.0,11600000.0,547400000.0,,173700000.0,,,,-718000000.0,,4200000.0,1100000.0,,,,,,,-1030300000.0,547400000.0,,-31400000.0,557400000.0,,-90300000.0,219000000.0,,,-144600000.0,,,,,,,1200000.0,,518800000.0,,,,,25500000.0,,,-718000000.0,352800000.0,,600000.0,,-28600000.0,,,510700000.0,257200000.0,,78300000.0,151200000.0,,,,,,,,,,,,,
1143763200,,1120200000.0,,,17800000.0,,,958400000.0,-27200000.0,46400000.0,,,354000000.0,,,,,,-3800000.0,35300000.0,,,,,,,,,,,,,32000000.0,,,889500000.0,1847900000.0,,,,,,,410300000.0,0.83,1474200000.0,,-1300000.0,,,137800000.0,,,,,,32000000.0,32000000.0,,,,293600000.0,-31500000.0,706700000.0,,,,,1400000.0,236200000.0,537200000.0,-93800000.0,,,88000000.0,,,,533000000.0,175000000.0,,,,,,,,400000.0,241300000.0,,,,,57400000.0,,,,77700000.0,0.0,373700000.0,0.69,3200000.0,,,,,-45500000.0,,,0.0,,,,,,,,,,,38400000.0,11200000.0,236200000.0,,,236200000.0,,13100000.0,,,233200000.0,,,42400000.0,60100000.0,,15000000.0,,,41300000.0,,,90000000.0,,,641400000.0,,,670800000.0,,,,-1300000.0,,,-93800000.0,,,25400000.0,,,,,595900000.0,,,,,,,,77900000.0,,,19700000.0,-5100000.0,,,,,,-1100000.0,,,,,,,,,,,,,,,
1151625600,,1207600000.0,,,400000.0,,,1022300000.0,15800000.0,120900000.0,,,475600000.0,,,,,,36400000.0,50050000.0,,,,,,,,,,,,,26100000.0,,,1088800000.0,2111100000.0,,,,,,,496300000.0,0.23,1683200000.0,,-3600000.0,,,138600000.0,,,,,,26100000.0,26100000.0,,,,464100000.0,-21700000.0,706700000.0,,,,,1450000.0,125700000.0,613500000.0,-229600000.0,,,162300000.0,,,,624500000.0,263700000.0,,,,,,,,400000.0,236200000.0,,,,,50300000.0,,,,85300000.0,-143400000.0,427900000.0,0.23,4600000.0,,,,,-42900000.0,,,0.0,,,,,,,,,,,113900000.0,11450000.0,125700000.0,,,125700000.0,,14200000.0,,,279400000.0,,,35250000.0,53300000.0,,23000000.0,,,84700000.0,,,122600000.0,,,667600000.0,,,763100000.0,,,,-3600000.0,,,-86200000.0,,,24200000.0,,,,,624700000.0,,,,,,,,53700000.0,,,19700000.0,-110500000.0,,,,,,17300000.0,,,,,,,,,,,,,,,
1159574400,,1294000000.0,,,18300000.0,,,1153800000.0,-4100000.0,121700000.0,,,570300000.0,,,,,,59700000.0,53333000.0,,,,,,,,,,,,,28733000.0,,,1181600000.0,2335400000.0,,,,,,,591300000.0,0.2533,1864300000.0,,-7600000.0,,,143067000.0,,,,,,28733000.0,28733000.0,,,,464900000.0,-118300000.0,699300000.0,,,,,1200000.0,189000000.0,731700000.0,-42300000.0,,,168300000.0,,,,642233000.0,215700000.0,,,,,,,,1200000.0,125700000.0,,,,,57933000.0,,,,81700000.0,1100000.0,471100000.0,0.2367,3400000.0,,,,,-58900000.0,,,0.0,,,,,,,,,,,113900000.0,11600000.0,189000000.0,,,189000000.0,,23200000.0,,,332700000.0,,,28367000.0,61367000.0,,21500000.0,,,51500000.0,,,113100000.0,,,775600000.0,,,785300000.0,,,,-7600000.0,,,-53400000.0,,,29200000.0,,,,,716700000.0,,,,,,,,79667000.0,,,46100000.0,63300000.0,,,,,,9300000.0,,,,,,,,,,,,,,,
1167523200,,1293500000.0,0.15,1863200000.0,28300000.0,-69600000.0,250400000.0,1420500000.0,-73500000.0,,14700000.0,72500000.0,569700000.0,,3207700000.0,6000000.0,2934300000.0,-73500000.0,-161900000.0,65000000.0,23900000.0,184300000.0,71500000.0,0.14,16800000.0,-88300000.0,8200000.0,,2722200000.0,,594300000.0,,-69400000.0,,,1301700000.0,2722200000.0,3264000000.0,,0.0,,339100000.0,,699200000.0,,1863200000.0,,27000000.0,,,-155800000.0,,,,,859000000.0,-69400000.0,-69400000.0,64800000.0,184300000.0,170000000.0,442000000.0,-147100000.0,594300000.0,,1420500000.0,,200200000.0,2300000.0,184300000.0,882200000.0,-107900000.0,112000000.0,16800000.0,170000000.0,,,773800000.0,1007600000.0,200200000.0,40800000.0,,3328800000.0,1293500000.0,569700000.0,273600000.0,442000000.0,1300000.0,189000000.0,,699200000.0,40800000.0,184300000.0,-102300000.0,28500000.0,,,-3235700000.0,11600000.0,859000000.0,,,8200000.0,,,-57000000.0,-81200000.0,,,0.0,140900000.0,241300000.0,,,,,5900000.0,120000000.0,132300000.0,225000000.0,,15300000.0,184300000.0,,,184300000.0,1301700000.0,23900000.0,855000000.0,,339100000.0,,,19600000.0,3079900000.0,,72500000.0,,,6400000.0,,,-52100000.0,,-473600000.0,855000000.0,,-318600000.0,851800000.0,,16800000.0,-2990600000.0,153400000.0,,-343200000.0,-109800000.0,,,-175900000.0,,,1300000.0,,773800000.0,,6000000.0,,,50100000.0,-125100000.0,,3108200000.0,14500000.0,,28500000.0,-4700000.0,-81200000.0,,,882200000.0,183900000.0,106800000.0,104700000.0,273400000.0,,,,,,,,,,,,,
1175299200,,1315300000.0,,,22800000.0,,,1498200000.0,-3700000.0,139000000.0,,,589500000.0,,,3600000.0,,,-37400000.0,45100000.0,,,,,,,,,,,,,69800000.0,,,1341900000.0,2840100000.0,,,,,,,725100000.0,0.54,1904800000.0,,2600000.0,,,159300000.0,,,,,,69800000.0,69800000.0,,,,422400000.0,-63600000.0,590200000.0,,,,,2000000.0,157300000.0,947000000.0,-75000000.0,,,185800000.0,,,,794800000.0,256800000.0,,,,,,,,1400000.0,184300000.0,,,39700000.0,,104600000.0,,,,55500000.0,12500000.0,935300000.0,0.5,,,,,,-102100000.0,,,78100000.0,,,,,,,,,,,129700000.0,8900000.0,157300000.0,,,157300000.0,,24900000.0,,,357600000.0,,,10400000.0,103800000.0,,70400000.0,,6000000.0,-41600000.0,,,50100000.0,,,943100000.0,,,954100000.0,,,,-2100000.0,,,-87500000.0,,,34800000.0,,,,,841000000.0,,,,,,,,126600000.0,,,21200000.0,-27000000.0,,,,,,1100000.0,,,,,,,,,,,,,,,
