date,annualLongTermDebt,annualCashDividendsPaid,trailingPurchaseOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,annualAccountsReceivable,quarterlyBasicEPS,trailingCashDividendsPaid,quarterlyLongTermDebt,annualPretaxIncome,annualPurchaseOfInvestment,quarterlyTotalAssets,annualNetIncome,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,annualGoodwill,annualSaleOfInvestment,annualIncomeTaxPayable,trailingInvestingCashFlow,annualStockholdersEquity,annualOtherNonCashItems,quarterlyInvestmentsAndAdvances,trailingChangeInWorkingCapital,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualRetainedEarnings,trailingSaleOfInvestment,quarterlyOtherIncomeExpense,trailingStockBasedCompensation,annualTotalAssets,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,annualInvestingCashFlow,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,annualBasicEPS,trailingOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyDilutedAverageShares,annualEndCashPosition,trailingOperatingIncome,annualOperatingIncome,quarterlyInventory,trailingTotalRevenue,quarterlyOperatingExpense,trailingOtherIncomeExpense,annualOtherIntangibleAssets,quarterlyEndCashPosition,annualCurrentLiabilities,quarterlyOtherIntangibleAssets,annualOtherIncomeExpense,quarterlyInvestingCashFlow,annualNetPPE,annualCommonStockIssuance,quarterlyCashDividendsPaid,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualOperatingCashFlow,trailingEndCashPosition,quarterlyCurrentDebt,annualAccountsPayable,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,trailingCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,trailingNetOtherInvestingChanges,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,annualEbitda,annualInvestmentsAndAdvances,annualRepurchaseOfCapitalStock,annualOtherNonCurrentLiabilities,quarterlyNetOtherFinancingCharges,annualCashCashEquivalentsAndMarketableSecurities,annualGainsLossesNotAffectingRetainedEarnings,trailingPretaxIncome,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualBeginningCashPosition,annualInterestExpense,annualCurrentAssets,annualDilutedAverageShares,trailingInterestExpense,trailingCapitalExpenditure,trailingBeginningCashPosition,trailingOperatingExpense,annualChangesInAccountReceivables,quarterlyOtherCurrentAssets,quarterlyRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,trailingChangeInCashSupplementalAsReported,annualGrossPPE,annualNetIncomeCommonStockholders,annualAccumulatedDepreciation,quarterlySaleOfInvestment,annualSellingGeneralAndAdministration,annualDeferredIncomeTax,annualRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyDilutedEPS,quarterlyCapitalStock,annualDilutedEPS,trailingRepurchaseOfCapitalStock,trailingRepaymentOfDebt,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,annualChangeInCashSupplementalAsReported,annualCurrentAccruedExpenses,quarterlyNetOtherInvestingChanges,trailingGrossProfit,trailingDeferredIncomeTax,annualTaxProvision,trailingNetIncomeCommonStockholders,annualCapitalExpenditure,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,quarterlyStockholdersEquity,trailingCostOfRevenue,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,annualOtherCurrentAssets,annualCostOfRevenue,annualTotalRevenue,annualCurrentDebt,annualCapitalStock,quarterlyTaxProvision,annualBasicAverageShares,quarterlyNetPPE,annualNetOtherFinancingCharges,annualGrossProfit,annualStockBasedCompensation,annualTotalNonCurrentAssets,quarterlyStockBasedCompensation,annualFreeCashFlow,annualResearchAndDevelopment,quarterlyOtherNonCashItems,trailingDepreciationAndAmortization,annualInventory,quarterlyEbitda,trailingTaxProvision,trailingNetIncomeContinuousOperations,trailingOtherNonCashItems,annualPurchaseOfBusiness,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,annualNetIncomeContinuousOperations,quarterlyCommonStockIssuance,annualChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,annualChangeInInventory,quarterlyPretaxIncome,quarterlyGrossPPE,quarterlyPurchaseOfBusiness,trailingFreeCashFlow,trailingNetIncome,quarterlyIncomeTaxPayable,annualOperatingExpense,trailingSellingGeneralAndAdministration,quarterlyCurrentAssets,annualNonCurrentDeferredTaxesLiabilities,quarterlyCurrentLiabilities,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,trailingChangeInAccountPayable,quarterlyCurrentDeferredRevenue,trailingBasicAverageShares,annualNonCurrentDeferredRevenue,trailingPurchaseOfBusiness,quarterlyChangesInAccountReceivables,trailingResearchAndDevelopment,quarterlyChangeInAccountPayable,trailingDilutedEPS,trailingChangesInAccountReceivables,quarterlyOtherShortTermInvestments,trailingDilutedAverageShares,trailingCommonStockIssuance,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,annualOtherShortTermInvestments,trailingChangeInInventory,quarterlyChangeInInventory,trailingBasicEPS
1979-12-31,216000000.0,,-568000000.0,,,,,,-1408000000.0,,245700000.0,,,158000000.0,,,,,,,,-1042000000.0,1228300000.0,,,-288000000.0,,982700000.0,542000000.0,,96000000.0,2105000000.0,,,,,0.0,,,0.43,2736000000.0,,,,,,0.0,2991000000.0,241000000.0,,18450000000.0,,-91000000.0,,,497900000.0,,46300000.0,,1151100000.0,,,378800000.0,,0.0,442000000.0,,,,,,-1792000000.0,,-49000000.0,,,312400000.0,,,40800000.0,,160300000.0,,2650000000.0,160300000.0,,0.0,30300000.0,769200000.0,367441860.0,261000000.0,-1209000000.0,539000000.0,3044000000.0,,,,184700000.0,-97000000.0,1838300000.0,158000000.0,-687200000.0,,464600000.0,,,,,,0.43,-800000000.0,-707000000.0,,,,,,,6035000000.0,29000000.0,87700000.0,2157000000.0,,-114000000.0,456100000.0,,12415000000.0,,,-100000.0,1441400000.0,2218400000.0,41800000.0,,,367441860.0,,,777000000.0,,1335800000.0,,0.0,,,917000000.0,336600000.0,,576000000.0,2197000000.0,-16000000.0,,,,,,158000000.0,,,,,,,,,,1527000000.0,2157000000.0,,536000000.0,3254000000.0,,122000000.0,,876700000.0,,,,,,,,,,,,,,,,,,,,,,
1980-12-31,332700000.0,,,,,,,,,,284100000.0,,,181800000.0,,,,,,,,,1311400000.0,,,,,1090400000.0,,,,2325500000.0,,,,,0.0,,,0.5,,,,,,,0.0,,244200000.0,,,,,,,478900000.0,,76800000.0,,1313600000.0,,,535200000.0,,0.0,,,,,,,,,,,,324800000.0,,,46400000.0,,111200000.0,,,111200000.0,,0.0,24600000.0,798700000.0,363600000.0,,,,,,,,213200000.0,,2069400000.0,181800000.0,-755800000.0,,609600000.0,,,,,,0.5,,,,,,,,,,,102300000.0,,,,437300000.0,,,,,0.0,1665900000.0,2600300000.0,41600000.0,,,363600000.0,,,934400000.0,,1526800000.0,,0.0,,,,364200000.0,,,,,,,,,,181800000.0,,,,,,,,,,,,,690200000.0,,,156100000.0,,1014100000.0,,,,,,,,,,,,,,,,,,,,,,
1981-12-31,289700000.0,,,,,,,,,,317600000.0,,,204700000.0,,,,,,,,,1324700000.0,,,,,1214300000.0,,,,2413800000.0,,,,,0.0,,,0.57,,,,,,,0.0,,278100000.0,,,,,,,585400000.0,,81900000.0,,1370900000.0,,,503700000.0,,0.0,,,,,,,,,,,,363200000.0,,,47500000.0,,54600000.0,,,54600000.0,,0.0,31500000.0,766800000.0,359122807.0,,,,,,,,276100000.0,,2176700000.0,204700000.0,-805800000.0,,705800000.0,,,,,,0.57,,,,,,,,,,,112900000.0,,,,504500000.0,,,,,0.0,1816700000.0,2885700000.0,80900000.0,,,359122807.0,,,1069000000.0,,1647000000.0,,0.0,,,,390000000.0,,,,,,,,,,204700000.0,,,,,,,,,,,,,790900000.0,,,166500000.0,,1089100000.0,,,,,,,,,,,,,,,,,,,,,,
1982-12-31,348500000.0,,,,,,,,,,269600000.0,,,183500000.0,,,,,,,,,1415500000.0,,,,,1322200000.0,,,,2663600000.0,,,,,0.0,,,0.52,,,,,,,0.0,,269600000.0,,,,,,,660000000.0,,54600000.0,,1537900000.0,,,588100000.0,,0.0,,,,,,,,,,,,361700000.0,,,51400000.0,,48900000.0,,,48900000.0,,0.0,45500000.0,824200000.0,352884615.0,,,,,,,,301500000.0,,2397700000.0,183500000.0,-859800000.0,,781600000.0,,,,,,0.52,,,,,,,,,,,86100000.0,,,,505200000.0,,,,,0.0,1802800000.0,2946100000.0,154800000.0,,,352884615.0,,,1143300000.0,,1839400000.0,,0.0,,,,440000000.0,,,,,,,,,,183500000.0,,,,,,,,,,,,,873700000.0,,,188200000.0,,1248100000.0,,,,,,,,,,,,,,,,,,,,,,
1983-12-31,505900000.0,,,,,,,,,,294500000.0,,,188800000.0,,,,,,,,,1477700000.0,,,,,1416400000.0,,,,2903900000.0,,,,,0.0,,,0.53,,,,,,,0.0,,315400000.0,,,,,,,624700000.0,,38200000.0,,1731600000.0,,,801500000.0,,0.0,,,,,,,,,,,,426200000.0,,,54400000.0,,34000000.0,,,34000000.0,,0.0,51800000.0,825800000.0,356226415.0,,,,,,,,346500000.0,,2659800000.0,188800000.0,-928200000.0,,873000000.0,,,,,,0.53,,,,,,,,,,,105700000.0,,,,537900000.0,,,,,0.0,1975100000.0,3274300000.0,86800000.0,,,356226415.0,,,1299200000.0,,2078100000.0,,0.0,,,,431900000.0,,,,,,,,,,188800000.0,,,,,,,,,,,,,983800000.0,,,241200000.0,,1426200000.0,,,,,,,,,,,,,,,,,,,,,,
1984-03-31,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,53200000.0,,,,,,,,,,,365152000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902400000.0,,,,,902400000.0,,365152000.0,,,,,,,,,,,,,,,,,,,,,902400000.0,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,58900000.0,,,,,,,,,,,365440000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,891200000.0,,,,,891200000.0,,365440000.0,,,,,,,,,,,,,,,,,,,,,891200000.0,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,52700000.0,,,,,,,,,,,365440000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904600000.0,,,,,904600000.0,,365440000.0,,,,,,,,,,,,,,,,,,,,,904600000.0,,,,,,,,,,,,,,,,,,,,,
1984-12-31,541500000.0,,,,555300000.0,60900000.0,,,,541500000.0,345100000.0,,3172600000.0,217500000.0,2254100000.0,,,,,,,,1572200000.0,,,,898600000.0,1541300000.0,,,,3172600000.0,,,52700000.0,,0.0,,,0.6,,32200000.0,32200000.0,296200000.0,,,0.0,,374900000.0,474100000.0,,,,,,701800000.0,,45500000.0,,1893200000.0,,,898600000.0,,0.0,,146500000.0,,,,,,360900000.0,,,1600400000.0,500200000.0,,,60900000.0,,32200000.0,,,32200000.0,,0.0,63300000.0,918500000.0,362500000.0,,,,,,-100000.0,,360900000.0,,2884700000.0,217500000.0,-991500000.0,,921200000.0,,,,,,0.6,,,,,,,,,,,127600000.0,,,,555300000.0,1572200000.0,,-991500000.0,,-100000.0,2194800000.0,3616200000.0,146500000.0,,,362500000.0,1893200000.0,,1421400000.0,,2254100000.0,,0.0,,,,474100000.0,-2323400000.0,,,,,-2323400000.0,,,,217500000.0,,,,,1541300000.0,,,2884700000.0,,,,,1046500000.0,,918500000.0,296200000.0,701800000.0,1600400000.0,917900000.0,,,,,,,,,,,,,,,,,,,,,
1985-03-31,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,72300000.0,,,,,,,,,,,365656000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001800000.0,,,,,1001800000.0,,365656000.0,,,,,,,,,,,,,,,,,,,,,1001800000.0,,,,,,,,,,,,,,,,,,,,,
1985-06-30,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,78900000.0,,,,,,,,,,,365968000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005100000.0,,,,,1005100000.0,,365968000.0,,,,,,,,,,,,,,,,,,,,,1005100000.0,,,,,,,,,,,,,,,,,,,,,
1985-09-30,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,62300000.0,,,,,,,,,,,366176000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015400000.0,,,,,1015400000.0,,366176000.0,,,,,,,,,,,,,,,,,,,,,1015400000.0,,,,,,,,,,,,,,,,,,,,,
1985-12-31,509200000.0,,,,670900000.0,65600000.0,,,,509200000.0,456500000.0,,3503800000.0,267100000.0,2547000000.0,,,,,,,,1743900000.0,,,,966700000.0,1702200000.0,,,,3503800000.0,,,53600000.0,,0.0,,,0.73,,39100000.0,39100000.0,391900000.0,,,0.0,,486300000.0,477100000.0,,,,,,793200000.0,,43600000.0,,2156000000.0,,,966700000.0,,0.0,,122300000.0,,,,,,391000000.0,,,1759900000.0,626600000.0,,,65600000.0,,39100000.0,,,39100000.0,,0.0,59000000.0,956800000.0,365890411.0,,,,,,-100000.0,,391000000.0,,3265500000.0,267100000.0,-1109500000.0,,1075100000.0,,,,,,0.73,,,,,,,,,,,189400000.0,,,,670900000.0,1743900000.0,,-1109500000.0,,-100000.0,2371200000.0,4072900000.0,122300000.0,,,365890411.0,2156000000.0,,1701700000.0,,2547000000.0,,0.0,,,,477100000.0,-2536000000.0,,,,,-2536000000.0,,,,267100000.0,,,,,1702200000.0,,,3265500000.0,,,,,1215400000.0,,956800000.0,391900000.0,793200000.0,1759900000.0,1050600000.0,,,,,,,,,,,,,,,,,,,,,
