,trailingCashDividendsPaid,annualNetIncome,annualNonCurrentDeferredRevenue,trailingPretaxIncome,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,annualAccountsReceivable,quarterlyChangeInCashSupplementalAsReported,annualRetainedEarnings,quarterlyLongTermDebt,trailingInvestingCashFlow,annualBasicEPS,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,annualGoodwill,annualCashDividendsPaid,annualPretaxIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,annualBasicAverageShares,trailingChangeInWorkingCapital,quarterlyInterestExpense,annualOtherNonCashItems,trailingDepreciationAndAmortization,annualDepreciationAndAmortization,annualOperatingIncome,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,trailingCommonStockIssuance,quarterlyGoodwill,trailingStockBasedCompensation,quarterlyNetIncome,trailingTotalRevenue,quarterlyDilutedAverageShares,annualLongTermDebt,annualTotalAssets,annualStockholdersEquity,annualEndCashPosition,annualTaxProvision,trailingEndCashPosition,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,trailingOperatingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,trailingCashFlowFromContinuingFinancingActivities,annualCurrentLiabilities,quarterlyCashAndCashEquivalents,quarterlyBasicEPS,quarterlyCurrentDeferredRevenue,annualCurrentAccruedExpenses,quarterlyBasicAverageShares,trailingChangeInAccountPayable,annualOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingOtherIncomeExpense,quarterlyCashDividendsPaid,annualChangeInAccountPayable,quarterlyOperatingExpense,annualOtherIntangibleAssets,quarterlyEndCashPosition,annualCommonStockIssuance,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyInvestingCashFlow,trailingOperatingIncome,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,annualEbitda,quarterlyFreeCashFlow,annualGainsLossesNotAffectingRetainedEarnings,annualCashAndCashEquivalents,annualNetPPE,quarterlyOtherNonCurrentAssets,annualOtherNonCurrentAssets,annualNetOtherInvestingChanges,annualDilutedEPS,annualDilutedAverageShares,annualCashCashEquivalentsAndMarketableSecurities,trailingInterestExpense,quarterlyOtherCurrentAssets,annualBeginningCashPosition,annualCurrentAssets,annualChangeInCashSupplementalAsReported,trailingDeferredIncomeTax,annualGrossPPE,annualNetIncomeCommonStockholders,quarterlyDilutedEPS,quarterlyChangesInAccountReceivables,annualDeferredIncomeTax,annualOtherNonCurrentLiabilities,annualInterestExpense,quarterlyAccountsPayable,quarterlyChangeInAccountPayable,quarterlyCapitalStock,quarterlyGrossProfit,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,annualSellingGeneralAndAdministration,quarterlyStockholdersEquity,annualTotalNonCurrentAssets,annualCapitalExpenditure,annualRepaymentOfDebt,trailingNetIncomeCommonStockholders,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,trailingChangeInCashSupplementalAsReported,annualOtherIncomeExpense,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,annualCashFlowFromContinuingFinancingActivities,quarterlyTaxProvision,annualCurrentDeferredRevenue,trailingTaxProvision,annualOtherCurrentAssets,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyAccumulatedDepreciation,trailingGrossProfit,annualCostOfRevenue,quarterlyEbitda,annualTotalRevenue,annualCapitalStock,annualPurchaseOfBusiness,annualStockBasedCompensation,annualNetOtherFinancingCharges,annualFreeCashFlow,quarterlyChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredRevenue,trailingOtherNonCashItems,quarterlyRetainedEarnings,trailingNetIncomeContinuousOperations,annualOperatingExpense,annualChangeInWorkingCapital,quarterlyCashFlowFromContinuingFinancingActivities,annualGrossProfit,annualAccumulatedDepreciation,trailingSellingGeneralAndAdministration,annualNetIncomeContinuousOperations,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyGrossPPE,trailingFreeCashFlow,trailingOperatingExpense,quarterlyOperatingIncome,quarterlyNetPPE,trailingCostOfRevenue,quarterlyCurrentAssets,quarterlyPretaxIncome,annualChangesInAccountReceivables,quarterlyCurrentLiabilities,trailingPurchaseOfBusiness,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,trailingNetIncome,quarterlyPurchaseOfBusiness,trailingChangeInInventory,annualIncomeTaxPayable,annualInventory,quarterlyRepurchaseOfCapitalStock,annualResearchAndDevelopment,annualNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyResearchAndDevelopment,annualSaleOfInvestment,quarterlyCurrentDebt,trailingCapitalExpenditure,annualRepurchaseOfCapitalStock,trailingBasicAverageShares,quarterlyPurchaseOfInvestment,trailingSaleOfInvestment,trailingRepurchaseOfCapitalStock,quarterlySaleOfInvestment,quarterlyInvestmentsAndAdvances,trailingBasicEPS,annualOtherShortTermInvestments,trailingNetOtherInvestingChanges,annualPurchaseOfInvestment,quarterlyChangeInInventory,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,annualChangeInInventory,quarterlyOtherShortTermInvestments,quarterlyIncomeTaxPayable,trailingDilutedEPS,annualCurrentDebt,trailingDilutedAverageShares,trailingResearchAndDevelopment,annualInvestmentsAndAdvances
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1419984000,,-246242000.0,,,,,,,,,,-1.183418,,,,,,,0.0,-246242000.0,,,208076923.0,,,0.0,,186262000.0,-246242000.0,,-90504000.0,,,,,,,,7867812000.0,6127347000.0,0.0,0.0,,,,,,,1740465000.0,,,,,,,-59980000.0,,,0.0,,,0.0,,,,0.0,,,,,,,-59980000.0,,,0.0,7867812000.0,,0.0,0.0,-1.183418,208076923.0,0.0,,,0.0,0.0,0.0,,9870814000.0,-246242000.0,,,0.0,,0.0,,,,,,,11634000.0,,7867812000.0,-90504000.0,0.0,,0.0,,,0.0,,,,150484000.0,,,,,,,,,48346000.0,,0.0,0.0,,0.0,150484000.0,-150484000.0,,1740465000.0,,,,,197896000.0,0.0,,-48346000.0,-2003002000.0,,-246242000.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1427760000,,,,,,,,0.0,,,,,,12562000.0,,,,,,,,45427000.0,,,,,,,,-60753000.0,,,,,-60753000.0,,208076923.0,,,,,,,0.0,2764000.0,,,,,,-0.291974,,,208076923.0,,,,,,,,,48191000.0,,0.0,,-60753000.0,,-11165000.0,,26491000.0,,,-26491000.0,,,,,,,,,,,,,,,,,,-0.291974,,,,,,,,-12562000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,-15326000.0,,,,,,,,,,,,,,,26491000.0,,,,,,-11165000.0,0.0,-15326000.0,,,,-60753000.0,,,,-60753000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435622400,,,,,,,,0.0,,,,,,12819000.0,,,,,,,,46190000.0,,,0.0,,,,,-61538000.0,,,,,0.0,,208076923.0,,,,,,,0.0,2529000.0,,,,,,0.0,,,208076923.0,,,,,,,,,48719000.0,,0.0,,0.0,,-3614000.0,,18962000.0,,,-18962000.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,-12819000.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,-15348000.0,,,,,,,,,,,,,,,18962000.0,,,,,,-3614000.0,0.0,-15348000.0,,,,-61538000.0,,,,-61538000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1443571200,,,,,,,,0.0,,,,,,12058000.0,,,,,,,,54188000.0,,,0.0,,,,,-68775000.0,,,,,0.0,,208076923.0,,,,,,,0.0,2529000.0,,,,,,0.0,,,208076923.0,,,,,,,,,56717000.0,,0.0,,0.0,,-9796000.0,,24383000.0,,,-24383000.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,-12058000.0,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,0.0,,,,-14587000.0,,,,,,,0.0,,,,,,,,24383000.0,,,,,0.0,-9796000.0,0.0,-14587000.0,,,,-68775000.0,,,,-68775000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451520000,,-261954000.0,,,0.0,,,0.0,,3142625000.0,,-1.258929,,10683000.0,,7804339000.0,7915539000.0,,,-261954000.0,3142625000.0,51011000.0,208076923.0,,,6665000.0,,196816000.0,-255289000.0,-70888000.0,-129308000.0,,,,-261954000.0,,,3142625000.0,7915539000.0,1147335000.0,0.0,0.0,,0.0,2529000.0,,,,0.0,111200000.0,,,,,,-58473000.0,111200000.0,,3142625000.0,,,,53540000.0,,0.0,,-261954000.0,,-104733000.0,,117945000.0,3142625000.0,-58473000.0,-117945000.0,,111200000.0,7793639000.0,10700000.0,10700000.0,0.0,-1.258929,208076923.0,111200000.0,,0.0,0.0,111200000.0,0.0,,9965185000.0,-261954000.0,,,,0.0,,,,0.0,-10683000.0,0.0,,10351000.0,1147335000.0,7804339000.0,-129308000.0,,,,,,-6665000.0,,0.0,,187781000.0,0.0,,,0.0,,,-2171546000.0,,48122000.0,-13212000.0,0.0,0.0,,,187781000.0,-187781000.0,,3142625000.0,,,,,207167000.0,,117945000.0,-48122000.0,-2171546000.0,,-261954000.0,,-104733000.0,0.0,-13212000.0,9965185000.0,,,-64223000.0,7793639000.0,,111200000.0,-70888000.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1459382400,,,,,,0.0,,0.0,,,,,,13236000.0,,7852529000.0,7852529000.0,,,,0.0,51476000.0,,,,,,,,-67970000.0,,,,,-67970000.0,,208076923.0,,,,,,,-874000.0,2384000.0,,,,,,-0.326658,,,208076923.0,,,,,,,,,53860000.0,,0.0,,-67970000.0,,-111241000.0,,126861000.0,1749374000.0,,-126861000.0,,,,,,,,,,,,,,,,,,-0.326658,,,,,,,6103155000.0,-13236000.0,0.0,,,6103155000.0,,,,,,,,,,0.0,,,0.0,,,,874000.0,,-2223660000.0,,,-15620000.0,,,,,,,,,,,,,,,126861000.0,,,,,,-111241000.0,0.0,-15620000.0,10076189000.0,,,-67096000.0,7852529000.0,,,-67970000.0,,1749374000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467244800,,,,,0.0,0.0,,338034000.0,,3134791000.0,,,11888000.0,13305000.0,4273000.0,7847707000.0,8201007000.0,,,,3155680000.0,53124000.0,,,29475000.0,,,,,9646000.0,,,,,6953000.0,,215355805.0,,,,,,,-407000.0,4947000.0,,0.0,,,338034000.0,0.12,20889000.0,,215355805.0,,,338034000.0,,,,,,58070000.0,,338034000.0,,6953000.0,,-27746000.0,,-111278000.0,3230981000.0,,50187000.0,,,,0.0,,,,,,,0.0,,,,,,,0.12,,,,,6228000.0,,0.0,97598000.0,0.0,,,1326109000.0,,,,,,,,,,0.0,,,,,,,420000.0,,-2276341000.0,,,92244000.0,,,,,,,,,20889000.0,,-8181000.0,,,,287847000.0,,,,,,-27746000.0,110903000.0,77933000.0,10124048000.0,,,39528000.0,7847707000.0,,353300000.0,9646000.0,,75301000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1475193600,,,,,48179000.0,0.0,,2250000.0,,3620681000.0,,,29716000.0,17690000.0,5654000.0,9168763000.0,9525562000.0,,,,3719952000.0,54260000.0,,,42839000.0,,,,,42671000.0,,,,,10591000.0,,242616034.0,,,,,,,-11423000.0,2701000.0,,,,,340284000.0,0.18,51092000.0,,242616034.0,,,340284000.0,,,,,,56961000.0,,340284000.0,,10591000.0,,0.0,,-7913000.0,3877063000.0,,120108000.0,,,,46555000.0,,,,,,,0.0,,,,,,,0.18,-1381000.0,,,,8247000.0,2019000.0,0.0,154809000.0,338034000.0,,,1343216000.0,,,,,,,,,0.0,0.0,-553225000.0,,915000.0,,,,2036000.0,184000.0,-2328834000.0,,,140685000.0,,,,,,,18486000.0,,51092000.0,,-19871000.0,,,,-117858000.0,,,,,0.0,0.0,172499000.0,120108000.0,11451042000.0,,,97848000.0,9122208000.0,,356799000.0,43586000.0,,157111000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1483142400,,29938000.0,72322000.0,,47957000.0,47957000.0,9503000.0,20208000.0,-29758000.0,3621942000.0,,0.52,26137000.0,20889000.0,9503000.0,9125839000.0,9506740000.0,,-150829000.0,37610000.0,3742221000.0,61807000.0,57502158.0,,43898000.0,5376000.0,,220667000.0,168922000.0,50999000.0,-138987000.0,,,,12394000.0,,57760665.0,3621942000.0,9506740000.0,1333817000.0,360492000.0,2264000.0,,-2571000.0,3406000.0,,,,156258000.0,360492000.0,0.22,72322000.0,26137000.0,57504001.0,,297781000.0,360492000.0,10478000.0,3742221000.0,,-94109000.0,5101000.0,65214000.0,,360492000.0,1207500000.0,12394000.0,,0.0,,-1043000.0,3898479000.0,374489000.0,115360000.0,445000.0,360492000.0,9079678000.0,46161000.0,46161000.0,0.0,0.52,57751489.0,360492000.0,,0.0,0.0,380901000.0,360492000.0,,11468170000.0,29938000.0,0.21,-3849000.0,2264000.0,47957000.0,116212000.0,10478000.0,2233000.0,0.0,163257000.0,340284000.0,,12839000.0,1333817000.0,9125839000.0,-138987000.0,-4561600000.0,,47957000.0,,,-15874000.0,445000.0,0.0,0.0,201698000.0,1349000.0,72322000.0,,0.0,2046000.0,184000.0,-2388492000.0,,65120000.0,158054000.0,467548000.0,0.0,,510000.0,6627000.0,158794000.0,-3231000.0,3898479000.0,72322000.0,,-29758000.0,,233506000.0,28648000.0,-95152000.0,402428000.0,-2388492000.0,,35346000.0,0.0,0.0,184146000.0,115360000.0,11468170000.0,,,98043000.0,9079678000.0,,380901000.0,52348000.0,-9503000.0,156258000.0,,1349000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
