,trailingOperatingIncome,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,annualCostOfRevenue,annualOtherCurrentAssets,annualAccountsPayable,annualTotalRevenue,trailingTotalRevenue,annualChangeInAccountPayable,quarterlySellingGeneralAndAdministration,annualOperatingIncome,quarterlyCurrentLiabilities,trailingCostOfRevenue,trailingFreeCashFlow,annualOtherShortTermInvestments,annualCurrentDebt,annualCommonStockIssuance,annualFreeCashFlow,annualEndCashPosition,quarterlyCashDividendsPaid,quarterlyCurrentAssets,quarterlyDepreciationAndAmortization,trailingEndCashPosition,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,trailingTaxProvision,quarterlyEbitda,trailingNetOtherInvestingChanges,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,annualCashAndCashEquivalents,quarterlyFreeCashFlow,quarterlyTotalRevenue,annualNetOtherInvestingChanges,quarterlyPurchaseOfInvestment,quarterlyOperatingIncome,quarterlyTotalNonCurrentAssets,quarterlyChangeInWorkingCapital,trailingNetIncome,annualInvestmentsAndAdvances,quarterlyNetIncomeCommonStockholders,trailingPretaxIncome,quarterlyTotalAssets,annualTotalLiabilitiesNetMinorityInterest,annualNetIncome,annualGainsLossesNotAffectingRetainedEarnings,trailingSellingGeneralAndAdministration,quarterlyTotalLiabilitiesNetMinorityInterest,annualNetIncomeContinuousOperations,annualOperatingExpense,annualAccountsReceivable,annualBeginningCashPosition,annualLongTermDebt,quarterlyNetIncomeContinuousOperations,annualCashDividendsPaid,annualSaleOfInvestment,annualSellingGeneralAndAdministration,annualRepurchaseOfCapitalStock,quarterlyOtherCurrentAssets,annualCurrentAssets,quarterlyOtherNonCurrentLiabilities,annualOtherNonCashItems,annualOtherNonCurrentAssets,trailingNetIncomeCommonStockholders,annualDepreciationAndAmortization,quarterlyStockholdersEquity,annualNetIncomeCommonStockholders,quarterlyGoodwill,quarterlyAccountsReceivable,annualStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,annualTotalAssets,trailingRepurchaseOfCapitalStock,annualTaxProvision,quarterlyChangeInAccountPayable,quarterlyOtherIncomeExpense,quarterlyGrossProfit,annualCurrentAccruedExpenses,quarterlyNetIncome,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,annualRetainedEarnings,annualOperatingCashFlow,trailingOperatingCashFlow,trailingOtherIncomeExpense,quarterlyOperatingExpense,annualCapitalStock,quarterlyPretaxIncome,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIntangibleAssets,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,quarterlyNetPPE,trailingRepaymentOfDebt,annualOtherIntangibleAssets,trailingCashFlowFromContinuingFinancingActivities,quarterlyTaxProvision,annualTotalNonCurrentAssets,annualGrossProfit,annualOtherIncomeExpense,annualCurrentLiabilities,quarterlyBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,annualEbitda,quarterlyCashAndCashEquivalents,annualNetPPE,quarterlyCapitalExpenditure,quarterlyCurrentDebt,annualOtherNonCurrentLiabilities,quarterlyInterestExpense,annualPurchaseOfBusiness,trailingDepreciationAndAmortization,quarterlyChangesInAccountReceivables,trailingPurchaseOfBusiness,quarterlyNetOtherFinancingCharges,trailingOtherNonCashItems,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,trailingCapitalExpenditure,trailingInvestingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlySaleOfInvestment,quarterlyOperatingCashFlow,annualInvestingCashFlow,annualInterestExpense,quarterlyGrossPPE,annualChangesInAccountReceivables,trailingBeginningCashPosition,trailingCashDividendsPaid,trailingInterestExpense,annualPretaxIncome,annualAccumulatedDepreciation,quarterlyAccountsPayable,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingOperatingExpense,trailingPurchaseOfInvestment,trailingNetIncomeContinuousOperations,quarterlyOtherCurrentLiabilities,trailingChangeInCashSupplementalAsReported,annualGrossPPE,quarterlyCommonStockIssuance,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,annualNetOtherFinancingCharges,annualGoodwill,annualCashFlowFromContinuingFinancingActivities,trailingChangeInWorkingCapital,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,annualPurchaseOfInvestment,annualRepaymentOfDebt,trailingGrossProfit,trailingChangeInInventory,quarterlyDeferredIncomeTax,annualIncomeTaxPayable,quarterlyCurrentDeferredRevenue,quarterlyStockBasedCompensation,annualInventory,quarterlyDilutedAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,annualResearchAndDevelopment,annualCurrentDeferredRevenue,annualNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyNonCurrentDeferredRevenue,trailingStockBasedCompensation,quarterlyResearchAndDevelopment,annualDeferredIncomeTax,quarterlyBasicEPS,annualNonCurrentDeferredRevenue,trailingBasicAverageShares,trailingSaleOfInvestment,trailingBasicEPS,trailingDeferredIncomeTax,annualDilutedAverageShares,quarterlyChangeInInventory,quarterlyDilutedEPS,trailingChangesInAccountReceivables,quarterlyBasicAverageShares,annualBasicAverageShares,annualChangeInInventory,annualStockBasedCompensation,quarterlyIncomeTaxPayable,trailingDilutedEPS,trailingDilutedAverageShares,trailingResearchAndDevelopment,annualBasicEPS,trailingCommonStockIssuance,trailingChangeInAccountPayable,annualDilutedEPS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733536000,,,,,,,,,,,,,,,,,,,,,,,,,,,102700000.0,,,,,,102700000.0,,,102700000.0,,,,,7900000.0,,,,,,,,,,,,,7900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741398400,,,,,,,,,,,,,,,,,,,,,,,,,,,102800000.0,,,,,,102800000.0,,,102800000.0,,,,,8000000.0,,,,,,,,,,,,,8000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749347200,,,,,,,,,,,,,,,,,,,,,,,,,,,102800000.0,,,,,,102800000.0,,,102800000.0,,,,,8000000.0,,,,,,,,,,,,,8000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757296000,,,,,,,405900000.0,,19000000.0,,634400000.0,,,,,,,7000000.0,,,,,,,-11400000.0,,326100000.0,,-7400000.0,,,,97600000.0,-229400000.0,,326100000.0,,,,,9200000.0,,1756700000.0,1727200000.0,33100000.0,,,1727200000.0,6900000.0,-228500000.0,,39400000.0,1457900000.0,-17000000.0,,,9900000.0,,,,,5400000.0,,,2100000.0,29500000.0,33100000.0,,,29500000.0,,,,,,1756700000.0,,,,,,,9200000.0,1457900000.0,,-11400000.0,7000000.0,,,,,,,,,,1350400000.0,,,,,,,,,,,,636500000.0,,1350400000.0,,,,,,,,,,,,,,,,,,,-229400000.0,156900000.0,,-22700000.0,,,,,,,,,,,,,,,,,,623500000.0,,293600000.0,,71200000.0,,,-588900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765072000,,,62900000.0,,,,,,,2800000.0,,,,,,,,,,,,19300000.0,,,-25000000.0,,181800000.0,,,,,-36900000.0,105800000.0,,,162500000.0,,-130000000.0,,,15500000.0,,1783000000.0,,,,,1632700000.0,,,,,,17800000.0,,,,,,,,,,,,150300000.0,,,70000000.0,,700000.0,,,-6200000.0,,,,,-66000000.0,,,,15500000.0,1417800000.0,,,,,,-56700000.0,,,,,-45100000.0,,1339500000.0,,,,,,,,,110600000.0,,,,,,-6900000.0,,,28400000.0,,,1000000.0,,118200000.0,,,75900000.0,,,,39700000.0,,-30000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772934400,,,21000000.0,,,,,,,2300000.0,,,,,,,,,,,,20400000.0,,,-40400000.0,,193200000.0,,,,,7600000.0,111800000.0,,,172800000.0,,-43600000.0,,,6800000.0,,1839800000.0,,,,,1717200000.0,,,,,,19100000.0,,,,,,,,,,,,122600000.0,,,70000000.0,,4300000.0,,,-5000000.0,,,,,-4300000.0,,,,6800000.0,1507900000.0,,,,,,-61000000.0,,,,,-152400000.0,,1407400000.0,,,,,,,,,,,,,,,-9300000.0,,,28700000.0,,,-17500000.0,,-1300000.0,,,-51300000.0,,,,-39400000.0,,16900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780883200,,,-66000000.0,,,,,,,3400000.0,,,,,,,,,,-41800000.0,,21400000.0,,,-54800000.0,,202900000.0,,,,,97800000.0,115900000.0,,,181500000.0,,130200000.0,,,8600000.0,,2085500000.0,,,,,1941700000.0,,,,,,15600000.0,,,,,,,,,,,,143800000.0,,,70000000.0,,-27600000.0,,,-37100000.0,,,,,52100000.0,,,,8600000.0,1700900000.0,,,,,,-65600000.0,,,,,-49600000.0,,1632100000.0,,,,,,,,,,,,,,,-9500000.0,,,30500000.0,,,13000000.0,,55000000.0,,,-74400000.0,,,,-4100000.0,,107300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788832000,,,23500000.0,,,,473700000.0,,-12200000.0,4100000.0,720500000.0,,,,,,106800000.0,155200000.0,,-39000000.0,,22100000.0,,,-78300000.0,,221700000.0,,-29800000.0,,,86700000.0,135100000.0,-266800000.0,,199600000.0,,13600000.0,,,1800000.0,,2277200000.0,2219900000.0,45100000.0,,,2219900000.0,60400000.0,-246800000.0,,110600000.0,1938100000.0,1800000.0,-120700000.0,,12600000.0,,,,,41400000.0,,,83200000.0,57300000.0,45100000.0,,,57300000.0,-244200000.0,,,-218500000.0,,2277200000.0,,,6000000.0,,,,1800000.0,1938100000.0,,-78300000.0,155200000.0,,,-64500000.0,,,,,-36200000.0,,1829100000.0,,,,,,,,,,,,803700000.0,,1829100000.0,,,,62600000.0,,,800000.0,,-174000000.0,,,155900000.0,,,,-1700000.0,,61000000.0,-266800000.0,150200000.0,,-2700000.0,,,,,,,,,,,,,,,,,,-2100000.0,,106100000.0,,-5500000.0,,,-283300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796608000,,,8600000.0,,,,,,,2100000.0,,,,,,,,,,-41300000.0,,23500000.0,,,-90600000.0,,233800000.0,,,,,41700000.0,132200000.0,,,210300000.0,,-3000000.0,,,12600000.0,,2306400000.0,,,,,2231100000.0,,,,,,12600000.0,,,,,,,,,,,,75300000.0,,,,,-12000000.0,,,-12000000.0,,,,,-13400000.0,2400000.0,,,12600000.0,1960000000.0,,,,,,-78100000.0,,,,,-66400000.0,,1876200000.0,,,,,,,,,105100000.0,,,,,,,,,38900000.0,,,11900000.0,,1700000.0,,,-39600000.0,,,,-9800000.0,,41700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
