,quarterlyLongTermDebt,trailingPurchaseOfInvestment,annualPretaxIncome,annualPurchaseOfInvestment,annualLongTermDebt,quarterlyOtherCurrentLiabilities,annualAccountsReceivable,annualTotalAssets,annualNetIncome,trailingNetIncome,annualDilutedEPS,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,annualBasicAverageShares,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,trailingInvestingCashFlow,quarterlyOtherNonCurrentLiabilities,annualOtherNonCashItems,trailingChangeInWorkingCapital,annualBasicEPS,quarterlyInvestmentsAndAdvances,annualSaleOfInvestment,quarterlyDilutedAverageShares,annualCommonStockIssuance,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualStockholdersEquity,annualInvestingCashFlow,quarterlyInventory,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherIncomeExpense,trailingSaleOfInvestment,trailingStockBasedCompensation,trailingCommonStockIssuance,annualDepreciationAndAmortization,annualRetainedEarnings,trailingTotalRevenue,trailingOperatingCashFlow,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,annualCashFlowFromContinuingFinancingActivities,trailingOtherIncomeExpense,annualEndCashPosition,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualOtherIntangibleAssets,annualNetPPE,annualOperatingIncome,annualOtherShortTermInvestments,annualOtherIncomeExpense,trailingEndCashPosition,quarterlyDepreciationAndAmortization,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,quarterlyCashAndCashEquivalents,trailingCashFlowFromContinuingFinancingActivities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyCurrentDebt,annualAccountsPayable,annualCurrentLiabilities,quarterlyNetOtherFinancingCharges,quarterlyBasicEPS,annualOtherNonCurrentLiabilities,annualEbitda,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,annualRepurchaseOfCapitalStock,annualIncomeTaxPayable,annualInvestmentsAndAdvances,quarterlyOtherIntangibleAssets,annualGainsLossesNotAffectingRetainedEarnings,annualCashCashEquivalentsAndMarketableSecurities,trailingPretaxIncome,annualNetOtherInvestingChanges,annualDilutedAverageShares,quarterlyOtherNonCurrentAssets,annualCashAndCashEquivalents,annualChangesInAccountReceivables,annualBeginningCashPosition,quarterlyChangeInInventory,trailingInterestExpense,annualCurrentAssets,quarterlyBasicAverageShares,trailingChangesInAccountReceivables,quarterlyOtherCurrentAssets,annualInterestExpense,trailingBeginningCashPosition,annualOtherNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,annualNetIncomeCommonStockholders,trailingChangeInCashSupplementalAsReported,quarterlySaleOfInvestment,trailingOperatingExpense,trailingCapitalExpenditure,annualSellingGeneralAndAdministration,annualAccumulatedDepreciation,annualGrossPPE,annualRepaymentOfDebt,trailingRepaymentOfDebt,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyGrossProfit,quarterlyAccountsPayable,quarterlyChangeInAccountPayable,annualCurrentAccruedExpenses,annualChangeInCashSupplementalAsReported,quarterlyOperatingExpense,trailingGrossProfit,annualOtherCurrentLiabilities,quarterlyNetOtherInvestingChanges,trailingNetIncomeCommonStockholders,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,annualCapitalExpenditure,annualCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,annualCapitalStock,annualOtherCurrentAssets,annualCostOfRevenue,annualTotalRevenue,trailingResearchAndDevelopment,annualTaxProvision,quarterlyTaxProvision,quarterlyRepaymentOfDebt,trailingCostOfRevenue,annualStockBasedCompensation,annualCurrentDebt,annualNetOtherFinancingCharges,annualGrossProfit,annualTotalNonCurrentAssets,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyEbitda,annualResearchAndDevelopment,quarterlyOtherNonCashItems,annualInventory,quarterlyCommonStockIssuance,trailingTaxProvision,trailingChangeInInventory,trailingDepreciationAndAmortization,quarterlyStockBasedCompensation,quarterlyDilutedEPS,trailingOtherNonCashItems,annualChangeInWorkingCapital,annualPurchaseOfBusiness,quarterlyOperatingIncome,trailingNetIncomeContinuousOperations,annualTotalLiabilitiesNetMinorityInterest,quarterlyResearchAndDevelopment,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,annualFreeCashFlow,quarterlyChangeInWorkingCapital,quarterlyGrossPPE,quarterlyCurrentAssets,trailingSellingGeneralAndAdministration,quarterlyCurrentLiabilities,annualOperatingExpense,quarterlyIncomeTaxPayable,annualChangeInInventory,trailingFreeCashFlow,quarterlyTotalRevenue,annualNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,annualNonCurrentDeferredRevenue,annualGoodwill,trailingCashDividendsPaid,trailingDilutedAverageShares,trailingNetOtherFinancingCharges,annualCashDividendsPaid,trailingBasicEPS,quarterlyDeferredIncomeTax,trailingChangeInAccountPayable,annualDeferredIncomeTax,trailingDeferredIncomeTax,quarterlyGoodwill,trailingNetOtherInvestingChanges,trailingBasicAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,trailingRepurchaseOfCapitalStock,quarterlyCashDividendsPaid,annualNonCurrentDeferredTaxesLiabilities,trailingPurchaseOfBusiness,trailingDilutedEPS,quarterlyNonCurrentDeferredRevenue
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851990400,,,,,,,,4200000.0,-2100000.0,,-1.499997,,,1400003.0,,,,,,,,,,-1.499997,,200000.0,,4000000.0,,800000.0,100000.0,,,,,,,,500000.0,-12400000.0,,,,,3900000.0,,0.0,,,,500000.0,-2200000.0,,200000.0,,,-1600000.0,3100000.0,,,,,,,,200000.0,300000.0,,,,-1700000.0,,,,,,,,3000000.0,,0.0,1400003.0,,3000000.0,,700000.0,,,3000000.0,,,,,,700000.0,,,,-2100000.0,,,,,600000.0,-1900000.0,2400000.0,,,,,,,,,2300000.0,,,100000.0,,,,,-100000.0,,,,0.0,500000.0,100000.0,,,,,,,,-100000.0,600000.0,1200000.0,,,,1700000.0,,,,,,,,,,100000.0,,,,3400000.0,,,,-1700000.0,,,,,,2800000.0,,,,,-2100000.0,,,,,,,,,,,,,,,,,,,,,,,,,
859766400,,,,,,200000.0,,,,,,1400000.0,3700000.0,,100000.0,,,,-700000.0,,,,,,,,1581169.0,,3100000.0,,,,-300000.0,-300000.0,200000.0,,,,,,,,-300000.0,,,,,0.0,0.0,,,,,,,100000.0,,,,2300000.0,,2300000.0,,,,,,-200000.0,-0.419999,,,3500000.0,-500000.0,,,,500000.0,,,,,,400000.0,,,,,,,1581169.0,,0.0,,,,,,,,,,,,,,,,,,3000000.0,200000.0,200000.0,,,,800000.0,,,100000.0,,,200000.0,,,200000.0,,,,,,,,,,,,,,,,500000.0,-500000.0,,-200000.0,,,,,,,-0.419999,,,,-600000.0,,,500000.0,-13000000.0,,,,2500000.0,2300000.0,,400000.0,,,,,100000.0,,-400000.0,-200000.0,-2000000.0,-100000.0,,,,,,,,,,,,,,,,,,,,,
867628800,,,,,,400000.0,,,,,,900000.0,18500000.0,,200000.0,,,,15200000.0,,,,,,,,1666670.0,,,,,,-1300000.0,-1300000.0,100000.0,,,,,,,,-1300000.0,,,,,0.0,-200000.0,,,,,,,200000.0,,,,17600000.0,,17600000.0,,,,,,,-0.779998,,,900000.0,-500000.0,,,,600000.0,,,,,,-100000.0,,,,,,,1666670.0,,0.0,,,,,,,,,,,,,,,,,,0.0,300000.0,500000.0,,,,1500000.0,,,-200000.0,,,17600000.0,,,400000.0,,,,,,,,,,,,,,,,400000.0,-1000000.0,,,,,,,,,-0.779998,,,,-1200000.0,,,900000.0,-14300000.0,,,,2500000.0,17600000.0,,900000.0,,,,,100000.0,,-500000.0,15800000.0,-2100000.0,0.0,,,,,,,,,,,,,,,,,,,,,
875577600,,,,,,300000.0,,,,,,900000.0,19400000.0,,,,,,900000.0,,,,,,,,1666670.0,,,,,,-900000.0,-900000.0,200000.0,,,,,,,,-900000.0,,,,,0.0,0.0,,,,,,,0.0,,,,18500000.0,,18500000.0,,100000.0,,,,0.0,-0.539999,,,800000.0,-1000000.0,,,,600000.0,,,,,,-100000.0,,,,,,,1666670.0,,0.0,,,,,,,,,,,,,,,,,,0.0,100000.0,500000.0,,,,1000000.0,,,0.0,,,18600000.0,,,300000.0,,,,,,,,,,,,,,,,400000.0,-900000.0,,,,2200000.0,,,,,-0.539999,,,,-900000.0,,,700000.0,-15200000.0,,,-100000.0,2600000.0,18500000.0,,800000.0,,,,,100000.0,,-1000000.0,1900000.0,-2200000.0,0.0,,,,,,,,,,,,,,,,,,,,,
883526400,,,,,,300000.0,,18800000.0,-3600000.0,,-2.159996,1100000.0,18800000.0,1679830.0,200000.0,,,,-800000.0,,,,,-2.159996,,,,18400000.0,,18300000.0,-500000.0,,-800000.0,-800000.0,100000.0,,,,500000.0,-16000000.0,,,-800000.0,,18200000.0,,0.0,0.0,-300000.0,600000.0,400000.0,-3900000.0,,400000.0,,200000.0,-3000000.0,,,17600000.0,,17600000.0,,,,200000.0,500000.0,0.0,,,-3400000.0,500000.0,-1300000.0,-300000.0,,,600000.0,,17600000.0,,-200000.0,1679830.0,100000.0,17600000.0,,3000000.0,,,17700000.0,,,100000.0,,,100000.0,,,0.0,-3600000.0,,,,,1300000.0,-2300000.0,2700000.0,,,,0.0,200000.0,200000.0,,,14600000.0,1200000.0,,300000.0,-100000.0,,,18300000.0,-300000.0,,400000.0,,100000.0,500000.0,100000.0,,,,,,,,100000.0,600000.0,1100000.0,,400000.0,-800000.0,2700000.0,,,700000.0,,,,,,,100000.0,,-1000000.0,,500000.0,600000.0,-16000000.0,,-3300000.0,-400000.0,2700000.0,17700000.0,,500000.0,4500000.0,,,,0.0,-3600000.0,-1100000.0,700000.0,-2300000.0,-200000.0,,,,,,,,,,,,,,,,,,,,,
891302400,,,,,,200000.0,,,,,,1200000.0,17500000.0,,100000.0,,,,-1800000.0,,,,,,,,1794875.0,,,,,,-1400000.0,-1400000.0,200000.0,,,,,,,,-1400000.0,,,,,0.0,-100000.0,,,,,,,100000.0,,,,15800000.0,,15800000.0,,,,,,0.0,-0.779998,,,500000.0,-1900000.0,,,,600000.0,,,,,,200000.0,,,,,,,1794875.0,,500000.0,,,,,,,,,,,,,,,,,,17600000.0,200000.0,300000.0,,,,1700000.0,,,-100000.0,,,17000000.0,,,300000.0,,,,,,,,,,,,,,,,400000.0,-1400000.0,,-100000.0,,200000.0,,,,,-0.779998,,,,-1500000.0,,,1300000.0,-17500000.0,,,-500000.0,2700000.0,16300000.0,,500000.0,,,,,100000.0,,-1900000.0,200000.0,-2300000.0,,,,,,,,,,,,,,,,,,,,,,
899164800,,,,,,0.0,,,,,,1300000.0,15800000.0,,100000.0,,,,-2600000.0,,,,,,,,1888893.0,,,,,,-1700000.0,-1700000.0,100000.0,,,,,,,,-1700000.0,,,,,0.0,-300000.0,,,,,,,0.0,,,,13200000.0,,13200000.0,,,,,,0.0,-0.899998,,,400000.0,-2400000.0,,,,600000.0,,,,,,300000.0,,,,,,,1888893.0,,1300000.0,,,,,,,,,,,,,,,,,,0.0,200000.0,400000.0,,,,1900000.0,,,-200000.0,,,15400000.0,,,500000.0,,,,,,,,,,,,,,,,400000.0,-1600000.0,,,,0.0,,,,,-0.899998,,,,-1700000.0,,,1300000.0,-19100000.0,,,-700000.0,2700000.0,14500000.0,,400000.0,,,,,100000.0,,-2300000.0,0.0,-2300000.0,,,,,,,,,,,,,,,,,,,,,,
907113600,,,,,,300000.0,,,,,,1100000.0,12600000.0,,100000.0,,,,-2300000.0,,,,,,,,1929352.0,,,,,,-21300000.0,-21300000.0,-19400000.0,,,,,,,,-21300000.0,,,,,0.0,-2000000.0,,,,,,,100000.0,,,,10900000.0,,10900000.0,,,,,,0.0,-11.039978,,,1200000.0,-2400000.0,,,,700000.0,,,,,,0.0,,,,,,,1929352.0,,600000.0,,,,,,,,,,,,,,,,,,0.0,200000.0,900000.0,,,,2000000.0,,,100000.0,,,11400000.0,,,400000.0,,,,,,,,,,,,,,,,400000.0,-1700000.0,,,,0.0,,,,,-11.039978,,,,-1800000.0,,,1500000.0,-40400000.0,,,1400000.0,2800000.0,11500000.0,,1200000.0,,,,,100000.0,,-300000.0,0.0,-2400000.0,-2100000.0,,,,,,,,,,,,,,,,,,,,,
915062400,,,,,,300000.0,,10200000.0,-26700000.0,,-13.619973,1200000.0,10200000.0,1966912.0,0.0,,,,-2400000.0,,,,,-13.619973,,,,200000.0,,9000000.0,-2600000.0,,-2400000.0,-2400000.0,100000.0,,,,200000.0,-42800000.0,,,-2400000.0,,200000.0,,0.0,0.0,-200000.0,700000.0,400000.0,-7700000.0,,-19000000.0,,0.0,-6700000.0,,,8500000.0,,8500000.0,,,,900000.0,1200000.0,0.0,,,-7500000.0,1200000.0,-2300000.0,,,,700000.0,,8500000.0,,-300000.0,1966912.0,100000.0,8500000.0,,17600000.0,,,9000000.0,,,500000.0,,,100000.0,,,,-26700000.0,,,,,1600000.0,-2400000.0,2800000.0,,,,0.0,100000.0,900000.0,,,-9100000.0,2600000.0,,300000.0,-100000.0,,,9000000.0,-2300000.0,,400000.0,,500000.0,200000.0,200000.0,,,,,,,,0.0,400000.0,1200000.0,,400000.0,-2500000.0,6300000.0,,,0.0,,,,,,,200000.0,,-2500000.0,,1200000.0,2200000.0,-42800000.0,,-9000000.0,0.0,2800000.0,9000000.0,,1200000.0,8100000.0,,,,100000.0,-26700000.0,-2200000.0,0.0,-2400000.0,-100000.0,,,,,,,,,,,,,,,,,,,,,
