date,trailingRepaymentOfDebt,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,quarterlyOtherIntangibleAssets,annualCapitalStock,trailingOperatingCashFlow,annualOtherNonCurrentLiabilities,annualOtherCurrentLiabilities,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,trailingGrossProfit,quarterlyAccumulatedDepreciation,trailingNetIncomeCommonStockholders,annualCashFlowFromContinuingFinancingActivities,quarterlyOtherCurrentAssets,trailingInterestExpense,quarterlyCurrentDebt,trailingCapitalExpenditure,trailingDepreciationAndAmortization,annualBasicEPS,annualOtherIncomeExpense,quarterlyCapitalStock,trailingChangeInCashSupplementalAsReported,quarterlyCashCashEquivalentsAndMarketableSecurities,annualOtherNonCashItems,annualSellingGeneralAndAdministration,quarterlyCashAndCashEquivalents,annualTotalNonCurrentAssets,annualGrossPPE,annualNonCurrentDeferredTaxesLiabilities,quarterlyAccountsPayable,annualAccumulatedDepreciation,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingOtherNonCashItems,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,annualInvestingCashFlow,annualBeginningCashPosition,annualPurchaseOfBusiness,annualOperatingExpense,trailingSellingGeneralAndAdministration,annualPurchaseOfInvestment,annualCapitalExpenditure,annualNetIncomeContinuousOperations,annualInventory,quarterlyNetPPE,annualBasicAverageShares,annualChangeInInventory,annualInterestExpense,trailingCostOfRevenue,annualNetOtherFinancingCharges,trailingNetIncome,trailingBeginningCashPosition,annualGoodwill,annualStockBasedCompensation,trailingChangeInInventory,trailingOperatingExpense,annualGrossProfit,trailingNetIncomeContinuousOperations,annualChangeInWorkingCapital,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,annualTotalLiabilitiesNetMinorityInterest,trailingChangeInWorkingCapital,quarterlyRetainedEarnings,trailingFreeCashFlow,quarterlyCurrentLiabilities,quarterlyCurrentAssets,annualOtherShortTermInvestments,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualCommonStockIssuance,annualFreeCashFlow,annualTotalRevenue,annualNetOtherInvestingChanges,quarterlyGoodwill,annualCostOfRevenue,annualGainsLossesNotAffectingRetainedEarnings,annualRetainedEarnings,annualNonCurrentDeferredRevenue,annualTaxProvision,annualNetIncome,annualTotalAssets,trailingTaxProvision,trailingEndCashPosition,quarterlyTotalNonCurrentAssets,annualCashDividendsPaid,annualLongTermDebt,trailingTotalRevenue,annualCurrentDebt,annualPretaxIncome,quarterlyTotalAssets,trailingOperatingIncome,annualEndCashPosition,annualOtherCurrentAssets,annualOperatingIncome,quarterlyOtherNonCurrentLiabilities,trailingInvestingCashFlow,annualAccountsPayable,annualSaleOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,annualStockholdersEquity,annualInvestmentsAndAdvances,annualDepreciationAndAmortization,annualCashAndCashEquivalents,annualDilutedAverageShares,annualAccountsReceivable,quarterlyLongTermDebt,quarterlyOtherNonCurrentAssets,quarterlyInventory,trailingPretaxIncome,quarterlyAccountsReceivable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,annualNetIncomeCommonStockholders,annualCurrentAssets,annualDilutedEPS,annualOtherNonCurrentAssets,annualEbitda,annualCurrentLiabilities,trailingNetOtherInvestingChanges,annualNetPPE,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,annualCurrentAccruedExpenses,quarterlyCashDividendsPaid,trailingOtherIncomeExpense,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,trailingDeferredIncomeTax,quarterlyChangeInInventory,quarterlyPurchaseOfInvestment,trailingStockBasedCompensation,annualChangeInAccountPayable,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,trailingBasicEPS,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,trailingCommonStockIssuance,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,annualRepurchaseOfCapitalStock,annualChangesInAccountReceivables,trailingDilutedAverageShares,quarterlyNetIncome,quarterlyCurrentAccruedExpenses,trailingPurchaseOfInvestment,trailingResearchAndDevelopment,quarterlyChangeInAccountPayable,trailingNetOtherFinancingCharges,trailingDilutedEPS,trailingSaleOfInvestment,quarterlyCommonStockIssuance,quarterlyEndCashPosition,annualIncomeTaxPayable,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,trailingRepurchaseOfCapitalStock,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,annualCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyCostOfRevenue,trailingChangeInAccountPayable,quarterlyBeginningCashPosition,annualResearchAndDevelopment,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,trailingChangesInAccountReceivables,trailingBasicAverageShares,trailingCashDividendsPaid,quarterlyBasicEPS,quarterlyIncomeTaxPayable,trailingPurchaseOfBusiness,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,trailingCashFlowFromContinuingFinancingActivities,annualDeferredIncomeTax,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyCapitalExpenditure
2004-12-31,-990120000.0,1514966620.371145,,,,1580485000.0,65655127.052604,0.0,-8852773260.54278,-77140113.172313,,,5887539000.0,,358799000.0,,,66753000.0,,-737985000.0,425652000.0,0.17366,,,-88954000.0,,721856947.166091,279028696.636169,,4497470490.790874,,5212990.453037,,,,-14721000.0,,,-699168239.89287,1148613674.911615,-64454423.95827,1065871701.162547,5059364000.0,-335268905.104369,-477962932.557358,304678143.837653,1888937158.665175,,1754453988.0,783254745.412168,,10613770000.0,56038848.321946,358799000.0,486724000.0,518345763.158606,,-82055000.0,4950926000.0,1433613925.091473,663694000.0,-32746060.609961,,,4180871613.215427,467660000.0,,842500000.0,,,337901502.572069,,14590620.121467,491868502.02252,17890820228.98941,-58506309.161764,,16457206303.897936,,70066938.511019,,102187610.730231,364592908.6256,9711691478.054726,196050000.0,397770000.0,,-147676892.024592,33620752.038929,16501309000.0,2747411105.378243,466780519.355831,,936613000.0,1071379806.75057,684809876.448035,367742223.928927,,-648766000.0,468555471.75615,235951475.506467,,,4595043864.518836,,247974487.413787,1177065117.799076,1754453988.0,,,,,859744000.0,,104488869.544569,969831434.579878,304678143.837653,5214220987.263852,0.17366,229395018.6808,615716711.342714,4076382743.670858,72880000.0,3248967267.770569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-31,,1119637060.469314,,,,,71970318.463125,0.0,-9143905990.007736,-73664962.351728,,,,,,,,,,,,0.253988,,,,,-164028620.809696,301276038.937597,,4978368259.154203,,5557557.568334,,,,,,,-813281253.610108,1046780905.428056,-37999370.487365,1357901076.585869,,-82551433.406395,-635562241.877256,446734360.624033,3010153885.507994,,1758877049.0,-1129482233.62558,,,753394000.0,,,501725971.1836,,,,1790479747.872615,,-396916202.230531,,,5900802066.915936,,,,,,96014900.270758,,5120364.42754,-524432950.167612,18307539800.025787,-380297658.200103,,16517060052.153172,,79750274.497163,,144620368.166581,508573248.517277,11761648844.507479,,,,-160868338.963383,0.0,,3542585388.280041,653193616.683858,,,993783728.33935,1288561203.519856,432578671.286746,,,716164002.062919,319288396.338319,,,4878063661.423414,,275157912.51934,1023622160.198556,1766115226.0,,,,,,,77527876.03146,111129291.709644,446734360.624033,6783280585.353275,0.252947,312473388.022176,707736583.806086,5823274190.884477,,3541065621.647757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-31,,2571736124.86337,,,,,1807721000.0,1730660.96573,-11756908363.338263,1240585107.696264,,,,,,,,,,,,0.280756,,,,,-430592659.615508,622512532.630361,,10784642886.259886,,29461344.435157,,,,,,,-1431445126.342185,1234493702.501125,-594129091.172121,2426363611.843374,,-47048710.216678,-1618285318.909535,1245650750.337555,4900110835.851604,,3535942857.0,-1018829882.980775,,,945489364.431299,,,1481681421.269209,,,,3392074436.121649,,-931911797.723912,,,10263810194.81772,,,,,,48968881.566257,,865250266.829551,-1606169689.448981,24457982526.522213,934916890.953514,,21065908090.400566,,0.0,57909961.422234,236110886.967145,1227974144.21655,21857162072.590496,,,,-270067337.491159,2238515705.330161,,3909157027.904584,1481761637.3047,,,2522767243.297113,1785077518.806661,965710824.278274,,,1380274314.601685,62628669.710024,,,9780749229.087637,,442708289.076062,2522767243.297113,3535942857.0,,,,,,,2325887011.187552,12115629.460554,992737612.036263,11072519186.33061,0.090243,806153108.082042,1408419113.354337,7937923183.630168,,6907837988.169485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-31,,1324056406.055958,16093220.686489,,,,1074850000.0,0.0,-5283902071.157254,-1106339365.083599,,,,,,,,,,,,0.265675,,,,,280492686.31972,1935133204.466821,,3831239482.232487,,6303701.146713,,,,,,,-1721808800.53963,2356953765.076418,-49265171.586342,1943800442.245003,,-58406428.205398,-1096821516.421003,747235431.665286,1843915491.87093,,2791558533.0,-951334267.321882,,,43462656.36822,,,1248615277.055222,,,,2272024764.889189,,190919987.724963,,,3146659786.010151,,,,,,15761594.857103,,0.0,-595615915.110914,9127214981.890089,-667934702.616332,,6855190217.0009,,117672835.256491,8602598.845336,127209419.84165,971850102.529642,8424101711.067282,,,,-8008670.100052,190354162.863525,,266949424.694214,874444851.506936,,,1308294811.198855,466779280.394566,328224322.644186,,,763783935.270084,98898504.05107,,,4270526606.652526,,220712914.990369,1308294811.198855,2792543210.0,934153426.330544,,,,,,205260462.855575,501205601.31009,741648379.556652,4592862228.834795,0.265582,123580271.640972,548937237.634555,2941399323.154577,,2072801016.283788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,,1369987454.292085,32260802.884615,32260802.884615,245782253.762542,,,0.0,-1060184601.797659,70007148.550725,6587053.860089,3398417904.264214,,-1356653094.760312,,,12839516.025641,,218325483.207915,,,0.152503,,245782253.762542,,1369987454.292085,-43447612.040134,2636779785.953177,1361862159.141583,4298015222.268673,3500216546.822742,6587053.860089,757983144.300446,-1356653094.760312,,,3500216546.822742,7648061.733556,-490721864.757525,1229679949.205686,-141811406.702899,2496919577.132107,,-31460424.331104,-424948181.647157,545982324.623746,2314720311.385173,2143563452.06243,2791383356.0,-503086788.879599,27631990.942029,,4358497.073579,,,1240931915.691193,,,,3080443970.387402,,193022426.560758,0.0,8125295.150502,3630222149.735229,,,,3531621499.37291,4901374739.478818,8125295.150502,98600650.362319,,346049699.066332,12538632683.319399,5877367.265886,1240931915.691193,9458188712.931995,,,7648061.733556,119969613.085284,425659629.250279,9199389961.747492,,,4298015222.268673,-169589561.385173,84365534.768673,,218325483.207915,665951937.70903,9199389961.747492,,1361862159.141583,12839516.025641,583524393.255295,,,757983144.300446,0.0,3630222149.735229,,3398417904.264214,,186675750.41806,1361862159.141583,2791383356.0,786866332.079153,84365534.768673,100386313.405797,2314720311.385173,,786866332.079153,98600650.362319,770997880.713489,425659629.250279,4901374739.478818,0.152491,100386313.405797,880259679.069119,3531621499.37291,,2143563452.06243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,,,,36262095.35035,,,,,,,13306414.628671,4665985608.075084,,,,,19118715.772116,,385603077.815454,,,,,246047030.115119,,1872526159.234658,,,1832878402.875516,,,,899183436.600837,,,,,7230559.035439,,,,,,,,,,2569075007.882316,,,,,,,,,,,,,,,0.0,39647756.359141,,,,,3709098731.672228,5168688836.725478,,596441348.926359,,,,,1419322687.228557,,,,,,,,,,5024060908.409524,,,,,,10192749745.135002,,,,,0.0,,,,4305540080.598586,,,,,,,,440726504.659199,46739045.819108,1981973535.042695,,806375249.249703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,,1725531838.281032,38085595.507226,38085595.507226,4496813814.605061,,0.0,0.0,-985204280.811902,347896335.408092,15059204.88142,4827414603.90168,,-1523619280.034351,,,55810800.878645,,266857140.196412,,,0.179171,,4496813814.605061,,1725531838.281032,0.0,3456189652.405121,1710803682.337604,5198678063.815905,4253643402.011832,15059204.88142,806757457.393309,-1523619280.034351,,,4253643402.011832,11739911.008469,-679442727.256316,1361776850.024242,-155796384.645241,3308545347.857931,,-67819248.924581,-463962445.247785,634192035.319892,2506196300.125594,2730024121.977481,2791384426.0,-126989844.344124,47479989.57205,,-48221327.88532,,,1445569210.206934,,,,4138976326.114876,,97044883.094008,0.0,14728155.943428,4939937785.745417,,,,4339769833.297228,5803275556.708342,14728155.943428,600167952.448189,,469511036.756362,14812216840.6485,-94122671.856786,1445569210.206934,10673240514.533625,,,11739911.008469,201971548.349993,500166520.594137,11001953620.524246,,,5198678063.815905,,573368836.5583,,266857140.196412,836163583.669885,11001953620.524246,,1710803682.337604,55810800.878645,830430978.256945,0.0,,806757457.393309,,4939937785.745417,,4827414603.90168,,260382316.0209,1710803682.337604,2791384426.0,9754497.829821,573368836.5583,66227396.58445,2506196300.125594,,9754497.829821,600167952.448189,933473482.004147,500166520.594137,5803275556.708342,0.179171,66227396.58445,1144025889.262835,4339769833.297228,,2730024121.977481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,,,,37159797.744338,,,,,,,13182462.08196,4918415696.26137,,,,,59546282.313563,,572285723.179813,,,,,244221442.747896,,1350663188.195342,,,1317383877.696918,,,,1091089463.925073,,,,,14987583.938071,,,,,,,,,,2761518969.291294,,,,,,,,,,,,,,,0.0,33279310.498424,,,,,3829041273.014511,5223624720.169181,,457991074.493882,,,,,1443070734.375923,,,,,,,,,,5300121131.694611,,,,,,10523745851.863792,,,,,0.0,,,,4287032347.508394,,,,,,,,419795780.491,-18571590.414013,2234804701.807407,,745406004.756131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,,1630063533.563502,57912949.615237,57912949.615237,237980421.282561,,0.0,0.0,-1277796331.393563,-215310384.159245,22941896.897096,5068091716.417546,,-1780943151.336745,,,49140997.729583,,870251259.296569,,,0.130476,,237980421.282561,,1630063533.563502,-49337009.478703,3850242595.705095,1483896720.019119,5638064907.210984,4804669822.3241,22941896.897096,852109093.577944,-1780943151.336745,,,4804669822.3241,26543399.730942,-694630697.659299,1655960946.747341,0.0,3595460558.622896,,-76518725.731782,-669881231.54531,528994804.077243,2974552436.482922,3023726670.987355,2792434710.0,-484822278.075375,38712320.451359,,-51022710.521142,,,1431750776.953015,,,,4330449223.201173,,-665467558.290107,0.0,146166813.544382,6328247842.615233,,,,5824421799.350098,7123978843.796056,146166813.544382,503826043.265135,3977334.05716,-563578946.647119,17006988388.116735,-78452424.248109,1431750776.953015,12676539164.915564,,,26543399.730942,221856324.354884,364383284.940593,12762043751.00704,,,5638064907.210984,-123155034.1976,421851373.107825,,870251259.296569,750851128.432127,12762043751.00704,,1483896720.019119,49140997.729583,734988664.578277,0.0,,852109093.577944,13076540.341346,6328247842.615233,,5068091716.417546,,289981486.099315,1483896720.019119,2795034443.0,1377245875.097492,421851373.107825,24786111.788824,2974552436.482922,,1377245875.097492,503826043.265135,106302284.898191,364383284.940593,7123978843.796056,0.13039,24786111.788824,1079544934.982802,5824421799.350098,,3023726670.987355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,,,,54314044.206577,,,,,,,38990648.030737,5238965311.589417,,,,,30186200.87637,,750792372.100076,,,,,232179673.183331,,2285791614.466532,,,2110391064.41449,,,,1287334882.851672,,,,,24994985.764768,,,,,,,,,,3100821532.30619,,,,,,,,,,,,,,,0.0,175400550.052043,,,1342277459.829609,,5863773444.304237,7644325309.096516,,747376180.092777,,,,,1417163481.409902,,,,,,,,,,5639999149.849012,,,,,,13284324458.94553,,,,,22433465.30371,,,,6611149624.397014,,,,,,,,660957080.993562,-14738927.209879,2998850404.078591,,1119228139.682091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
