date,annualChangesInAccountReceivables,annualInterestExpense,trailingBeginningCashPosition,trailingInterestExpense,trailingChangesInAccountReceivables,quarterlyDilutedEPS,annualBeginningCashPosition,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,annualSellingGeneralAndAdministration,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,quarterlyBeginningCashPosition,quarterlyCapitalStock,annualRepaymentOfDebt,trailingRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,annualDilutedAverageShares,quarterlyAccountsPayable,trailingRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangeInCashSupplementalAsReported,quarterlyNetOtherInvestingChanges,quarterlyBasicAverageShares,trailingNetIncomeCommonStockholders,trailingDeferredIncomeTax,annualTaxProvision,quarterlyStockholdersEquity,trailingNetOtherFinancingCharges,annualCurrentDebt,quarterlyRepaymentOfDebt,annualTotalRevenue,annualCapitalStock,quarterlyTaxProvision,annualNetOtherFinancingCharges,annualFreeCashFlow,quarterlyOtherNonCashItems,trailingDepreciationAndAmortization,trailingTaxProvision,trailingOtherNonCashItems,trailingNetIncomeContinuousOperations,quarterlyCashFlowFromContinuingFinancingActivities,trailingPurchaseOfBusiness,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyOtherShortTermInvestments,annualBasicAverageShares,annualChangeInWorkingCapital,annualNonCurrentDeferredTaxesLiabilities,annualNetIncomeContinuousOperations,quarterlyCommonStockIssuance,quarterlyDeferredIncomeTax,annualPurchaseOfBusiness,quarterlyRetainedEarnings,trailingFreeCashFlow,trailingSellingGeneralAndAdministration,quarterlyIncomeTaxPayable,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,trailingNetIncome,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyLongTermDebt,trailingPurchaseOfInvestment,annualCashDividendsPaid,trailingCashDividendsPaid,annualPurchaseOfInvestment,annualPretaxIncome,quarterlyTotalAssets,annualAccountsReceivable,annualLongTermDebt,annualNetIncome,quarterlyAccountsReceivable,annualBasicEPS,quarterlyDilutedAverageShares,trailingInvestingCashFlow,annualGoodwill,annualSaleOfInvestment,annualIncomeTaxPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyInvestmentsAndAdvances,annualStockholdersEquity,annualOtherNonCashItems,trailingChangeInWorkingCapital,quarterlyNetIncome,quarterlyGoodwill,quarterlyBasicEPS,annualTotalAssets,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,trailingSaleOfInvestment,annualRetainedEarnings,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,annualEndCashPosition,trailingChangeInAccountPayable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNetIncomeCommonStockholders,quarterlyOtherIncomeExpense,trailingOperatingCashFlow,trailingTotalRevenue,annualOperatingIncome,quarterlyCashDividendsPaid,annualOtherIncomeExpense,quarterlyEndCashPosition,annualAccountsPayable,annualOtherShortTermInvestments,quarterlyOtherIntangibleAssets,quarterlyInvestingCashFlow,annualOperatingCashFlow,annualCommonStockIssuance,quarterlyDepreciationAndAmortization,trailingEndCashPosition,quarterlyCurrentDebt,annualChangeInAccountPayable,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,annualOtherIntangibleAssets,trailingCashFlowFromContinuingFinancingActivities,annualDilutedEPS,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,annualInvestmentsAndAdvances,trailingNetOtherInvestingChanges,quarterlyFreeCashFlow,annualRepurchaseOfCapitalStock,annualGainsLossesNotAffectingRetainedEarnings,annualCashAndCashEquivalents,annualCashCashEquivalentsAndMarketableSecurities,annualNetOtherInvestingChanges,trailingPretaxIncome,annualResearchAndDevelopment,trailingBasicAverageShares,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,trailingStockBasedCompensation,annualTotalNonCurrentAssets,quarterlyChangeInInventory,quarterlyGrossPPE,annualOtherNonCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyStockBasedCompensation,annualNetPPE,annualCostOfRevenue,annualOtherCurrentLiabilities,trailingCapitalExpenditure,annualOtherCurrentAssets,annualCurrentAccruedExpenses,quarterlyCurrentLiabilities,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualInventory,trailingCostOfRevenue,annualCurrentAssets,trailingChangeInInventory,quarterlyEbitda,annualCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,trailingDilutedEPS,quarterlyCurrentAssets,quarterlyCapitalExpenditure,annualEbitda,annualOperatingExpense,annualGrossProfit,annualOtherNonCurrentLiabilities,annualStockBasedCompensation,trailingBasicEPS,quarterlyCostOfRevenue,trailingResearchAndDevelopment,quarterlyNetPPE,quarterlyOtherCurrentAssets,trailingGrossProfit,trailingCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyGrossProfit,quarterlyOperatingExpense,annualChangeInInventory,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentAssets,annualNonCurrentDeferredRevenue,annualAccumulatedDepreciation,annualCapitalExpenditure,trailingOtherIncomeExpense,quarterlyCurrentAccruedExpenses,trailingOperatingIncome,quarterlyCurrentDeferredRevenue,trailingOperatingExpense,annualGrossPPE,quarterlyAccumulatedDepreciation,quarterlyResearchAndDevelopment,trailingDilutedAverageShares
1991-12-31,,,1157000000.0,571000000.0,-798000000.0,0.51,,,432000000.0,,,,,,,,,-1515000000.0,,,,-501000000.0,,,,107843137.0,3636000000.0,-208000000.0,,,203000000.0,,,,,,,,,315000000.0,785000000.0,57000000.0,3636000000.0,,-1318000000.0,,,,,,,,,,,,6496000000.0,2948000000.0,,,,3636000000.0,,118100000,,,-29054000000.0,,-1350000000.0,,,,,,,,,107843137.0,-4369000000.0,,,,,,,,1102000000.0,55000000,,0.51,,,,25921000000.0,,,55000000,,,575000000.0,,,,55000000,,6496000000.0,33074000000.0,,,,,,,,,,,,1593000000.0,,,,,,-1691000000.0,,,,,-1128000000.0,,,,,,,4421000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-03-31,,,,,,0.39,,,,,,,,,,,,,,,,,,,,108205128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101900000,,,,,,,,,,,,,,108205128.0,,,,,,,,,,42200000,,0.39,,,,,,,42200000,,,,,,,42200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-06-30,,,,,,0.37,,,,,,,,,,,,,,,,,,,,109729730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118400000,,,,,,,,,,,,,,109729730.0,,,,,,,,,,40600000,,0.37,,,,,,,40600000,,,,,,,40600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-09-30,,,,,,,11100000.0,,,11100000.0,,,10500000.0,,,,-97600000.0,,,105000000.0,,,,-4700000.0,,,,,,1102000000.0,,,,519800000.0,,,,256100000.0,,,,,,,,,,,105000000.0,,,10500000.0,,,,566500000.0,,,,,,,917000000.0,181400000,,,,,,-3265900000.0,,2019000000.0,,,10500000.0,,0.1,,,,2990900000.0,,,,1102000000.0,245600000.0,,-127300000,,,2019000000.0,,,,566500000.0,,-127300000,-260800000.0,,,,,,-127300000,,,,,,245800000.0,,,,,,256100000.0,,,,,,,,,,0.1,,917000000.0,,,,,,,,14200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31,,,,,,0.36,,,,,771800000.0,,,,6300000.0,,,,,,,,,,8500000.0,108333333.0,,,,1124900000.0,,,-29000000.0,,,,,,-25600000.0,,,,,,,,,,,,,,,,,605400000.0,,,,,,,,115200000,13400000.0,,,,,,,2035200000.0,,,,,,108333333.0,,,,,10000000.0,,,,,39000000,,0.36,,,,,,3400000.0,39000000,,,,,,,39000000,37900000.0,,,,,,,,,,-3400000.0,,,,,,,,-783700000.0,,,,,910300000.0,,,13400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-03-31,,,,,,0.57,,,,,1044000000.0,,,,,,,,,,,,,,15300000.0,112807018.0,,,,1263700000.0,,,0.0,,,,,,15100000.0,,,,,,,,,,,,,,,,,602300000.0,,,,,,,,141600000,74500000.0,,,,,,,2215100000.0,,,,,,112807018.0,,,,,11700000.0,,,,,64300000,,0.57,,,,,,4200000.0,64300000,,,,,,,64300000,64000000.0,,,,,,,,,,-111000000.0,,,,,,,,-1170300000.0,,,,,951400000.0,,,74500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-06-30,,,,,,0.39,,-4400000.0,,,256600000.0,,,,,,,,,,,,,,-13900000.0,113516484.0,,,,1318900000.0,,,-28000000.0,,,,,,13500000.0,,,,,3500000.0,,,-4400000.0,,,,,,3500000.0,,,655300000.0,,,,,,,,136100000,67000000.0,,,,,,,2316000000.0,,,,,,113516484.0,,,,,6100000.0,,,,,58000000,,0.39,,,,,,2600000.0,58000000,,,,,,,58000000,55900000.0,,,,,,,,,,-64400000.0,,,,,,,,-307100000.0,,,,3500000.0,997100000.0,,,67000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-09-30,-5100000.0,,,,,,6300000.0,4200000.0,,13000000.0,1269000000.0,,223500000.0,,,,-151000000.0,,,122131148.0,,,,3500000.0,28600000.0,,,,,1368200000.0,,,-94000000.0,537900000.0,,,-100000.0,123300000.0,-98100000.0,,,,,-16500000.0,,,4200000.0,,122131148.0,-5100000.0,,223500000.0,0.0,,,701100000.0,,,,,,,925400000.0,144900000,-31600000.0,,,-16400000.0,,-3534900000.0,,2293600000.0,6500000.0,,223500000.0,6500000.0,1.83,,,,3341400000.0,,-24300000.0,,1368200000.0,-95100000.0,,62300000,,,2293600000.0,35200000.0,,,701100000.0,2900000.0,62300000,-155000000.0,,,,,,62300000,60300000.0,,,,,218300000.0,,,,,23800000.0,123300000.0,45300000.0,,,,,,-1273800000.0,,,1.83,6300000.0,925400000.0,,,-31600000.0,,,,,38500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31,,,,,,0.65,,27100000.0,,,1011400000.0,,,,9800000.0,,,,,,,,,,13900000.0,149384615.0,,,,1424400000.0,,,,,,,,,-19600000.0,,,,,-12800000.0,,,24000000.0,,,,,,-7800000.0,,,788700000.0,,,,,,,,188400000,101500000.0,,,,,,,2661300000.0,,,,7100000.0,,149384615.0,,,,,8400000.0,,,,,97100000,,0.65,,,,,,4100000.0,97100000,,,,,,,97100000,95500000.0,,,,-5000000.0,,,,,,-80400000.0,,,,,,,,-1105700000.0,,,,-7800000.0,1236900000.0,,,101500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-03-31,,,,,,0.12,,-26800000.0,,,1514200000.0,,,,,,,,,,,,,,-20400000.0,148333333.0,,,,1297300000.0,,,,,,,,,43200000.0,,,,,-61700000.0,,,-22800000.0,,,,,,-56800000.0,,,770100000.0,,,,,,,,111800000,38200000.0,,,,,,,2534300000.0,,,,9500000.0,,148333333.0,,,,,-6000000.0,,,,,17800000,,0.12,,,,,,4600000.0,17800000,,,,,,,17800000,16500000.0,,,,-4900000.0,,,,,,17500000.0,,,,,,,,-1476300000.0,,,,-56800000.0,1237000000.0,,,38200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
