date,quarterlyOperatingIncome,annualRepurchaseOfCapitalStock,trailingNetIncomeContinuousOperations,quarterlyDeferredIncomeTax,annualInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInAccountPayable,trailingRepurchaseOfCapitalStock,quarterlyChangeInWorkingCapital,quarterlyGrossPPE,annualCurrentAccruedExpenses,annualOperatingExpense,trailingSellingGeneralAndAdministration,annualDilutedAverageShares,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,annualCashAndCashEquivalents,quarterlyTotalLiabilitiesNetMinorityInterest,annualCapitalExpenditure,annualNetIncomeContinuousOperations,trailingDeferredIncomeTax,annualDilutedEPS,trailingCostOfRevenue,annualChangesInAccountReceivables,quarterlyChangeInInventory,annualCurrentAssets,trailingResearchAndDevelopment,trailingBeginningCashPosition,trailingChangesInAccountReceivables,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualInterestExpense,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,annualOtherNonCurrentAssets,annualBasicAverageShares,annualNetOtherFinancingCharges,quarterlyCashDividendsPaid,annualOtherShortTermInvestments,annualNetIncomeCommonStockholders,quarterlyRetainedEarnings,annualDeferredIncomeTax,trailingOperatingExpense,annualResearchAndDevelopment,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualAccumulatedDepreciation,quarterlyStockBasedCompensation,quarterlyDilutedEPS,quarterlyOtherNonCashItems,annualChangeInWorkingCapital,quarterlyStockholdersEquity,annualTotalLiabilitiesNetMinorityInterest,annualFreeCashFlow,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualCommonStockIssuance,quarterlyPurchaseOfBusiness,trailingFreeCashFlow,annualRetainedEarnings,quarterlyCurrentAssets,quarterlyOperatingExpense,quarterlyCurrentLiabilities,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyCurrentDeferredRevenue,trailingChangeInAccountPayable,trailingNetIncomeCommonStockholders,annualCurrentDeferredRevenue,annualLongTermDebt,annualCashDividendsPaid,quarterlySellingGeneralAndAdministration,annualBeginningCashPosition,annualCostOfRevenue,annualTaxProvision,annualTotalAssets,annualNetIncome,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,annualCurrentDebt,trailingTaxProvision,annualOtherCurrentAssets,trailingDepreciationAndAmortization,annualOtherNonCashItems,annualSellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,annualTotalNonCurrentAssets,quarterlyBasicEPS,annualStockholdersEquity,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances,annualPurchaseOfBusiness,annualNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,annualIncomeTaxPayable,trailingPurchaseOfBusiness,quarterlyNetIncome,annualInvestingCashFlow,annualChangeInInventory,trailingStockBasedCompensation,quarterlyNetIncomeContinuousOperations,quarterlyInventory,annualDepreciationAndAmortization,quarterlyOtherIncomeExpense,trailingSaleOfInvestment,quarterlyBasicAverageShares,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,annualPurchaseOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,annualCapitalStock,quarterlyOtherCurrentLiabilities,trailingOperatingCashFlow,trailingPretaxIncome,annualAccountsReceivable,quarterlyTaxProvision,trailingNetIncome,annualGoodwill,annualStockBasedCompensation,annualGrossProfit,quarterlyAccountsReceivable,annualCurrentLiabilities,annualNetPPE,quarterlyPretaxIncome,quarterlyCostOfRevenue,quarterlyNetPPE,quarterlyCurrentAccruedExpenses,annualOtherIntangibleAssets,annualOperatingCashFlow,quarterlyCommonStockIssuance,annualInventory,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,trailingNetOtherInvestingChanges,annualRepaymentOfDebt,annualEbitda,quarterlyCapitalStock,annualOtherNonCurrentLiabilities,trailingChangeInWorkingCapital,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,annualBasicEPS,quarterlyDilutedAverageShares,quarterlyOtherIntangibleAssets,annualChangeInCashSupplementalAsReported,quarterlyTotalNonCurrentAssets,annualGainsLossesNotAffectingRetainedEarnings,annualOtherCurrentLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualTotalRevenue,annualNetOtherInvestingChanges,trailingGrossProfit,annualPretaxIncome,trailingTotalRevenue,trailingPurchaseOfInvestment,annualNonCurrentDeferredRevenue,annualCashFlowFromContinuingFinancingActivities,trailingOtherIncomeExpense,quarterlyTotalAssets,annualEndCashPosition,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,annualOtherIncomeExpense,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangesInAccountReceivables,quarterlyPurchaseOfInvestment,annualOperatingIncome,trailingCashFlowFromContinuingFinancingActivities,trailingEndCashPosition,quarterlyDepreciationAndAmortization,quarterlySaleOfInvestment,trailingCapitalExpenditure,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingChangeInCashSupplementalAsReported,quarterlyCurrentDebt,trailingInvestingCashFlow,annualGrossPPE,annualAccountsPayable,trailingBasicAverageShares,trailingRepaymentOfDebt,trailingCashDividendsPaid,trailingChangeInInventory,trailingOtherNonCashItems,trailingDilutedEPS,trailingInterestExpense,trailingNetOtherFinancingCharges,trailingBasicEPS,trailingCommonStockIssuance,trailingDilutedAverageShares
1988-03-31,38000000,,131289000.0,,,,,,,-164339000.0,,,,,242615000.0,,,38000000,,,,,-10364000.0,,549075000.0,,,,77507000.0,219452000.0,-57922000.0,,,,,38000000,,,,,,,,,340359000.0,,,,,,0.1,,,,,,,,,213040000.0,,,,,,,,3861000.0,131289000.0,,,,,,,,,,,,,20866000.0,,72679000.0,,,,,0.1,,,,,,,,,-210655000.0,,,,59143000.0,-500000,,,,77851000.0,21466000.0,,,,,,,,,,,249377000.0,152155000.0,,,131289000.0,,,,,,,,,,,,,,,,,332000.0,,,,,-9635000.0,,,,21466000.0,,,,,,,,,490496000.0,,1039571000.0,-50309000.0,,,2018000.0,,,,150137000.0,,,,,,-88273000.0,161438000.0,,,-36337000.0,,,,-58014000.0,,-219118000.0,,,,,,,,,,,,,
1988-06-30,48200000,,,,,,,,,,,,,,,,,48200000,,,,,,,,,,,,,,,,,,48200000,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,1600000,,,,,21466000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21466000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-09-30,48100000,,,,,,,,,,,,,,,,,48100000,,,,,,,,,,,,,,,,,,48100000,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,-400000,,,,,21466000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21466000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-31,-135600000,,,,,,,,,,,129800000.0,,34700000.0,,18918919.0,,44900000,2600000.0,225500000.0,,-1300000.0,,1.11,,,,44000000.0,,,,,,300000.0,,-135600000,157200000.0,18918919.0,,,,21000000.0,67200000.0,,,,198900000.0,,-84300000.0,,,,,51600000.0,225500000.0,0.0,198900000.0,,,,67200000.0,44000000.0,,26600000.0,,,,,,,188700000.0,,,0.0,145800000.0,-300000.0,277100000.0,21000000.0,800000.0,,,,800000.0,,,26000000.0,-100000.0,233100000.0,,51600000.0,,,,,10300000.0,,,,,0.0,,,-2000000,23400000.0,,,,,,,,,-84300000.0,157200000.0,10300000.0,188700000.0,,,,,,,,,,33400000.0,,26600000.0,45500000.0,,,45500000.0,,30400000.0,0.0,,23400000.0,,,,,7400000.0,,-100000.0,,,,1.11,,30400000.0,,233100000.0,,,2600000.0,179200000.0,,,-1600000.0,,,,,,277100000.0,0.0,,,22300000.0,,,,-1300000.0,,,,,,2600000.0,,2600000.0,,,,129800000.0,,,,,,,,,,,,
1989-03-31,41300000,,,,,,,,,,,,,,,,,41300000,,,,,,,,,,,,,,,,,,41300000,,,,,,,,,,,,,,,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09,,,,,,,,,,,,,,-1800000,,,,,20825000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20825000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-06-30,51700000,,,,,,,,,,,,,,,,,51700000,,,,,,,,,,,,,,,,,,51700000,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,800000,,,,,20825000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20825000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-09-30,51700000,,,,,,,,,,,,,,,,,51700000,,,,,,,,,,,,,,,,,,51700000,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,500000,,,,,20825000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20825000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-12-31,-147600000,,,,,,,,,,,136700000.0,,37100000.0,,20000000.0,,44700000,1000000.0,70800000.0,,-2300000.0,,0.07,,,,45300000.0,,,,,,300000.0,,-147600000,67500000.0,20000000.0,,,,1400000.0,67500000.0,,,,43600000.0,,-91800000.0,,,,,117300000.0,70800000.0,0.0,43600000.0,,,,67500000.0,45300000.0,,27200000.0,,,,,,,33000000.0,,,0.0,155200000.0,-900000.0,188100000.0,1400000.0,700000.0,,,,700000.0,,,28300000.0,0.0,142800000.0,,117300000.0,,,,,10600000.0,,,,,0.0,,,-1800000,25800000.0,,,,,,,,,-91800000.0,67500000.0,10600000.0,33000000.0,,,,,,,,,,34200000.0,,27200000.0,44900000.0,,,44900000.0,,30400000.0,0.0,,25800000.0,,,,,5900000.0,,0.0,,,,0.07,,30400000.0,,142800000.0,,,1000000.0,189400000.0,,,-3200000.0,,,,,,188100000.0,0.0,,,3700000.0,,,,-2900000.0,,,,,,1000000.0,,1000000.0,,,,136700000.0,,,,,,,,,,,,
1990-03-31,1000000,,,-100000.0,,10200000.0,11300000.0,,,,-8600000.0,139800000.0,,,,,,51300000,,87200000.0,,,,,,,-2300000.0,,,,,0.0,-3300000.0,,,3100000,,,,-400000.0,,,67400000.0,,,,,,,,0.01,100000.0,,117400000.0,,,58400000.0,,,,,55400000.0,9200000.0,28800000.0,0.0,,,,,,,,7100000.0,,,,,,1200000.0,,,,,,,,47900000.0,,0.01,,0.0,,,,,,,,200000.0,,,,600000,28100000.0,,-400000.0,,20000000.0,-11300000.0,-3300000.0,,14800000.0,-93700000.0,72700000.0,10500000.0,,,17500000.0,,,,400000.0,,,,,,,,1000000.0,41100000.0,46100000.0,,,,200000.0,,,200000.0,,,,,,,-14600000.0,1000000.0,,20000000.0,30400000.0,,149200000.0,,,,,,,,,,,,,204600000.0,,200000.0,,,,,,,,,2100000.0,,,1100000.0,,1100000.0,,,,,,,,,,,,,,,,
1990-06-30,2000000,,,0.0,,10900000.0,9200000.0,,,,-3600000.0,141900000.0,,,,,,58900000,,37900000.0,,,,,,,1200000.0,,,,,0.0,-3100000.0,,,4100000,,,,0.0,,,69300000.0,,,,,,,,0.09,-300000.0,,118500000.0,,,10500000.0,,,,,72500000.0,8900000.0,27400000.0,-600000.0,,,,,,,,6800000.0,,,,,,1500000.0,,,,,,,,0.0,,0.09,,0.0,,,,,,,,1900000.0,,,,1400000,26900000.0,,200000.0,,21111111.0,-500000.0,-2600000.0,,18400000.0,-95400000.0,7000000.0,10500000.0,,,18200000.0,,,,700000.0,,,,,,,,2100000.0,48000000.0,46500000.0,,,,2500000.0,,,14700000.0,,,,,,,-3100000.0,0.0,,21111111.0,30400000.0,,83900000.0,,,,,,,,,,,,,156400000.0,,1900000.0,,,,,,,,,2100000.0,,,15900000.0,,15900000.0,,,,,,,,,,,,,,,,
