,annualPretaxIncome,quarterlyLongTermDebt,annualLongTermDebt,annualAccountsReceivable,trailingPretaxIncome,trailingCashDividendsPaid,quarterlyOtherCurrentLiabilities,quarterlyTotalAssets,annualTotalAssets,trailingNetIncome,annualGoodwill,annualNetIncome,annualNonCurrentDeferredRevenue,quarterlyTotalNonCurrentAssets,annualCashDividendsPaid,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,trailingNetOtherInvestingChanges,quarterlyOtherNonCurrentLiabilities,trailingInvestingCashFlow,annualBasicAverageShares,quarterlyChangeInCashSupplementalAsReported,quarterlyInvestmentsAndAdvances,trailingChangeInWorkingCapital,annualOtherNonCashItems,annualSaleOfInvestment,annualCommonStockIssuance,annualStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,annualBasicEPS,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,annualDepreciationAndAmortization,quarterlyOtherIncomeExpense,annualTotalRevenue,annualPurchaseOfInvestment,annualRetainedEarnings,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,trailingOperatingCashFlow,annualCashFlowFromContinuingFinancingActivities,annualDilutedAverageShares,trailingOperatingIncome,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,trailingTotalRevenue,annualEndCashPosition,quarterlyEndCashPosition,trailingOtherIncomeExpense,annualNetPPE,annualCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyCashDividendsPaid,annualOperatingIncome,annualOtherIntangibleAssets,quarterlyBasicEPS,annualOtherIncomeExpense,trailingEndCashPosition,quarterlyCurrentDebt,quarterlyDepreciationAndAmortization,trailingCashFlowFromContinuingFinancingActivities,annualOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,annualAccountsPayable,quarterlyInterestExpense,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,annualRepurchaseOfCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,annualEbitda,quarterlyFreeCashFlow,quarterlyOtherIntangibleAssets,annualOtherNonCurrentLiabilities,annualInvestmentsAndAdvances,annualGainsLossesNotAffectingRetainedEarnings,annualDilutedEPS,annualCashCashEquivalentsAndMarketableSecurities,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualInterestExpense,annualChangesInAccountReceivables,annualBeginningCashPosition,annualCurrentAssets,quarterlyOtherCurrentAssets,trailingBeginningCashPosition,quarterlyChangesInAccountReceivables,trailingOperatingExpense,annualNetIncomeCommonStockholders,quarterlySaleOfInvestment,trailingChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,annualDeferredIncomeTax,quarterlyBasicAverageShares,trailingCapitalExpenditure,annualAccumulatedDepreciation,annualGrossPPE,annualSellingGeneralAndAdministration,quarterlyBeginningCashPosition,annualRepaymentOfDebt,trailingRepaymentOfDebt,quarterlyCapitalStock,quarterlyGrossProfit,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOperatingExpense,trailingNetOtherFinancingCharges,trailingGrossProfit,annualOtherCurrentLiabilities,quarterlyNetOtherInvestingChanges,trailingNetIncomeCommonStockholders,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,annualCapitalExpenditure,annualCurrentAccruedExpenses,annualChangeInCashSupplementalAsReported,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,annualCurrentDeferredRevenue,annualOtherCurrentAssets,annualTaxProvision,annualCostOfRevenue,annualCapitalStock,quarterlyTaxProvision,quarterlyNetPPE,annualStockBasedCompensation,annualCurrentDebt,trailingCostOfRevenue,annualTotalNonCurrentAssets,quarterlyStockBasedCompensation,quarterlyDilutedEPS,quarterlyEbitda,annualNetOtherFinancingCharges,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,trailingTaxProvision,annualGrossProfit,trailingPurchaseOfBusiness,trailingOtherNonCashItems,annualPurchaseOfBusiness,annualChangeInWorkingCapital,trailingNetIncomeContinuousOperations,annualTotalLiabilitiesNetMinorityInterest,quarterlyOperatingIncome,annualFreeCashFlow,annualNonCurrentDeferredTaxesLiabilities,quarterlyRetainedEarnings,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,trailingFreeCashFlow,quarterlyCurrentLiabilities,trailingSellingGeneralAndAdministration,annualOperatingExpense,quarterlyTotalRevenue,quarterlyCurrentAssets,quarterlyGrossPPE,annualNetIncomeContinuousOperations,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,trailingChangeInAccountPayable,quarterlyIncomeTaxPayable,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualChangeInInventory,annualIncomeTaxPayable,annualInventory,trailingDeferredIncomeTax,trailingResearchAndDevelopment,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,annualChangeInAccountPayable,trailingSaleOfInvestment,trailingDilutedEPS,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,annualResearchAndDevelopment,quarterlyInventory,quarterlyOtherShortTermInvestments,trailingDilutedAverageShares,trailingCommonStockIssuance,annualOtherShortTermInvestments,trailingStockBasedCompensation,trailingInterestExpense,trailingRepurchaseOfCapitalStock,trailingDepreciationAndAmortization,trailingChangeInInventory,quarterlyChangeInInventory,trailingBasicEPS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836092800,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-645000.0,-645000.0,,,784000.0,,,,33177000.0,16200000.0,,,,,,-645000.0,,,,,,,,,,,,-0.039815,,,,,,,,,,1104000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16200000.0,,,,,,,,,33947000.0,,,34311000.0,,,,,,,,,,,,,,,,,,-39000.0,,,,,,,-0.039815,1554000.0,,,,,,,,,,,,-364000.0,,,,-684000.0,,,,,,,,33947000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844041600,,,,,,,,,,,,,,,,0.0,,,,,,,284000.0,,,,,,,,,,923000.0,923000.0,,,184000.0,,,,35083000.0,16200000.0,,,,,,923000.0,-2524000.0,,,4907000.0,,,,,-1202000.0,,,0.056975,,,,1169000.0,,,,,,1944000.0,,,0.0,,,,21000.0,,,,,,,,,,,,,,,,,,110000.0,,,,,16200000.0,,,,,4623000.0,,,,38991000.0,,,36252000.0,,,,0.0,,,,,,,,,,,,,,56000.0,,,,,,,0.056975,4092000.0,,716000.0,,,,,,,,,,2739000.0,,,,979000.0,-977000.0,-1654000.0,,,,,,38991000.0,,,,1100000.0,1712000.0,-1691000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851990400,21171000.0,55551000.0,55551000.0,87283000.0,,,3442000.0,156614000.0,156614000.0,,,19964000.0,,57891000.0,-11813000.0,0.0,26016000.0,87283000.0,,1008000.0,,16200000.0,2300000.0,13687000.0,,19964000.0,3282000.0,,24247000.0,56559000.0,,1.232346,25478000.0,25478000.0,-32478000.0,5416000.0,2140000.0,156233000.0,,0.0,27497000.0,,,,17189000.0,16200000.0,,25478000.0,-18538000.0,,7207000.0,7207000.0,,14549000.0,75808000.0,,0.0,23681000.0,23735000.0,,3220000.0,,15564000.0,2002000.0,,13964000.0,7207000.0,7207000.0,,1745000.0,56559000.0,868000.0,0.0,,132367000.0,32317000.0,13528000.0,23735000.0,1008000.0,13687000.0,1099000.0,1.232346,7207000.0,0.0,7207000.0,5730000.0,,8322000.0,98723000.0,0.0,,,,19964000.0,2916000.0,,,868000.0,0.0,,,-23310000.0,37859000.0,127136000.0,4907000.0,,,0.0,56122000.0,,1099000.0,29499000.0,,,3442000.0,0.0,,,24247000.0,-10790000.0,26016000.0,-1115000.0,-23310000.0,,,0.0,1207000.0,0.0,0.0,1540000.0,14549000.0,,15564000.0,,57891000.0,,,30765000.0,0.0,26558000.0,,,156233000.0,,,-24970000.0,-12753000.0,,132367000.0,26623000.0,3174000.0,,0.0,27018000.0,-19867000.0,-12119000.0,,,75808000.0,,132552000.0,56122000.0,98723000.0,37859000.0,19964000.0,5600000.0,15024000.0,-1496000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859766400,,,,,,,,,,,,,,,,0.0,,,,,,,887000.0,,,,,,,,,,-4719000.0,-4719000.0,,,1394000.0,,,,33204000.0,16200000.0,,,,,,-4719000.0,-2038000.0,,,8094000.0,,,,,-4395000.0,,,-0.291296,,,,1774000.0,,,,,,1695000.0,,,0.0,,,,-5659000.0,,,,,,,,,,,,,,,,,,1149000.0,,,,,16200000.0,,,,,7207000.0,,,,30312000.0,,,34978000.0,,,,0.0,,,,,,,,,,,,,,-248000.0,,,,,,,-0.291296,-1498000.0,,-6113000.0,,,,,,,,,,-4666000.0,,,,-4967000.0,-2206000.0,-1865000.0,,,,,,30312000.0,,,,7705000.0,-4678000.0,-981000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867628800,,51662000.0,,,,,0.0,161679000.0,,,,,,91228000.0,,0.0,17715000.0,52796000.0,,1497000.0,,,4781000.0,14885000.0,,,,,,53159000.0,,,6940000.0,6940000.0,,,345000.0,,,,52028000.0,16200000.0,,,,,,6940000.0,3748000.0,,,12875000.0,,,,,-7941000.0,,,0.428395,,,25754000.0,2180000.0,,,12875000.0,12875000.0,,1881000.0,,1786000.0,0.0,,118820000.0,,13642000.0,51025000.0,,,,,,,,,,,,0.0,,,,,1628000.0,,,,,16200000.0,,,,,8094000.0,,,,63066000.0,,,54208000.0,,,,0.0,,,0.0,,,,-25313000.0,,,,,,,382000.0,16276000.0,,,,,,0.428395,11383000.0,,6595000.0,,,,,,,,,,8858000.0,,,,7322000.0,-99000.0,4364000.0,,,65661000.0,,,63066000.0,70451000.0,41589000.0,,-13740000.0,14665000.0,-1023000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875577600,,0.0,,,,,0.0,180735000.0,,,,,,92413000.0,,0.0,26070000.0,61165000.0,,618000.0,,,3042000.0,17285000.0,,,,,,618000.0,,,7610000.0,7610000.0,,,109000.0,,,,51760000.0,16200000.0,,,,,,7610000.0,-7056000.0,,,15917000.0,,,,,-2499000.0,,,0.51,,,0.0,2541000.0,,,15917000.0,15917000.0,,283000.0,,1502000.0,83056000.0,,50197000.0,,5777000.0,50638000.0,,,,,,,,,,,,0.0,,,,,3023000.0,,,,,16200000.0,,,,,12875000.0,,,162000.0,60143000.0,,46000.0,54301000.0,,,,0.0,,,130538000.0,,,,-27716000.0,,,,,,,-1942000.0,14687000.0,,,,,,0.51,8492000.0,,2464000.0,,,,,,,,,,5842000.0,,,8318000.0,5668000.0,-6697000.0,1171000.0,,,49579000.0,,,60143000.0,88322000.0,42403000.0,,3141000.0,7149000.0,-1372000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883526400,31119000.0,0.0,0.0,81648000.0,,,6100000.0,219887000.0,219887000.0,,,25840000.0,,92108000.0,-14835000.0,0.0,40163000.0,81648000.0,,946000.0,,16200000.0,14743000.0,18080000.0,,25840000.0,7689000.0,,146897000.0,946000.0,,1.5,16009000.0,16009000.0,-14126000.0,9093000.0,1390000.0,221535000.0,,24327000.0,39261000.0,,,,-3128000.0,16329613.0,,16009000.0,-8780000.0,,30660000.0,30660000.0,,16098000.0,72044000.0,,0.0,31876000.0,50366000.0,,3238000.0,,0.0,2598000.0,,40577000.0,30660000.0,30660000.0,,136000.0,946000.0,957000.0,-234000.0,,72990000.0,44207000.0,20540000.0,50366000.0,946000.0,18080000.0,630000.0,1.49,30660000.0,0.0,30660000.0,3995000.0,,7207000.0,127779000.0,0.0,,,,25840000.0,1889000.0,,,957000.0,-6842000.0,,,-28993000.0,45091000.0,180566000.0,15917000.0,,,162000.0,63701000.0,,630000.0,41859000.0,,,6100000.0,0.0,,,146897000.0,-6277000.0,40163000.0,23453000.0,-28993000.0,,,0.0,5279000.0,0.0,162000.0,7087000.0,16098000.0,,0.0,,92108000.0,,,25830000.0,82822000.0,22894000.0,,,221535000.0,,,-16546000.0,9066000.0,,72990000.0,21842000.0,34300000.0,,24327000.0,23096000.0,-7544000.0,5396000.0,,,72044000.0,,189659000.0,63701000.0,127779000.0,45091000.0,25840000.0,-234000.0,23441000.0,-2901000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891302400,,30519000.0,,,,,4394000.0,218830000.0,,,,,,106235000.0,,0.0,9970000.0,76427000.0,,1108000.0,,,-17186000.0,26735000.0,,,,,,31627000.0,,,-3440000.0,-3440000.0,,,692000.0,,,,53798000.0,16359961.0,,,,,,-3440000.0,-19556000.0,,,13474000.0,,,,,0.0,,,-0.21,,,,2616000.0,,,13474000.0,13474000.0,,244000.0,,932000.0,0.0,,75078000.0,,-31080000.0,55111000.0,,,,,,,,,,,,0.0,,,,,321000.0,,,,,16200000.0,,,,,30660000.0,,,162000.0,50373000.0,,925000.0,56414000.0,,,,0.0,,,143752000.0,,,,-29400000.0,,,,,,,-2153000.0,17317000.0,,,,,,-0.21,-2733000.0,,-4132000.0,,,,,,,,,,-6041000.0,,,20887000.0,-5593000.0,-17014000.0,-28301000.0,,,43451000.0,,,50373000.0,112595000.0,46717000.0,,30519000.0,-28217000.0,-2863000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899164800,,9776000.0,,,,,8383000.0,222511000.0,,,,,,124053000.0,,0.0,23638000.0,72516000.0,,1088000.0,,,-1790000.0,41578000.0,,,,,,10864000.0,,,7310000.0,7310000.0,,,1182000.0,,,,59030000.0,16392626.0,,,,,,7310000.0,-13073000.0,,,11684000.0,,,,,0.0,,,0.45,,,,2962000.0,,,11684000.0,11684000.0,,335000.0,,2059000.0,0.0,,70544000.0,,28274000.0,53959000.0,,,,,,,,,,,,0.0,,,,,298000.0,,,,,16200000.0,,,,,13474000.0,,,162000.0,73030000.0,,928000.0,61992000.0,,,,0.0,,,151967000.0,,,,-32068000.0,,,,,,,4575000.0,19631000.0,,,,,,0.45,15182000.0,,6234000.0,,,,,,,,,,11038000.0,,,28197000.0,11885000.0,-9737000.0,20714000.0,,,59680000.0,,,73030000.0,98458000.0,51699000.0,,-20743000.0,32078000.0,-3804000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
