,trailingCapitalExpenditure,quarterlySaleOfInvestment,annualDeferredIncomeTax,annualBeginningCashPosition,annualInterestExpense,quarterlyGrossPPE,annualChangesInAccountReceivables,trailingBeginningCashPosition,trailingInterestExpense,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,annualSellingGeneralAndAdministration,annualRepurchaseOfCapitalStock,annualAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingOperatingExpense,annualCurrentAssets,trailingNetIncomeContinuousOperations,annualGrossPPE,annualOtherNonCurrentAssets,trailingChangeInCashSupplementalAsReported,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,quarterlyBasicEPS,annualNetOtherFinancingCharges,quarterlyNetOtherInvestingChanges,quarterlyEndCashPosition,quarterlyInvestingCashFlow,trailingRepurchaseOfCapitalStock,annualTaxProvision,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyGrossProfit,annualCurrentAccruedExpenses,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,annualRepaymentOfDebt,trailingGrossProfit,trailingChangeInAccountPayable,annualResearchAndDevelopment,quarterlyOtherNonCashItems,annualCostOfRevenue,annualOtherCurrentAssets,annualTotalRevenue,annualCapitalStock,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyPretaxIncome,trailingCostOfRevenue,trailingFreeCashFlow,annualFreeCashFlow,annualCurrentDebt,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,annualInventory,quarterlyNetPPE,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyTaxProvision,trailingTaxProvision,quarterlyEbitda,annualTotalNonCurrentAssets,annualGrossProfit,quarterlyStockBasedCompensation,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,quarterlyCapitalExpenditure,quarterlyTotalRevenue,quarterlyDilutedAverageShares,annualPurchaseOfBusiness,trailingDepreciationAndAmortization,annualChangeInInventory,quarterlyOperatingIncome,trailingPurchaseOfBusiness,quarterlyChangeInWorkingCapital,trailingNetIncome,annualBasicEPS,annualNonCurrentDeferredTaxesLiabilities,annualTotalLiabilitiesNetMinorityInterest,annualNetIncome,trailingSellingGeneralAndAdministration,trailingOtherNonCashItems,annualCurrentDeferredRevenue,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,annualNetIncomeContinuousOperations,annualOperatingExpense,trailingInvestingCashFlow,annualAccountsReceivable,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,annualInvestingCashFlow,quarterlyNetIncomeContinuousOperations,annualLongTermDebt,annualCashDividendsPaid,trailingCashDividendsPaid,annualPretaxIncome,annualIncomeTaxPayable,annualSaleOfInvestment,quarterlyDilutedEPS,trailingPurchaseOfInvestment,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,annualOtherNonCashItems,quarterlyCommonStockIssuance,annualDepreciationAndAmortization,trailingChangeInInventory,quarterlyAccountsReceivable,quarterlyGoodwill,trailingStockBasedCompensation,annualStockholdersEquity,quarterlyCurrentAccruedExpenses,annualStockBasedCompensation,quarterlyCostOfRevenue,annualGoodwill,annualTotalAssets,annualCashFlowFromContinuingFinancingActivities,annualDilutedAverageShares,trailingChangeInWorkingCapital,quarterlyOtherIncomeExpense,annualDilutedEPS,trailingSaleOfInvestment,quarterlyInventory,quarterlyNetIncome,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,annualRetainedEarnings,annualPurchaseOfInvestment,quarterlyNonCurrentDeferredTaxesLiabilities,trailingOperatingIncome,quarterlyCurrentDeferredRevenue,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccountsPayable,trailingOperatingCashFlow,trailingTotalRevenue,annualChangeInAccountPayable,trailingOtherIncomeExpense,quarterlyOperatingExpense,annualOperatingIncome,annualCommonStockIssuance,annualOtherShortTermInvestments,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIntangibleAssets,annualEndCashPosition,quarterlyCashDividendsPaid,quarterlyBasicAverageShares,quarterlyDepreciationAndAmortization,trailingEndCashPosition,annualOtherIntangibleAssets,trailingCashFlowFromContinuingFinancingActivities,annualBasicAverageShares,annualOtherIncomeExpense,annualCurrentLiabilities,quarterlyBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,annualEbitda,quarterlyCashAndCashEquivalents,annualNetPPE,annualCashAndCashEquivalents,quarterlyFreeCashFlow,quarterlyCurrentDebt,annualOtherNonCurrentLiabilities,annualNetOtherInvestingChanges,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,annualInvestmentsAndAdvances,quarterlyNetIncomeCommonStockholders,trailingPretaxIncome,quarterlyTotalAssets,quarterlyNetOtherFinancingCharges,annualGainsLossesNotAffectingRetainedEarnings,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,trailingBasicAverageShares,trailingCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,annualNonCurrentDeferredRevenue,trailingBasicEPS,trailingDilutedEPS,trailingRepaymentOfDebt,trailingChangesInAccountReceivables,trailingNetOtherInvestingChanges,trailingNetOtherFinancingCharges,trailingDeferredIncomeTax,trailingResearchAndDevelopment,trailingDilutedAverageShares
307497600,,,,0.0,62400000.0,,,,,,,768400000.0,,-986200000.0,,,,,,2818100000.0,,2030500000.0,265200000.0,,,,256500000.0,1899600000.0,,,,,,,225300000.0,,,,,,,,,,,,4843400000.0,31800000.0,6176400000.0,,,,,,,0.0,132700000.0,,,,1092600000.0,,,,,,,1309500000.0,1333000000.0,,,,,,,,,,,,,,0.88,107400000.0,2590600000.0,261100000.0,,,,,,261100000.0,896600000.0,,,,,0.0,,431000000.0,,,486400000.0,,,,,,,,,,,,,,,1537000000.0,,,,,4127600000.0,,312804878.0,,,0.82,,,,,,1234900000.0,,,,,0.0,558300000.0,,,,,,,436400000.0,,,633600000.0,,0.0,,,,,,,291477273.0,112400000.0,2032300000.0,,,,564600000.0,,1044300000.0,633600000.0,,,19900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
339120000,,,,0.0,46800000.0,,,,,,,874900000.0,,-1060700000.0,,,,,,2996800000.0,,2214700000.0,280100000.0,,,,277600000.0,2153900000.0,,,,,,,245500000.0,,,,,,,,,,,,5453500000.0,33500000.0,6906500000.0,,,,,,,0.0,41400000.0,,,,1175400000.0,,,,,,,1434100000.0,1453000000.0,,,,,,,,,,,,,,0.92,119600000.0,2693100000.0,280200000.0,,,,,,280200000.0,1026700000.0,,,,,0.0,,363600000.0,,,525700000.0,,,,,,,,,,,,,,,1737800000.0,,,,,4430900000.0,,315454545.0,,,0.88,,,,,,1412600000.0,,,,,0.0,497800000.0,,,,,,,426300000.0,,,741700000.0,,0.0,,,,,,,301739130.0,146200000.0,2195300000.0,,,,578100000.0,,1154000000.0,741700000.0,,,14600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
370656000,,,,0.0,40500000.0,,,,,,,854500000.0,,-1133100000.0,,,,,,3223400000.0,,2356600000.0,256000000.0,,,,317000000.0,2300000000.0,,,,,,,267300000.0,,,,,,,,,,,,5608400000.0,40000000.0,7039700000.0,,,,,,,0.0,23900000.0,,,,1082500000.0,,,,,,,1479500000.0,1431300000.0,,,,,,,,,,,,,,1.02,175000000.0,2794300000.0,318800000.0,,,,,,318800000.0,1024200000.0,,,,,0.0,,293400000.0,,,586100000.0,,,,,,,,,,,,,,,1908600000.0,,,,,4702900000.0,,320202020.0,,,0.99,,,,,,1620700000.0,,,,,0.0,470400000.0,,,,,,,407100000.0,,,976700000.0,,0.0,,,,,,,310784314.0,219500000.0,2323900000.0,,,,576800000.0,,1223500000.0,976700000.0,,,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
402192000,,,,0.0,35700000.0,,,,,,,950000000.0,,-1208000000.0,,,,,,3056300000.0,,2733900000.0,288100000.0,,,,330000000.0,2319800000.0,,,,,,,299300000.0,,,,,,,,,,,,5805300000.0,32500000.0,7395400000.0,,,,,,,0.0,24600000.0,,,,948000000.0,,,,,,,1814000000.0,1590100000.0,,,,,,,,,,,,,,1.05,195900000.0,2774900000.0,331600000.0,,,,,,331600000.0,1137600000.0,,,,,0.0,,232700000.0,,,630900000.0,,,,,,,,,,,,,,,2095400000.0,,,,,4870300000.0,,320388350.0,,,1.03,,,,,,1831700000.0,,,,,0.0,430500000.0,,,,,,,452500000.0,,,852600000.0,,0.0,,,,,,,314285714.0,214100000.0,2344400000.0,,,,640100000.0,,1525900000.0,852600000.0,,,1900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
433728000,,,,0.0,27200000.0,,,,,,,938800000.0,,-1325800000.0,,,,,,3224300000.0,,3042200000.0,290400000.0,,,,387700000.0,2407700000.0,,,,,,,301000000.0,,,,,,,,,,,,6348400000.0,40500000.0,8097900000.0,,,,,,,0.0,24800000.0,,,,813800000.0,,,,,,,2006800000.0,1749500000.0,,,,,,,,,,,,,,1.23,234200000.0,2866800000.0,389100000.0,,,,,,389100000.0,1171500000.0,,,,,0.0,,197100000.0,,,690100000.0,,,,,,,,,,,,,,,2364300000.0,,,,,5231100000.0,,323083333.0,,,1.2,,,,,,2091700000.0,,,,,0.0,434300000.0,,,,,,,578000000.0,,,1033300000.0,,0.0,,,,,,,315203252.0,139300000.0,2432500000.0,,,,810700000.0,,1716400000.0,1033300000.0,,,3000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
449539200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2317000000.0,,,,,,,2317000000.0,312205000.0,,,,2317000000.0,,,,,,,,,,,,,,,,,,,,132700000.0,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312205000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457401600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2365000000.0,,,,,,,2365000000.0,312205000.0,,,,2365000000.0,,,,,,,,,,,,,,,,,,,,132900000.0,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312205000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465350400,,,,0.0,42800000.0,3508100000.0,,,,,,961400000.0,,-1517800000.0,48400000.0,,,,,3612800000.0,,3508100000.0,174300000.0,,,2518800000.0,495300000.0,2786500000.0,,,,,,,403000000.0,,,,,,,,,,,,7260900000.0,48400000.0,9322100000.0,,,2839500000.0,,,,0.0,53000000.0,,,3612800000.0,896100000.0,1990300000.0,511200000.0,2440600000.0,,,-5910700000.0,2256700000.0,2061200000.0,,,,,2613100000.0,,,,,-5910700000.0,,,,1.58,97500000.0,3350700000.0,496500000.0,,,,-1517800000.0,,496500000.0,1262900000.0,,,,,0.0,139000000.0,218600000.0,,,899500000.0,,,,,,2786500000.0,195100000.0,,,,,,,,2518800000.0,,,,,5869500000.0,,319548387.0,,,1.55,,896100000.0,,218600000.0,,2440600000.0,,97500000.0,,,0.0,511200000.0,,,,,,,798300000.0,,,1148400000.0,92100000.0,0.0,,,,,92100000.0,,313481013.0,144000000.0,2839500000.0,,1148400000.0,,1099800000.0,1148400000.0,1990300000.0,1148400000.0,,53000000.0,195100000.0,,,,,2256700000.0,,,,5869500000.0,,,174300000.0,3350700000.0,,,,,,,,,,,,,
473299200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2363200000.0,,,,,,,2363200000.0,305331000.0,,,,2363200000.0,,,,,,,,,,,,,,,,,,,,140500000.0,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305331000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481075200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2842500000.0,,,,,,,2842500000.0,303573000.0,,,,2842500000.0,,,,,,,,,,,,,,,,,,,,154600000.0,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303573000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
