date,trailingRepaymentOfDebt,annualDilutedAverageShares,annualEbitda,annualGrossProfit,annualRepaymentOfDebt,annualNetPPE,annualTotalNonCurrentAssets,quarterlyBeginningCashPosition,annualOtherIncomeExpense,quarterlyCapitalStock,trailingGrossProfit,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,annualOtherCurrentLiabilities,quarterlyPretaxIncome,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherCurrentAssets,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,annualDilutedEPS,trailingCashFlowFromContinuingFinancingActivities,annualBeginningCashPosition,quarterlyAccumulatedDepreciation,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,trailingChangeInCashSupplementalAsReported,trailingOtherIncomeExpense,quarterlySaleOfInvestment,annualGrossPPE,trailingDepreciationAndAmortization,quarterlyCurrentDebt,annualOtherNonCurrentLiabilities,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,annualAccumulatedDepreciation,quarterlyAccountsPayable,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyGainsLossesNotAffectingRetainedEarnings,annualPurchaseOfBusiness,trailingNetIncomeContinuousOperations,annualBasicAverageShares,annualNetIncomeContinuousOperations,annualOperatingExpense,quarterlyCommonStockIssuance,quarterlyTotalRevenue,trailingDeferredIncomeTax,quarterlyCapitalExpenditure,annualCapitalExpenditure,trailingOperatingExpense,trailingNetOtherFinancingCharges,annualInvestingCashFlow,quarterlyOperatingCashFlow,annualChangeInInventory,quarterlyOperatingIncome,quarterlyIncomeTaxPayable,quarterlyGrossPPE,trailingStockBasedCompensation,annualNonCurrentDeferredTaxesLiabilities,trailingCashDividendsPaid,annualCashFlowFromContinuingFinancingActivities,trailingChangesInAccountReceivables,trailingInterestExpense,quarterlyBasicAverageShares,trailingBeginningCashPosition,quarterlyTaxProvision,annualChangesInAccountReceivables,quarterlyNetPPE,annualInventory,annualChangeInCashSupplementalAsReported,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCashItems,annualPurchaseOfInvestment,annualTotalRevenue,annualCapitalStock,quarterlyStockBasedCompensation,annualDeferredIncomeTax,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,trailingChangeInInventory,annualNetOtherFinancingCharges,annualInterestExpense,annualStockBasedCompensation,annualGoodwill,annualTotalLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,quarterlyRetainedEarnings,trailingChangeInWorkingCapital,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicEPS,annualChangeInWorkingCapital,trailingNetOtherInvestingChanges,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,annualGainsLossesNotAffectingRetainedEarnings,quarterlyGoodwill,annualOperatingIncome,annualNetOtherInvestingChanges,trailingTotalRevenue,quarterlySellingGeneralAndAdministration,trailingCostOfRevenue,trailingFreeCashFlow,trailingNetIncome,quarterlyCurrentLiabilities,annualTotalAssets,quarterlyCurrentAssets,annualNetIncome,trailingPretaxIncome,annualEndCashPosition,annualCurrentDebt,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,trailingTaxProvision,annualLongTermDebt,quarterlyOtherNonCurrentLiabilities,annualOtherCurrentAssets,annualCurrentDeferredRevenue,trailingOperatingIncome,trailingInvestingCashFlow,annualCostOfRevenue,annualAccountsPayable,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,annualCashDividendsPaid,annualFreeCashFlow,annualPretaxIncome,trailingEndCashPosition,annualInvestmentsAndAdvances,quarterlyChangeInAccountPayable,annualRepurchaseOfCapitalStock,annualBasicEPS,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,trailingRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,annualOtherNonCurrentAssets,quarterlyDilutedAverageShares,quarterlyTotalLiabilitiesNetMinorityInterest,annualOtherNonCashItems,annualDepreciationAndAmortization,annualCashAndCashEquivalents,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualStockholdersEquity,annualTaxProvision,quarterlyChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,annualRetainedEarnings,quarterlyInventory,annualCurrentAccruedExpenses,trailingOperatingCashFlow,quarterlyOtherIncomeExpense,annualCurrentAssets,annualAccountsReceivable,trailingChangeInAccountPayable,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualOperatingCashFlow,annualNetIncomeCommonStockholders,annualCurrentLiabilities,quarterlyOperatingExpense,annualOtherIntangibleAssets,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,annualSaleOfInvestment,annualCommonStockIssuance,annualOtherShortTermInvestments,quarterlyCostOfRevenue,trailingOtherNonCashItems,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,trailingPurchaseOfBusiness,annualSellingGeneralAndAdministration,annualIncomeTaxPayable,trailingResearchAndDevelopment,trailingSellingGeneralAndAdministration,trailingSaleOfInvestment,trailingDilutedEPS,trailingPurchaseOfInvestment,annualResearchAndDevelopment,trailingDilutedAverageShares,trailingCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,trailingBasicEPS
1979-12-31,-85926000.0,3600000.0,21000000.0,,,,,,,,170305000.0,60390000.0,,,,,,,,,,0.046667,130394000.0,,,,,-237672000.0,-1895000.0,-1046000.0,,,53126000.0,,,,,,,,,,,,,61439000.0,3262500.0,1200000.0,,,,18968000.0,,,65139000.0,-692000.0,,,,,,,2583000.0,,-24107000.0,,2698000.0,21250000.0,,6215000.0,,,,,,,,,,21000000.0,,,,,,3724000.0,,,,,,,,-14170000.0,,,,-684000.0,,,,,21000000.0,,709017000.0,,538712000.0,-114951000.0,60390000.0,,,,1200000.0,82870000.0,,,,,21431000.0,,,,,105166000.0,-255010000.0,,,,,,,,4320000.0,,,,0.046667,,,-724000.0,,,,,,,,,,,,,,,,,,122721000.0,,,,-6053000.0,,,,,,1200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-12-31,,3653846.0,32500000.0,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,3313953.0,1900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32500000.0,,,,,,,,,,,,,,,,,,,,,,,32500000.0,,,,,,,,,,1900000.0,,,,,,,,,,,,,,,,,,,,,,,,0.573333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-12-31,,3504673.0,41200000.0,,,,,,,,,,,,,,,,,,,0.713333,,,,,,,,,,,,,,,,,,,,,,,,,3205128.0,2500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41200000.0,,,,,,,,,,,,,,,,,,,,,,,41200000.0,,,,,,,,,,2500000.0,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-12-31,,3433735.0,45900000.0,,,,,,,,,,,,,,,,,,,0.553333,,,,,,,,,,,,,,,,,,,,,,,,,3166667.0,1900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45900000.0,,,,,,,,,,,,,,,,,,,,,,,45900000.0,,,,,,,,,,1900000.0,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-31,,3500000.0,53000000.0,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,3281250.0,2100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53000000.0,,,,,,,,,,,,,,,,,,,,,,,53000000.0,,,,,,,,,,2100000.0,,,,,,,,,,,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-03-31,,,,,,,,,,,,,,,,,,,,0.286667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000000.0,,,,,,,,,15000000.0,,,,,,,,,3486000.0,,,,,,,,,,,,,,,15000000.0,,,,,,,,,,,,0.286667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3486000.0,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,,,,,,,,,0.146667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000000.0,,,,,,,,,15000000.0,,,,,,,,,3523500.0,,,,,,,,,,,,,,,15000000.0,,,,,,,,,,,,0.146667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3523500.0,,,,,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,,,,,,,,,,0.246667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19500000.0,,,,,,,,,19500000.0,,,,,,,,,3526500.0,,,,,,,,,,,,,,,19500000.0,,,,,,,,,,,,0.246667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3526500.0,,,,,900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,,3543307.0,68900000.0,,,,,,,,,,,,,,,,,,,0.846667,,,,,,,,,,,,,,,,,,,,,,,,,3515625.0,3000000.0,,,19300000.0,,,,,,,,,19300000.0,,,,,,,,,,,,,,,,,,,,68900000.0,,,,19300000.0,,,,,,,,,,,,,,,,,,,68900000.0,,,,,,,,,,3000000.0,,,,,,,,,,,,,,,,,,,,,,,,0.853333,,,,,,,,,,,,600000.0,,,,,,,,,,,,,,,,,,,3000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-31,,,,,,,,,,,,,,,,,,,,0.286667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16300000.0,,,,,,,,,16300000.0,,,,,,,,,3537000.0,,,,,,,,,,,,,,,16300000.0,,,,,,,,,,,,0.286667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3537000.0,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
