date,trailingRepaymentOfDebt,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,annualNetIncomeCommonStockholders,annualNetPPE,trailingChangeInCashSupplementalAsReported,annualOtherIntangibleAssets,quarterlyCashAndCashEquivalents,annualOperatingCashFlow,annualGrossPPE,quarterlyRepaymentOfDebt,trailingInterestExpense,quarterlyDilutedAverageShares,trailingOperatingCashFlow,annualCapitalStock,annualBasicEPS,annualInterestExpense,quarterlyOperatingExpense,quarterlyNetOtherInvestingChanges,annualDepreciationAndAmortization,quarterlyStockholdersEquity,trailingNetIncomeCommonStockholders,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,quarterlyOperatingIncome,annualBasicAverageShares,trailingNetIncomeContinuousOperations,annualPurchaseOfBusiness,trailingPurchaseOfBusiness,annualStockholdersEquity,annualNetOtherFinancingCharges,trailingOperatingExpense,annualOtherNonCashItems,annualSellingGeneralAndAdministration,quarterlyChangeInCashSupplementalAsReported,quarterlyCommonStockIssuance,trailingTaxProvision,trailingCashDividendsPaid,annualNetIncome,annualBeginningCashPosition,trailingNetIncome,quarterlyTaxProvision,quarterlyNetPPE,annualCashDividendsPaid,trailingBeginningCashPosition,quarterlyOperatingCashFlow,trailingSellingGeneralAndAdministration,quarterlyGrossPPE,trailingFreeCashFlow,quarterlyTotalRevenue,annualNetIncomeContinuousOperations,annualOperatingExpense,quarterlyCapitalExpenditure,annualTotalLiabilitiesNetMinorityInterest,annualCommonStockIssuance,annualFreeCashFlow,quarterlyRetainedEarnings,annualOperatingIncome,quarterlyCashDividendsPaid,quarterlyDilutedEPS,annualChangeInWorkingCapital,annualAccountsPayable,annualEndCashPosition,annualTaxProvision,trailingPurchaseOfInvestment,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualGoodwill,annualTotalAssets,trailingTotalRevenue,trailingNetOtherFinancingCharges,annualInvestingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyGoodwill,annualTotalRevenue,trailingSaleOfInvestment,quarterlySellingGeneralAndAdministration,annualPurchaseOfInvestment,annualRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyAccountsPayable,quarterlyInvestmentsAndAdvances,annualDilutedEPS,annualSaleOfInvestment,annualInvestmentsAndAdvances,quarterlySaleOfInvestment,quarterlyPurchaseOfInvestment,trailingCapitalExpenditure,quarterlyInterestExpense,trailingInvestingCashFlow,annualPretaxIncome,trailingPretaxIncome,trailingEndCashPosition,quarterlyBasicEPS,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,annualNetOtherInvestingChanges,quarterlyBasicAverageShares,quarterlyFreeCashFlow,annualDilutedAverageShares,annualCashAndCashEquivalents,trailingRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,trailingCostOfRevenue,trailingNetOtherInvestingChanges,annualNonCurrentDeferredTaxesLiabilities,annualLongTermDebt,quarterlyIncomeTaxPayable,trailingOperatingIncome,trailingDeferredIncomeTax,annualDeferredIncomeTax,annualOtherNonCurrentLiabilities,quarterlyChangeInWorkingCapital,trailingChangeInAccountPayable,quarterlyOtherNonCurrentAssets,annualInventory,annualTotalNonCurrentAssets,annualStockBasedCompensation,annualCurrentLiabilities,annualOtherNonCurrentAssets,quarterlyCurrentAssets,quarterlyOtherIncomeExpense,trailingOtherNonCashItems,annualCurrentDebt,quarterlyOtherNonCashItems,annualChangeInInventory,trailingGrossProfit,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyRepurchaseOfCapitalStock,annualChangesInAccountReceivables,quarterlyCurrentLiabilities,quarterlyCurrentDebt,quarterlyOtherCurrentAssets,annualGrossProfit,quarterlyChangesInAccountReceivables,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyInventory,trailingBasicEPS,quarterlyTotalNonCurrentAssets,trailingBasicAverageShares,annualNonCurrentDeferredRevenue,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCashCashEquivalentsAndMarketableSecurities,annualCurrentDeferredRevenue,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,annualRepurchaseOfCapitalStock,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,annualEbitda,annualAccountsReceivable,quarterlyCostOfRevenue,quarterlyLongTermDebt,annualGainsLossesNotAffectingRetainedEarnings,annualCostOfRevenue,trailingCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,annualOtherCurrentLiabilities,trailingChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,annualOtherShortTermInvestments,quarterlyCurrentDeferredRevenue,annualCurrentAssets,annualOtherIncomeExpense,annualChangeInAccountPayable,quarterlyOtherShortTermInvestments,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,annualOtherCurrentAssets,quarterlyCurrentAccruedExpenses,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyResearchAndDevelopment,trailingResearchAndDevelopment,quarterlyAccountsReceivable,annualIncomeTaxPayable,trailingDepreciationAndAmortization,quarterlyGrossProfit,trailingOtherIncomeExpense,quarterlyEbitda,annualResearchAndDevelopment,quarterlyChangeInInventory,trailingDilutedAverageShares,quarterlyAccumulatedDepreciation
,,324794000000.0,605075000000.0,26294000000.0,,31539000000.0,94873000000.0,121391000000.0,,26294000000.0,2255600000000.0,-89878000000.0,121391000000.0,,,,,324794000000.0,0.33,115508000000.0,38946000000.0,362000000.0,10850000000.0,542071000000.0,,,86317000000.0,-18734000000.0,31118000000.0,287493939394.0,,,,542071000000.0,163592000000.0,,-42966000000.0,112071000000.0,-189458000000.0,-1810000000.0,,,94873000000.0,329300000000.0,,6817000000.0,121391000000.0,-53885000000.0,,-294081000000.0,,121391000000.0,,80929000000.0,94907000000.0,127576000000.0,-12056000000.0,9795170000000.0,163772000000.0,-108612000000.0,45484000000.0,119430000000.0,-32082000000.0,,-166846000000.0,73771000000.0,415617000000.0,25827000000.0,,138375000000.0,415617000000.0,,10337406000000.0,,,69256000000.0,24722000000.0,24727000000.0,,290418000000.0,,34752000000.0,-1326763000000.0,45484000000.0,9795170000000.0,-723000000.0,73771000000.0,1764732000000.0,0.33,1413380000000.0,1764732000000.0,266869000000.0,-116800000000.0,,29275000000.0,,120734000000.0,,,,24727000000.0,10337406000000.0,1373000000.0,,-306137000000.0,,2255600000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,324794000000.0,415617000000.0,26070000000.0,,44471000000.0,,,,,178894000000.0,,,,,,,,,,33130000000.0,543000000.0,,576400000000.0,,,,,44278000000.0,,,,,,,,,,336995000000.0,,,,,,,10398000000.0,121096000000.0,,,280537000000.0,,121096000000.0,,89556000000.0,,,-8402000000.0,,,,79533000000.0,,,0.1,,,,,,56993000000.0,752612000000.0,,,,,,34073000000.0,34067000000.0,,,,28261000000.0,,,10383358000000.0,,72275000000.0,1763452000000.0,,,,237590000000.0,-172738000000.0,,32651000000.0,,,,,0.1,34067000000.0,10959928000000.0,,340670000000.0,272135000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,324794000000.0,752612000000.0,25990000000.0,,41192000000.0,,,,,2811575000000.0,,,,,,,,,,38289000000.0,-213000000.0,,589332000000.0,,,,,40764000000.0,,,,,,,,,,110706000000.0,,,,,,,8586000000.0,117787000000.0,,,100957000000.0,,117787000000.0,,94532000000.0,,,779000000.0,,,,88211000000.0,,,,,,,,,-37391000000.0,863318000000.0,,,,,,32606000000.0,32600000000.0,,,,32968000000.0,,,10872275000000.0,,78767000000.0,1849173000000.0,,,,258324000000.0,-296281000000.0,,39571000000.0,,,,,,32600000000.0,11461784000000.0,,,101736000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,324794000000.0,863318000000.0,25745000000.0,,45007000000.0,,,,,302971000000.0,,,0.0,,,,,,,36421000000.0,30000000.0,,620351000000.0,,,,,44855000000.0,,,,,,,,,,167524000000.0,,,,,,,10910000000.0,117712000000.0,,,150560000000.0,,117712000000.0,,94986000000.0,,,-3077000000.0,,,,122291000000.0,,,0.1,,,,,,35870000000.0,1030842000000.0,,,,,,34097000000.0,34090000000.0,,,,30946000000.0,,,10968538000000.0,0.0,87080000000.0,1902550000000.0,,,,295523000000.0,-256606000000.0,,44482000000.0,,,,,0.1,34090000000.0,11589073000000.0,,340900000000.0,147483000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,324794000000.0,1030842000000.0,25730000000.0,,27531000000.0,121927000000.0,131815000000.0,,25730000000.0,2831639000000.0,223004000000.0,131815000000.0,192000000.0,,,,324794000000.0,0.38,165722000000.0,48928000000.0,996000000.0,12497000000.0,649601000000.0,,-1813000000.0,226490000000.0,-23059000000.0,26841000000.0,320860526316.0,,,,649601000000.0,-50000000.0,,-63592000000.0,135561000000.0,-388735000000.0,,,,121927000000.0,415617000000.0,,6351000000.0,131815000000.0,-17336000000.0,,-309050000000.0,,131815000000.0,,98561000000.0,121956000000.0,156768000000.0,-12359000000.0,11027789000000.0,,199945000000.0,131086000000.0,156738000000.0,0.0,,99230000000.0,91143000000.0,642107000000.0,36245000000.0,,-79721000000.0,642107000000.0,,11677577000000.0,,,-24249000000.0,21180000000.0,21170000000.0,,377635000000.0,,43386000000.0,-1051872000000.0,131086000000.0,11027789000000.0,-50000000.0,91143000000.0,1906796000000.0,0.38,1049326000000.0,1906796000000.0,257889000000.0,-326247000000.0,,49018000000.0,,158201000000.0,,,,21170000000.0,11677577000000.0,1356000000.0,,-321409000000.0,,2831639000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,324794000000.0,642107000000.0,25638000000.0,,56135000000.0,,,,,393283000000.0,,,,,,,,,,40537000000.0,726000000.0,,693791000000.0,,,,,55697000000.0,,,,,,,,,,357712000000.0,,,,,,,12675000000.0,130383000000.0,,,443574000000.0,,130383000000.0,,106967000000.0,,,-6343000000.0,,,,174489000000.0,,,0.13,,,,,,-86068000000.0,999819000000.0,,,,,,43460000000.0,43454000000.0,,,,34235000000.0,,,11865348000000.0,,96577000000.0,2067884000000.0,,,,161811000000.0,-242262000000.0,,51348000000.0,,,,,0.13,43454000000.0,12559332000000.0,,334261538462.0,437231000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,324794000000.0,999819000000.0,25454000000.0,,47867000000.0,,,,,3032412000000.0,,,,,,,,,,42775000000.0,-168000000.0,,691464000000.0,,,,,47952000000.0,,,,,,,,,,129061000000.0,,,,,,,10805000000.0,128797000000.0,,,65562000000.0,,128797000000.0,,102766000000.0,,,-3686000000.0,,,,158398000000.0,,,,,,,,,68153000000.0,1128880000000.0,,,,,,37062000000.0,37045000000.0,,,,36538000000.0,,,12209586000000.0,,108436000000.0,1992405000000.0,,,,268949000000.0,-196942000000.0,,59224000000.0,,,,,,37045000000.0,12901412000000.0,,,61876000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,324794000000.0,1128880000000.0,26289000000.0,,50972000000.0,,,,,526771000000.0,,,,,,,,,,45720000000.0,-271000000.0,,726674000000.0,,,,,49922000000.0,,,,,,,,,,-20143000000.0,0.0,,,,,,11379000000.0,128557000000.0,,,23570000000.0,,128557000000.0,,106479000000.0,,,-6342000000.0,,,,197978000000.0,,,0.12,,,,,,-42939000000.0,1108737000000.0,,,,,,39593000000.0,39584000000.0,,,,39226000000.0,,,12334828000000.0,4502000000.0,121942000000.0,2125524000000.0,,,,203951000000.0,-240277000000.0,,56683000000.0,,,,,0.12,39584000000.0,13061873000000.0,,329866666667.0,17228000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,324794000000.0,1108737000000.0,26598000000.0,,32953000000.0,145094000000.0,141490000000.0,,26598000000.0,3098724000000.0,340779000000.0,141490000000.0,,,,,324794000000.0,0.45,224184000000.0,51726000000.0,1408000000.0,14639000000.0,749815000000.0,,-50000000.0,310829000000.0,-27870000000.0,33400000000.0,322431111111.0,,,,749815000000.0,152000000.0,,-53378000000.0,155130000000.0,-155801000000.0,0.0,,,145094000000.0,642107000000.0,,7937000000.0,141490000000.0,-47065000000.0,,-191927000000.0,,141490000000.0,,105735000000.0,145131000000.0,180758000000.0,-11499000000.0,12492988000000.0,152000000.0,312909000000.0,208488000000.0,186971000000.0,-246000000.0,,221895000000.0,133744000000.0,952936000000.0,42796000000.0,,26928000000.0,952936000000.0,1381000000.0,13244342000000.0,,,-33926000000.0,25016000000.0,25011000000.0,1381000000.0,421947000000.0,,45131000000.0,-922765000000.0,208488000000.0,12492988000000.0,0.0,133744000000.0,2247787000000.0,0.45,914866000000.0,2247787000000.0,280155000000.0,-243284000000.0,,56929000000.0,,187927000000.0,,,,25011000000.0,13244342000000.0,1695000000.0,,-203426000000.0,,3098724000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,324794000000.0,952935000000.0,26714000000.0,,60724000000.0,,,,,686086000000.0,,,,,,,,,,45999000000.0,360000000.0,,798740000000.0,,,,,60890000000.0,,,,,,,,,,86802000000.0,,,,,,,13673000000.0,139965000000.0,,,208204000000.0,,139965000000.0,,119026000000.0,,,-8500000000.0,,,,255152000000.0,,,0.14,,,,,,-120377000000.0,1039737000000.0,,,,,,47051000000.0,47011000000.0,1381000000.0,,,36484000000.0,,,13467419000000.0,,133197000000.0,2417976000000.0,,,,100010000000.0,-212247000000.0,,56626000000.0,,,,,0.14,47011000000.0,14267738000000.0,,335792857143.0,199704000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,324794000000.0,1039737000000.0,26596000000.0,,58778000000.0,,,,,3305206000000.0,,,,,,,,,,47148000000.0,-154000000.0,,789668000000.0,,,,,58450000000.0,,,,,,,,,,-369683000000.0,,,,,,,13445000000.0,138582000000.0,,,-337057000000.0,,138582000000.0,,115932000000.0,,,-602000000.0,,,,186144000000.0,,,,,,,,,-26924000000.0,670055000000.0,,,,,,45333000000.0,45341000000.0,1381000000.0,,,38674000000.0,,,13431370000000.0,,141468000000.0,2491886000000.0,,,,211899000000.0,-238478000000.0,,59835000000.0,,,,,,45341000000.0,14222601000000.0,,,-337659000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,324794000000.0,670055000000.0,26340000000.0,,58991000000.0,,,,,637164000000.0,,,-4000000.0,,325971428571.0,,,,,48556000000.0,512000000.0,,827175000000.0,,,,,58815000000.0,,,,,,,,,,152802000000.0,,,,,,,13338000000.0,139938000000.0,,,275282000000.0,,139938000000.0,,116383000000.0,,,-6187000000.0,,,,231742000000.0,,,0.14,,,,,,-71677000000.0,822857000000.0,,,,,,45653000000.0,45636000000.0,1381000000.0,,,40004000000.0,,,13770647000000.0,-50830000000.0,153911000000.0,2653327000000.0,,,,235695000000.0,-301703000000.0,,60060000000.0,,,,,0.14,45636000000.0,14599419000000.0,,325971428571.0,269095000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,324794000000.0,822857000000.0,26484000000.0,,35681000000.0,166315000000.0,150859000000.0,,26484000000.0,3329320000000.0,32879000000.0,150859000000.0,,,,,324794000000.0,0.51,237182000000.0,54920000000.0,47000000.0,16353000000.0,843108000000.0,,,-139137000000.0,-28170000000.0,34857000000.0,326107843137.0,,,,843108000000.0,-15000000.0,,-51882000000.0,167940000000.0,-9058000000.0,,,,166315000000.0,952936000000.0,,7507000000.0,150859000000.0,-103692000000.0,,-113550000000.0,,150859000000.0,,110975000000.0,166211000000.0,196623000000.0,-12881000000.0,13717565000000.0,,4709000000.0,243482000000.0,213012000000.0,-52862000000.0,,-111253000000.0,163328000000.0,813799000000.0,47963000000.0,,34642000000.0,813799000000.0,1381000000.0,14562102000000.0,,,-184336000000.0,28174000000.0,28327000000.0,1381000000.0,462316000000.0,,52778000000.0,-891097000000.0,243482000000.0,13717565000000.0,-15000000.0,163328000000.0,2636195000000.0,0.51,733750000000.0,2636195000000.0,186146000000.0,-138669000000.0,,60661000000.0,,214174000000.0,,,,28327000000.0,14562102000000.0,765000000.0,,-126431000000.0,326107843137.0,3329320000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,324794000000.0,813799000000.0,26466000000.0,,70311000000.0,,,,,824584000000.0,,,-18000000.0,,333937500000.0,,,,,50290000000.0,167000000.0,,903632000000.0,,,,,72470000000.0,,,,,,,,,,116646000000.0,,,,,,,16789000000.0,149395000000.0,,,172274000000.0,,149395000000.0,,136100000000.0,,,-5027000000.0,,,,296703000000.0,,-593000000.0,0.16,,,,,,-56967000000.0,930445000000.0,,,,,,53522000000.0,53430000000.0,1381000000.0,,,39283000000.0,,,14416967000000.0,-37600000000.0,159213000000.0,2706063000000.0,,,,122221000000.0,-174328000000.0,,62214000000.0,,,,,0.16,53430000000.0,15322116000000.0,,333937500000.0,167247000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,324794000000.0,930445000000.0,26139000000.0,,65273000000.0,,,,,3943518000000.0,,,-97108000000.0,,,,,,,52813000000.0,484000000.0,,906216000000.0,,,,,62123000000.0,,,,,,,,,,263089000000.0,,,,,,,14728000000.0,148126000000.0,,,307324000000.0,,148126000000.0,,130535000000.0,,,-3992000000.0,,,,272499000000.0,,-5292000000.0,,,,,,,-46745000000.0,1193534000000.0,,,,,,50545000000.0,50602000000.0,1381000000.0,,,39946000000.0,,,15098875000000.0,37600000000.0,171223000000.0,2821339000000.0,,,,203818000000.0,-247056000000.0,,66180000000.0,,,,,,50602000000.0,16006612000000.0,,,303332000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,324794000000.0,1193534000000.0,25853000000.0,,61687000000.0,,,,,970598000000.0,,,,,322713333333.0,,,,,49604000000.0,-43000000.0,,957124000000.0,,,,,61645000000.0,,,,,,,,,,-485649000000.0,,,,,,,13249000000.0,148410000000.0,,,-414000000000.0,,148410000000.0,,127331000000.0,,,-4832000000.0,,,,320913000000.0,,-200192000000.0,0.15,,,,,,-68568000000.0,707885000000.0,,,,,,48438000000.0,48407000000.0,1381000000.0,,,42103000000.0,,,15000556000000.0,-42000000.0,185783000000.0,2961050000000.0,,,,106642000000.0,-170335000000.0,,71182000000.0,,,,,0.15,48407000000.0,15959249000000.0,,322713333333.0,-418832000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,324794000000.0,707885000000.0,26117000000.0,,34986000000.0,179461000000.0,154950000000.0,,26117000000.0,3743120000000.0,34615000000.0,154950000000.0,,,,,324794000000.0,0.55,269398000000.0,69236000000.0,33258000000.0,18085000000.0,1031066000000.0,,-213417000000.0,-75558000000.0,-25997000000.0,34706000000.0,326292727273.0,,,,1031066000000.0,39962000000.0,,-66728000000.0,179992000000.0,30356000000.0,,,,179461000000.0,813799000000.0,,7981000000.0,154950000000.0,-67596000000.0,,-30983000000.0,,154950000000.0,,126892000000.0,179510000000.0,221943000000.0,-12146000000.0,14941533000000.0,,8618000000.0,329989000000.0,230944000000.0,138481000000.0,,-103684000000.0,192876000000.0,738241000000.0,52747000000.0,,31855000000.0,738241000000.0,1381000000.0,15974152000000.0,,,-140425000000.0,27005000000.0,27022000000.0,1381000000.0,520858000000.0,,58660000000.0,-859158000000.0,329989000000.0,14941533000000.0,40004000000.0,192876000000.0,3060708000000.0,0.55,741910000000.0,3060708000000.0,309229000000.0,-267439000000.0,,69822000000.0,,232257000000.0,,,,27022000000.0,15974152000000.0,112781000000.0,,-43129000000.0,326292727273.0,3743120000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,324794000000.0,738241000000.0,25775000000.0,,70200000000.0,,,,,929748000000.0,,,-74229000000.0,,318329411765.0,,,,,50320000000.0,28229000000.0,,1123672000000.0,,,,,69035000000.0,,,,,,,,,,292172000000.0,,,,,,,15881000000.0,152378000000.0,,,385266000000.0,,152378000000.0,,139443000000.0,,,-3228000000.0,,,,384009000000.0,,-791000000.0,0.17,,,,,,-137730000000.0,1030413000000.0,,,,,,54319000000.0,54116000000.0,1381000000.0,,,40227000000.0,,,15711010000000.0,39947000000.0,184772000000.0,3191606000000.0,,,,185840000000.0,-320448000000.0,,70698000000.0,,,,,0.17,54116000000.0,16836530000000.0,,318329411765.0,382038000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,324794000000.0,1030413000000.0,25963000000.0,,64479000000.0,,,,,3995163000000.0,,,-102025000000.0,,,,,,,51702000000.0,31527000000.0,,1120329000000.0,,,,,63769000000.0,,,,,,,,,,-137730000000.0,,,,,,,14234000000.0,150244000000.0,,,135082000000.0,,150244000000.0,,134704000000.0,,,-4157000000.0,,,,356323000000.0,,-4599000000.0,,,,,,,-262291000000.0,892683000000.0,,,,,,50245000000.0,50199000000.0,1381000000.0,,,40836000000.0,,,16337512000000.0,-14000000.0,193887000000.0,3475095000000.0,,,,268245000000.0,-526991000000.0,,73639000000.0,,,,,,50199000000.0,17459554000000.0,,,130925000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,324794000000.0,892683000000.0,25749000000.0,,62337000000.0,,,,,1162177000000.0,,,-115426000000.0,,325966666667.0,,,,,52074000000.0,42591000000.0,,1173505000000.0,,,,,63011000000.0,,,,,,,,,,-260771000000.0,,,,,,,13531000000.0,149230000000.0,,,-9171000000.0,,149230000000.0,,133134000000.0,,,-3434000000.0,,,,405224000000.0,,-61577000000.0,0.15,,,,,,-182896000000.0,631912000000.0,,,,,,48806000000.0,48895000000.0,1381000000.0,,,42731000000.0,,,16534383000000.0,-12000000.0,211893000000.0,3708876000000.0,,,,247489000000.0,-426705000000.0,,75113000000.0,,,,,0.15,48895000000.0,17709510000000.0,,325966666667.0,-12605000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,324794000000.0,631912000000.0,25776000000.0,,33841000000.0,180582000000.0,156178000000.0,,25776000000.0,3830141000000.0,820348000000.0,156178000000.0,-216327000000.0,,,,324794000000.0,0.55,289653000000.0,65029000000.0,32690000000.0,18162000000.0,1210091000000.0,,-508007000000.0,83728000000.0,-21687000000.0,37056000000.0,328330909091.0,,-288000000.0,,1210091000000.0,39937000000.0,,-82701000000.0,178443000000.0,190057000000.0,,,,180582000000.0,738241000000.0,,6437000000.0,156178000000.0,-61535000000.0,,309171000000.0,,156178000000.0,,128902000000.0,180774000000.0,219125000000.0,-10868000000.0,16579508000000.0,,798661000000.0,412005000000.0,232871000000.0,5432000000.0,,699552000000.0,225383000000.0,821969000000.0,50083000000.0,,-184777000000.0,821969000000.0,1381000000.0,17791393000000.0,,,-767694000000.0,27404000000.0,27372000000.0,1381000000.0,536183000000.0,,54649000000.0,-1752782000000.0,412005000000.0,16579508000000.0,16000000.0,225383000000.0,3970938000000.0,0.55,1006031000000.0,3970938000000.0,304457000000.0,-478638000000.0,,70203000000.0,,230857000000.0,,,,27372000000.0,17791393000000.0,135037000000.0,,298303000000.0,328330909091.0,3830141000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,324794000000.0,821969000000.0,25419000000.0,,69076000000.0,,,,,1051612000000.0,,,-243175000000.0,,341800000000.0,,,,,50994000000.0,33199000000.0,,1261601000000.0,,,,,68884000000.0,,,,,,,,,,-79949000000.0,,,,,,,14508000000.0,153031000000.0,,,191116000000.0,,153031000000.0,,138048000000.0,,,-2367000000.0,,,,464449000000.0,,-3390000000.0,0.16,,,,,,-221031000000.0,742020000000.0,,,,,,54568000000.0,54688000000.0,1381000000.0,,,38573000000.0,,,17150375000000.0,0.0,215852000000.0,4257993000000.0,,,,282862000000.0,-501730000000.0,,66943000000.0,,,,,0.16,54688000000.0,18413470000000.0,,341800000000.0,188749000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,324794000000.0,742020000000.0,25323000000.0,,62381000000.0,,,,,3611058000000.0,,,-198909000000.0,,,,,,,42417000000.0,38912000000.0,,1256333000000.0,,,,,61355000000.0,,,,,,,,,,114773000000.0,,,,,,,11898000000.0,150651000000.0,,,343653000000.0,,150651000000.0,,122340000000.0,,,-2831000000.0,,,,438172000000.0,,-4869000000.0,,,,,,,-236756000000.0,856793000000.0,,,,,,50483000000.0,50460000000.0,1381000000.0,,,39621000000.0,,,17421419000000.0,955000000.0,217250000000.0,4472197000000.0,,,,413944000000.0,-647941000000.0,,63860000000.0,,,,,,50460000000.0,18680221000000.0,,,340822000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
