date,quarterlyOtherIncomeExpense,trailingStockBasedCompensation,annualDilutedEPS,annualDepreciationAndAmortization,trailingCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyInterestExpense,trailingDepreciationAndAmortization,quarterlyAccumulatedDepreciation,quarterlyCurrentDebt,annualCurrentLiabilities,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,trailingOtherNonCashItems,quarterlyNetOtherFinancingCharges,quarterlyNonCurrentDeferredTaxesLiabilities,trailingOperatingCashFlow,annualPurchaseOfBusiness,quarterlyInvestmentsAndAdvances,annualIncomeTaxPayable,annualCapitalStock,annualSaleOfInvestment,annualStockBasedCompensation,annualNetPPE,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualOperatingCashFlow,quarterlyOperatingCashFlow,annualBasicAverageShares,quarterlyDilutedAverageShares,quarterlyChangeInCashSupplementalAsReported,annualGrossProfit,quarterlyOtherNonCurrentAssets,annualEbitda,trailingCashDividendsPaid,quarterlyOtherCurrentLiabilities,trailingPretaxIncome,quarterlyTaxProvision,annualNonCurrentDeferredTaxesLiabilities,quarterlyNetPPE,quarterlyPretaxIncome,trailingNetIncome,quarterlyPurchaseOfBusiness,trailingPurchaseOfBusiness,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,annualGrossPPE,annualNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,annualInterestExpense,annualRepaymentOfDebt,annualPretaxIncome,trailingChangeInWorkingCapital,quarterlyFreeCashFlow,annualGoodwill,trailingChangesInAccountReceivables,annualOtherNonCurrentLiabilities,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,annualInvestingCashFlow,annualOperatingIncome,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingGrossProfit,annualDilutedAverageShares,quarterlySaleOfInvestment,annualOtherIncomeExpense,quarterlyDepreciationAndAmortization,annualTotalRevenue,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,annualPurchaseOfInvestment,quarterlyCashCashEquivalentsAndMarketableSecurities,annualAccountsPayable,trailingInvestingCashFlow,trailingDeferredIncomeTax,annualCapitalExpenditure,trailingPurchaseOfInvestment,quarterlyCapitalStock,trailingInterestExpense,annualCashFlowFromContinuingFinancingActivities,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,quarterlyAccountsPayable,quarterlyBasicEPS,trailingTotalRevenue,annualEndCashPosition,annualCurrentAccruedExpenses,quarterlyBasicAverageShares,annualNetOtherFinancingCharges,quarterlyPurchaseOfInvestment,trailingNetOtherFinancingCharges,quarterlyEbitda,trailingEndCashPosition,quarterlyTotalRevenue,annualNetIncomeContinuousOperations,trailingTaxProvision,quarterlyStockBasedCompensation,annualCashAndCashEquivalents,annualCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,trailingOperatingIncome,annualCostOfRevenue,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,annualInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyEndCashPosition,trailingRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,annualCurrentDebt,quarterlyCurrentLiabilities,trailingSellingGeneralAndAdministration,annualGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,trailingOperatingExpense,annualOtherNonCurrentAssets,quarterlyCurrentAssets,quarterlyCashDividendsPaid,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,annualOperatingExpense,annualOtherShortTermInvestments,quarterlyIncomeTaxPayable,trailingFreeCashFlow,quarterlyOtherNonCashItems,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,annualChangeInAccountPayable,annualChangesInAccountReceivables,annualChangeInWorkingCapital,quarterlyOperatingIncome,annualRepurchaseOfCapitalStock,trailingNetIncomeContinuousOperations,annualCurrentAssets,annualTotalLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyChangeInWorkingCapital,trailingCostOfRevenue,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,quarterlyCurrentAccruedExpenses,quarterlyDilutedEPS,quarterlyNetOtherInvestingChanges,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,annualRetainedEarnings,quarterlyLongTermDebt,annualCashDividendsPaid,annualBeginningCashPosition,annualAccountsReceivable,annualNetIncome,annualCommonStockIssuance,annualBasicEPS,annualFreeCashFlow,quarterlyNetIncome,annualTotalNonCurrentAssets,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,trailingSaleOfInvestment,quarterlyCurrentDeferredRevenue,trailingChangeInAccountPayable,annualSellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,annualLongTermDebt,annualOtherNonCashItems,annualOtherCurrentAssets,annualTaxProvision,quarterlyOtherCurrentAssets,annualTotalAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,annualStockholdersEquity,annualInventory,trailingBasicAverageShares,trailingOtherIncomeExpense,trailingCommonStockIssuance,annualResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue,annualNonCurrentDeferredRevenue,trailingBasicEPS,trailingDilutedEPS,quarterlyResearchAndDevelopment,quarterlyChangeInInventory,trailingNetOtherInvestingChanges,annualChangeInInventory,trailingChangeInInventory,trailingResearchAndDevelopment,quarterlyInventory,trailingDilutedAverageShares
1970-01-01 00:00:00.978220800,,137000000.0,,,-1695000000.0,,,630000000.0,,,5183000.0,,,-47000000.0,,,2680000000.0,,,,,,,9104000.0,9485000.0,,,,,,,,,-5213000.0,-605000000.0,,2632000000.0,,,,,2096000000.0,,-447000000.0,,327000000.0,,,9104000.0,,,,,,-33000000.0,,,-22000000.0,,,,,,-6433000.0,,5212000000.0,,,,,2711000.0,,-322000000.0,,,,-650000000.0,-23000000.0,,-1000000.0,,285000000.0,,,-283000000.0,,,6557000000.0,,,,,,105000000.0,,1997000000.0,,,506000000.0,,9485000.0,,,2729000000.0,,,,,,,-1325000000.0,,,,1853000000.0,,,2483000000.0,19000.0,,,,,9144000.0,,,2358000000.0,,24626000.0,,,,,,,2126000000.0,13234000.0,29809000.0,,,1345000000.0,,1662000000.0,,,,,,,,2096000000.0,,,,,,,,,,,,9123000.0,,,121000000.0,,14000000.0,1493000.0,,,,,3749000.0,,,22357000.0,,,-7452000.0,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.009756800,,,0.052,,,,,,,,30023000.0,,,,,,,,,,,,,18567000.0,25610000.0,,,,148893360.0,,,,,33982000.0,,,,,,,,,,,,,,,18567000.0,,,,,26545000.0,,,,,,,,,,26930000.0,,,149368945.0,,-385000.0,,66863000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,15797000.0,,,25610000.0,,,,,,,0.0,,,,,,,,,,,69576000.0,,,,,39933000.0,,,,,85394000.0,,,,,,,,46814000.0,115417000.0,,,,,,,,,7777000.0,,,,,,,,,,,15797000.0,,0.052,,,88143000.0,,,,,,9571000.0,,,,,21204000.0,10748000.0,,134957000.0,,,19540000.0,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.041292800,,,0.074,,,,,,,,17603000.0,,,,,,,,,,,,,32843000.0,33627000.0,,,,271963010.0,,,,,65321000.0,,,,,,,,,,,,,,,32843000.0,,,,,52445000.0,,,,,,,,,,50953000.0,,,274250475.0,,1492000.0,,125490000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,34706000.0,,,33627000.0,,,,,,,0.0,,,,,,,,,,,76369000.0,,,,,74537000.0,,,,,102429000.0,,,,,,,,60841000.0,120032000.0,,,,,,,,,20320000.0,,,,,,,,,,,34706000.0,,0.074,,,109212000.0,,,,,,17919000.0,,,,,27214000.0,17739000.0,,170053000.0,,,50021000.0,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.072828800,,,0.072,19346000.0,,,,,,,17917000.0,,,,,,,,,5709000.0,2176000.0,11096000.0,,25625000.0,44913000.0,4649000.0,27093000.0,,271645000.0,,,,,38264000.0,,,,,9191000.0,,,,,,,,1310000.0,,25625000.0,-3445000.0,11286000.0,80000.0,-1870000.0,19866000.0,,,76799000.0,,86095000.0,,,,-18131000.0,18918000.0,,,273198750.0,,948000.0,,93746000.0,,,-19000000.0,,551000.0,,,-6782000.0,,,,-1324000.0,,,,,,44913000.0,8699000.0,,-1870000.0,,,,,,13377000.0,,,44913000.0,,,,,,,,,,,,0.0,,,25909000.0,,,1913000.0,,,-462000.0,,74828000.0,,,,,95768000.0,,,,-5490000.0,,0.0,,105893000.0,113685000.0,,,,,,,,,19987000.0,,,,,,46871000.0,,,33627000.0,7940000.0,13377000.0,546000.0,0.072,20311000.0,,108986000.0,,,,,,12398000.0,,,0.0,322000.0,48797000.0,6489000.0,,214879000.0,,,101194000.0,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.104451200,,,0.328,17406000.0,,,,,,,34440000.0,,,,,,,,,,2176000.0,30463000.0,,19364000.0,66899000.0,86075000.0,40161000.0,,264325000.0,,,107135000.0,,49800000.0,,,,,9093000.0,,,,,,,,6000000.0,,68127000.0,-9537000.0,16286000.0,137000.0,,33722000.0,,,,,18836000.0,,,,-4777000.0,32394000.0,,,265310000.0,,-1420000.0,,108414000.0,,,-24000000.0,,829000.0,,,-1703000.0,,,,-20324000.0,,,,,,61199000.0,13576000.0,,0.0,,,,,,21949000.0,,,61199000.0,1553000.0,,,1279000.0,,,,,,,,12482000.0,,,28440000.0,,,2037000.0,,,-579000.0,,74741000.0,5700000.0,,,,40929000.0,-48763000.0,,,1550000.0,,-43500000.0,,100042000.0,75369000.0,,,,,,,,,21949000.0,,,,,,68820000.0,,,44913000.0,9608000.0,21949000.0,14000.0,0.336,38458000.0,,107476000.0,,,,,,57717000.0,,,13000000.0,,0.0,11773000.0,,207518000.0,,,132149000.0,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.128038400,-6180000.0,,,,,,162000.0,,-48763000.0,,,,,,,6349000.0,,,,,,,,,,,,,,271000000.0,,,28767000.0,,,8688000.0,,4209000.0,,18518000.0,12725000.0,,,,,,,11998000.0,,,,,,,,,,,,78602000.0,125887000.0,212092000.0,,,17023000.0,,,,,,,34234000.0,,,46232000.0,,,,,,2180000.0,,,,,1774000.0,0.01,,,,264575000.0,,,,15575000.0,,38201000.0,,,,,,85699000.0,,,8517000.0,,,37871000.0,,,,,26661000.0,,,67281000.0,,,86205000.0,,,,,,,,,,,,,,11766000.0,,,,,73711000.0,,,,,16554000.0,,330000.0,,14327000.0,0.01,,,126393000.0,,13000000.0,,,,,,,,8517000.0,,26105000.0,8517000.0,,1374000.0,,,39689000.0,15692000.0,,,,,0.0,,59038000.0,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.135987200,39000.0,,-0.078,16846000.0,,55395000.0,126000.0,,-56223000.0,,26394000.0,45445000.0,-3842000.0,,3050000.0,5450000.0,,,,,571000.0,58755000.0,,20348000.0,131183000.0,76054000.0,49812000.0,20322000.0,266090000.0,,-14232000.0,155865000.0,5353000.0,73051000.0,,8512000.0,,6959000.0,5450000.0,20348000.0,21819000.0,,,,,,8512000.0,111181000.0,76571000.0,-690000.0,-41197000.0,613000.0,,59995000.0,,16480000.0,,,1303000.0,76054000.0,101755000.0,265770000.0,-117120000.0,56205000.0,12080000.0,,266090000.0,43530000.0,-18501000.0,4116000.0,155865000.0,20002000.0,,-166575000.0,131183000.0,1697000.0,,,-8610000.0,,571000.0,,30329000.0,34234000.0,,1697000.0,,,20002000.0,14312000.0,,-194000.0,-116758000.0,,25024000.0,,41262000.0,40410000.0,,,20002000.0,1197000.0,33147000.0,,,14860000.0,-79049000.0,,42251000.0,20002000.0,,,,26394000.0,,12080000.0,76571000.0,,5353000.0,164015000.0,,-2356000.0,,99660000.0,111181000.0,,,,6753000.0,-56223000.0,,,-5221000.0,20908000.0,,,164015000.0,33147000.0,47911000.0,2378000.0,,-671000.0,,14773000.0,,,40410000.0,14312000.0,,-1979000.0,,232623000.0,47911000.0,,,61199000.0,14773000.0,40410000.0,56005000.0,-0.078,41202000.0,14860000.0,101755000.0,21343000.0,14860000.0,,1197000.0,,64763000.0,1303000.0,17688000.0,,,0.0,19585000.0,0.0,265770000.0,6753000.0,,232623000.0,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.143763200,-7000.0,,,,,951000.0,63000.0,,-56223000.0,,,2461000.0,-3318000.0,,1529000.0,5468000.0,,,,,,,,,,,,17076000.0,,294860000.0,-11804000.0,,11551000.0,,,13437000.0,,9097000.0,,21556000.0,28761000.0,,,,,,,133893000.0,,,,,,,,13758000.0,,,,1804000.0,109761000.0,291696000.0,,,20203000.0,,,26630000.0,,3226000.0,,8198000.0,,,142091000.0,,,,,,572000.0,,,20002000.0,,2719000.0,0.07,,,,277665000.0,,-54371000.0,,30879000.0,,50282000.0,,,,,,35035000.0,,,19664000.0,-31275000.0,,50282000.0,8198000.0,,,,28249000.0,,,77779000.0,,,181935000.0,,,-19000.0,,,,,,,,,,,27653000.0,,,,,67575000.0,-5107000.0,,-36000.0,,20757000.0,74850000.0,,,10025000.0,0.066,-216000.0,,256661000.0,,,,,,,,,,19664000.0,,22629000.0,19664000.0,,1430000.0,,,1318000.0,19441000.0,,,,,0.0,,6786000.0,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.151625600,-340000.0,,,,,6704000.0,57000.0,,-56223000.0,,,17906000.0,-4258000.0,,11183000.0,6484000.0,,,,,,,,,,,,21608000.0,,296045000.0,45896000.0,,2708000.0,,,4997000.0,,17302000.0,,23887000.0,48269000.0,,,,,,,134461000.0,,,,,,,,17350000.0,,,,1618000.0,107787000.0,350220000.0,,,28068000.0,,,81279000.0,,3345000.0,,54094000.0,,,188555000.0,,,,,,579000.0,,,8198000.0,,1204000.0,0.11,,,,279355000.0,,-71088000.0,,50761000.0,,73591000.0,,,,,,33577000.0,,,30967000.0,5521000.0,,58424000.0,54094000.0,,,,25692000.0,,,80110000.0,,,242433000.0,,,,,,,,,,,,,,47416000.0,,,,,98542000.0,-3783000.0,,1238000.0,,29604000.0,79574000.0,15167000.0,,16573000.0,0.104,-412000.0,,316643000.0,,,,,,,,,,30967000.0,,11008000.0,30967000.0,,1961000.0,,,1401000.0,7699000.0,,,,,0.0,,7885000.0,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.159574400,-169000.0,,,,,7067000.0,56000.0,,-56223000.0,,,19512000.0,-5514000.0,,12445000.0,4331000.0,,,,,,,,,,,,45430000.0,,298060000.0,16088000.0,,5905000.0,,,7137000.0,,24467000.0,,22395000.0,68113000.0,,,,,,,178028000.0,,,,,,,,39916000.0,,,,1585000.0,109459000.0,420850000.0,,,27266000.0,,,31376000.0,,3351000.0,,70182000.0,,,248210000.0,,,,,,588000.0,,,54094000.0,,799000.0,0.154,,,,283960000.0,,-74324000.0,,68733000.0,,94662000.0,,,,,,41417000.0,,,43646000.0,-50920000.0,,75726000.0,70182000.0,,,,35316000.0,,,78618000.0,,,311391000.0,,,,,,,,-9915000.0,,,,,,65382000.0,,,,,142187000.0,12678000.0,,-2650000.0,,36699000.0,79574000.0,18936000.0,,24216000.0,0.146,-2458000.0,,379433000.0,,,,,,,,,,43646000.0,,10344000.0,43646000.0,,2817000.0,,,1770000.0,7017000.0,,,,,3698000.0,,6101000.0,,,,,,,,,,,,,,,,,,,
