date,quarterlyStockBasedCompensation,quarterlyPurchaseOfInvestment,trailingNetOtherFinancingCharges,quarterlyTotalRevenue,annualNetOtherFinancingCharges,annualBasicAverageShares,trailingEndCashPosition,trailingTaxProvision,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,annualCurrentAccruedExpenses,quarterlyTotalLiabilitiesNetMinorityInterest,annualCurrentDeferredRevenue,trailingRepurchaseOfCapitalStock,quarterlyNetIncomeCommonStockholders,annualInvestmentsAndAdvances,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,annualCurrentDebt,trailingFreeCashFlow,trailingSellingGeneralAndAdministration,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyRepurchaseOfCapitalStock,annualDeferredIncomeTax,annualOtherShortTermInvestments,quarterlyIncomeTaxPayable,quarterlyOtherNonCashItems,annualChangeInAccountPayable,quarterlyDilutedAverageShares,annualChangesInAccountReceivables,annualRepurchaseOfCapitalStock,annualChangeInWorkingCapital,trailingNetIncomeContinuousOperations,annualTotalLiabilitiesNetMinorityInterest,quarterlyOperatingIncome,annualBasicEPS,quarterlyRetainedEarnings,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,quarterlyNonCurrentDeferredRevenue,quarterlyGoodwill,annualNetIncomeCommonStockholders,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,trailingNetIncomeCommonStockholders,annualRetainedEarnings,quarterlyStockholdersEquity,annualDilutedAverageShares,quarterlyLongTermDebt,annualBeginningCashPosition,annualAccountsReceivable,annualFreeCashFlow,annualCommonStockIssuance,quarterlyBasicEPS,annualNetIncome,annualCashDividendsPaid,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,trailingSaleOfInvestment,quarterlyCurrentDeferredRevenue,trailingChangeInAccountPayable,quarterlySellingGeneralAndAdministration,annualSellingGeneralAndAdministration,quarterlyRepaymentOfDebt,annualLongTermDebt,annualOtherNonCashItems,annualTaxProvision,annualTotalAssets,annualDilutedEPS,annualStockholdersEquity,annualDepreciationAndAmortization,quarterlyOtherIncomeExpense,trailingStockBasedCompensation,quarterlyCurrentDebt,quarterlyCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyCapitalExpenditure,trailingDepreciationAndAmortization,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,trailingOtherNonCashItems,annualPurchaseOfBusiness,trailingOperatingCashFlow,annualIncomeTaxPayable,annualSaleOfInvestment,annualCapitalStock,quarterlyBasicAverageShares,annualStockBasedCompensation,annualNetPPE,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualOperatingCashFlow,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,trailingPurchaseOfBusiness,trailingCashDividendsPaid,trailingNetIncome,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,trailingPretaxIncome,quarterlyOtherShortTermInvestments,annualNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,annualPretaxIncome,annualInterestExpense,trailingChangeInWorkingCapital,annualRepaymentOfDebt,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,annualGoodwill,annualInvestingCashFlow,quarterlySaleOfInvestment,annualOperatingIncome,trailingCapitalExpenditure,annualTotalRevenue,annualOtherIncomeExpense,quarterlyDepreciationAndAmortization,quarterlyDilutedEPS,annualPurchaseOfInvestment,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,trailingInvestingCashFlow,annualAccountsPayable,trailingDeferredIncomeTax,annualCapitalExpenditure,quarterlyBeginningCashPosition,trailingPurchaseOfInvestment,trailingInterestExpense,trailingRepaymentOfDebt,quarterlyCapitalStock,annualCashFlowFromContinuingFinancingActivities,trailingTotalRevenue,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,annualEndCashPosition,quarterlyGrossPPE,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherNonCurrentAssets,quarterlyTotalNonCurrentAssets,annualOperatingExpense,quarterlyCurrentLiabilities,annualCostOfRevenue,quarterlyGrossProfit,trailingBasicAverageShares,annualEbitda,trailingOperatingIncome,quarterlyResearchAndDevelopment,annualChangeInInventory,annualNonCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyOtherNonCurrentLiabilities,annualInventory,annualTotalNonCurrentAssets,trailingResearchAndDevelopment,annualCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,trailingDilutedEPS,quarterlyCurrentAssets,quarterlyEbitda,trailingNetOtherInvestingChanges,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingOtherIncomeExpense,annualAccumulatedDepreciation,trailingChangesInAccountReceivables,annualResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyInventory,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentAssets,trailingDilutedAverageShares,annualGrossPPE,annualOtherNonCurrentLiabilities,annualGrossProfit,annualNonCurrentDeferredTaxesLiabilities,trailingCommonStockIssuance,trailingOperatingExpense,quarterlyAccumulatedDepreciation,annualOtherCurrentAssets,trailingCostOfRevenue,annualOtherCurrentLiabilities,trailingGrossProfit,trailingChangeInInventory,quarterlyChangeInInventory,annualCurrentLiabilities,trailingBasicEPS
1990-02-28,,,-1007000000.0,1192500000.0,,,5527000000.0,767000000.0,,,,2492800000.0,,-1806000000.0,75900000,,,,,,3757000000.0,7367000000.0,,,,,,,,,101200000.0,,,,2550000000.0,,,,,,,4142000000.0,,,,,,,2550000000.0,,1423100000.0,,1160300000.0,,,,,0.75,,,75900000,75900000,5196000000.0,,1200000000.0,52600000.0,,,,,,,,,,1192500000.0,151000000.0,34500000.0,,-2130000000.0,,30700000.0,,569000000.0,,,99000000.0,,4439000000.0,,,,101200000.0,,,,,,,,0.0,-286000000.0,2550000000.0,43000000.0,0.0,,2097700000.0,,1385000000.0,3299000000.0,,,,,,1103000000.0,,,3915900000.0,,,,,,-682000000.0,,,,0.75,,135000000.0,135000000.0,-924000000.0,,8000000.0,,,-5438000000.0,243000000.0,-1358000000.0,,,62761000000.0,122600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-31,,,,1271700000.0,,,,,,,,2542000000.0,,,85300000,,-147100000.0,,,,,,,-25600000.0,,,,,44200000.0,,101547619.0,,,,,,,,,13100000.0,,,,,,70900000.0,,,,,1458100000.0,,1144100000.0,,,,,0.84,,,85300000,85300000,,,,58000000.0,,-18400000.0,,,,,,,,1271700000.0,,34800000.0,200000.0,,-45500000.0,29100000.0,-201300000.0,,,-19900000.0,,,,,,,101547619.0,,,,,,186300000.0,-6200000.0,,,,48400000.0,0.0,,2238000000.0,15700000.0,,,,,,,,,,-15000000.0,4000100000.0,,,,,,,,,58800000.0,0.84,,128700000.0,128700000.0,,,,,,,,,,,,130000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-08-31,,,,1280300000.0,500000.0,101126126.0,,,318200000.0,99500000.0,,2186300000.0,,,85100000,,-113000000.0,,,34900000.0,,,,-31300000.0,,200000.0,,,-13500000.0,,,-59500000.0,,231100000.0,,2186300000.0,,3.0,1279600000.0,201600000.0,15300000.0,,,,309600000.0,-160000000.0,,,,1279600000.0,1749600000.0,101126126.0,716800000.0,105300000.0,,414100000.0,1500000.0,,309600000.0,-108200000.0,85100000,85100000,,,,75100000.0,226400000.0,-79000000.0,716800000.0,-22100000.0,180500000.0,3935900000.0,3.0,1749600000.0,230900000.0,1280300000.0,,34900000.0,-600000.0,,-266300000.0,18200000.0,10800000.0,,,-235000000.0,,,,,,,,,2277600000.0,,99500000.0,758300000.0,350100000.0,-29200000.0,,,,48300000.0,0.0,,2277600000.0,48300000.0,,,,-96600000.0,-5800000.0,0.0,111300000.0,,-253300000.0,360900000.0,3935900000.0,,,-404600000.0,,,,4852000000.0,4852000000.0,61600000.0,,,99500000.0,99500000.0,,147100000.0,,-344200000.0,,,,,,-359500000.0,,147100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-11-30,,,,1330000000.0,,,,,,,,2390000000.0,,,75000000,,-176000000.0,,,,,,,-31000000.0,,,,,-5000000.0,,104166667.0,,,,,,,,,-7000000.0,-13000000.0,,,,,-41000000.0,,,,,1769000000.0,,831000000.0,,,,,0.72,,,75000000,75000000,,,,52000000.0,,-12000000.0,,,,,,,,1330000000.0,,36000000.0,2000000.0,,77000000.0,25000000.0,-135000000.0,,,-1000000.0,,,,,,,104166667.0,,,,,,109000000.0,10000000.0,,,,44000000.0,0.0,,2370000000.0,-53000000.0,,,,,,,,,,-26000000.0,4159000000.0,,,,,,,,,59000000.0,0.72,,110000000.0,110000000.0,,,,,100000000.0,,,,,,,157000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-02-28,,,,,,,,,,,,,,,88800000,,,,,,,,,,,,,,,,158571429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,88800000,88800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158571429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-05-31,,,,,,,,,,,,,,,88800000,,,,,,,,,,,,,,,,155789474.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,,,88800000,88800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155789474.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-08-31,,,,,-2000000.0,157079646.0,,,355000000.0,74000000.0,,2418000000.0,,,88600000,,,,,20000000.0,,,,,,21000000.0,,,,-6000000.0,,-71000000.0,,-16000000.0,,2418000000.0,,2.26,1505000000.0,,,,,,355000000.0,,,,,1505000000.0,2009000000.0,157079646.0,826000000.0,100000000.0,,107000000.0,18000000.0,,355000000.0,-130000000.0,88600000,88600000,,,,,226000000.0,,826000000.0,-12000000.0,200000000.0,4427000000.0,2.26,2009000000.0,256000000.0,,,20000000.0,,,,,,,,,,,,,,,,,2573000000.0,,74000000.0,604000000.0,,,,,,,,,2573000000.0,,,,,-210000000.0,-26000000.0,0.0,97000000.0,,-183000000.0,,4427000000.0,,,-608000000.0,,,,5865000000.0,5865000000.0,,,,74000000.0,74000000.0,,175000000.0,,-497000000.0,,,,,,-22000000.0,,175000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-11-30,,,,1564000000.0,,,,,,,,2466000000.0,,,76000000,,-142000000.0,,,,,,,-36000000.0,,,,,-11000000.0,,158333333.0,,,,,,,,,-5000000.0,-11000000.0,,,,,-19000000.0,,,,,2018000000.0,,817000000.0,,,,,0.48,,,76000000,76000000,,,,61000000.0,,-113000000.0,,,,,,,,1564000000.0,,18000000.0,2000000.0,,-46000000.0,19000000.0,-123000000.0,,,1000000.0,,,,,,,158333333.0,,,,,,119000000.0,-69000000.0,,,,43000000.0,0.0,,2647000000.0,-26000000.0,,,,,,,,,,-4000000.0,4484000000.0,,,,,,,,,70000000.0,0.48,,5000000.0,5000000.0,,,,,74000000.0,,,,,,,161000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-02-29,,,,1624000000.0,,,,,,,,2377000000.0,,,86000000,,-52000000.0,,,,,,,-35000000.0,,,,,7000000.0,,159259259.0,,,,,,,,,50000000.0,-6000000.0,,,,,7000000.0,,,,,2107000000.0,,760000000.0,,,,,0.54,,,86000000,86000000,,,,64000000.0,,-17000000.0,,,,,,,,1624000000.0,,14000000.0,1000000.0,,-94000000.0,17000000.0,-90000000.0,,,1000000.0,,,,,,,159259259.0,,,,,,208000000.0,62000000.0,,,,48000000.0,0.0,,2643000000.0,37000000.0,,,,,,,,,,118000000.0,4484000000.0,,,,,,,,,71000000.0,0.54,,67000000.0,67000000.0,,,,,,,,,,,,143000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-05-31,,,,1627000000.0,,,,,,,,2387000000.0,,,75000000,,-48000000.0,,,,,,,-36000000.0,,,,,-9000000.0,,156250000.0,,,,,,,,,-54000000.0,7000000.0,,,,,-9000000.0,,,,,2116000000.0,,778000000.0,,,,,0.48,,,75000000,75000000,,,,60000000.0,,-15000000.0,,,,,,,,1627000000.0,,14000000.0,0.0,,-20000000.0,19000000.0,-67000000.0,,,-1000000.0,,,,,,,156250000.0,,,,,,92000000.0,24000000.0,,,,43000000.0,0.0,,2627000000.0,12000000.0,,,,,,,,,,25000000.0,4503000000.0,,,,,,,,,73000000.0,0.48,,91000000.0,91000000.0,,,,,,,,,,,,144000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
