,trailingChangeInInventory,annualChangeInInventory,annualDepreciationAndAmortization,quarterlyTaxProvision,quarterlyInventory,quarterlyNetPPE,annualStockholdersEquity,quarterlyOtherNonCurrentAssets,trailingOtherNonCashItems,annualPurchaseOfBusiness,trailingOperatingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,trailingGrossProfit,annualNetPPE,quarterlyOperatingCashFlow,quarterlyOperatingExpense,annualBasicAverageShares,annualCashCashEquivalentsAndMarketableSecurities,annualCapitalStock,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,quarterlyPretaxIncome,quarterlyOtherCurrentLiabilities,annualInventory,annualEbitda,annualOperatingCashFlow,annualGrossProfit,annualCurrentLiabilities,annualOtherCurrentLiabilities,annualNetOtherInvestingChanges,trailingChangeInCashSupplementalAsReported,annualGoodwill,annualOtherNonCurrentLiabilities,annualNonCurrentDeferredRevenue,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,trailingChangeInWorkingCapital,trailingInterestExpense,trailingPretaxIncome,quarterlyFreeCashFlow,annualPurchaseOfInvestment,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualOperatingIncome,annualCapitalExpenditure,annualInvestingCashFlow,trailingCapitalExpenditure,trailingTotalRevenue,trailingOperatingIncome,quarterlyCapitalStock,quarterlyAccountsPayable,annualPretaxIncome,trailingEndCashPosition,quarterlyBeginningCashPosition,annualBasicEPS,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,annualAccountsPayable,annualGrossPPE,trailingInvestingCashFlow,trailingNetOtherFinancingCharges,quarterlyEbitda,annualNetOtherFinancingCharges,quarterlyTotalRevenue,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,annualEndCashPosition,annualCurrentDebt,quarterlyTotalLiabilitiesNetMinorityInterest,annualTaxProvision,quarterlyOperatingIncome,annualNetIncomeContinuousOperations,annualOperatingExpense,annualCashAndCashEquivalents,annualDilutedAverageShares,quarterlyCurrentLiabilities,quarterlyGrossPPE,trailingFreeCashFlow,trailingOperatingExpense,annualTotalRevenue,annualCommonStockIssuance,quarterlyRetainedEarnings,quarterlyGrossProfit,annualOtherShortTermInvestments,quarterlyCurrentAssets,trailingCostOfRevenue,annualInterestExpense,trailingBeginningCashPosition,quarterlyNonCurrentDeferredRevenue,trailingNetIncomeContinuousOperations,annualCurrentAssets,quarterlyDilutedEPS,quarterlyOtherShortTermInvestments,annualAccumulatedDepreciation,annualChangeInWorkingCapital,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherNonCurrentAssets,annualNetIncomeCommonStockholders,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyGoodwill,trailingNetIncome,annualTotalAssets,annualDilutedEPS,quarterlyBasicEPS,quarterlyLongTermDebt,annualNetIncome,trailingCashDividendsPaid,annualTotalLiabilitiesNetMinorityInterest,annualBeginningCashPosition,annualAccountsReceivable,quarterlyStockholdersEquity,trailingNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualCostOfRevenue,annualFreeCashFlow,annualCashDividendsPaid,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,annualLongTermDebt,trailingTaxProvision,trailingDepreciationAndAmortization,annualOtherCurrentAssets,annualOtherNonCashItems,quarterlyOtherNonCurrentLiabilities,annualTotalNonCurrentAssets,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,annualCurrentAccruedExpenses,quarterlyCashDividendsPaid,trailingOtherIncomeExpense,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,trailingDeferredIncomeTax,quarterlyChangeInInventory,quarterlyPurchaseOfInvestment,trailingStockBasedCompensation,annualGainsLossesNotAffectingRetainedEarnings,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,trailingBasicEPS,annualSellingGeneralAndAdministration,quarterlyStockBasedCompensation,annualOtherIncomeExpense,trailingCommonStockIssuance,annualRepurchaseOfCapitalStock,annualOtherIntangibleAssets,annualChangesInAccountReceivables,trailingDilutedAverageShares,quarterlyCurrentAccruedExpenses,trailingPurchaseOfInvestment,trailingResearchAndDevelopment,quarterlyChangeInAccountPayable,trailingDilutedEPS,trailingSaleOfInvestment,trailingSellingGeneralAndAdministration,quarterlyCommonStockIssuance,annualIncomeTaxPayable,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,trailingRepaymentOfDebt,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,trailingRepurchaseOfCapitalStock,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,annualCurrentDeferredRevenue,trailingChangeInAccountPayable,annualResearchAndDevelopment,annualRetainedEarnings,annualInvestmentsAndAdvances,annualCashFlowFromContinuingFinancingActivities,quarterlyDilutedAverageShares,trailingChangesInAccountReceivables,trailingBasicAverageShares,quarterlyIncomeTaxPayable,trailingPurchaseOfBusiness,quarterlyPurchaseOfBusiness,trailingCashFlowFromContinuingFinancingActivities,trailingNetOtherInvestingChanges,annualDeferredIncomeTax,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyCapitalExpenditure,annualStockBasedCompensation
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1388448000,,,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,8836200000.0,,0.0,,,0.0,63000000.0,,0.0,0.0,,69000000.0,63000000.0,,,,0.0,,0.0,69000000.0,,,,0.0,,,0.0,0.0,,0.0,,,,,,0.0,,0.0,0.0,,,,63000000.0,,,,0.0,,0.0,0.0,0.0,0.0,,,69000000.0,,0.0,0.0,0.0,,8836200000.0,69000000.0,,,,,,,0.0,,69000000.0,,,,,,69000000.0,,,,,0.0,0.0,0.0,0.0,,,,69000000.0,0.0,,,0.0,,69000000.0,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1404086400,,,,,1016000000.0,71474000000.0,,0.0,,,,9695000000.0,-82000000.0,,,,,,,,,,,381000000.0,,,,,,,,,,,,106008000000.0,112242000000.0,,,,,,,,,,,,,,8000000.0,2023000000.0,,,,,3575000000.0,3575000000.0,1000000000.0,,,,,,,,,,,,,63887000000.0,,,,,,,3944000000.0,71556000000.0,,,,,-494000000.0,,,6234000000.0,,,,1918000000.0,,,0.0,1000000.0,,,,,,,946000000.0,33623000000.0,,,,0.0,47235000000.0,,,,,,48355000000.0,,,,,,,59943000000.0,0.0,,,,,,490000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1419984000,,-41000000.0,2718000000.0,,933000000.0,71467000000.0,49191000000.0,0.0,,-31377000000.0,,9602000000.0,-2704000000.0,,71467000000.0,,,8158354521.0,4630000000.0,8000000.0,,9602000000.0,,631000000.0,933000000.0,7745000000.0,6636000000.0,5672000000.0,3858000000.0,631000000.0,-34433000000.0,,33623000000.0,293000000.0,1937000000.0,106113000000.0,112811000000.0,,,,,-1394000000.0,-27445000000.0,3237000000.0,4980000000.0,-1662000000.0,-34511000000.0,,,,8000000.0,2466000000.0,4089000000.0,,,0.3923,4630000000.0,3236000000.0,520000000.0,2466000000.0,74171000000.0,,,,27000000.0,,,,,3236000000.0,520000000.0,63620000000.0,709000000.0,,3380000000.0,692000000.0,3236000000.0,8158354521.0,3858000000.0,74171000000.0,,,10504000000.0,23523000000.0,,,1394000000.0,6698000000.0,,938000000.0,,1937000000.0,,6698000000.0,,1394000000.0,-2704000000.0,720000000.0,59762000000.0,0.0,3201000000.0,,668000000.0,33623000000.0,,112811000000.0,0.3923,,47349000000.0,3201000000.0,,63620000000.0,0.0,668000000.0,49191000000.0,,,,4832000000.0,4974000000.0,-1461000000.0,59762000000.0,0.0,47349000000.0,,,0.0,927000000.0,293000000.0,106113000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435622400,,,,,975000000.0,70666000000.0,,0.0,,,,9455000000.0,-275000000.0,,,,,,,,,,,1406000000.0,,,,,,,,,,,,105263000000.0,112614000000.0,,,,,,,,,,,,,,8000000.0,2028000000.0,,,,,4681000000.0,2349000000.0,0.0,,,,,,,,,,,,,64110000000.0,,,,,,,3890000000.0,70941000000.0,,,,,,,,7351000000.0,,,,1967000000.0,,,0.0,2332000000.0,,,,,,,955000000.0,33623000000.0,,,,0.0,47373000000.0,,,,,,48504000000.0,,,,,,,60220000000.0,2332000000.0,,,,,,683000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451520000,,43000000.0,2793000000.0,,882000000.0,70993000000.0,49012000000.0,0.0,,,,9247000000.0,-5366000000.0,,70993000000.0,,,8836200000.0,6157000000.0,8000000.0,1214000000.0,9247000000.0,,2283000000.0,882000000.0,8081000000.0,8064000000.0,6021000000.0,6129000000.0,2283000000.0,1214000000.0,,33623000000.0,215000000.0,2001000000.0,105516000000.0,113715000000.0,,,,,,-2846000000.0,2742000000.0,5242000000.0,-2237000000.0,-1090000000.0,,,,8000000.0,2557000000.0,4263000000.0,,,0.4064,6157000000.0,5977000000.0,900000000.0,2557000000.0,76359000000.0,,,,64000000.0,,,,,5977000000.0,900000000.0,64703000000.0,750000000.0,,3513000000.0,779000000.0,5977000000.0,8836200000.0,6129000000.0,76359000000.0,,,11210000000.0,,,,180000000.0,8199000000.0,,1025000000.0,,2001000000.0,,8199000000.0,,180000000.0,-5366000000.0,1722000000.0,58574000000.0,0.0,3591000000.0,,678000000.0,33623000000.0,,113715000000.0,0.4064,,46317000000.0,3591000000.0,,64703000000.0,3236000000.0,678000000.0,49012000000.0,,,,5189000000.0,5827000000.0,-3517000000.0,58574000000.0,0.0,46317000000.0,,,0.0,996000000.0,215000000.0,105516000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467244800,,,,,858000000.0,70460000000.0,,0.0,,,,9091000000.0,-6217000000.0,,,,,,,,,,,3262000000.0,,,,,,,,,,,,105212000000.0,108042000000.0,,,,,,,,,,,,,,8000000.0,2130000000.0,,,,,307000000.0,307000000.0,6400000000.0,,,,,,,,,,,,,59745000000.0,,,,,,,12528000000.0,76677000000.0,,,,,,,,2830000000.0,,,,2022000000.0,,,0.0,12000000.0,,,,,,,914000000.0,33623000000.0,,,,0.0,34560000000.0,,,,,,48297000000.0,,,,,,,47217000000.0,0.0,,,,,,585000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1483142400,,-111000000.0,2874000000.0,,985000000.0,70713000000.0,49905000000.0,0.0,,,,9017000000.0,-8052000000.0,,70713000000.0,,,8836200000.0,316000000.0,8000000.0,180000000.0,9017000000.0,,4088000000.0,985000000.0,8046000000.0,8018000000.0,6051000000.0,7509000000.0,4088000000.0,180000000.0,,33623000000.0,39000000.0,2057000000.0,105824000000.0,108350000000.0,,,,,,-34432000000.0,-5662000000.0,5160000000.0,-2760000000.0,-2694000000.0,,,,8000000.0,2717000000.0,4181000000.0,,,0.4073,316000000.0,316000000.0,335000000.0,2717000000.0,78765000000.0,,,,56000000.0,,,,,316000000.0,335000000.0,58445000000.0,757000000.0,,3424000000.0,891000000.0,316000000.0,8836200000.0,7509000000.0,78765000000.0,,,11420000000.0,,,,16000000.0,2526000000.0,,991000000.0,,2057000000.0,,2526000000.0,,16000000.0,-8052000000.0,2037000000.0,50936000000.0,0.0,3599000000.0,,647000000.0,33623000000.0,,108350000000.0,0.4073,,39344000000.0,3599000000.0,,58445000000.0,5977000000.0,647000000.0,49905000000.0,,,,5369000000.0,5258000000.0,-3538000000.0,50936000000.0,0.0,39344000000.0,,,0.0,994000000.0,39000000.0,105824000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498780800,,,,,980000000.0,70249000000.0,,0.0,,,,8948000000.0,-8729000000.0,,,,,,,,,,,3562000000.0,,,,,,,,,,,,104731000000.0,107416000000.0,,,,,,,,,,,,,,8000000.0,2320000000.0,,,,,329000000.0,329000000.0,670000000.0,,,,,,,,,,,,,59046000000.0,,,,,,,6907000000.0,78978000000.0,,,,,,,,2685000000.0,,,,2099000000.0,,,0.0,,,,,,,,734000000.0,33623000000.0,,,,0.0,39725000000.0,,,,,,48370000000.0,,,,,,,52139000000.0,0.0,,,,,,631000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514678400,,,,,1011000000.0,70502000000.0,49722000000.0,,,,,9149000000.0,-10782000000.0,,70502000000.0,,,8836200000.0,1659000000.0,8000000.0,,9149000000.0,,2771000000.0,1011000000.0,5280000000.0,5887000000.0,6309000000.0,5637000000.0,2771000000.0,,,33623000000.0,335000000.0,2130000000.0,105582000000.0,109319000000.0,,,,,,-2785000000.0,464000000.0,5273000000.0,-2503000000.0,-3496000000.0,,,,8000000.0,2649000000.0,4432000000.0,,,0.3781,1659000000.0,784000000.0,0.0,2649000000.0,81284000000.0,,,,73000000.0,,,,,784000000.0,0.0,59597000000.0,794000000.0,,3638000000.0,1036000000.0,784000000.0,8836200000.0,5637000000.0,81284000000.0,,,11693000000.0,,,,875000000.0,3737000000.0,,848000000.0,,2130000000.0,,3737000000.0,,875000000.0,-10782000000.0,,53960000000.0,,3341000000.0,,555000000.0,33623000000.0,,109319000000.0,0.3781,,41371000000.0,3341000000.0,,59597000000.0,316000000.0,555000000.0,49722000000.0,,,,5384000000.0,3384000000.0,-3538000000.0,53960000000.0,,41371000000.0,,,,,335000000.0,105582000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
