,annualPurchaseOfInvestment,annualInvestingCashFlow,trailingInvestingCashFlow,trailingPretaxIncome,trailingNetIncome,annualTotalAssets,trailingPurchaseOfBusiness,annualStockholdersEquity,annualChangeInWorkingCapital,annualDepreciationAndAmortization,annualRetainedEarnings,annualCommonStockIssuance,trailingChangeInWorkingCapital,quarterlyInvestmentsAndAdvances,annualCapitalStock,quarterlyCashAndCashEquivalents,annualOperatingCashFlow,annualTotalRevenue,annualNetPPE,annualAccountsPayable,annualBasicAverageShares,annualOperatingIncome,annualEndCashPosition,trailingTotalRevenue,quarterlyCapitalStock,trailingChangeInCashSupplementalAsReported,annualGrossPPE,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,trailingEndCashPosition,quarterlyTotalAssets,annualInvestmentsAndAdvances,quarterlyTotalLiabilitiesNetMinorityInterest,annualPretaxIncome,annualBeginningCashPosition,trailingCapitalExpenditure,annualDilutedAverageShares,annualCapitalExpenditure,annualSellingGeneralAndAdministration,trailingInterestExpense,quarterlyGrossPPE,trailingBeginningCashPosition,trailingOperatingExpense,quarterlyAccountsPayable,annualDilutedEPS,trailingNetIncomeCommonStockholders,trailingNetIncomeContinuousOperations,annualRepaymentOfDebt,annualNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,quarterlyStockholdersEquity,annualAccumulatedDepreciation,annualNetOtherFinancingCharges,annualInterestExpense,trailingOperatingCashFlow,annualBasicEPS,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyRetainedEarnings,annualTaxProvision,trailingFreeCashFlow,annualTotalLiabilitiesNetMinorityInterest,annualOtherNonCashItems,annualNetIncomeContinuousOperations,annualPurchaseOfBusiness,trailingDepreciationAndAmortization,trailingTaxProvision,annualFreeCashFlow,annualOperatingExpense,trailingSellingGeneralAndAdministration,annualNetIncome,annualCashDividendsPaid,trailingPurchaseOfInvestment,annualStockBasedCompensation,annualOtherCurrentLiabilities,quarterlyCapitalExpenditure,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,trailingRepaymentOfDebt,quarterlyCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,annualCashCashEquivalentsAndMarketableSecurities,trailingDilutedEPS,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,trailingCostOfRevenue,annualEbitda,annualCostOfRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,annualCashFlowFromContinuingFinancingActivities,annualCurrentLiabilities,annualGoodwill,quarterlyFreeCashFlow,quarterlyLongTermDebt,quarterlyChangeInWorkingCapital,trailingDilutedAverageShares,quarterlyStockBasedCompensation,quarterlyCurrentDeferredRevenue,trailingCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyNetOtherFinancingCharges,trailingStockBasedCompensation,quarterlyCurrentDebt,trailingCashDividendsPaid,quarterlyInvestingCashFlow,trailingNetOtherFinancingCharges,annualOtherCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingExpense,quarterlyCurrentLiabilities,annualSaleOfInvestment,quarterlySaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyChangeInCashSupplementalAsReported,quarterlyAccountsReceivable,annualCurrentAccruedExpenses,quarterlyOtherNonCashItems,quarterlyChangesInAccountReceivables,quarterlyCostOfRevenue,quarterlyPurchaseOfBusiness,quarterlyCashCashEquivalentsAndMarketableSecurities,annualOtherNonCurrentLiabilities,quarterlyPretaxIncome,annualDeferredIncomeTax,annualOtherShortTermInvestments,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIncomeExpense,quarterlyDeferredIncomeTax,trailingSaleOfInvestment,quarterlyOtherIntangibleAssets,trailingOperatingIncome,trailingChangesInAccountReceivables,trailingNetOtherInvestingChanges,annualCurrentDebt,annualOtherNonCurrentAssets,annualOtherIntangibleAssets,quarterlyNonCurrentDeferredTaxesLiabilities,trailingChangeInInventory,annualNonCurrentDeferredRevenue,quarterlyCashDividendsPaid,quarterlyOtherNonCurrentLiabilities,annualChangeInInventory,quarterlyTotalRevenue,annualLongTermDebt,quarterlyNetIncome,quarterlyTaxProvision,quarterlyChangeInInventory,annualChangesInAccountReceivables,annualGainsLossesNotAffectingRetainedEarnings,trailingBasicEPS,annualChangeInAccountPayable,annualCurrentAssets,quarterlyEndCashPosition,quarterlyOtherCurrentAssets,quarterlyOperatingIncome,quarterlyChangeInAccountPayable,trailingOtherIncomeExpense,quarterlyEbitda,quarterlyOtherNonCurrentAssets,quarterlyResearchAndDevelopment,quarterlyCurrentAccruedExpenses,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,annualOtherIncomeExpense,trailingChangeInAccountPayable,annualIncomeTaxPayable,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyOtherCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyBasicEPS,quarterlyOtherShortTermInvestments,annualResearchAndDevelopment,annualGrossProfit,quarterlyIncomeTaxPayable,annualCurrentDeferredRevenue,quarterlyGrossProfit,trailingBasicAverageShares,annualAccountsReceivable,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentAssets,quarterlyRepaymentOfDebt,annualRepurchaseOfCapitalStock,trailingDeferredIncomeTax,trailingGrossProfit,quarterlyDilutedEPS,quarterlyCurrentAssets,trailingResearchAndDevelopment,quarterlyNetOtherInvestingChanges,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingOtherNonCashItems,quarterlyDilutedAverageShares,trailingRepurchaseOfCapitalStock,annualInventory,annualTotalNonCurrentAssets
1009756800,-30000000.0,-232000000.0,,,,766140000000.0,,52170000000.0,,,,,,,52864000000.0,,-55570000000.0,19009000000.0,21049000000.0,,10572956455.0,,120664000000.0,,,,,196255000000.0,705000000.0,,,50988000000.0,,3733000000.0,184680000000.0,,10572956455.0,-1448000000.0,,,,,,,0.2618,,,,2768000000.0,-64016000000.0,,,-7576000000.0,23320000000.0,,0.2618,,,,832000000.0,,712904000000.0,,2901000000.0,-24000000.0,,,-57018000000.0,,,2768000000.0,-638000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041292800,0.0,-997000000.0,,,,735489000000.0,,56941000000.0,,,,,,,52864000000.0,,-29588000000.0,18114000000.0,20212000000.0,,10573601648.0,,83065000000.0,,,,,115075000000.0,-226000000.0,,,94227000000.0,,8068000000.0,120664000000.0,,10573601648.0,-434000000.0,,,,,,,0.6311,,,,6673000000.0,-37599000000.0,,,-6935000000.0,7521000000.0,,0.6311,,,,1268000000.0,,677434000000.0,,6800000000.0,-890000000.0,,,-30022000000.0,,,6673000000.0,-79000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072828800,-6000000.0,937000000.0,,,,762587000000.0,,60261000000.0,,,,,,,52864000000.0,,-6405000000.0,17253000000.0,17582000000.0,,10572225173.0,,73165000000.0,,,,,134106000000.0,251000000.0,,,101065000000.0,,8691000000.0,83065000000.0,,10572225173.0,-369000000.0,,,,,,,0.7532,,,,7963000000.0,-9900000000.0,,,0.0,4885000000.0,,0.7532,,,,589000000.0,,701170000000.0,,8102000000.0,0.0,,,-6774000000.0,,,7963000000.0,-4432000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104451200,0.0,1169000000.0,,,,796776000000.0,,68521000000.0,,,,,,,52864000000.0,,-4561000000.0,15857000000.0,21877000000.0,,10572691118.0,,62908000000.0,,,,,102647000000.0,418000000.0,,,181050000000.0,,14252000000.0,73165000000.0,,10572691118.0,-450000000.0,,,,,,,1.1315,,,,11963000000.0,-10257000000.0,,,0.0,4485000000.0,,1.1315,,,,2131000000.0,,727016000000.0,,12121000000.0,,,,-5011000000.0,,,11963000000.0,-6865000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135987200,,290000000.0,,,,822105000000.0,,79435000000.0,,,,,,,52864000000.0,,27426000000.0,17896000000.0,18316000000.0,,10572749354.0,,82814000000.0,,,,,115575000000.0,293000000.0,,,206836000000.0,,16368000000.0,62908000000.0,,10572749354.0,-569000000.0,,,,,,,1.2763,,,,13494000000.0,19906000000.0,,,0.0,13001000000.0,,1.2763,,,,2710000000.0,,741372000000.0,,13330000000.0,,,,26857000000.0,,,13494000000.0,-7810000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167523200,,33000000.0,,,,928953000000.0,,84655000000.0,,,,,,,52864000000.0,,10413000000.0,23099000000.0,19740000000.0,,10572916667.0,,83176000000.0,,,,,30973000000.0,566000000.0,,,265977000000.0,,17139000000.0,83015000000.0,,10572916667.0,-736000000.0,,,,,,,1.3248,,,,14007000000.0,161000000.0,,,-900000000.0,24436000000.0,,1.3248,,,,2855000000.0,,842313000000.0,,13730000000.0,,,,9677000000.0,,,14007000000.0,-9385000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199059200,,-919000000.0,,,,1067637000000.0,,92842000000.0,,,,,,,52864000000.0,,34140000000.0,25806000000.0,23293000000.0,,10572934492.0,18033000000.0,152070000000.0,,,,,212219000000.0,208000000.0,,,350183000000.0,,19126000000.0,128257000000.0,,10572934492.0,-1147000000.0,,,,,,,1.4609,,,,15446000000.0,23813000000.0,,,0.0,26661000000.0,,1.4609,,,,3309000000.0,,972579000000.0,,15446000000.0,-24000000.0,,,32993000000.0,7773000000.0,,15817000000.0,-9408000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230681600,,-512000000.0,,,,1147244000000.0,,82719000000.0,-10749000000.0,992000000.0,,245000000.0,,,52864000000.0,,5199000000.0,12953000000.0,22795000000.0,34873000000.0,10572422517.0,4182000000.0,174926000000.0,,,,26344000000.0,242987000000.0,0.0,,,389409000000.0,,4078000000.0,152070000000.0,,10572422517.0,-818000000.0,,,,,,,0.3162,,,-226000000.0,3343000000.0,22856000000.0,,-3549000000.0,-324000000.0,15124000000.0,,0.3162,,,,1071000000.0,,1062712000000.0,525000000.0,2671000000.0,,,,4381000000.0,8771000000.0,,3007000000.0,-9780000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262217600,,-423000000.0,,,,1212791000000.0,,102902000000.0,-2578000000.0,1018000000.0,,,,414460000000.0,52864000000.0,221070000000.0,12345000000.0,27245000000.0,26286000000.0,29930000000.0,10572780266.0,15104000000.0,182708000000.0,,52864000000.0,,30232000000.0,221070000000.0,0.0,,1212791000000.0,414460000000.0,1107156000000.0,16724000000.0,174926000000.0,,10572780266.0,-574000000.0,1195000000.0,,30232000000.0,,,29930000000.0,1.2981,,,-1665000000.0,13725000000.0,7782000000.0,102902000000.0,-3946000000.0,538000000.0,3752000000.0,,1.2981,-3946000000.0,26286000000.0,,2678000000.0,,1107156000000.0,0.0,14367000000.0,-129000000.0,,,11771000000.0,12141000000.0,,14046000000.0,-3013000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277856000,,,,,,,,,,,,,,444912000000.0,,205512000000.0,,,,,,,,,52864000000.0,,,,,,1302176000000.0,,1192639000000.0,,,,,,,,32401000000.0,,,34690000000.0,,,,,,,106711000000.0,,,,,,-4166000000.0,28235000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
