date,trailingPretaxIncome,quarterlyTotalAssets,annualCashDividendsPaid,annualNetIncome,annualLongTermDebt,annualDilutedEPS,quarterlyTotalNonCurrentAssets,trailingNetIncome,quarterlyAccountsReceivable,annualPretaxIncome,annualTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,annualChangeInWorkingCapital,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,annualOtherShortTermInvestments,annualCommonStockIssuance,annualStockholdersEquity,annualSaleOfInvestment,annualDepreciationAndAmortization,annualInvestingCashFlow,annualAccountsReceivable,annualPurchaseOfInvestment,annualRetainedEarnings,quarterlyInventory,annualBasicAverageShares,annualTotalRevenue,quarterlyLongTermDebt,annualEndCashPosition,quarterlyDilutedEPS,trailingTotalRevenue,trailingOperatingIncome,annualCashFlowFromContinuingFinancingActivities,annualOperatingIncome,annualAccountsPayable,annualCurrentLiabilities,quarterlyCurrentDebt,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCashCashEquivalentsAndMarketableSecurities,annualNetPPE,annualOperatingCashFlow,annualOtherIncomeExpense,quarterlyCashAndCashEquivalents,quarterlyTotalLiabilitiesNetMinorityInterest,annualRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,annualCashCashEquivalentsAndMarketableSecurities,annualBasicEPS,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualOtherNonCurrentLiabilities,annualGainsLossesNotAffectingRetainedEarnings,trailingInterestExpense,annualInterestExpense,quarterlyOtherCurrentAssets,annualNetIncomeCommonStockholders,trailingOperatingExpense,annualGrossPPE,annualSellingGeneralAndAdministration,quarterlyGainsLossesNotAffectingRetainedEarnings,annualCurrentAssets,annualOtherNonCurrentAssets,annualEbitda,quarterlyCapitalStock,annualAccumulatedDepreciation,quarterlyAccountsPayable,annualOtherCurrentLiabilities,annualCapitalExpenditure,annualChangeInCashSupplementalAsReported,quarterlyStockholdersEquity,annualCapitalStock,trailingNetIncomeCommonStockholders,annualRepaymentOfDebt,quarterlyNonCurrentDeferredTaxesLiabilities,trailingGrossProfit,annualCurrentDebt,quarterlyAccumulatedDepreciation,trailingTaxProvision,annualInventory,trailingCostOfRevenue,annualChangeInInventory,annualStockBasedCompensation,annualTaxProvision,annualNetOtherFinancingCharges,annualGrossProfit,quarterlyNetPPE,trailingNetIncomeContinuousOperations,annualTotalNonCurrentAssets,annualOtherCurrentAssets,annualOtherNonCashItems,annualDilutedAverageShares,annualTotalLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,annualFreeCashFlow,quarterlyCurrentLiabilities,quarterlyBasicEPS,annualNonCurrentDeferredTaxesLiabilities,quarterlyGrossPPE,quarterlyCurrentAssets,annualPurchaseOfBusiness,annualOperatingExpense,annualBeginningCashPosition,annualCostOfRevenue,annualNetIncomeContinuousOperations,trailingSellingGeneralAndAdministration,quarterlyCostOfRevenue,annualChangesInAccountReceivables,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,trailingPurchaseOfInvestment,quarterlySellingGeneralAndAdministration,trailingEndCashPosition,trailingSaleOfInvestment,trailingFreeCashFlow,quarterlyNetOtherInvestingChanges,trailingNetOtherFinancingCharges,quarterlyBeginningCashPosition,trailingCapitalExpenditure,quarterlyStockBasedCompensation,annualResearchAndDevelopment,quarterlyFreeCashFlow,trailingBasicEPS,trailingChangeInInventory,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,annualGoodwill,trailingOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,trailingChangeInAccountPayable,quarterlyGoodwill,quarterlyPretaxIncome,quarterlyOtherShortTermInvestments,trailingRepurchaseOfCapitalStock,trailingCashDividendsPaid,quarterlyInterestExpense,trailingNetOtherInvestingChanges,quarterlyResearchAndDevelopment,trailingChangesInAccountReceivables,quarterlyTaxProvision,quarterlyEbitda,trailingDilutedAverageShares,trailingCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,trailingCommonStockIssuance,quarterlyIncomeTaxPayable,trailingDepreciationAndAmortization,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,trailingOtherIncomeExpense,quarterlyCashFlowFromContinuingFinancingActivities,annualNonCurrentDeferredRevenue,annualCurrentAccruedExpenses,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,trailingDeferredIncomeTax,annualChangeInAccountPayable,annualIncomeTaxPayable,trailingBeginningCashPosition,quarterlyCashDividendsPaid,trailingBasicAverageShares,trailingOtherNonCashItems,annualDeferredIncomeTax,trailingPurchaseOfBusiness,trailingInvestingCashFlow,quarterlyEndCashPosition,quarterlyChangesInAccountReceivables,trailingDilutedEPS,quarterlyOperatingExpense,trailingResearchAndDevelopment,quarterlyOperatingIncome,quarterlyOtherIntangibleAssets,trailingChangeInWorkingCapital,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,trailingStockBasedCompensation,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,trailingRepaymentOfDebt,trailingChangeInCashSupplementalAsReported,quarterlyRepaymentOfDebt,annualOtherIntangibleAssets,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue,annualCurrentDeferredRevenue
1970-01-01 00:00:01.577750400,14809000000.0,,-836300000.0,1583600000.0,,0.623,,6172000000.0,,1825800000.0,35609100000.0,,,,,,,,29541400000.0,,,-3240200000.0,,,,,2261503759.0,2477100000.0,,,,8852000000.0,5894000000.0,,2477100000.0,,12794200000.0,,-6849900000.0,,,1522600000.0,,,,0.0,,,,0.665,,405400000.0,,,46000000.0,,,1503900000.0,593000000.0,,,,1401100000.0,34161900000.0,2477100000.0,,,,12794200000.0,-3645600000.0,1232200000.0,,,6172000000.0,255000000.0,,6487000000.0,,,5009000000.0,,2365000000.0,,,242200000.0,42000000.0,,,9800000000.0,34208000000.0,1401100000.0,1522600000.0,2413964687.0,5944300000.0,,-2123000000.0,,,,,,,,,,1583600000.0,593000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-1111800000.0,1669200000.0,,0.658,,,,1873000000.0,35384200000.0,,,,,,,,29792700000.0,,,-1725100000.0,,,,,2324774775.0,2434100000.0,,,,,,,2434100000.0,,4248200000.0,,1141900000.0,,,1710800000.0,,,,-33800000.0,,,,0.666,,48100000.0,,,,,,1548300000.0,,,,,1146900000.0,34190100000.0,2434100000.0,,,,4248200000.0,-1773200000.0,-202900000.0,,,,-898900000.0,,,,,,,,,,203800000.0,1655900000.0,,,,34237300000.0,1146900000.0,1710800000.0,2353039514.0,5390100000.0,,-62400000.0,,,,,,,,,,1669200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-1190600000.0,1465700000.0,,0.628,,,,1875100000.0,35185900000.0,,,,,,,,30485300000.0,,,-1478600000.0,,,,,2496682464.0,2426500000.0,,,,,,,2426500000.0,,3050900000.0,,1453300000.0,,,1624500000.0,,,,0.0,,,,0.633,,-112600000.0,-933800000.0,,,,,1580400000.0,,,,,305100000.0,33947000000.0,2426500000.0,,,,3050900000.0,-1395400000.0,-923500000.0,,,,-1983000000.0,,,,,,,,,,180000000.0,79100000.0,,,,34880800000.0,305100000.0,1624500000.0,2516560510.0,4504200000.0,,229100000.0,,,,,,,,,,1465700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-1288500000.0,2577100000.0,,0.901,,,,2812500000.0,41365100000.0,,,,,,,,38260200000.0,,,768100000.0,,,,,2715812432.0,3686100000.0,,,,,,,3686100000.0,,2691700000.0,,194000000.0,,,1293000000.0,,,,0.0,,,,0.917,,-81300000.0,-1035400000.0,,,,,2490400000.0,,,,,3205500000.0,37124200000.0,3686100000.0,,,,2691700000.0,-373600000.0,2435700000.0,,,,-1912500000.0,,,,,,,,,,235400000.0,3407900000.0,,,,38159600000.0,3205500000.0,1293000000.0,2764039956.0,2885700000.0,,919400000.0,,,,,,,,,,2577100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-1447200000.0,2723800000.0,,0.91,,,,3042600000.0,34135700000.0,,,,,,,,29467700000.0,,,-221600000.0,,,,,2868324324.0,3843900000.0,,,,,,,3843900000.0,,3158900000.0,,1269000000.0,,,2488600000.0,,,,-223300000.0,,,,0.925,,-485400000.0,-1364700000.0,,,,,2653200000.0,,,,,4888000000.0,27883000000.0,3843900000.0,,,,3158900000.0,-811700000.0,2134700000.0,,,,-415700000.0,,,,,,,,,,318800000.0,20900000.0,,,,29247700000.0,4888000000.0,2488600000.0,2915604396.0,4427900000.0,,1676900000.0,,,,,,,,,,2723800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-1358500000.0,1948900000.0,,0.654,,,,2097700000.0,34234300000.0,,,,,,,,26292900000.0,,,-618500000.0,,,,,2863444109.0,2765000000.0,,,,,,,2765000000.0,,2931500000.0,,4741400000.0,,,-82800000.0,,,,0.0,,,,0.662,,-164700000.0,-1179600000.0,,,,,1895600000.0,,,,,8439600000.0,24615100000.0,2765000000.0,,,,2931500000.0,-462900000.0,749700000.0,,,,-528800000.0,,,,,,,,,,148800000.0,28300000.0,,,,25794700000.0,8439600000.0,-82800000.0,2898470948.0,7672900000.0,,-545700000.0,,,,,,,,,,1948900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-890300000.0,1266400000.0,,0.0,,,,1437400000.0,37912700000.0,,,,,,,,27477300000.0,,,-934800000.0,,,,,2893586698.0,2221300000.0,,,,,,,1398100000.0,,8683900000.0,,1433300000.0,,,648800000.0,,,,-15300000.0,,,,0.421,,-263000000.0,,,,,,1218200000.0,,,90600000.0,,8768500000.0,29128300000.0,1398100000.0,,,,751700000.0,-685200000.0,-624500000.0,,,,-22600000.0,,,7304200000.0,,,,,,,171000000.0,589700000.0,1843200000.0,,,29144200000.0,8641100000.0,648800000.0,2893586698.0,10117200000.0,,-36400000.0,,,,,,,445100000.0,,378100000.0,1266400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-1089400000.0,1432000000.0,,0.479,,,,1703100000.0,40546000000.0,,,,,,,,27019100000.0,,,-422100000.0,,,,,2888726514.0,2748400000.0,,,,,,,1917800000.0,,4980500000.0,,8546400000.0,,,-3727100000.0,,,,0.0,,,,0.479,,-174300000.0,0.0,,,,,1383700000.0,,,86300000.0,,11154400000.0,27928700000.0,1917800000.0,,,,838400000.0,-998000000.0,-1113900000.0,,,,-9209200000.0,,,3815600000.0,,,,,,,271100000.0,211900000.0,2004100000.0,,,29391600000.0,11014800000.0,-3727100000.0,2888726514.0,13526900000.0,,-4725100000.0,,,,,,,86300000.0,,744300000.0,1432000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-1179400000.0,1255300000.0,9457200000.0,0.415,,,,1406400000.0,39458300000.0,,,,,,,,26112400000.0,,,-33600000.0,,,,,2887559809.0,2476200000.0,,,,,,,1340100000.0,,2078100000.0,,10806300000.0,,,-155500000.0,,,,-13200000.0,,,,0.418,,-31700000.0,461500000.0,,,,,1207000000.0,,,88600000.0,,11822100000.0,26150200000.0,1340100000.0,,,,342700000.0,-412900000.0,-581700000.0,,,,-9946400000.0,,,1735400000.0,,,,,,,123100000.0,30400000.0,1685600000.0,,,27636200000.0,11635900000.0,-155500000.0,2908433735.0,12884400000.0,,-568400000.0,,,,,,,345500000.0,,790600000.0,1283300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-1204000000.0,1010100000.0,10750100000.0,0.344,,,,1264100000.0,40865400000.0,,,,,,1103800000.0,,24839200000.0,,,-1184100000.0,,,,,2886000000.0,2142500000.0,,1103800000.0,,,,,1211200000.0,1677700000.0,2624600000.0,,12052100000.0,,28431000000.0,-811100000.0,,,,0.0,,,1103800000.0,0.35,0.0,54600000.0,1302000000.0,,,,,1010100000.0,,,88300000.0,,12053000000.0,0.0,1211200000.0,,,,0.0,-281700000.0,-2037400000.0,,,,-6867700000.0,,,600800000.0,,,,,,,152300000.0,-309600000.0,1511300000.0,,,28812400000.0,10774800000.0,-811100000.0,2936337209.0,14676700000.0,,-1092800000.0,,,,,,-1140000000.0,300100000.0,3141200000.0,631200000.0,1111800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
