date,trailingBeginningCashPosition,annualInterestExpense,quarterlyOtherCurrentAssets,trailingInterestExpense,trailingChangeInCashSupplementalAsReported,annualNetIncomeCommonStockholders,trailingOperatingExpense,annualGrossPPE,annualSellingGeneralAndAdministration,annualCurrentAssets,trailingCapitalExpenditure,annualOtherNonCurrentAssets,annualEbitda,quarterlyCapitalStock,trailingRepaymentOfDebt,quarterlyAccountsPayable,quarterlyStockholdersEquity,annualAccumulatedDepreciation,annualOtherIntangibleAssets,annualOtherCurrentLiabilities,trailingGrossProfit,annualCapitalExpenditure,annualChangeInCashSupplementalAsReported,trailingOperatingCashFlow,annualCapitalStock,trailingNetIncomeCommonStockholders,annualRepaymentOfDebt,quarterlyNonCurrentDeferredTaxesLiabilities,annualCurrentDebt,quarterlyAccumulatedDepreciation,trailingCostOfRevenue,annualInventory,trailingTaxProvision,annualStockBasedCompensation,annualTaxProvision,annualChangeInInventory,annualBasicAverageShares,annualNetOtherFinancingCharges,annualTotalNonCurrentAssets,annualGrossProfit,annualOtherNonCashItems,quarterlyNetPPE,quarterlyRetainedEarnings,trailingNetIncomeContinuousOperations,annualOtherCurrentAssets,annualFreeCashFlow,annualNonCurrentDeferredTaxesLiabilities,trailingFreeCashFlow,quarterlyGrossPPE,annualTotalLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyCurrentLiabilities,annualOperatingExpense,annualNetIncomeContinuousOperations,annualBeginningCashPosition,annualPurchaseOfBusiness,annualCostOfRevenue,trailingSellingGeneralAndAdministration,trailingPretaxIncome,annualCashDividendsPaid,annualLongTermDebt,annualNetIncome,trailingNetIncome,annualGoodwill,quarterlyTotalAssets,quarterlyAccountsReceivable,annualTotalAssets,annualPretaxIncome,trailingInvestingCashFlow,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,trailingNetOtherInvestingChanges,quarterlyOtherNonCurrentLiabilities,annualChangeInWorkingCapital,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualStockholdersEquity,annualCommonStockIssuance,annualSaleOfInvestment,annualOtherShortTermInvestments,annualDepreciationAndAmortization,quarterlyGoodwill,annualInvestingCashFlow,annualRetainedEarnings,annualDilutedAverageShares,annualPurchaseOfInvestment,quarterlyInventory,annualAccountsReceivable,annualTotalRevenue,quarterlyLongTermDebt,annualEndCashPosition,trailingTotalRevenue,trailingOperatingIncome,trailingEndCashPosition,annualOperatingIncome,annualAccountsPayable,annualBasicEPS,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualDilutedEPS,annualCurrentLiabilities,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,annualOperatingCashFlow,quarterlyCashAndCashEquivalents,annualNetPPE,annualRepurchaseOfCapitalStock,quarterlyOtherNonCurrentAssets,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIntangibleAssets,annualCashAndCashEquivalents,quarterlyTotalNonCurrentAssets,annualNetOtherInvestingChanges,annualOtherNonCurrentLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyCostOfRevenue,annualChangesInAccountReceivables,quarterlyOtherNonCashItems,annualCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlyGrossProfit,trailingPurchaseOfInvestment,quarterlySellingGeneralAndAdministration,trailingSaleOfInvestment,quarterlyNetOtherInvestingChanges,trailingNetOtherFinancingCharges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,annualResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,trailingBasicEPS,trailingChangeInInventory,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,trailingChangeInAccountPayable,quarterlyPretaxIncome,trailingRepurchaseOfCapitalStock,trailingCashDividendsPaid,annualOtherIncomeExpense,quarterlyInterestExpense,quarterlyResearchAndDevelopment,trailingChangesInAccountReceivables,quarterlyTaxProvision,quarterlyEbitda,trailingDilutedAverageShares,trailingCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,trailingCommonStockIssuance,quarterlyIncomeTaxPayable,trailingDepreciationAndAmortization,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,trailingOtherIncomeExpense,quarterlyCashFlowFromContinuingFinancingActivities,annualNonCurrentDeferredRevenue,annualCurrentAccruedExpenses,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,trailingDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,annualIncomeTaxPayable,quarterlyCashDividendsPaid,trailingBasicAverageShares,trailingOtherNonCashItems,annualDeferredIncomeTax,trailingPurchaseOfBusiness,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,trailingDilutedEPS,quarterlyOperatingExpense,trailingResearchAndDevelopment,quarterlyOperatingIncome,trailingChangeInWorkingCapital,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,trailingStockBasedCompensation,quarterlyCurrentAccruedExpenses,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,annualInvestmentsAndAdvances,quarterlyTotalRevenue,annualCurrentDeferredRevenue
1970-01-01 00:00:01.561852800,2826729000.0,,,379484000.0,-1322030000.0,60076000.0,725979000.0,,92815000.0,415429000.0,-1162476000.0,0.0,160213000.0,,-12682376000.0,,,,12748000.0,0.0,1915864000.0,-108272000.0,-2931000.0,632182000.0,,209084000.0,-597157000.0,,167812000.0,,19021755000.0,163356000.0,119107000.0,,4841000.0,32712000.0,3265000000.0,998000.0,734344000.0,187480000.0,111268000.0,,,287287000.0,0.0,82313000.0,,-530294000.0,,325382000.0,,,106584000.0,59750000.0,91320000.0,,494606000.0,781125000.0,406394000.0,-43401000.0,0.0,60076000.0,209084000.0,,,,1149773000.0,64591000.0,-1326272000.0,,,12136000.0,,27674000.0,,823801000.0,,,,79317000.0,,-111072000.0,,3313014706.0,0.0,,,682086000.0,,88261000.0,20937619000.0,1189885000.0,1504699000.0,80896000.0,62522000.0,0.0184,32612000.0,0.018133,292770000.0,,,190585000.0,,716887000.0,,,96490000.0,,96490000.0,,-2993000.0,-1180000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98213000.0,,,101918000.0,543820000.0,,0.0,200221000.0,,,,,,7952000.0,0.0,,-68983000.0,106450000.0,,,,-545364000.0,,147623000.0,,,164387000.0,,,12941000.0,-1031000.0,3333020362.0,-10021000.0,709285000.0,243665000.0,142293000.0,,,,1174000.0,152234000.0,,,,370214000.0,,,122368000.0,98213000.0,88261000.0,,613421000.0,,,-39983000.0,56440000.0,98213000.0,,,,,1253105000.0,111154000.0,,,,,,23565000.0,,882301000.0,,,,78924000.0,,-72030000.0,,3363458904.0,-500000.0,,,857086000.0,,195826000.0,,,,121297000.0,104894000.0,0.029467,63572000.0,0.0292,306642000.0,,,221217000.0,,700713000.0,,,196506000.0,,196506000.0,,-2674000.0,-1180000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,192649000.0,,,131717000.0,868615000.0,,0.0,330356000.0,,,,,,39152000.0,0.0,,-242818000.0,-31539000.0,,,,-201217000.0,,283268000.0,,,291095000.0,,,41731000.0,-126708000.0,3329187788.0,-9665000.0,862464000.0,406377000.0,58476000.0,,,,2380000.0,-97318000.0,16892000.0,,,735847000.0,,,163045000.0,192649000.0,195826000.0,,993521000.0,,,-62196000.0,81250000.0,192649000.0,,531000.0,,,1731079000.0,234380000.0,,,,,,-166845000.0,,995232000.0,,,,87024000.0,,-234408000.0,,3431989311.0,0.0,,,1399898000.0,,164556000.0,,,,243332000.0,300441000.0,0.057867,108813000.0,0.056133,627034000.0,,,145500000.0,,821557000.0,,,164556000.0,,164556000.0,,8400000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,526501000.0,,,153089000.0,1476756000.0,,0.0,734555000.0,,,,,,28796000.0,0.0,,-187448000.0,311141000.0,,,,-593852000.0,,194671000.0,,,445500000.0,,,81457000.0,-154405000.0,3346404661.0,-14201000.0,932191000.0,791023000.0,480769000.0,,,,1071000.0,405860000.0,19370000.0,,,1001008000.0,,,169007000.0,526501000.0,164556000.0,,2615969000.0,,,-130421000.0,218029000.0,526501000.0,,413000.0,,,2408947000.0,607958000.0,,,,,,-90835000.0,,1407939000.0,16315000.0,,,112539000.0,,-191234000.0,,3494475664.0,-7800000.0,,,3406992000.0,,476012000.0,,,,622016000.0,508463000.0,0.157333,242712000.0,0.150667,758296000.0,,,593308000.0,,893897000.0,,,476388000.0,,476388000.0,,3914000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,702048000.0,,,164459000.0,2156553000.0,,158859000.0,983036000.0,,,,,,19402000.0,0.0,,-435172000.0,371132000.0,,,,-246865000.0,,181937000.0,,,549994000.0,,,139457000.0,-101065000.0,3419064935.0,-19683000.0,1271627000.0,1086360000.0,921140000.0,,,,2903000.0,634872000.0,38150000.0,,,1490135000.0,,,252228000.0,702048000.0,476012000.0,,3487719000.0,,,-209954000.0,249559000.0,702048000.0,,413000.0,,,3428180000.0,841505000.0,,,,,,115124000.0,,1938045000.0,14219000.0,,,148904000.0,,-492027000.0,,3510240000.0,0.0,,,4574079000.0,,848436000.0,,,,834132000.0,921761000.0,0.205333,287709000.0,0.2,1202426000.0,,,1070044000.0,,1091452000.0,,,848436000.0,,848436000.0,,-56855000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,532046000.0,,,218062000.0,2138552000.0,,526327000.0,781293000.0,,,,,,13355000.0,0.0,,-465034000.0,168132000.0,,,,-138486000.0,,566696000.0,,,519078000.0,,,119137000.0,53465000.0,3469865217.0,-35766000.0,1955989000.0,899886000.0,709890000.0,,,,2950000.0,417991000.0,38905000.0,,,1728539000.0,,,291728000.0,532046000.0,848436000.0,,3623940000.0,,,-222266000.0,207844000.0,532046000.0,,413000.0,,,4094541000.0,651183000.0,,,,,,193610000.0,,2366002000.0,22251000.0,,,173135000.0,,-822156000.0,,3531278761.0,-10500000.0,,,4523826000.0,,1018228000.0,,,,608158000.0,863786000.0,0.153333,246749000.0,0.150667,1481790000.0,,,883025000.0,,1403720000.0,,,1018228000.0,,1018228000.0,,-346622000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,702029000.0,,,307861000.0,2494450000.0,,159056000.0,1061318000.0,,,,,,22121000.0,0.0,,-1604422000.0,-465695000.0,,0.0,,-2250203000.0,,711324000.0,,,808007000.0,,,123294000.0,-214932000.0,3533703020.0,-57821000.0,3407594000.0,1105781000.0,761144000.0,,,,3245000.0,-706246000.0,34081000.0,,,2869713000.0,,,307861000.0,702029000.0,1018228000.0,,5387613000.0,,,-235343000.0,688059000.0,702029000.0,,413000.0,,,5902044000.0,825323000.0,,,,,,-126366000.0,,3032331000.0,19406000.0,,27016000.0,263398000.0,,-1702229000.0,,3606313356.0,0.0,,,6493394000.0,,553823000.0,,,,797920000.0,1418659000.0,0.198667,722140000.0,0.194667,2147573000.0,,,898176000.0,,3214313000.0,,,581492000.0,,554476000.0,,-97807000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,67015000.0,,,,261121000.0,,6045856000.0,379298000.0,2162918000.0,,-56997000.0,831001000.0,,,,,-1831827000.0,18307000.0,0.0,,-1342239000.0,124799000.0,,47288000.0,,-1965085000.0,,1992576000.0,,,708344000.0,,,77923000.0,139458000.0,3546044535.0,0.0,4397291000.0,695974000.0,2257000.0,,,,113994000.0,-291257000.0,29136000.0,,,3314104000.0,,,289901000.0,261135000.0,553823000.0,-324000.0,4973300000.0,,,-260046000.0,120569000.0,261121000.0,,413000.0,,,6560209000.0,339058000.0,,,,,,364008000.0,,3246043000.0,297000.0,,,424928000.0,,-1325382000.0,,3546044535.0,,,589203000.0,5669274000.0,,687389000.0,,,,406073000.0,1103723000.0,0.073333,149705000.0,0.073333,3164399000.0,,,1050982000.0,,4214029000.0,,,687915000.0,,687915000.0,,-7518000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,46643000.0,66158000.0,,,307333000.0,,6360577000.0,296752000.0,2294235000.0,,-33079000.0,830324000.0,47294000.0,,1050279000.0,3483992000.0,-2191705000.0,11417000.0,0.0,,-306250000.0,-184394000.0,,47294000.0,,-860132000.0,34897000.0,1963286000.0,-2191705000.0,,692870000.0,,,101113000.0,-9526000.0,3546707415.0,0.0,4365566000.0,828094000.0,10799000.0,4168872000.0,,,66158000.0,47079000.0,34897000.0,,6360577000.0,3175747000.0,2294235000.0,3066066000.0,373005000.0,307333000.0,687389000.0,0.0,4976090000.0,,,-85127000.0,74784000.0,307333000.0,,413000.0,6659801000.0,995377000.0,6659801000.0,408446000.0,,,0.0,,0.0,-449894000.0,109681000.0,3483992000.0,132000.0,,,375235000.0,413000.0,-331536000.0,,3548584200.0,,692870000.0,995377000.0,5804184000.0,74784000.0,503086000.0,,,,455089000.0,1050279000.0,0.086667,109681000.0,0.086667,3066066000.0,1963286000.0,503086000.0,353329000.0,503086000.0,4168872000.0,,-33079000.0,503086000.0,11417000.0,503086000.0,4365566000.0,-51207000.0,0.0,3175747000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,66266000.0,,,,,,,,,,,50322000.0,,807270000.0,3954409000.0,,,,,,,,,,,35270000.0,,,,,,,,,,,,,,4156726000.0,,,,,,,,,2282267000.0,2274867000.0,,,,,,,,,,,,,6613382000.0,915685000.0,,,,,0.0,,0.0,,384044000.0,,,,,,413000.0,,,,,721997000.0,,,348774000.0,,,,,,,,,,,1443834000.0,545186000.0,,545186000.0,,,-33133000.0,,8416000.0,,4331115000.0,,,2658911000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
