,timestamp,annualInterestExpense,annualChangesInAccountReceivables,annualBeginningCashPosition,trailingInterestExpense,annualBasicAverageShares,annualCurrentAssets,quarterlyOtherCurrentAssets,trailingChangesInAccountReceivables,trailingBeginningCashPosition,quarterlyChangesInAccountReceivables,trailingOperatingExpense,annualOtherNonCurrentAssets,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,quarterlyRepurchaseOfCapitalStock,trailingChangeInCashSupplementalAsReported,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlySaleOfInvestment,trailingCapitalExpenditure,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,annualGrossPPE,annualRepaymentOfDebt,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyGrossProfit,quarterlyAccountsPayable,trailingRepurchaseOfCapitalStock,annualCurrentAccruedExpenses,quarterlyOperatingExpense,trailingNetOtherFinancingCharges,trailingGrossProfit,annualOtherCurrentLiabilities,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares,trailingNetIncomeCommonStockholders,quarterlyCurrentDeferredRevenue,annualBasicEPS,quarterlyStockholdersEquity,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,annualCurrentDeferredRevenue,annualDilutedAverageShares,quarterlySellingGeneralAndAdministration,trailingResearchAndDevelopment,annualOtherCurrentAssets,annualTaxProvision,annualCostOfRevenue,quarterlyTaxProvision,annualCapitalStock,quarterlyNetPPE,annualStockBasedCompensation,quarterlyRepaymentOfDebt,trailingCostOfRevenue,annualCurrentDebt,annualTotalNonCurrentAssets,annualNetOtherFinancingCharges,quarterlyEbitda,annualResearchAndDevelopment,annualInventory,quarterlyOtherNonCashItems,trailingTaxProvision,quarterlyCommonStockIssuance,trailingDepreciationAndAmortization,annualGrossProfit,quarterlyStockBasedCompensation,quarterlyBasicEPS,annualChangeInWorkingCapital,quarterlyOperatingIncome,annualPurchaseOfBusiness,trailingNetIncomeContinuousOperations,quarterlyResearchAndDevelopment,annualTotalLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,annualNonCurrentDeferredTaxesLiabilities,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,annualFreeCashFlow,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,trailingPurchaseOfBusiness,quarterlyCurrentLiabilities,quarterlyGrossPPE,trailingSellingGeneralAndAdministration,quarterlyCurrentAssets,annualOperatingExpense,annualChangeInInventory,quarterlyTotalRevenue,trailingFreeCashFlow,annualDilutedEPS,annualNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyLongTermDebt,annualCashDividendsPaid,annualPretaxIncome,annualLongTermDebt,annualAccountsReceivable,trailingCashDividendsPaid,quarterlyOtherCurrentLiabilities,annualNonCurrentDeferredRevenue,annualNetIncome,annualGoodwill,annualTotalAssets,trailingNetIncome,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyOtherShortTermInvestments,quarterlyBasicAverageShares,quarterlyChangeInCashSupplementalAsReported,trailingInvestingCashFlow,quarterlyOtherNonCurrentLiabilities,annualOtherNonCashItems,trailingChangeInWorkingCapital,quarterlyInvestmentsAndAdvances,annualSaleOfInvestment,annualCommonStockIssuance,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualStockholdersEquity,quarterlyNetIncome,annualInvestingCashFlow,quarterlyGoodwill,quarterlyInventory,quarterlyNetIncomeContinuousOperations,quarterlyOtherIncomeExpense,trailingStockBasedCompensation,annualDepreciationAndAmortization,annualTotalRevenue,annualPurchaseOfInvestment,annualRetainedEarnings,quarterlyNonCurrentDeferredTaxesLiabilities,trailingOperatingCashFlow,annualCashFlowFromContinuingFinancingActivities,trailingOperatingIncome,quarterlyNetIncomeCommonStockholders,trailingOtherIncomeExpense,quarterlyInvestingCashFlow,trailingTotalRevenue,annualEndCashPosition,quarterlyEndCashPosition,quarterlyPurchaseOfInvestment,quarterlyCashDividendsPaid,annualNetPPE,annualOperatingIncome,annualOtherShortTermInvestments,annualOtherIntangibleAssets,annualOtherIncomeExpense,trailingEndCashPosition,quarterlyDepreciationAndAmortization,annualOperatingCashFlow,quarterlyCashAndCashEquivalents,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCashFlowFromContinuingFinancingActivities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,annualChangeInAccountPayable,annualAccountsPayable,quarterlyCurrentDebt,annualCurrentLiabilities,annualEbitda,quarterlyNetOtherFinancingCharges,annualRepurchaseOfCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,annualInvestmentsAndAdvances,quarterlyDilutedEPS,annualOtherNonCurrentLiabilities,quarterlyOtherIntangibleAssets,annualGainsLossesNotAffectingRetainedEarnings,annualCashCashEquivalentsAndMarketableSecurities,trailingPretaxIncome,annualNetOtherInvestingChanges,quarterlyOtherNonCurrentAssets,annualCashAndCashEquivalents,trailingChangeInAccountPayable,trailingOtherNonCashItems,quarterlyIncomeTaxPayable,trailingBasicAverageShares,annualIncomeTaxPayable,trailingDeferredIncomeTax,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,trailingSaleOfInvestment,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingRepaymentOfDebt,trailingPurchaseOfInvestment,trailingDilutedAverageShares,trailingCommonStockIssuance,trailingChangeInInventory,quarterlyChangeInInventory,trailingBasicEPS
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,315446400,140500000.0,,0.0,,2334341085.0,10850800000.0,,,,,,1486200000.0,,3011300000.0,,,,,,-10551200000.0,9205300000.0,22744200000.0,,,,,,,,,,,5512200000.0,,,,,1.29,,,,,2334341085.0,,,566500000.0,2542000000.0,6442700000.0,,,,,,,932700000.0,13679200000.0,,,,1841800000.0,,,,,16420100000.0,,,,,,,,9568800000.0,,,,,0.0,,,,,,,,11175500000.0,,,,1.29,3011300000.0,,,,,,,5553300000.0,1589400000.0,,,,,3011300000.0,,24530000000.0,,,,,,,,,,,,,,,,,,14961200000.0,,0.0,,,,,,,22862800000.0,,11012000000.0,,,,,,,,,0.0,,,,12193000000.0,5244600000.0,,,449300000.0,,,0.0,,3123900000.0,,,,,,,6444900000.0,7214800000.0,,,,,,,1534500000.0,,,3771200000.0,,,,3771200000.0,,,,,,,,,,,,,,,,,,
2,347068800,273000000.0,,0.0,,2328104575.0,9925000000.0,,,,,,1761000000.0,,3562000000.0,,,,,,-11353000000.0,10324000000.0,26370000000.0,,,,,,,,,,,5935000000.0,,,,,1.53,,,,,2328104575.0,,,643000000.0,2335000000.0,7787000000.0,,,,,,,591000000.0,16778000000.0,,,,2293000000.0,,,,,18426000000.0,,,,,,,,10250000000.0,,,,,0.0,,,,,,,,12686000000.0,,,,1.53,3562000000.0,,,,,,,5897000000.0,2099000000.0,,,,,3562000000.0,,26703000000.0,,,,,,,,,,,,,,,,,,16453000000.0,,0.0,,,,,,,26213000000.0,,12491000000.0,,,,,,,,,0.0,,,,15017000000.0,5740000000.0,,,430000000.0,,,0.0,,3724000000.0,,,,,,,6526000000.0,8102000000.0,,,,,,,1625000000.0,,,2112000000.0,,,,2112000000.0,,,,,,,,,,,,,,,,,,
3,378604800,407000000.0,,0.0,,2344155844.0,10309000000.0,,,,,,2001000000.0,,3610000000.0,,,,,,-12504000000.0,11034000000.0,29301000000.0,,,,,,,,,,,6553000000.0,,,,,1.54,,,,,2344155844.0,,,685000000.0,2650000000.0,8560000000.0,,,,,,,773000000.0,18798000000.0,,,,2803000000.0,,,,,20510000000.0,,,,,,,,11431000000.0,,,,,0.0,,,,,,,,14211000000.0,,,,1.54,3610000000.0,,,,,,,6260000000.0,2669000000.0,,,,,3610000000.0,,29107000000.0,,,,,,,,,,,,,,,,,,17676000000.0,,0.0,,,,,,,29070000000.0,,13909000000.0,,,,,,,,,0.0,,,,16797000000.0,6299000000.0,,,368000000.0,,,0.0,,4105000000.0,,,,,,,7326000000.0,9476000000.0,,,,,,,1436000000.0,,,2029000000.0,,,,2029000000.0,,,,,,,,,,,,,,,,,,
4,410140800,454000000.0,,0.0,,2383243243.0,13014000000.0,,,,,,1964000000.0,,4409000000.0,,,,,,-13204000000.0,12328000000.0,30767000000.0,,,,,,,,,,,7680000000.0,,,,,1.85,,,,,2383243243.0,,,789000000.0,3813000000.0,10126000000.0,,,,,,,529000000.0,19527000000.0,,,,3492000000.0,,,,,24238000000.0,,,,,,,,12581000000.0,,323000000.0,,,0.0,,,,,,,,15890000000.0,,,,1.85,4409000000.0,,,,,,,8222000000.0,2851000000.0,,,,,4409000000.0,,32541000000.0,,,,,,,,,,,,,,,,,,19960000000.0,,0.0,,,,,,,34364000000.0,,16259000000.0,,,,,,,,,0.0,,,,17563000000.0,8348000000.0,,,328000000.0,,,0.0,,4372000000.0,,,,,,,8209000000.0,11910000000.0,,,,,,,1198000000.0,,,3300000000.0,,,,3300000000.0,,,,,,,,,,,,,,,,,,
5,441676800,390000000.0,,0.0,,2426991150.0,17270000000.0,,,,,,3831000000.0,,5485000000.0,,,,,,-13045000000.0,14196000000.0,29187000000.0,,,,,,,,,,,8975000000.0,,,,,2.26,,,,,2426991150.0,,,973000000.0,4455000000.0,12768000000.0,,,,,,,532000000.0,19973000000.0,,,,4381000000.0,,,,,27412000000.0,,,,,,,,14024000000.0,,713000000.0,,,0.0,,,,,,,,17823000000.0,,,,2.26,5485000000.0,,,,,,,9940000000.0,2674000000.0,,,,,5485000000.0,,37243000000.0,,,,,,,,,,,,,,,,,,23219000000.0,,0.0,,,,,,,40180000000.0,,19489000000.0,,,,,,,,,0.0,,,,16142000000.0,9589000000.0,,,741000000.0,,,0.0,,4517000000.0,,,,,,,9507000000.0,13216000000.0,,,,,,,1130000000.0,,,5536000000.0,,,,5536000000.0,,,,,,,,,,,,,,,,,,
6,449539200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2333344000.0,,,,,,,,,,,,,,,,,,,,,,,9585000000.0,,,,,,,,,0.5,,9585000000.0,,,,,,,,,,,,,,,,,,,9585000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,2333344000.0,,,,,,,,,,,,,,,1202000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
7,457401600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2444816000.0,,,,,,,,,,,,,,,,,,,,,,,11199000000.0,,,,,,,,,0.67,,11199000000.0,,,,,,,,,,,,,,,,,,,11199000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,2444816000.0,,,,,,,,,,,,,,,1623000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,
8,465350400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2443336000.0,,,,,,,,,,,,,,,,,,,,,,,10657000000.0,,,,,,,,,0.65,,10657000000.0,,,,,,,,,,,,,,,,,,,10657000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,2443336000.0,,,,,,,,,,,,,,,1585000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,
9,473299200,408000000.0,,0.0,,2437777778.0,20375000000.0,1304000000.0,,,,,6070000000.0,,6582000000.0,,,,,,-9635000000.0,15787000000.0,25998000000.0,,,,,,,,,,,8806000000.0,,,,,2.7,26489000000.0,,,,2437777778.0,,,1304000000.0,5041000000.0,15932000000.0,,,16363000000.0,,,,834000000.0,22433000000.0,,-20210000000.0,,6598000000.0,,,,,30005000000.0,,,,-20210000000.0,,,,16319000000.0,23486000000.0,2057000000.0,,,0.0,,,,9640000000.0,25998000000.0,,20375000000.0,18774000000.0,,14496000000.0,,2.7,6582000000.0,,-9635000000.0,,,3269000000.0,,11623000000.0,3269000000.0,,,8806000000.0,,6582000000.0,,42808000000.0,,22433000000.0,42808000000.0,,,,,,,,1353000000.0,,,,,,6679000000.0,26489000000.0,,0.0,,6598000000.0,2172000000.0,,,,45937000000.0,,23486000000.0,2057000000.0,,,,,,,,0.0,,,,16363000000.0,11231000000.0,,,800000000.0,,,0.0,4362000000.0,6679000000.0,,4362000000.0,,,,834000000.0,9640000000.0,14218000000.0,,,16319000000.0,,,,1353000000.0,,,4362000000.0,,,6070000000.0,4362000000.0,,,,,,,,,,,,,,,,,,
