,quarterlyAccumulatedDepreciation,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,annualOperatingCashFlow,annualInventory,annualCashFlowFromContinuingFinancingActivities,annualBasicAverageShares,annualCurrentLiabilities,annualChangeInInventory,annualGrossProfit,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIncomeExpense,annualTotalNonCurrentAssets,annualNetPPE,trailingRepaymentOfDebt,quarterlyNetPPE,quarterlyOtherNonCurrentAssets,quarterlyCapitalStock,annualOtherNonCashItems,annualNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDebt,annualIncomeTaxPayable,annualBasicEPS,quarterlyOtherIntangibleAssets,annualOtherNonCurrentLiabilities,annualPurchaseOfBusiness,annualInterestExpense,quarterlyOtherCurrentLiabilities,annualChangesInAccountReceivables,trailingBeginningCashPosition,annualPurchaseOfInvestment,annualPretaxIncome,trailingInvestingCashFlow,trailingInterestExpense,quarterlyIncomeTaxPayable,annualInvestingCashFlow,quarterlyGrossPPE,trailingNetIncome,annualGrossPPE,trailingChangeInCashSupplementalAsReported,annualDilutedAverageShares,annualNonCurrentDeferredRevenue,trailingCapitalExpenditure,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,trailingOperatingExpense,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingPurchaseOfInvestment,annualChangeInWorkingCapital,trailingNetIncomeContinuousOperations,quarterlyOtherShortTermInvestments,annualRepaymentOfDebt,trailingNetOtherFinancingCharges,annualAccumulatedDepreciation,annualOtherCurrentLiabilities,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,trailingGrossProfit,annualCapitalExpenditure,annualDilutedEPS,annualGoodwill,annualTotalRevenue,annualCapitalStock,trailingTotalRevenue,trailingCostOfRevenue,annualCurrentDeferredRevenue,annualCurrentDebt,annualEndCashPosition,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccountsPayable,trailingEndCashPosition,annualChangeInAccountPayable,annualTaxProvision,trailingTaxProvision,quarterlyCurrentAssets,quarterlyCurrentLiabilities,trailingFreeCashFlow,annualOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingIncome,quarterlyRetainedEarnings,annualNetIncomeContinuousOperations,annualInvestmentsAndAdvances,annualTotalLiabilitiesNetMinorityInterest,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,quarterlyTotalNonCurrentAssets,trailingSellingGeneralAndAdministration,annualGainsLossesNotAffectingRetainedEarnings,annualOperatingExpense,annualFreeCashFlow,trailingOperatingIncome,annualNetIncome,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalAssets,annualCostOfRevenue,annualBeginningCashPosition,annualLongTermDebt,annualCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,annualCashDividendsPaid,trailingPretaxIncome,annualSellingGeneralAndAdministration,annualTotalAssets,annualOtherNonCurrentAssets,quarterlyOtherCurrentAssets,annualStockholdersEquity,annualEbitda,quarterlyStockholdersEquity,trailingNetOtherInvestingChanges,annualSaleOfInvestment,trailingNetIncomeCommonStockholders,annualDepreciationAndAmortization,quarterlyCurrentAccruedExpenses,annualNetIncomeCommonStockholders,quarterlyGoodwill,trailingSaleOfInvestment,annualOtherIntangibleAssets,quarterlyAccountsReceivable,annualCurrentAccruedExpenses,annualRetainedEarnings,annualOtherShortTermInvestments,annualCommonStockIssuance,quarterlyCurrentDeferredRevenue,quarterlyInvestmentsAndAdvances,trailingOperatingCashFlow,annualAccountsReceivable,quarterlyInventory,trailingRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,trailingDeferredIncomeTax,quarterlyNetIncome,annualDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingChangeInAccountPayable,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,annualStockBasedCompensation,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,trailingOtherNonCashItems,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,trailingBasicEPS,quarterlyCashDividendsPaid,trailingBasicAverageShares,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,trailingCashDividendsPaid,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,annualRepurchaseOfCapitalStock,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,trailingCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,quarterlyEndCashPosition,trailingChangeInInventory,trailingPurchaseOfBusiness,quarterlyCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,trailingDilutedEPS,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,trailingResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,trailingDepreciationAndAmortization,quarterlyGrossProfit,trailingOtherIncomeExpense,quarterlyEbitda,annualResearchAndDevelopment,quarterlyChangeInInventory,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946598400,,,,,85360000.0,98044000.0,,660000000.0,141705000.0,,140561000.0,15806000.0,,65881000.0,65881000.0,,,,,,,,,0.058333,,0.0,,,,,,,57102000.0,,,,-10724000.0,,,124561000.0,,660000000.0,,,,,,,,,,,-53700000.0,,-58680000.0,10513000.0,-76238000.0,-9902000.0,,,0.058333,,308068000.0,0.0,,,,45400000.0,15806000.0,0.0,31924000.0,,,18844000.0,,,,,0.0,,60136000.0,,38258000.0,,141705000.0,15806000.0,-11457000.0,,,,80425000.0,85360000.0,,38258000.0,,,167507000.0,25708000.0,,157548000.0,,,,,80425000.0,223429000.0,0.0,,81724000.0,60136000.0,,,,,,,38258000.0,,,,,,,,0.0,,,,17991000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978220800,,,,,65795000.0,82066000.0,,737653332.0,122499000.0,,165481000.0,310958000.0,,82767000.0,82767000.0,,,,,,,,,0.073333,,0.0,,,,,,,66626000.0,,,,-6676000.0,,,169364000.0,,737653332.0,,,,,,,,,,,-111600000.0,,-86597000.0,37264000.0,-4338000.0,295152000.0,,,0.073333,,338699000.0,182800000.0,,,,45400000.0,310958000.0,0.0,25030000.0,,,12247000.0,,,,,0.0,,67790000.0,,54379000.0,,122499000.0,310958000.0,-9610000.0,,,,97691000.0,65795000.0,,54379000.0,,,173218000.0,15806000.0,,434836000.0,,,,,97691000.0,517603000.0,0.0,,395104000.0,67790000.0,,,,,,,54379000.0,,,,,,,,240371000.0,,,,38198000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009756800,,,,,164740000.0,83711000.0,,1096800000.0,149217000.0,,256324000.0,178565000.0,,127601000.0,95423000.0,,,,,,,,,0.091667,,0.0,,,,,,-6367000.0,92768000.0,,,,-255595000.0,,,,,1096800000.0,,,,,,,,,,,-85400000.0,,,47697000.0,-26138000.0,-132393000.0,,-24712000.0,0.091667,,497373000.0,182800000.0,,,,30000000.0,178565000.0,0.0,28069000.0,,,-6910000.0,,,,,208939000.0,,85327000.0,,99798000.0,,149217000.0,178565000.0,-235012000.0,,,,170997000.0,140028000.0,,99918000.0,,,241049000.0,310958000.0,,490260000.0,,,,,170997000.0,617861000.0,25754000.0,,456514000.0,85327000.0,,,,,,,99918000.0,,,,,,,,0.0,,,,7992000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041292800,,,,,95277000.0,232632000.0,,1096800000.0,228941000.0,,356200000.0,241863000.0,,245669000.0,198142000.0,,,,,,,,,0.135,,0.0,,,,,,0.0,148632000.0,,,,37861000.0,,,306423000.0,,1096800000.0,,,,,,,,,,,-30000000.0,,-108281000.0,59333000.0,-54840000.0,63298000.0,,-109196000.0,0.135,,662891000.0,182800000.0,,,,15000000.0,241863000.0,0.0,69393000.0,,,-953000.0,,,,,53373000.0,,144891000.0,,147234000.0,,228941000.0,241863000.0,142013000.0,,,,211309000.0,-13919000.0,,144883000.0,,,306691000.0,178565000.0,,546652000.0,,,,,211309000.0,792321000.0,37841000.0,,548899000.0,144891000.0,,,,,,,144883000.0,,,,,,,,,,,,6373000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072828800,,,,,132358000.0,271272000.0,,1096800000.0,229541000.0,,472099000.0,128130000.0,,316341000.0,276226000.0,,,,,,,,,0.158333,,0.0,,,,,,,193414000.0,,,,-174799000.0,,,400296000.0,,1096800000.0,,,,,,,,,,,0.0,,-124070000.0,36928000.0,-71292000.0,-113733000.0,,-97859000.0,0.158333,,864976000.0,182800000.0,,,,15000000.0,128130000.0,0.0,83304000.0,,,16493000.0,,,,,133213000.0,,190594000.0,,174343000.0,,229541000.0,128130000.0,-76949000.0,,,,281505000.0,34499000.0,,171765000.0,,,392877000.0,241863000.0,,582172000.0,,,,,281505000.0,898513000.0,34393000.0,,651913000.0,190594000.0,,,,,,,171765000.0,,,,,,,,,,,,28839000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104451200,,,,,167213000.0,459818000.0,,1096800000.0,428448000.0,,532356000.0,185930000.0,,445554000.0,403307000.0,,,,,,,,,0.186667,,,,,,,,,225422000.0,,,,-113672000.0,,,548640000.0,,1096800000.0,10974000.0,,,,,,,,,,-15000000.0,,-145333000.0,66486000.0,-55741000.0,57800000.0,,-152516000.0,0.186667,,983249000.0,182800000.0,,,,75000000.0,185930000.0,10974000.0,194360000.0,,,18162000.0,,,,,91478000.0,,229008000.0,,205607000.0,,439422000.0,185930000.0,38844000.0,,,,303348000.0,14697000.0,,203954000.0,,,450893000.0,128130000.0,,810769000.0,,,,,303348000.0,1256323000.0,36996000.0,,778706000.0,229008000.0,,,,,,,203954000.0,,,,,,,,,,,,64997000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135987200,,,,,164654000.0,479972000.0,,1096800000.0,440179000.0,,574791000.0,206203000.0,,577676000.0,513381000.0,,,,,,2035000.0,,,0.21,,,,6378000.0,,,,,251964000.0,,,,-93734000.0,,,513381000.0,,1096800000.0,12548000.0,,,,,,,,,,-75000000.0,,0.0,82754000.0,-60647000.0,20273000.0,,-135163000.0,0.21,,1135678000.0,182800000.0,,,,85000000.0,206203000.0,14583000.0,148630000.0,,,19469000.0,,,,,27829000.0,,258445000.0,,232495000.0,,454762000.0,206203000.0,40821000.0,,,,316346000.0,29491000.0,,231186000.0,,,560887000.0,185930000.0,,872422000.0,,,,,318173000.0,1450098000.0,3778000.0,,935691000.0,258342000.0,,,,,,,231186000.0,,,55330000.0,,,,,,,,,132975000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167523200,,,,,127391000.0,512213000.0,,1098718519.0,436111000.0,,457521000.0,203537000.0,,595424000.0,532384000.0,,,,,127391000.0,1572000.0,,,0.135,,11236000.0,,,,,,,171236000.0,,,,-47763000.0,,,,,1098718519.0,,,,,,,,,,,-85000000.0,,,80728000.0,3600000.0,-2666000.0,,-68799000.0,0.135,,1034768000.0,,,,,85000000.0,203537000.0,12808000.0,152408000.0,,,27780000.0,,,,,21605000.0,,173345000.0,,148327000.0,,448919000.0,203537000.0,19574000.0,,,,284176000.0,58592000.0,,143456000.0,,,577247000.0,206203000.0,,904717000.0,,,-85894000.0,,104295000.0,1500141000.0,4131000.0,,998254000.0,173345000.0,,,,,,,148327000.0,,,53798000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199059200,,,,,-42264000.0,636521000.0,,1141716000.0,313003000.0,,495802000.0,246096000.0,,557107000.0,502334000.0,,,,,,2501000.0,,,0.135,,,,4915000.0,,,,-74089000.0,179323000.0,,,,-78257000.0,,,598141000.0,,1141716000.0,12250000.0,,,,,,,,,,-155000000.0,,-95807000.0,0.0,4638000.0,-33173000.0,,-14318000.0,0.135,,1157030000.0,196000000.0,,,,15000000.0,161800000.0,14751000.0,205892000.0,,,25664000.0,,,,,0.0,,184663000.0,,153659000.0,,327754000.0,246096000.0,0.0,,,,311139000.0,-56582000.0,,153520000.0,,,661228000.0,203537000.0,,1190589000.0,,,-73709000.0,,311139000.0,1747696000.0,2267000.0,,1297068000.0,184238000.0,,,,,,,153520000.0,,,51114000.0,,,,,226419000.0,,,,277723000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
