date,trailingNetIncomeCommonStockholders,annualOtherNonCurrentLiabilities,annualEbitda,annualBasicEPS,quarterlyCapitalStock,trailingChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,annualRepaymentOfDebt,annualGrossPPE,quarterlyStockholdersEquity,annualChangeInCashSupplementalAsReported,quarterlyOtherIntangibleAssets,annualOtherIntangibleAssets,annualBasicAverageShares,annualInterestExpense,annualCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,trailingOperatingCashFlow,trailingCapitalExpenditure,annualCapitalExpenditure,trailingGrossProfit,annualTotalNonCurrentAssets,annualSellingGeneralAndAdministration,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingInterestExpense,annualOtherIncomeExpense,trailingRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,annualOtherNonCashItems,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,trailingNetIncomeContinuousOperations,annualAccumulatedDepreciation,trailingTaxProvision,annualInventory,annualOperatingExpense,annualNetOtherFinancingCharges,annualStockBasedCompensation,annualCurrentDebt,annualCostOfRevenue,quarterlyDilutedEPS,annualBeginningCashPosition,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,trailingSellingGeneralAndAdministration,annualGrossProfit,quarterlyRetainedEarnings,quarterlyNetPPE,annualNonCurrentDeferredTaxesLiabilities,trailingNetIncome,annualChangeInInventory,annualTotalLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,trailingFreeCashFlow,quarterlyGrossPPE,trailingOperatingExpense,trailingPurchaseOfBusiness,trailingBeginningCashPosition,quarterlyCurrentLiabilities,trailingCostOfRevenue,trailingNetOtherInvestingChanges,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,quarterlyGoodwill,annualNetOtherInvestingChanges,annualRetainedEarnings,quarterlyTotalAssets,annualCommonStockIssuance,annualFreeCashFlow,annualGoodwill,annualOtherShortTermInvestments,quarterlyAccountsReceivable,annualPretaxIncome,annualNetIncome,quarterlyTotalNonCurrentAssets,annualCashDividendsPaid,annualOtherCurrentAssets,trailingOperatingIncome,annualPurchaseOfInvestment,annualAccountsReceivable,quarterlyLongTermDebt,annualTotalRevenue,trailingCommonStockIssuance,annualInvestingCashFlow,annualAccountsPayable,trailingInvestingCashFlow,quarterlyOtherNonCurrentLiabilities,annualTotalAssets,trailingSaleOfInvestment,annualTaxProvision,trailingPurchaseOfInvestment,annualOperatingIncome,annualEndCashPosition,annualLongTermDebt,annualStockholdersEquity,trailingTotalRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualDepreciationAndAmortization,quarterlyBasicEPS,quarterlyOtherNonCurrentAssets,annualDilutedAverageShares,annualCashAndCashEquivalents,annualCurrentLiabilities,quarterlyCurrentDebt,trailingRepurchaseOfCapitalStock,annualSaleOfInvestment,quarterlyInventory,quarterlyTotalLiabilitiesNetMinorityInterest,trailingEndCashPosition,quarterlyInvestmentsAndAdvances,annualInvestmentsAndAdvances,annualDilutedEPS,annualOperatingCashFlow,annualCurrentAssets,annualNetPPE,annualOtherNonCurrentAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingPretaxIncome,annualCashCashEquivalentsAndMarketableSecurities,annualRepurchaseOfCapitalStock,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,trailingDilutedEPS,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,annualCashFlowFromContinuingFinancingActivities,quarterlyFreeCashFlow,quarterlyChangeInWorkingCapital,trailingDilutedAverageShares,quarterlyStockBasedCompensation,quarterlyCurrentDeferredRevenue,quarterlyOperatingCashFlow,quarterlyNetOtherFinancingCharges,trailingStockBasedCompensation,trailingCashDividendsPaid,quarterlyInvestingCashFlow,trailingNetOtherFinancingCharges,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingExpense,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyChangeInCashSupplementalAsReported,annualCurrentAccruedExpenses,quarterlyOtherNonCashItems,quarterlyChangesInAccountReceivables,quarterlyCostOfRevenue,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,annualDeferredIncomeTax,quarterlyOtherIncomeExpense,quarterlyDeferredIncomeTax,trailingChangesInAccountReceivables,trailingChangeInWorkingCapital,trailingChangeInInventory,annualNonCurrentDeferredRevenue,quarterlyCashDividendsPaid,quarterlyTotalRevenue,quarterlyNetIncome,quarterlyTaxProvision,quarterlyChangeInInventory,annualChangesInAccountReceivables,annualGainsLossesNotAffectingRetainedEarnings,trailingBasicEPS,annualChangeInAccountPayable,quarterlyEndCashPosition,quarterlyOperatingIncome,quarterlyChangeInAccountPayable,trailingOtherIncomeExpense,quarterlyEbitda,quarterlyResearchAndDevelopment,quarterlyCurrentAccruedExpenses,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,trailingChangeInAccountPayable,annualIncomeTaxPayable,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,annualResearchAndDevelopment,quarterlyIncomeTaxPayable,annualCurrentDeferredRevenue,quarterlyGrossProfit,trailingBasicAverageShares,quarterlyDepreciationAndAmortization,quarterlyRepaymentOfDebt,trailingDeferredIncomeTax,trailingDepreciationAndAmortization,trailingResearchAndDevelopment,quarterlyNetOtherInvestingChanges,trailingOtherNonCashItems,quarterlyDilutedAverageShares
1970-01-01 00:00:01.561852800,4354050000.0,2132000.0,288448000.0,0.107,,1476599000.0,88944000.0,235835000.0,-413768000.0,877251000.0,,65784000.0,,,2205124000.0,1456000.0,30010000.0,,,,3967057000.0,-2381490000.0,-529348000.0,5646379000.0,917385000.0,147283000.0,,259383000.0,,-6151493000.0,,,15590000.0,,236964000.0,4361075000.0,-120612000.0,631317000.0,164177000.0,122106000.0,-94398000.0,,441805000.0,654781000.0,,154828000.0,,,2592907000.0,373553000.0,,,461000.0,4354050000.0,-24149000.0,808860000.0,,1585567000.0,,2180632000.0,-945625000.0,4254998000.0,,10070213000.0,-146527000.0,,-51845000.0,,0.0,702253000.0,,30000000.0,-322580000.0,,,,251641000.0,235835000.0,,-51197000.0,24618000.0,3465747000.0,-472000.0,227759000.0,,1028334000.0,81509000.0,-525764000.0,63298000.0,-1976798000.0,,1607978000.0,198407000.0,14677000.0,-499758000.0,251447000.0,223709000.0,160303000.0,796986000.0,15716592000.0,,35351000.0,,,2205124000.0,223709000.0,648096000.0,,-49701000.0,,,,5731597000.0,,,0.107,206768000.0,690593000.0,756639000.0,158067000.0,160764000.0,4992392000.0,223709000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2517000.0,337927000.0,0.0865,,,150865000.0,260114000.0,-554338000.0,1559551000.0,,-99677000.0,,,3006016000.0,2614000.0,824975000.0,,,,,,-735760000.0,,1629767000.0,219453000.0,,,,,,,18894000.0,,260394000.0,,-175413000.0,,235215000.0,200722000.0,13541000.0,,208340000.0,901749000.0,,223709000.0,,,,479028000.0,,,110000.0,,-71038000.0,650956000.0,,,,,,,,,,,-83535000.0,,-5769000.0,800094000.0,,794965000.0,-508022000.0,,,,279880000.0,260114000.0,,-123435000.0,11108000.0,,0.0,303009000.0,,1380777000.0,,-744098000.0,71378000.0,,,2401035000.0,,19486000.0,,278306000.0,129779000.0,125583000.0,1747562000.0,,,55433000.0,,,3006016000.0,129779000.0,525263000.0,,,,,,,,,0.0865,227738000.0,771268000.0,1384138000.0,232385000.0,125693000.0,,129779000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-3414000.0,410405000.0,0.123,,,334667000.0,388235000.0,-28339000.0,,,20632000.0,,128539000.0,3156382114.0,11533000.0,0.0,,,,,,-455689000.0,,2055773000.0,321892000.0,,,-563000.0,,,,,-2826000.0,388235000.0,,,,371081000.0,289787000.0,1270000.0,,334667000.0,1232981000.0,,129779000.0,,,,700192000.0,,,0.0,,,995287000.0,,,,,,,,,,,,,3145000.0,998327000.0,,186295000.0,-90066000.0,,15231000.0,,401793000.0,385812000.0,,-143745000.0,630160000.0,,-39642000.0,61222000.0,,1933173000.0,,-469472000.0,1165000.0,,,3245024000.0,,15981000.0,,410405000.0,162330000.0,79917000.0,2248030000.0,,,,,,3156382114.0,172779000.0,918784000.0,,,23875000.0,,,,,12432000.0,0.123,365623000.0,1189251000.0,1790017000.0,121109000.0,76503000.0,,188010000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,260392000.0,726208000.0,0.2055,,,423608000.0,670860000.0,-779625000.0,,,116995000.0,,228264000.0,3264525547.0,33762000.0,0.0,,,,,,-1354492000.0,,3811385000.0,421517000.0,,,1703000.0,,,,,-153777000.0,670860000.0,,,,510690000.0,346147000.0,3745000.0,,423608000.0,1702269000.0,,162330000.0,,,,1072355000.0,,,331000.0,,,1325007000.0,,,,,,,,,,,,,11708000.0,1345363000.0,,1309731000.0,-914447000.0,,0.0,,703166000.0,673001000.0,,-256746000.0,732246000.0,,-153309000.0,57524000.0,,2774624000.0,,-1429829000.0,609000.0,,,5370529000.0,,30165000.0,,726208000.0,309506000.0,259949000.0,4045079000.0,,,,,,3272487805.0,316208000.0,1064727000.0,,,199572000.0,,,,,11906000.0,0.205,440045000.0,1559144000.0,3278361000.0,292854000.0,260280000.0,,316208000.0,-75370000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,443000.0,1003053000.0,0.2095,,,0.0,709232000.0,-1066980000.0,3691163000.0,,142982000.0,,228264000.0,3384260000.0,24029000.0,172344000.0,,,,,,-866749000.0,,3811385000.0,527432000.0,,,,,,,767785000.0,-90341000.0,710798000.0,,-422262000.0,,510690000.0,443185000.0,18323000.0,13075000.0,423608000.0,2683403000.0,,309506000.0,,,,1210880000.0,,,331000.0,,-86234000.0,1325007000.0,,,,,,,,,,,242553000.0,,-3930000.0,168683000.0,,6236000.0,300905000.0,,6702000.0,,753054000.0,709232000.0,,-354658000.0,0.0,,-19799000.0,674722000.0,,3894283000.0,,-951689000.0,626339000.0,,,5370529000.0,,42256000.0,,767695000.0,435712000.0,259949000.0,4045079000.0,,,225970000.0,,,3393454545.0,309506000.0,1064727000.0,,,12484000.0,,,,,,0.209,1167654000.0,1559144000.0,3268901000.0,0.0,260280000.0,,316208000.0,-251083000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.0,1102458000.0,0.223,177305000.0,,0.0,773526000.0,-1121640000.0,5709530000.0,5410514000.0,100504000.0,698084000.0,698084000.0,3469884000.0,15216000.0,177305000.0,557671000.0,531895000.0,5113000.0,,,-1364965000.0,,5903271000.0,591490000.0,,,,,0.0,1361779000.0,-17116000.0,,776605000.0,,-921681000.0,,678172000.0,629851000.0,-13974000.0,19171000.0,579745000.0,2496047000.0,,435712000.0,0.0,-921681000.0,,1461910000.0,2088327000.0,4787849000.0,5113000.0,,-60669000.0,2579113000.0,2106428000.0,,5709530000.0,,,,2051505000.0,,,25776000.0,198526000.0,61763000.0,-2863000.0,2088327000.0,8009699000.0,513588000.0,-42375000.0,61763000.0,25776000.0,843528000.0,823997000.0,773526000.0,5903271000.0,-258213000.0,0.0,,-35341000.0,843528000.0,522495000.0,3957957000.0,,-1359464000.0,1361779000.0,,0.0,8009699000.0,,47392000.0,,832059000.0,531895000.0,522495000.0,5410514000.0,,527608000.0,263245000.0,,0.0,3478718000.0,531895000.0,2051505000.0,579745000.0,,25112000.0,678172000.0,2579113000.0,,,,0.2225,1322590000.0,2106428000.0,4787849000.0,0.0,527608000.0,,557671000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,354172000.0,,,,,,5827869000.0,,94721000.0,,,,,388119000.0,387011000.0,5113000.0,,,,,,,,,,,0.0,1393804000.0,,,,,,,,,,,,,0.0,,0.0,,,,2467593000.0,6549891000.0,,,,,2481742000.0,,,,,,2331516000.0,,,1108000.0,,,,,9601475000.0,,,,,,,,7119733000.0,,,,,,1114657000.0,,,,,,303584000.0,,,,,,,,,,1423354000.0,,0.0,0.0,,,,788231000.0,,,799578000.0,3754870000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.0,2243349000.0,0.4443,351709000.0,,0.0,1571198000.0,-693065000.0,7893580000.0,6536267000.0,-15965000.0,992953000.0,992953000.0,3535864000.0,6839000.0,351709000.0,645113000.0,640259000.0,78637000.0,,,-2205511000.0,,8017200000.0,771083000.0,,,,,0.0,1507658000.0,-30307000.0,-6824000.0,1572412000.0,,-1407618000.0,,820345000.0,658695000.0,0.0,17723000.0,470523000.0,3809267000.0,,531895000.0,0.0,-1407618000.0,,2555047000.0,2969574000.0,6485962000.0,78637000.0,,-121893000.0,4460604000.0,2999298000.0,,7893580000.0,,,,2127992000.0,,,4854000.0,-741410000.0,,9721000.0,2969574000.0,11016498000.0,33392000.0,-855516000.0,,4854000.0,1533840000.0,1893138000.0,1571198000.0,8017200000.0,-548967000.0,0.0,,-87066000.0,1533840000.0,2253975000.0,6364314000.0,,-2282858000.0,1507658000.0,,0.0,11016498000.0,,320726000.0,,1896352000.0,564620000.0,2253975000.0,6536267000.0,,2332612000.0,343372000.0,,0.0,3570192000.0,640259000.0,2127992000.0,470523000.0,,25218000.0,820345000.0,4460604000.0,,,,0.4401,1349995000.0,2999298000.0,6485962000.0,0.0,2332612000.0,,645113000.0,-187310000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,363480000.0,,,,,,8008624000.0,,97941000.0,,,,,865425000.0,865425000.0,91632000.0,,,,,,,1415202000.0,,,,1096000.0,2240273000.0,,,,,,,,,,,,,0.0,,0.0,,,,,9439326000.0,,,,,4053083000.0,,,,,,3384615000.0,,,,,,,,14374679000.0,,,,,2206582000.0,,,10321596000.0,,,,,,2870218000.0,,,,,,0.0,,,,,,,,,,2961850000.0,,0.0,602000.0,,,,1019391000.0,,,976673000.0,6346465000.0,,15628000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,83259000.0,2004050000.0,0.3515,368332000.0,,0.0,1264853000.0,-778986000.0,11549559000.0,8507549000.0,12707000.0,1430631000.0,1430631000.0,3598422000.0,32468000.0,368332000.0,713748000.0,712964000.0,105754000.0,,,-3072732000.0,,11311044000.0,965260000.0,,,,,2469000.0,2166281000.0,25124000.0,-35953000.0,1263878000.0,,-1927980000.0,,1246127000.0,865915000.0,0.0,30460000.0,1104714000.0,5873001000.0,,564620000.0,0.0,-1927980000.0,,2353650000.0,3263621000.0,9621579000.0,105754000.0,,-385748000.0,6821231000.0,4035444000.0,,11549559000.0,,,,3418122000.0,,,784000.0,-462914000.0,,941000.0,3263621000.0,15346488000.0,860419000.0,-1769335000.0,,784000.0,2073100000.0,1526499000.0,1264853000.0,11311044000.0,-643536000.0,2469000.0,,-4533000.0,2073100000.0,3214096000.0,8226651000.0,,-3099946000.0,2166281000.0,,83259000.0,15346488000.0,,262621000.0,,1487735000.0,632792000.0,3214096000.0,8507549000.0,,3403109000.0,445083000.0,,0.0,3639823000.0,712964000.0,3418122000.0,1104714000.0,,0.0,1246127000.0,6821231000.0,,,,0.3475,1303397000.0,4035444000.0,9621579000.0,0.0,3403109000.0,,713748000.0,-259000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
