date,annualOtherNonCashItems,quarterlyInterestExpense,annualPurchaseOfBusiness,trailingDepreciationAndAmortization,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,annualStockholdersEquity,quarterlyCapitalExpenditure,quarterlyNetOtherFinancingCharges,trailingStockBasedCompensation,trailingPurchaseOfBusiness,annualDepreciationAndAmortization,annualIncomeTaxPayable,quarterlyBasicEPS,annualNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,quarterlyOtherIncomeExpense,annualStockBasedCompensation,trailingSaleOfInvestment,annualChangeInInventory,quarterlyNetIncome,annualInvestingCashFlow,quarterlyInventory,quarterlyNetIncomeContinuousOperations,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,annualPurchaseOfInvestment,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,annualCapitalStock,quarterlyOperatingCashFlow,trailingCashDividendsPaid,trailingPretaxIncome,quarterlyNetPPE,annualOtherIntangibleAssets,quarterlyPretaxIncome,trailingNetIncome,quarterlyPurchaseOfBusiness,annualGrossProfit,annualCurrentLiabilities,annualInventory,quarterlyTaxProvision,trailingChangeInInventory,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,annualOperatingCashFlow,annualEbitda,trailingNetOtherInvestingChanges,annualNetPPE,quarterlyOtherShortTermInvestments,quarterlyDilutedAverageShares,quarterlyFreeCashFlow,annualOtherNonCurrentLiabilities,annualBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualChangeInCashSupplementalAsReported,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,annualOtherCurrentLiabilities,annualNetOtherInvestingChanges,trailingChangeInWorkingCapital,annualTotalRevenue,annualGainsLossesNotAffectingRetainedEarnings,annualRepaymentOfDebt,trailingGrossProfit,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingTotalRevenue,trailingPurchaseOfInvestment,trailingOtherIncomeExpense,quarterlySaleOfInvestment,annualEndCashPosition,annualCashFlowFromContinuingFinancingActivities,trailingOperatingIncome,quarterlyNetIncomeCommonStockholders,annualPretaxIncome,trailingEndCashPosition,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyAccountsPayable,trailingCashFlowFromContinuingFinancingActivities,annualOperatingIncome,quarterlyGainsLossesNotAffectingRetainedEarnings,annualGrossPPE,quarterlyCapitalStock,annualOtherIncomeExpense,trailingInvestingCashFlow,annualAccountsPayable,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,trailingChangeInCashSupplementalAsReported,quarterlyOperatingIncome,trailingNetIncomeContinuousOperations,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyTotalRevenue,annualNetOtherFinancingCharges,annualInvestmentsAndAdvances,quarterlyEndCashPosition,trailingRepurchaseOfCapitalStock,annualCurrentAccruedExpenses,quarterlyGrossProfit,trailingNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,trailingDeferredIncomeTax,annualCapitalExpenditure,annualCashAndCashEquivalents,annualCurrentDeferredRevenue,trailingSellingGeneralAndAdministration,annualDilutedAverageShares,annualNetIncomeContinuousOperations,annualOperatingExpense,trailingResearchAndDevelopment,trailingCostOfRevenue,annualCurrentAssets,annualChangesInAccountReceivables,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyChangeInInventory,quarterlyIncomeTaxPayable,trailingBeginningCashPosition,trailingFreeCashFlow,quarterlyCurrentLiabilities,annualInterestExpense,quarterlyGrossPPE,annualDilutedEPS,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyCurrentAssets,trailingChangesInAccountReceivables,annualOtherShortTermInvestments,annualBasicAverageShares,trailingOperatingExpense,annualAccumulatedDepreciation,quarterlyRetainedEarnings,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,annualRepurchaseOfCapitalStock,quarterlyDilutedEPS,annualChangeInAccountPayable,quarterlyStockBasedCompensation,annualResearchAndDevelopment,quarterlyOtherNonCashItems,annualChangeInWorkingCapital,annualOtherNonCurrentAssets,quarterlyStockholdersEquity,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalLiabilitiesNetMinorityInterest,quarterlyAccountsReceivable,quarterlyCostOfRevenue,annualCommonStockIssuance,annualRetainedEarnings,annualFreeCashFlow,quarterlyNetOtherInvestingChanges,annualNetIncome,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,trailingNetIncomeCommonStockholders,trailingChangeInAccountPayable,annualOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,annualCostOfRevenue,annualCashDividendsPaid,annualBeginningCashPosition,quarterlySellingGeneralAndAdministration,annualLongTermDebt,quarterlyRepaymentOfDebt,annualTaxProvision,quarterlyBasicAverageShares,annualCurrentDebt,annualTotalAssets,annualSellingGeneralAndAdministration,quarterlyOtherCurrentAssets,trailingTaxProvision,annualTotalNonCurrentAssets,annualGoodwill,quarterlyNonCurrentDeferredRevenue,annualNonCurrentDeferredRevenue,trailingBasicAverageShares,trailingBasicEPS,trailingOtherNonCashItems,trailingDilutedEPS,trailingDilutedAverageShares,trailingInterestExpense,trailingCommonStockIssuance,quarterlyGoodwill
1970-01-01 00:00:00.946598400,,,,2304407000.0,,,136064160.25248,,,2579193000.0,-549084000.0,975265.43904,,,,,,,62450393000.0,,,-9310787.03616,,,,,,,,,14897474000.0,,,1907799.42912,,-1538272000.0,11588836000.0,,,,7782626000.0,,4499268.92928,7662877.92864,,,843375000.0,,,-15684784.46496,-52281654.62592,-543587000.0,9508359.97152,,,,,-0.15004,,,117799164.47616,117580391.37792,,,6520660.17216,0.0,2250029000.0,15618162.47712,-11743085.61408,,30540881000.0,,71339620000.0,-71519026000.0,897853000.0,,117779893.10592,142575962.87904,10095324000.0,,-51894016.97376,9145609000.0,,,,2001333000.0,-53256920.06496,,10583318.328,,1005803.27616,-17242561000.0,1142217.75648,,-9256000.0,,-7088793000.0,-244275000.0,,8135883000.0,,,,,0.0,,,-5188651000.0,,,4858295000.0,,206822000.0,-9310787.03616,117799164.47616,,11945831000.0,352068896.0,-51965340.91104,57756188.99424,8499726000.0,40798739000.0,134218678.2096,,,,,9489363000.0,7808681000.0,,,,-0.15004,,,,-596526000.0,,352068896.0,20445557000.0,-1074958.35648,,,-51965340.91104,,,,,,,5734184.6256,,-10100317.19424,0.0,,,,7662877.92864,,,142575962.87904,-51702983.7216,-24995571.50112,,-51965340.91104,,,,7782626000.0,497188000.0,8769028.09056,,11118893.54784,,199501.728,,,,71323.93728,,,143727038.18112,51046738.9296,,3452953000.0,9508359.97152,,,,,,,,,,,
1970-01-01 00:00:00.954460800,,,,,,,,,,,,,,-0.062086,,,,,,,-23933336.5536,,,-23933336.5536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120422224.0,,,,,,,,,,,,,,,,,,,,,,,,,-23933336.5536,,,,,,,,,,,,,,,,,,,6465528.15936,,,,,6465528.15936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6465528.15936,,-0.062086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120422224.0,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.962323200,,,,,,42899659.5456,,,,,,,,-0.067259,,,-844.36416,,,,-27137301.19296,,,-27137301.19296,,33256515.87552,-1074958.35648,,,,,,8882148.05376,,,,,25697105.6688,,,,,,,,,,3255545.35584,,,,,,,409688896.0,,,,,,,,58953621.54432,992133417.75744,,,,,,,,857829988.5648,,,,,,,,-27137301.19296,,,,,22692626.20128,,,-54169065.144,,2492281.5456,,,,,,857829988.5648,,,-30701304.36576,,,,,13657780.68384,,,,,,3440610.11232,,74663430.64512,,,,,,,,,,,,,,,,,,74474433.80064,,26772064.02528,,,,933179796.21312,,,,,,-102773621.46816,,,,-30701304.36576,,-0.067259,,,,,,,917469987.11232,,188996.84448,,,10217170.57152,,,,,,34141914.47808,,,,,,,,,,30886369.12224,,,,409688896.0,,,,60897786.57888,,,,,,,,,,,,,
1970-01-01 00:00:00.970272000,,,,,,62636788.368,,,,,,,,-0.087867,,,-6640.6494,,,,-41546656.4898,,,-41546656.4898,,54119737.8876,-1073883.1488,,,,,,23962357.4652,,0.0,,,30997302.6594,,,,,,,,,,3174420.6186,,,,,,,477732848.0,0.0,,,,,,,85117040.547,977544667.7766,,,,,,,,782463997.392,,,,,,,,-41546656.4898,,,,,3885474.5622,,,-50634182.5836,,2489838.3048,,,,0.0,,782463997.392,,,-53054025.3012,,,,,20050493.9712,,,0.0,,,8173341.0528,,90664438.9266,,,,,,,,,,,,,,,,,,90484620.3954,,32071185.8082,,0.0,,892427627.2296,,,,,,-144217480.4994,,,,-53054025.3012,,-0.087867,,,,,,,886880228.85,,179818.5312,,,11877152.9184,,,,,,61227366.354,,,,,,,,,,58052945.7354,,,,477732848.0,,,,104752340.9394,,,,,,,,,,,,,
1970-01-01 00:00:00.978220800,,,,,,112463963.757,839368114.5366,,,,,8641805.7438,,,,,-1609.9734,,,,-50077598.0772,-62340767.8722,,-50077598.0772,,40386521.8242,-9714600.1026,,,1083575.0484,,,10352793.7782,2489338.9422,-156475881.027,,,44152231.5828,,,,,32873092.1694,153367057.5354,,,,3316507.9134,,-156475881.027,-150589558.3662,,44152231.5828,,,-199772974.0908,,-0.356532,,,707704990.9794,725935550.463,84538753.407,992735172.072,10352793.7782,-19043674.8084,,65053425.8232,-44041299.6096,,,707704990.9794,,,,,707704990.9794,945100364.3784,,-50077598.0772,-142643809.8306,,,,9984886.2108,,-159231364.11,-44041299.6096,53866831.6854,2489338.9422,-9085.8726,,9984886.2108,0.0,,707704990.9794,,,-50701750.6716,,,,,24899750.985,0.0,,707704990.9794,,18758862.8784,20724516.1452,,153367057.5354,,-43297093.0638,707704990.9794,1806550.911,,399594752.0,-142643809.8306,192104456.2794,,,908196418.665,,,,,,,153367057.5354,2586613.1706,53866831.6854,-0.356532,-62340767.8722,,908196418.665,,,399594752.0,,-9714600.1026,-194284743.2748,,-142643809.8306,,-50701750.6716,,,,,12663589.95,,-37536922.6596,40386521.8242,839368114.5366,18758862.8784,,153367057.5354,1083575.0484,4175234.8398,832636400.6214,-194284743.2748,-199772974.0908,,-142643809.8306,71426266.8168,1806550.911,,,,60154379.5356,,32180333.6538,,-18230559.4836,68109758.9034,,,,,112463963.757,992735172.072,179440866.3294,60154379.5356,,84538753.407,,,,,,,,,,,
1970-01-01 00:00:00.985996800,,,,,,,,,,,,,,-0.124842,,,,,,,-57265777.5942,,,-57265777.5942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120422224.0,,,,,,,,,,,,,,,,,,,,,,,,,-57265777.5942,,,,,,,,,,,,,,,,,,,5026191.1287,,,,,5026191.1287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5026191.1287,,-0.124842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120422224.0,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.993859200,,,,,,,,,,,,,,-0.124827,,,,,,,-70929831.8729,,,-70929831.8729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120422224.0,,,,,,,,,,,,,,,,,,,,,,,,,-70929831.8729,,,,,,,,,,,,,,,,,,,5475853.8133,,,,,5475853.8133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5475853.8133,,-0.124827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120422224.0,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.001808000,,,,,,,,,,,,,,-0.124829,,,,,,,-63413994.5232,,,-63413994.5232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128366167.0,,,,,,,,,,,,,,,,,,,,,,,,,-63413994.5232,,,,,,,,,,,,,,,,,,,7199523.0528,,,,,7199523.0528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7199523.0528,,-0.124829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128366167.0,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.009756800,,,,,,84015020.3376,555128781.54912,,,,,17337892.20672,,,,,,,,,-41035365.94728,-67275103.51776,,-41601379.66728,,11574204.504,-26526685.17792,,-46771325.83968,,,,11711231.56224,2504077.8096,,,,36362592.21888,,,,,-31763853.88032,119784951.69696,,,,,,-185722714.83456,-212315715.71136,,36362592.21888,45529440.0,,,,-0.5001,,,525223737.42048,-228993414.48192,47936796.72288,674913733.24608,11711231.56224,595326.40128,,28305371.39328,-38234655.17664,,,525223737.42048,,,,,479694297.42048,23438390.1504,,-41035365.94728,,,,,13118786.61696,,-229653607.91808,-38234655.17664,62889277.3968,2504077.8096,-14091717.63744,,13118786.61696,,,479694297.42048,,,-247354695.01488,,,,,10604284.29648,45752443.19712,,,,10939913.18016,,,119784951.69696,,-21099104.07936,479694297.42048,,,482147104.0,-233205607.87488,197889754.03776,,,626976936.5232,,,,,,,119784951.69696,9884640.09792,62889277.3968,-0.5001,,,626976936.5232,,45529440.0,482147104.0,,-26526685.17792,-454217314.17696,,-232639594.15488,,-247354695.01488,,,,,11171451.07776,,2546949.98592,11574204.504,555128781.54912,10939913.18016,,119784951.69696,,,6291067.62336,-454217314.17696,-206821818.91392,,-232639594.15488,,,,,,2290610.96064,,60069225.2736,,708687711.9024,,,,,,84015020.3376,674913733.24608,181593087.01152,2290610.96064,,47936796.72288,,,,,,,,,,,
1970-01-01 00:00:01.017532800,,,,,,,,,,,,,,-0.015501,,,,,,,-8862752.0088,,,-8862752.0088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571739733.0,,,,,,,,,,,,,,,,,,,,,,,,,-8862752.0088,,,,,,,,,,,,,,,,,,,29601830.8026,,,,,29601830.8026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29601830.8026,,-0.015501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571739733.0,,,,,,,,,,,,,,,,,
