date,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,trailingInvestingCashFlow,annualIncomeTaxPayable,annualInvestingCashFlow,trailingSaleOfInvestment,trailingPurchaseOfBusiness,quarterlyOtherNonCurrentLiabilities,annualStockholdersEquity,annualNonCurrentDeferredTaxesLiabilities,annualOtherNonCashItems,quarterlyOtherCurrentLiabilities,annualLongTermDebt,trailingStockBasedCompensation,annualCurrentLiabilities,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,annualStockBasedCompensation,annualGoodwill,annualTotalAssets,annualInventory,quarterlyBasicEPS,annualRetainedEarnings,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyGoodwill,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,annualPurchaseOfInvestment,quarterlyCurrentDeferredRevenue,quarterlyInventory,trailingOperatingCashFlow,annualAccountsReceivable,quarterlyOtherIncomeExpense,trailingChangeInWorkingCapital,annualCapitalStock,annualOtherIncomeExpense,annualNetPPE,annualGainsLossesNotAffectingRetainedEarnings,trailingGrossProfit,quarterlyOperatingExpense,annualAccountsPayable,annualOperatingCashFlow,annualCommonStockIssuance,trailingOperatingIncome,quarterlyOtherIntangibleAssets,quarterlyCashAndCashEquivalents,annualCashCashEquivalentsAndMarketableSecurities,annualOtherShortTermInvestments,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherIntangibleAssets,annualChangeInAccountPayable,quarterlyCapitalStock,annualEbitda,quarterlyCashCashEquivalentsAndMarketableSecurities,annualEndCashPosition,trailingTotalRevenue,annualOperatingIncome,trailingChangeInCashSupplementalAsReported,quarterlyTotalNonCurrentAssets,annualGrossPPE,quarterlyCurrentDebt,trailingEndCashPosition,annualCashAndCashEquivalents,quarterlyInterestExpense,annualBasicEPS,annualNetOtherInvestingChanges,trailingPretaxIncome,annualPretaxIncome,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,annualInvestmentsAndAdvances,quarterlyTotalAssets,quarterlyDilutedAverageShares,annualOtherNonCurrentLiabilities,trailingOperatingExpense,trailingSellingGeneralAndAdministration,annualCapitalExpenditure,quarterlyGrossPPE,quarterlyIncomeTaxPayable,annualOperatingExpense,annualOtherNonCurrentAssets,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,quarterlyDilutedEPS,trailingBeginningCashPosition,trailingInterestExpense,trailingCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingNetIncomeContinuousOperations,quarterlyAccountsPayable,annualCurrentAssets,quarterlyOtherCurrentAssets,annualRepurchaseOfCapitalStock,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,annualTaxProvision,annualOtherCurrentLiabilities,quarterlyEbitda,trailingNetOtherFinancingCharges,annualNetIncomeCommonStockholders,annualInterestExpense,annualDilutedEPS,annualRepaymentOfDebt,quarterlyGrossProfit,trailingRepurchaseOfCapitalStock,annualTotalRevenue,annualDilutedAverageShares,trailingFreeCashFlow,trailingCommonStockIssuance,quarterlyCurrentLiabilities,annualGrossProfit,quarterlyCurrentAssets,annualFreeCashFlow,annualTotalNonCurrentAssets,quarterlySellingGeneralAndAdministration,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,annualChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,annualOtherCurrentAssets,quarterlyPretaxIncome,annualBasicAverageShares,quarterlyNetPPE,quarterlyTaxProvision,trailingNetIncome,trailingTaxProvision,quarterlyOperatingIncome,trailingDepreciationAndAmortization,annualChangeInInventory,quarterlyTotalRevenue,quarterlyAccumulatedDepreciation,annualCurrentDebt,annualCashDividendsPaid,annualCurrentDeferredRevenue,annualNetIncomeContinuousOperations,annualCostOfRevenue,annualNetIncome,trailingOtherNonCashItems,annualPurchaseOfBusiness,annualBeginningCashPosition,annualResearchAndDevelopment,trailingBasicAverageShares,quarterlyNonCurrentDeferredRevenue,quarterlyRepaymentOfDebt,quarterlyChangeInInventory,trailingDeferredIncomeTax,quarterlyCommonStockIssuance,quarterlySaleOfInvestment,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,annualCurrentAccruedExpenses,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,quarterlyCashFlowFromContinuingFinancingActivities,trailingCashDividendsPaid,trailingChangeInInventory,trailingChangesInAccountReceivables,trailingDilutedEPS,quarterlyPurchaseOfInvestment,annualChangesInAccountReceivables,trailingNetOtherInvestingChanges,quarterlyCapitalExpenditure,quarterlyPurchaseOfBusiness,quarterlyEndCashPosition,trailingBasicEPS,trailingResearchAndDevelopment,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,annualNonCurrentDeferredRevenue,trailingOtherIncomeExpense,quarterlyOtherNonCashItems,trailingPurchaseOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,trailingChangeInAccountPayable,quarterlyChangeInWorkingCapital,quarterlyDepreciationAndAmortization,quarterlyResearchAndDevelopment,trailingCashFlowFromContinuingFinancingActivities,quarterlyChangesInAccountReceivables,annualDeferredIncomeTax,trailingDilutedAverageShares
1987-03-31,1806381.0,,35100000.0,,,516700000.0,-279700000.0,,,,,,,75700000.0,,,,,,,,,0.205554,,,,1590000.0,,,,,,,,,1494500000.0,,,-58000000.0,,,,,2890700000.0,,,,,1262500000.0,,,,,,,,,,,,15725700000.0,,-112600000.0,,,,1809000000.0,,,,,1095000000.0,,,,,,,1590000.0,,1628200000.0,1628200000.0,,,,,,,,0.205554,1921600000.0,344300000.0,-363900000.0,,783300000.0,,,,,,,702900000.0,,,,74310777.0,-39200000.0,,,,,,-6300000.0,,,1130600000.0,700000.0,,,,,,,,,12835000000.0,,,,,,,,,702900000.0,311700000.0,74310777.0,692100000.0,,74310777.0,,,,,,,,258600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-06-30,1865220.0,,,,,,,,,,,,,,,,,,,,,,0.205174,,,,1590000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1590000.0,,,,,,,,,,,0.205174,,,,,,,,,,,,,,,,74173582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74173582.0,,,74173582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-09-30,1841580.0,,,,,,,,,,,,,,,,,,,,,,0.214851,,,,1590000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1590000.0,,,,,,,,,,,0.214851,,,,,,,,,,,,,,,,73233498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73233498.0,,,73233498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-12-31,888033.0,,,,0.0,,,960714.0,-65702163.0,,,74935692.0,91588068.0,,530847858.0,,,,,,557694477.0,38001576.0,,-747222.0,,,,,,91588068.0,,,,,38001576.0,,,,,,3095634.0,79365651.0,,,,,0.0,,,,72800772.0,72800772.0,,92548782.0,,,,25405548.0,72800772.0,0.0,,19267653.0,,82834896.0,85290054.0,455912166.0,,72800772.0,,0.720536,,,12435909.0,3469245.0,623396640.0,,,557694477.0,,960714.0,,,,85290054.0,,183176136.0,3469245.0,-5924403.0,177038241.0,,,,,,,,474859581.0,115552545.0,,,,,-65702163.0,6084522.0,74935692.0,-200432841.0,,6351387.0,9927378.0,0.720536,,,,254749329.0,8814815.0,,,530847858.0,202443789.0,474859581.0,0.0,82834896.0,,623396640.0,92548782.0,,,-747222.0,,115552545.0,,8814815.0,79365651.0,,,,-200432841.0,,,35048835.0,-5924403.0,455912166.0,,,6351387.0,52305540.0,6351387.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-03-31,5052030.0,,,,,,,,,,,,,,,,,,,,,,0.64494,,,,1590000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1590000.0,,,,,,,,,,,0.64494,,,,,,,,,,,,,,,,130922820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130922820.0,,,130922820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-06-30,5492232.0,,,,,,,,,,,,,,,,,,,,,,0.701136,,,,1590000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1590000.0,,,,,,,,,,,0.701136,,,,,,,,,,,,,,,,142389036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142389036.0,,,142389036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-09-30,5573730.0,,,,,,,,,,,,,,,,,,,,,,0.741188,,,,1590000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1590000.0,,,,,,,,,,,0.741188,,,,,,,,,,,,,,,,144501915.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144501915.0,,,144501915.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-31,4145306.0,,,,0.0,,,1220912.0,59935680.0,,,34740496.0,141292816.0,,473547368.0,,,,,,675996776.0,34463016.0,,332976.0,,,,,,141292816.0,,,,,34463016.0,,,,,,7547456.0,86740248.0,,,,,0.0,,,175700336.0,92955800.0,92955800.0,,142513728.0,175700336.0,,,62322008.0,92955800.0,0.0,,50834336.0,,267157744.0,105220416.0,438806872.0,,92955800.0,,2.719304,,,39568648.0,4717160.0,616061096.0,,,675996776.0,,1220912.0,,,,105220416.0,,397462352.0,4717160.0,-18480168.0,385974680.0,,,,,,,,408839032.0,13984992.0,,,,,59935680.0,18702152.0,34740496.0,-382612114.0,,20866496.0,18813144.0,2.719304,,,,540919512.0,7673469.0,,,473547368.0,448296688.0,408839032.0,0.0,267157744.0,,616061096.0,142513728.0,,,332976.0,,13984992.0,,7673469.0,86740248.0,,,,-382612114.0,,,107473062.0,-18480168.0,438806872.0,,,20866496.0,92622824.0,20866496.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-03-31,9235044.0,,,,,,,,,,,,,,,,,,,,,,0.876145,,,,1590000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1590000.0,,,,,,,,,,,0.846546,,,,,,,,,,,,,,,,244195875.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244195875.0,,,244195875.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-06-30,10116766.0,,,,,,,,,,,,,,,,,,,,,,0.953682,,,,1590000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1590000.0,,,,,,,,,,,0.934351,,,,,,,,,,,,,,,,265806750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265806750.0,,,265806750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
