date,trailingDeferredIncomeTax,annualChangesInAccountReceivables,annualDeferredIncomeTax,trailingBeginningCashPosition,annualInterestExpense,quarterlySaleOfInvestment,trailingChangesInAccountReceivables,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyGrossPPE,annualAccumulatedDepreciation,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyChangeInWorkingCapital,annualSellingGeneralAndAdministration,trailingOperatingExpense,trailingChangeInCashSupplementalAsReported,annualOtherNonCurrentAssets,annualRepurchaseOfCapitalStock,trailingNetIncomeContinuousOperations,annualCurrentAssets,trailingCapitalExpenditure,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,quarterlyEbitda,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,quarterlyNetOtherInvestingChanges,annualNetOtherFinancingCharges,trailingRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,annualCurrentAccruedExpenses,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,quarterlyChangeInInventory,trailingGrossProfit,quarterlyOperatingExpense,annualRepaymentOfDebt,trailingChangeInAccountPayable,annualCostOfRevenue,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCashItems,annualCapitalStock,trailingCostOfRevenue,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,annualBasicEPS,quarterlyCurrentLiabilities,quarterlyRepaymentOfDebt,quarterlyCurrentAssets,trailingFreeCashFlow,annualTaxProvision,quarterlyRetainedEarnings,annualInventory,trailingTaxProvision,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyNetPPE,annualGrossProfit,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyStockBasedCompensation,annualTotalNonCurrentAssets,annualChangeInWorkingCapital,annualOtherCurrentAssets,annualNetIncomeContinuousOperations,quarterlyCapitalExpenditure,annualPurchaseOfBusiness,quarterlyCashFlowFromContinuingFinancingActivities,trailingDepreciationAndAmortization,trailingPurchaseOfBusiness,annualChangeInInventory,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyOperatingIncome,annualFreeCashFlow,annualNetIncome,annualCurrentDebt,quarterlyAccumulatedDepreciation,trailingSellingGeneralAndAdministration,trailingOtherNonCashItems,annualBeginningCashPosition,annualOperatingExpense,annualCurrentDeferredRevenue,annualPurchaseOfInvestment,quarterlyOperatingCashFlow,trailingInvestingCashFlow,quarterlyOtherNonCurrentLiabilities,annualLongTermDebt,annualCashDividendsPaid,quarterlyChangeInCashSupplementalAsReported,annualPretaxIncome,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualInvestingCashFlow,trailingPretaxIncome,trailingCashDividendsPaid,annualTotalAssets,annualDilutedAverageShares,annualNonCurrentDeferredTaxesLiabilities,trailingNetIncome,trailingPurchaseOfInvestment,annualOtherNonCashItems,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,annualStockholdersEquity,trailingStockBasedCompensation,annualDilutedEPS,trailingChangeInInventory,quarterlyCostOfRevenue,quarterlyGoodwill,annualDepreciationAndAmortization,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,annualGoodwill,annualSaleOfInvestment,quarterlyOtherIncomeExpense,annualCommonStockIssuance,quarterlyInventory,trailingSaleOfInvestment,quarterlyDilutedEPS,annualStockBasedCompensation,annualRetainedEarnings,annualBasicAverageShares,trailingChangeInWorkingCapital,quarterlyNonCurrentDeferredTaxesLiabilities,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyLongTermDebt,annualTotalRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingOperatingIncome,quarterlyCashAndCashEquivalents,annualOperatingCashFlow,annualChangeInAccountPayable,annualAccountsPayable,trailingTotalRevenue,trailingOtherIncomeExpense,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCashDividendsPaid,annualEndCashPosition,annualOtherIntangibleAssets,annualOtherShortTermInvestments,annualCashFlowFromContinuingFinancingActivities,annualCashCashEquivalentsAndMarketableSecurities,trailingEndCashPosition,trailingCashFlowFromContinuingFinancingActivities,quarterlyDepreciationAndAmortization,annualCurrentLiabilities,annualOtherIncomeExpense,quarterlyBeginningCashPosition,annualNetPPE,trailingRepaymentOfDebt,annualOperatingIncome,annualEbitda,quarterlyCapitalStock,quarterlyCurrentDebt,annualOtherNonCurrentLiabilities,annualNetOtherInvestingChanges,annualGrossPPE,annualCashAndCashEquivalents,quarterlyPurchaseOfInvestment,quarterlyBasicAverageShares,annualIncomeTaxPayable,quarterlyChangesInAccountReceivables,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyNetOtherFinancingCharges,annualGainsLossesNotAffectingRetainedEarnings,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,annualResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,trailingBasicAverageShares,quarterlyInvestmentsAndAdvances,trailingBasicEPS,trailingNetOtherInvestingChanges,quarterlyInterestExpense,trailingNetOtherFinancingCharges,trailingDilutedEPS,trailingDilutedAverageShares,trailingInterestExpense,trailingResearchAndDevelopment,trailingCommonStockIssuance,annualInvestmentsAndAdvances
1995-03-31,-12326000.0,,,390066000.0,,,-89000.0,0.11,,,,,,,,,,,1615773000.0,-70032000.0,,,115682000.0,,-80862000.0,115682000.0,,77700000,,,,,-22168000.0,,,,,,,,,1917637000.0,,,-11952000.0,,,,,602707000.0,,83636364.0,,,,,136054000.0,,,,100089000.0,,,,,,,,,,,,,,,78134000.0,-13518000.0,,,77700000,77700000,,,,,1615773000.0,33494000.0,,,,,,-91652000.0,,,,,,9200000,9200000,,215771000.0,-81822000.0,,,,115682000.0,-8432000.0,,,,,,15947000.0,,269000.0,,,,,,,,,,,11160000.0,0.11,,,,-68132000.0,,,216916000.0,,,,301864000.0,,,,,2520344000.0,-86093000.0,,,,,,,,328184000.0,-187146000.0,,,,,,-227614000.0,,,,,,,,,,83636364.0,,,,9200000,,,,,,,,,,,,,,,,,,,,,,,
1995-06-30,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,80500000,,,,,,,,,,,,,,,,,,,,,,,,83636364.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,80500000,80500000,,,,,,,,,,,,,,,,,,9200000,9200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83636364.0,,,,9200000,,,,,,,,,,,,,,,,,,,,,,,
1995-09-30,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,83200000,,,,,,,,,,,,,,,,,,,,,,,,83636364.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,83200000,83200000,,,,,,,,,,,,,,,,,,9200000,9200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83636364.0,,,,9200000,,,,,,,,,,,,,,,,,,,,,,,
1995-12-31,,,,,,,,,,11000000.0,-4100000.0,,,,4400000.0,3400000.0,,203200000.0,,,7000000.0,,,104300000.0,,,61800000.0,-182600000,40200000.0,52100000.0,,3300000.0,,,,,,,46900000.0,-5400000.0,,,,,,94600000.0,,,,,,,0.51,56500000.0,,104300000.0,,19100000.0,60200000.0,32700000.0,,,,,6900000.0,264000000.0,-100000.0,,13900000.0,22800000.0,3400000.0,40200000.0,,,,,,-17100000.0,56400000.0,117200000,-182600000,59600000.0,40200000.0,,-4100000.0,,,16300000.0,205200000.0,,,,,,,-12200000.0,,59300000.0,12500000,12500000,-6100000.0,,,118200000.0,80400000.0,,,,,52100000.0,,,61800000.0,,0.5,,,,2000000.0,,,,,,,32700000.0,,,,60200000.0,78823529.0,,,,,,358600000.0,63200000.0,,63200000.0,65000000.0,,4400000.0,,,-100000.0,,0.0,,,-8900000.0,63200000.0,,,,56500000.0,500000.0,,6900000.0,,58800000.0,60800000.0,,,,-700000.0,11000000.0,63200000.0,,,,,118200000.0,12500000,,13900000.0,,,7000000.0,56400000.0,,,,,,,,,,,,,,,,,
1996-03-31,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,124200000,,,,,,,,,,,,,,,,,,,,,,,,105789474.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,124200000,124200000,,,,,,,,,,,,,,,,,,20100000,20100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105789474.0,,,,20100000,,,,,,,,,,,,,,,,,,,,,,,
1996-06-30,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,163500000,,,,,,,,,,,,,,,,,,,,,,,,80400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,163500000,163500000,,,,,,,,,,,,,,,,,,20100000,20100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77307692.0,,,,20100000,,,,,,,,,,,,,,,,,,,,,,,
1996-09-30,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,183600000,,,,,,,,,,,,,,,,,,,,,,,,64838710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,183600000,183600000,,,,,,,,,,,,,,,,,,20100000,20100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62812500.0,,,,20100000,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31,,,,,,,,,,15600000.0,-6700000.0,,,,6600000.0,11300000.0,,357100000.0,,,42600000.0,,,280200000.0,,,107800000.0,-343000000,81700000.0,125800000.0,,0.0,,,,,,,143900000.0,-5700000.0,,,,,,187800000.0,,,,,,,1.01,213900000.0,,280200000.0,,49500000.0,11500000.0,44900000.0,,,,,8900000.0,490800000.0,10000000.0,,51500000.0,33700000.0,11300000.0,81700000.0,,,,,,-12200000.0,223900000.0,207300000,-343000000,115500000.0,81700000.0,81500000.0,-6700000.0,,,63200000.0,362500000.0,,,,,0.0,10000000.0,-47100000.0,,131200000.0,21400000,21400000,-11100000.0,,,331700000.0,81486486.0,,,,,125800000.0,,,107800000.0,,1.01,,,,5400000.0,,,,,,98800000.0,44900000.0,,,,11500000.0,81060000.0,,,,,10000000.0,678600000.0,207100000.0,,207100000.0,121200000.0,,6600000.0,,,10000000.0,,0.0,,,36700000.0,207100000.0,,,,213900000.0,2800000.0,,8900000.0,,128300000.0,133700000.0,,81500000.0,0.0,-5400000.0,15600000.0,207100000.0,,,,,331700000.0,21400000,,51500000.0,,,42600000.0,223900000.0,,,,,,,,,,,,,,,,,
1997-03-31,,,,,,,,0.25,,16100000.0,,,,,7200000.0,19200000.0,-23100000.0,,,,,,,,,,130000000.0,36700000,,,-10000000.0,,,156200000.0,0.0,-11100000.0,,,,,-9900000.0,,125400000.0,,,,,,,,119500000.0,85416667.0,,212100000.0,,290000000.0,,,32000000.0,,,12000000.0,,32500000.0,8700000.0,,,,,,,,-1100000.0,,0.0,,,,,211000000,30800000,,,,-7400000.0,,,,,,,3300000.0,,,,,-10300000.0,,20500000,20500000,,,,,,,,,,123400000.0,,,,,,,54800000.0,,,,,,,1800000.0,,54700000.0,,0.24,,,,,,,,,,196800000.0,,196800000.0,,,,,,,,,,,,,,,5900000.0,,,207100000.0,,,,,,81500000.0,,,,,,82000000.0,,,342100000.0,20500000,,52100000.0,,,43400000.0,212100000.0,2200000.0,,,,,,,,,,,,,,,,
1997-06-30,,,,,,,,0.28,,18100000.0,,,,,6700000.0,28800000.0,-4400000.0,,,,,,,,,,161200000.0,44200000,,,0.0,,,170500000.0,0.0,-1400000.0,,,,,-3300000.0,,132300000.0,,,,,,,,126300000.0,86296296.0,,145600000.0,,253500000.0,,,55300000.0,,,13700000.0,,37000000.0,9700000.0,,,,,,,,-1400000.0,,-71500000.0,,,,,230000000,38200000,,,,-8400000.0,,,,,,,24900000.0,,,,,-45400000.0,,23300000,23300000,,,,,,,,,,128900000.0,,,,,,,59500000.0,,,,,,,-1200000.0,,58100000.0,,0.27,,,,,,,,,,151400000.0,,151400000.0,,,,,,,,,,,,,,,6000000.0,,,0.0,,,,,,10000000.0,,,,,,83214286.0,,,306800000.0,23300000,,53300000.0,,,43600000.0,145600000.0,23500000.0,,,,,,,,,,,,,,,,
