,quarterlyCurrentAccruedExpenses,annualNetOtherInvestingChanges,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyGoodwill,trailingNetIncome,annualTotalAssets,annualNonCurrentDeferredRevenue,annualGoodwill,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,trailingChangeInWorkingCapital,annualNetIncome,trailingCashDividendsPaid,quarterlyLongTermDebt,annualTotalLiabilitiesNetMinorityInterest,trailingPretaxIncome,annualAccountsReceivable,annualPurchaseOfInvestment,annualRetainedEarnings,quarterlyFreeCashFlow,quarterlyDilutedEPS,quarterlyCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyCurrentLiabilities,trailingFreeCashFlow,annualTotalRevenue,annualCommonStockIssuance,trailingCostOfRevenue,quarterlyCurrentAssets,quarterlyRetainedEarnings,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,trailingNetOtherInvestingChanges,annualChangeInWorkingCapital,quarterlyCommonStockIssuance,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,annualResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyEbitda,annualNetOtherFinancingCharges,quarterlyBasicEPS,quarterlyNetIncomeCommonStockholders,annualEndCashPosition,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,annualCashFlowFromContinuingFinancingActivities,trailingResearchAndDevelopment,annualCashAndCashEquivalents,quarterlyOtherNonCurrentAssets,annualCapitalExpenditure,quarterlySaleOfInvestment,annualOperatingIncome,annualGainsLossesNotAffectingRetainedEarnings,trailingOtherIncomeExpense,trailingCapitalExpenditure,annualInvestingCashFlow,annualOtherIncomeExpense,annualDilutedEPS,trailingTotalRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingOperatingIncome,annualInvestmentsAndAdvances,quarterlyOtherIntangibleAssets,quarterlyCapitalStock,annualDilutedAverageShares,annualPretaxIncome,quarterlyAccountsPayable,annualIncomeTaxPayable,quarterlyBeginningCashPosition,quarterlyBasicAverageShares,trailingEndCashPosition,trailingRepaymentOfDebt,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingCashFlowFromContinuingFinancingActivities,quarterlyCashAndCashEquivalents,annualAccountsPayable,trailingInvestingCashFlow,quarterlyCurrentDebt,annualGrossPPE,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,quarterlyDilutedAverageShares,trailingChangeInCashSupplementalAsReported,quarterlyNetOtherInvestingChanges,annualOtherNonCurrentLiabilities,trailingInterestExpense,annualBeginningCashPosition,annualBasicEPS,quarterlyStockholdersEquity,trailingNetIncomeCommonStockholders,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,trailingDeferredIncomeTax,quarterlyIncomeTaxPayable,annualDeferredIncomeTax,annualNetPPE,trailingGrossProfit,quarterlyOperatingExpense,quarterlyGrossPPE,trailingOperatingExpense,quarterlyPurchaseOfBusiness,annualBasicAverageShares,annualCapitalStock,annualCashCashEquivalentsAndMarketableSecurities,quarterlyPretaxIncome,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,annualInterestExpense,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyTaxProvision,annualCurrentAssets,trailingNetIncomeContinuousOperations,annualAccumulatedDepreciation,annualInventory,annualEbitda,annualCurrentLiabilities,annualOtherNonCurrentAssets,annualOperatingCashFlow,annualGrossProfit,quarterlyTotalRevenue,annualPurchaseOfBusiness,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyEndCashPosition,quarterlyOperatingIncome,quarterlyInvestingCashFlow,quarterlyNetPPE,annualStockholdersEquity,annualCurrentDebt,quarterlyRepaymentOfDebt,quarterlyGrossProfit,annualCurrentDeferredRevenue,trailingOtherNonCashItems,annualTaxProvision,quarterlyInvestmentsAndAdvances,trailingOperatingCashFlow,annualNetIncomeContinuousOperations,quarterlyNonCurrentDeferredTaxesLiabilities,annualOperatingExpense,quarterlySellingGeneralAndAdministration,annualCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,trailingSellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualCostOfRevenue,annualFreeCashFlow,annualLongTermDebt,annualCashDividendsPaid,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,annualOtherNonCashItems,annualSellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,annualOtherCurrentAssets,trailingTaxProvision,annualTotalNonCurrentAssets,trailingBasicAverageShares,trailingStockBasedCompensation,quarterlyChangeInInventory,trailingRepurchaseOfCapitalStock,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyOtherShortTermInvestments,trailingChangeInInventory,trailingChangesInAccountReceivables,trailingPurchaseOfBusiness,trailingDilutedEPS,annualChangesInAccountReceivables,annualOtherIntangibleAssets,trailingNetOtherFinancingCharges,annualStockBasedCompensation,annualChangeInAccountPayable,trailingBasicEPS,trailingDepreciationAndAmortization,trailingCommonStockIssuance,annualChangeInInventory,quarterlyChangeInAccountPayable,annualOtherShortTermInvestments,trailingSaleOfInvestment,trailingPurchaseOfInvestment,trailingChangeInAccountPayable,annualDepreciationAndAmortization,annualRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,quarterlyChangesInAccountReceivables,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230681600,,42595000.0,,,,,22473122000.0,,1139112000.0,,,,2881856000.0,,,13043806000.0,,727766000.0,,0.0,,,,,,,20152303000.0,0.0,,,,,2934187000.0,,,,,-379704000.0,,10855640000.0,,,,,-463677000.0,,,186201000.0,,,-1036884000.0,,186201000.0,,-2489982000.0,,4029487000.0,228796000.0,,,-2390188000.0,265306000.0,3.83355,,,,,,,751800000.0,3764181000.0,,309118000.0,,,,,,,,,1728140000.0,,,25769975000.0,48680000.0,2881856000.0,,,,851900000.0,,367534000.0,3.84572,,,-899363000.0,-181333000.0,,,468545000.0,14920420000.0,,,,,,750100000.0,0.0,186201000.0,,,,265306000.0,,,,2735816000.0,,-10849555000.0,612151000.0,5633493000.0,2188166000.0,228796000.0,3270079000.0,6846842000.0,,,,,,,,,9429316000.0,102228000.0,,,,,882325000.0,,,2881856000.0,,2817355000.0,,,,,,,,,,13305461000.0,780097000.0,7069553000.0,0.0,,,-1304624000.0,1375210000.0,,828777000.0,,19737306000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238457600,,,1543000000.0,,,,,,,,,,,,,,,,,,30000000.0,0.69,0.0,682000000.0,,,,,,,,,,,,73000000.0,,,0.0,,-130000000.0,,,1014000000.0,,0.69,515000000.0,,,-129000000.0,,,,,,,,,,,,,,,,,,,,,,,,188000000.0,750500000.0,,,45000000.0,,,,,,,,,,751400000.0,,-66000000.0,,,,,,,,,,,,,,600000000.0,,,,,,,589000000.0,-24000000.0,,,-59000000.0,,74000000.0,,,,,,,,,,2736000000.0,,41000000.0,,261000000.0,593000000.0,-718000000.0,,,,,1193000000.0,,,,,,,,,207000000.0,,,,111000000.0,-652000000.0,,515000000.0,515000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246320000,,,1995000000.0,,,,,,,,,,,,,,,,,,304000000.0,0.21,0.0,793000000.0,,,,,,,,,,,,-134000000.0,,,0.0,,27000000.0,,,716000000.0,,0.21,160000000.0,,,-193000000.0,,,,,,13000000.0,,,,,,,,,,,,,,,,,,261000000.0,751000000.0,,,104000000.0,,,,,,,,,,751400000.0,,-56000000.0,,,,,,,,,,,,,,434000000.0,,,,,,,230000000.0,-81000000.0,,,-152000000.0,,70000000.0,,,,,,,,,,2871000000.0,,-155000000.0,,127000000.0,442000000.0,-532000000.0,,,,-403000000.0,876000000.0,,,,,,,,,52000000.0,,,,-392000000.0,-489000000.0,,160000000.0,160000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254268800,,,2103000000.0,,,,,,,,,,,,,,,,,,898000000.0,0.13,0.0,1414000000.0,,,,,,,,,,,,71000000.0,,,0.0,,813000000.0,,,647000000.0,,0.13,101000000.0,,,-203000000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,127000000.0,751200000.0,,,108000000.0,,,,,,,,,,751400000.0,,-3860000000.0,,,,,,,,,,,,,,634000000.0,,,,,,,148000000.0,-90000000.0,,,490000000.0,,47000000.0,,,,,,,,,,3080000000.0,,-131000000.0,,198000000.0,343000000.0,-4375000000.0,,,,-480000000.0,977000000.0,,,,,,,,,243000000.0,,,,3035000000.0,-516000000.0,,101000000.0,101000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262217600,,-98427400.0,1235628400.0,915165400.0,1146574500.0,,21519999200.0,,1146574500.0,19128422800.0,21519999200.0,,678520800.0,,6308777500.0,11907621200.0,,915165400.0,,40836900.0,444407100.0,,-158112100.0,771661600.0,1922475600.0,,10617594000.0,1047100.0,,2391576400.0,40836900.0,,2468014700.0,,70155700.0,-15235500.0,,1096313700.0,1047100.0,9985145600.0,207523900.0,,,196268100.0,-1391595900.0,,-97479200.0,154970800.0,11907621200.0,-866595900.0,-1811483000.0,,154970800.0,138217200.0,-1984254500.0,,1223012800.0,2269065700.0,,,-1863838000.0,228267800.0,0.900506,,2269065700.0,,,,0.0,751400000.0,994745000.0,1852319900.0,0.0,198000000.0,,,,-84732200.0,154970800.0,,154970800.0,1852319900.0,,0.0,27491610500.0,70155700.0,678520800.0,,,3884572600.0,1208353400.0,,160206300.0,0.900506,9612378000.0,,-4075313200.0,-5235500.0,,0.0,-576952100.0,15221692700.0,,849952800.0,27491610500.0,,,751000000.0,0.0,154970800.0,27745000.0,-381952100.0,,228267800.0,817313700.0,,125224200.0,2391576400.0,,-12269917800.0,875375600.0,2629268100.0,1922475600.0,138217200.0,3660661600.0,3911965600.0,1930594000.0,,473267800.0,875375600.0,154970800.0,-154987200.0,3761162000.0,15221692700.0,9612378000.0,0.0,-3432313200.0,694965600.0,,,316224200.0,,,678520800.0,2468014700.0,2688952800.0,214506000.0,,,-12269917800.0,-4565483000.0,-327254500.0,,-97479200.0,-97479200.0,6705628400.0,1676407100.0,6308777500.0,-158112100.0,9985145600.0,60731800.0,1056523900.0,900506000.0,1208353400.0,60731800.0,,19128422800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269993600,,,2224000000.0,1108000000.0,1146000000.0,,,,,19239000000.0,22181000000.0,,,,5980000000.0,,,,,,327000000.0,0.7,-150000000.0,820000000.0,2225000000.0,,,,,2942000000.0,420000000.0,,,,67000000.0,242000000.0,,,5000000.0,,-228000000.0,,,1029000000.0,,0.7,525000000.0,,12280000000.0,0.0,,,,465000000.0,,,,,,,,,,,-102000000.0,,,,0.0,,,,,155000000.0,751500000.0,,,65000000.0,397000000.0,,397000000.0,,,,,,,751700000.0,,49000000.0,,,,,9901000000.0,,,,,,,,,679000000.0,,,,,,,640000000.0,100000000.0,,,99000000.0,,115000000.0,,,,,,,,,,3602000000.0,,6000000.0,845000000.0,397000000.0,699000000.0,-372000000.0,15171000000.0,,,-58000000.0,1378000000.0,,,,,,,2569000000.0,,343000000.0,,,,-203000000.0,-493000000.0,,525000000.0,525000000.0,,,,,10055000000.0,246000000.0,,,1506000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277856000,,,2630000000.0,1063000000.0,1146000000.0,,,,,19579000000.0,22449000000.0,,,,3821000000.0,,,,,,-6000000.0,0.23,-150000000.0,471000000.0,1974000000.0,,,,,2870000000.0,442000000.0,,,,8000000.0,12000000.0,,,2000000.0,,35000000.0,,,611000000.0,,0.23,172000000.0,,12394000000.0,0.0,,,,489000000.0,,0.0,,,,,,,,,27000000.0,,,,3690000000.0,,,1547000000.0,,397000000.0,751700000.0,,,103000000.0,409000000.0,,409000000.0,,,,,,,751800000.0,,9000000.0,,,,,10055000000.0,,,,,64000000.0,,,,384000000.0,,,,,,,183000000.0,-4000000.0,,,-66000000.0,,11000000.0,,,,,,,,,,3318000000.0,,-55000000.0,809000000.0,409000000.0,304000000.0,-468000000.0,15469000000.0,,,,688000000.0,,,,,,,2561000000.0,,59000000.0,,,,16000000.0,-477000000.0,,172000000.0,172000000.0,,,,,10420000000.0,196000000.0,,,357000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285804800,,,2286000000.0,1051000000.0,1146000000.0,,,,,19207000000.0,22199000000.0,,,,3574000000.0,,,,,,161000000.0,0.3,-150000000.0,645000000.0,2163000000.0,,,,,2992000000.0,515000000.0,,,,22000000.0,55000000.0,,,4000000.0,,949000000.0,,,715000000.0,,0.3,223000000.0,,12040000000.0,0.0,,,,490000000.0,,1000000.0,,,,,,,,,55000000.0,,,,0.0,,,2042000000.0,,409000000.0,751900000.0,,,114000000.0,464000000.0,,464000000.0,,,,,,,752000000.0,,184000000.0,,,,,10159000000.0,,,,,99000000.0,,,,577000000.0,,,,,,,286000000.0,33000000.0,,,136000000.0,,63000000.0,,,,,,,,,,3222000000.0,,6000000.0,862000000.0,464000000.0,359000000.0,-299000000.0,15258000000.0,,,,936000000.0,,,,,,,2472000000.0,,262000000.0,,,,-288000000.0,-484000000.0,,223000000.0,223000000.0,,,,,9877000000.0,262000000.0,,,2706000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293753600,,103000000.0,2024000000.0,1055000000.0,1146000000.0,,22095000000.0,,1146000000.0,19320000000.0,22095000000.0,,993000000.0,,5608000000.0,12073000000.0,,1055000000.0,,,-96000000.0,,-151000000.0,658000000.0,2485000000.0,,12973000000.0,28000000.0,,2775000000.0,,4000000.0,2404000000.0,,163000000.0,-164000000.0,,179000000.0,17000000.0,9588000000.0,-1010000000.0,,,359000000.0,0.0,,73000000.0,300000000.0,12073000000.0,0.0,-631000000.0,,300000000.0,499000000.0,-2208000000.0,,1442000000.0,,,,-1796000000.0,279000000.0,1.32,,,,,,,752700000.0,1163000000.0,2168000000.0,154000000.0,464000000.0,,,,-41000000.0,300000000.0,,300000000.0,2168000000.0,,,29020000000.0,163000000.0,993000000.0,,,100000000.0,1576000000.0,,155000000.0,1.32,10022000000.0,,-58000000.0,145000000.0,,154000000.0,88000000.0,15530000000.0,,727000000.0,29020000000.0,,,751900000.0,,300000000.0,54000000.0,-41000000.0,,279000000.0,10000000.0,,-19000000.0,2775000000.0,,-13490000000.0,880000000.0,2752000000.0,2485000000.0,499000000.0,2594000000.0,4088000000.0,2831000000.0,,322000000.0,880000000.0,300000000.0,80000000.0,-657000000.0,15530000000.0,10022000000.0,,-22000000.0,807000000.0,,,170000000.0,,,993000000.0,2404000000.0,2646000000.0,436000000.0,,,-13490000000.0,-156000000.0,-754000000.0,,73000000.0,73000000.0,8885000000.0,386000000.0,5608000000.0,-601000000.0,9588000000.0,163000000.0,15000000.0,1391000000.0,1576000000.0,163000000.0,,19320000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
