date,annualSaleOfInvestment,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,annualPurchaseOfBusiness,annualDilutedAverageShares,trailingPurchaseOfBusiness,annualStockholdersEquity,annualDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,annualInvestingCashFlow,trailingSaleOfInvestment,annualPurchaseOfInvestment,quarterlyNetIncome,quarterlyCapitalExpenditure,annualDilutedEPS,trailingCashDividendsPaid,quarterlyTaxProvision,trailingPretaxIncome,quarterlyNetPPE,annualGoodwill,trailingNetIncome,quarterlyDilutedEPS,annualOtherIntangibleAssets,quarterlyChangeInCashSupplementalAsReported,annualChangeInWorkingCapital,quarterlyCommonStockIssuance,annualNetPPE,annualOperatingCashFlow,quarterlyCapitalStock,quarterlyBeginningCashPosition,annualBasicEPS,trailingRepaymentOfDebt,quarterlyOtherIntangibleAssets,annualNetOtherInvestingChanges,annualTotalRevenue,annualCapitalStock,quarterlyFreeCashFlow,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,trailingInterestExpense,annualEndCashPosition,trailingEndCashPosition,trailingPurchaseOfInvestment,trailingTotalRevenue,quarterlyTotalAssets,annualPretaxIncome,quarterlyNetIncomeCommonStockholders,trailingChangeInCashSupplementalAsReported,annualOperatingIncome,trailingCapitalExpenditure,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyDilutedAverageShares,quarterlyInterestExpense,quarterlyCashAndCashEquivalents,annualGrossPPE,annualAccountsPayable,trailingInvestingCashFlow,quarterlyAccountsPayable,quarterlyTotalLiabilitiesNetMinorityInterest,annualInvestmentsAndAdvances,quarterlyBasicEPS,trailingNetIncomeContinuousOperations,quarterlyOperatingIncome,quarterlyTotalRevenue,trailingNetOtherFinancingCharges,quarterlyGrossPPE,annualOperatingExpense,trailingSellingGeneralAndAdministration,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,annualCapitalExpenditure,quarterlyBasicAverageShares,quarterlyEndCashPosition,annualNetOtherFinancingCharges,quarterlyInvestingCashFlow,trailingBeginningCashPosition,annualInterestExpense,annualNetIncomeCommonStockholders,quarterlyCashDividendsPaid,trailingOperatingExpense,quarterlyRetainedEarnings,annualTotalLiabilitiesNetMinorityInterest,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,annualCommonStockIssuance,annualFreeCashFlow,annualBasicAverageShares,quarterlyGoodwill,quarterlyOperatingExpense,trailingFreeCashFlow,trailingOperatingCashFlow,annualRetainedEarnings,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,trailingNetIncomeCommonStockholders,annualTaxProvision,annualNetIncome,quarterlyNetOtherInvestingChanges,annualBeginningCashPosition,annualTotalAssets,annualCashDividendsPaid,quarterlyRepaymentOfDebt,annualSellingGeneralAndAdministration,trailingTaxProvision,annualOtherNonCashItems,trailingRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,trailingCostOfRevenue,trailingNetOtherInvestingChanges,annualNonCurrentDeferredTaxesLiabilities,annualLongTermDebt,quarterlyIncomeTaxPayable,trailingOperatingIncome,trailingDeferredIncomeTax,annualDeferredIncomeTax,annualOtherNonCurrentLiabilities,quarterlyChangeInWorkingCapital,trailingChangeInAccountPayable,quarterlyOtherNonCurrentAssets,annualInventory,annualTotalNonCurrentAssets,annualStockBasedCompensation,annualCurrentLiabilities,annualOtherNonCurrentAssets,quarterlyCurrentAssets,quarterlyOtherIncomeExpense,trailingOtherNonCashItems,annualCurrentDebt,quarterlyOtherNonCashItems,annualChangeInInventory,trailingGrossProfit,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyRepurchaseOfCapitalStock,annualChangesInAccountReceivables,quarterlyCurrentLiabilities,quarterlyCurrentDebt,quarterlyOtherCurrentAssets,annualGrossProfit,quarterlyChangesInAccountReceivables,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyInventory,trailingBasicEPS,quarterlyTotalNonCurrentAssets,trailingBasicAverageShares,annualNonCurrentDeferredRevenue,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCashCashEquivalentsAndMarketableSecurities,annualCurrentDeferredRevenue,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,annualRepurchaseOfCapitalStock,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,annualEbitda,annualAccountsReceivable,quarterlyCostOfRevenue,quarterlyLongTermDebt,annualGainsLossesNotAffectingRetainedEarnings,annualCostOfRevenue,trailingCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,annualOtherCurrentLiabilities,trailingChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,annualOtherShortTermInvestments,quarterlyCurrentDeferredRevenue,annualCurrentAssets,annualOtherIncomeExpense,annualChangeInAccountPayable,quarterlyOtherShortTermInvestments,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,annualOtherCurrentAssets,quarterlyCurrentAccruedExpenses,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyResearchAndDevelopment,trailingResearchAndDevelopment,quarterlyAccountsReceivable,annualIncomeTaxPayable,trailingDepreciationAndAmortization,quarterlyGrossProfit,trailingOtherIncomeExpense,quarterlyEbitda,annualResearchAndDevelopment,quarterlyChangeInInventory,trailingDilutedAverageShares,quarterlyAccumulatedDepreciation
1970-01-01 00:00:01.072828800,1940000000.0,,,,,-3344000000.0,203752000000.0,,,,13266000000.0,2911369000000.0,-629000000.0,,,0.149192,-82088000000.0,,248460000000.0,,,186391000000.0,,,,,,80841000000.0,-60699000000.0,,,0.149192,-455623000000.0,,13348000000.0,129237000000.0,186390000000.0,,,120324000000.0,362754000000.0,448950000000.0,1241121000000.0,-2990171000000.0,542913000000.0,,38573000000.0,,-155064000000.0,54826000000.0,-40364000000.0,,,,,,80841000000.0,22766000000.0,-104005000000.0,,,8017000000.0,,200933000000.0,,,134742000000.0,,57979000000.0,148096000000.0,31897000000.0,267159000000.0,-5938000000.0,,,162250000000.0,,1410937000000.0,40370000000.0,28707000000.0,,192288000000.0,,3750489000000.0,,,162239000000.0,-66637000000.0,,,,-509788000000.0,-469424000000.0,-26624000000.0,,,186391000000.0,6676000000.0,28707000000.0,,328626000000.0,3979965000000.0,-1316000000.0,,34041000000.0,47527000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.104451200,2262000000.0,,,,,,205351000000.0,,,,-2423000000.0,,-891000000.0,,,0.108785,,,,,,,,,,,,76586000000.0,-100738000000.0,,,0.108785,,,76000000.0,143674000000.0,186390000000.0,,-3640000000.0,-82808000000.0,,366142000000.0,,,,,34576000000.0,,,57841000000.0,,,,,,,76586000000.0,22674000000.0,,,,8074000000.0,,,,,,,62036000000.0,,25246000000.0,284348000000.0,-6757000000.0,,,15000000.0,,,43918000000.0,20932000000.0,,,,4037705000000.0,,,,-107495000000.0,,,,,,17373000000.0,,,,9330000000.0,20932000000.0,,448950000000.0,4270443000000.0,-2649000000.0,,41915000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.135987200,2422000000.0,,15393000000.0,,,,233842000000.0,,,,-2425000000.0,,-3187000000.0,,,0.126943,,,,,,,,,,,,,13883000000.0,209427000000.0,,0.126943,,,116000000.0,177288000000.0,209427000000.0,,,30970000000.0,,397112000000.0,,,,4742806000000.0,55140000000.0,,,64744000000.0,,,,,,316941000000.0,,27024000000.0,,27024000000.0,4480186000000.0,15393000000.0,,,,,,,101559000000.0,,32597000000.0,316941000000.0,-5951000000.0,,,27018000000.0,,,66940000000.0,27492000000.0,,,12585000000.0,4480186000000.0,,,27001000000.0,7932000000.0,,,,,,12585000000.0,233842000000.0,,,22543000000.0,27492000000.0,,366142000000.0,4742806000000.0,-31376000000.0,,45604000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.143763200,,10041000000.0,,,,,,,11149000000.0,-29711000000.0,,,,9898000000.0,-595000000.0,,,6508000000.0,,,,,0.048434,,-23167000000.0,,10041000000.0,,,,397112000000.0,,,,,,,-30306000000.0,,,,,,,,,,9898000000.0,,,,,,204360046800.0,21826000000.0,,,,,,,,0.048434,,17271000000.0,33332000000.0,,,,,,,,204360046800.0,373945000000.0,,-249000000.0,,,,-1478000000.0,,,,,17657000000.0,,,,,14348000000.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.151625600,,107230000000.0,14775000000.0,,,,,,10502000000.0,-88280000000.0,,,,9126000000.0,-1595000000.0,,,5854000000.0,,,,,,,15528000000.0,,107382000000.0,,,253839000000.0,373945000000.0,,,,,,,-89875000000.0,,,,,,,,5226933000000.0,,9126000000.0,,,,,,,23475000000.0,340651000000.0,,,,31485000000.0,4840480000000.0,,,,21151000000.0,73584000000.0,,,,,,,,,389473000000.0,,-957000000.0,,,,-3167000000.0,,23837000000.0,,,16356000000.0,,,,,49270000000.0,,,,357641000000.0,,,,,359000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.159574400,,-117514000000.0,,,,,,,13681000000.0,29528000000.0,,,,12517000000.0,-1015000000.0,,,6604000000.0,,69886000000.0,,,0.047621,,25629000000.0,,-117405000000.0,,,253839000000.0,389473000000.0,,,,,,,28513000000.0,,,,,,,,5268846000000.0,,12517000000.0,,,,1481000000.0,,204360046800.0,24228000000.0,42209000000.0,,,,35868000000.0,4862073000000.0,,0.047621,,22291000000.0,58571000000.0,,69886000000.0,,,,,,204360046800.0,415102000000.0,,453000000.0,,,,-132000000.0,,36323000000.0,,,20285000000.0,,,,,34058000000.0,,,,378349000000.0,12052000000.0,,,,140000000.0,,,,-2154000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.167523200,3279000000.0,117125000000.0,1922535000000.0,-5373000000.0,240257602000.0,,388254000000.0,,11820000000.0,116371000000.0,-6313000000.0,,-1635000000.0,10351000000.0,-4220000000.0,0.174363,,891000000.0,,98393000000.0,0.0,,,0.0,104842000000.0,,117405000000.0,98393000000.0,27908000000.0,253839000000.0,415102000000.0,0.174363,,0.0,201000000.0,137628000000.0,253839000000.0,112151000000.0,,122832000000.0,,519944000000.0,,,,5325273000000.0,67009000000.0,10351000000.0,,77552000000.0,,-2846000000.0,,,24434000000.0,830344000000.0,98393000000.0,33834000000.0,,33834000000.0,4907459000000.0,1922535000000.0,,,16839000000.0,-27859000000.0,,98393000000.0,60076000000.0,,47152000000.0,830344000000.0,-7425000000.0,,519944000000.0,116882000000.0,-5560000000.0,,93963000000.0,41892000000.0,628000000.0,,39884000000.0,4907459000000.0,-5289000000.0,12711000000.0,117423000000.0,20483000000.0,240257602000.0,0.0,-37600000000.0,,,39884000000.0,388254000000.0,18369000000.0,,19857000000.0,41892000000.0,41000000.0,397112000000.0,5325273000000.0,-4149000000.0,,53614000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.175299200,,128000000.0,1502844000000.0,,,,,,13414000000.0,-777000000.0,,,,12147000000.0,-2464000000.0,,,11003000000.0,,79948000000.0,,,0.048434,,-6433000000.0,,11000000.0,,,253839000000.0,519944000000.0,,,,,,,-3241000000.0,,,,,,,,5603637000000.0,,12147000000.0,,,,48000000.0,25000000.0,250794250200.0,25295000000.0,436330000000.0,,,,,5174293000000.0,,0.048434,,24267000000.0,42560000000.0,,79948000000.0,,,,,,250794250200.0,513511000000.0,,-177000000.0,,,,-1673000000.0,,47096000000.0,,-57000000.0,24417000000.0,,,,,16682000000.0,,,,398665000000.0,,,,,25000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.183161600,,40000000.0,1554403000000.0,,,,,,19312000000.0,-13332000000.0,,,,17740000000.0,-2161000000.0,,,6933000000.0,,79138000000.0,,,,,-23495000000.0,,2000000.0,,,253839000000.0,513511000000.0,,,,,,,-15493000000.0,,,,,,,,5838591000000.0,,17740000000.0,,,,8000000.0,113000000.0,,26181000000.0,1003740000000.0,,,,,5408429000000.0,,,,26050000000.0,45606000000.0,,79138000000.0,,,,,,,490016000000.0,,-2356000000.0,,,,-144000000.0,,54519000000.0,,,26245000000.0,,,,,16528000000.0,,,,400209000000.0,,,,,113000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.191110400,,43000000.0,1524933000000.0,,,,,,17257000000.0,3105000000.0,,,,15857000000.0,-2103000000.0,,,7567000000.0,,78563000000.0,,,0.058121,,-8607000000.0,,14000000.0,,,253839000000.0,490016000000.0,,,,,,,1002000000.0,,,,,,,,6020209000000.0,,15857000000.0,,,,9000000.0,,272827613500.0,28298000000.0,498482000000.0,,,,,5569816000000.0,,0.058121,,24807000000.0,48486000000.0,,78563000000.0,,,,,,272827613500.0,481409000000.0,,-727000000.0,,,,-11707000000.0,,70078000000.0,,,24824000000.0,,,,,22015000000.0,,,,420707000000.0,,,,,127000000.0,,,,-709000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
