date,trailingOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,annualCapitalStock,annualOperatingCashFlow,quarterlyCashAndCashEquivalents,annualDilutedAverageShares,quarterlyNetPPE,quarterlyOtherIntangibleAssets,annualOtherIntangibleAssets,annualNetPPE,annualTotalNonCurrentAssets,annualCurrentLiabilities,quarterlyCurrentDebt,annualGrossProfit,annualInventory,quarterlyStockholdersEquity,annualOtherNonCashItems,annualRepaymentOfDebt,quarterlyCapitalStock,trailingRepaymentOfDebt,annualStockholdersEquity,quarterlyInventory,trailingInterestExpense,trailingGrossProfit,annualDepreciationAndAmortization,annualOtherCurrentLiabilities,trailingNetIncomeCommonStockholders,annualInvestingCashFlow,annualChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,annualPurchaseOfInvestment,annualBeginningCashPosition,annualBasicEPS,trailingBeginningCashPosition,trailingOperatingExpense,annualInterestExpense,annualCashDividendsPaid,annualLongTermDebt,annualNetIncome,quarterlyOtherCurrentAssets,annualSellingGeneralAndAdministration,annualGoodwill,annualDilutedEPS,annualAccumulatedDepreciation,quarterlyOtherShortTermInvestments,annualNetIncomeContinuousOperations,trailingNetIncomeContinuousOperations,annualPurchaseOfBusiness,annualChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,annualOperatingExpense,trailingNetIncome,quarterlyGrossPPE,quarterlyCurrentLiabilities,trailingSellingGeneralAndAdministration,trailingFreeCashFlow,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredTaxesLiabilities,annualChangeInInventory,quarterlyCurrentAssets,quarterlyAccumulatedDepreciation,annualCostOfRevenue,annualTotalRevenue,annualOtherCurrentAssets,annualCurrentDebt,annualOperatingIncome,annualEndCashPosition,trailingOperatingIncome,trailingCostOfRevenue,trailingTotalRevenue,annualOtherShortTermInvestments,annualCommonStockIssuance,trailingTaxProvision,quarterlyRetainedEarnings,annualFreeCashFlow,trailingEndCashPosition,annualNetOtherFinancingCharges,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualTaxProvision,annualTotalAssets,trailingNetOtherFinancingCharges,annualCapitalExpenditure,quarterlyGoodwill,annualRetainedEarnings,annualAccountsReceivable,annualCurrentAssets,quarterlyLongTermDebt,annualPretaxIncome,trailingCapitalExpenditure,quarterlyTotalAssets,annualNonCurrentDeferredRevenue,annualOtherNonCurrentAssets,annualSaleOfInvestment,quarterlyAccountsReceivable,annualGrossPPE,annualNetIncomeCommonStockholders,trailingChangeInCashSupplementalAsReported,trailingInvestingCashFlow,annualOtherNonCurrentLiabilities,annualEbitda,quarterlyTotalNonCurrentAssets,annualCashCashEquivalentsAndMarketableSecurities,annualBasicAverageShares,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,trailingPretaxIncome,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,quarterlyCostOfRevenue,annualChangesInAccountReceivables,quarterlyOtherNonCashItems,annualCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlyGrossProfit,trailingPurchaseOfInvestment,quarterlySellingGeneralAndAdministration,trailingSaleOfInvestment,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,annualResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,trailingBasicEPS,trailingChangeInInventory,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,trailingChangeInAccountPayable,quarterlyPretaxIncome,trailingRepurchaseOfCapitalStock,trailingCashDividendsPaid,annualOtherIncomeExpense,quarterlyInterestExpense,trailingNetOtherInvestingChanges,quarterlyResearchAndDevelopment,trailingChangesInAccountReceivables,quarterlyTaxProvision,quarterlyEbitda,trailingDilutedAverageShares,trailingCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,trailingCommonStockIssuance,quarterlyIncomeTaxPayable,annualStockBasedCompensation,trailingDepreciationAndAmortization,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,trailingOtherIncomeExpense,quarterlyCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,trailingDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,annualIncomeTaxPayable,quarterlyCashDividendsPaid,trailingBasicAverageShares,trailingOtherNonCashItems,annualDeferredIncomeTax,trailingPurchaseOfBusiness,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,trailingDilutedEPS,quarterlyOperatingExpense,trailingResearchAndDevelopment,quarterlyOperatingIncome,annualRepurchaseOfCapitalStock,trailingChangeInWorkingCapital,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,trailingStockBasedCompensation,quarterlyCurrentAccruedExpenses,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,annualInvestmentsAndAdvances,quarterlyTotalRevenue,annualCurrentDeferredRevenue
1970-01-01 00:00:01.561852800,10226604000.0,,,0.0,2839776000.0,,5000000000.0,,,5083453000.0,24290215000.0,31168950000.0,9412916000.0,,2931823000.0,279250000.0,,848414000.0,-10524527000.0,,-65012193000.0,3875329000.0,,3295652000.0,18122514000.0,1082895000.0,0.0,3938151000.0,-11085675000.0,198061000.0,,,-53050000.0,808769000.0,0.0675,2283037000.0,8766784000.0,932239000.0,,17345042000.0,337448000.0,,194545000.0,,0.0675,-5061514000.0,,613909000.0,4949758000.0,-254652000.0,360058000.0,,1511071000.0,4180151000.0,,,585310000.0,2406439000.0,28976542000.0,23300000.0,-68858000.0,,,5622831000.0,8554654000.0,500967000.0,4686238000.0,1420752000.0,1001935000.0,9355730000.0,8940179000.0,27062693000.0,54000.0,1951099000.0,959032000.0,,-8763636000.0,2044544000.0,0.0,38275000.0,19563626000.0,,,2082000.0,36049407000.0,75091000.0,-11603412000.0,,1039571000.0,1239944000.0,4880457000.0,,615991000.0,-7820165000.0,,2145284000.0,349308000.0,,,29351729000.0,337448000.0,-238493000.0,-6806807000.0,,2631125000.0,,1055039000.0,5000000000.0,,,5908790000.0,1054985000.0,654865000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16502934000.0,44930000.0,7464289000.0,4084908000.0,16502934000.0,5137965000.0,37304544000.0,6086215000.0,6086215000.0,37304544000.0,47586896000.0,23691836000.0,17087069000.0,4867463000.0,332897000.0,21899807000.0,975698000.0,-18361046000.0,7464289000.0,,21899807000.0,332897000.0,,,1590224000.0,0.0,,-15155641000.0,15504583000.0,0.0,0.0,,1001935000.0,0.174,,,1024250000.0,,16219301000.0,894126000.0,502166000.0,255594000.0,,0.174,-6287854000.0,0.0,1647106000.0,,-475693000.0,-83207000.0,2267661000.0,2008992000.0,,43592398000.0,23691836000.0,,,42273728000.0,44930000.0,-17113000.0,20366806000.0,-6287854000.0,4876244000.0,9743707000.0,502166000.0,17087069000.0,2858471000.0,16500757000.0,,,,0.0,17514319000.0,,1077919000.0,-12099560000.0,,0.0,249943000.0,18581892000.0,249943000.0,18581892000.0,296490000.0,67953702000.0,,-16184468000.0,,1077919000.0,2170155000.0,20366806000.0,16219301000.0,1943596000.0,,67953702000.0,2267661000.0,2313338000.0,50873000.0,2170155000.0,43592398000.0,894126000.0,,,0.0,4558070000.0,47586896000.0,16502934000.0,5137965000.0,42273728000.0,2313338000.0,,16502934000.0,1183865000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6427984000.0,46464000.0,,,6427984000.0,,40971106000.0,6135382000.0,,,,,15522977000.0,,,22114512000.0,,,7464289000.0,,,734756000.0,,,,,,,,0.0,0.0,,,,,,,,,,446244000.0,,,,,,,,,,2211224000.0,,,,22197988000.0,,,,,,11523271000.0,,,,,,,,,,,,,,,,,,,,1185573000.0,14854981000.0,,,,,,,,,12597293000.0,,,63128460000.0,,,,2939101000.0,,,,,,,51605189000.0,,,37052969000.0,2422781000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4270660000.0,104307000.0,7464289000.0,4020985000.0,4089242000.0,7464289000.0,50641640000.0,7661058000.0,7661058000.0,50641640000.0,64271402000.0,24915360000.0,17200085000.0,6701134000.0,632353000.0,23274787000.0,1028824000.0,-32641946000.0,7464289000.0,,23274787000.0,632353000.0,,,2235719000.0,0.0,,-17699770000.0,-12365387000.0,0.0,0.0,-9465000.0,16500757000.0,0.2704,,,1088359000.0,-632042000.0,19974660000.0,2018570000.0,285363000.0,403260000.0,11541000.0,0.2704,-7234692000.0,181418000.0,2769961000.0,,-226537000.0,-1812845000.0,2225456000.0,2619843000.0,,57876332000.0,24915360000.0,,,47219783000.0,104307000.0,-285759000.0,10362136000.0,-7234692000.0,7511707000.0,14212841000.0,285363000.0,17200085000.0,4081291000.0,4077600000.0,,,,181418000.0,125790000.0,,2460000000.0,-13824099000.0,,0.0,486986000.0,22304423000.0,486986000.0,22304423000.0,441024000.0,74633538000.0,,-17845084000.0,11541000.0,2460000000.0,3434397000.0,10362136000.0,19974660000.0,3210985000.0,,74633538000.0,2225456000.0,3438967000.0,0.0,3434397000.0,57876332000.0,2018570000.0,,,0.0,6535063000.0,64271402000.0,4270660000.0,7464289000.0,47219783000.0,3438967000.0,,4089242000.0,179823000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3825693000.0,102847000.0,,,3479590000.0,,53284747000.0,7588498000.0,,,,,16023563000.0,,,24272465000.0,,,7464289000.0,,,952547000.0,,,,,,,,0.0,0.0,,,,,,,,,,118196000.0,,,,,346103000.0,,,,,2158467000.0,,,,23378622000.0,,,,,,12048549000.0,,,,,,,,,,,,,,3329047000.0,,,,,,575069000.0,27137367000.0,,,,,11541000.0,,,,24876053000.0,,,78951725000.0,,,,3655412000.0,,,,,,,66903176000.0,,,50515989000.0,3286469000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4050956000.0,100550000.0,7464289000.0,5624023000.0,3644915000.0,7464289000.0,61337323000.0,8162178000.0,8162178000.0,61337323000.0,77132523000.0,26345362000.0,16368831000.0,8264717000.0,889801000.0,25490208000.0,1504730000.0,-28337373000.0,7464289000.0,,25490208000.0,889801000.0,,,2845403000.0,0.0,,-14034115000.0,-773241000.0,494133000.0,0.0,-338358000.0,4080847000.0,0.3534,,,1887072000.0,-403072000.0,31308411000.0,2637989000.0,176347000.0,547774000.0,11541000.0,0.3534,-9703495000.0,406041000.0,3304493000.0,,-1071046000.0,-1632559000.0,1992723000.0,3228314000.0,,71040818000.0,26345362000.0,,,60241179000.0,100550000.0,-249575000.0,12974307000.0,-9703495000.0,7894721000.0,16159438000.0,176347000.0,16368831000.0,5036403000.0,3294915000.0,,,,406041000.0,71806000.0,,4554890000.0,-7424378000.0,,0.0,1597000000.0,33895817000.0,1597000000.0,33895817000.0,304964000.0,90106830000.0,,-13048401000.0,11541000.0,4554890000.0,5012641000.0,12974307000.0,31308411000.0,3609457000.0,,90106830000.0,1992723000.0,4555847000.0,342975000.0,5012641000.0,71040818000.0,2637989000.0,,,494133000.0,8341932000.0,77132523000.0,4050956000.0,7464289000.0,60241179000.0,4555847000.0,,3644915000.0,121282000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4204141000.0,102254000.0,,,3899223000.0,,66789417000.0,8161115000.0,,,,,21850680000.0,,,26020366000.0,,,7464289000.0,,,990412000.0,,,,,,,,662151000.0,0.0,,,,,,,,,,670798000.0,,,,,304918000.0,,,,,1925505000.0,,,,30598036000.0,,,,,,15129862000.0,,,,,,,,,,,,,,,,,,,,1216940000.0,36344493000.0,,,,,11541000.0,,,,33654583000.0,,,97608240000.0,,,,6056952000.0,,,,,,,82478378000.0,,,66942529000.0,4167884000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5439321000.0,97691000.0,8036389000.0,6997635000.0,5137584000.0,7481483000.0,74769875000.0,8321840000.0,8321840000.0,74769875000.0,90053746000.0,36074948000.0,26169965000.0,9237180000.0,816414000.0,29429434000.0,2490588000.0,-15528235000.0,8036389000.0,,29429434000.0,816414000.0,,,3696763000.0,0.0,,-14117487000.0,1735761000.0,859988000.0,0.0,-912090000.0,3358190000.0,0.3466,,,2550867000.0,-515215000.0,32482141000.0,2593239000.0,231530000.0,401614000.0,11541000.0,0.3466,-13449402000.0,301737000.0,3325294000.0,,-1758855000.0,-2161056000.0,1903165000.0,3211485000.0,,88219277000.0,36074948000.0,,,71417933000.0,97691000.0,109370000.0,17786113000.0,-13449402000.0,8051005000.0,17288185000.0,231530000.0,26169965000.0,6025695000.0,5080718000.0,,,,301737000.0,2295373000.0,,6448978000.0,-6747029000.0,,29500000.0,874966000.0,35342985000.0,874966000.0,35342985000.0,342093000.0,107839859000.0,,-13744664000.0,11541000.0,6448978000.0,7786056000.0,17786113000.0,32482141000.0,3667387000.0,,107839859000.0,1903165000.0,4000000.0,293134000.0,7786056000.0,88219277000.0,2593239000.0,,,859988000.0,9915017000.0,90053746000.0,5439321000.0,7481483000.0,71417933000.0,4000000.0,,5137584000.0,74965000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3869826000.0,123819000.0,,,3328346000.0,,76766029000.0,8618288000.0,,,,,25652379000.0,,,30338379000.0,,,8036389000.0,,,837442000.0,,,,,,,,880955000.0,0.0,,,,,,,,,,114495000.0,,,,,541480000.0,,,,,1837129000.0,,,76766029000.0,34874692000.0,,,,,,14858836000.0,-1868410000.0,,,,,,,,,,,,,7223832000.0,,,,,,308068000.0,34358722000.0,,,,,11541000.0,,,,31516819000.0,,,106894554000.0,,,,7280376000.0,,,,,,,92035718000.0,,,69233414000.0,4000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3030674000.0,116158000.0,8036389000.0,13610832000.0,2714742000.0,8036389000.0,81251624000.0,8684012000.0,8684012000.0,81251624000.0,96907503000.0,36676231000.0,24680237000.0,11335766000.0,753117000.0,30908033000.0,2749712000.0,-23633776000.0,8036389000.0,,30908033000.0,753117000.0,,,4391178000.0,0.0,,-10299418000.0,-2350719000.0,1003691000.0,0.0,,5080718000.0,0.255,,,2810036000.0,-511918000.0,32961219000.0,2049465000.0,725425000.0,396318000.0,11541000.0,0.255,-17925204000.0,315932000.0,2968147000.0,,-372080000.0,3085050000.0,1876106000.0,5356053000.0,,99176828000.0,36676231000.0,,,72633405000.0,116158000.0,64489000.0,13766271000.0,-17925204000.0,7786864000.0,19122630000.0,725425000.0,24680237000.0,5979713000.0,2714742000.0,,,,315932000.0,0.0,,7808883000.0,3292455000.0,,41065000.0,1075268000.0,35957174000.0,1075268000.0,35957174000.0,560945000.0,110673774000.0,,-10318377000.0,11541000.0,7808883000.0,6812189000.0,13766271000.0,32961219000.0,3529092000.0,,110673774000.0,1876106000.0,4481856000.0,56866000.0,6812189000.0,99176828000.0,2049465000.0,,,1003691000.0,10730306000.0,96907503000.0,3030674000.0,8036389000.0,72633405000.0,4481856000.0,,2714742000.0,110415000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
