,quarterlyCashDividendsPaid,annualOperatingIncome,annualAccountsPayable,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,annualTotalRevenue,annualEndCashPosition,quarterlySellingGeneralAndAdministration,trailingTotalRevenue,annualTaxProvision,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,quarterlyPurchaseOfInvestment,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,quarterlyFreeCashFlow,annualNetIncomeContinuousOperations,annualPretaxIncome,annualNetIncome,annualCashDividendsPaid,trailingTaxProvision,trailingEndCashPosition,quarterlyTotalAssets,quarterlyDepreciationAndAmortization,quarterlyNetIncomeCommonStockholders,annualFreeCashFlow,annualInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,annualDilutedAverageShares,quarterlyNetIncome,annualSellingGeneralAndAdministration,quarterlyBasicEPS,quarterlyTotalLiabilitiesNetMinorityInterest,annualStockholdersEquity,annualTotalAssets,trailingSaleOfInvestment,trailingPretaxIncome,quarterlyNetOtherInvestingChanges,annualDepreciationAndAmortization,quarterlyBasicAverageShares,annualNetIncomeCommonStockholders,quarterlyGoodwill,annualDilutedEPS,annualRetainedEarnings,trailingNetIncomeCommonStockholders,quarterlyInvestmentsAndAdvances,quarterlyInvestingCashFlow,annualCommonStockIssuance,quarterlyEndCashPosition,annualOtherIntangibleAssets,annualSaleOfInvestment,annualNetPPE,quarterlyOperatingExpense,quarterlyPretaxIncome,annualCapitalStock,trailingOperatingCashFlow,quarterlyCashAndCashEquivalents,annualBasicEPS,annualOperatingCashFlow,quarterlyCapitalStock,trailingRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,quarterlyStockholdersEquity,quarterlyPurchaseOfBusiness,annualChangeInInventory,annualBasicAverageShares,trailingChangeInCashSupplementalAsReported,annualGrossPPE,quarterlyCapitalExpenditure,annualPurchaseOfBusiness,annualOtherNonCashItems,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyDilutedAverageShares,annualCapitalExpenditure,annualInvestingCashFlow,quarterlySaleOfInvestment,trailingOperatingExpense,quarterlyOperatingCashFlow,trailingInvestingCashFlow,annualPurchaseOfInvestment,annualBeginningCashPosition,annualOperatingExpense,trailingSellingGeneralAndAdministration,trailingCapitalExpenditure,trailingPurchaseOfBusiness,trailingBeginningCashPosition,quarterlyChangeInWorkingCapital,trailingPurchaseOfInvestment,quarterlyAccountsPayable,trailingNetIncome,quarterlyTotalRevenue,quarterlyGrossPPE,trailingCashDividendsPaid,quarterlyOperatingIncome,trailingInterestExpense,trailingNetOtherFinancingCharges,quarterlyDilutedEPS,annualChangeInCashSupplementalAsReported,quarterlyNetPPE,quarterlyCommonStockIssuance,quarterlyTaxProvision,annualChangeInWorkingCapital,annualRepaymentOfDebt,trailingNetIncomeContinuousOperations,annualInterestExpense,trailingChangeInWorkingCapital,quarterlyChangeInCashSupplementalAsReported,annualGoodwill,annualNetOtherFinancingCharges,trailingRepurchaseOfCapitalStock,trailingCostOfRevenue,trailingNetOtherInvestingChanges,annualNonCurrentDeferredTaxesLiabilities,annualLongTermDebt,quarterlyIncomeTaxPayable,trailingOperatingIncome,trailingDeferredIncomeTax,annualDeferredIncomeTax,annualOtherNonCurrentLiabilities,trailingChangeInAccountPayable,quarterlyOtherNonCurrentAssets,annualInventory,annualTotalNonCurrentAssets,annualStockBasedCompensation,annualCurrentLiabilities,annualOtherNonCurrentAssets,quarterlyCurrentAssets,quarterlyOtherIncomeExpense,trailingOtherNonCashItems,annualCurrentDebt,trailingGrossProfit,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyRepurchaseOfCapitalStock,annualChangesInAccountReceivables,quarterlyCurrentLiabilities,quarterlyCurrentDebt,quarterlyOtherCurrentAssets,annualGrossProfit,quarterlyChangesInAccountReceivables,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyInventory,trailingBasicEPS,quarterlyTotalNonCurrentAssets,trailingBasicAverageShares,annualNonCurrentDeferredRevenue,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCashCashEquivalentsAndMarketableSecurities,annualCurrentDeferredRevenue,trailingChangesInAccountReceivables,annualRepurchaseOfCapitalStock,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,annualEbitda,annualAccountsReceivable,quarterlyCostOfRevenue,quarterlyLongTermDebt,annualGainsLossesNotAffectingRetainedEarnings,annualCostOfRevenue,trailingCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,annualOtherCurrentLiabilities,trailingChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,annualOtherShortTermInvestments,quarterlyCurrentDeferredRevenue,annualCurrentAssets,annualOtherIncomeExpense,annualChangeInAccountPayable,quarterlyOtherShortTermInvestments,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,annualOtherCurrentAssets,quarterlyCurrentAccruedExpenses,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyResearchAndDevelopment,trailingResearchAndDevelopment,quarterlyAccountsReceivable,annualIncomeTaxPayable,trailingDepreciationAndAmortization,quarterlyGrossProfit,trailingOtherIncomeExpense,quarterlyEbitda,annualResearchAndDevelopment,quarterlyChangeInInventory,trailingDilutedAverageShares,quarterlyAccumulatedDepreciation
1009756800,,5796000000.0,,,,100209000000.0,,,,24000000.0,2644805000000.0,,,,,,5167000000.0,5191000000.0,5167000000.0,,,,,,,,,,,,31549000000.0,,,107567000000.0,2752372000000.0,,,,,,5167000000.0,,,1585000000.0,,,,,,,,,,,85115000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94413000000.0,,,,,,,,,,,,,,,,,,,,,,,43937000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041292800,,15243000000.0,,,,103748000000.0,,,,33000000.0,2975959000000.0,,,,,,4304000000.0,4337000000.0,4304000000.0,,,,,,,,,,,,34890000000.0,,,107236000000.0,3083195000000.0,,,,,,4304000000.0,,,,,,,,,,,,,,85115000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88505000000.0,,,,,,,,,,,,,,,,,,,,,,,38120000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072828800,,22687000000.0,,,,125534000000.0,,,,39000000.0,3367999000000.0,,,636055000000.0,,,411000000.0,450000000.0,411000000.0,,,,,,,,,,,,38417000000.0,,,186280000000.0,3554279000000.0,,,,,,411000000.0,,,14000000.0,,,,,,,,,,,186230000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102847000000.0,,,,,,,,,,,,,,,,,,,,,,,42433000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104451200,,51472000000.0,23480000000.0,,,112579000000.0,220106000000.0,,,2159000000.0,3714369000000.0,,,474875000000.0,777000000.0,,49040000000.0,51199000000.0,49042000000.0,,,,,,,111068000000.0,675402000000.0,,,,45218000000.0,,,195516000000.0,3909920000000.0,,,,8532000000.0,,49042000000.0,,0.26,1048000000.0,,,,8000000000.0,,19955000000.0,543125000000.0,47251000000.0,,,194230000000.0,,,0.26,118167000000.0,,,,,,,,188623076923.0,,47251000000.0,,,2860000000.0,,,,,-7099000000.0,-285387000000.0,,,,,-824114000000.0,339435000000.0,51749000000.0,,,,,,,,,,,,,,,,-119329000000.0,,,,54397000000.0,,,45708000000.0,,,,7894000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135987200,,54523000000.0,26132000000.0,,,127268000000.0,280757000000.0,,,8268000000.0,4298065000000.0,,,599126000000.0,540000000.0,,47096000000.0,55364000000.0,47103000000.0,-2914000000.0,,,,,,294452000000.0,982288000000.0,,,,49999000000.0,,,287579000000.0,4585742000000.0,,,,6686000000.0,,47103000000.0,,0.24,4783000000.0,,,,,,19428000000.0,591901000000.0,48820000000.0,,,224689000000.0,,,0.24,303444000000.0,,,,,,,,196262500000.0,,48820000000.0,,,12154000000.0,,,,,-8992000000.0,-311596000000.0,,,,,-895920000000.0,220106000000.0,57487000000.0,,,,,,,,,,,,,,,,60651000000.0,,,,234322000000.0,,,57050000000.0,,,,-1015000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167523200,,64804000000.0,34305000000.0,43092000000.0,,150212000000.0,167489000000.0,,,19398000000.0,5118307000000.0,,,589117000000.0,430000000.0,,46319000000.0,65717000000.0,46322000000.0,-6638000000.0,,,5448511000000.0,,,402741000000.0,1377652000000.0,,,,57076000000.0,,5118307000000.0,330109000000.0,5448511000000.0,,,,6994000000.0,,46322000000.0,1743000000.0,0.21,43092000000.0,,1377652000000.0,,,,19195000000.0,663548000000.0,51591000000.0,,,224689000000.0,,589117000000.0,0.21,412759000000.0,224689000000.0,,,,330109000000.0,,,220580952381.0,,51591000000.0,,-3905000000.0,18780000000.0,,,19195000000.0,,-10018000000.0,-515679000000.0,,,,,-1166100000000.0,280757000000.0,66194000000.0,,,,,,,34305000000.0,,,51591000000.0,,,,,,-113268000000.0,51591000000.0,,,332991000000.0,,,74821000000.0,,,1743000000.0,-1872000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183161600,,,,17211000000.0,,,,,,,,,,,,,,,,,,,6117791000000.0,,,,,,,,,,5792053000000.0,,,,,,,,,1689000000.0,,,,1626688000000.0,,,,,,,,,,,717525000000.0,,,224689000000.0,,,,325609000000.0,,,,,,,,,,,18907000000.0,,,,,,,,,,,,,,,,,37904000000.0,,,50133000000.0,,,,,,,50133000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191110400,,,,23641000000.0,-29892000000.0,,,16416000000.0,,,,,-378058000000.0,,,60549000000.0,,,,,,,6406041000000.0,1969000000.0,22806000000.0,,,22846000000.0,,22806000000.0,,0.1,6016119000000.0,,,,,55000000.0,,228060000000.0,,1674000000.0,,,,1616232000000.0,-64561000000.0,,190456000000.0,,,,19756000000.0,33251000000.0,,,90291000000.0,,,233689000000.0,,158168000000.0,,389753000000.0,,,,,,-933000000.0,,,57306000000.0,24194000000.0,18659000000.0,228060000000.0,,,314334000000.0,,61482000000.0,,,,,,,,,25598000000.0,,39223000000.0,,59477000000.0,49609000000.0,,33125000000.0,,,0.1,,49609000000.0,,10405000000.0,,,,,,32288000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199059200,-32073000000.0,100535000000.0,38902000000.0,32164000000.0,-8406000000.0,219438000000.0,180508000000.0,31080000000.0,,31674000000.0,6175896000000.0,,18311000000.0,933535000000.0,343000000.0,-6331000000.0,69142000000.0,100816000000.0,69053000000.0,-53979000000.0,,,6598177000000.0,1400000000.0,12026000000.0,281389000000.0,1666205000000.0,12041000000.0,228108000000.0,12026000000.0,78825000000.0,,6175896000000.0,420977000000.0,6598177000000.0,,,212000000.0,7223000000.0,,69053000000.0,1624000000.0,0.3,32164000000.0,,1666205000000.0,19740000000.0,57119000000.0,180508000000.0,18784000000.0,858087000000.0,56421000000.0,34520000000.0,17023000000.0,233689000000.0,,933535000000.0,0.3,294314000000.0,233689000000.0,,190456000000.0,,420977000000.0,,8309000000.0,230176666667.0,,56421000000.0,-9941000000.0,-1001000000.0,-26971000000.0,-61000000.0,26170000000.0,18784000000.0,,-12925000000.0,-282707000000.0,10925000000.0,,3610000000.0,,-1128576000000.0,167489000000.0,91329000000.0,,,,,-3708000000.0,,38902000000.0,,60649000000.0,56421000000.0,,17120000000.0,,,,13019000000.0,56421000000.0,-61000000.0,4982000000.0,192760000000.0,,,92048000000.0,,-9948000000.0,1624000000.0,57119000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206921600,,,,64263000000.0,-1392000000.0,,,17914000000.0,,,,,-312677000000.0,,,-14416000000.0,,,,,,,6875030000000.0,2058000000.0,32118000000.0,,,32129000000.0,,32118000000.0,,0.14,6426661000000.0,,,,,14000000.0,,229414285714.0,,1562000000.0,,,,1705553000000.0,-39973000000.0,,128274000000.0,,,,21688000000.0,41796000000.0,,,70664000000.0,,,233689000000.0,,180508000000.0,,447015000000.0,-363000000.0,,,,,-1212000000.0,,,0.0,29178000000.0,18485000000.0,,,,274018000000.0,,-13204000000.0,,,,,,,,,-49416000000.0,,42785000000.0,,64906000000.0,55625000000.0,,41667000000.0,,,0.14,,55625000000.0,,9667000000.0,,,,,,-52234000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
