,trailingInterestExpense,quarterlyOtherCurrentAssets,annualChangeInCashSupplementalAsReported,annualBeginningCashPosition,annualCurrentAssets,trailingChangeInCashSupplementalAsReported,annualGrossPPE,annualNetIncomeCommonStockholders,annualOtherNonCurrentLiabilities,annualInterestExpense,trailingRepaymentOfDebt,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,annualRepaymentOfDebt,annualOtherIncomeExpense,annualSellingGeneralAndAdministration,annualCapitalExpenditure,trailingGrossProfit,annualBasicEPS,quarterlyCapitalStock,annualTotalNonCurrentAssets,quarterlyBasicEPS,trailingNetIncomeCommonStockholders,trailingCapitalExpenditure,trailingNetOtherFinancingCharges,quarterlyStockholdersEquity,annualOtherCurrentLiabilities,annualCashFlowFromContinuingFinancingActivities,annualCurrentDebt,trailingTaxProvision,annualInventory,quarterlyNetPPE,quarterlyAccumulatedDepreciation,annualOtherCurrentAssets,annualCostOfRevenue,annualTotalRevenue,annualCapitalStock,annualPurchaseOfBusiness,trailingDepreciationAndAmortization,annualNetOtherFinancingCharges,annualFreeCashFlow,annualTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredRevenue,annualAccumulatedDepreciation,trailingOtherNonCashItems,annualBasicAverageShares,quarterlyRetainedEarnings,trailingNetIncomeContinuousOperations,annualGrossProfit,trailingSellingGeneralAndAdministration,annualNetIncomeContinuousOperations,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,annualOperatingExpense,trailingOperatingExpense,trailingPurchaseOfBusiness,trailingCostOfRevenue,quarterlyGrossPPE,annualChangeInInventory,trailingFreeCashFlow,quarterlyDilutedEPS,trailingBeginningCashPosition,trailingNetIncome,quarterlyCurrentAssets,trailingCashDividendsPaid,quarterlyCurrentLiabilities,annualNonCurrentDeferredTaxesLiabilities,trailingPretaxIncome,annualNonCurrentDeferredRevenue,quarterlyTotalAssets,annualNetIncome,quarterlyLongTermDebt,trailingPurchaseOfInvestment,quarterlyOtherNonCurrentLiabilities,annualRetainedEarnings,quarterlyOtherCurrentLiabilities,annualAccountsReceivable,annualPurchaseOfInvestment,trailingInvestingCashFlow,annualCashDividendsPaid,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,annualGoodwill,annualSaleOfInvestment,annualPretaxIncome,trailingChangeInWorkingCapital,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,trailingSaleOfInvestment,annualOtherNonCashItems,annualDepreciationAndAmortization,trailingTotalRevenue,quarterlyGoodwill,annualInvestingCashFlow,annualOperatingIncome,annualLongTermDebt,annualStockholdersEquity,annualEndCashPosition,annualTotalAssets,annualTaxProvision,trailingEndCashPosition,quarterlyInventory,annualCurrentLiabilities,trailingOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,annualDilutedEPS,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,annualOperatingCashFlow,trailingOperatingIncome,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,annualAccountsPayable,annualOtherIntangibleAssets,quarterlyOtherIntangibleAssets,annualOtherShortTermInvestments,annualCommonStockIssuance,annualDilutedAverageShares,annualInvestmentsAndAdvances,annualRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,annualGainsLossesNotAffectingRetainedEarnings,annualEbitda,annualNetPPE,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualCashCashEquivalentsAndMarketableSecurities,annualCurrentDeferredRevenue,quarterlyOperatingIncome,annualChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,trailingChangesInAccountReceivables,trailingResearchAndDevelopment,quarterlyCurrentAccruedExpenses,trailingCommonStockIssuance,quarterlyPurchaseOfBusiness,trailingOtherIncomeExpense,trailingChangeInAccountPayable,annualResearchAndDevelopment,annualStockBasedCompensation,quarterlyNetIncomeContinuousOperations,trailingCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,annualDeferredIncomeTax,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,trailingRepurchaseOfCapitalStock,quarterlyCapitalExpenditure,annualIncomeTaxPayable,quarterlyStockBasedCompensation,trailingStockBasedCompensation,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,trailingDilutedEPS,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,trailingBasicEPS,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,annualChangesInAccountReceivables,trailingDilutedAverageShares,trailingChangeInInventory,quarterlyNetIncome,quarterlyGrossProfit,quarterlyPretaxIncome,trailingDeferredIncomeTax,quarterlyCostOfRevenue,annualCurrentAccruedExpenses,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,trailingNetOtherInvestingChanges,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyEndCashPosition,trailingBasicAverageShares,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyOperatingExpense
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851990400,,,3404000000.0,2379000000.0,30947000000.0,,5779000000.0,10595000000.0,14000000.0,,,,,-295000000.0,,,-371000000.0,,6.02,,64867000000.0,,,,,,2412000000.0,,4639000000.0,,2956000000.0,,,0.0,,13202000000.0,1149000000.0,-202000000.0,,4169000000.0,2921000000.0,22411000000.0,,-922000000.0,,2284987934.0,,,,,14134000000.0,-2015000000.0,,,,,,,-443000000.0,,,,,,,,,,,,13765000000.0,,,,57250000000.0,,,-7805000000.0,,,,,,416000000.0,15734000000.0,,,,,-2387000000.0,216000000.0,,,-12180000000.0,13202000000.0,12016000000.0,68563000000.0,5783000000.0,95814000000.0,1600000000.0,,,10381000000.0,,,6.02,,,3292000000.0,,12030000000.0,,,,,21152000000.0,5154000000.0,2284987934.0,,,47955000000.0,,,,13418000000.0,4857000000.0,5783000000.0,145000000.0,26935000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883526400,,,2174000000.0,5783000000.0,28753000000.0,,3456000000.0,13880000000.0,17000000.0,,,,,-1964000000.0,,,-149000000.0,,7.66,,78633000000.0,,,,,,2826000000.0,,4400000000.0,,3526000000.0,,,0.0,,7857000000.0,1149000000.0,,,-74000000.0,4240000000.0,22475000000.0,,-162000000.0,,2297556240.0,,,,,17711000000.0,1569000000.0,,,,,,,-4076000000.0,,,,,,,,,,,,17602000000.0,,,,71130000000.0,,,-3275000000.0,,,,,,4477000000.0,19031000000.0,,,,,-6439000000.0,74000000.0,,,-5662000000.0,7857000000.0,13642000000.0,82776000000.0,7957000000.0,107386000000.0,1320000000.0,,,8816000000.0,,,7.66,,,4389000000.0,,13659000000.0,,,,,15675000000.0,0.0,2297556240.0,,,67521000000.0,,,,7931000000.0,3294000000.0,8957000000.0,82000000.0,24632000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915062400,,,-4644000000.0,7957000000.0,19514000000.0,,14090000000.0,3447000000.0,12000000.0,,,,,-3618000000.0,,,-8938000000.0,,2.66,,93544000000.0,,,,,,2022000000.0,,4814000000.0,,,,,0.0,,11865000000.0,1149000000.0,-2443000000.0,,2089000000.0,1886000000.0,22447000000.0,,-154000000.0,,2297556240.0,,,,,6153000000.0,8043000000.0,,,,,,,8903000000.0,,,,,,,,,,,,6112000000.0,,,,74577000000.0,,,-181000000.0,,,,,,1106000000.0,7322000000.0,,,,,2855000000.0,52000000.0,,,-14574000000.0,11865000000.0,10245000000.0,85448000000.0,3313000000.0,113058000000.0,1169000000.0,,,12190000000.0,,,2.66,,,10824000000.0,,10257000000.0,,,,,13020000000.0,,2297556240.0,,,0.0,,,,11917000000.0,13936000000.0,4313000000.0,-3997000000.0,17333000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946598400,,,24000000.0,3313000000.0,21844000000.0,,22371000000.0,59373000000.0,33000000.0,667000000.0,,,,,,,-3638000000.0,,25.84,,151786000000.0,,,,,,4628000000.0,,7428000000.0,,13961000000.0,,,0.0,2144000000.0,5135000000.0,1149000000.0,-2678000000.0,,2498000000.0,-5315000000.0,25151000000.0,,-1081000000.0,,2297556240.0,,,2991000000.0,,58491000000.0,-2819000000.0,,870000000.0,,,,,-3062000000.0,,,,,,,,,,,,59373000000.0,,,,130780000000.0,,,-382000000.0,,,,,,2154000000.0,59265000000.0,,,,,-387000000.0,46000000.0,,,-3404000000.0,2121000000.0,10238000000.0,141743000000.0,3337000000.0,173630000000.0,774000000.0,,,14880000000.0,,,25.84,,,-1677000000.0,,10271000000.0,,4628000000.0,,,2773000000.0,,2297556240.0,,,519000000.0,,,,60071000000.0,21290000000.0,3337000000.0,1000000000.0,6110000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978220800,,,-908000000.0,3337000000.0,24049000000.0,,16329000000.0,15730000000.0,12000000.0,725000000.0,,,,,,,,,8.42,,164706000000.0,,,,,,1565000000.0,,7250000000.0,,18039000000.0,,,0.0,2738000000.0,5715000000.0,1158000000.0,-80000000.0,,1168000000.0,200000000.0,26139000000.0,,-1084000000.0,,2307521232.0,,,2977000000.0,,19308000000.0,-2217000000.0,,7000000.0,,,,,,,,,,,,,,,,,19436000000.0,,,,146510000000.0,,,-561000000.0,,,,,,300000000.0,20526000000.0,,,,,51000000.0,57000000.0,,,-3503000000.0,2970000000.0,13806000000.0,159318000000.0,2429000000.0,188755000000.0,1218000000.0,,,12321000000.0,,,8.42,,,200000000.0,,13818000000.0,,,,,2695000000.0,,2307521232.0,,,0.0,,,,21381000000.0,15245000000.0,2429000000.0,-3423000000.0,5124000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009756800,,,-854000000.0,2429000000.0,25697000000.0,,15969000000.0,7291000000.0,4686000000.0,776000000.0,,,,,,,-293000000.0,,3.15,,170911000000.0,,,,,,1523000000.0,,5653000000.0,,21889000000.0,,,0.0,2927000000.0,5660000000.0,1158000000.0,-3587000000.0,,1416000000.0,-1401000000.0,26449000000.0,,-1128000000.0,,2316164338.0,,,2733000000.0,,7269000000.0,-3920000000.0,,1025000000.0,,,,,,,,,,,,,3000000.0,,,,7291000000.0,,,,150095000000.0,,,-3187000000.0,,,,,,2538000000.0,8478000000.0,,,,,-56000000.0,60000000.0,,,-4487000000.0,1708000000.0,18728000000.0,165473000000.0,1575000000.0,196608000000.0,1209000000.0,,,7718000000.0,,,3.15,,,-1108000000.0,,18731000000.0,,,,,790000000.0,,2316164338.0,,,465000000.0,,,,9314000000.0,14841000000.0,1575000000.0,39000000.0,2365000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041292800,,,581000000.0,1575000000.0,24661000000.0,,20244000000.0,8876000000.0,4495000000.0,650000000.0,,,,-8089000000.0,,,-654000000.0,,3.83,,176406000000.0,,,,,,3159000000.0,,2618000000.0,,20177000000.0,,,0.0,993000000.0,2445000000.0,1158000000.0,-610000000.0,,407000000.0,4381000000.0,25560000000.0,,-1228000000.0,,2316164338.0,,,1452000000.0,,8824000000.0,871000000.0,,-245000000.0,,,,,,,,,,,,,3000000.0,,,,8876000000.0,,,,155167000000.0,,,-625000000.0,,,,,,242000000.0,10162000000.0,,,,,246000000.0,104000000.0,,,-1433000000.0,1697000000.0,19255000000.0,171012000000.0,2156000000.0,201067000000.0,1338000000.0,,,6302000000.0,,,3.83,,,5035000000.0,,19258000000.0,,,,,900000000.0,,2316164338.0,,,542000000.0,,,,10916000000.0,19016000000.0,2156000000.0,210000000.0,3056000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072828800,,,3026000000.0,2156000000.0,24792000000.0,,18541000000.0,9815000000.0,4110000000.0,517000000.0,,,,-6812000000.0,,,-630000000.0,,4.24,,175194000000.0,,,,,,2210000000.0,,1585000000.0,,13891000000.0,,,0.0,6382000000.0,8467000000.0,1158000000.0,-57000000.0,,-218000000.0,7840000000.0,21033000000.0,,-1324000000.0,,2316164338.0,,,2085000000.0,,9817000000.0,3071000000.0,,904000000.0,,,,,,,,,,,,,319000000.0,,,,9815000000.0,,,,159052000000.0,,,-3110000000.0,,,,,,1563000000.0,8980000000.0,,,,,186000000.0,116000000.0,,,-587000000.0,1181000000.0,16357000000.0,174843000000.0,5182000000.0,199986000000.0,-837000000.0,,,4357000000.0,,,4.237609,,,8470000000.0,,16676000000.0,,,,,3659000000.0,,2316164338.0,,,929000000.0,,,,9613000000.0,17217000000.0,5182000000.0,133000000.0,8841000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104451200,,,-1149000000.0,5182000000.0,33139000000.0,,19803000000.0,12380000000.0,5232000000.0,350000000.0,,,,-4536000000.0,,,-656000000.0,,5.35,,176981000000.0,,,,,,2663000000.0,,3139000000.0,,25812000000.0,,,0.0,10176000000.0,12149000000.0,1158000000.0,-744000000.0,,1025000000.0,-4929000000.0,24723000000.0,,-1418000000.0,,2316164338.0,,,1973000000.0,,12472000000.0,-9505000000.0,,-1354000000.0,,,,,,,,,,,,,461000000.0,,,,12380000000.0,,,,165746000000.0,,,-1700000000.0,,,,,,2472000000.0,12365000000.0,,,,,77000000.0,101000000.0,,,-600000000.0,3327000000.0,17907000000.0,180165000000.0,4033000000.0,210120000000.0,-107000000.0,,,6355000000.0,,,5.35,,,-4273000000.0,,18368000000.0,,,,,1040000000.0,,2316164338.0,,,1245000000.0,,,,12816000000.0,18385000000.0,4033000000.0,4000000.0,5073000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
