,trailingCapitalExpenditure,quarterlySaleOfInvestment,trailingOperatingExpense,annualCurrentAssets,quarterlyGrossPPE,annualOtherNonCurrentAssets,trailingSellingGeneralAndAdministration,annualOperatingExpense,annualSellingGeneralAndAdministration,annualCapitalExpenditure,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,trailingInterestExpense,quarterlyNetOtherInvestingChanges,trailingNetIncomeContinuousOperations,trailingBeginningCashPosition,quarterlyNonCurrentDeferredRevenue,trailingNetIncomeCommonStockholders,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualEbitda,quarterlyEbitda,quarterlyStockholdersEquity,quarterlyGrossProfit,annualNetOtherFinancingCharges,quarterlyEndCashPosition,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyInvestingCashFlow,annualInterestExpense,quarterlyBasicAverageShares,annualResearchAndDevelopment,annualOtherCurrentAssets,annualCostOfRevenue,trailingFreeCashFlow,annualGrossProfit,annualTotalNonCurrentAssets,quarterlySellingGeneralAndAdministration,annualBasicAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,annualTaxProvision,quarterlyTaxProvision,quarterlyRetainedEarnings,annualChangeInInventory,annualTotalLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlyNetPPE,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,trailingCostOfRevenue,annualNetIncomeContinuousOperations,annualOtherNonCashItems,annualPurchaseOfBusiness,quarterlyOperatingIncome,quarterlyTotalRevenue,trailingTaxProvision,quarterlyCapitalExpenditure,annualNetIncome,annualBeginningCashPosition,annualFreeCashFlow,annualCurrentDebt,annualCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,annualAccountsReceivable,quarterlyLongTermDebt,annualInvestingCashFlow,annualPurchaseOfInvestment,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,trailingInvestingCashFlow,annualNonCurrentDeferredRevenue,trailingPretaxIncome,trailingCashDividendsPaid,annualTotalAssets,annualNonCurrentDeferredTaxesLiabilities,trailingSaleOfInvestment,quarterlyResearchAndDevelopment,quarterlyDilutedEPS,annualLongTermDebt,annualStockholdersEquity,trailingPurchaseOfInvestment,trailingNetIncome,trailingNetOtherInvestingChanges,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyAccountsReceivable,annualDepreciationAndAmortization,quarterlyGoodwill,annualChangeInWorkingCapital,annualCurrentLiabilities,annualRetainedEarnings,annualDilutedAverageShares,annualInventory,annualGoodwill,annualSaleOfInvestment,annualOtherShortTermInvestments,quarterlyInventory,annualCommonStockIssuance,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,trailingOperatingIncome,annualAccountsPayable,quarterlyCashAndCashEquivalents,annualOperatingIncome,trailingGrossProfit,annualCapitalStock,quarterlyCashDividendsPaid,trailingResearchAndDevelopment,annualTotalRevenue,annualOtherIntangibleAssets,annualNetPPE,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingRepaymentOfDebt,annualCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyBeginningCashPosition,annualDilutedEPS,trailingTotalRevenue,annualEndCashPosition,annualBasicEPS,quarterlyDilutedAverageShares,annualNetOtherInvestingChanges,quarterlyFreeCashFlow,trailingChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentAssets,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,annualGrossPPE,annualCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,trailingEndCashPosition,annualOtherNonCurrentLiabilities,annualPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,trailingRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,trailingDeferredIncomeTax,annualDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingChangeInAccountPayable,annualStockBasedCompensation,quarterlyOtherIncomeExpense,trailingOtherNonCashItems,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyRepurchaseOfCapitalStock,annualChangesInAccountReceivables,trailingOperatingCashFlow,annualInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,trailingBasicEPS,trailingBasicAverageShares,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCurrentDeferredRevenue,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,annualRepurchaseOfCapitalStock,annualAccumulatedDepreciation,annualGainsLossesNotAffectingRetainedEarnings,trailingCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,trailingChangeInInventory,trailingPurchaseOfBusiness,quarterlyCurrentDeferredRevenue,annualOtherIncomeExpense,annualChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,annualIncomeTaxPayable,trailingDepreciationAndAmortization,trailingOtherIncomeExpense,quarterlyChangeInInventory,trailingDilutedAverageShares,quarterlyAccumulatedDepreciation
1041292800,,,,529295810.63,,0.0,,-375542.11,375542.11,,,,,,,,,,,29500000.0,2470619.15,,,4384608.5,,,,,,,,,215808.57,,,0.0,15560615.7,,4009066.39,175975979.66,,,,1698180.78,,,,487801171.14,,,,,,,,,2470619.15,,,,,,,2470619.15,,,98500000.0,,,,35704345.54,,,,,,,,,,,,705271790.29,,,,,23720000.0,217470619.15,,,,,,,,,,,464081171.14,2100026.27,,230651745.87,,,0.0,,,23720000.0,,,325550197.59,,4384608.5,,215000000.0,,,19569682.09,,175975979.66,,,136003301.0,,,,,,,,,,,,,,175975979.66,136003301.0,,,,,0.0,4168799.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072828800,,,,1657041706.82,,6844531.0,,449114516.63,430654242.6,-358427547.88,,,,,,,,,,0.0,273936798.65,-151720000.0,593794067.58,515223940.06,,,,-7847832.0,,,,,28082473.17,,,0.0,2662538366.64,,934632049.9,710838218.6,,,,176285777.95,,,-65931432.3,1915955366.44,,,,,,,,,273936798.65,9507155.38,,,,,,273936798.65,136003301.0,624872066.86,31720000.0,-28427193.79,,,227420585.96,,-353230521.37,,,,,,,,,,2367879925.42,,,,,120000000.0,451924558.98,,,,,,,,36918890.29,,643633067.39,1621731366.44,191932549.64,,279904858.66,,,0.0,,,294224000.0,983299614.74,,1321812701.87,,485517533.27,,215000000.0,,,3597170416.54,231620486.54,472373201.06,,,729797368.58,,,0.082951,,729797368.58,0.082951,,0.0,,,,,,472373201.06,729797368.58,,,,,0.0,450222576.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104451200,,,,3296723658.13,,80000000.0,,805264357.58,773047617.18,-832713273.82,,,,,,,,,,71556000.0,536869562.46,-151720000.0,1378867408.36,909243492.32,,,,1221758270.4,,,,,34567430.45,,,0.0,4647668692.53,,1584312142.98,1617584845.31,,,,205318170.62,,,-170286919.37,2757587137.78,,,,,,,,,536869562.46,7088425.43,,,,,,536869562.46,729797368.58,380363288.48,20000000.0,-72559814.51,,,478106023.72,,-852702110.02,-20000000.0,,,,,,,,,4914308503.44,,,,,,2156721365.66,,,,,,,,132488328.79,,521205456.04,2555360737.78,598771677.74,,429148880.05,,,0.0,,1222964472.05,202226400.0,1213076562.3,,1954006295.23,,779047785.4,,330000000.0,,,6231980835.51,335006793.0,1182578052.31,,,2108664776.94,,,0.105917,,2108664776.94,0.105917,,0.0,,,,,,1182578052.31,2108664776.94,,,,,0.0,742187733.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135987200,,,,2722983369.91,,80915672.4,,815866345.07,783412735.86,-679749271.66,,,,,,,,,,70519200.0,306505677.37,-68445600.0,-1026996772.62,613024903.16,,,,60900000.0,,,,,20596678.89,,,0.0,4093004199.8,,1243558043.96,2579216944.12,,,,95744638.57,,,-211496486.87,2880431221.6,,,,,,,,,308028786.35,10460013.51,,,,,,306505677.37,2108664776.94,-660581141.54,44241200.0,-112232019.23,,,358939145.46,,-1239998701.66,-560250000.0,,,,,,,,,5302200314.03,,,,,290000000.0,2359347944.24,,,,,,,,188654799.35,,-485658725.3,2455613621.6,755141059.44,,645578034.37,,,0.0,,60900000.0,424817600.0,19168130.12,,1779525479.77,,427691698.89,,330000000.0,,,5336562243.76,255389487.94,1665850124.0,,,1081668004.32,,,0.060469,,1081668004.32,0.060469,,0.0,,,,,,1665850124.0,1081668004.32,,,,,62421148.19,403773424.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143763200,,,,,,,,,,,,,,,,,,,,,,,,,1858569600.0,,1858569600.0,,,0.0,0.021484,,,5024507345.0,,,,,,,,,,,,,,,134231000.0,,,,,,,,,,,1858569600.0,1858569600.0,,,,,,,,-16994700.0,,,,,,107948400.0,134231000.0,,0.0,,,,,,,,,0.013672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7895654400.0,,-16994700.0,,,,,,,,107948400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151625600,,,,,,,,,,,,,,,,,,,,,,,,,-1034870952.24,,55435497.31,,,1210937191.85,,,,,,,,,,,,,,,,,,,596351766.47,,,,,,,,,,,-1071510174.42,6805301387.71,,,,,,,,963187707.23,,,,,,329803760.33,456714951.86,,-190879155.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361462405.03,,,,,,,,329803760.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159574400,,-5667964.8,,,2150159094.43,,,,,,0.0,2426019970.62,,52699558.95,,,,,,,,,,,390781076.73,2682400521.16,994885350.19,,,550971325.86,0.026042,-313987382.96,,7914911025.0,,,,,,,529776336.14,,,,50648039.37,1033108459.11,,,334991338.17,3299094311.63,2150159094.43,3715720748.21,233483400.0,,746600290.74,,,,,443914024.33,4228855780.99,,-111547745.56,,,,,,,70519200.0,,150000000.0,,,206117474.61,284343298.8,65218293.24,-380551565.71,,,,,,,,,0.026042,,,,,,,0.0,3233970430.8,1272577529.65,,,,,,,,,,,734456386.75,,,,,,510237282.84,,,,29731499.52,,,,,510237282.84,,,330000000.0,,,,,,7914911025.0,,-67338158.21,,0.0,55789738.56,31740081.74,,,79087600.0,206117474.61,3949204148.21,,,,196588468.07,-1286449.26,6696822962.61,3397728650.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167523200,,0.0,,,,,,0.0,,-876688555.98,,,,1079012517.14,,,,,,,684369819.18,-160000000.0,1052374214.15,6952391503.32,6099382248.45,2929717556.43,5279870607.1,0.0,,-849357128.21,,915494709.51,,,,,,,6682899275.84,7010196318.78,,8004610932.0,,,,,-248136810.63,4080478762.35,304989557.43,,,,,,0.0,,858311525.26,5902662.81,,6101868979.71,1816883871.59,,-163415508.22,684369819.18,1081668004.32,769221423.79,,-130022561.68,,,,,-480215618.64,-684750000.0,241279292.04,412423853.08,,1623804935.63,,,,,7010196318.78,,,,,,2929717556.43,,,,,,,,269492227.48,,715156797.77,,,8004610932.0,,,2632795.2,,,,,1645909979.77,,,,6682899275.84,,330000000.0,-67477515.96,,6682899275.84,,,,,,330000000.0,,0.135016,,2134042218.47,0.135016,,1078590142.14,492091876.97,,,,0.0,,,,241279292.04,4080478762.35,,,858311525.26,,0.0,7010196318.78,7010196318.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175299200,,,,,,,,,,,5442947900.0,,,,,,,,,,,,,,2803552900.0,3221044500.0,2803552900.0,,,0.0,0.048828,,,5051863040.0,,,,,,,,,,,,,,,285231800.0,5442947900.0,,5283986700.0,-5283986700.0,,,,,,,2803552900.0,2803552900.0,,,,,,,,-361843400.0,5283986700.0,,,,,246673000.0,285231800.0,,0.0,,,,,,,,,0.030599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8061483574.0,,-361843400.0,,,,,,,,246673000.0,5824541900.0,,,,,,9108111000.0,3665163100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183161600,,,,,5301496373.84,,,,,,42612.56,7751614919.3,,,,,,,,,,,,,-1038793625.64,4507618463.54,742075890.36,,,1932828659.0,,,,,,,,,,,,,,,,2375214119.63,,,1343361306.06,14690626801.18,5301496373.84,13316850900.32,476354235.45,,,,,,,-839618292.13,12536806601.19,,,,,,,,884813934.48,1369493003.46,,316719571.29,,,728540303.34,1057596159.6,82270247.71,-325315407.79,,,,,,,,,,,,,,,,,,3051093361.23,,7051457.39,,,,,,,,,3421197739.51,,,,,,1776079662.1,,,,,,,,,1776079662.1,,,520653552.0,,,,,,,,184440954.24,,0.0,,,,,1136528598.67,728540303.34,13793205135.77,,,,378396589.77,,21027712884.92,6337086083.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
