,quarterlyInventory,annualChangeInInventory,annualDilutedAverageShares,annualStockBasedCompensation,quarterlyOtherIncomeExpense,annualDepreciationAndAmortization,annualCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyCurrentDebt,annualCurrentLiabilities,trailingCashFlowFromContinuingFinancingActivities,trailingDepreciationAndAmortization,annualInventory,quarterlyInterestExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashFlowFromContinuingFinancingActivities,trailingOperatingCashFlow,annualPurchaseOfBusiness,quarterlyOperatingExpense,annualCapitalStock,trailingOtherNonCashItems,trailingOtherIncomeExpense,quarterlyNetOtherFinancingCharges,annualOtherIntangibleAssets,quarterlyPretaxIncome,annualGrossProfit,quarterlyPurchaseOfBusiness,annualNetPPE,annualNonCurrentDeferredTaxesLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualSaleOfInvestment,quarterlyDilutedEPS,quarterlyOperatingCashFlow,annualOperatingCashFlow,quarterlyOtherNonCurrentAssets,annualEbitda,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,trailingCashDividendsPaid,annualDilutedEPS,quarterlyTaxProvision,quarterlyNetPPE,annualChangeInCashSupplementalAsReported,quarterlyTotalNonCurrentAssets,annualGoodwill,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,annualBasicAverageShares,trailingInterestExpense,trailingPretaxIncome,annualGrossPPE,annualOtherCurrentLiabilities,annualNetOtherInvestingChanges,annualRepaymentOfDebt,annualInterestExpense,annualPretaxIncome,quarterlyFreeCashFlow,annualPurchaseOfInvestment,trailingChangeInWorkingCapital,quarterlyTotalAssets,annualOtherNonCurrentLiabilities,quarterlyBasicAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIntangibleAssets,annualOtherIncomeExpense,trailingGrossProfit,trailingInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlySaleOfInvestment,annualAccountsPayable,annualCapitalExpenditure,annualInvestingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingPurchaseOfInvestment,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,quarterlyCapitalStock,quarterlyAccountsPayable,trailingRepaymentOfDebt,annualEndCashPosition,annualOperatingIncome,annualNonCurrentDeferredRevenue,trailingTotalRevenue,quarterlyEndCashPosition,trailingEndCashPosition,quarterlyInvestingCashFlow,annualNetOtherFinancingCharges,quarterlyTotalRevenue,annualTaxProvision,annualCashAndCashEquivalents,annualCurrentAccruedExpenses,quarterlyEbitda,trailingNetOtherFinancingCharges,trailingTaxProvision,quarterlyPurchaseOfInvestment,annualTotalRevenue,trailingChangeInAccountPayable,annualNetIncomeContinuousOperations,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,annualCurrentDebt,quarterlyBasicEPS,quarterlyNetIncomeCommonStockholders,annualCostOfRevenue,trailingOperatingIncome,trailingRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyCurrentAssets,annualOperatingExpense,annualOtherNonCurrentAssets,annualCommonStockIssuance,quarterlyGrossPPE,trailingFreeCashFlow,trailingSellingGeneralAndAdministration,quarterlyCurrentLiabilities,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,annualChangeInAccountPayable,annualTotalLiabilitiesNetMinorityInterest,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,trailingCostOfRevenue,annualCurrentAssets,annualChangeInWorkingCapital,quarterlyOperatingIncome,trailingNetIncomeContinuousOperations,quarterlyOtherNonCashItems,annualRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,quarterlyChangeInWorkingCapital,trailingOperatingExpense,quarterlyRetainedEarnings,quarterlyNonCurrentDeferredRevenue,annualChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,annualRetainedEarnings,trailingNetIncome,annualTotalAssets,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,trailingNetIncomeCommonStockholders,quarterlyGoodwill,annualNetIncomeCommonStockholders,quarterlyStockholdersEquity,annualBeginningCashPosition,annualAccountsReceivable,quarterlyLongTermDebt,annualNetIncome,annualCashDividendsPaid,quarterlyChangeInInventory,annualSellingGeneralAndAdministration,annualFreeCashFlow,trailingSaleOfInvestment,annualTotalNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,annualLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedAverageShares,annualStockholdersEquity,annualOtherCurrentAssets,annualOtherNonCashItems,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,annualBasicEPS,annualResearchAndDevelopment,trailingBasicAverageShares,annualCurrentDeferredRevenue,trailingStockBasedCompensation,trailingDeferredIncomeTax,annualInvestmentsAndAdvances,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,trailingChangeInInventory,trailingChangesInAccountReceivables,quarterlyInvestmentsAndAdvances,trailingPurchaseOfBusiness,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingBasicEPS,trailingResearchAndDevelopment,quarterlyIncomeTaxPayable,trailingCommonStockIssuance,annualOtherShortTermInvestments,annualIncomeTaxPayable,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315446400,,,22333333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54000000.0,,,,,0.3,,,,,,,,22333333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54000000.0,,,,,,,,,,,,,,,54000000.0,,6700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6700000.0,,,,,6700000.0,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,
347068800,,,22121212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60500000.0,,,,,0.33,,,,,,,,22121212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60500000.0,,,,,,,,,,,,,,,60500000.0,,7300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7300000.0,,,,,7300000.0,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,
378604800,,,21904762.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68300000.0,,,,,0.42,,,,,,,,21904762.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68300000.0,,,,,,,,,,,,,,,68300000.0,,9200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9200000.0,,,,,9200000.0,,,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,
410140800,,,21142857.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71500000.0,,,,,0.35,,,,,,,,21142857.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71500000.0,,,,,,,,,,,,,,,71500000.0,,7800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7400000.0,,,,,7800000.0,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,
441676800,,,21445783.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82700000.0,,,,,0.415,,,,,,,,21445783.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82700000.0,,,,,,,,,,,,,,,82700000.0,,9300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8900000.0,,,,,9300000.0,,,,,,,,,,,,,,,,,,,0.415,,,,,,,,,,,,,,,,,,,,,,,
449539200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21504000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19700000.0,,,,19700000.0,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,19700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600000.0,,,,,21504000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457401600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21624000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,26400000.0,,,,26400000.0,,,,,,,,,,0.135,,,,,,,,,,,,,,,,,,,,,,,,,26400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000.0,,,,,21624000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465350400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21624000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,32000000.0,,,,32000000.0,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,32000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4600000.0,,,,,21624000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473299200,,,21538462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101100000.0,,,,,0.52,,,,,,,,21538462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101100000.0,,,,,,,22900000.0,,,,22900000.0,,,,101100000.0,,11600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22900000.0,,,,,,,,,,,,,,,,,,,,11200000.0,,,,,11600000.0,,,,,,,2400000.0,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,
481075200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21832000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20200000.0,,,,20200000.0,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,20200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800000.0,,,,,21832000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
