,trailingInvestingCashFlow,quarterlyOperatingCashFlow,annualPurchaseOfInvestment,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,trailingSaleOfInvestment,annualInvestingCashFlow,trailingPretaxIncome,trailingCashDividendsPaid,annualTotalAssets,trailingPurchaseOfBusiness,annualNonCurrentDeferredTaxesLiabilities,annualBasicEPS,trailingNetIncome,annualLongTermDebt,annualStockholdersEquity,annualOtherNonCashItems,quarterlyOtherCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyResearchAndDevelopment,trailingPurchaseOfInvestment,annualDepreciationAndAmortization,quarterlyCurrentAccruedExpenses,trailingNetOtherInvestingChanges,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyCommonStockIssuance,quarterlyAccountsReceivable,annualCurrentLiabilities,annualRetainedEarnings,trailingStockBasedCompensation,annualInventory,quarterlyGoodwill,quarterlyBasicEPS,annualGoodwill,annualSaleOfInvestment,annualCommonStockIssuance,quarterlyNonCurrentDeferredTaxesLiabilities,annualStockBasedCompensation,trailingOperatingCashFlow,annualAccountsReceivable,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,trailingChangeInWorkingCapital,quarterlyInventory,annualCapitalStock,annualAccountsPayable,annualChangeInAccountPayable,trailingOtherIncomeExpense,annualTotalRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCashDividendsPaid,annualNetPPE,annualGainsLossesNotAffectingRetainedEarnings,trailingGrossProfit,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingOperatingIncome,quarterlyCashAndCashEquivalents,annualOperatingCashFlow,annualOtherIntangibleAssets,annualOtherShortTermInvestments,annualCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,annualDilutedEPS,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,trailingTotalRevenue,annualEbitda,annualOtherIncomeExpense,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,annualOperatingIncome,annualNetOtherInvestingChanges,annualGrossPPE,annualCashAndCashEquivalents,quarterlyCurrentDebt,trailingChangeInCashSupplementalAsReported,quarterlyInterestExpense,trailingEndCashPosition,quarterlyPurchaseOfInvestment,trailingCashFlowFromContinuingFinancingActivities,annualIncomeTaxPayable,quarterlyTotalLiabilitiesNetMinorityInterest,annualPretaxIncome,quarterlyOtherNonCurrentAssets,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,annualInvestmentsAndAdvances,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyNetOtherFinancingCharges,annualOtherNonCurrentLiabilities,trailingDeferredIncomeTax,trailingCapitalExpenditure,quarterlyIncomeTaxPayable,trailingSellingGeneralAndAdministration,annualCapitalExpenditure,annualOtherNonCurrentAssets,quarterlyRepurchaseOfCapitalStock,annualSellingGeneralAndAdministration,quarterlyGrossPPE,annualDeferredIncomeTax,annualAccumulatedDepreciation,quarterlyDilutedEPS,quarterlySaleOfInvestment,quarterlyOtherCurrentAssets,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,trailingInterestExpense,trailingBeginningCashPosition,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingNetIncomeContinuousOperations,annualCurrentAssets,annualChangesInAccountReceivables,trailingOperatingExpense,annualRepurchaseOfCapitalStock,quarterlyStockBasedCompensation,trailingNetIncomeCommonStockholders,quarterlyNetOtherInvestingChanges,annualDilutedAverageShares,quarterlyStockholdersEquity,annualCurrentAccruedExpenses,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,quarterlyEbitda,annualNetIncomeCommonStockholders,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,trailingRepurchaseOfCapitalStock,annualInterestExpense,quarterlyBasicAverageShares,quarterlyEndCashPosition,annualRepaymentOfDebt,quarterlyInvestingCashFlow,trailingResearchAndDevelopment,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyCurrentLiabilities,quarterlyCurrentDeferredRevenue,annualTotalNonCurrentAssets,quarterlyOtherNonCashItems,annualResearchAndDevelopment,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,trailingFreeCashFlow,annualGrossProfit,annualTotalLiabilitiesNetMinorityInterest,annualTaxProvision,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,trailingCostOfRevenue,annualChangeInWorkingCapital,quarterlyNetPPE,annualOtherCurrentAssets,quarterlyRetainedEarnings,quarterlyTaxProvision,annualBasicAverageShares,quarterlyTotalRevenue,annualNetIncomeContinuousOperations,quarterlyCapitalExpenditure,annualChangeInInventory,quarterlyCashFlowFromContinuingFinancingActivities,trailingDepreciationAndAmortization,quarterlyOperatingIncome,trailingTaxProvision,annualNetIncome,annualCurrentDebt,quarterlyAccumulatedDepreciation,annualFreeCashFlow,annualBeginningCashPosition,annualOperatingExpense,annualCashDividendsPaid,annualCurrentDeferredRevenue,annualCostOfRevenue,annualPurchaseOfBusiness,trailingOtherNonCashItems,quarterlyChangeInAccountPayable,annualNonCurrentDeferredRevenue,trailingDilutedAverageShares,trailingBasicEPS,trailingCommonStockIssuance,trailingChangeInAccountPayable,quarterlyChangeInInventory,trailingBasicAverageShares,trailingChangeInInventory,quarterlyChangesInAccountReceivables,trailingChangesInAccountReceivables,trailingDilutedEPS,quarterlyNonCurrentDeferredRevenue
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915062400,,,,,,,,,-949854651.162791,,,40214389534.88372,,2061773255.813953,0.323401,,2063226744.186047,22516715116.27907,3938953488.372093,,,,,1008720930.232558,,,,,,,10547238372.093023,21521075581.395348,,4865552325.581395,,,,,1453488.372093,,,,4225290697.674419,,,,,,1048691860.465116,1117005813.953488,,,23039244186.046513,7009447674.418605,,8237645348.837209,,,,,,4277616279.069767,,4631540697.674419,9691860465.11628,,,0.323401,-4551598837.209302,5060319767.44186,,6354651162.790698,0.0,,,5345930232.55814,8720930.232558,8237645348.837209,5060319767.44186,,,,,,,,,5792151162.790698,,,,,4808866279.069767,,,,2884447674.418605,,,,,-1129360465.116279,1852470930.232558,,7680959302.325581,,,,,,,,,,,,,,21162063953.488373,,,-15261627.906977,,,,2739218160.0,,,-4537790697.674419,-1246366279.069767,,4406976744.186047,,5257994186.046512,,,,,,,,,,,,19052325581.395348,,2707122093.023256,,,,15734011627.906977,17556686046.511627,1366279069.767442,,,,,,-670058139.534884,,2379360465.116279,,,2739218160.0,,4425872093.023256,,,,,,,4406976744.186047,4172238372.093023,,3148255813.953488,6306686046.511628,10388081395.348837,,,7305232558.139535,,,,,,,,,,,,,,,
946598400,,,-1104000000.0,,,,,,-1897000000.0,,,41212000000.0,,2293000000.0,0.312358,,1537000000.0,23406000000.0,-949000000.0,,,,,949000000.0,,,,,,,10952000000.0,22580000000.0,,4331000000.0,,,,,,,,,,,,,,,908000000.0,1240000000.0,,,20418000000.0,6715000000.0,,7337000000.0,,,,,,4335000000.0,2021000000.0,6319000000.0,10269000000.0,,,0.312358,-2717000000.0,3950000000.0,,5567000000.0,369000000.0,,,4618000000.0,-218000000.0,14473000000.0,3950000000.0,,,,,,,,,5341000000.0,,,,,,,,,2885000000.0,,,,,-862000000.0,10043000000.0,,6952000000.0,,,-7136000000.0,,,,,,,,,,,21811000000.0,,,-1207000000.0,,,,2624734400.0,,,0.0,-233000000.0,,4188000000.0,,5008000000.0,,341000000.0,,,,,,,,,,19401000000.0,,2670000000.0,,,,15189000000.0,17667000000.0,1153000000.0,,,,,,-618000000.0,,2782000000.0,,,2624734400.0,,4188000000.0,,295000000.0,,,,,4188000000.0,4704000000.0,,3473000000.0,4183000000.0,10571000000.0,-1217000000.0,,5229000000.0,,,,,,,,,,,,,,,
954460800,,,,,,1258000000.0,1258000000.0,,,,,,,,,,,,,,2567346939.0,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258000000.0,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,5697000000.0,,,,,,2567346939.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5697000000.0,,,,,,5697000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
962323200,,,,5222000000.0,,1282000000.0,1282000000.0,,,,,,,,,,,,,5265000000.0,2614564960.0,692000000.0,,,,,9520000000.0,1480000000.0,,,,,,,,0.5,,,,,,,,1419000000.0,,9000000.0,,3948000000.0,,,,,,,,,,,12939000000.0,,3419000000.0,,,,,,,,,,,,,,,,,,,3673000000.0,,,,,,,15579000000.0,,8467000000.0,38741000000.0,1282000000.0,,,15517000000.0,,,,,,,,,,,,14186000000.0,,,0.49,,-1000000.0,,,,,,-698000000.0,,,,,,,,,,23162000000.0,,,,1597000000.0,,,,,,2614564960.0,,,,,4326000000.0,2953000000.0,8938000000.0,,,,,23224000000.0,2037000000.0,,,,,6641000000.0,,,1636000000.0,,,7050000000.0,,23860000000.0,354000000.0,,5806000000.0,,,,,,1373000000.0,,,,-7136000000.0,,,,,,,,,,,,,,,,,,,,,
970272000,,,,,,876000000.0,876000000.0,,,,,,,,,,,,,,2654545455.0,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876000000.0,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,4881000000.0,,,,,,2654545455.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4881000000.0,,,,,,4881000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
978220800,,,,2344000000.0,,1092000000.0,1092000000.0,,-131000000.0,,,35484000000.0,,2127000000.0,0.678803,,1392000000.0,22477000000.0,-918000000.0,3823000000.0,,,,918000000.0,,,7146000000.0,,,3221000000.0,7097000000.0,21682000000.0,,2513000000.0,,,,2951000000.0,,2127000000.0,,,3221000000.0,1392000000.0,,,,2513000000.0,880000000.0,970000000.0,,,21832000000.0,5863000000.0,,5507000000.0,,,12514000000.0,,5368000000.0,4641000000.0,3555000000.0,7146000000.0,12514000000.0,,880000000.0,0.678803,-2900000000.0,5368000000.0,,5724000000.0,395000000.0,,,4806000000.0,-1633000000.0,10703000000.0,5368000000.0,2304000000.0,,,,,,,12960000000.0,5505000000.0,6338000000.0,35484000000.0,1092000000.0,3555000000.0,,15400000000.0,,,2344000000.0,,,,,-825000000.0,6338000000.0,,7941000000.0,10703000000.0,,-5196000000.0,,,1836000000.0,,,970000000.0,,,,,20084000000.0,,,-710000000.0,,,,2621428571.0,22477000000.0,,0.0,1537000000.0,-11065000000.0,4395000000.0,,3823000000.0,,311000000.0,,,,,,,,7097000000.0,,15400000000.0,,2840000000.0,20084000000.0,,,15587000000.0,12960000000.0,1110000000.0,5863000000.0,,,,,-202000000.0,5507000000.0,1836000000.0,21682000000.0,,2580468750.0,5961000000.0,4395000000.0,,140000000.0,,,-11065000000.0,,4395000000.0,2304000000.0,-5196000000.0,3816000000.0,3831000000.0,10781000000.0,-1259000000.0,,6245000000.0,,,,,,,,,,,,,,,
985996800,,,,,,1071000000.0,1071000000.0,,,,,,,,,,,,,,2590711176.0,,,,,,,,,,,,,,,0.4134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1071000000.0,,,,,,,,,,,,,,,,,,0.4134,,,,,,,,,,,,,,,,,,,,,,4440000000.0,,,,,,2590711176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4440000000.0,,,,,,4440000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
993859200,,,,4410000000.0,,1039000000.0,1039000000.0,,,,,,,,,,,,,5183000000.0,2587000000.0,560000000.0,,,,,5767000000.0,1060000000.0,,4726000000.0,,,,,,0.4014,,,,,,,,1378000000.0,,21000000.0,,2484000000.0,,,,,,,,,,,8405000000.0,,2638000000.0,,,,,,,,,,,,,,,,,,,2948000000.0,,,,,,,13919000000.0,,13730000000.0,34471000000.0,1039000000.0,,,18855000000.0,,,,,,,,,,,,14832000000.0,,,0.4014,,1000000.0,,,,,,-20812000000.0,,,,,,,,,,20552000000.0,,,,971000000.0,,,,,,2587000000.0,,,,,3251000000.0,2280000000.0,8131000000.0,,,,,15616000000.0,1720000000.0,,,,,5788000000.0,,,1253000000.0,,,5125000000.0,,41364000000.0,214000000.0,,4311000000.0,,,,,,971000000.0,,,,-9707000000.0,,,,,,,,,,,,,,,,,,,,,
1001808000,,,,,,1128000000.0,1128000000.0,,,,,,,,,,,,,,2575342466.0,,,,,,,,,,,,,,,0.4411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1128000000.0,,,,,,,,,,,,,,,,,,0.438,,,,,,,,,,,,,,,,,,,,,,5576000000.0,,,,,,2557243255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5576000000.0,,,,,,5576000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
