,quarterlyOperatingCashFlow,annualInvestingCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,trailingInvestingCashFlow,trailingSaleOfInvestment,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,trailingCashDividendsPaid,annualStockholdersEquity,trailingPurchaseOfBusiness,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,annualOtherNonCashItems,quarterlyCommonStockIssuance,annualLongTermDebt,trailingPurchaseOfInvestment,quarterlyOtherCurrentLiabilities,quarterlyCostOfRevenue,trailingChangeInInventory,quarterlyGoodwill,annualRetainedEarnings,annualCurrentLiabilities,annualStockBasedCompensation,annualGoodwill,annualInventory,annualTotalAssets,annualCashFlowFromContinuingFinancingActivities,trailingStockBasedCompensation,quarterlyAccountsReceivable,annualDepreciationAndAmortization,quarterlyInvestmentsAndAdvances,trailingChangeInWorkingCapital,quarterlyOtherIncomeExpense,annualCapitalStock,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,annualPurchaseOfInvestment,quarterlyLongTermDebt,annualAccountsReceivable,trailingOperatingCashFlow,annualOperatingIncome,trailingGrossProfit,quarterlyOperatingExpense,annualNetPPE,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,trailingOtherIncomeExpense,annualOperatingCashFlow,trailingOperatingIncome,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualAccountsPayable,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIntangibleAssets,annualOtherShortTermInvestments,quarterlyDilutedEPS,annualCommonStockIssuance,annualOtherIntangibleAssets,quarterlyDepreciationAndAmortization,trailingRepaymentOfDebt,quarterlyCapitalStock,annualEndCashPosition,quarterlyDilutedAverageShares,quarterlyCashCashEquivalentsAndMarketableSecurities,annualBasicEPS,trailingTotalRevenue,trailingNetOtherInvestingChanges,quarterlyCashAndCashEquivalents,annualEbitda,quarterlyBeginningCashPosition,annualOtherIncomeExpense,trailingChangeInCashSupplementalAsReported,quarterlyPurchaseOfInvestment,annualNetOtherInvestingChanges,quarterlyCurrentDebt,quarterlyTotalNonCurrentAssets,annualGrossPPE,annualCashAndCashEquivalents,quarterlyInterestExpense,trailingCashFlowFromContinuingFinancingActivities,trailingPretaxIncome,quarterlyChangesInAccountReceivables,trailingEndCashPosition,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,annualPretaxIncome,quarterlyNetIncomeCommonStockholders,annualInvestmentsAndAdvances,quarterlyTotalAssets,quarterlyFreeCashFlow,annualOtherNonCurrentLiabilities,quarterlySaleOfInvestment,trailingOperatingExpense,trailingSellingGeneralAndAdministration,annualDeferredIncomeTax,annualOtherNonCurrentAssets,trailingDeferredIncomeTax,annualCapitalExpenditure,annualSellingGeneralAndAdministration,annualAccumulatedDepreciation,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyAccountsPayable,annualRepurchaseOfCapitalStock,quarterlyOtherCurrentAssets,quarterlyDeferredIncomeTax,annualChangesInAccountReceivables,quarterlyChangeInWorkingCapital,trailingBeginningCashPosition,quarterlyGainsLossesNotAffectingRetainedEarnings,annualDilutedEPS,trailingCapitalExpenditure,trailingNetIncomeContinuousOperations,annualCurrentAssets,annualNetIncomeCommonStockholders,trailingNetOtherFinancingCharges,quarterlyEbitda,annualOtherCurrentLiabilities,trailingNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,annualBasicAverageShares,quarterlyStockholdersEquity,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualTaxProvision,annualNetOtherFinancingCharges,quarterlyNetOtherInvestingChanges,trailingInterestExpense,quarterlyChangeInInventory,annualRepaymentOfDebt,quarterlyChangeInAccountPayable,annualInterestExpense,trailingRepurchaseOfCapitalStock,quarterlyGrossProfit,trailingChangeInAccountPayable,annualTotalRevenue,quarterlyCurrentLiabilities,annualGrossProfit,quarterlyPretaxIncome,annualTotalNonCurrentAssets,quarterlyOtherNonCashItems,annualFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,trailingCommonStockIssuance,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,annualOtherCurrentAssets,quarterlyTaxProvision,quarterlyNetPPE,annualChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,annualDilutedAverageShares,quarterlyCapitalExpenditure,trailingTaxProvision,trailingNetIncome,trailingDepreciationAndAmortization,quarterlyOperatingIncome,annualChangeInInventory,quarterlyTotalRevenue,annualNetIncome,annualCashDividendsPaid,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,annualCurrentDebt,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,annualOperatingExpense,quarterlyBasicAverageShares,trailingOtherNonCashItems,annualBeginningCashPosition,annualCostOfRevenue,quarterlyBasicEPS,annualCurrentAccruedExpenses,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable,trailingResearchAndDevelopment,trailingDilutedEPS,trailingChangesInAccountReceivables,annualResearchAndDevelopment,trailingDilutedAverageShares,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,trailingBasicEPS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312768000,,0.0,,,,,,,,61000000.0,,,,,,77500000.0,,,,,,47600000.0,0.0,,,,186200000.0,,,,,,,,,,,,,,,22500000.0,,,,,,,0.0,,125200000.0,,,,,,,,,,,,0.0,,,0.328431,,,,23900000.0,,12700000.0,,,,,,,,,,,,,,,,31100000.0,,,,,47700000.0,,,,,,,,9200000.0,,,,,,,,,,,,0.328431,,,0.0,16000000.0,,,,,,,48716418.0,,,,15100000.0,,,,,,,4100000.0,,,,192400000.0,,33100000.0,,186200000.0,,0.0,,,,,125200000.0,,,,,,,,,,,48716418.0,,,,,,,,16000000.0,,,,,,16000000.0,10600000.0,,,0.0,159300000.0,,,,,,,,,,,,,,,,,
344390400,,0.0,,,,,,,,82900000.0,,,,,,79900000.0,,,,,,68600000.0,0.0,,,,213900000.0,,,,,,,,,,,,,,,42300000.0,,,,,,,0.0,,131000000.0,,,,,,,,,,,,0.0,,,0.441176,,,,43900000.0,,-100000.0,,,,,,,,,,,,,,,,42200000.0,,,,,51100000.0,,,,,,,,10900000.0,,,,,,,,,,,,0.441176,,,0.0,22000000.0,,,,,,,49866667.0,,,,20200000.0,,,,,,,,,,,206300000.0,,54800000.0,,213900000.0,,0.0,,,,,131000000.0,,,,,,,,,,,49866667.0,,,,,,,,22000000.0,,,,,,22000000.0,12500000.0,,,0.0,151500000.0,,,,,,,,,,,,,,,,,
375926400,,0.0,,,,,,,,97300000.0,,,,,,110600000.0,,,,,,82000000.0,0.0,,,,246100000.0,,,,,,,,,,,,,,,29300000.0,,,,,,,0.0,,148800000.0,,,,,,,,,,,,0.0,,,0.303922,,,,31100000.0,,0.0,,,,,,,,,,,,,,,,29300000.0,,,,,38200000.0,,,,,,,,11800000.0,,,,,,,,,,,,0.303922,,,0.0,15100000.0,,,,,,,49683871.0,,,,14200000.0,,,,,,,,,,,168100000.0,,42900000.0,,246100000.0,,0.0,,,,,148800000.0,,,,,,,,,,,49683871.0,,,,,,,,15100000.0,,,,,,15100000.0,13600000.0,,,0.0,125200000.0,,,,,,,,,,,,,,,,,
407462400,,0.0,,,,,,,,100500000.0,,,,,,128500000.0,,,,,,84600000.0,0.0,,,,273900000.0,,,,,,,,,,,,,,,6900000.0,,,,,,,0.0,,173400000.0,,,,,,,,,,,,0.0,,,0.083333,,,,9600000.0,,600000.0,,,,,,,,,,,,,,,,7600000.0,,,,,44900000.0,,,,,,,,9600000.0,,,,,,,,,,,,0.083333,,,0.0,4200000.0,,,,,,,50400000.0,,,,3400000.0,,,,,,,,,,,73900000.0,,19200000.0,,273900000.0,,0.0,,,,,173400000.0,,,,,,,,,,,50400000.0,,,,,,,,4200000.0,,,,,,4200000.0,12300000.0,,,0.0,54700000.0,,,,,,,,,,,,,,,,,
438998400,,0.0,,,,,,,,134100000.0,,,,,,132000000.0,,,,,,91000000.0,0.0,,,,329300000.0,,,,,,,,,,,,,,,14000000.0,,,,,,,0.0,,195200000.0,,,,,,,,,,,,0.0,,,0.151961,,,,17400000.0,,300000.0,,,,,,,,,,,,,,,,14400000.0,,,,,63200000.0,,,,,,,,12600000.0,,,,,,,,,,,,0.151961,,,0.0,8200000.0,,,,,,,53961290.0,,,,6200000.0,,,,,,,,,,,122600000.0,,30000000.0,,329300000.0,,0.0,,,,,195200000.0,,,,,,,,,,,53961290.0,,,,,,,,8200000.0,,,,,,8200000.0,16000000.0,,,0.0,92600000.0,,,,,,,,,,,,,,,,,
446860800,,,,2300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044118,,,,,,,57022080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38400000.0,,38400000.0,,,,,,,,,57022080.0,,,,0.044118,,,,,,,,,,,,,,,,
454809600,,,,1200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019608,,,,,,,57022080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38800000.0,,38800000.0,,,,,,,,,57022080.0,,,,0.019608,,,,,,,,,,,,,,,,
462758400,,,,1300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02451,,,,,,,57034320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38300000.0,,38300000.0,,,,,,,,,57034320.0,,,,0.02451,,,,,,,,,,,,,,,,
470620800,,0.0,,1400000.0,,,,,,134800000.0,,172800000.0,,,,61600000.0,,,,,,95300000.0,0.0,,,,369200000.0,,,,,,,,,,,,61600000.0,,,9800000.0,,,,,,,0.0,,234400000.0,,,,,,,,,,,,0.0,,,0.112745,,,,9800000.0,,0.0,,,,,369200000.0,,,,,,,,,234400000.0,,9800000.0,,,369200000.0,,172800000.0,,,,,,,,,,,,,,,,,,,,0.112745,,,0.0,6200000.0,,-105700000.0,,,,,54991304.0,134800000.0,,,3600000.0,,,,,,,,,,,154900000.0,0.0,154900000.0,,369200000.0,,0.0,,0.0,,,234400000.0,,,234400000.0,,,,,,95300000.0,,54991304.0,,,,,-105700000.0,,39400000.0,6200000.0,,,,,,6200000.0,145100000.0,,,0.0,,,,,,,,,,,,,,,,,,
