,trailingNetIncomeCommonStockholders,annualOtherNonCurrentLiabilities,quarterlyStockholdersEquity,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,quarterlyNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,annualCashCashEquivalentsAndMarketableSecurities,annualChangeInCashSupplementalAsReported,quarterlyOperatingExpense,trailingGrossProfit,annualRepaymentOfDebt,quarterlyDilutedEPS,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,trailingOtherIncomeExpense,annualBeginningCashPosition,quarterlyRepaymentOfDebt,quarterlySaleOfInvestment,annualCashFlowFromContinuingFinancingActivities,trailingCashFlowFromContinuingFinancingActivities,annualSellingGeneralAndAdministration,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,annualOtherIncomeExpense,quarterlyBeginningCashPosition,annualGrossPPE,annualTotalNonCurrentAssets,trailingRepaymentOfDebt,annualDilutedAverageShares,trailingCapitalExpenditure,trailingChangeInCashSupplementalAsReported,quarterlyCapitalStock,trailingDepreciationAndAmortization,quarterlyCapitalExpenditure,annualNetIncomeContinuousOperations,annualPurchaseOfBusiness,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyBasicAverageShares,trailingNetOtherFinancingCharges,trailingPurchaseOfBusiness,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyTotalRevenue,annualNetOtherFinancingCharges,quarterlyOperatingIncome,annualStockBasedCompensation,annualBasicAverageShares,annualCapitalExpenditure,trailingOtherNonCashItems,quarterlyAccumulatedDepreciation,annualCurrentDeferredRevenue,annualOperatingExpense,trailingSellingGeneralAndAdministration,annualCapitalStock,annualTotalRevenue,quarterlyOtherNonCashItems,trailingCostOfRevenue,annualChangesInAccountReceivables,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,trailingBeginningCashPosition,trailingFreeCashFlow,annualInterestExpense,trailingCashDividendsPaid,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,annualAccumulatedDepreciation,trailingNetIncome,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,annualGrossProfit,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyResearchAndDevelopment,trailingOperatingExpense,trailingNetIncomeContinuousOperations,annualChangeInWorkingCapital,annualResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,trailingNetOtherInvestingChanges,annualNetOtherInvestingChanges,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,annualTotalLiabilitiesNetMinorityInterest,annualCommonStockIssuance,annualFreeCashFlow,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,trailingPretaxIncome,annualNetIncome,annualRetainedEarnings,trailingChangeInWorkingCapital,quarterlyLongTermDebt,annualPurchaseOfInvestment,annualGainsLossesNotAffectingRetainedEarnings,annualOtherCurrentAssets,quarterlyBasicEPS,annualCostOfRevenue,trailingOperatingIncome,annualLongTermDebt,annualCashDividendsPaid,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,trailingTotalRevenue,quarterlyNetIncomeContinuousOperations,annualPretaxIncome,annualInvestingCashFlow,annualEndCashPosition,annualCurrentDebt,trailingCommonStockIssuance,annualTaxProvision,annualTotalAssets,trailingTaxProvision,trailingEndCashPosition,quarterlyDepreciationAndAmortization,annualNonCurrentDeferredRevenue,annualOperatingIncome,trailingInvestingCashFlow,annualAccountsPayable,annualOtherNonCashItems,annualDilutedEPS,quarterlyCurrentDebt,annualCashAndCashEquivalents,annualStockholdersEquity,quarterlyPurchaseOfInvestment,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,annualInvestmentsAndAdvances,annualDepreciationAndAmortization,annualSaleOfInvestment,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,annualCurrentAccruedExpenses,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,trailingOperatingCashFlow,annualCurrentAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualBasicEPS,quarterlyDilutedAverageShares,annualOtherShortTermInvestments,quarterlyCashDividendsPaid,annualNetPPE,annualCurrentLiabilities,annualRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,annualEbitda,annualOperatingCashFlow,quarterlyOtherIntangibleAssets,annualChangeInInventory,trailingInterestExpense,annualGoodwill,trailingDilutedAverageShares,trailingBasicEPS,quarterlyDeferredIncomeTax,annualIncomeTaxPayable,trailingChangeInAccountPayable,annualDeferredIncomeTax,trailingDeferredIncomeTax,quarterlyGoodwill,quarterlyChangeInInventory,trailingStockBasedCompensation,quarterlyAccountsReceivable,trailingBasicAverageShares,trailingChangeInInventory,trailingResearchAndDevelopment,annualAccountsReceivable,quarterlyNonCurrentDeferredTaxesLiabilities,trailingSaleOfInvestment,quarterlyIncomeTaxPayable,trailingRepurchaseOfCapitalStock,annualInventory,trailingChangesInAccountReceivables,quarterlyInventory,annualNonCurrentDeferredTaxesLiabilities,trailingPurchaseOfInvestment,trailingDilutedEPS,annualOtherIntangibleAssets
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765072000,,,203000000.0,,,-31600000.0,200000.0,,,-700000.0,,,0.03,,,,,,-80800000.0,,,,,,,,,1300000.0,,,,,,,,,-81400000.0,,,135500000.0,13333333.0,,,,-7800000.0,1500000.0,,2200000.0,,,,,,,,,,,3800000.0,,,19300000.0,-3200000.0,,,,,283100000.0,,,,,400000.0,100000.0,,,,500000.0,283100000.0,2600000.0,,,,,,,,200000000.0,-84600000.0,,,,,,,,,,312300000.0,,,,,,104600000.0,,,,0.03,,,,,,100000.0,,400000.0,,,,,,,,,,400000.0,,,,,,,,,,,1800000.0,200000.0,,,,-113000000.0,,,,400000.0,-4100000.0,,400000.0,,,110100000.0,,,,,,13333333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772934400,,,200300000.0,,,-15300000.0,-400000.0,,,-4200000.0,,,0.21,,,,,,-3600000.0,,,,,,,,,,,,,,,,,,-31600000.0,,,34600000.0,11428571.0,,,,200000.0,9000000.0,,13200000.0,,,,,,,,,,,-100000.0,,,-7400000.0,5000000.0,,,,,327700000.0,,,,,-2300000.0,800000.0,,,,3200000.0,327700000.0,15700000.0,,,,,,,,0.0,-26600000.0,,,,,,,,,,349700000.0,,,,,,139200000.0,,,,0.21,,,,,,500000.0,,2400000.0,,,,,,,,,,2500000.0,,,,,,,,,,,100000.0,1100000.0,,,,-46900000.0,,,,2400000.0,500000.0,,2400000.0,,,150200000.0,,,,,,11428571.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780883200,,,198200000.0,,,19400000.0,500000.0,,,-5100000.0,,,0.2,,,,,,-2000000.0,,,,,,,,,,,,,,,,,,-43000000.0,,,12900000.0,11500000.0,,,,7800000.0,10500000.0,,15600000.0,,,,,,,,,,,-3900000.0,,,-1700000.0,9000000.0,,,,,348800000.0,,,,,-4400000.0,900000.0,,,,3200000.0,348800000.0,18400000.0,,,,,,,,0.0,-34000000.0,,,,,,,,,,368400000.0,,,,,,157200000.0,,,,0.2,,,,,,600000.0,,2300000.0,,,,,,,,,,2800000.0,,,,,,,,,,,0.0,1700000.0,,,,-23600000.0,,,,2300000.0,3400000.0,,2300000.0,,,171000000.0,,,,,,11500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788832000,,,196700000.0,7500000.0,,-39000000.0,-1600000.0,,3400000.0,-8100000.0,,-90700000.0,,,,,,1300000.0,-4300000.0,,178800000.0,,1600000.0,,,,,,375800000.0,,,11538462.0,,,,,33100000.0,7500000.0,,-4200000.0,,,,,-4000000.0,11000000.0,-100000.0,19100000.0,,11538462.0,-122900000.0,,,,-18200000.0,,,32000000.0,2100000.0,,-1300000.0,-6800000.0,3200000.0,,,4800000.0,,375800000.0,,,,,-6400000.0,,,,,,375800000.0,21800000.0,,,,,-3800000.0,,,0.0,36300000.0,,,-66500000.0,,,,193300000.0,200000000.0,-108900000.0,390000000.0,,,7500000.0,-6400000.0,,181700000.0,,,,,,,181700000.0,-9500000.0,,500000.0,,2400000.0,,-189400000.0,,,,,390000000.0,,,2700000.0,,50200000.0,,,1900000.0,0.65,,,196700000.0,,-2000000.0,1900000.0,,8400000.0,,-5900000.0,,,,2400000.0,-400000.0,,2400000.0,,,193300000.0,,,,-600000.0,0.65,,,-4400000.0,375800000.0,,,,58600000.0,14000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796608000,,,194200000.0,,,-21900000.0,-1000000.0,,,-7000000.0,,,0.17,,,,,,-5300000.0,,,,,,,,,4700000.0,,,,,,,,,-100000.0,,,15900000.0,11176471.0,,,,-4000000.0,11900000.0,,18900000.0,,,,,,,,,,,2000000.0,,,-3000000.0,3200000.0,,,,,394800000.0,,,,,-8800000.0,,,,,,394800000.0,22200000.0,,,,,,,,,3100000.0,,,,,,,,,,406800000.0,,,,,,202000000.0,,,,0.17,,,,,,500000.0,,1900000.0,,,,,,,,,,3300000.0,,,,,,,,,,,20300000.0,2500000.0,,,,-22000000.0,,,,1900000.0,-1000000.0,,1900000.0,,,212600000.0,,,,,,11176471.0,,-4400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804470400,,,194100000.0,,,4200000.0,-2800000.0,,,-7200000.0,,,0.38,,,,,,-25000000.0,,,,,,,,,,,,,,,,,,-13400000.0,,,-10500000.0,11578947.0,,,,-9000000.0,15300000.0,,22500000.0,,,,,,,,,,,3000000.0,,,-300000.0,1700000.0,,,,,396600000.0,,,,,-8900000.0,,,,,,396600000.0,25800000.0,,,,,,,,,-11700000.0,,,,,,,,,,409700000.0,,,,,,206600000.0,,,,0.38,,,,,,600000.0,,4400000.0,,,,,,,,,,3300000.0,,,,,,,,,,,-6100000.0,3000000.0,,,,8300000.0,,,,4400000.0,-1700000.0,,4400000.0,,,215600000.0,,,,,,11578947.0,,-4400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812419200,,,191700000.0,,,-8600000.0,-1000000.0,,,-7800000.0,,,0.18,,,,,,-2100000.0,0.0,,,,,,,,,,,,,,,,,-500000.0,,,2500000.0,11666667.0,,,,4000000.0,13600000.0,,21400000.0,,,,,,,,,,,-1900000.0,,,900000.0,7500000.0,,,,,402600000.0,,,,,-11300000.0,,,,,,402600000.0,24700000.0,,,,,,,,,7000000.0,,,,,,,,,,417300000.0,,,,,,213600000.0,,,,0.18,,,,,,700000.0,,2100000.0,,,,,,,,,,3300000.0,,,,,,,,,,,7000000.0,3000000.0,,,,-9100000.0,,,,2100000.0,3000000.0,,2100000.0,,,225600000.0,,,,,,11666667.0,,-4500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820368000,,,237600000.0,11500000.0,,,5400000.0,,-3000000.0,-8500000.0,,-176800000.0,,,,,,4700000.0,-144400000.0,0.0,61600000.0,,2500000.0,,,,,,463700000.0,,,12637363.0,,,,,-90700000.0,11500000.0,,53700000.0,,,,,8600000.0,15200000.0,-4400000.0,23700000.0,,12637363.0,-104700000.0,,,,-30500000.0,,,55900000.0,-5300000.0,,600000.0,-600000.0,10200000.0,,,11500000.0,,463700000.0,,,,,-13700000.0,,,,,,463700000.0,27500000.0,,,,,-400000.0,,,,-80500000.0,,,,,,,239600000.0,48300000.0,-82100000.0,477200000.0,,,11500000.0,-13700000.0,,227800000.0,,,,,,,227800000.0,-17800000.0,,700000.0,,3100000.0,,-87200000.0,,,,,477200000.0,,,3800000.0,,86400000.0,,,-2200000.0,0.91,,,237600000.0,,58200000.0,3100000.0,,13700000.0,17500000.0,-64400000.0,,,,3100000.0,-1100000.0,,3100000.0,,,239600000.0,,,,-800000.0,0.91,,,-4500000.0,463700000.0,,,,100100000.0,22600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828230400,,,235400000.0,,,,-1800000.0,,,-8900000.0,,,0.19,,,,,,-2700000.0,,,,,,,,,1700000.0,,,,,,,,,-7000000.0,,,900000.0,11558000.0,,,,-3000000.0,16500000.0,,25400000.0,,,,,,,,,,,1500000.0,,,-500000.0,5700000.0,,,,,467000000.0,,,,,-16100000.0,,,,,,467000000.0,29400000.0,,,,,,,,200000.0,-1300000.0,,,,,,,,,,481600000.0,,,,,,233900000.0,,,,0.19,,,,,,900000.0,,3200000.0,,,,,,,,,,4000000.0,,,,,,,,,,,6300000.0,3500000.0,,,,-7000000.0,,,,3200000.0,300000.0,,3200000.0,,,246200000.0,,,,,,11558000.0,,-5400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
