,annualDilutedEPS,annualNonCurrentDeferredRevenue,annualNetIncome,trailingCashDividendsPaid,trailingPretaxIncome,quarterlyTotalNonCurrentAssets,annualLongTermDebt,annualTotalAssets,quarterlyTotalAssets,annualPretaxIncome,annualCashDividendsPaid,annualGoodwill,trailingNetIncome,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,trailingInvestingCashFlow,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualSaleOfInvestment,annualCommonStockIssuance,annualOtherShortTermInvestments,annualStockholdersEquity,annualDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,annualBasicAverageShares,quarterlyGoodwill,annualTotalRevenue,annualInvestingCashFlow,trailingResearchAndDevelopment,annualAccountsReceivable,annualRetainedEarnings,annualPurchaseOfInvestment,quarterlyNetIncome,quarterlyLongTermDebt,quarterlySellingGeneralAndAdministration,annualEndCashPosition,trailingEndCashPosition,trailingTotalRevenue,quarterlyInventory,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,quarterlyDilutedEPS,annualOperatingIncome,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfInvestment,quarterlyCashDividendsPaid,annualOtherIntangibleAssets,quarterlyDilutedAverageShares,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,annualCurrentLiabilities,quarterlyCurrentDebt,annualNetPPE,annualOperatingCashFlow,quarterlyCashAndCashEquivalents,annualAccountsPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyDepreciationAndAmortization,annualBasicEPS,annualCashCashEquivalentsAndMarketableSecurities,annualOtherNonCurrentLiabilities,quarterlyOtherIntangibleAssets,annualNetOtherInvestingChanges,quarterlyFreeCashFlow,annualCashAndCashEquivalents,quarterlyOtherNonCurrentAssets,trailingInterestExpense,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyBasicAverageShares,quarterlyNetOtherInvestingChanges,annualBeginningCashPosition,trailingBeginningCashPosition,annualInterestExpense,annualNetIncomeCommonStockholders,trailingChangeInCashSupplementalAsReported,trailingCapitalExpenditure,trailingOperatingExpense,quarterlySaleOfInvestment,annualCurrentAssets,annualSellingGeneralAndAdministration,annualOtherNonCurrentAssets,annualEbitda,annualGrossPPE,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyGrossProfit,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,trailingGrossProfit,annualOtherCurrentLiabilities,quarterlyOperatingExpense,annualCapitalStock,quarterlyNonCurrentDeferredTaxesLiabilities,annualChangeInCashSupplementalAsReported,annualRepaymentOfDebt,quarterlyStockholdersEquity,annualCapitalExpenditure,trailingNetIncomeCommonStockholders,annualTaxProvision,quarterlyTaxProvision,annualChangeInInventory,trailingCostOfRevenue,annualNetOtherFinancingCharges,quarterlyNetPPE,quarterlyRepaymentOfDebt,annualCurrentDebt,annualOtherCurrentAssets,annualGrossProfit,trailingTaxProvision,quarterlyEbitda,annualOtherNonCashItems,annualTotalNonCurrentAssets,quarterlyOtherNonCashItems,annualInventory,quarterlyCommonStockIssuance,annualResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue,annualNonCurrentDeferredTaxesLiabilities,quarterlyResearchAndDevelopment,quarterlyBasicEPS,quarterlyRetainedEarnings,annualTotalLiabilitiesNetMinorityInterest,trailingNetIncomeContinuousOperations,annualDilutedAverageShares,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOperatingIncome,quarterlyCurrentLiabilities,quarterlyCurrentAssets,annualFreeCashFlow,quarterlyChangeInWorkingCapital,quarterlyTotalRevenue,quarterlyOperatingCashFlow,trailingFreeCashFlow,quarterlyGrossPPE,annualCostOfRevenue,annualOperatingExpense,trailingSellingGeneralAndAdministration,annualNetIncomeContinuousOperations,quarterlyCapitalExpenditure,annualPurchaseOfBusiness,annualChangesInAccountReceivables,annualCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,trailingPurchaseOfInvestment,trailingSaleOfInvestment,trailingNetOtherFinancingCharges,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,trailingBasicEPS,trailingChangeInInventory,trailingOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,trailingChangeInAccountPayable,trailingRepurchaseOfCapitalStock,annualOtherIncomeExpense,trailingNetOtherInvestingChanges,trailingChangesInAccountReceivables,trailingDilutedAverageShares,trailingCashFlowFromContinuingFinancingActivities,trailingCommonStockIssuance,quarterlyIncomeTaxPayable,annualStockBasedCompensation,trailingDepreciationAndAmortization,quarterlyDeferredIncomeTax,trailingOtherIncomeExpense,quarterlyCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyAccumulatedDepreciation,trailingDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,annualIncomeTaxPayable,trailingBasicAverageShares,trailingOtherNonCashItems,annualDeferredIncomeTax,trailingPurchaseOfBusiness,quarterlyChangesInAccountReceivables,trailingDilutedEPS,annualAccumulatedDepreciation,annualRepurchaseOfCapitalStock,trailingChangeInWorkingCapital,trailingStockBasedCompensation,quarterlyCurrentAccruedExpenses,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,annualInvestmentsAndAdvances,annualCurrentDeferredRevenue
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772934400,,,,,,474961000.0,,,1054886000.0,,,,,,,38210000.0,129447000.0,,,,,38210000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167657000.0,,,,,,,,,,158426000.0,,,579925000.0,,,,,,,,,,,,,,,,,400000000.0,,,,,,,,,,,887229000.0,,,,,,,,316535000.0,,,,,,,,,,,,,,,,,64917000.0,,,,,,,129447000.0,579925000.0,,,,,,316535000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788832000,0.256508,,102603000.0,,,544319000.0,,1027224000.0,1027224000.0,121797000.0,,,,,,21630000.0,98741000.0,,,,,21630000.0,,,,906853000.0,,,,,425519000.0,,,,83649000.0,,,,,,,,,,,,,,425519000.0,21630000.0,,,,,,,98741000.0,,338525000.0,,,,120371000.0,,,0.256508,,21630000.0,,,,,182879000.0,,,482905000.0,,,,,,102603000.0,,,,,482905000.0,,182879000.0,425519000.0,338525000.0,,400000000.0,,,,,98741000.0,,400000000.0,,,,906853000.0,,,19194000.0,,,,,338525000.0,,,482905000.0,425519000.0,,,,544319000.0,,,,,,,,,83649000.0,120371000.0,,,,,,98741000.0,482905000.0,,,,,,338525000.0,,303541000.0,,102603000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804470400,,,,,,536360725.91,,,1045343482.04,,,,,,,19010000.0,101668754.02,,,,,19010000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120678754.02,,,,,,2006221.57,,,,176204470.69,,,508982756.13,,,,,,,,,,,,,,,,,400000000.0,,,,,,,,,,,924664728.02,,,,,,,,337526917.37,,,,,,,,,,,,,,,,,93605024.83,,,,,,,101668754.02,508982756.13,,,,,,337526917.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820368000,0.220416,,88166296.53,,,486342070.52,,1063240317.27,1063240317.27,103105468.25,,,,,4401264.52,490419.7,7800000.0,,4665161.98,,,490419.7,,,4665161.98,927645661.67,,,,,374558148.69,,,4401264.52,57566935.54,,,,,,,,222914607.81,,,,,,82836964.32,490419.7,,,3185284.68,,303686085.19,,127933231.1,61580000.0,364623445.42,,299020923.21,13865564.94,128423650.8,,,0.220416,303686085.19,490419.7,3185284.68,,,299020923.21,93526397.71,,,-13203.79,,,,,1773343.06,88166296.53,,,,,576898246.75,67076167.72,93526397.71,104878811.31,364623445.42,13865564.94,400000000.0,,,,,7800000.0,,400000000.0,,,,927645661.67,,,15723659.75,,,,,364623445.42,,61580000.0,-13203.79,152871942.02,,,,486342070.52,,222914607.81,,,,,,,57566935.54,128423650.8,,,,,,127933231.1,576898246.75,,,,,,364623445.42,221686206.67,70034977.7,,87381808.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836092800,,,,,,493173000.0,,,1120469000.0,,,,,,,1255000.0,153630000.0,,,,,1255000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154885000.0,,,,,,2919000.0,,,,116118000.0,,,627296000.0,,,,,,,,,,,,,,,,,400000000.0,,,,,,,,,,,962414000.0,,,,,,,,358096000.0,,,,,,,,,,,,,,,,,84587000.0,,,,,,,153630000.0,627296000.0,,,,,,358096000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851990400,0.184932,,73972655.17,,,538019598.54,3696824.46,1129644632.67,1129644632.67,88262812.84,,,,,7208575.25,3905062.23,210777.34,,0.0,,,12581338.47,,,0.0,960152134.72,,,,,401510213.47,,,7208575.25,65649161.39,,,3696824.46,,,,,255159527.23,,,,,,72264539.19,12581338.47,,,13186401.11,,290130923.03,,134544655.18,63480000.0,425521670.35,,290130923.03,13040977.97,147125993.65,,,0.184932,290130923.03,3905062.23,13186401.11,,,290130923.03,85562782.88,,,-21625.73,,,,,11297062.09,73972655.17,,,,,591625034.13,83792270.32,85562782.88,99559874.93,425521670.35,13040977.97,400000000.0,,,,,210777.34,,400000000.0,,,,960152134.72,,,14657286.47,,,,,425521670.35,,63480000.0,-21625.73,158996286.12,,,,538019598.54,,255159527.23,,,,,,,65649161.39,147125993.65,,,,,,134544655.18,591625034.13,,,,,,425521670.35,242513927.35,86731746.93,,73605526.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867628800,,,,,,541635000.0,,,1168421000.0,,,,,,,13264000.0,139515000.0,,,,,13264000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152779000.0,,,,,,12647000.0,,,,89932000.0,,,626786000.0,,,,,,,,,,,,,,,,,400000000.0,,,,,,,,,,,993942000.0,,,,,,,,427599000.0,,,,,,,,,,,,,,,,,92681000.0,,,,,,,139515000.0,626786000.0,,,,,,427599000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883526400,0.163435,,65374174.48,,,553433558.62,6000000.0,1192243484.37,1192243484.37,78648180.0,,,,,18175174.44,5509959.86,0.0,,0.0,,,11509959.86,,,0.0,993469636.22,,,,,442529412.06,,,18175174.44,82656859.91,,,6000000.0,,,,,317303100.21,,,,,,69615382.63,11509959.86,,,12106643.12,,271042025.93,,165561170.04,64480000.0,442739688.57,,271042025.93,31325140.02,177071129.9,,,0.163435,271042025.93,5509959.86,12106643.12,,,271042025.93,89360216.79,,,-40265.78,,,,,2628372.9,65374174.48,,,,,638809925.75,87504033.56,89360216.79,81276552.9,442739688.57,31325140.02,400000000.0,,,,,0.0,,400000000.0,,,,993469636.22,,,14037787.6,,,,,442739688.57,,64480000.0,-40265.78,160334433.83,,,,553433558.62,,317303100.21,,,,,,,82656859.91,177071129.9,,,,,,165561170.04,638809925.75,,,,,,442739688.57,282194978.23,90719051.2,,64610392.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899164800,,,,,,546165186.41,,,1231591957.4,,,,,,20214748.24,7458637.86,3406666.14,,,,,10458637.86,,,,,,,,,,,,,,,,3000000.0,,,,,341291912.91,,,,,,,,,,,,283303102.43,,,67280000.0,,,283303102.43,,186834784.24,,,,,,11603014.2,,,,374303.78,,,-39073.2,,,,,,,,,,,,,,,,32521744.72,400000000.0,,,,,,,,,,,1023464618.03,,,,,,,,439069277.67,,,,,,,,,,,,,,,,,106835785.21,,,,,,,176376146.38,685426770.99,,,,,,439069277.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915062400,0.137739,,55095502.72,,,541724169.05,3000000.0,1212634571.93,1212634571.93,67863473.41,-37561589.59,,,,21581286.5,13694557.72,2749764.94,,0.0,-51041387.46,,16937499.1,160060000.0,1522813.0,0.0,1016316998.01,33306770.42,,,,459433910.46,-32181107.76,,21581286.5,94614867.58,,,3000000.0,,216801664.97,,,373177144.29,,,,,,62355053.44,16937499.1,,,11026885.28,,216801664.97,,150772768.52,41220000.0,435635755.06,41293055.82,216801664.97,43748792.68,167710267.62,,,0.137739,216801664.97,13694557.72,11026885.28,-151443910.0,,216801664.97,33025076.74,,,-35175.2,,,271042025.93,,483549.49,55095502.72,,,,,670910402.88,94190167.16,33025076.74,101653793.32,435635755.06,43748792.68,400000000.0,,,,,2749764.94,,400000000.0,242941.38,-54240360.96,-78130000.0,1016316998.01,-54804299.98,,13571252.4,,-56985978.26,,1512684.99,435635755.06,,41220000.0,-35175.2,159889642.34,,,6100634.82,541724169.05,,373177144.29,,,,242941.38,,,94614867.58,167710267.62,,,,,,150772768.52,670910402.88,-13511244.16,,,,,435635755.06,299544268.12,97534588.9,,54292221.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930700800,,,,,,531702076.54,,,1219227752.06,,,,,,31797752.3,18708525.77,5656556.84,,,,,18951467.15,,,,,,,,,,,,,,,,,,,,,379264833.79,,,,,,,,,,,,213332824.3,,,20780000.0,,,213332824.3,,148410950.01,,,,,,10527721.07,,,,42510.34,,,-34209.86,,,,,,,,,,,,,,,,38599971.94,400000000.0,,,,,,,,242941.38,,,1043329033.91,,,,,,,,429447106.7,,,,,,,,,,,,,,,,,116208220.7,,,,,,,129459482.86,687525675.52,,,,,,429447106.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946598400,0.122121,,48848357.75,,,513945335.2,,1164980091.07,1164980091.07,60414063.01,-34615193.22,,,,44561334.94,7312532.05,165404.68,,0.0,-22329109.72,,7555473.43,,,0.0,1003885708.84,32607966.3,,,,461473553.8,-17739119.7,,44561334.94,78237704.01,,,,,203790196.16,,,348638605.95,,,,,,60853515.94,7555473.43,,,9947126.35,,203790196.16,,127039779.33,15780000.0,415301830.37,67719599.53,203790196.16,38048990.13,134595252.76,,,0.122121,203790196.16,7312532.05,9947126.35,630815.12,,203790196.16,26943.94,,,-11290099.45,,,216801664.97,,2572295.46,48848357.75,,,,,651034755.87,99161135.41,26943.94,95594324.77,415301830.37,38048990.13,400000000.0,,,,,165404.68,,400000000.0,242941.38,-13011468.81,-39720000.0,1003885708.84,-18996794.95,,13262898.19,,846582.65,,0.0,415301830.37,,15780000.0,-11290099.45,164039484.56,,,2663227.38,513945335.2,,348638605.95,,,,242941.38,,,78237704.01,134595252.76,,,,,,127039779.33,651034755.87,48722804.58,,,,,415301830.37,297434069.24,103185968.62,,47151164.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
