,trailingNetIncomeCommonStockholders,annualEbitda,annualRepaymentOfDebt,trailingChangeInCashSupplementalAsReported,quarterlyCapitalStock,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,annualOtherNonCurrentLiabilities,quarterlyBasicAverageShares,annualCashCashEquivalentsAndMarketableSecurities,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,annualChangeInCashSupplementalAsReported,quarterlyStockholdersEquity,annualOtherCurrentLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingCapitalExpenditure,quarterlyCashAndCashEquivalents,quarterlyRepaymentOfDebt,annualOtherIncomeExpense,trailingOtherIncomeExpense,quarterlyOtherCurrentAssets,annualBeginningCashPosition,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDilutedEPS,quarterlyOtherIntangibleAssets,annualSellingGeneralAndAdministration,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,annualTotalNonCurrentAssets,annualGrossPPE,trailingCashFlowFromContinuingFinancingActivities,annualNetIncomeContinuousOperations,quarterlyInterestExpense,annualPurchaseOfBusiness,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyChangeInWorkingCapital,trailingPurchaseOfBusiness,trailingNetIncomeContinuousOperations,trailingOtherNonCashItems,quarterlyNetPPE,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,annualCashFlowFromContinuingFinancingActivities,annualChangeInInventory,trailingSellingGeneralAndAdministration,annualOperatingExpense,annualNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,trailingStockBasedCompensation,quarterlyGrossPPE,annualCapitalExpenditure,quarterlyTotalRevenue,quarterlyOperatingCashFlow,annualInvestingCashFlow,trailingNetOtherFinancingCharges,annualCapitalStock,quarterlyOtherNonCashItems,annualTotalRevenue,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,trailingDeferredIncomeTax,trailingGrossProfit,annualPurchaseOfInvestment,quarterlyDilutedAverageShares,trailingOperatingExpense,annualInterestExpense,trailingBeginningCashPosition,annualBasicEPS,trailingCostOfRevenue,quarterlyPretaxIncome,annualChangesInAccountReceivables,quarterlyTaxProvision,annualAccumulatedDepreciation,quarterlyRetainedEarnings,annualGoodwill,annualStockBasedCompensation,annualNetOtherFinancingCharges,trailingChangesInAccountReceivables,trailingChangeInInventory,annualDeferredIncomeTax,quarterlyStockBasedCompensation,annualGrossProfit,annualInventory,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyFreeCashFlow,annualChangeInWorkingCapital,annualBasicAverageShares,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingChangeInWorkingCapital,quarterlyTotalNonCurrentAssets,annualDilutedEPS,annualTotalAssets,trailingNetIncome,annualTotalLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyCurrentLiabilities,annualGainsLossesNotAffectingRetainedEarnings,quarterlyGoodwill,trailingFreeCashFlow,trailingPretaxIncome,annualNetOtherInvestingChanges,annualRetainedEarnings,annualOtherCurrentAssets,trailingOperatingIncome,annualCostOfRevenue,quarterlyOtherNonCurrentLiabilities,annualAccountsPayable,trailingInvestingCashFlow,annualPretaxIncome,annualEndCashPosition,annualCashDividendsPaid,annualCurrentDebt,annualNetIncome,trailingTotalRevenue,annualOperatingIncome,annualLongTermDebt,annualFreeCashFlow,quarterlyDepreciationAndAmortization,trailingEndCashPosition,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyPurchaseOfInvestment,trailingTaxProvision,trailingDepreciationAndAmortization,annualCashAndCashEquivalents,annualOtherNonCashItems,quarterlyNetOtherFinancingCharges,annualStockholdersEquity,quarterlyChangeInAccountPayable,annualRepurchaseOfCapitalStock,quarterlyInventory,quarterlyGrossProfit,quarterlyOtherIncomeExpense,annualTaxProvision,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,annualCurrentAccruedExpenses,annualDepreciationAndAmortization,quarterlySellingGeneralAndAdministration,annualDilutedAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,trailingChangeInAccountPayable,annualAccountsReceivable,trailingOperatingCashFlow,annualCurrentAssets,annualOperatingCashFlow,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyChangeInInventory,quarterlyInvestingCashFlow,annualOtherNonCurrentAssets,quarterlyEndCashPosition,annualCommonStockIssuance,annualNetPPE,annualSaleOfInvestment,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,annualCurrentLiabilities,annualOtherIntangibleAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualNetIncomeCommonStockholders,trailingBasicAverageShares,quarterlyInvestmentsAndAdvances,trailingCommonStockIssuance,annualResearchAndDevelopment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,annualNonCurrentDeferredRevenue,annualInvestmentsAndAdvances,trailingBasicEPS,trailingDilutedEPS,quarterlyResearchAndDevelopment,trailingPurchaseOfInvestment,trailingInterestExpense,annualCurrentDeferredRevenue,trailingNetOtherInvestingChanges,annualIncomeTaxPayable,trailingCashDividendsPaid,trailingSaleOfInvestment,annualOtherShortTermInvestments,quarterlyCurrentDeferredRevenue,trailingResearchAndDevelopment,quarterlyIncomeTaxPayable,trailingRepurchaseOfCapitalStock,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1356912000,,699325000.0,-3158905000.0,,,,,,,,,,39766000.0,,,,,,,-40346000.0,,,202691000.0,,,,3349539000.0,,,,,,-51173000.0,,-106041000.0,,,,,,,,,,,,,103659000.0,-214998000.0,,3349539000.0,,,,,-293456000.0,,,-379812000.0,,,,21664921000.0,,,,,,,,311812000.0,,-0.267574,,,-56639000.0,,,,,4312000.0,-35088000.0,,,42142000.0,,3692972000.0,,,,,-101467000.0,191248181.0,,,,-0.267574,,,,,,,,,,0.0,,,,17971949000.0,,,,-8725000.0,242457000.0,,,-51173000.0,,343433000.0,,22463000.0,,,,,,,,,18052000.0,,,,-3734000.0,,,,42448000.0,,,,355892000.0,,192748285.0,,,,,,,315919000.0,,,,,,,,,761000.0,,,,,,,,,,198227000.0,-51173000.0,,,,,,,,,,,,,,,,,,,,,,,,
1388448000,,717073000.0,-2653455000.0,,,,,123051000.0,,179744000.0,,,-62713000.0,,53238000.0,,,,,-50182000.0,,,242457000.0,,,,3494254000.0,,,6410836000.0,2841954000.0,,-57206000.0,,-11369000.0,,,,,,,,,,,,,-197073000.0,-65427000.0,,3494254000.0,408153000.0,,,,-191131000.0,,,-187892000.0,,4500000.0,,22297178000.0,,,,,0.0,,,,,-0.299119,,,-26581000.0,,-1093459000.0,,3835477000.0,8406000.0,-35535000.0,,,29603000.0,,3823139000.0,1161558000.0,,,,-122708000.0,191248181.0,,,,-0.299119,9185577000.0,,7341813000.0,,,-2679000.0,,,,0.0,-440858000.0,6644000.0,,18474039000.0,,1181452000.0,,-27384000.0,179744000.0,,220594000.0,-57206000.0,,328885000.0,4735248000.0,131121000.0,,,,,,,,179744000.0,14741000.0,,1843764000.0,,-8418000.0,,,,29822000.0,,,305667000.0,388188000.0,,192748285.0,,,,1225719000.0,,2774741000.0,322252000.0,,,,,,,33742000.0,,1850000.0,1748495000.0,,,,,,1825681000.0,753840000.0,5516132000.0,-32411000.0,-57206000.0,,,,,,,,,,,,,,,,,,,,,,,,
1419984000,,663805000.0,-1016033000.0,,4500000.0,344844000.0,,107473000.0,,343659000.0,0.0,,163915000.0,1622032000.0,49822000.0,343659000.0,,343659000.0,-61876000.0,0.0,,11799000.0,179744000.0,-158041000.0,,602827000.0,3545453000.0,,139907000.0,6227201000.0,3039172000.0,,-72914000.0,70966000.0,0.0,113709000.0,-63701000.0,230789000.0,-41597000.0,0.0,-55768000.0,,,,1726583000.0,1159160000.0,-4952000.0,-120235000.0,105256000.0,,3545453000.0,420319000.0,-1312589000.0,,3039172000.0,-147094000.0,5753732000.0,98659000.0,-118040000.0,,4500000.0,3634000.0,23019801000.0,-1185000.0,49822000.0,,,,,,289202000.0,,-0.381253,,42663000.0,-47347000.0,-5183000.0,-1312589000.0,-513772000.0,3835477000.0,11736000.0,-2221000.0,,,35803000.0,2563000.0,3797709000.0,1050898000.0,-25000.0,215200000.0,57062000.0,-11119000.0,191248181.0,5609495000.0,,6227201000.0,-0.381253,9057114000.0,,7435082000.0,2829913000.0,1825587000.0,-158041000.0,3835477000.0,,,4000000.0,-513772000.0,11799000.0,,19222092000.0,107473000.0,1159160000.0,,-36946000.0,343659000.0,,230789000.0,-72914000.0,,252256000.0,4696273000.0,255096000.0,101491000.0,,9057114000.0,47846000.0,,,,343659000.0,14684000.0,-1800000.0,1622032000.0,-277595000.0,-628000.0,1050898000.0,977946000.0,0.0,35968000.0,7435082000.0,36170000.0,311249000.0,411549000.0,864237000.0,192748285.0,47846000.0,47846000.0,,1252738000.0,,2829913000.0,402190000.0,4696273000.0,420319000.0,864237000.0,,71985000.0,-36143000.0,36170000.0,343659000.0,197000.0,1726583000.0,,4775786000.0,,311249000.0,1252738000.0,1825587000.0,602827000.0,5609495000.0,-35649000.0,-72914000.0,,,,,,,,,,,,,,,,,,,,,,,,
1427760000,,,,,,343659000.0,,,191248181.0,,2771000.0,0.0,,,,,,,-13778000.0,,,,,,0.036913,,,,-78822000.0,,,,,70913000.0,,43489000.0,-2603000.0,,-57191000.0,0.0,19464000.0,,,,,,-34992000.0,,,,,,,,,,5553638000.0,101693000.0,,,,3684000.0,,33870000.0,,,,,192748285.0,,,,,,-28578000.0,,-35693000.0,,,,,,,,,2466000.0,,,-1201000.0,142938000.0,44502000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99449000.0,,,7115000.0,-12376000.0,,,,,0.0,,178603000.0,,,929064000.0,-1154000.0,,,,,,885575000.0,,7115000.0,7115000.0,,,,,,,,885575000.0,0.037203,-16377000.0,-65220000.0,,377529000.0,,,,4624574000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435622400,,,,,,377529000.0,,,191248181.0,,0.0,0.0,,,,,,,-12591000.0,,,,,,0.855836,,,,46036000.0,,,,,,,73398000.0,-6209000.0,,-53837000.0,0.0,-180082000.0,,,,,,65920000.0,,,,,,,,,,5842547000.0,163625000.0,,,,5431000.0,,95633000.0,,,,,192748285.0,,,,,,239478000.0,,74517000.0,,,,,,,,,2847000.0,,,-1245000.0,171181000.0,109788000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97783000.0,,,164961000.0,-8278000.0,,,,,-651000.0,,-6932000.0,,,992685000.0,236061000.0,,,,,,919287000.0,,164961000.0,164961000.0,,,,,,,,919287000.0,0.862549,-7391000.0,-61783000.0,,473162000.0,,,,4849862000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1443571200,,,,,4500000.0,473162000.0,,,191248181.0,,0.0,,,1904304000.0,,698509000.0,,698509000.0,-63335000.0,,,6305000.0,,-56279000.0,0.027948,492529000.0,,,-69431000.0,,,,,,,102355000.0,-63930000.0,246305000.0,-31394000.0,500000.0,212205000.0,,,,1708110000.0,1314594000.0,-2733000.0,,,,,,,,,,5796066000.0,320401000.0,,,,780000.0,,225347000.0,185928000.0,,,,192748285.0,,,,,,3324000.0,,-2063000.0,,-336309000.0,,,,,,,2575000.0,,,-2355000.0,203824000.0,289007000.0,,,5563870000.0,,6110255000.0,,,,,3386474000.0,2028555000.0,,3835477000.0,,,,,,,,373146000.0,,,,,,,,,,,,101469000.0,,9496729000.0,5387000.0,-1260000.0,,,,,0.0,,12000000.0,,1151474000.0,1013095000.0,-29104000.0,,7592425000.0,54627000.0,,,910740000.0,,5387000.0,5387000.0,,,,,,4676576000.0,471350000.0,910740000.0,0.028168,-76808000.0,-31124000.0,,698509000.0,,,,4782971000.0,,467656000.0,1308889000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451520000,,761782000.0,-109489000.0,,1667000.0,698509000.0,,144361000.0,,517802000.0,0.0,,174143000.0,1873177000.0,76826000.0,517802000.0,,517802000.0,-19785000.0,114793000.0,,14991000.0,343659000.0,-74378000.0,,477601000.0,3650704000.0,,111817000.0,6178926000.0,3285534000.0,,167518000.0,,-69481000.0,143293000.0,-37673000.0,253953000.0,-44987000.0,0.0,-125499000.0,,,,1768885000.0,1078865000.0,-10589000.0,-110415000.0,-55047000.0,,3650704000.0,455794000.0,-1516649000.0,,3285534000.0,-187409000.0,5935281000.0,-29951000.0,-271210000.0,,1667000.0,3196000.0,23127532000.0,-180707000.0,76826000.0,,,-22139000.0,,,,,0.88,,-22071000.0,9600000.0,-12126000.0,-1516649000.0,-346254000.0,3875719000.0,15832000.0,-3573000.0,,,17606000.0,7944000.0,4013239000.0,1112967000.0,-15191000.0,243839000.0,-74938000.0,-73912000.0,191248181.0,5563359000.0,,6178926000.0,0.87,9239359000.0,,7366182000.0,3060433000.0,1802823000.0,-74378000.0,3875719000.0,,,2771000.0,-346254000.0,14991000.0,,19114293000.0,144361000.0,1078865000.0,,192153000.0,517802000.0,,253953000.0,167518000.0,,362535000.0,4682149000.0,368359000.0,100546000.0,,9239359000.0,-9945000.0,-225000.0,,,517802000.0,13091000.0,-2922000.0,1873177000.0,-255119000.0,-19992000.0,1112967000.0,1078395000.0,-91010000.0,24635000.0,7366182000.0,52923000.0,312803000.0,399247000.0,935102000.0,192748285.0,-9945000.0,-9945000.0,,1233978000.0,,3060433000.0,555768000.0,4682149000.0,455794000.0,935102000.0,,45529000.0,-113083000.0,52923000.0,517802000.0,500000.0,1768885000.0,,4856886000.0,,312803000.0,1233978000.0,1802823000.0,477601000.0,5563359000.0,-71448000.0,167518000.0,,,,,,,,,,,,,,,,,,,,,,,,
1459382400,,,,,1667000.0,517802000.0,,,213640934.0,,-7658000.0,-38318000.0,,1222095000.0,,142108000.0,,142108000.0,-303081000.0,,,20482000.0,,-71745000.0,0.062305,462004000.0,,,-84681000.0,,,,,70559000.0,,95454000.0,-432222000.0,246596000.0,-36884000.0,2850000.0,17168000.0,,,,1776780000.0,1337599000.0,-80000.0,,,,,,-1571000.0,,1778351000.0,,5593149000.0,137465000.0,,,,-3003000.0,,-375694000.0,177432000.0,,,,213640934.0,,,,,,14118000.0,,807000.0,,-332943000.0,,,,,,,4786000.0,,,-3659000.0,198262000.0,100581000.0,,,5842149000.0,,6189562000.0,,,,,2834047000.0,1959365000.0,,3885887000.0,,,,,,,,382604000.0,,,,,,,,,,,,102808000.0,,9023609000.0,13311000.0,-7658000.0,,,,,0.0,,257938000.0,,1168109000.0,959768000.0,-10777000.0,,7801514000.0,64891000.0,,,864314000.0,,13311000.0,13311000.0,,,,,,4960837000.0,455597000.0,864314000.0,0.062305,-49987000.0,-80937000.0,,142108000.0,,,,4633381000.0,-666332000.0,375170000.0,1278110000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467244800,,,,,2206000.0,142108000.0,,,190077211.0,,0.0,-56620000.0,,2347861000.0,,115406000.0,,115406000.0,-4282122000.0,,,14115000.0,,-90621000.0,-0.07,450125000.0,,,7345000.0,,,,,,,111797000.0,-110913000.0,249901000.0,-29859000.0,1113799000.0,22522000.0,,,,1754684000.0,1365131000.0,314000.0,,,,,,-1617000.0,,1756301000.0,,5806758000.0,163948000.0,,,,6205000.0,,-26702000.0,176824000.0,,,,190077211.0,,,,,,-13957000.0,,-565000.0,,-346335000.0,,,,,,,4881000.0,,,-3758000.0,216936000.0,134089000.0,,,4634049000.0,,6166559000.0,,,,,2829076000.0,2013725000.0,,3898096000.0,,,,,,,,380662000.0,,,,,,,,,,,,105139000.0,,8995635000.0,-13392000.0,0.0,,,,,-25629000.0,,17546000.0,,1182495000.0,1034037000.0,-55509000.0,,6647774000.0,63654000.0,,,922240000.0,,-13392000.0,-13392000.0,,,,,,3798189000.0,455198000.0,922240000.0,-0.07,-12619000.0,-79737000.0,,115406000.0,,,,4772721000.0,0.0,398693000.0,1271192000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
