date,trailingOtherIncomeExpense,quarterlyCurrentDeferredRevenue,annualDilutedEPS,trailingGrossProfit,quarterlyCashAndCashEquivalents,annualNetPPE,annualOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,annualTotalNonCurrentAssets,annualGrossProfit,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualCashFlowFromContinuingFinancingActivities,annualInventory,quarterlyCapitalStock,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyPretaxIncome,annualEbitda,quarterlyNetPPE,annualOtherIncomeExpense,quarterlyTaxProvision,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,quarterlyCurrentDebt,trailingChangeInCashSupplementalAsReported,quarterlyCapitalExpenditure,annualGrossPPE,annualChangeInInventory,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyDilutedAverageShares,quarterlyInterestExpense,trailingDepreciationAndAmortization,annualBasicAverageShares,trailingCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,annualBeginningCashPosition,annualOtherNonCurrentLiabilities,quarterlyNetOtherFinancingCharges,trailingOtherNonCashItems,annualPurchaseOfBusiness,trailingInvestingCashFlow,trailingDeferredIncomeTax,quarterlyOperatingCashFlow,trailingCapitalExpenditure,annualCapitalExpenditure,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyChangeInCashSupplementalAsReported,annualAccumulatedDepreciation,annualDeferredIncomeTax,annualInvestingCashFlow,quarterlySaleOfInvestment,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,annualNonCurrentDeferredTaxesLiabilities,trailingCashDividendsPaid,trailingInterestExpense,trailingBeginningCashPosition,quarterlyChangeInWorkingCapital,trailingNetIncome,trailingNetIncomeContinuousOperations,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentLiabilities,trailingPurchaseOfInvestment,trailingOperatingExpense,trailingChangeInInventory,quarterlyStockBasedCompensation,annualDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,annualChangeInCashSupplementalAsReported,quarterlyEbitda,annualNetOtherFinancingCharges,trailingStockBasedCompensation,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,annualGoodwill,annualInterestExpense,annualStockBasedCompensation,annualRepaymentOfDebt,annualPurchaseOfInvestment,quarterlyBasicEPS,annualCapitalStock,annualTotalRevenue,trailingChangeInWorkingCapital,annualAccountsPayable,quarterlyBasicAverageShares,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,quarterlyCashDividendsPaid,trailingChangeInAccountPayable,trailingOperatingIncome,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,annualOtherShortTermInvestments,quarterlyCurrentLiabilities,trailingFreeCashFlow,quarterlyDepreciationAndAmortization,annualTaxProvision,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualEndCashPosition,annualChangeInWorkingCapital,trailingCostOfRevenue,trailingTotalRevenue,quarterlyRetainedEarnings,annualOtherCurrentAssets,annualOperatingIncome,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,annualNetOtherInvestingChanges,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,quarterlyOperatingIncome,trailingTaxProvision,trailingEndCashPosition,trailingPretaxIncome,annualNetIncome,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalAssets,annualPretaxIncome,annualCurrentDebt,quarterlyNetIncomeCommonStockholders,annualFreeCashFlow,annualOperatingExpense,quarterlyTotalNonCurrentAssets,annualCashDividendsPaid,annualCurrentDeferredRevenue,trailingSellingGeneralAndAdministration,annualGainsLossesNotAffectingRetainedEarnings,quarterlyFreeCashFlow,annualCostOfRevenue,quarterlyDilutedEPS,quarterlyOtherNonCurrentLiabilities,annualSellingGeneralAndAdministration,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,trailingSaleOfInvestment,quarterlyOtherCurrentAssets,annualTotalAssets,annualCurrentAssets,annualOtherNonCurrentAssets,annualStockholdersEquity,annualLongTermDebt,annualOtherNonCashItems,annualBasicEPS,annualRepurchaseOfCapitalStock,annualDepreciationAndAmortization,quarterlyCurrentAccruedExpenses,trailingNetOtherInvestingChanges,quarterlyCostOfRevenue,annualCurrentLiabilities,trailingNetIncomeCommonStockholders,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,annualCurrentAccruedExpenses,quarterlyAccountsReceivable,annualRetainedEarnings,annualNetIncomeCommonStockholders,quarterlyGoodwill,quarterlyChangeInAccountPayable,annualSaleOfInvestment,trailingRepurchaseOfCapitalStock,quarterlyInvestingCashFlow,annualCommonStockIssuance,quarterlyEndCashPosition,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyGrossProfit,quarterlyOtherIncomeExpense,trailingOperatingCashFlow,annualAccountsReceivable,annualNonCurrentDeferredRevenue,trailingDilutedAverageShares,annualInvestmentsAndAdvances,annualResearchAndDevelopment,trailingBasicEPS,trailingCommonStockIssuance,annualIncomeTaxPayable,quarterlyResearchAndDevelopment,trailingBasicAverageShares,quarterlyChangesInAccountReceivables,trailingResearchAndDevelopment,annualChangesInAccountReceivables,quarterlyIncomeTaxPayable,quarterlyInvestmentsAndAdvances,trailingChangesInAccountReceivables,trailingPurchaseOfBusiness,trailingDilutedEPS,quarterlyNonCurrentDeferredRevenue
1970-01-01 00:00:01.575072,54000000.0,,0.01,20178000000.0,,,0.0,,,62700000.0,,,,,,,,,62700000.0,,,,,0.0,,2249000000.0,,,,,,,1530000000.0,168870000.0,-1283000000.0,,,,0.0,,,68000000.0,,-2758000000.0,183000000.0,,-2983000000.0,,,,,,,0.0,,,,,-1110000000.0,152000000.0,6778000000.0,,3736000000.0,3783000000.0,,,-1099000000.0,15329000000.0,-1596000000.0,,168870000.0,,,,,,626000000.0,-365000000.0,,,,,,,,,62700000.0,91000000.0,,,,,,1164000000.0,4849000000.0,,,,,,3298000000.0,,,,,0.0,,134496000000.0,154674000000.0,,,62700000.0,,,,1100000.0,,,1105000000.0,9018000000.0,4888000000.0,1100000.0,,,,,,0.0,,,,,15251000000.0,,,,,,,,,1288000000.0,,0.0,0.0,,0.0,,,0.01,,,,36000000.0,,0.0,3736000000.0,,,,,,1100000.0,,,,-245000000.0,,,,,,,,,,,6281000000.0,,,,,,,,,,,,,,,,,,,
,,,0.02,,,,0.0,,-13500000.0,146500000.0,,,,,,,,,146500000.0,,,,,,,,,,,,,,,125000000.0,,,,,0.0,-21500000.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,125000000.0,,,,,,,,,,,,,,,,146500000.0,,,,-19800000.0,,,,,,,,,,,,,-6700000.0,,0.0,,,,,,146500000.0,,,,2500000.0,,,,,,2500000.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,13500000.0,,6700000.0,1700000.0,,0.02,,,,,,13100000.0,,,,,,,2500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.01,,,,0.0,,-21900000.0,226800000.0,,,,,,,,,226800000.0,,,,,,,,,,,,,,,168904000.0,,,,,0.0,-36000000.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,170000000.0,,,,,,,,,,,,,,,,226800000.0,,,,-34400000.0,,,,,,,,,,,,,-11900000.0,,0.0,,,,,,226800000.0,,,,5100000.0,,,,,,5100000.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,21900000.0,,11900000.0,1600000.0,,0.01,,,,,,22500000.0,,,,,,,5100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.05,,,19900000.0,0.0,,31500000.0,40700000.0,4400000.0,,,20900000.0,,,,,12700000.0,,4800000.0,,,,,,,21900000.0,,,,,,158000000.0,,,,,0.0,0.0,,,,,,,,,,,,-2000000.0,,0.0,,,,700000.0,,,,,,,,,,,,,158000000.0,,,,,,,,31400000.0,,800000.0,,,,,,366200000.0,,,,4300000.0,,,,,,,,,,,,7600000.0,38200000.0,,0.0,,,,,200000.0,11600000.0,,,,7900000.0,4400000.0,,,,,7900000.0,,,15500000.0,2500000.0,,0.0,29100000.0,,,,,,,325500000.0,,,28000000.0,,,,,58400000.0,26900000.0,11600000.0,20200000.0,3600000.0,,0.05,,,,,,33900000.0,,,,,,16600000.0,7900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.08,,,45000000.0,0.0,,67200000.0,69400000.0,32700000.0,,,38300000.0,,,,,20600000.0,,10600000.0,,,,,,,48500000.0,,,,,,183750000.0,,,,,0.0,900000.0,,,,,,,,,,,,-3500000.0,,0.0,,,,1600000.0,,,,,,,,,,,,,183750000.0,,,,,,,,58200000.0,,200000.0,,,,,,632900000.0,,,,6300000.0,,,,,,,,,,,,14500000.0,72100000.0,,0.0,,,,,300000.0,18800000.0,,,,14700000.0,32700000.0,,,,,14700000.0,,,29200000.0,7600000.0,,0.0,50600000.0,,,,,,,563500000.0,,,48800000.0,,,,,141100000.0,73900000.0,22200000.0,69000000.0,3800000.0,,0.08,,,,,,65800000.0,,,,,,31300000.0,14700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193176000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225600000.0,,,,,,,,,,0.04,,,,,193176000.0,,,,,,,,,,,,,,,,,,,,,,,225600000.0,,,,,225600000.0,,,,,,,,,,,,,,,,,,,0.04,,,,6000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193176000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282600000.0,,,,,,,,,,0.04,,,,,193176000.0,,,,,,,,,,,,,,,,,,,,,,,282600000.0,,,,,282600000.0,,,,,,,,,,,,,,,,,,,0.04,,,,6000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.15,,34400000.0,73500000.0,0.0,34400000.0,97300000.0,118600000.0,34400000.0,,,54800000.0,,,,,37500000.0,73500000.0,22500000.0,,,,200000.0,,,79800000.0,,,,,,190666667.0,,-6300000.0,,23800000.0,0.0,500000.0,,,,,,,,,,79800000.0,,-6300000.0,,0.0,,,,2700000.0,,,,,,,,84800000.0,,,,,190666667.0,,,,-798900000.0,,,,84800000.0,,400000.0,,,,,,1141400000.0,,,,80000000.0,,,,,,169100000.0,,,85000000.0,,,27700000.0,165000000.0,80000000.0,0.0,,,,59900000.0,1400000.0,34200000.0,308300000.0,,,28600000.0,34400000.0,-798900000.0,,,,28600000.0,165000000.0,266400000.0,56300000.0,200000.0,,0.0,84400000.0,97300000.0,,,,,,1022800000.0,,500000.0,81100000.0,,8300000.0,,1400000.0,266400000.0,169100000.0,23800000.0,101400000.0,76800000.0,,0.15,,,,,,85000000.0,,,101400000.0,,,59900000.0,28600000.0,,,,,,,,54800000.0,2700000.0,76800000.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193176000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542500000.0,,,,,,,,,,0.08,,,,,193176000.0,,,,,,,,,,,,,,,,,,,,,,,542500000.0,,,,,542500000.0,,,,,,,,,,,,,,,,,,,0.08,,,,13700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192852000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368700000.0,,,,,,,,,,0.05,,,,,192852000.0,,,,,,,,,,,,,,,,,,,,,,,368700000.0,,,,,368700000.0,,,,,,,,,,,,,,,,,,,0.05,,,,9300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
