,annualOperatingCashFlow,trailingGrossProfit,annualCapitalStock,annualDilutedAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,annualGrossProfit,annualOtherIntangibleAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,annualNetPPE,quarterlyCashAndCashEquivalents,annualTotalNonCurrentAssets,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyTaxProvision,trailingRepaymentOfDebt,annualCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyRepaymentOfDebt,quarterlyDilutedEPS,trailingChangeInCashSupplementalAsReported,annualDilutedEPS,annualChangeInInventory,quarterlyInterestExpense,annualOtherNonCashItems,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,annualGrossPPE,quarterlyCapitalExpenditure,annualBeginningCashPosition,annualPurchaseOfBusiness,annualOtherNonCurrentLiabilities,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,quarterlyOperatingCashFlow,trailingInvestingCashFlow,trailingCapitalExpenditure,trailingSellingGeneralAndAdministration,annualInvestingCashFlow,quarterlyGrossPPE,trailingOperatingExpense,quarterlySaleOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,annualBasicEPS,annualPurchaseOfInvestment,annualOperatingExpense,annualCapitalExpenditure,trailingInterestExpense,quarterlyAccountsPayable,trailingCashDividendsPaid,annualNonCurrentDeferredRevenue,annualNonCurrentDeferredTaxesLiabilities,quarterlyResearchAndDevelopment,trailingPurchaseOfInvestment,trailingNetIncomeContinuousOperations,quarterlyOperatingIncome,trailingNetIncome,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,trailingBeginningCashPosition,trailingNetOtherFinancingCharges,quarterlyCommonStockIssuance,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualRepaymentOfDebt,annualChangeInWorkingCapital,quarterlyEbitda,quarterlyOtherShortTermInvestments,annualInventory,annualNetOtherFinancingCharges,quarterlyDilutedAverageShares,annualInterestExpense,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingIncome,annualResearchAndDevelopment,annualCostOfRevenue,quarterlyCashDividendsPaid,annualOtherCurrentAssets,annualTotalRevenue,trailingResearchAndDevelopment,trailingFreeCashFlow,quarterlyBasicEPS,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCashItems,annualTaxProvision,annualEndCashPosition,annualTotalLiabilitiesNetMinorityInterest,trailingTotalRevenue,trailingCostOfRevenue,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualNetOtherInvestingChanges,quarterlyBasicAverageShares,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyTotalRevenue,trailingTaxProvision,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,quarterlyTotalLiabilitiesNetMinorityInterest,annualNetIncome,annualPretaxIncome,trailingEndCashPosition,quarterlyDepreciationAndAmortization,annualFreeCashFlow,trailingOperatingIncome,quarterlyNetIncomeCommonStockholders,annualCashDividendsPaid,quarterlyTotalNonCurrentAssets,annualCurrentDebt,quarterlyTotalAssets,quarterlyNetIncomeContinuousOperations,annualAccountsReceivable,quarterlyOtherNonCurrentLiabilities,trailingSaleOfInvestment,annualOtherNonCurrentAssets,quarterlyNetIncome,annualSellingGeneralAndAdministration,trailingPretaxIncome,quarterlyOtherCurrentAssets,annualTotalAssets,annualCurrentAssets,quarterlyNetOtherInvestingChanges,annualLongTermDebt,annualStockholdersEquity,annualBasicAverageShares,annualNetIncomeCommonStockholders,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyAccountsReceivable,annualDepreciationAndAmortization,annualRetainedEarnings,quarterlyStockholdersEquity,annualEbitda,annualCurrentLiabilities,trailingNetIncomeCommonStockholders,annualSaleOfInvestment,quarterlyChangeInInventory,quarterlyGrossProfit,quarterlyLongTermDebt,quarterlyInventory,quarterlyEndCashPosition,annualOtherShortTermInvestments,annualCommonStockIssuance,quarterlyOperatingExpense,quarterlyInvestingCashFlow,annualStockBasedCompensation,trailingCashFlowFromContinuingFinancingActivities,trailingDilutedEPS,quarterlyCashFlowFromContinuingFinancingActivities,annualAccumulatedDepreciation,annualCashFlowFromContinuingFinancingActivities,annualGoodwill,trailingDilutedAverageShares,quarterlyStockBasedCompensation,quarterlyCurrentDeferredRevenue,trailingCommonStockIssuance,trailingStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,annualCurrentAccruedExpenses,quarterlyChangesInAccountReceivables,trailingPurchaseOfBusiness,annualDeferredIncomeTax,trailingOperatingCashFlow,annualInvestmentsAndAdvances,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIncomeExpense,quarterlyDeferredIncomeTax,trailingChangesInAccountReceivables,trailingNetOtherInvestingChanges,trailingChangeInWorkingCapital,quarterlyAccumulatedDepreciation,trailingChangeInInventory,quarterlyInvestmentsAndAdvances,annualChangesInAccountReceivables,annualGainsLossesNotAffectingRetainedEarnings,trailingBasicEPS,annualChangeInAccountPayable,quarterlyChangeInAccountPayable,trailingOtherIncomeExpense,quarterlyCurrentAccruedExpenses,annualOtherIncomeExpense,trailingChangeInAccountPayable,annualIncomeTaxPayable,quarterlyIncomeTaxPayable,annualCurrentDeferredRevenue,trailingBasicAverageShares,annualRepurchaseOfCapitalStock,trailingDeferredIncomeTax,trailingDepreciationAndAmortization,trailingOtherNonCashItems,trailingRepurchaseOfCapitalStock
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915062400,,,2434038200.0,,,448949721.0,100634900.0,,4531785460.0,,4632420360.0,,,,,247743362.0,,,,,,,,,,,,,4531785460.0,,,,0.0,,,,,,,,,,,,,,,214448696.0,,,,,,,,,,,,,,,,,66552801.0,,,,,,1272647390.0,,,125711429.0,295071217.0,1228164253.0,234501025.0,,2056311425.0,,-72132007.0,2505261146.0,,,,,,,,2750157607.0,,,,,,,,,,,,,10024390.0,247743362.0,,10024390.0,10024390.0,,,,,,,,918687869.0,,,254336331.0,,,0.0,,188006322.0,,,6541468865.0,1909048505.0,,1177643253.0,3791311258.0,,10024390.0,,,,,204163608.0,,135735819.0,1521993354.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946598400,,,2434038200.0,,,320688340.0,97044900.0,,5114669506.0,,5211714406.0,,,,,229187504.0,,,,,,,,,,,,,5114669506.0,,,,727310.0,,,,,,,,,,,,,,,246807201.0,,,,,,,,,,,,,,,,,488446836.0,,,,,,1336114272.0,,,103189044.0,348349600.0,1579220370.0,73881139.0,,2374136888.0,,-94216511.0,2694825228.0,,,,,,7122.0,,3416012834.0,,,,,,,,,,,,,23157436.0,229187504.0,,23151652.0,23164558.0,,,,,,,,747264596.0,,,282942074.0,,,0.0,,220464968.0,,,7231203054.0,2019488648.0,,1530569370.0,3814462910.0,,23151652.0,,,,,219210880.0,,126353602.0,1836792464.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978220800,675838898.0,,2434038200.0,,,557550649.0,93454900.0,,5443536883.0,,5539763278.0,,,,,368811075.0,,,,,,,,-81169064.0,,124962148.0,,,5443536883.0,,228810104.0,,639469.0,,,,,,,-669849618.0,,,,,,,,288353339.0,-669849618.0,,,,,,,,,,,,,,,,181876423.0,137292572.0,-1366771332.0,39660108.0,,,1418194777.0,-1870000.0,,140972344.0,380419771.0,2032701000.0,269197310.0,,2973790389.0,,-117372082.0,3531341038.0,,,,,,98359.0,366102676.0,3849719910.0,,,,,,,0.0,,,,,,108766034.0,368811075.0,,108659622.0,108864393.0,,,5989280.0,,,-179572329.0,,911230000.0,,,285357726.0,,,0.0,,257145931.0,,,7749141529.0,2209378251.0,,1985920000.0,3898782150.0,,108659622.0,,,,369017596.0,265441482.0,,618854333.0,1817018910.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009756800,640291768.0,,2664038200.0,,,694600813.0,89864900.0,684562998.0,5717070125.0,683327945.0,5813916520.0,2664038200.0,,,,684562998.0,,,5717070125.0,,,,0.100622,-160113032.0,,162534829.0,989668243.0,0.0,5717070125.0,,366102676.0,,693729.0,,89864900.0,,,,,-618968101.0,5717070125.0,,,,173870000.0,0.100622,-37025073.0,217894728.0,-631561564.0,,347932057.0,,,,,,,,,,,,,,173870000.0,314957489.0,-1836046423.0,-164399181.0,,1235053.0,1576282316.0,576976908.0,,163067225.0,347932057.0,1965831000.0,476706085.0,,2308749019.0,,0.0,3003349832.0,,,,,,101973.0,681060165.0,3886655460.0,,,2646232179.0,1920824460.0,313022748.0,1965831000.0,9942592.0,,,,,,301556866.0,683327945.0,3886655460.0,301434708.0,301658839.0,,,8730204.0,,,-204774906.0,5813916520.0,989668243.0,8460148699.0,,177743253.0,693729.0,,0.0,,186199427.0,,0.0,8460148699.0,2646232179.0,,1836920000.0,4572799510.0,,301434708.0,,,177743253.0,365086794.0,313022748.0,4572799510.0,829812858.0,1920824460.0,,32000000.0,,,1836920000.0,1576282316.0,,1235053.0,494846908.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017532800,,,,,,,,448448950.0,,447213897.0,,2664038200.0,,18084.44,,,,33191026.72,6082687043.0,,0.011069,,,,38860557.85,,1134668243.0,0.0,,,,,,,110211766.0,,,,,,6082687043.0,,,,172000000.0,,,,,,301834611.0,,,,,,,76450966.64,,,,,,,,,,,72051584.57,1235053.0,,,,,,,,,,,,,,,0.011069,53360340.45,,,,,,,2477103045.0,2002190404.0,346181004.0,2015667876.0,,,,,779701186.79,,,,4017858280.0,,,,,,,33158255.52,,6207421417.0,,8684524462.0,33172942.28,,2780263.0,,,33158255.52,,,0.0,,,,,,,,649885653.02,,229602388.0,,,4605957766.0,,,,,,129815533.77,1881920000.0,1502017488.0,,,,53364567.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025395200,,,,,,,,332237762.0,,311391734.0,,2664038200.0,,15015188.56,,,,54149569.28,6261397444.0,,,,,,34321116.15,,992517060.0,0.0,,,,,,,108128844.0,,,,,,6261397444.0,,,,392270200.0,,,,,,362050703.0,,,,,,,93240177.36,,,,,,,,,,,88470685.43,20846028.0,,,,,,,,,,,,,,,,65087135.55,,,,,,,2186874423.0,2101129148.0,385303024.0,1824495800.0,,,,,790382373.21,,,,3925624948.0,,,,,,,39122020.48,,6444480695.0,,8631355118.0,39134380.72,,60650384.0,,,39122020.48,,,0.0,,,,,,,,614522542.98,,194343767.0,,,4645079786.0,,,,,,175859830.23,1703519800.0,1422589442.0,,,,82619652.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033344000,,,,,,,,264018448.0,,245479466.0,,2664038200.0,,-14977666.0,,,,30054693.0,6412422070.0,,,,,,40664866.0,,928487530.0,0.0,,,,,,,108192363.0,,,,,,6412422070.0,,,,308400000.0,,,,,,422605830.0,,,,,,,82925215.0,,,,,,,,,,,70719559.0,18538982.0,,,,,,,,,,,,,,,,79696204.0,,,,,,,2285169485.0,1998739978.0,430453992.0,2110897258.0,,,,,748900463.0,,,,4109637236.0,,,,,,,45014247.0,,6575230281.0,,8860399766.0,45032359.0,,60668497.0,,,45014247.0,,,0.0,,,,,,,,577290646.0,,156987978.0,,,4690094033.0,,,,,,171609817.0,1987920200.0,1600081610.0,,,,88684602.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041292800,773135219.0,,2664038200.0,,,675363829.0,106131229.0,258198674.0,6570073434.0,257499326.0,6681814663.0,2664038200.0,,3696319.0,,258198674.0,,55941320.0,6570073434.0,,,,0.056583,84859121.0,42974890.0,166192925.0,608200550.0,0.0,6570073434.0,,681060165.0,,60703745.0,,106131229.0,,,,,-1198201388.0,6570073434.0,,,,377680000.0,0.056583,-25938753.0,310067886.0,-1021173395.0,,370452049.0,,,,,,,112679584.0,,,,,,,377680000.0,-423560839.0,-1652423789.0,5084458.0,98916210.0,699348.0,1510877972.0,69067654.0,,156821430.0,370452049.0,2390151000.0,365295943.0,,2677730786.0,,0.0,3353094615.0,,,,77489329.0,,3751926.0,257499326.0,4100051541.0,,,2141323263.0,1709900541.0,334786076.0,2390151000.0,-191066987.0,,,,1034110592.0,,169584683.0,257499326.0,4100051541.0,169504276.0,173336609.0,,,-248038176.0,,52209753.0,-316094631.0,6681814663.0,608200550.0,8823137926.0,52245001.0,151567467.0,60703745.0,,0.0,52209753.0,275633009.0,,0.0,8823137926.0,2141323263.0,,2263110000.0,4662382640.0,,169504276.0,836031944.0,,151567467.0,400237602.0,334786076.0,4662382640.0,730395641.0,1709900541.0,,29310541.0,,198078648.0,2263110000.0,1510877972.0,,699348.0,60000000.0,85399064.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049068800,,,,,,,,283286992.0,,282587644.0,,2664038200.0,257499326.0,16000000.0,,,,106559103.0,6637547998.0,-532540840.0,0.030224,,,,41568972.0,,835539252.0,0.0,,-124840356.0,,,,-595490.0,106061002.0,-211520484.0,,,,,6637547998.0,,26992.0,25088319.0,395810000.0,,,,,,385181839.0,,,,,,,151817095.0,,,-441494263.0,,,,,,,,243705527.0,699348.0,,,,,,,,,,-47321045.0,,,,,0.030224,55290545.0,41568972.0,,,,,,2615221493.0,1992484571.0,425327184.0,2558315803.0,,,,-336360840.0,1017761176.0,,,,4550800374.0,,,,95577452.0,,,90541108.0,,6749219000.0,,9364440493.0,90559103.0,,60716371.0,,,90541108.0,,,0.0,,,26992.0,,,,,810624670.0,,197407002.0,,,4752923748.0,,,,,-272430915.0,207136506.0,2425110000.0,1783308887.0,282587645.0,,,55319411.0,-124813364.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
