,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,trailingOperatingExpense,trailingDeferredIncomeTax,annualCapitalExpenditure,trailingCapitalExpenditure,quarterlyGrossPPE,annualOtherNonCurrentAssets,trailingSellingGeneralAndAdministration,annualOperatingExpense,annualSellingGeneralAndAdministration,annualAccumulatedDepreciation,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyBasicAverageShares,annualRepurchaseOfCapitalStock,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,annualCurrentAssets,trailingNetIncomeContinuousOperations,annualChangesInAccountReceivables,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,quarterlyStockBasedCompensation,trailingNetIncomeCommonStockholders,annualNetOtherFinancingCharges,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,annualCurrentAccruedExpenses,annualChangeInCashSupplementalAsReported,quarterlyEbitda,quarterlyChangeInAccountPayable,annualInterestExpense,annualRepaymentOfDebt,trailingChangesInAccountReceivables,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualTotalRevenue,trailingRepurchaseOfCapitalStock,quarterlyOperatingExpense,quarterlyGrossProfit,quarterlyChangeInInventory,trailingCommonStockIssuance,trailingFreeCashFlow,quarterlyOtherNonCashItems,annualTotalNonCurrentAssets,quarterlyCurrentAssets,quarterlyCurrentLiabilities,trailingChangeInAccountPayable,annualGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalLiabilitiesNetMinorityInterest,annualTaxProvision,quarterlyDilutedEPS,annualChangeInWorkingCapital,quarterlyPurchaseOfBusiness,annualOtherCurrentAssets,trailingCostOfRevenue,quarterlyPretaxIncome,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyTotalRevenue,annualNetIncomeContinuousOperations,trailingDepreciationAndAmortization,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,annualChangeInInventory,quarterlyCapitalExpenditure,trailingTaxProvision,quarterlyAccumulatedDepreciation,annualCurrentDebt,annualPurchaseOfBusiness,annualFreeCashFlow,annualCostOfRevenue,trailingOtherNonCashItems,annualBeginningCashPosition,annualNetIncome,trailingInvestingCashFlow,quarterlyChangeInCashSupplementalAsReported,trailingSaleOfInvestment,quarterlyOtherNonCurrentLiabilities,quarterlyOperatingCashFlow,annualInvestingCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualNonCurrentDeferredTaxesLiabilities,annualTotalAssets,annualOtherNonCashItems,annualBasicAverageShares,trailingNetIncome,quarterlyOtherCurrentLiabilities,annualStockholdersEquity,trailingPurchaseOfInvestment,annualLongTermDebt,quarterlyCurrentAccruedExpenses,trailingChangeInInventory,trailingStockBasedCompensation,quarterlyAccountsReceivable,annualCurrentLiabilities,quarterlyDilutedAverageShares,annualDepreciationAndAmortization,quarterlyCommonStockIssuance,quarterlyCostOfRevenue,annualRetainedEarnings,quarterlyGoodwill,annualInventory,annualBasicEPS,trailingChangeInWorkingCapital,quarterlyLongTermDebt,annualGoodwill,quarterlyNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,annualPurchaseOfInvestment,annualCommonStockIssuance,quarterlyOtherIncomeExpense,annualCapitalStock,annualStockBasedCompensation,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyInventory,annualOperatingIncome,annualOtherIncomeExpense,annualAccountsPayable,annualOperatingCashFlow,trailingOperatingIncome,annualNetPPE,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashAndCashEquivalents,trailingGrossProfit,annualCashCashEquivalentsAndMarketableSecurities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherIntangibleAssets,annualChangeInAccountPayable,trailingRepaymentOfDebt,quarterlyCapitalStock,annualEndCashPosition,quarterlyBeginningCashPosition,annualCashFlowFromContinuingFinancingActivities,annualEbitda,trailingTotalRevenue,trailingChangeInCashSupplementalAsReported,quarterlyPurchaseOfInvestment,annualGrossPPE,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,quarterlyCurrentDebt,trailingEndCashPosition,quarterlyBasicEPS,annualCashAndCashEquivalents,trailingPretaxIncome,annualNetOtherInvestingChanges,trailingCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,annualDilutedAverageShares,annualIncomeTaxPayable,quarterlyNetIncomeCommonStockholders,annualPretaxIncome,annualDilutedEPS,quarterlyOtherIntangibleAssets,quarterlyFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyNetOtherFinancingCharges,annualOtherNonCurrentLiabilities,quarterlyCurrentDeferredRevenue,trailingPurchaseOfBusiness,annualResearchAndDevelopment,annualCurrentDeferredRevenue,trailingCashDividendsPaid,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,trailingBasicAverageShares,trailingOtherIncomeExpense,quarterlyInvestmentsAndAdvances,trailingBasicEPS,annualOtherShortTermInvestments,trailingNetOtherInvestingChanges,quarterlyOtherShortTermInvestments,trailingNetOtherFinancingCharges,trailingDilutedEPS,annualCashDividendsPaid,quarterlyCashDividendsPaid,trailingDilutedAverageShares,trailingInterestExpense,trailingResearchAndDevelopment,annualInvestmentsAndAdvances
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628387200,,,,,,,,,,,,,,,120000000.0,,,,,,,,,,,,,,,,,,,,143300000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,143300000.0,,,,143300000.0,,,,,,,,,,,,,,,,,,3600000.0,3600000.0,,,,,,,,,,,,,,,120000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,3600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636163200,,,,,,,,,,,,,,,95000000.0,,,,,,,,,,,,,,,,,,,,133500000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,133500000.0,,,,133500000.0,,,,,,,,,,,,,,,,,,1900000.0,1900000.0,,,,,,,,,,,,,,,95000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,1900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644112000,,,,,,,,,,,,,,,106000000.0,,,,,,,,,,,,,,,,,,,,155000000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,155000000.0,,,,155000000.0,,,,,,,,,,,,,,,,,,5300000.0,5300000.0,,,,,,,,,,,,,,,106000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,5300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652060800,,,,,-25900000.0,,143700000.0,2500000.0,,213900000.0,205600000.0,-31500000.0,-2600000.0,,,,,,,192800000.0,,,,11000000.0,117600000.0,23300000.0,46400000.0,,,200000.0,84600000.0,,,100000.0,-382500000.0,,10900000.0,,,,,671700000.0,,,,,,,,135600000.0,192800000.0,164900000.0,,263200000.0,,,78900000.0,243800000.0,15000000.0,,13500000.0,,11000000.0,,,,41300000.0,112200000.0,239900000.0,23300000.0,,,-382500000.0,-11700000.0,,,-31500000.0,900000.0,,18000000.0,408500000.0,,800000.0,23300000.0,,,,3000000.0,,-25500000.0,12500000.0,12500000.0,2000000.0,328400000.0,1000000.0,122631579.0,,46400000.0,84600000.0,,73900000.0,,,,,164900000.0,,8300000.0,,,41300000.0,,176700000.0,0.19,,73900000.0,,2000000.0,,,,,,,,,176700000.0,49300000.0,-100000.0,117600000.0,43900000.0,,112200000.0,,900000.0,,900000.0,900000.0,,78900000.0,20900000.0,,,,0.0,,-18300000.0,57600000.0,,,,143700000.0,,,900000.0,,,900000.0,,0.0,,2500000.0,243800000.0,122631579.0,,12500000.0,38300000.0,0.19,20900000.0,,135600000.0,328400000.0,,3000000.0,,,,,,,,,,,,,,,,,,,,,,,
659923200,,,,,,,,,,,,,,,123333333.0,,,,,,,,,,,,,,,,,,,,165500000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,165500000.0,,,,165500000.0,,,,,,,,,,,,,,,,,,7400000.0,7400000.0,,,,,,,,,,,,,,,123333333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,7400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667699200,,,,,,,,,,,,,,,116000000.0,,,,,,,,,,,,,,,,,,,,153600000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,153600000.0,,,,153600000.0,,,,,,,,,,,,,,,,,,5800000.0,5800000.0,,,,,,,,,,,,,,,116000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,5800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675648000,,,,,,,165100000.0,,,,,,,,137142857.0,,,,,,,,,13700000.0,147900000.0,,,,,,186500000.0,,,,20100000.0,,,,,,,,,58000000.0,75800000.0,,,,,,254800000.0,204700000.0,,,55700000.0,,14500000.0,,,0.07,,,,,15600000.0,6000000.0,64000000.0,128500000.0,185000000.0,,,,17800000.0,,,,-36600000.0,,,,,,,,,,,2700000.0,,,9600000.0,9600000.0,,,,,,41200000.0,,,,,,,,,137142857.0,,,109200000.0,,,,,,10000000.0,,1800000.0,,,,0.0,,,,,235800000.0,,,,,,,,1000000.0,,,1000000.0,,,,,,,,,,,,,,,,2200000.0,15600000.0,,0.07,,,,,1900000.0,219200000.0,,,9600000.0,,,20500000.0,,150900000.0,405700000.0,,,,,,,,,,,,,,,,,,,,,,,,,
683596800,,,,,-41100000.0,,182600000.0,1300000.0,,256900000.0,247400000.0,-39800000.0,-4000000.0,,,,22300000.0,,,234500000.0,,,,15600000.0,121000000.0,44000000.0,56400000.0,,,800000.0,208600000.0,0.0,,8200000.0,37900000.0,,7300000.0,,,0.0,-17700000.0,818000000.0,,95800000.0,131300000.0,30200000.0,,,,164400000.0,234500000.0,177600000.0,,336200000.0,93400000.0,,12700000.0,190300000.0,28100000.0,,-14600000.0,,15600000.0,,34900000.0,13700000.0,85200000.0,142800000.0,313900000.0,44000000.0,,-16900000.0,35500000.0,-29000000.0,-18800000.0,,-39800000.0,200000.0,,-5400000.0,481800000.0,,900000.0,44000000.0,,8100000.0,,3600000.0,42700000.0,-40000000.0,21200000.0,21200000.0,2100000.0,398900000.0,800000.0,133333333.0,,56400000.0,208600000.0,,7000000.0,,,,,177600000.0,,9500000.0,200000.0,182600000.0,85200000.0,,205700000.0,0.33,,7000000.0,,2100000.0,,,79300000.0,100000.0,,,,,205700000.0,79300000.0,100000.0,121000000.0,35700000.0,,142800000.0,,9000000.0,,9000000.0,9000000.0,2400000.0,12700000.0,20300000.0,,,,0.0,0.0,12500000.0,88800000.0,,,,182600000.0,,700000.0,200000.0,,,9000000.0,,0.0,,1300000.0,190300000.0,133333333.0,,21200000.0,72100000.0,0.33,20300000.0,23900000.0,164400000.0,398900000.0,800000.0,3600000.0,,,,,,,,,,,,,,,,,,,,,,,
691459200,,,,,,,195700000.0,,,,,,,,140000000.0,,10200000.0,,,,,,,16900000.0,118600000.0,,,,,,225100000.0,0.0,,,23100000.0,,,,,0.0,-13100000.0,,,66400000.0,86900000.0,9700000.0,,,-100000.0,,243000000.0,180600000.0,,,63800000.0,,12500000.0,,,0.09,,,,,20700000.0,8100000.0,97800000.0,153500000.0,215800000.0,,,3800000.0,20500000.0,,-13100000.0,,-42200000.0,,,,,,,,,16100000.0,,3500000.0,25300000.0,,12600000.0,12600000.0,,,,,,46600000.0,,,,,,,,,140000000.0,,2200000.0,128900000.0,,,,,,7000000.0,,2000000.0,,,,100000.0,,,,,196000000.0,,,,,,,,25100000.0,,,25100000.0,2600000.0,,,,,,,9000000.0,,,,,,,,,15400000.0,,0.09,,,,,1600000.0,193100000.0,,,12600000.0,,,20100000.0,12200000.0,175200000.0,418200000.0,-100000.0,,,,,,,,,,,,,,,,,,,,,,,,
