date,trailingCapitalExpenditure,annualInterestExpense,trailingSellingGeneralAndAdministration,trailingBeginningCashPosition,annualCurrentAssets,annualBeginningCashPosition,quarterlyOtherCurrentAssets,trailingOperatingExpense,annualAccumulatedDepreciation,trailingRepurchaseOfCapitalStock,annualSellingGeneralAndAdministration,annualOtherNonCurrentAssets,annualNetIncomeCommonStockholders,trailingNetIncomeCommonStockholders,trailingChangeInCashSupplementalAsReported,annualGrossPPE,annualRepaymentOfDebt,quarterlyAccountsPayable,trailingInterestExpense,annualTaxProvision,annualEndCashPosition,annualCapitalExpenditure,annualChangeInCashSupplementalAsReported,quarterlyStockholdersEquity,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,annualTotalRevenue,annualCostOfRevenue,annualOtherCurrentAssets,trailingGrossProfit,annualTotalNonCurrentAssets,trailingCostOfRevenue,annualCapitalStock,quarterlyRetainedEarnings,annualInventory,annualDilutedAverageShares,annualFreeCashFlow,annualCurrentDebt,annualStockBasedCompensation,annualGrossProfit,annualNetOtherFinancingCharges,trailingTaxProvision,trailingChangeInInventory,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,annualNetIncomeContinuousOperations,trailingNetIncomeContinuousOperations,trailingPurchaseOfBusiness,quarterlyNetPPE,annualPurchaseOfBusiness,trailingOtherNonCashItems,annualNonCurrentDeferredTaxesLiabilities,annualTotalLiabilitiesNetMinorityInterest,annualOperatingExpense,quarterlyCurrentAssets,trailingNetIncome,quarterlyCurrentLiabilities,trailingFreeCashFlow,quarterlyAccumulatedDepreciation,annualChangeInInventory,quarterlyGrossPPE,annualPurchaseOfInvestment,trailingInvestingCashFlow,annualBasicEPS,quarterlyLongTermDebt,trailingPurchaseOfInvestment,annualCashDividendsPaid,quarterlyOtherCurrentLiabilities,annualAccountsReceivable,annualNetIncome,annualLongTermDebt,annualSaleOfInvestment,quarterlyTotalAssets,annualPretaxIncome,annualGoodwill,quarterlyOtherNonCurrentLiabilities,quarterlyAccountsReceivable,trailingDepreciationAndAmortization,annualDepreciationAndAmortization,quarterlyCurrentDebt,annualOtherNonCashItems,annualStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualDilutedEPS,quarterlyInventory,trailingChangeInWorkingCapital,annualTotalAssets,annualBasicAverageShares,annualRetainedEarnings,trailingStockBasedCompensation,trailingSaleOfInvestment,quarterlyGoodwill,annualInvestingCashFlow,trailingOperatingIncome,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccountsPayable,quarterlyNonCurrentDeferredTaxesLiabilities,annualNetPPE,annualOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,trailingOperatingCashFlow,annualOperatingIncome,trailingTotalRevenue,trailingEndCashPosition,annualOtherShortTermInvestments,annualCommonStockIssuance,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,annualCurrentLiabilities,annualOtherIntangibleAssets,annualCashAndCashEquivalents,annualEbitda,quarterlyTotalNonCurrentAssets,annualOtherNonCurrentLiabilities,annualRepurchaseOfCapitalStock,annualCashCashEquivalentsAndMarketableSecurities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,annualNetOtherInvestingChanges,trailingPretaxIncome,quarterlyCapitalExpenditure,trailingRepaymentOfDebt,quarterlyCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,trailingDilutedEPS,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,annualCashFlowFromContinuingFinancingActivities,quarterlyFreeCashFlow,quarterlyChangeInWorkingCapital,trailingDilutedAverageShares,quarterlyStockBasedCompensation,quarterlyCurrentDeferredRevenue,trailingCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyNetOtherFinancingCharges,trailingCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingExpense,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyChangeInCashSupplementalAsReported,annualCurrentAccruedExpenses,quarterlyOtherNonCashItems,quarterlyChangesInAccountReceivables,quarterlyCostOfRevenue,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,annualDeferredIncomeTax,annualInvestmentsAndAdvances,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIncomeExpense,quarterlyDeferredIncomeTax,trailingChangesInAccountReceivables,trailingNetOtherInvestingChanges,annualNonCurrentDeferredRevenue,quarterlyCashDividendsPaid,quarterlyInvestmentsAndAdvances,quarterlyTotalRevenue,quarterlyNetIncome,quarterlyTaxProvision,quarterlyChangeInInventory,annualChangesInAccountReceivables,annualGainsLossesNotAffectingRetainedEarnings,trailingBasicEPS,annualChangeInAccountPayable,quarterlyEndCashPosition,quarterlyOperatingIncome,quarterlyChangeInAccountPayable,trailingOtherIncomeExpense,quarterlyEbitda,quarterlyResearchAndDevelopment,quarterlyCurrentAccruedExpenses,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,annualOtherIncomeExpense,trailingChangeInAccountPayable,annualIncomeTaxPayable,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyBasicEPS,annualResearchAndDevelopment,quarterlyIncomeTaxPayable,annualCurrentDeferredRevenue,quarterlyGrossProfit,trailingBasicAverageShares,quarterlyDepreciationAndAmortization,quarterlyRepaymentOfDebt,trailingDeferredIncomeTax,quarterlyDilutedEPS,trailingResearchAndDevelopment,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares
2012-12-31,-38771000.0,14357000.0,234967000.0,1149810000.0,365211000.0,330988000.0,,234967000.0,-103776000.0,-174613000.0,49912000.0,0.0,101088000.0,412029000.0,404709000.0,386616000.0,-200542000.0,,12244000.0,36544000.0,113124000.0,-28115000.0,-217864000.0,,0.0,2696000.0,758032000.0,573228000.0,1020000.0,744171000.0,655649000.0,1364129000.0,140580000.0,,35073000.0,833763000.0,138304000.0,5803000.0,,184804000.0,142816000.0,141530000.0,-30167000.0,-6251000.0,,110734000.0,421433000.0,-10760000.0,,-45000000.0,-49397000.0,,443102000.0,49762000.0,,412029000.0,,195504000.0,,-11873000.0,,-1033010000.0,187490000.0,0.121243,,-5047510000.0,,,83010000.0,101088000.0,227271000.0,995560000.0,,147278000.0,,,,73181000.0,36164000.0,,17059000.0,485256000.0,,0.121243,,-195001000.0,1020860000.0,833763000.0,314012000.0,-915000.0,5239186000.0,,-102200000.0,509204000.0,240733000.0,122251000.0,,282840000.0,166419000.0,,,234275000.0,135042000.0,2108300000.0,1554519000.0,60450000.0,0.0,,,202369000.0,323173000.0,113124000.0,197799000.0,,0.0,-200000000.0,173574000.0,,,-39874000.0,562963000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,,35184000.0,,,1473421000.0,113124000.0,1984000.0,,-81843000.0,,74133000.0,0.0,89992000.0,,,362947000.0,-33074000.0,123886000.0,,46865000.0,401770000.0,-21291000.0,299202000.0,1617200000.0,0.0,,887354000.0,674660000.0,1984000.0,,650617000.0,,166000.0,396746000.0,31050000.0,575836000.0,148385000.0,200000000.0,,212694000.0,-346913000.0,,,-349000.0,880450000.0,96144000.0,,,281104000.0,-10000000.0,,,408184000.0,73683000.0,1473421000.0,,402919000.0,,-81843000.0,4023000.0,362947000.0,-1520800000.0,,0.16,0.0,,,0.0,83818000.0,89992000.0,0.0,700800000.0,2124038000.0,143009000.0,,0.0,83818000.0,,36505000.0,200000000.0,24878000.0,1617200000.0,5265000.0,0.16,31050000.0,,2124038000.0,575793000.0,396746000.0,,,,-841754000.0,,5265000.0,123886000.0,,281104000.0,169676000.0,1282220000.0,401770000.0,,139011000.0,,,880450000.0,1392436000.0,166000.0,317249000.0,402919000.0,317249000.0,401770000.0,214698000.0,650617000.0,0.0,0.0,1282220000.0,408184000.0,0.0,-707399000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,,,,,,,0.0,,,,,,,,,,,153815000.0,,,,,,1699584000.0,,,,,,,,,,479130000.0,,,,,,,,,,,948466000.0,,,,277141000.0,,,,,,1412724000.0,,258491000.0,,,,277141000.0,,,,,,,0.0,,,,,2063677000.0,,,0.0,97265000.0,,,0.0,,,4228000.0,,35802000.0,,,,,,,,,,,,,,,1172614000.0,224148000.0,,,,,,,166000.0,317949000.0,,,,,650953000.0,,,,262719000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,,944000.0,,,1292796000.0,401770000.0,3913000.0,,-85213000.0,,85585000.0,0.0,230051000.0,,,373953000.0,-200000000.0,171874000.0,,77230000.0,611536000.0,-36257000.0,213413000.0,1627112000.0,0.0,,1206265000.0,908562000.0,3913000.0,,719110000.0,,166000.0,613278000.0,33832000.0,830870000.0,237956000.0,0.0,,297703000.0,0.0,,,24509000.0,461327000.0,239529000.0,,,288740000.0,-78000000.0,,,276662000.0,84708000.0,1292796000.0,,273435000.0,,-85213000.0,-2782000.0,373953000.0,-4509834000.0,,0.28,,,-44455000.0,0.0,93735000.0,230051000.0,,4957892000.0,2011906000.0,316759000.0,,0.0,93735000.0,,39192000.0,0.0,-34774000.0,1627112000.0,3227000.0,0.28,33832000.0,,2011906000.0,830870000.0,613278000.0,,,,360894000.0,,3227000.0,171874000.0,,288740000.0,274213000.0,1072863000.0,611536000.0,,212995000.0,,,461327000.0,0.0,166000.0,360030000.0,273435000.0,360030000.0,611536000.0,356895000.0,719110000.0,0.0,-175684000.0,1072863000.0,276662000.0,0.0,269478000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,,,,,,,82549000.0,,,,,,,,,,,161873000.0,,,,,,1711491000.0,,,,,,,,,,714904000.0,,,,,,,,,,,435649000.0,,,,285016000.0,,,,,,1344296000.0,,228253000.0,,,,285016000.0,,,,,,,0.0,,,,,2052640000.0,,,0.0,70987000.0,,,,,,2172000.0,,39463000.0,,,,,,,,,,,,,,,1112255000.0,676606000.0,,,,,,,166000.0,352091000.0,,,,,708344000.0,,,,230425000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,,0.0,,,1293867000.0,611536000.0,2966000.0,,-108631000.0,,149921000.0,0.0,167045000.0,,,400949000.0,0.0,209543000.0,,75554000.0,821864000.0,-32169000.0,212476000.0,1747878000.0,0.0,,1372267000.0,1042686000.0,2966000.0,,961602000.0,,166000.0,764705000.0,42322000.0,819346000.0,199533000.0,,41762000.0,329581000.0,-7115000.0,,,-5730000.0,191674000.0,172414000.0,,,292318000.0,-141985000.0,,,392737000.0,149917000.0,1293867000.0,,389813000.0,,-108631000.0,-8490000.0,400949000.0,-7158358000.0,,0.2,,,-32506000.0,0.0,137620000.0,167045000.0,,7461683000.0,2255469000.0,247968000.0,,0.0,137620000.0,,44637000.0,,-16759000.0,1747878000.0,2924000.0,0.2,42322000.0,,2255469000.0,818737000.0,764705000.0,,,,29766000.0,,2924000.0,209543000.0,,292318000.0,231702000.0,1013538000.0,821864000.0,,179664000.0,,,191674000.0,41896000.0,166000.0,404569000.0,389813000.0,404569000.0,821864000.0,224301000.0,961602000.0,0.0,-23892000.0,1013538000.0,392737000.0,0.0,249039000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,,,,,,,74463000.0,,,,,,,,,,,197306000.0,,,,,,1892091000.0,,,,,,,,,,895017000.0,,,,,,,,,,,272023000.0,,,,289817000.0,,,,,,1301285000.0,,265169000.0,,,,289817000.0,,,,,,,0.0,,,,,2279036000.0,,,0.0,144081000.0,,,,,,1705000.0,,44467000.0,,,,,,,,,,,,,,,800315000.0,528292000.0,,,,,,,166000.0,395141000.0,,,,,977751000.0,,,,266874000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,,342000.0,,,1654361000.0,821864000.0,2935000.0,,-134333000.0,,172062000.0,0.0,-1506964000.0,,,542345000.0,,242757000.0,,47331000.0,1069468000.0,-42451000.0,245588000.0,5238379000.0,0.0,,1532831000.0,1126198000.0,2935000.0,,4793975000.0,,267000.0,-762625000.0,50241000.0,901557000.0,181337000.0,,23298000.0,406633000.0,-15955000.0,,,-35632000.0,119206000.0,-1499812000.0,,,408012000.0,0.0,,318880000.0,1090806000.0,172022000.0,1654361000.0,,752348000.0,,-134333000.0,-7693000.0,542345000.0,-5023702000.0,,-1.67,,,-83112000.0,0.0,255924000.0,-1506964000.0,,5115476000.0,6448336000.0,-1452481000.0,1463611000.0,0.0,255924000.0,,51016000.0,,-35240000.0,5238379000.0,338458000.0,-1.67,50241000.0,,6448336000.0,901557000.0,-762625000.0,,,1463611000.0,120405000.0,,338458000.0,242757000.0,318880000.0,408012000.0,223788000.0,1188674000.0,1069468000.0,,234611000.0,,,119206000.0,462000.0,267000.0,2132362000.0,752348000.0,2132362000.0,1069468000.0,285627000.0,4793975000.0,0.0,0.0,1188674000.0,1090806000.0,0.0,17227000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,,,,,,,54356000.0,,,,,,,,,,,209321000.0,,,,,,5394312000.0,,,,,,,,,,-437701000.0,,,,,,,,,,,527556000.0,,,,396000000.0,,,,,,1857398000.0,,907136000.0,,,,396000000.0,,,,,,,0.0,,,,,6764308000.0,,,0.0,331717000.0,,,130188000.0,,,336548000.0,,61619000.0,,,,,,,1463611000.0,,,,,318254000.0,,,1332862000.0,805306000.0,,,,,,,267000.0,2122421000.0,,,,,4906910000.0,,,,1243684000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,,2482000.0,,,2113872000.0,1069468000.0,2483000.0,,-176173000.0,,211663000.0,,421034000.0,,,573120000.0,,256994000.0,,129812000.0,877054000.0,-34501000.0,-189610000.0,5481731000.0,,,1877724000.0,1209487000.0,2483000.0,,4800329000.0,,267000.0,,38597000.0,1280433000.0,425039000.0,171362000.0,5151000.0,668237000.0,-101720000.0,,,-16328000.0,715278000.0,429695000.0,,,396947000.0,0.0,,317627000.0,1312633000.0,211623000.0,2113872000.0,,976612000.0,,-176173000.0,11644000.0,573120000.0,-5104682000.0,,0.33,,,-69934000.0,,351720000.0,421034000.0,,4571449000.0,6914201000.0,559507000.0,1463611000.0,,351720000.0,,66722000.0,171362000.0,-164079000.0,5481731000.0,336021000.0,0.33,38597000.0,,6914201000.0,1277695000.0,,,,1463611000.0,-545082000.0,,336021000.0,256994000.0,317627000.0,396947000.0,459540000.0,1592332000.0,877054000.0,,456614000.0,,,715278000.0,0.0,267000.0,2112479000.0,976612000.0,2112479000.0,877054000.0,628711000.0,4800329000.0,,-101851000.0,1592332000.0,1312633000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
