,quarterlyGrossPPE,annualOtherNonCurrentAssets,trailingOperatingExpense,annualCapitalExpenditure,quarterlyIncomeTaxPayable,trailingSellingGeneralAndAdministration,annualOperatingExpense,trailingDeferredIncomeTax,annualSellingGeneralAndAdministration,quarterlySaleOfInvestment,annualAccumulatedDepreciation,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,annualChangesInAccountReceivables,annualCurrentAssets,quarterlyOperatingIncome,trailingNetIncomeContinuousOperations,trailingBeginningCashPosition,trailingInterestExpense,trailingCapitalExpenditure,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,annualRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,annualCurrentAccruedExpenses,quarterlyBasicEPS,annualChangeInCashSupplementalAsReported,annualNetOtherFinancingCharges,quarterlyNetOtherInvestingChanges,quarterlyStockBasedCompensation,quarterlyEndCashPosition,quarterlyInvestingCashFlow,trailingNetIncomeCommonStockholders,annualTaxProvision,annualNetIncomeCommonStockholders,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,quarterlyStockholdersEquity,quarterlyEbitda,annualRepaymentOfDebt,annualInterestExpense,trailingChangeInAccountPayable,quarterlyChangeInAccountPayable,annualTotalRevenue,trailingRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyChangeInInventory,annualGrossProfit,quarterlyPretaxIncome,annualTotalNonCurrentAssets,trailingFreeCashFlow,quarterlyPurchaseOfBusiness,annualFreeCashFlow,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyOtherNonCashItems,annualTotalLiabilitiesNetMinorityInterest,annualDilutedEPS,quarterlySellingGeneralAndAdministration,trailingCostOfRevenue,quarterlyRepaymentOfDebt,annualOtherCurrentAssets,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNetPPE,annualChangeInInventory,trailingNetIncome,annualBasicEPS,quarterlyCapitalExpenditure,quarterlyTotalRevenue,quarterlyDilutedAverageShares,trailingDepreciationAndAmortization,trailingTaxProvision,annualCashDividendsPaid,trailingOtherNonCashItems,annualCurrentDeferredRevenue,annualBeginningCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,annualNetIncomeContinuousOperations,annualCostOfRevenue,annualCurrentDebt,annualPurchaseOfBusiness,annualNetIncome,annualSaleOfInvestment,annualIncomeTaxPayable,trailingInvestingCashFlow,trailingSaleOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,annualInvestingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,trailingPurchaseOfInvestment,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,annualStockholdersEquity,annualOtherNonCashItems,trailingCashDividendsPaid,quarterlyCommonStockIssuance,annualNonCurrentDeferredTaxesLiabilities,annualLongTermDebt,quarterlyDilutedEPS,quarterlyGoodwill,annualRetainedEarnings,annualStockBasedCompensation,quarterlyAccountsReceivable,annualCurrentLiabilities,quarterlyCurrentAccruedExpenses,annualGoodwill,annualTotalAssets,quarterlyCostOfRevenue,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,trailingChangeInInventory,annualInventory,quarterlyLongTermDebt,annualAccountsReceivable,quarterlyInvestmentsAndAdvances,trailingOperatingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,annualPurchaseOfInvestment,annualDilutedAverageShares,quarterlyOtherIncomeExpense,annualCapitalStock,trailingChangeInWorkingCapital,quarterlyOperatingExpense,quarterlyInventory,annualOtherIntangibleAssets,annualOtherIncomeExpense,annualCashCashEquivalentsAndMarketableSecurities,annualCommonStockIssuance,annualOtherShortTermInvestments,quarterlyOtherIntangibleAssets,annualNetPPE,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,trailingGrossProfit,quarterlyBasicAverageShares,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccountsPayable,quarterlyDepreciationAndAmortization,annualChangeInAccountPayable,quarterlyBeginningCashPosition,annualBasicAverageShares,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,annualEndCashPosition,trailingNetOtherInvestingChanges,quarterlyCashAndCashEquivalents,annualEbitda,trailingRepaymentOfDebt,annualOperatingIncome,trailingTotalRevenue,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,trailingChangeInCashSupplementalAsReported,trailingPretaxIncome,trailingEndCashPosition,quarterlyCurrentDebt,annualGrossPPE,annualCashAndCashEquivalents,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,annualNetOtherInvestingChanges,trailingCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,annualPretaxIncome,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,annualInvestmentsAndAdvances,quarterlyTotalAssets,quarterlyNetOtherFinancingCharges,trailingOtherIncomeExpense,annualOtherNonCurrentLiabilities,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,trailingPurchaseOfBusiness,trailingResearchAndDevelopment,trailingDilutedEPS,trailingChangesInAccountReceivables,annualResearchAndDevelopment,trailingDilutedAverageShares,trailingCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,trailingStockBasedCompensation,trailingBasicEPS
278640000,,55506390912.0,,,,,150217710354.0,,134553438684.0,,-78816951126.0,,,,427077074718.0,,,,,,,,,,,,,,,,,,,,,29062976364.0,25593826932.0,,199599990534.0,,,,8389677708.0,,,533434824396.0,,,,180643566852.0,,184909204674.0,,,0.0,,,,363747397842.0,28.319587,,,,37682750718.0,,,,,,,,,54.8692,,,,,,,,,0.0,,,25593826932.0,352791257544.0,131278986414.0,,25593826932.0,,,,,,,0.0,,,,,,248238881550.0,,,,3575347884.0,3858543756.0,,,180820564272.0,,,330878976948.0,,,611986279392.0,,,,,173953064376.0,,,,,,,,466451613.0,,,,,,,32620624506.0,102693903084.0,,,,129402813762.0,,,,,0.0,32868420894.0,,,,,466451613.0,,,0.0,,,46090128168.0,,30425856498.0,,,,,,,,208219764888.0,102693903084.0,,,,,,,,54656803296.0,,,,,,,25434529254.0,,,,,,,,,,,,,
310176000,,70672132290.0,,,,,183088916640.0,,162998414400.0,,-95595727050.0,,,,547584644190.0,,,,,,,,,,,,,,,,,,,,,26984766570.0,17721339240.0,,257504326470.0,,,,13527920730.0,,,649648186230.0,,,,257859700920.0,,216683647980.0,,,0.0,,,,500793674940.0,37.906608,,,,59276458260.0,,,,,,,,,37.906608,,,,,,,,,0.0,,,17721339240.0,391788485310.0,205761806550.0,,17721339240.0,,,,,,,0.0,,,,,,263474617230.0,,,,2724537450.0,4359259920.0,,,195858705210.0,,,463266133020.0,,,764268292170.0,,,,,223080388080.0,,,,,,,,467500000.0,,,,,,,-16536757740.0,113435524440.0,,,,146011515690.0,,,,,0.0,37527541920.0,,,,,467500000.0,,,0.0,,,94861286520.0,,74770784280.0,,,,,,,,241607242740.0,113435524440.0,,,,,,,,44706105810.0,,,,,,,30443744550.0,,,,,,,,,,,,,
341798400,,58619449249.0,,,,,211546190000.0,,189778087049.0,,-100780604916.0,,,,567599582389.0,,,,,,,,,,,,,,,,,,,,,46751707990.0,60502210340.0,,284064223932.0,,,,23798946375.0,,,793573222547.0,,,,314907658434.0,,205855597489.0,,,0.0,,,,486492773143.0,114.234943,,,,55319328685.0,,,,,,,,,129.043176,,,,,,,,,0.0,,,60502210340.0,478665564113.0,162615556253.0,,60502210340.0,,,,,,,0.0,,,,,,286962406735.0,,,,2305853471.0,8292610648.0,,,227539081964.0,,,446679780185.0,,,773455179878.0,,,,,209896129718.0,,,,,,,,529629630.0,,,,,,,27691396271.0,144591820865.0,,,,147236148240.0,,,,,0.0,39812992958.0,,,,,468852459.0,,,0.0,,,125129571385.0,,103361468434.0,,,,,,,,248016753156.0,144591820865.0,,,,,,,,107253918330.0,,,,,,,29214528839.0,,,,,,,,,,,,,
373334400,,85762971910.0,,,,,266206023860.0,,233618895720.0,,-138168489585.0,,,,846915183415.0,,,,,,,,,,,,,,,,,,,,,70029645000.0,67251802415.0,,439669454525.0,,,,31093162380.0,,,1065921226545.0,,,,409556707175.0,,311958725260.0,,,0.0,,,,730806032005.0,88.704217,,,,84128946860.0,,,,,,,,,135.390647,,,,,,,,,0.0,,,67251802415.0,656364519370.0,224935219740.0,,67251802415.0,,,,,,,0.0,,,,,,428067876670.0,,,,9454002075.0,20612058845.0,,,318144677235.0,,,664604674265.0,,,1158873908675.0,,,,,324120540275.0,,,,,,,,758157895.0,,,,,,,25023926480.0,196059662785.0,,,,226195753350.0,,,,,0.0,66201357740.0,,,,,496724138.0,,,0.0,,,175937811455.0,,143350683315.0,,,,,,,,364364242935.0,196059662785.0,,,,,,,,137281447415.0,,,,,,,36135296820.0,,,,,,,,,,,,,
404870400,,95964497840.0,,,,,314158921108.0,,265455551684.0,,-181500483776.0,,,,862210504148.0,,,,,,,,,,,,,,,,,,,,,46318124680.0,46262653872.0,,353570930192.0,,,,42241020292.0,,,1136985151576.0,,,,424795447664.0,,390015251048.0,,,0.0,,,,773096651096.0,91.526833,,,,84343363564.0,,,,,,,,,91.526833,,,,,,,,,0.0,,,46262653872.0,712189703912.0,311524057728.0,,46262653872.0,,,,,,,0.0,,,,,,479129104100.0,,,,10983219984.0,57384550876.0,,,360809870636.0,,,665094987920.0,,,1252225755196.0,,,,,363833029672.0,,,,,,,,505454545.0,,,,,,,24185272288.0,179142974436.0,,,,294050753208.0,,,,,0.0,108001663176.0,,,,,505454545.0,,,0.0,,,159339895980.0,,110636526556.0,,,,,,,,475551236984.0,179142974436.0,,,,,,,,92580778552.0,,,,,,,39633892316.0,,,,,,,,,,,,,
428457600,,,,,,,,,,,,,,,,279318417123.0,,,,,,,,,,,,14.481211,,,,,,,,,,,,,279318417123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279318417123.0,621788000.0,,,,,,,,,,,,,,,,,,,,,7409552757.0,,,,,,,,,,,14.481211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621788000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436406400,489234356707.0,108357683535.0,,,,,317708936190.0,,263471649070.0,,-215055519059.0,,,,847668014519.0,-773829767816.0,,,,,,,,,84956164394.0,,,,,,,,,,,29573348365.0,29783751634.0,,380245463365.0,478129739732.0,-773829767816.0,,32308590862.0,,,1123787237870.0,,,,381858555094.0,,382536521183.0,,,0.0,847668014519.0,607948556705.0,,752074795970.0,58.445353,,,,84956164394.0,,,144126239265.0,,376551717087.0,274178837648.0,,,58.445353,,285807851150.0,,,,,,,0.0,,-215055519059.0,29783751634.0,741928682776.0,227703093340.0,,29783751634.0,,,,,,,0.0,7579228714.0,,,39532436431.0,380245463365.0,478129739732.0,,,,7036820441.0,97556982393.0,,,376551717087.0,,,607948556705.0,,,1230204535702.0,,,,,265669194324.0,97556982393.0,,,,7036820441.0,,,509600000.0,,,,,265669194324.0,,27492693816.0,255780240681.0,,,,274178837648.0,,,,,0.0,144126239265.0,,,,,509600000.0,255780240681.0,,0.0,,255780240681.0,118386906024.0,,64149618904.0,,,382536521183.0,,,,227703093340.0,489234356707.0,255780240681.0,,,,,108357683535.0,752074795970.0,,59357099999.0,,,,1230204535702.0,,,39532436431.0,,,,,,,,,,,,,
444355200,,,,,,,,,,,,,,,,312451604004.0,,,,,,,,,,,,35.193918,,,,,,,,,,,,,312451604004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312451604004.0,621788000.0,,,,,,,,,,,,,,,,,,,,,17268482432.0,,,,,,,,,,,32.847657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621788000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452131200,,,,,,,,,,,,,,,,302270252181.0,,,,,,,,,,,,36.251586,,,,,,,,,,,,,302270252181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302270252181.0,621788000.0,,,,,,,,,,,,,,,,,,,,,17717962462.0,,,,,,,,,,,33.985862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621788000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460080000,,,,,,,,,,,,,,,,314384557626.0,,,,,,,,,,,,39.255134,,,,,,,,,,,,,314384557626.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314384557626.0,621788000.0,,,,,,,,,,,,,,,,,,,,,19259550315.0,,,,,,,,,,,36.801689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621788000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
