,annualAccountsPayable,trailingFreeCashFlow,trailingOperatingIncome,quarterlyCurrentLiabilities,quarterlyOtherNonCashItems,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyCurrentAssets,quarterlyDepreciationAndAmortization,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCommonStockIssuance,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualEndCashPosition,annualTaxProvision,annualTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,trailingTotalRevenue,annualOtherCurrentAssets,trailingCostOfRevenue,quarterlyRetainedEarnings,annualOperatingIncome,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,quarterlyTotalRevenue,annualNetIncomeContinuousOperations,quarterlyBasicAverageShares,quarterlyOperatingIncome,trailingEndCashPosition,trailingPretaxIncome,quarterlyPurchaseOfInvestment,trailingTaxProvision,annualCurrentDebt,quarterlyTotalLiabilitiesNetMinorityInterest,annualCurrentDeferredRevenue,quarterlyNetIncomeCommonStockholders,annualInvestmentsAndAdvances,annualPretaxIncome,annualFreeCashFlow,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,annualCashDividendsPaid,annualCostOfRevenue,annualNetIncome,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,trailingSaleOfInvestment,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualRepurchaseOfCapitalStock,annualTotalAssets,annualOtherNonCashItems,annualCurrentAssets,annualStockholdersEquity,quarterlyOtherCurrentAssets,annualLongTermDebt,quarterlyCurrentAccruedExpenses,annualCurrentLiabilities,annualDepreciationAndAmortization,trailingNetIncomeCommonStockholders,quarterlyAccountsReceivable,trailingNetOtherInvestingChanges,quarterlyCostOfRevenue,quarterlyStockholdersEquity,annualRetainedEarnings,quarterlyNetOtherInvestingChanges,annualCurrentAccruedExpenses,quarterlyGoodwill,annualNetIncomeCommonStockholders,quarterlyInvestmentsAndAdvances,annualBasicAverageShares,annualSaleOfInvestment,quarterlyLongTermDebt,quarterlyInvestingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,trailingOperatingCashFlow,quarterlyOtherIncomeExpense,annualCommonStockIssuance,annualAccountsReceivable,quarterlyEndCashPosition,trailingRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyDilutedEPS,quarterlyInventory,quarterlyChangeInInventory,annualOtherIncomeExpense,quarterlyCurrentDeferredRevenue,annualOperatingCashFlow,annualTotalNonCurrentAssets,quarterlyCashAndCashEquivalents,trailingGrossProfit,annualNetPPE,annualBasicEPS,quarterlyCashCashEquivalentsAndMarketableSecurities,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualGrossProfit,quarterlyDilutedAverageShares,trailingRepaymentOfDebt,quarterlyCapitalStock,quarterlyRepaymentOfDebt,annualCashFlowFromContinuingFinancingActivities,quarterlyBeginningCashPosition,annualEbitda,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyTaxProvision,annualGrossPPE,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,quarterlyInterestExpense,trailingDepreciationAndAmortization,annualChangeInInventory,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,trailingCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,annualIncomeTaxPayable,quarterlyOtherIntangibleAssets,annualPurchaseOfBusiness,trailingOtherNonCashItems,annualBeginningCashPosition,quarterlyNetOtherFinancingCharges,trailingOtherIncomeExpense,annualOtherNonCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyBasicEPS,quarterlySaleOfInvestment,trailingInvestingCashFlow,trailingDeferredIncomeTax,annualCapitalExpenditure,quarterlyGrossPPE,trailingSellingGeneralAndAdministration,trailingCapitalExpenditure,annualOperatingExpense,quarterlyChangeInCashSupplementalAsReported,annualAccumulatedDepreciation,annualDeferredIncomeTax,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,annualInvestingCashFlow,quarterlyChangeInWorkingCapital,trailingInterestExpense,quarterlyDeferredIncomeTax,trailingPurchaseOfBusiness,trailingBeginningCashPosition,annualNonCurrentDeferredTaxesLiabilities,trailingNetIncome,annualDilutedAverageShares,trailingNetIncomeContinuousOperations,quarterlyOtherCurrentLiabilities,annualChangesInAccountReceivables,trailingOperatingExpense,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingChangeInInventory,annualDilutedEPS,trailingStockBasedCompensation,quarterlyStockBasedCompensation,annualNetOtherFinancingCharges,quarterlyCommonStockIssuance,annualChangeInCashSupplementalAsReported,annualInventory,trailingNetOtherFinancingCharges,quarterlyEbitda,annualOtherCurrentLiabilities,trailingChangeInWorkingCapital,annualInterestExpense,annualGoodwill,annualRepaymentOfDebt,trailingChangesInAccountReceivables,annualStockBasedCompensation,annualTotalRevenue,annualCapitalStock,trailingChangeInAccountPayable,trailingCashDividendsPaid,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,trailingResearchAndDevelopment,quarterlyChangeInAccountPayable,annualChangeInAccountPayable,trailingDilutedEPS,trailingPurchaseOfInvestment,annualResearchAndDevelopment,quarterlyOtherShortTermInvestments,trailingDilutedAverageShares,annualPurchaseOfInvestment,quarterlyNonCurrentDeferredRevenue,annualOtherShortTermInvestments,trailingBasicEPS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765072000,,,,42800000.0,,,,38900000.0,4800000.0,,,5600000.0,160600000.0,,,,,,,,1100000.0,,,,79400000.0,,15015000.0,5300000.0,,,,,,203400000.0,,1100000.0,,,,1600000.0,231600000.0,192700000.0,,,,,,,20100000.0,1100000.0,1100000.0,,,,,,8600000.0,,,,,,19600000.0,,63700000.0,28200000.0,,-200000.0,,,,,,,117300000.0,-3200000.0,23200000.0,,-100000.0,,,1700000.0,,15700000.0,10400000.0,0.08,9000000.0,-5500000.0,,,,,1700000.0,,,,1700000.0,,,,15015000.0,,,,,5300000.0,,144300000.0,,1600000.0,500000.0,,,,3600000.0,,,11300000.0,-3000000.0,-5000000.0,,4300000.0,-3800000.0,,44100000.0,,,,0.0,,,,0.08,,,,,148100000.0,,,,-3600000.0,,,4600000.0,,,-3100000.0,,500000.0,,,,,,,21000000.0,,,10500000.0,,,,,,,,,,,10100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
772934400,,,,50500000.0,,,,44300000.0,4800000.0,,,6000000.0,155200000.0,,,,,,,,2700000.0,,,,84900000.0,,15000000.0,5700000.0,,,,,,205700000.0,,1500000.0,,,,8300000.0,235400000.0,191100000.0,,,,,,,19300000.0,1500000.0,1500000.0,,,,,,10000000.0,,,,,,,,68400000.0,29700000.0,,-200000.0,,,,,,,112900000.0,-5200000.0,23000000.0,,200000.0,,,0.0,,16500000.0,10800000.0,0.1,7500000.0,700000.0,,,,,5600000.0,,,,5600000.0,,,,15000000.0,,,,,1700000.0,,144000000.0,,2200000.0,700000.0,,,,3800000.0,,,11400000.0,-5200000.0,-4400000.0,,2700000.0,-7700000.0,,44400000.0,,,,0.0,,,,0.1,,,,,151700000.0,,,,3900000.0,,,13500000.0,,,5800000.0,,700000.0,,,,,,,28000000.0,,,11100000.0,,,,,,,,,,,10500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
780883200,,,,48000000.0,0.0,,,47500000.0,5100000.0,,,6200000.0,156700000.0,,,,,,,,5400000.0,,,,88700000.0,,15555556.0,7800000.0,,,,,,204700000.0,,2800000.0,,,,-2700000.0,237200000.0,189700000.0,,,,,,,18600000.0,2800000.0,2800000.0,,,,,,8600000.0,,,,,,,,69600000.0,32500000.0,,-100000.0,,,,,,,113600000.0,-3900000.0,24500000.0,,-100000.0,,,0.0,,19100000.0,11300000.0,0.18,10200000.0,-1200000.0,,,,,3700000.0,,,,3700000.0,,,,15555556.0,,,,,0.0,,143100000.0,,4000000.0,1200000.0,,,,3800000.0,,,11400000.0,-4000000.0,700000.0,,2700000.0,-11800000.0,,43900000.0,,,,0.0,,,,0.18,,,,,154900000.0,,,,-1900000.0,,,1300000.0,,,-7800000.0,,1200000.0,,,,,,,24700000.0,,,11900000.0,,,,,,,,,,,12900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
788832000,19600000.0,,,57100000.0,,,,54100000.0,5200000.0,148900000.0,,7900000.0,148900000.0,0.0,3400000.0,206000000.0,0.0,,8500000.0,,7400000.0,25800000.0,-1800000.0,5100000.0,101200000.0,7400000.0,,6900000.0,,,,,11600000.0,206000000.0,,2000000.0,,10800000.0,14800000.0,7600000.0,245500000.0,191400000.0,,282900000.0,7400000.0,2900000.0,25700000.0,,17900000.0,2000000.0,2000000.0,,245500000.0,,54100000.0,39500000.0,8500000.0,109100000.0,,57100000.0,19900000.0,,,,81200000.0,39500000.0,7400000.0,-1300000.0,,,7400000.0,,15102041.0,,109100000.0,-6500000.0,21900000.0,,100000.0,,,0.0,,20000000.0,13100000.0,,13700000.0,-1800000.0,100000.0,,32600000.0,191400000.0,5100000.0,,145700000.0,0.49,5100000.0,5100000.0,42800000.0,71400000.0,,,,,-14000000.0,0.0,45700000.0,145700000.0,,3000000.0,1000000.0,161600000.0,,,4000000.0,,-7800000.0,11600000.0,-5600000.0,-5300000.0,,2900000.0,-15900000.0,,42800000.0,,,5300000.0,0.0,,17900000.0,,,,,,-17800000.0,161600000.0,,,45600000.0,1400000.0,-15900000.0,1300000.0,13200000.0,,-18800000.0,5100000.0,,-1100000.0,,,21900000.0,,15102041.0,,25900000.0,,,19600000.0,,,0.49,,,0.0,,-200000.0,13700000.0,,12100000.0,25900000.0,,15200000.0,,,,,354300000.0,,,,,,,,,,,,,,,,,,
796608000,,,,53800000.0,-100000.0,,,51500000.0,5300000.0,,,6000000.0,144400000.0,,,,,,,,12400000.0,,,,106600000.0,,14705882.0,11900000.0,,,,,,198200000.0,,5000000.0,,,,1000000.0,242700000.0,191200000.0,,,,,,,17500000.0,5000000.0,5000000.0,,,,,,8700000.0,,,,,,,,83400000.0,44500000.0,,0.0,,,,,,,104100000.0,-4800000.0,22800000.0,,-100000.0,,,0.0,,23200000.0,11300000.0,0.34,11700000.0,-1000000.0,,,,,3400000.0,,,,3400000.0,,,,14705882.0,,,,,5100000.0,,146100000.0,,8400000.0,3400000.0,,,,3400000.0,,,13900000.0,-5000000.0,-2800000.0,,3200000.0,-20100000.0,,41900000.0,,,,-100000.0,,,,0.34,,,,,166200000.0,,,,-1600000.0,,,6000000.0,,,-4400000.0,,900000.0,,,,,,,25300000.0,,,14600000.0,,,,,,,,,,,17200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
804470400,,,,54800000.0,200000.0,,,59500000.0,5600000.0,,,6500000.0,152500000.0,,,,,,,,16800000.0,,,,105700000.0,,15714286.0,10100000.0,,,,,,207300000.0,,4400000.0,,,,8000000.0,257000000.0,197500000.0,,,,,,,19000000.0,4400000.0,4400000.0,,,,,,11900000.0,,,,,,,,83600000.0,49700000.0,,-4000000.0,,,,,,,110000000.0,-11400000.0,23500000.0,,-100000.0,,,0.0,,22100000.0,12000000.0,0.28,10200000.0,2400000.0,,,,,10300000.0,,,,10300000.0,,,,15714286.0,,,,,0.0,,148900000.0,,6700000.0,2300000.0,,,,3300000.0,,,10000000.0,-7500000.0,2700000.0,,3700000.0,-24700000.0,,44900000.0,,,,800000.0,,,,0.28,,,,,173600000.0,,,,6900000.0,,,15500000.0,,,4600000.0,,700000.0,,,,,,,29200000.0,,,15600000.0,,,,,,,,,,,15700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
812419200,,,,43900000.0,4800000.0,,,53300000.0,5700000.0,,,6500000.0,160700000.0,,,,,,,,18900000.0,,,,95500000.0,,16153846.0,6400000.0,,,,,,204600000.0,,2100000.0,,,,-2800000.0,256400000.0,203100000.0,,,,,,,22700000.0,2100000.0,2100000.0,,,,,,9400000.0,,,,,,,,76900000.0,51800000.0,,0.0,,,,,,,114100000.0,-6800000.0,23900000.0,,0.0,,,0.0,,18600000.0,12200000.0,0.13,12200000.0,-1100000.0,,,,,7600000.0,,,,7600000.0,,,,16153846.0,,,,,0.0,,155200000.0,,3200000.0,1100000.0,,,,3200000.0,,,10100000.0,-6900000.0,0.0,,4000000.0,-15900000.0,,43900000.0,,,,,,,,0.13,,,,,171100000.0,,,,-2800000.0,,,4100000.0,,,-8900000.0,,300000.0,,,,,,,20000000.0,,,13800000.0,,,,,,,100000.0,,,,12100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
820368000,17400000.0,,,51200000.0,-10100000.0,,,64100000.0,6000000.0,160100000.0,,7600000.0,160100000.0,0.0,8700000.0,211300000.0,-4100000.0,,10700000.0,,21700000.0,36100000.0,-4200000.0,11600000.0,113900000.0,14400000.0,,7900000.0,,,,,9100000.0,211300000.0,,2900000.0,,23100000.0,9600000.0,3400000.0,266100000.0,202000000.0,,336200000.0,14400000.0,4000000.0,26700000.0,,15300000.0,2900000.0,2900000.0,,266100000.0,-5200000.0,64100000.0,54800000.0,10700000.0,117100000.0,,51200000.0,22600000.0,,,,92400000.0,54800000.0,21700000.0,-200000.0,,,14400000.0,,15157895.0,,117100000.0,-5000000.0,27700000.0,,400000.0,800000.0,,0.0,,21500000.0,13600000.0,,11600000.0,1900000.0,300000.0,,34200000.0,202000000.0,11600000.0,,155100000.0,0.95,11600000.0,11600000.0,42900000.0,85400000.0,,,,,400000.0,0.0,58700000.0,155100000.0,,4900000.0,2000000.0,189300000.0,,,3500000.0,,2200000.0,9100000.0,-5200000.0,500000.0,,4000000.0,-34200000.0,,42900000.0,,,5100000.0,-700000.0,,15300000.0,,,,,,-24600000.0,189300000.0,,,49300000.0,4100000.0,-34200000.0,6300000.0,8600000.0,,-28000000.0,4600000.0,,4400000.0,,,27700000.0,,16000000.0,,24700000.0,,,17400000.0,,,0.9,,,-800000.0,0.0,6600000.0,11600000.0,,13900000.0,24700000.0,,13300000.0,,,,,421600000.0,,,,,,,,,,,,,,,,,,
828230400,,,,45700000.0,2500000.0,,,52100000.0,6100000.0,,,7200000.0,148300000.0,,,,,,,,25700000.0,,,,109700000.0,,15000000.0,8900000.0,,,,,,194000000.0,,3900000.0,,,,5900000.0,252800000.0,200700000.0,,,,,,,14800000.0,3900000.0,3900000.0,,,,,,6200000.0,,,,,,,,87500000.0,58800000.0,,0.0,,,,,,,106000000.0,-5100000.0,27500000.0,,400000.0,,,0.0,,22200000.0,13300000.0,0.24,10800000.0,1400000.0,,,,,5800000.0,,,,5800000.0,,,,16250000.0,,,,,11600000.0,,155000000.0,,6300000.0,2400000.0,,,,3000000.0,,,8000000.0,-5200000.0,-11800000.0,,3800000.0,-39300000.0,,41900000.0,,,,0.0,,,,0.26,,,,,194300000.0,,,,-5800000.0,,,11100000.0,,,-2100000.0,,700000.0,,,,,,,19900000.0,,,17800000.0,,,,,,,,,,,15000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
