,quarterlyCurrentDebt,annualDepreciationAndAmortization,annualOtherNonCashItems,annualDilutedAverageShares,annualCurrentLiabilities,annualChangeInInventory,quarterlyOtherNonCurrentAssets,quarterlyInterestExpense,annualInventory,annualSaleOfInvestment,quarterlyInvestmentsAndAdvances,annualPurchaseOfBusiness,quarterlyInventory,quarterlyNetOtherFinancingCharges,annualOperatingCashFlow,quarterlyDilutedEPS,annualDilutedEPS,quarterlyOtherCurrentLiabilities,annualNetPPE,annualOtherIntangibleAssets,quarterlyAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,annualGrossProfit,quarterlyOperatingCashFlow,annualNonCurrentDeferredTaxesLiabilities,quarterlyTaxProvision,trailingPretaxIncome,trailingNetIncome,annualCashCashEquivalentsAndMarketableSecurities,quarterlyNetPPE,quarterlyPretaxIncome,annualBasicEPS,quarterlyFreeCashFlow,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,trailingChangeInCashSupplementalAsReported,annualChangeInCashSupplementalAsReported,annualRepaymentOfDebt,annualGrossPPE,annualOtherCurrentLiabilities,annualNetOtherInvestingChanges,quarterlyTotalAssets,annualGoodwill,quarterlyOtherIntangibleAssets,annualPretaxIncome,annualInterestExpense,quarterlyTotalNonCurrentAssets,annualOtherNonCurrentLiabilities,trailingOperatingIncome,annualTotalRevenue,quarterlyCashAndCashEquivalents,annualCapitalStock,annualAccountsPayable,trailingInvestingCashFlow,annualPurchaseOfInvestment,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingGrossProfit,annualInvestingCashFlow,annualCapitalExpenditure,annualEndCashPosition,annualCashFlowFromContinuingFinancingActivities,quarterlyCapitalStock,quarterlyBeginningCashPosition,annualOtherIncomeExpense,annualOperatingIncome,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDilutedAverageShares,trailingTotalRevenue,quarterlyAccountsPayable,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyBasicEPS,quarterlyEbitda,trailingTaxProvision,quarterlyGrossProfit,trailingEndCashPosition,quarterlyInvestingCashFlow,annualInvestmentsAndAdvances,quarterlyNetIncomeCommonStockholders,annualOperatingExpense,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyEndCashPosition,annualNetOtherFinancingCharges,annualCurrentDebt,quarterlyBasicAverageShares,annualCostOfRevenue,trailingSellingGeneralAndAdministration,annualGainsLossesNotAffectingRetainedEarnings,trailingFreeCashFlow,quarterlyGrossPPE,annualOtherNonCurrentAssets,annualAccumulatedDepreciation,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,annualChangesInAccountReceivables,quarterlyCurrentLiabilities,trailingOperatingExpense,trailingBeginningCashPosition,annualCurrentAssets,trailingNetIncomeContinuousOperations,trailingCostOfRevenue,quarterlyRetainedEarnings,trailingNetIncomeCommonStockholders,annualEbitda,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyStockholdersEquity,annualNetIncomeCommonStockholders,annualRetainedEarnings,annualOtherShortTermInvestments,annualCommonStockIssuance,annualFreeCashFlow,quarterlyLongTermDebt,annualCashDividendsPaid,annualBeginningCashPosition,annualNetIncome,annualBasicAverageShares,quarterlyOperatingExpense,trailingOperatingCashFlow,annualAccountsReceivable,annualOtherCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetIncome,annualTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,annualSellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,annualTaxProvision,annualTotalAssets,annualStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,annualLongTermDebt,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,trailingPurchaseOfInvestment,trailingSaleOfInvestment,trailingNetOtherFinancingCharges,trailingCapitalExpenditure,quarterlyStockBasedCompensation,annualResearchAndDevelopment,trailingBasicEPS,trailingChangeInInventory,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,trailingChangeInAccountPayable,trailingRepurchaseOfCapitalStock,trailingCashDividendsPaid,trailingNetOtherInvestingChanges,quarterlyResearchAndDevelopment,trailingChangesInAccountReceivables,trailingDilutedAverageShares,trailingCashFlowFromContinuingFinancingActivities,trailingCommonStockIssuance,quarterlyIncomeTaxPayable,annualStockBasedCompensation,trailingDepreciationAndAmortization,quarterlyDeferredIncomeTax,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,trailingOtherIncomeExpense,quarterlyCashFlowFromContinuingFinancingActivities,annualNonCurrentDeferredRevenue,annualCurrentAccruedExpenses,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlyChangeInInventory,trailingDeferredIncomeTax,annualIncomeTaxPayable,quarterlyCashDividendsPaid,trailingBasicAverageShares,trailingOtherNonCashItems,annualDeferredIncomeTax,trailingPurchaseOfBusiness,quarterlyChangesInAccountReceivables,trailingDilutedEPS,trailingResearchAndDevelopment,annualRepurchaseOfCapitalStock,trailingChangeInWorkingCapital,quarterlySaleOfInvestment,trailingStockBasedCompensation,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,trailingRepaymentOfDebt,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,trailingInterestExpense,annualCurrentDeferredRevenue
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883526400,,,426719000.0,3990601399.0,900218000.0,,,,,,,,,,426719000.0,,0.0715,,,,,,,,3042000.0,,,,,,,0.0715,,,,,741704000.0,,,900218000.0,-3345924000.0,,,,354399000.0,,,667714000.0,,376785000.0,,,,,,,,-3354314000.0,-8390000.0,,,,,,376785000.0,,,,,,301314000.0,,,,,,,,,,,,,,-640839000.0,,,,,,,,7474573000.0,,,1698377000.0,2598595000.0,,,,,,3980655000.0,,,,,376785000.0,,,,,285328000.0,,,3655382000.0,418329000.0,,-6145000.0,,285328000.0,3990601399.0,,,,3980655000.0,,,7485722000.0,,,,,,53085000.0,11466377000.0,8200068000.0,,,1695335000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915062400,,,434897000.0,4343382187.0,1856797000.0,,,,,,,,,,434897000.0,,0.0887,,,249445000.0,,,,,2282000.0,,,,,,,0.0887,,,,,-562574000.0,,,1856797000.0,0.0,,,,524591000.0,,,-125000000.0,,623614000.0,,,,,,,,-1449596000.0,-1449596000.0,,,,,,623614000.0,,,,,,454172000.0,,,,,,,,,,,,,,-290995000.0,,,,,,,,9878266000.0,,,1748865000.0,3605662000.0,,,,,,2623052000.0,,,,,623614000.0,,,,,385258000.0,,,0.0,-1014699000.0,,-80548000.0,,385258000.0,4343382187.0,,,,2623052000.0,,,10348429000.0,,,,,,70419000.0,12971481000.0,8120037000.0,,,1871583000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946598400,,,904195000.0,4344778130.0,1985598000.0,,,,1049000.0,,,,,,904195000.0,,0.1262,,,240745000.0,,,752081000.0,,3346000.0,,,,2034115000.0,,,0.1262,,,,,666549000.0,,,751193000.0,0.0,,,,706552000.0,,,1449432000.0,,1050498000.0,,,,,,,,-1135201000.0,-1135201000.0,,,,,,749707000.0,,,,,950721000.0,634742000.0,,,,,,,,,,,2374000.0,,,1110892000.0,1106425000.0,,298417000.0,,,,,10853309000.0,,,2056818000.0,4042416000.0,,,,,,2727984000.0,,,,,749707000.0,,,,,548311000.0,,1083394000.0,,-231006000.0,,-213337000.0,,548311000.0,4344778130.0,,,,688071000.0,,,11197704000.0,,60320000.0,,,,71810000.0,13925688000.0,8433840000.0,,,2053472000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978220800,,,761741000.0,4344269126.0,2773923000.0,,,,718000.0,,,,,,761741000.0,,0.1464,,,232045000.0,,,940175000.0,,,,,,2092299000.0,,,0.1464,,,,,372792000.0,,,822081000.0,0.0,,,,879752000.0,,,1495364000.0,,1188604000.0,,,,,,,,-558120000.0,-558120000.0,,,,,,864858000.0,,,,,1714334000.0,693361000.0,,,,,,,,,,,75317000.0,,,463082000.0,1831817000.0,,248429000.0,,,,,11688256000.0,,,1659016000.0,4432939000.0,,,,,,2408810000.0,,,,,864858000.0,,,,,636001000.0,,377965000.0,,203621000.0,,-293911000.0,,636001000.0,4344269126.0,,,,296591000.0,,,12177610000.0,,64978000.0,,,,186391000.0,14586420000.0,8658117000.0,,,1415915000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009756800,,,750748000.0,4343877784.0,2137370000.0,,,,1274000.0,,,,,,750748000.0,,0.1751,,,,,,1329982000.0,,,,,,1831212000.0,,,0.1751,,,,,-583587000.0,,,398144000.0,0.0,,19810000.0,,1235540000.0,,,1502629000.0,,1722517000.0,,,,,,,,-885569000.0,-885569000.0,,,,,,1311746000.0,,,,,819026000.0,871570000.0,,,,,,,,,,,18236000.0,,,-417589000.0,1620778000.0,,392535000.0,,,,,12263387000.0,,,1548458000.0,3685828000.0,,,,,,1950483000.0,,,,,1311746000.0,,,,,760613000.0,,1012186000.0,,-134821000.0,,-31177000.0,,760613000.0,4343877784.0,,,,63778000.0,,,12527055000.0,,88487000.0,,,,363970000.0,14477538000.0,9289081000.0,,,1216925000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041292800,,,1536309000.0,4343668293.0,2428687000.0,,,,2022000.0,,,,,,1536309000.0,,0.205,,12014986000.0,,,,1606160000.0,,240920000.0,,,,1807184000.0,,,0.205,,,,,-73635000.0,,,200000000.0,-1073817000.0,,106798000.0,,1394471000.0,,,977789000.0,,2168078000.0,,,207166000.0,,,,,-1100750000.0,-29574000.0,666291000.0,,,,,1573051000.0,,,,,949070000.0,1096586000.0,,,,,,,,,,,33109000.0,,,3592619000.0,,,561918000.0,,,,,214645000.0,,,1397567000.0,3826254000.0,,,,,,1952245000.0,,,,,1573051000.0,,,,,890452000.0,,858114000.0,,1506735000.0,,-40643000.0,739926000.0,993519000.0,4343668293.0,,,14367000.0,0.0,,,12553589000.0,,95209000.0,,,,400952000.0,14505834000.0,9701791000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072828800,,,1670344000.0,4342625915.0,1840412000.0,,,,3056000.0,,,,,,1670344000.0,,0.2323,,12537616000.0,,,,1740354000.0,,325703000.0,,,,1923061000.0,,,0.2323,,,,,-99096000.0,-3805792000.0,,0.0,-873562000.0,,97717000.0,,1593189000.0,,,1000000000.0,,2471805000.0,,,367521000.0,,,,,-910413000.0,-37537000.0,567195000.0,,,,,1686111000.0,,,,,818795000.0,1183254000.0,,,,,,,,,,,54243000.0,,,2984866000.0,,,731451000.0,,,,,205945000.0,,,2069879000.0,3910291000.0,,,,,,1999357000.0,,,,,1686111000.0,,,,,1008792000.0,,1104266000.0,,1632807000.0,,-38101000.0,666291000.0,1096023000.0,4342625915.0,,,,0.0,,,13069330000.0,,114629000.0,,,,497166000.0,15068687000.0,10145979000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104451200,,,1497788000.0,4343369950.0,1608786000.0,,,,6416000.0,,,-12000000.0,,,1497788000.0,,0.2822,,12988659000.0,,,,2286118000.0,,384577000.0,,,,1480186000.0,,,0.2822,,,,,154804000.0,-1246664000.0,,0.0,-282249000.0,,85472000.0,,1910981000.0,,,1000000000.0,,3131993000.0,,,297213000.0,,,,,-363973000.0,-72265000.0,721999000.0,,,,,2042295000.0,,,,,803739000.0,1487215000.0,,,,,,,,,,,243823000.0,,,320003000.0,,,845875000.0,,,,,197245000.0,,,2040147000.0,3648933000.0,,,,,,1894188000.0,,,,,2042295000.0,,,,,1225699000.0,,676447000.0,,1425523000.0,,-52350000.0,567195000.0,1356457000.0,4343369950.0,,,,0.0,,,13567251000.0,,109986000.0,,,,554524000.0,15461439000.0,10720211000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135987200,,,1983251000.0,4343526555.0,2015437000.0,,,,6446000.0,,,-53500000.0,,,1983251000.0,,0.3295,,13422605000.0,,,,2260957000.0,,384153000.0,,,,1441242000.0,,,0.3295,,,,,1514000.0,,,0.0,13169000.0,,85472000.0,,2264662000.0,,,1000000000.0,,3456385000.0,,,402221000.0,,,,,-984848000.0,-945093000.0,723513000.0,,,,,2342503000.0,,,,,829145000.0,1431192000.0,,,,,,,,,,,-81546000.0,,,198824000.0,,,1195428000.0,,,,,575993000.0,,,1932351000.0,3947788000.0,,,,,,1919808000.0,,,,,2342503000.0,,,,,1431192000.0,,612097000.0,,1038158000.0,,-65449000.0,721999000.0,1572296000.0,4343526555.0,,,21744000.0,134138000.0,,,14391848000.0,,62766000.0,,,,692366000.0,16311656000.0,11195918000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167523200,,635272000.0,63890000.0,4343114500.0,4312745000.0,-5809000.0,,,12255000.0,624921000.0,,-213676000.0,,,2413558000.0,,0.3806,,13775621000.0,324572000.0,,,2687110000.0,,456956000.0,,,,4408028000.0,,,0.3806,,-109742000.0,,,780560000.0,-1367031000.0,16165316000.0,409740000.0,234043000.0,,91428000.0,,2742927000.0,71991000.0,,1459148000.0,,4763780000.0,,4343115000.0,2870916000.0,,-7840000.0,,,-9603000.0,-686210000.0,1504073000.0,,,,,2669477000.0,,,,,4178148000.0,1858891000.0,,,,,,,,,,,17633000.0,,,-100879000.0,397141000.0,,2076670000.0,,,,,0.0,-2389695000.0,,1905222000.0,6217967000.0,,,,,,4674301000.0,,,,,3450190000.0,,,,,1652871000.0,1379398000.0,229880000.0,,1727348000.0,,-955485000.0,723513000.0,1652871000.0,4343114500.0,,,54451000.0,0.0,,,14896118000.0,,71022000.0,,,,884036000.0,19570419000.0,11893304000.0,,,1448266000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199059200,,671503000.0,3007016000.0,4343114500.0,10022540000.0,-2303000.0,,,14558000.0,0.0,,-333613000.0,,,3678519000.0,,0.0563,,13906689000.0,333371000.0,,,3941247000.0,,392005000.0,,,,4252761000.0,,,0.0563,,4378437000.0,,,1271485000.0,,,164024000.0,-445830000.0,,86867000.0,,4332533000.0,,,-15865000.0,,7030380000.0,,,736890000.0,,0.0,,,-1315238000.0,-543124000.0,2773811000.0,,,,,3766899000.0,,,,,3035783000.0,2415965000.0,,,,,,,,,,,174348000.0,,,314987000.0,33385000.0,,3089133000.0,,,,,393424000.0,,,1710085000.0,11732625000.0,,,,,,12195845000.0,,,,,4438402000.0,,,,,2415965000.0,,1216978000.0,,3135395000.0,,-1223576000.0,1504073000.0,3140895000.0,4343114500.0,,,82677000.0,7239389000.0,,,15301094000.0,,81089000.0,,,,1191638000.0,27496939000.0,13226353000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230681600,,782094000.0,41819000.0,4343114500.0,7489124000.0,-1745000.0,,,16303000.0,,,0.0,,,2699179000.0,,0.4358,,1031248000.0,13082042000.0,,,3190226000.0,,272262000.0,,,,4296601000.0,,,0.4358,,215745000.0,,,965044000.0,-674208000.0,1653082000.0,0.0,212904000.0,,86867000.0,,2934079000.0,76809000.0,,,,6323470000.0,,4343115000.0,6022569000.0,,-200000000.0,,,-277779000.0,-497840000.0,3736945000.0,,,,,2765063000.0,,,,,4021013000.0,2265151000.0,,,,,,,,,,,425163000.0,,,0.0,380897000.0,,3133244000.0,,,,,0.0,-621834000.0,,1501129000.0,8990253000.0,,,,,,10450197000.0,,,,,3792982000.0,,,,,1892787000.0,2448470000.0,275588000.0,,2201339000.0,,-1343223000.0,2773811000.0,1892787000.0,4343114500.0,,,75999000.0,6060029000.0,,,14837324000.0,,70003000.0,,,,668928000.0,25287521000.0,13683050000.0,,,1228867000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238457600,,,,,,,,15150000.0,,,,,,-63373000.0,,0.0827,,,,,,-640231000.0,,485527000.0,,154547000.0,,,,,610560000.0,,485527000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3736945000.0,,,,4343114500.0,,,,,1296566000.0,629530000.0,0.0827,625710000.0,,602884000.0,,-1062385000.0,,358992000.0,,,3096714000.0,,,4343114500.0,,,,,,,,,,,,,,,,,,,,,,693682000.0,,,,,,,,,,,,,,-26646000.0,,,,,358992000.0,,,,456013000.0,14507000.0,-1062385000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246320000,,,,,,,,20605000.0,,,,,,-1189622000.0,,,,,,,,-351638000.0,,646185000.0,,171557000.0,,,,,689125000.0,,646185000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3096714000.0,,,,,,,,,1472289000.0,689987000.0,,709730000.0,,773325000.0,,191799000.0,,413460000.0,,,2745076000.0,,,,,,,,,,,,,,,,,,,,,,,,,698964000.0,,,,,,,,,,,,,,83338000.0,,,,,413460000.0,,,,517568000.0,15723000.0,191799000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254268800,,,,,,,,17213000.0,,,,,,-960000.0,,,,,,,,1622992000.0,,913307000.0,,207061000.0,,,,,827942000.0,,913307000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2745076000.0,,,,,,,,,1627771000.0,862716000.0,,845155000.0,,849860000.0,,710645000.0,,473348000.0,,,4368068000.0,,,,,,,,,,,,,,,,,,,,,,,,,777911000.0,,,,,,,,,,,,,,-12856000.0,,,,,473348000.0,,,,620881000.0,17924000.0,710645000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
