date,annualCashDividendsPaid,quarterlyLongTermDebt,annualPretaxIncome,annualLongTermDebt,quarterlyOtherCurrentLiabilities,trailingPretaxIncome,annualAccountsReceivable,annualGoodwill,annualNetIncome,trailingCashDividendsPaid,annualTotalAssets,trailingNetIncome,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,trailingNetOtherInvestingChanges,quarterlyOtherShortTermInvestments,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,trailingInvestingCashFlow,annualOtherNonCashItems,trailingChangeInWorkingCapital,quarterlyInvestmentsAndAdvances,quarterlyBasicEPS,annualCommonStockIssuance,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,annualStockholdersEquity,quarterlyNetIncome,quarterlyGoodwill,annualInvestingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyOtherIncomeExpense,quarterlyInventory,annualDepreciationAndAmortization,annualTotalRevenue,annualRetainedEarnings,quarterlyNonCurrentDeferredTaxesLiabilities,trailingTotalRevenue,trailingOperatingCashFlow,trailingOperatingIncome,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,annualCurrentLiabilities,annualOtherIncomeExpense,quarterlyCashDividendsPaid,annualNetPPE,annualOtherShortTermInvestments,annualOperatingIncome,annualOtherIntangibleAssets,trailingEndCashPosition,quarterlyDepreciationAndAmortization,quarterlyCashAndCashEquivalents,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,annualChangeInAccountPayable,trailingCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,annualAccountsPayable,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,annualEbitda,annualOtherNonCurrentLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,annualRepurchaseOfCapitalStock,quarterlyFreeCashFlow,annualInvestmentsAndAdvances,annualBasicEPS,quarterlyOtherIntangibleAssets,annualGainsLossesNotAffectingRetainedEarnings,annualCashCashEquivalentsAndMarketableSecurities,annualCashAndCashEquivalents,quarterlyDilutedAverageShares,annualNetOtherInvestingChanges,quarterlyOtherNonCurrentAssets,annualChangesInAccountReceivables,quarterlyChangeInInventory,annualBeginningCashPosition,annualCurrentAssets,quarterlyOtherCurrentAssets,trailingBeginningCashPosition,annualInterestExpense,quarterlyDilutedEPS,quarterlyChangesInAccountReceivables,annualOtherNonCurrentAssets,annualDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,trailingChangeInCashSupplementalAsReported,annualNetIncomeCommonStockholders,trailingOperatingExpense,trailingCapitalExpenditure,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,annualGrossPPE,annualRepaymentOfDebt,quarterlyCapitalStock,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,quarterlyGrossProfit,quarterlyAccountsPayable,quarterlyChangeInAccountPayable,trailingRepurchaseOfCapitalStock,annualCurrentAccruedExpenses,annualChangeInCashSupplementalAsReported,trailingGrossProfit,quarterlyOperatingExpense,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,annualDilutedAverageShares,quarterlyNetOtherInvestingChanges,annualDilutedEPS,trailingNetIncomeCommonStockholders,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,annualCapitalExpenditure,trailingDeferredIncomeTax,annualCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,annualCapitalStock,annualCostOfRevenue,quarterlyTaxProvision,annualTaxProvision,annualCurrentDebt,quarterlyRepaymentOfDebt,trailingCostOfRevenue,quarterlyEbitda,annualTotalNonCurrentAssets,annualGrossProfit,quarterlyPretaxIncome,annualNetOtherFinancingCharges,quarterlyNetPPE,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,annualOtherCurrentAssets,trailingDepreciationAndAmortization,annualInventory,trailingTaxProvision,annualBasicAverageShares,trailingOtherNonCashItems,annualChangeInWorkingCapital,annualPurchaseOfBusiness,quarterlyOperatingIncome,annualTotalLiabilitiesNetMinorityInterest,trailingNetIncomeContinuousOperations,annualNonCurrentDeferredTaxesLiabilities,quarterlyRetainedEarnings,annualFreeCashFlow,quarterlyPurchaseOfBusiness,trailingPurchaseOfBusiness,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingFreeCashFlow,quarterlyGrossPPE,annualOperatingExpense,quarterlyCurrentAssets,quarterlyCurrentLiabilities,annualChangeInInventory,quarterlyTotalRevenue,annualNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,annualNonCurrentDeferredRevenue,trailingInterestExpense,quarterlyPurchaseOfInvestment,annualSaleOfInvestment,trailingSellingGeneralAndAdministration,trailingDilutedAverageShares,annualResearchAndDevelopment,annualStockBasedCompensation,annualPurchaseOfInvestment,quarterlyStockBasedCompensation,trailingOtherIncomeExpense,trailingBasicEPS,trailingCommonStockIssuance,annualIncomeTaxPayable,trailingChangeInAccountPayable,trailingStockBasedCompensation,quarterlyResearchAndDevelopment,trailingBasicAverageShares,trailingChangeInInventory,trailingResearchAndDevelopment,trailingSaleOfInvestment,quarterlyIncomeTaxPayable,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,quarterlySaleOfInvestment,trailingDilutedEPS,quarterlyNonCurrentDeferredRevenue
1995-12-31,-179097910.0,,885588559.0,3117125046.0,,958000000.0,1375944261.0,,799559956.0,-720000000.0,9987898790.0,3631000000.0,,,,,,4000000.0,,,,14423000000.0,-368243490.0,-313000000.0,,,,,,3935753575.0,,,-273193986.0,,,,477301063.0,7229996333.0,3246277961.0,,5850000000.0,337000000.0,1113000000.0,-317198387.0,373230656.0,,,,2115438210.0,370223689.0,,2194499450.0,,790612395.0,4973450678.0,1148000000.0,,,3936707004.0,657425743.0,,-14578000000.0,,,1263879721.0,,,1267913458.0,462339567.0,,,,,1.47828,,-264173084.0,391272461.0,391272461.0,,-480381371.0,,,,320205354.0,2495709571.0,,966000000.0,275174184.0,,,324239091.0,57059039.0,,,182000000.0,789585625.0,665000000.0,-521000000.0,-1478987899.0,,3673487349.0,,,,-2384000000.0,,,,-9762000000.0,,53025303.0,1778000000.0,,27000000.0,653392006.0,534124704.0,,1.47828,3628000000.0,,,-806527320.0,-369000000.0,,,110084342.0,5962082875.0,,86028603.0,198166483.0,,4072000000.0,,7492189219.0,1267913458.0,,-29042905.0,,,,389292262.0,675000000.0,339200587.0,24000000.0,534124704.0,99000000.0,-10047671.0,,,6052145215.0,162000000.0,357242391.0,,-149101577.0,,-1239000000.0,,,-184000000.0,,477301063.0,,,,,799559956.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-31,,,,,,,,,,,,,,0.0,,1277937174.0,,,,,209004635.0,,,,,-0.097235,,,575764695.0,,-52968440.0,,,-52968440.0,47009490.0,,,,,,,,,,,581990731.0,475980284.0,-55984698.0,,,-47009490.0,,,,,,114985654.0,,,,,,43993232.0,,,,-3016258.0,,,,,7945266.0,,,,,,,575764695.0,,,,,,,,,,-0.097235,,,,,,,,,,,,,,,372986096.0,,48995806.0,,,,,,,114985654.0,,,,0.0,,,,0.0,,,,,,,-10005150.0,,,,,48995806.0,,,-62973590.0,,,,121974546.0,,,,,,,,,-65989848.0,,,,,,,,-8018833.0,,,,,0.0,0.0,,1326932980.0,,128963437.0,,-392996395.0,-121018171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-06-30,,,,,,,,,,,,,,0.0,,1494977638.0,,,,,-385997083.0,,,,,0.161516,,,551088972.0,,90989075.0,,,90989075.0,18989662.0,,,,,,,,,,,195982110.0,-3356983290.0,89009458.0,,,-45959203.0,,,,,,127040888.0,,,,,,51983283.0,,,,-1969444.0,,,,,-3057875613.0,,,,,,,551088972.0,,,,,,,,,,0.161516,,,,,,,,,,,,,,,581990731.0,,262995820.0,,,,,,,126988782.0,,,,-73319.0,,,,0.0,,,,,,,12024342.0,,,,,263047926.0,,,103013417.0,,,,216026772.0,,,,,,,,,136007038.0,,,,,,,,5012748.0,,,,,0.0,0.0,,1757973458.0,,420050420.0,,2547993096.0,-3477926033.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-09-30,,,,,,,,,,,,,,0.0,,1936981271.0,,,,,141957560.0,,,,,0.550116,,,547142318.0,,304002938.0,,,304002938.0,58979067.0,,,,,,,,,,,338009548.0,-81905551.0,300991553.0,,,-52018454.0,,,,,,164951056.0,,,,,,91002571.0,,,,4985702.0,,,,,121983230.0,,,,,,,547142318.0,,,,,,,,,,0.550116,,,,,,,,,,,,,,,195982110.0,,552993022.0,,,,,,,164965112.0,,,,74109308.0,,,,0.0,,,,,,,52001469.0,,,,,552993022.0,,,356004407.0,,,,-238992871.0,,,,,,,,,388027910.0,,,,,,,,74030690.0,,,,,0.0,0.0,,2489974293.0,,244963374.0,,-25066477.0,-122980144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31,-195986866.0,4844728201.0,673914630.0,4844728201.0,809923386.0,,1167967895.0,,580955856.0,,13172272893.0,,10947391463.0,13172272893.0,1167967895.0,1676768399.0,,,,823057279.0,7015917.0,,-53046334.0,,,,326012404.0,6132725283.0,,4646698285.0,238980094.0,,-2822838380.0,238980094.0,43980239.0,329004013.0,553958409.0,7722582999.0,3472820139.0,464939803.0,,,,1781904414.0,344983583.0,344983583.0,140070177.0,235019534.0,2392849325.0,168989420.0,-50999719.0,2439839475.0,,781977381.0,2841882525.0,,146980811.0,374972638.0,6132725283.0,968916454.0,,,89979572.0,374972638.0,1397956950.0,184968989.0,316964611.0,1335935790.0,823057279.0,8525574608.0,,-66945258.0,,1.044785,2841882525.0,-260999635.0,374972638.0,374972638.0,,-7953302.0,5665669463.0,,,373002554.0,2224881430.0,352936884.0,,276979205.0,,,5665669463.0,48011675.0,-260999635.0,,,568989420.0,,,-1667931412.0,,4107770887.0,,441955491.0,338009548.0,,470933954.0,1397956950.0,,,,-28018971.0,,146980811.0,,809923386.0,544599703.0,-81989291.0,1.044785,,,4646698285.0,-3963808829.0,,,,441955491.0,6386647209.0,38974198.0,92958774.0,184968989.0,,,470933954.0,10947391463.0,1335935790.0,277954292.0,-9047793.0,2439839475.0,,-152054781.0,352936884.0,,329004013.0,,544599703.0,,,,323953143.0,8525574608.0,,464939803.0,3472820139.0,-2994892375.0,,,-23012930.0,,,4107770887.0,553958409.0,2224881430.0,2392849325.0,,2147702353.0,580955856.0,174939223.0,-1667931412.0,-348025810.0,-241884481.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-03-31,,,,,,,,,,,,,,0.0,,1495919694.0,,,,,54018921.0,,,,,-0.174997,,,537308952.0,,-87022460.0,,,-87022460.0,20004333.0,,,,,,,,,,,399003394.0,-28020510.0,-94027587.0,,,-55029970.0,,,,,,155990467.0,,,,,,76984184.0,,,,72218.0,,,,,8955009.0,,,,,,,537308952.0,,,,,,,,,,-0.174997,,,,,,,,,,,,,,,344984473.0,,110059941.0,,,,,,,155990467.0,,,,0.0,,,,0.0,,,,,,,-16032354.0,,,,,110059941.0,,,-103054814.0,,,,245973858.0,,,,,,,,,-45930526.0,,,,,,,,-10977107.0,,,,,0.0,0.0,,1605979635.0,,283960425.0,,-200982162.0,-275005416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-06-30,,,,,,,,,,,,,,0.0,,1789973194.0,,,,,-151026818.0,,,,,0.167574,,,519235195.0,,94979352.0,,,94979352.0,2028545.0,,,,,,,,,,,247989567.0,-46963189.0,87010070.0,,,-49947209.0,,,,,,159013518.0,,,,,,78026516.0,,,,-72217.0,,,,,278011593.0,,,,,,,519235195.0,,,,,,,,,,0.167574,,,,,,,,,,,,,,,399003394.0,,347967833.0,,,,,,,159023401.0,,,,0.0,,,,0.0,,,,,,,17967109.0,,,,,347967833.0,,,112946461.0,,,,130031359.0,,,,,,,,,188944432.0,,,,,,,,11991379.0,,,,,0.0,0.0,,2137941027.0,,394008133.0,,-495967776.0,-115996540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-09-30,,,,,,,,,,,,,,0.0,,2084859894.0,,,,,53998701.0,,,,,0.614087,,,556881249.0,,348997176.0,,,348997176.0,-72406.0,,,,,,,,,,,302005648.0,-47020501.0,341973789.0,,,-54026514.0,,,,,,177936425.0,,,,,,67989284.0,,,,72406.0,,,,,87010662.0,,,,,,,556881249.0,,,,,,,,,,0.614087,,,,,,,,,,,,,,,247989567.0,,658026211.0,,,,,,,177974079.0,,,,0.0,,,,0.0,,,,,,,62993266.0,,,,,658026211.0,,,411990442.0,,,,-450945482.0,,,,,,,,,480052132.0,,,,,,,,81963065.0,,,,,0.0,0.0,,2742886105.0,,157959326.0,,-53973239.0,-70948664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31,-235047219.0,4226302903.0,680027982.0,4226302903.0,900034977.0,,1355089192.0,,579013641.0,,13333892970.0,,10653725079.0,13333892970.0,1355089192.0,1769749703.0,,,,721021336.0,222022837.0,,-125988107.0,,,,,5515355019.0,,4946344876.0,222051799.0,,-402028681.0,222051799.0,-8020534.0,281007345.0,667016439.0,8766561735.0,3665267576.0,568030780.0,,,,-600069955.0,524029381.0,524029381.0,-280024481.0,215032109.0,2872193075.0,13990906.0,-76043526.0,2255124169.0,,959076601.0,2928156698.0,,174076029.0,606016090.0,5515355019.0,1191045820.0,,,70028880.0,606016090.0,1682126618.0,290031480.0,-72408.0,1626093040.0,721021336.0,8387548094.0,,134032529.0,,1.001663,2928156698.0,-306051067.0,606016090.0,606016090.0,,-124029381.0,5470444212.0,,,345015740.0,2680167891.0,438055264.0,,293039524.0,,,5470444212.0,60020986.0,-306051067.0,,,549982511.0,,,-1920111927.0,,4175236096.0,,442042672.0,302005648.0,,510170949.0,1682126618.0,,,,179013641.0,,174076029.0,,900034977.0,549069311.0,-124029381.0,1.001663,,,4946344876.0,-683036027.0,,,,442042672.0,7140468695.0,35993705.0,101014341.0,290031480.0,,,510170949.0,10653725079.0,1626093040.0,258045504.0,-1.0,2255124169.0,,-51047842.0,438055264.0,,281007345.0,,549069311.0,,,,336094920.0,8387548094.0,,568030780.0,3665267576.0,508009793.0,,,-22956351.0,,,4175236096.0,667016439.0,2680167891.0,2872193075.0,,2279920652.0,579013641.0,355117936.0,-1920111927.0,150853222.0,-221085407.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-03-31,,,,,,,,,,,,,,0.0,,1098977793.0,,,,,-462953824.0,,,,,-0.170823,,,544339281.0,,-86006345.0,,,-60979908.0,-24955940.0,,,,,,,,,,,60979908.0,-402960874.0,-92985548.0,,,-65985196.0,,,,,,144025379.0,,,,,,79027141.0,,,,1.0,,,,,-837927388.0,,,,,,,544339281.0,,,,,,,,,,-0.170823,,,,,,,,,,,,,,,524004230.0,,147973212.0,,,,,,,144025379.0,,,,0.0,,,,0.0,,,,,,,-14028904.0,,,,,147973212.0,,,-75008812.0,,,,-16989778.0,,,,,,,,,3947833.0,,,,,,,,-6979203.0,,,,,0.0,0.0,,1246951005.0,,-289954177.0,,231018682.0,-547973211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-06-30,,,,,,,,,,,,,,0.0,,1168979592.0,,,,,1271933416.0,,,,,2.427668,,,593526054.0,,1447891156.0,,,78979592.0,1368911565.0,,,,,,,,,,,1332925170.0,1704933663.0,1440884354.0,,,-65987593.0,,,,,,150940607.0,,,,,,67006803.0,,,,-1.0,,,,,-207038599.0,,,,,,,593526054.0,,,,,,,,,,2.427668,,,,,,,,,,,,,,,60979908.0,,315986394.0,,,,,,,151020408.0,,,,-693945578.0,,,,0.0,,,,,,,18979592.0,,,,,315986394.0,,,97959184.0,,,,-151037433.0,,,,,,,,,164965986.0,,,,,,,,32965598.0,,,,,0.0,0.0,,1484965986.0,,152947374.0,,-579998274.0,-359985973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
