,annualCurrentAccruedExpenses,trailingTaxProvision,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,annualBasicEPS,annualCurrentDebt,trailingEndCashPosition,trailingOperatingIncome,annualNetOtherFinancingCharges,annualInvestmentsAndAdvances,annualDeferredIncomeTax,trailingOperatingExpense,trailingFreeCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualAccumulatedDepreciation,quarterlyRetainedEarnings,annualCostOfRevenue,annualCurrentAssets,annualOtherNonCurrentAssets,annualCurrentDeferredRevenue,trailingSellingGeneralAndAdministration,quarterlyTotalLiabilitiesNetMinorityInterest,annualOperatingExpense,annualGainsLossesNotAffectingRetainedEarnings,trailingBeginningCashPosition,quarterlyNonCurrentDeferredRevenue,trailingNetIncomeContinuousOperations,trailingCostOfRevenue,annualRepurchaseOfCapitalStock,annualChangesInAccountReceivables,annualTotalLiabilitiesNetMinorityInterest,annualBasicAverageShares,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,annualGrossPPE,quarterlyTotalNonCurrentAssets,annualChangeInCashSupplementalAsReported,annualNetOtherInvestingChanges,annualOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,annualRepaymentOfDebt,annualChangeInWorkingCapital,trailingChangeInCashSupplementalAsReported,trailingChangeInWorkingCapital,annualInterestExpense,annualOtherNonCurrentLiabilities,annualDilutedEPS,annualGoodwill,annualDilutedAverageShares,quarterlyTotalAssets,annualPretaxIncome,annualCapitalExpenditure,annualOperatingIncome,annualOtherIncomeExpense,annualAccountsPayable,trailingInvestingCashFlow,annualInvestingCashFlow,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashCashEquivalentsAndMarketableSecurities,annualCapitalStock,annualTotalRevenue,trailingCapitalExpenditure,quarterlyCashAndCashEquivalents,annualPurchaseOfInvestment,trailingGrossProfit,quarterlyCapitalStock,annualEndCashPosition,trailingRepaymentOfDebt,annualNonCurrentDeferredRevenue,trailingTotalRevenue,quarterlyAccountsPayable,annualCashFlowFromContinuingFinancingActivities,trailingInterestExpense,annualCurrentLiabilities,annualDepreciationAndAmortization,quarterlyInventory,trailingCashFlowFromContinuingFinancingActivities,quarterlyNetPPE,annualPurchaseOfBusiness,quarterlyCurrentDebt,annualOtherNonCashItems,quarterlyInvestmentsAndAdvances,trailingOtherNonCashItems,annualInventory,annualStockBasedCompensation,annualSaleOfInvestment,annualGrossProfit,trailingOtherIncomeExpense,quarterlyOtherCurrentLiabilities,annualOperatingCashFlow,annualNetPPE,quarterlyOtherNonCurrentAssets,trailingPurchaseOfBusiness,quarterlyAccumulatedDepreciation,trailingPretaxIncome,trailingNetIncome,annualCashCashEquivalentsAndMarketableSecurities,annualChangeInInventory,annualNonCurrentDeferredTaxesLiabilities,annualNetIncomeCommonStockholders,quarterlyGoodwill,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,annualRetainedEarnings,trailingNetOtherInvestingChanges,trailingNetIncomeCommonStockholders,annualEbitda,annualBeginningCashPosition,annualCashDividendsPaid,annualNetIncome,annualFreeCashFlow,annualCommonStockIssuance,annualOtherShortTermInvestments,annualTotalNonCurrentAssets,annualSellingGeneralAndAdministration,annualOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,trailingOperatingCashFlow,annualAccountsReceivable,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualStockholdersEquity,annualLongTermDebt,quarterlyStockholdersEquity,quarterlyOtherCurrentAssets,trailingSaleOfInvestment,annualTaxProvision,annualTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyDepreciationAndAmortization,quarterlyOtherIntangibleAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyPurchaseOfInvestment,trailingCashDividendsPaid,trailingDilutedAverageShares,quarterlyCostOfRevenue,quarterlyRepurchaseOfCapitalStock,annualResearchAndDevelopment,quarterlyStockBasedCompensation,quarterlyPurchaseOfBusiness,trailingNetOtherFinancingCharges,quarterlyNetOtherFinancingCharges,quarterlyTotalRevenue,quarterlyEbitda,trailingBasicEPS,quarterlyOtherIncomeExpense,quarterlyBasicEPS,quarterlyRepaymentOfDebt,quarterlyOperatingExpense,trailingCommonStockIssuance,quarterlyDeferredIncomeTax,annualIncomeTaxPayable,trailingChangeInAccountPayable,quarterlyOtherNonCashItems,trailingDepreciationAndAmortization,quarterlyOperatingIncome,trailingDeferredIncomeTax,quarterlyChangeInInventory,quarterlyDilutedEPS,trailingStockBasedCompensation,quarterlyNetOtherInvestingChanges,quarterlySellingGeneralAndAdministration,quarterlyResearchAndDevelopment,trailingBasicAverageShares,quarterlyPretaxIncome,trailingChangeInInventory,quarterlyChangesInAccountReceivables,trailingResearchAndDevelopment,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyIncomeTaxPayable,trailingRepurchaseOfCapitalStock,quarterlyBasicAverageShares,quarterlyChangeInWorkingCapital,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyChangeInCashSupplementalAsReported,quarterlyCashDividendsPaid,trailingChangesInAccountReceivables,quarterlyTaxProvision,trailingPurchaseOfInvestment,quarterlyOperatingCashFlow,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,quarterlySaleOfInvestment,quarterlyNetIncomeContinuousOperations,trailingDilutedEPS,annualOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyGrossProfit
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277856000,,,623625000.0,,1.766058,,,,,,316125000.0,,,,470250000.0,,,5689125000.0,,,,,,99750000.0,,,,,,,-348375000.0,,293874757.0,,,,,,64500000.0,,,,-1058625000.0,59250000.0,,,102000000.0,,1.766058,,293874757.0,,908250000.0,-1440000000.0,994125000.0,-106125000.0,,,-2266125000.0,,,,6783000000.0,,,-27750000.0,,,437625000.0,,,,,1602750000.0,,,1043250000.0,,,,,,31875000.0,,,,112500000.0,,1093875000.0,,,1704750000.0,,,,,,,,-28125000.0,,519000000.0,,,,,,,2053500000.0,373125000.0,-453750000.0,519000000.0,264750000.0,,,,60375000.0,,,,,,,,,,,,,,316125000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325289600,426306780.0,,1277420580.0,167223240.0,4.348096,,,,0.0,617901120.0,283454640.0,,,3198238200.0,-57365820.0,-24652189360.0,,6468089940.0,849239100.0,0.0,,,,77612580.0,1055081160.0,,,,,,209216520.0,14272840980.0,293874757.0,,,,7836995880.0,,-408309660.0,0.0,767304840.0,,-1001839680.0,367816140.0,,,7498800.0,0.0,4.348096,,293874757.0,,1887447960.0,-1517757120.0,2081666880.0,-237711960.0,247835340.0,,-1560500280.0,,,0.0,8627369400.0,,,-50616900.0,,,167223240.0,,,,,-2052421560.0,,11074602780.0,1214430660.0,,,,,,17247240.0,,,116231400.0,123730200.0,,2159279460.0,,,3263102820.0,7836995880.0,,,,,,167223240.0,-26620740.0,2662448940.0,1277795520.0,,,,-6412973760.0,,,3109377420.0,575532900.0,-1258298640.0,1277795520.0,1745345700.0,0.0,,8454897000.0,25870860.0,0.0,,,119980800.0,,,,,-4961206080.0,0.0,,,,628024500.0,9304136100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1356912000,489883950.0,,1360037970.0,127632600.0,4.626674,,,,0.0,668944980.0,-253388250.0,,,4539591270.0,-92345940.0,-27027205932.0,-5419505430.0,6255123570.0,814971690.0,0.0,,,12867243030.0,86339700.0,1280079900.0,,,,,,-159916140.0,12867243030.0,293874757.0,7760062080.0,814971690.0,8327651760.0,7760062080.0,8429007060.0,-39791340.0,0.0,116978874.0,,-1958409630.0,-295431930.0,,,54431550.0,0.0,4.626674,,293874757.0,9243978750.0,1063855260.0,-1424229660.0,1245919410.0,-176057910.0,195953580.0,,-1433239020.0,1280079900.0,127632600.0,0.0,7587382680.0,,127632600.0,-11261700.0,,0.0,127632600.0,,,,195953580.0,-159540750.0,,8327651760.0,1141560990.0,152783730.0,,7760062080.0,,,-42794460.0,668944980.0,,152783730.0,120875580.0,,1332259110.0,,116978874.0,1537222050.0,7760062080.0,0.0,,-27027205932.0,,,127632600.0,-44296020.0,2087543790.0,1359662580.0,,489883950.0,114869340.0,-5419505430.0,,,2259847800.0,167423940.0,-358497450.0,1359662580.0,112992390.0,,,8429007060.0,32658930.0,0.0,0.0,,114869340.0,1848795750.0,2087543790.0,,4539591270.0,-3621387330.0,1848795750.0,-3621387330.0,0.0,,-253388250.0,9243978750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1372550400,,,,,,,,,,,,,,,,,,,,,,,12781900000.0,,,,,,,,,,,,3386400000.0,3413800000.0,,17583700000.0,,,,,,,,,,,,,,20970100000.0,,,,,,,,,2090700000.0,,,,2090700000.0,,,,,,,,,,,,,,,15603600000.0,,500000000.0,,1961800000.0,,,,,,,2913800000.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,3500000000.0,4064900000.0,,9368100000.0,,,8188200000.0,1295700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1388448000,411458128.0,,850321770.0,393062646.0,3.280064,181326894.0,,,-2252508.0,666366950.0,-166685592.0,,,2726660934.0,108120384.0,-11117253234.0,-4673578682.0,6155353528.0,1084958020.0,241051965.0,,,4065776940.0,74708182.0,761347704.0,,,,,,51807684.0,4065776940.0,260632816.0,6258968896.0,1084958020.0,1339116006.0,6258968896.0,7012057404.0,265420526.0,-148665528.0,106243294.0,,-11130017446.0,499305940.0,,,127642120.0,0.0,3.186348,,266107651.0,8097015424.0,980216398.0,-1134513196.0,1329730556.0,-284566844.0,195217360.0,,-1347750620.0,761347704.0,393062646.0,0.0,7559792266.0,,393062646.0,-67199822.0,,0.0,393062646.0,,,,195217360.0,-913391994.0,,1339116006.0,1293690428.0,67950658.0,,6258968896.0,,181326894.0,34913874.0,666366950.0,,67950658.0,119758342.0,,1404438738.0,,106243294.0,2607653428.0,6258968896.0,241051965.0,,-11117253234.0,,,393062646.0,63445642.0,1637573316.0,848069262.0,,411458128.0,205729064.0,-4673578682.0,,,2401548946.0,127642120.0,-101738278.0,848069262.0,1473140232.0,7340548154.0,,7012057404.0,22149662.0,0.0,0.0,,205729064.0,541352756.0,1637573316.0,,2726660934.0,4029736812.0,541352756.0,4029736812.0,0.0,,150167200.0,8097015424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1404086400,,,,,,,,,,,,,,,,,,,,,,,12424900000.0,,,,,,,,,,,,2356400000.0,4393900000.0,,24415900000.0,,,,53200000.0,,,,,,,,,,26771600000.0,,,,,,,,,1256900000.0,,,,1203700000.0,,,,,,,,2953600000.0,,,,,285300000.0,,21255900000.0,,554000000.0,,2268400000.0,,,,,,,195700000.0,,,700000.0,,,,,,,,,844200000.0,95521140.0,795900000.0,,,,,,,,,,,,,,930554625.0,,,1266600000.0,3799000000.0,,8031000000.0,,,14346700000.0,18042882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1419984000,1406400000.0,,1506900000.0,562900000.0,4.643143,554200000.0,,,0.0,2489100000.0,,,,9365400000.0,110400000.0,-31700900000.0,-9897400000.0,17996600000.0,1940500000.0,711410535.915381,,,12936000000.0,595700000.0,2819100000.0,,,,,,166700000.0,12936000000.0,334868187.0,54404900000.0,1940500000.0,3570600000.0,54404900000.0,25981400000.0,-929500000.0,-703400000.0,197000000.0,57100000.0,-2296900000.0,214500000.0,,,231000000.0,806793013.824503,4.543291,736700000.0,342395687.0,27921900000.0,2335000000.0,-3250800000.0,3188200000.0,-615900000.0,542600000.0,,-4308800000.0,2819100000.0,620000000.0,0.0,21780500000.0,,562900000.0,,,0.0,562900000.0,,,,542600000.0,-673300000.0,,3570600000.0,3254700000.0,327700000.0,,22704000000.0,-415300000.0,554200000.0,-801100000.0,2489100000.0,,327700000.0,417900000.0,,3783900000.0,,197000000.0,4052600000.0,22704000000.0,711410535.915381,,-31700900000.0,,,620000000.0,-62600000.0,3869300000.0,1551500000.0,736700000.0,1406400000.0,561000000.0,-9897400000.0,,,5820700000.0,1492400000.0,,1551500000.0,801800000.0,0.0,57100000.0,25981400000.0,419100000.0,18524964.246976,806793013.824503,,561000000.0,2615800000.0,3869300000.0,,9365400000.0,14656300000.0,2615800000.0,14656300000.0,18524964.246976,,828100000.0,27921900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435622400,,,,,,,,,,,,,,,,,-3142094596.863657,,,,,,13521300000.0,,,,,,,,,,,,2284800000.0,3959800000.0,,25800200000.0,,,,0.0,,,,,,,,,,28085000000.0,,,,,,,,881281512.793406,854500000.0,,,,854500000.0,,,0.0,,,,,2861700000.0,,,,,386500000.0,,22648600000.0,,542300000.0,,2363500000.0,,,,,,,0.0,,,692995212.508854,,,,,,,,,736700000.0,381500000.0,1043800000.0,,,,,,,,,,,,,,790704507.01516,,,3174000000.0,3702100000.0,,9561500000.0,,,14563700000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451520000,1427100000.0,,538200000.0,717400000.0,1.972088,1995300000.0,,,0.0,2582700000.0,,,,7933600000.0,44800000.0,-35299300000.0,-9797800000.0,20417600000.0,2750700000.0,582609602.882708,,,13280900000.0,497300000.0,2938200000.0,,,,,,-634600000.0,13280900000.0,365353940.0,57431700000.0,2750700000.0,5347300000.0,57431700000.0,25515000000.0,154500000.0,-60200000.0,0.0,,-1572900000.0,-668000000.0,,,350200000.0,581909670.056841,1.947125,736700000.0,367625690.0,28265700000.0,915400000.0,-3344800000.0,1802500000.0,-524600000.0,508700000.0,,-3339900000.0,2938200000.0,717400000.0,0.0,22717400000.0,,717400000.0,,,0.0,717400000.0,,,,508700000.0,-20900000.0,,5347300000.0,3636600000.0,405900000.0,,22132400000.0,,1995300000.0,-424500000.0,2582700000.0,,405900000.0,274400000.0,,2299800000.0,,0.0,3515300000.0,22132400000.0,582609602.882708,,-35299300000.0,,,717400000.0,-78200000.0,3561400000.0,716900000.0,736700000.0,1427100000.0,1041800000.0,-9797800000.0,,,4902200000.0,562900000.0,,716900000.0,170500000.0,,,25515000000.0,275800000.0,0.0,581909670.056841,,1041800000.0,1808300000.0,3561400000.0,,7933600000.0,14875000000.0,1808300000.0,14875000000.0,0.0,,377200000.0,28265700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
