date,annualNetIncomeContinuousOperations,trailingNetIncomeContinuousOperations,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,annualInvestmentsAndAdvances,quarterlyAccountsPayable,annualRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,annualOperatingExpense,quarterlyGrossProfit,trailingSellingGeneralAndAdministration,annualTaxProvision,quarterlyGrossPPE,quarterlyTotalLiabilitiesNetMinorityInterest,annualCashAndCashEquivalents,annualBasicAverageShares,annualCapitalExpenditure,annualCurrentAccruedExpenses,quarterlyOtherNonCashItems,trailingChangeInAccountPayable,annualCurrentAssets,annualTotalRevenue,trailingOperatingExpense,quarterlyCashDividendsPaid,trailingChangesInAccountReceivables,annualInterestExpense,annualChangesInAccountReceivables,trailingCostOfRevenue,trailingBeginningCashPosition,quarterlyEndCashPosition,annualAccumulatedDepreciation,annualOtherShortTermInvestments,annualBasicEPS,quarterlyInvestingCashFlow,annualOtherNonCurrentAssets,annualCommonStockIssuance,quarterlyRetainedEarnings,annualNetOtherFinancingCharges,quarterlyDilutedAverageShares,annualNetIncomeCommonStockholders,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,quarterlyStockBasedCompensation,quarterlyStockholdersEquity,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCostOfRevenue,trailingNetIncome,quarterlyPurchaseOfBusiness,annualTotalAssets,quarterlyCurrentAssets,quarterlyBasicEPS,quarterlyCurrentLiabilities,trailingCommonStockIssuance,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,trailingNetIncomeCommonStockholders,annualRetainedEarnings,quarterlySellingGeneralAndAdministration,annualBeginningCashPosition,annualLongTermDebt,annualCurrentDeferredRevenue,annualCostOfRevenue,annualOtherCurrentAssets,annualCurrentDebt,quarterlyRepaymentOfDebt,annualNetIncome,quarterlyOtherCurrentAssets,annualCashDividendsPaid,annualFreeCashFlow,trailingTaxProvision,annualDilutedEPS,annualDilutedAverageShares,annualTotalNonCurrentAssets,annualSellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,annualOtherNonCashItems,annualPurchaseOfBusiness,trailingDepreciationAndAmortization,quarterlyInterestExpense,quarterlyCommonStockIssuance,annualDepreciationAndAmortization,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,trailingOtherNonCashItems,annualStockholdersEquity,trailingPurchaseOfBusiness,trailingSaleOfInvestment,quarterlyOtherIncomeExpense,annualNonCurrentDeferredTaxesLiabilities,quarterlyBasicAverageShares,trailingStockBasedCompensation,annualCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyOperatingCashFlow,annualInvestingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,annualPurchaseOfInvestment,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,annualCapitalStock,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,trailingCashDividendsPaid,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyNetPPE,annualStockBasedCompensation,annualGoodwill,annualOtherIntangibleAssets,quarterlyTaxProvision,annualSaleOfInvestment,quarterlyAccountsReceivable,annualNetPPE,annualOperatingCashFlow,annualGrossProfit,quarterlyChangeInCashSupplementalAsReported,annualCurrentLiabilities,annualOtherNonCurrentLiabilities,trailingNetOtherInvestingChanges,annualEbitda,annualRepaymentOfDebt,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,trailingChangeInWorkingCapital,quarterlyTotalNonCurrentAssets,annualCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedEPS,annualGainsLossesNotAffectingRetainedEarnings,trailingPretaxIncome,trailingInterestExpense,annualOtherCurrentLiabilities,trailingGrossProfit,annualNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingTotalRevenue,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,trailingPurchaseOfInvestment,annualEndCashPosition,annualPretaxIncome,trailingOtherIncomeExpense,annualOperatingIncome,annualNonCurrentDeferredRevenue,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,quarterlyTotalAssets,trailingCashFlowFromContinuingFinancingActivities,quarterlyOtherIntangibleAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyChangesInAccountReceivables,annualOtherIncomeExpense,trailingEndCashPosition,trailingChangeInCashSupplementalAsReported,quarterlyPurchaseOfInvestment,annualGrossPPE,quarterlySaleOfInvestment,quarterlyCapitalStock,trailingInvestingCashFlow,annualAccountsPayable,quarterlyCurrentDebt,quarterlyIncomeTaxPayable,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualChangeInInventory,trailingNetOtherFinancingCharges,annualIncomeTaxPayable,annualInventory,trailingDeferredIncomeTax,trailingResearchAndDevelopment,quarterlyDeferredIncomeTax,trailingDilutedEPS,annualResearchAndDevelopment,quarterlyInventory,trailingDilutedAverageShares,annualDeferredIncomeTax,trailingRepurchaseOfCapitalStock,trailingChangeInInventory,quarterlyChangeInInventory,trailingBasicEPS
1999-12-31,-20790600.0,492432000.0,,,,,,,-10000.0,,24974400.0,,1547954000.0,,,,203165000.0,879894.0,-42386500.0,,,37373000.0,249858600.0,37100.0,1547954000.0,,-91194000.0,3146200.0,,2755483000.0,898404000.0,,-613500.0,19808600.0,-23.68,,23331200.0,86171600.0,,0.0,,-20790600.0,,,193565500.0,,,,2636600.0,,,,,492477000.0,,319945900.0,,,,1775275000.0,214246800.0,-23938000.0,,,492477000.0,-21810300.0,,4164500.0,192763100.0,,5154800.0,26707300.0,4394600.0,,-20790600.0,,,-52294500.0,173774000.0,-23.68,879894.0,70087300.0,16728400.0,,,,1261157000.0,,,8246000.0,,,28967000.0,105699100.0,-34645000.0,20346000.0,,,,215280000.0,295178300.0,,,-86269800.0,,,,,,-22812300.0,,2021687000.0,,97239000.0,,,,-809662000.0,,,,,,,,8017800.0,,46756100.0,-9908000.0,5191900.0,,20681300.0,802400.0,117000.0,-11536500.0,,,,-298675000.0,-14877000.0,,222973600.0,,-13691400.0,666206000.0,492045000.0,12143500.0,2699605000.0,-29088800.0,199000500.0,,5455088000.0,,-2045625000.0,-33691000.0,203165000.0,,-16567000.0,-19782500.0,,,1151651000.0,,719714000.0,,,,,,1436213000.0,521729000.0,,47369600.0,,,-2203592000.0,4143200.0,,,,,,,,,,,,,,,,,,,,
2000-03-31,,,-13955400.0,135600.0,,7645200.0,,5096300.0,,,,3108400.0,,,55600100.0,235755600.0,,,,,,,,,,,,,,,,187675700.0,,,,-10942300.0,,,-39819100.0,,1311264.0,,-7768100.0,-11000.0,,,,96223500.0,,5943600.0,,193463700.0,2972800.0,,,,222691800.0,-13.76,42291900.0,,,,14174800.0,,,,10876500.0,,,,,,,,,28787400.0,,,,,,,,1159500.0,,,,7715700.0,1064000.0,,,0.0,,,,,,,1311264.0,,,55936900.0,-4176300.0,,-18008800.0,-18008800.0,-370700.0,-2249700.0,-36496600.0,,,,,,,192304200.0,33051300.0,,17063800.0,,53350400.0,,,,,,,,,,-15489300.0,,,,,,-40672900.0,203165000.0,,,109287300.0,,-13.76,,,,,,,,193619300.0,,187675700.0,,,,,,,,-18008800.0,,331979100.0,,,-15146400.0,6187300.0,,,,,-8388000.0,,19767500.0,47000.0,,,4144300.0,,,,,,,,,,,,,,,,,,,
2000-06-30,,,-24517000.0,892000.0,,-3635600.0,,8838200.0,,,,3546000.0,,,241964800.0,261863300.0,,,,,,,,,,,,,,,,148940000.0,,,,-114147200.0,,,-66630300.0,,1311264.0,,-14790700.0,0.0,,,,188608200.0,,10373400.0,,195542000.0,2654000.0,,,,190097000.0,-83.70607,66321300.0,,,,12266500.0,,,,20106000.0,,,,,,,,,28456900.0,,,,,,,,2531400.0,,,,6164000.0,97693100.0,,,-250000.0,,,,,,,320543.0,,,22633400.0,-20720500.0,,-26811000.0,-26811000.0,96132000.0,-4223700.0,-137417200.0,,,,,,,193010600.0,52796200.0,,28063000.0,,237741100.0,,,,,,,,,,-38735700.0,,,,,,-158137700.0,187675700.0,,,260374500.0,,-83.70607,,,,,,,,159313400.0,,148940000.0,,,,,,,,-26811000.0,,450471500.0,,,-50319100.0,9726300.0,,,,,-7748700.0,,18752200.0,191593100.0,,,4686900.0,,,,,,,,,,,,,,,,,,,
2000-09-30,,,-29950000.0,3933000.0,,5613400.0,,10287000.0,,,,5535000.0,,,203330000.0,288005000.0,,,,,,,,,,,,,,,,273869000.0,,,,-118479500.0,,,-98715000.0,,1425214.0,,-15928600.0,-2000.0,,,,412703000.0,,36709000.0,,197732000.0,1602000.0,,,,346256000.0,-22.364217,90273000.0,,,,-77831300.0,,,,21464000.0,,,,,,,,,30258000.0,,,,,,,,2916000.0,,,,6482000.0,250678900.0,,,250000.0,,,,,,,1425214.0,,,158488000.0,-12450200.0,,-32085000.0,-32085000.0,255858700.0,-7366000.0,4267800.0,,,,,,,194816000.0,73451000.0,,35485000.0,,195964000.0,,,,,,,,,,124929000.0,,,,,,-8182400.0,148940000.0,,,354452000.0,,-22.364217,,,,,,,,310578000.0,,273869000.0,,,,,,,,-32085000.0,,700708000.0,,,-50288000.0,14021400.0,,,,,-55113300.0,,10197300.0,77000.0,,,6535000.0,,,,,,,,,,,,,,,,,,,
2000-12-31,-119790000.0,,-38687000.0,8055000.0,,-12448000.0,,13717000.0,-28000.0,,130644000.0,9467000.0,,,425689000.0,308369000.0,174773000.0,1078629.0,-370768000.0,,,,237976000.0,13016000.0,,,,29111000.0,,,,174773000.0,-15415000.0,32437000.0,-111.182109,-58589000.0,35235000.0,348913000.0,-141600000.0,-5967000.0,,-119790000.0,-15468000.0,-15000.0,197070000.0,,,375116000.0,-2825000.0,32437000.0,,197070000.0,1412000.0,,,683485000.0,237976000.0,,111299000.0,,308369000.0,,132715000.0,,,-141600000.0,24935000.0,203165000.0,192414000.0,,10519000.0,25841000.0,4426000.0,,-119790000.0,25841000.0,,-438841000.0,,-111.182109,1078629.0,445509000.0,77490000.0,4656000.0,,,,8749000.0,-523000.0,53154000.0,,-5967000.0,,375116000.0,,,,,,,339847000.0,35235000.0,-30726000.0,-302158000.0,-42885000.0,-42885000.0,-11773000.0,-15415000.0,-201122000.0,-114968000.0,,,,77000.0,,192414000.0,93156000.0,,48154000.0,,410274000.0,,,,,102253000.0,,410274000.0,-68073000.0,23535000.0,-99096000.0,111299000.0,4656000.0,,-53955000.0,,-231848000.0,273869000.0,,,445509000.0,207210000.0,,-36431000.0,,,93156000.0,,81325000.0,-28392000.0,207210000.0,,174773000.0,,,174773000.0,,,-107109000.0,,-42885000.0,,683485000.0,,,-36431000.0,23219000.0,,,,,-43718000.0,425689000.0,53536000.0,77000.0,,13717000.0,4426000.0,,,,,,,,,,,,,,,,,,,
2001-03-31,,,-34966000.0,12613000.0,,1165000.0,,12451000.0,,,,9441000.0,,,367941000.0,410614000.0,,,,,,,,,,,,,,,,165869000.0,,,,-115180000.0,,,-183137000.0,,2390694.0,,-14460000.0,-18000.0,,,,337220000.0,,80439000.0,,326209000.0,3172000.0,,,,281349000.0,-17.252396,84405000.0,,,,-33775000.0,,,,23901000.0,,,,,,,,,28663000.0,,,,,,,,7229000.0,,,,10518000.0,1508000.0,,,0.0,,,,,,,2390694.0,,,124484000.0,-19399000.0,,-41537000.0,-41537000.0,128554000.0,-25940000.0,-34692000.0,,,,,,,318980000.0,66539000.0,,44407000.0,,342001000.0,,,,,,,,,,-8904000.0,,,,,,-54091000.0,174773000.0,,,466485000.0,,-17.252396,,,,,,,,246308000.0,,165869000.0,,,,,,,,-41537000.0,,747834000.0,,,-29403000.0,20506000.0,,,,,-72555000.0,,25842000.0,79000.0,,,5415000.0,,,,,,,,,,,,,,,,,,,
2001-06-30,,,-29944000.0,16157000.0,,-813000.0,,16236000.0,,,,-10161000.0,,,462967000.0,404406000.0,,,,,,,,,,,,,,,,124003000.0,,,,-51757000.0,,,-220994000.0,,2443591.0,,-9635000.0,0.0,,,,304382000.0,,106671000.0,25420000.0,353441000.0,26318000.0,,,,246428000.0,-15.335463,50965000.0,,,,-32315000.0,,,,19783000.0,,,,,,,,,0.0,,,,,,,,6773000.0,,,,11125000.0,2000.0,,,-395000.0,,,,,,,2443591.0,,,37117000.0,-18434000.0,,-37857000.0,-37857000.0,28387000.0,-37724000.0,-7408000.0,,,,,,,336892000.0,2309000.0,,19783000.0,,425243000.0,,,,,,6305000.0,,,,-41866000.0,,,,,,-25842000.0,165869000.0,,,462360000.0,,-15.335463,,,,,,,,230674000.0,,124003000.0,,,,,,,,-37857000.0,,708788000.0,,,-20954000.0,20309000.0,,,,,-62082000.0,,50048000.0,80000.0,,,7000000.0,,,,,,,,,,,,,,,,,,,
2001-09-30,,,-24022000.0,17178000.0,,1433000.0,,20814000.0,,,,-7419000.0,,,418344000.0,421014000.0,,,,,,,,,,,,,,,,84651000.0,,,,-24875000.0,,,-302568000.0,,2474515.0,,-6468000.0,0.0,,,,227725000.0,,81191000.0,37910000.0,308086000.0,24597000.0,,,,187003000.0,-32.907348,112928000.0,,,,4247000.0,,,,16603000.0,,,,,,,,,0.0,,,,,,,,195004000.0,,,,11305000.0,367000.0,,,-127000.0,,,,,-48565000.0,,2474515.0,,,43392000.0,-14224000.0,,-81574000.0,-81574000.0,-1807000.0,,-35060000.0,,,,,,,113082000.0,2179000.0,,16603000.0,,418344000.0,,,,,,8250000.0,,,,-39352000.0,,,,,,-49284000.0,124003000.0,,,461736000.0,,-32.907348,,,,,,,,165842000.0,,84651000.0,,,,,,,,-81574000.0,,648739000.0,,,-13624000.0,17554000.0,,,,,-41309000.0,,47247000.0,80000.0,,,52025000.0,,,,,,,,,,,,,,,,,,,
2001-12-31,-188415000.0,,-17764000.0,17466000.0,,-7194000.0,,17499000.0,-18000.0,,75221000.0,-2830000.0,,,381827000.0,371533000.0,58831000.0,2462715.0,-57791000.0,,,,103218000.0,63414000.0,,,,43810000.0,,,,58831000.0,-56601000.0,28890000.0,-76.357827,38798000.0,146610000.0,1918000.0,-330015000.0,0.0,,-188415000.0,-249000.0,0.0,308204000.0,,,203521000.0,-5409000.0,28890000.0,,308204000.0,20296000.0,,,575054000.0,103218000.0,,63329000.0,,371533000.0,,-37016000.0,,,-330015000.0,14934000.0,174773000.0,299226000.0,,94889000.0,0.0,7206000.0,,-188415000.0,0.0,,-126645000.0,,-76.357827,2462715.0,471836000.0,75221000.0,8978000.0,,,,10862000.0,41000.0,75884000.0,,522000.0,,203521000.0,,,0.0,,,,107799000.0,146610000.0,-16797000.0,-153014000.0,-27447000.0,-27447000.0,-47335000.0,-56601000.0,19369000.0,-168411000.0,6909000.0,,,80000.0,,299226000.0,38624000.0,,14934000.0,,325226000.0,,,,,172047000.0,6909000.0,325226000.0,-68854000.0,-31475000.0,-25820000.0,63329000.0,8978000.0,,-30812000.0,,2572000.0,84651000.0,,,471836000.0,87721000.0,,-10887000.0,,,38624000.0,,-98859000.0,-115942000.0,87721000.0,,58831000.0,,,58831000.0,,,-106696000.0,,-27447000.0,,575054000.0,,,-10887000.0,17515000.0,,-48565000.0,,,7535000.0,381827000.0,48910000.0,80000.0,,17499000.0,7206000.0,,,,,,,,,,,,,,,,,,,
2002-03-31,,,-16179000.0,20158000.0,,5932000.0,,18869000.0,,,,-5268000.0,,,486266000.0,326119000.0,,,,,,,,,,,,,,,,33753000.0,,,,-21578000.0,,,-343709000.0,,2660437.0,,718000.0,,,,,205568000.0,,21367000.0,,283269000.0,25426000.0,,,,74359000.0,-5.111821,42850000.0,,,,-24000000.0,,,,10911000.0,,,,,,,,,2287000.0,,,,,,,,10273000.0,,,,9670000.0,341000.0,,,-5000.0,,,,,11662000.0,,2660437.0,,,39720000.0,-2045000.0,,-13694000.0,-13694000.0,-1381000.0,-68658000.0,-2836000.0,,,,,,,272996000.0,15341000.0,,10911000.0,,417608000.0,,,,,,8067000.0,,,,-25078000.0,,,,,,-4881000.0,58831000.0,,,457328000.0,,-5.111821,,,,,,,,55120000.0,,33753000.0,,,,,,,,-13694000.0,,531687000.0,,,-8347000.0,16897000.0,,,,,-16878000.0,,22136000.0,90000.0,,,8640000.0,,,,,,,,,,,,,,,,,,,
