,trailingTaxProvision,annualNetOtherFinancingCharges,annualTaxProvision,trailingEndCashPosition,trailingTotalRevenue,trailingCostOfRevenue,annualEndCashPosition,annualCurrentDebt,trailingOperatingIncome,annualOtherCurrentAssets,annualResearchAndDevelopment,trailingNetIncomeContinuousOperations,annualAccountsPayable,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualInvestmentsAndAdvances,quarterlyRetainedEarnings,annualOperatingExpense,quarterlyCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,annualTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlyCurrentLiabilities,trailingOperatingExpense,annualFreeCashFlow,quarterlyNonCurrentDeferredRevenue,annualCostOfRevenue,annualNetIncomeContinuousOperations,annualBeginningCashPosition,annualGainsLossesNotAffectingRetainedEarnings,trailingSellingGeneralAndAdministration,annualCurrentDeferredRevenue,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualTotalAssets,quarterlyOtherCurrentAssets,annualNetIncome,trailingPretaxIncome,annualBasicAverageShares,quarterlyAccountsReceivable,annualLongTermDebt,annualCashDividendsPaid,trailingNetOtherInvestingChanges,annualCurrentAssets,annualNetIncomeCommonStockholders,annualOtherNonCurrentAssets,annualEbitda,quarterlyOtherNonCurrentLiabilities,annualSellingGeneralAndAdministration,annualSaleOfInvestment,annualCommonStockIssuance,annualOtherShortTermInvestments,trailingSaleOfInvestment,annualOtherIntangibleAssets,quarterlyInvestmentsAndAdvances,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualStockholdersEquity,trailingNetIncomeCommonStockholders,quarterlyCurrentDeferredRevenue,annualAccountsReceivable,trailingOperatingCashFlow,annualDepreciationAndAmortization,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,annualRetainedEarnings,quarterlyStockholdersEquity,annualInventory,quarterlyNetPPE,quarterlyInventory,annualCashFlowFromContinuingFinancingActivities,annualChangeInInventory,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,trailingDepreciationAndAmortization,annualOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,annualOtherNonCashItems,annualTotalNonCurrentAssets,annualCurrentLiabilities,annualOtherIncomeExpense,trailingChangeInInventory,annualNetPPE,annualGrossProfit,annualNonCurrentDeferredTaxesLiabilities,annualCashCashEquivalentsAndMarketableSecurities,trailingOtherNonCashItems,quarterlyOtherIntangibleAssets,annualDilutedEPS,annualOtherNonCurrentLiabilities,annualPurchaseOfBusiness,quarterlyAccumulatedDepreciation,annualDilutedAverageShares,quarterlyOtherNonCurrentAssets,quarterlyTotalAssets,annualGoodwill,trailingNetIncome,trailingInterestExpense,trailingPurchaseOfInvestment,annualPretaxIncome,annualNonCurrentDeferredRevenue,annualInterestExpense,quarterlyTotalNonCurrentAssets,trailingBeginningCashPosition,trailingCapitalExpenditure,annualBasicEPS,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyCapitalStock,trailingChangeInCashSupplementalAsReported,annualChangeInWorkingCapital,trailingInvestingCashFlow,annualGrossPPE,annualAccumulatedDepreciation,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingRepaymentOfDebt,trailingChangeInWorkingCapital,annualOperatingIncome,quarterlyAccountsPayable,annualCapitalStock,annualPurchaseOfInvestment,trailingResearchAndDevelopment,annualTotalRevenue,annualInvestingCashFlow,trailingGrossProfit,annualRepaymentOfDebt,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,quarterlyCostOfRevenue,annualChangesInAccountReceivables,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyFreeCashFlow,trailingBasicEPS,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,trailingChangeInAccountPayable,quarterlyPretaxIncome,trailingRepurchaseOfCapitalStock,trailingCashDividendsPaid,quarterlyInterestExpense,quarterlyResearchAndDevelopment,trailingChangesInAccountReceivables,quarterlyTaxProvision,quarterlyEbitda,trailingDilutedAverageShares,trailingCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,trailingCommonStockIssuance,quarterlyIncomeTaxPayable,annualStockBasedCompensation,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,trailingOtherIncomeExpense,quarterlyCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,trailingDeferredIncomeTax,annualIncomeTaxPayable,quarterlyCashDividendsPaid,trailingBasicAverageShares,annualDeferredIncomeTax,trailingPurchaseOfBusiness,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,trailingDilutedEPS,quarterlyOperatingExpense,quarterlyOperatingIncome,annualRepurchaseOfCapitalStock,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,trailingStockBasedCompensation,quarterlyCurrentAccruedExpenses,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009756800,,-228265000.0,207291000.0,,,,1983537000.0,42384000.0,,739189000.0,,,1779209000.0,,651187000.0,50007000.0,,10359027000.0,,,,3805980000.0,,,,216518000.0,,,557826000.0,2219203000.0,,,,-190467000.0,1983537000.0,6158637000.0,,452303000.0,,2660605882.0,,1851000.0,,,4851720000.0,452303000.0,30120000.0,843534000.0,,856244000.0,15385000.0,,1284000.0,,9226000.0,,,1778976000.0,,,,,,,,,,,17837000.0,,,,,,,,590483000.0,,,1306917000.0,3154793000.0,,,1155065000.0,,1957000.0,1984821000.0,,,0.17,647379000.0,,,2660605882.0,,,,,,,765117000.0,,,,,,0.17,,,,,,,,,,,,690778000.0,,2624087000.0,0.0,,11049805000.0,-533584000.0,,-151811000.0,,397444000.0,-235666000.0,-373965000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041292800,,-58434000.0,244243000.0,,,,2342026000.0,61614000.0,,519246000.0,,,2328662000.0,,423574000.0,24367000.0,,12698924000.0,,,,4833721000.0,,,,179567000.0,,,687304000.0,1983537000.0,,,,210528000.0,2342026000.0,7386735000.0,,572222000.0,,4249002200.0,,332426000.0,,,5801136000.0,572222000.0,99735000.0,1037754000.0,,1012848000.0,27356000.0,,10818000.0,,20710000.0,,,1873228000.0,,,,,,,,,,,17288000.0,,,,,,,,564427000.0,,,1585599000.0,4410147000.0,,,1387887000.0,,1618000.0,2352844000.0,,,0.22,89530000.0,,,4249002200.0,,,,,,,931547000.0,,,,,,0.22,,,,,,,,,,,,851487000.0,,2624087000.0,-34534000.0,,13550411000.0,-162463000.0,,-120996000.0,,392773000.0,358489000.0,-384860000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072828800,,3456837000.0,339585000.0,,,,4882817000.0,90037000.0,,1196036000.0,,,2931459000.0,,257404000.0,68992000.0,,16309199000.0,,,,4905273000.0,,,,236976000.0,,,861221000.0,2342026000.0,,,,-586150000.0,4882817000.0,11914810000.0,,705022000.0,,4147188235.0,,165858000.0,-588444000.0,,9870274000.0,705022000.0,69695000.0,1283115000.0,,1262635000.0,5415000.0,,43109000.0,,49521000.0,,,6233050000.0,,,,,,,,,,,18228000.0,,,,,,,,719281000.0,,,2044536000.0,4647869000.0,,,1590793000.0,,1603000.0,4925926000.0,,,0.17,89943000.0,0.0,,4147188235.0,,,,,,,1200806000.0,,,,,,0.17,,,,,,,,,,,,1064689000.0,,4249002000.0,-42500000.0,,17373888000.0,-1074596000.0,,-116537000.0,,519473000.0,2540791000.0,-482305000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104451200,,-29369000.0,338702000.0,,,,4722702000.0,194540000.0,,1022299000.0,,,3074557000.0,,84579000.0,240314000.0,,20706355000.0,,,,5265046000.0,,,,-3201000.0,,,980732000.0,4882817000.0,,,,236064000.0,4722702000.0,13081081000.0,,802819000.0,,4225363158.0,,13750000.0,-254940000.0,,10218297000.0,802819000.0,128125000.0,1419402000.0,,1477336000.0,43036000.0,,542000.0,,345976000.0,,,6780929000.0,,,,,,,,,,,18094000.0,,,,,,,,665604000.0,,,2862784000.0,5180467000.0,,,1896728000.0,,1526000.0,4723244000.0,,,0.19,69303000.0,-47699000.0,,4225363158.0,,,,,,,1319434000.0,,,,,,0.19,,,,,,,,,,,,1173476000.0,,4249002000.0,-167780000.0,,21879831000.0,-582363000.0,,-323175000.0,,1321900000.0,-160115000.0,-668805000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135987200,,43717000.0,376717000.0,,,,5130115000.0,71695000.0,,839992000.0,,,3619671000.0,,284984000.0,230770000.0,,27456565000.0,,,,6223111000.0,,,,637379000.0,,,827735000.0,4722702000.0,,,,196431000.0,5130115000.0,14736097000.0,,856913000.0,,4284565000.0,,9200000.0,-305928000.0,,11125330000.0,856913000.0,102898000.0,1390631000.0,,1731546000.0,0.0,,671000.0,,496714000.0,,,7319508000.0,,,,,,,,,,,22757000.0,,,,,,,,1585264000.0,,,3610767000.0,5938127000.0,12747000.0,,2525702000.0,,33508000.0,5130786000.0,,,0.2,242276000.0,-52525000.0,,4284565000.0,,,,,,,1204452000.0,,,,,,0.2,,,,,,,,,,,,1120251000.0,,4249002000.0,-20177000.0,,28576816000.0,-771895000.0,,-486081000.0,,968614000.0,407413000.0,-947885000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167523200,,-47666000.0,414989000.0,,,,4370968000.0,103233000.0,,906785000.0,,,3971768000.0,,290376000.0,676563000.0,,31383846000.0,,,,6733444000.0,,,,210316000.0,,,603424000.0,5130115000.0,,,,-303203000.0,4370968000.0,15952897000.0,,618793000.0,,4125286667.0,,9000000.0,-288932000.0,,10888163000.0,618793000.0,382663000.0,1162024000.0,,1895308000.0,,,344000.0,,720003000.0,,,7510173000.0,,,,,,,,,,,29577000.0,,,,,,,,998996000.0,,,5064734000.0,6443068000.0,22267000.0,,3042292000.0,,142904000.0,4371312000.0,,,0.15,138472000.0,-113605000.0,,4125286667.0,,,,,,,1018413000.0,,,,,,0.15,,,,,,,,,,,,837014000.0,,4249002000.0,-224000000.0,,32220860000.0,-1400783000.0,,-481438000.0,,1064303000.0,-759147000.0,-788680000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199059200,,-364187000.0,366574000.0,,,,4278182000.0,1309063000.0,,714796000.0,,,4432232000.0,,3129107000.0,2549032000.0,,371891000.0,,,,11425036000.0,,,,-394395000.0,,,879130000.0,4370968000.0,,,,260976000.0,4278182000.0,20301593000.0,,1108654000.0,,4229889474.0,,0.0,-212450000.0,,11798098000.0,803679000.0,940179000.0,38876916000.0,,,,,1257000.0,,1045056000.0,,,8876557000.0,,,,,,,,,,,27756000.0,,,,,,,,717584000.0,,,8503495000.0,8295929000.0,20270000.0,,3788723000.0,,504207000.0,4279439000.0,,,0.19,2624900000.0,-632784000.0,,4229889474.0,,,,,,,1245704000.0,,,,,,0.19,,,,,,,,,,,,38505025000.0,,4249002000.0,-550000.0,,38876916000.0,-1417563000.0,,-1122041000.0,,1169862000.0,-92786000.0,-1111979000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230681600,,-176948000.0,471806000.0,,,,4447670000.0,2101563000.0,,474465000.0,,,6227586000.0,,562801000.0,,,6269698000.0,,,,10388040000.0,,,,-440560000.0,,33951635000.0,838503000.0,4432894000.0,,,,0.0,4447670000.0,20225981000.0,,568569000.0,,4249000000.0,,315712000.0,-181093000.0,,11777779000.0,568569000.0,80007000.0,1798890000.0,,2444223000.0,61885000.0,,,,1184251000.0,,,7989332000.0,,,,,456847000.0,,,,84980000.0,,36235000.0,,,,-5120000.0,,,,1359718000.0,,346195000.0,8448202000.0,9825239000.0,,,5330998000.0,7067465000.0,140835000.0,4447670000.0,,,0.13,1380000.0,-310850000.0,,4249000000.0,,,,,,,1310309000.0,,31734000.0,,,,0.13,,,,,815757000.0,,,,,,,797767000.0,,4249002000.0,-792458000.0,,41019100000.0,-2118569000.0,,-3187742000.0,,0.0,14776000.0,-1800278000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262217600,,2507945000.0,235354000.0,,,,4196987000.0,435765000.0,,244640000.0,,,3900202000.0,,2945596000.0,,,27099904000.0,11052872000.0,10497163000.0,,10497163000.0,6328563000.0,7551567000.0,,28482000.0,,,554149000.0,3770770000.0,,,,-228031000.0,4196987000.0,21201494000.0,244640000.0,424564000.0,,4249002000.0,,2552000000.0,-35748000.0,,11052872000.0,424564000.0,61448000.0,1297581000.0,164000.0,23638182000.0,0.0,,510656000.0,,1207183000.0,,2945596000.0,8646641000.0,,,,,375487000.0,,2552000000.0,244102000.0,,8646641000.0,30420000.0,4213047000.0,30420000.0,,2669000.0,4196987000.0,435765000.0,,645749000.0,4707643000.0,-75386000.0,10148622000.0,7551567000.0,,,4213047000.0,,244102000.0,4707643000.0,,1207183000.0,0.1,164000.0,-175673000.0,-2115516000.0,4249002000.0,61448000.0,21201494000.0,,,,,789503000.0,,132591000.0,10148622000.0,,,0.1,510656000.0,0.0,4249002000.0,,548317000.0,,6328563000.0,-2115516000.0,,,,870111000.0,3900202000.0,4249002000.0,-504604000.0,,27970015000.0,-1031212000.0,,-2318025000.0,,0.0,426217000.0,-617267000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
