date,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,annualRepurchaseOfCapitalStock,trailingNetIncomeContinuousOperations,annualInvestmentsAndAdvances,quarterlyOperatingIncome,quarterlyTotalLiabilitiesNetMinorityInterest,annualDilutedAverageShares,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,annualCapitalExpenditure,trailingNetOtherFinancingCharges,quarterlyTotalRevenue,quarterlyGrossPPE,trailingSellingGeneralAndAdministration,annualOperatingExpense,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,annualCurrentAccruedExpenses,trailingBeginningCashPosition,quarterlyChangeInInventory,annualInterestExpense,trailingChangesInAccountReceivables,quarterlyInvestingCashFlow,annualTotalRevenue,quarterlyEndCashPosition,trailingResearchAndDevelopment,annualCurrentAssets,trailingCostOfRevenue,quarterlyDilutedEPS,annualChangesInAccountReceivables,quarterlyStockBasedCompensation,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,annualDilutedEPS,trailingOperatingExpense,annualOtherNonCurrentAssets,annualNetOtherFinancingCharges,annualResearchAndDevelopment,quarterlyCashDividendsPaid,annualAccumulatedDepreciation,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyEbitda,annualChangeInAccountPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualBasicAverageShares,annualTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualCommonStockIssuance,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,annualFreeCashFlow,quarterlyPretaxIncome,quarterlyOperatingExpense,trailingFreeCashFlow,quarterlyGoodwill,trailingCommonStockIssuance,quarterlyBasicAverageShares,quarterlyNetOtherInvestingChanges,quarterlyCurrentLiabilities,quarterlyCurrentDeferredRevenue,quarterlyCurrentAssets,trailingChangeInAccountPayable,trailingNetIncomeCommonStockholders,annualRetainedEarnings,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,annualCurrentDebt,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,annualTaxProvision,annualCurrentDeferredRevenue,annualTotalAssets,annualOtherCurrentAssets,annualCostOfRevenue,quarterlyOtherCurrentAssets,annualLongTermDebt,annualNetIncome,annualBeginningCashPosition,annualCashDividendsPaid,annualTotalNonCurrentAssets,trailingDepreciationAndAmortization,trailingTaxProvision,annualSellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,trailingPurchaseOfBusiness,quarterlyResearchAndDevelopment,quarterlyOtherNonCurrentAssets,annualSaleOfInvestment,annualOtherNonCashItems,annualPurchaseOfBusiness,annualStockholdersEquity,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeContinuousOperations,trailingStockBasedCompensation,annualInvestingCashFlow,annualDepreciationAndAmortization,annualChangeInInventory,quarterlyBasicEPS,quarterlyCapitalExpenditure,trailingSaleOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,trailingCashDividendsPaid,annualPurchaseOfInvestment,quarterlyLongTermDebt,annualCapitalStock,trailingNetIncome,annualGoodwill,quarterlyTaxProvision,annualStockBasedCompensation,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetPPE,quarterlyCostOfRevenue,annualNetPPE,quarterlyCurrentAccruedExpenses,annualCurrentLiabilities,annualOperatingCashFlow,quarterlyCommonStockIssuance,quarterlyAccountsReceivable,trailingNetOtherInvestingChanges,annualOtherIntangibleAssets,annualGrossProfit,quarterlyChangeInCashSupplementalAsReported,annualInventory,trailingChangeInInventory,trailingChangeInWorkingCapital,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,annualRepaymentOfDebt,annualEbitda,quarterlyCapitalStock,quarterlyFreeCashFlow,annualOtherNonCurrentLiabilities,quarterlyOtherIntangibleAssets,trailingGrossProfit,annualOtherCurrentLiabilities,annualGainsLossesNotAffectingRetainedEarnings,annualCashCashEquivalentsAndMarketableSecurities,annualChangeInCashSupplementalAsReported,trailingPretaxIncome,annualNetOtherInvestingChanges,annualPretaxIncome,trailingPurchaseOfInvestment,annualEndCashPosition,annualCashFlowFromContinuingFinancingActivities,trailingInterestExpense,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,quarterlyTotalNonCurrentAssets,trailingOtherIncomeExpense,annualNonCurrentDeferredRevenue,trailingTotalRevenue,annualBasicEPS,quarterlyPurchaseOfInvestment,trailingChangeInCashSupplementalAsReported,annualOtherIncomeExpense,annualOperatingIncome,annualGrossPPE,trailingInvestingCashFlow,quarterlySaleOfInvestment,annualAccountsPayable,quarterlyChangesInAccountReceivables,trailingCapitalExpenditure,trailingCashFlowFromContinuingFinancingActivities,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingEndCashPosition,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyDepreciationAndAmortization,quarterlyDilutedAverageShares,quarterlyInterestExpense,trailingBasicAverageShares,trailingDeferredIncomeTax,trailingRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredTaxesLiabilities,annualNonCurrentDeferredTaxesLiabilities,quarterlyOtherShortTermInvestments,trailingOtherNonCashItems,trailingDilutedEPS,trailingBasicEPS,quarterlyDeferredIncomeTax,quarterlyIncomeTaxPayable,annualOtherShortTermInvestments,annualIncomeTaxPayable,trailingDilutedAverageShares
1978-12-31,,,,2432300000.0,,,,234432000.0,,,,,,-43300000.0,,,5588300000.0,4000000.0,-1200000.0,,,787800000.0,,2000000.0,-156400000.0,,4800000.0,,1126000000.0,0.0,7927400000.0,,,,-1200000.0,,-0.0075,6714300000.0,,,,,,,,-62300000.0,,,,234432000.0,-62300000.0,,,,,0.0,,,3316100000.0,,2216700000.0,,,,,,18100000.0,2939800000.0,-82500000.0,,,,,,,,0.0,,,,3500000.0,-1200000.0,0.0,,,1189500000.0,873000000.0,,,,-331300000.0,,,,,,62300000.0,,,158800000.0,0.0,,,,,0.0,,,,,-526700000.0,,,,3008200000.0,,,,,3951600000.0,,,,,,,0.0,0.0,,,28900000.0,,4800000.0,,,-21900000.0,-123200000.0,,-1571000000.0,,800000.0,,,-65800000.0,,9983700000.0,,,,,3305300000.0,,,-241000000.0,0.0,,108600000.0,,,3269400000.0,,5500000.0,,17911100000.0,-0.0075,,19124500000.0,,800000.0,,-1238100000.0,,,,-635500000.0,16589900000.0,,19912300000.0,,,,,,,,,,,,,,,,,,,
1979-12-31,,,,,,,,230000000.0,,,,,,,,,,7000000.0,-4600000.0,,,,,2500000.0,,,4900000.0,,,0.0,,,,,-4600000.0,,-0.02,,,,,,,,,54400000.0,,,,230000000.0,54400000.0,,,,,0.0,,,,,,,,,,,,,-87100000.0,,,,,,,,112100000.0,,,,2600000.0,-4600000.0,0.0,,112100000.0,,,,,,,,,,,,57700000.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,4900000.0,,,,,,,,-2100000.0,,,51800000.0,,,,,,,,,,,0.0,,,,,,,,,,-0.02,,,,-2100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-12-31,,,,,,,,234432000.0,,,,,,,,,,27000000.0,200000.0,,,,,3600000.0,,,31000000.0,,,0.0,,,,,200000.0,,0.0025,,,,,,,,,40600000.0,,,,234432000.0,40600000.0,,,,,0.0,,,,,,,,,,,,,-86800000.0,,,,,,200000.0,,98600000.0,,,,3300000.0,200000.0,0.0,,98600000.0,,,,,,,,,,,,58000000.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,31000000.0,,,,,,,,4000000.0,,,37300000.0,,,,,,,,,400000.0,,0.0,,,,,,,,,,0.0025,,,0.0,4000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-12-31,,,,,,,,173333333.0,,,,,,,,,,12800000.0,-1300000.0,,,,,3400000.0,,,14900000.0,,,0.0,,,,,-1300000.0,,-0.0075,,,,,,,,,43100000.0,,,,173333333.0,43100000.0,,,,,0.0,,,,,,,,,,,,,-88100000.0,,,,,,,,100000000.0,,,,2800000.0,-1300000.0,0.0,,100000000.0,,,,,,,,,,,,56900000.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,14900000.0,,,,,,,,2100000.0,,,40300000.0,,,,,,,,,,,0.0,,,,,,,,,,-0.0075,,,,2100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-12-31,,,,,,,,236065574.0,,,,,,,,,,47000000.0,-36000000.0,,,,,4300000.0,,,15400000.0,,,0.0,,,,,-36000000.0,,-0.1525,,,,,,,,,56400000.0,,,,236065574.0,56400000.0,,,,,0.0,,,,,,,,,,,,,-124000000.0,,,,,,,,77400000.0,,,,12400000.0,-36000000.0,0.0,,77400000.0,,,,,,,,,,,,21000000.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,15400000.0,,,,,,,,-31600000.0,,,44000000.0,,,,,,,,,,,0.0,,,,,,,,,,-0.1525,,,,-31600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-31,,,,,,,,211428571.0,,,,,,,,,,21200000.0,-3700000.0,,,,,6900000.0,,,24400000.0,,,0.0,,,,,-3700000.0,,-0.0175,,,,,,,,,36200000.0,,,,211428571.0,36200000.0,,,,,0.0,,,,,,,,,,,,,-127800000.0,,,,,,,,53700000.0,,,,5800000.0,-3700000.0,0.0,,53700000.0,,,,,,,,,,,,17500000.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,24400000.0,,,,,,,,3200000.0,,,30400000.0,,,,,,,,,,,0.0,,,,,,,,,,-0.0175,,,,3200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-03-31,,,,,,4900000.0,,,,,,,,,4900000.0,,,,,,,,,,,,,,,,,-0.0025,,,,,,,,,,,,,,,4900000.0,,,,,,,,,,,,,,,326144000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100000.0,,,,,-0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326144000.0,,,,,,,,,,,,,,,
1984-06-30,,,,,,1600000.0,,,,,,,,,1600000.0,,,,,,,,,,,,,,,,,0.0025,,,,,,,,,,,,,,,1600000.0,,,,,,,,,,,,,,,326144000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000.0,,,,,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326144000.0,,,,,,,,,,,,,,,
1984-09-30,,,,,,1800000.0,,,,,,,,,1800000.0,,,,,,,,,,,,,,,,,-0.0025,,,,,,,,,,,,,,,1800000.0,,,,,,,,,,,,,,,326144000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100000.0,,,,,-0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326144000.0,,,,,,,,,,,,,,,
1984-12-31,,,,,,-4900000.0,150100000.0,326144000.0,,,,,,,77600000.0,68000000.0,,12300000.0,1400000.0,2700000.0,,,,5500000.0,,,85900000.0,,,88800000.0,,,,,1400000.0,,0.0075,,23800000.0,,,,-1500000.0,,,60900000.0,-4900000.0,,60900000.0,326144000.0,150100000.0,,,-124900000.0,,0.0,,,,,,,,89200000.0,,88800000.0,,,-124900000.0,,36400000.0,46600000.0,,-1500000.0,1600000.0,,186500000.0,6400000.0,70200000.0,6400000.0,56700000.0,1400000.0,0.0,,97700000.0,,,10800000.0,4200000.0,,,,23800000.0,,,,36400000.0,,1300000.0,,0.0,,,,,,,,,42600000.0,,,56700000.0,,,,,,,,,46100000.0,66500000.0,,66500000.0,,89200000.0,0.0,,,,7400000.0,15700000.0,,46100000.0,,,,,,4900000.0,,,4200000.0,7400000.0,,42600000.0,,2700000.0,,,,3000000.0,,0.0,,,186500000.0,,,97700000.0,,,,0.0075,,,5000000.0,3400000.0,68000000.0,,,,,,,2700000.0,,46600000.0,2700000.0,,,,,,,,,,,,,,,,,
