date,annualNetOtherInvestingChanges,quarterlyOtherShortTermInvestments,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyCostOfRevenue,annualTotalLiabilitiesNetMinorityInterest,trailingPretaxIncome,annualGoodwill,annualNetIncome,annualFreeCashFlow,annualCommonStockIssuance,annualRetainedEarnings,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,annualCashDividendsPaid,quarterlyLongTermDebt,annualGainsLossesNotAffectingRetainedEarnings,quarterlyFreeCashFlow,trailingChangeInWorkingCapital,annualAccountsReceivable,trailingOperatingIncome,annualPurchaseOfInvestment,trailingInvestingCashFlow,annualAccountsPayable,quarterlyOtherNonCurrentLiabilities,annualPretaxIncome,quarterlySellingGeneralAndAdministration,annualInvestingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,trailingCommonStockIssuance,quarterlyDepreciationAndAmortization,annualNonCurrentDeferredRevenue,annualTaxProvision,annualTotalAssets,trailingTaxProvision,annualEndCashPosition,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingPurchaseOfInvestment,trailingTotalRevenue,annualLongTermDebt,annualOperatingIncome,annualOtherNonCashItems,annualOtherCurrentAssets,quarterlyDilutedEPS,annualNetIncomeContinuousOperations,quarterlyCommonStockIssuance,trailingDepreciationAndAmortization,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyStockBasedCompensation,quarterlyCapitalExpenditure,quarterlyEbitda,annualNetOtherFinancingCharges,trailingNetOtherFinancingCharges,quarterlyOperatingIncome,trailingStockBasedCompensation,quarterlyTotalRevenue,quarterlyAccumulatedDepreciation,annualStockBasedCompensation,trailingOtherNonCashItems,annualCurrentDeferredRevenue,annualOperatingExpense,trailingSellingGeneralAndAdministration,annualPurchaseOfBusiness,annualCapitalStock,annualCostOfRevenue,annualTotalRevenue,quarterlyOtherNonCashItems,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,trailingCostOfRevenue,quarterlyGrossPPE,annualGrossProfit,quarterlyCurrentAssets,annualDeferredIncomeTax,quarterlyCurrentLiabilities,quarterlyRepurchaseOfCapitalStock,trailingFreeCashFlow,annualNonCurrentDeferredTaxesLiabilities,quarterlyTaxProvision,annualAccumulatedDepreciation,quarterlyRetainedEarnings,trailingCashDividendsPaid,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfBusiness,trailingNetIncome,trailingPurchaseOfBusiness,quarterlyChangeInWorkingCapital,trailingBeginningCashPosition,quarterlyDeferredIncomeTax,annualChangesInAccountReceivables,quarterlyPretaxIncome,quarterlyNetPPE,annualChangeInWorkingCapital,quarterlyOtherCurrentLiabilities,trailingOperatingExpense,trailingNetIncomeContinuousOperations,trailingNetIncomeCommonStockholders,quarterlyDilutedAverageShares,quarterlyStockholdersEquity,annualBasicEPS,annualGrossPPE,quarterlyChangesInAccountReceivables,annualChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,quarterlyNetOtherInvestingChanges,trailingChangesInAccountReceivables,quarterlyOtherIntangibleAssets,annualInterestExpense,annualRepaymentOfDebt,annualBeginningCashPosition,quarterlyOperatingExpense,trailingGrossProfit,annualOtherNonCurrentLiabilities,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,trailingOtherIncomeExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,annualCapitalExpenditure,annualBasicAverageShares,quarterlySaleOfInvestment,trailingInterestExpense,annualDilutedEPS,annualCashFlowFromContinuingFinancingActivities,trailingCashFlowFromContinuingFinancingActivities,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,annualSellingGeneralAndAdministration,annualTotalNonCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingChangeInCashSupplementalAsReported,trailingRepaymentOfDebt,quarterlyCapitalStock,annualOtherIncomeExpense,quarterlyBeginningCashPosition,annualCashAndCashEquivalents,quarterlyBasicEPS,quarterlyInterestExpense,annualCurrentLiabilities,annualStockholdersEquity,quarterlyPurchaseOfInvestment,annualDepreciationAndAmortization,trailingEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,annualDilutedAverageShares,quarterlyBasicAverageShares,quarterlyOtherNonCurrentAssets,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetOtherFinancingCharges,quarterlyOtherIncomeExpense,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,trailingOperatingCashFlow,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,quarterlyCashDividendsPaid,annualCashCashEquivalentsAndMarketableSecurities,annualOtherShortTermInvestments,annualOtherIntangibleAssets,annualOtherNonCurrentAssets,annualNetPPE,annualEbitda,annualRepurchaseOfCapitalStock,annualCurrentAssets,annualCurrentAccruedExpenses,quarterlyCurrentAccruedExpenses,trailingChangeInAccountPayable,quarterlyIncomeTaxPayable,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualChangeInInventory,annualInvestmentsAndAdvances,annualIncomeTaxPayable,annualInventory,trailingDeferredIncomeTax,annualSaleOfInvestment,trailingResearchAndDevelopment,trailingSaleOfInvestment,trailingDilutedEPS,trailingNetOtherInvestingChanges,annualResearchAndDevelopment,quarterlyInventory,annualCurrentDebt,trailingDilutedAverageShares,trailingCapitalExpenditure,quarterlyCurrentDebt,trailingRepurchaseOfCapitalStock,trailingChangeInInventory,quarterlyChangeInInventory,trailingBasicEPS
2009-12-31,500000.0,,,,,,-17300000.0,,6100000.0,3900000.0,,,,,-1000000.0,,,,-29600000.0,,67300000.0,,-775000000.0,,,10000000.0,,-20200000.0,,,401000000.0,,,3900000.0,,-5000000.0,0.0,,-12900000.0,948700000.0,,14300000.0,3900000.0,,,6100000.0,,407500000.0,,,,,2100000.0,-9100000.0,,16900000.0,,,,18500000.0,,28800000.0,106300000.0,,,31000000.0,74100000.0,,,,367600000.0,,43100000.0,,3900000.0,,,383400000.0,,,,,-202300000.0,,,-12300000.0,-1000000.0,,61000000.0,,,,,-4600000.0,,513800000.0,-12300000.0,-12000000.0,,,0.31422,,,0.0,,6100000.0,,-76300000.0,,3100000.0,-5500000.0,0.0,,581100000.0,,,,5100000.0,,-20700000.0,19413165.0,,89700000.0,0.31422,-4400000.0,385400000.0,,,,10800000.0,,,-8000000.0,-661700000.0,,-1200000.0,,,,,,,,18000000.0,54800000.0,,,19413165.0,,,,,,,,,,,383400000.0,24600000.0,,0.0,,,,,,,31100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,-11200000.0,,,,,544500000.0,,276300000.0,3500000.0,14200000.0,,,,,-3700000.0,,,,,,,,,11500000.0,,6300000.0,,-40500000.0,,,,,46600000.0,2700000.0,862300000.0,,4900000.0,,,,413600000.0,30000000.0,700000.0,,,3600000.0,,,,,,,300000.0,,,,,,,,46600000.0,53600000.0,,,,43900000.0,127500000.0,,,,,,83600000.0,,2400000.0,,,,,,,,,,,,,,,,-4300000.0,,,-1300000.0,,,,,,,0.18029,,,4900000.0,,3500000.0,,,,11500000.0,-10200000.0,0.0,,,34400000.0,,,,,-29300000.0,19413165.0,,,0.18029,1900000.0,,,,,17400000.0,845800000.0,,,,,-12200000.0,,4900000.0,,,11500000.0,317800000.0,,36200000.0,,,,19413165.0,,,,,,,,,,,,43500000.0,533000000.0,4200000.0,,4900000.0,,136200000.0,29600000.0,,54000000.0,,16500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,,,,,13700000.0,,,,,,,,,,,,,-11600000.0,,,,,,,,,5500000.0,,-100000.0,-100000.0,,12600000.0,,,,,,,,,,,,,-0.005151,,,,-1800000.0,,-21400000.0,20900000.0,,,10500000.0,,42700000.0,,,,,,,,,,,,9800000.0,-1800000.0,,,,,,,,,,300000.0,,,,,,,,-3100000.0,,0.0,,200000.0,,,,,,,19413165.0,,,,,,,,11600000.0,,,,,,18500000.0,,,,,,,,,,,,,,,,-3400000.0,,,,,,,,4900000.0,,-0.005151,8100000.0,,,,,,-100000.0,29000000.0,,19413165.0,,3100000.0,-9800000.0,2700000.0,,1600000.0,-2200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,,,,,14100000.0,,,,,,,,,,,,,7700000.0,,,,,,,,,5200000.0,,1400000.0,1400000.0,,13600000.0,,,,,,,,,,,,,0.072116,,,,-3600000.0,,-16900000.0,24200000.0,,,11000000.0,,44500000.0,,,,,,,,,,,,24600000.0,-2400000.0,,,,,,,,,,1100000.0,,,,,,,,7800000.0,,1100000.0,,2500000.0,,,,,,,19413165.0,,,,,,,,-6500000.0,,,,,,19400000.0,,,,,,,,,,,,,,,,-1100000.0,,,,,,,,3100000.0,,0.072116,8100000.0,,,,,,1400000.0,30400000.0,,19413165.0,,700000.0,-23400000.0,-2400000.0,,-2500000.0,-400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-30,,,,,15500000.0,,,,,,,,,,,,,-24200000.0,,,,,,,,,6900000.0,,500000.0,500000.0,,13800000.0,,,,,,,,,,,,,0.025756,,,,18000000.0,,-38000000.0,22900000.0,,,10300000.0,,46500000.0,,,,,,,,,,,0.0,13800000.0,300000.0,,,,,,,,,,700000.0,,,,,,,,-2200000.0,,500000.0,,1200000.0,,,,,,,19413165.0,,,,,,,,6500000.0,,,,,,20700000.0,,,,,,,,,,,,,,,,-1000000.0,,,,,,,,700000.0,,0.025756,7900000.0,,,,,,500000.0,31000000.0,,19413165.0,,1000000.0,-31500000.0,600000.0,,22600000.0,-1200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,11700000.0,,,276200000.0,14900000.0,643200000.0,,276200000.0,1500000.0,-51500000.0,,,954100000.0,954700000.0,-7800000.0,480200000.0,,-23400000.0,,,,,,22200000.0,48900000.0,3700000.0,6400000.0,-105800000.0,-300000.0,-300000.0,,15500000.0,49000000.0,2200000.0,954700000.0,,600000.0,621000000.0,,,480200000.0,44100000.0,1600000.0,0.0,,1500000.0,,,22900000.0,,-41200000.0,24100000.0,-100000.0,,11200000.0,,48000000.0,-131200000.0,,,49000000.0,79400000.0,,,,58200000.0,181700000.0,0.0,17800000.0,-400000.0,,660200000.0,123500000.0,600000.0,1600000.0,22200000.0,,,,100000.0,-131200000.0,,,49000000.0,,,,0.0,,0.0,,-200000.0,529000000.0,2500000.0,0.0,,,,,311500000.0,-0.06,660200000.0,,-4300000.0,0.0,-1200000.0,100000.0,,120700000.0,32900000.0,-23200000.0,4900000.0,21900000.0,,48900000.0,600000.0,49000000.0,,600000.0,-117500000.0,19413165.0,,,-0.06,35500000.0,,22200000.0,0.0,-17700000.0,23900000.0,954100000.0,,,,,-7500000.0,1000000.0,600000.0,,8800000.0,22200000.0,311500000.0,,55500000.0,,-3000000.0,33100000.0,19413165.0,,28200000.0,600000.0,-41100000.0,2600000.0,,44800000.0,-2600000.0,643200000.0,,,66000000.0,621000000.0,3500000.0,-4200000.0,600000.0,,120700000.0,28200000.0,529000000.0,92100000.0,,600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-31,,,,276200000.0,17300000.0,,,,,,,,984900000.0,986800000.0,,524200000.0,,-40300000.0,,,,,,,49000000.0,,7000000.0,,-700000.0,-700000.0,,16400000.0,,,,,,614600000.0,,,,,,,-0.036058,,,,41600000.0,,-52800000.0,26600000.0,,,10200000.0,,52100000.0,-142500000.0,,,,,,,,,,,12500000.0,1300000.0,,705600000.0,,1900000.0,,61800000.0,,,,600000.0,,,,,,,,-3800000.0,,-600000.0,,-100000.0,563100000.0,,0.0,,,,19413165.0,310400000.0,,,,,,,0.0,,116500000.0,,,,24600000.0,,,1900000.0,48800000.0,,1900000.0,,,,,,,,,0.0,-1600000.0,,,,,,,,600000.0,,-0.036058,10300000.0,,,,,,-700000.0,34800000.0,,19413165.0,29100000.0,1900000.0,-52800000.0,-2600000.0,,-800000.0,0.0,676400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,,,,276200000.0,18100000.0,,,,,,,,1030200000.0,1031600000.0,,561500000.0,,-32700000.0,,,,,,,50000000.0,,8500000.0,,-9900000.0,-9900000.0,,17700000.0,,,,,,650800000.0,,,,,,,-0.509963,,,,36000000.0,,-52000000.0,13000000.0,,,8500000.0,,54000000.0,-149600000.0,,,,,,,,,,,19300000.0,-500000.0,,752600000.0,,1400000.0,,80300000.0,,,,-4600000.0,,,,,,,,1000000.0,,-3900000.0,,-14500000.0,603000000.0,,0.0,,,,19413165.0,300500000.0,,,,,,,-3800000.0,,110800000.0,,,,27400000.0,,,1400000.0,51100000.0,,1400000.0,,,,,,,,,0.0,-1700000.0,,,,,,,,1900000.0,,-0.509963,9700000.0,,,,,,-9900000.0,35900000.0,,19413165.0,40200000.0,1400000.0,-55800000.0,2600000.0,,300000.0,-13300000.0,731100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-30,,,,276200000.0,20000000.0,,,,,,,,1077200000.0,1090800000.0,,612100000.0,,-30600000.0,,,,,,,49900000.0,,8300000.0,,-2900000.0,-2800000.0,,18800000.0,,,,,,752100000.0,,,,,,,-0.26,,,,48400000.0,,-41600000.0,26500000.0,,,9600000.0,,56700000.0,-162900000.0,,,,,,,,,,0.0,11000000.0,1800000.0,,807500000.0,,13600000.0,,41200000.0,,,,-700000.0,,,,52100000.0,,,,-5300000.0,,-800000.0,,-3600000.0,644600000.0,,0.0,,,,19413165.0,297500000.0,,,,,,,-16000000.0,,106700000.0,,,,27100000.0,,,3200000.0,52100000.0,,3200000.0,,,,,,,,41200000.0,0.0,-1900000.0,,,,,,,,1400000.0,,-0.26,11300000.0,,,,,,-5100000.0,36700000.0,,19413165.0,40100000.0,3200000.0,-57600000.0,-1200000.0,,132400000.0,-1900000.0,793300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,-24300000.0,,33200000.0,276200000.0,20600000.0,710800000.0,,276200000.0,-20300000.0,-183800000.0,,,1152700000.0,1210900000.0,5400000.0,525000000.0,,-80200000.0,,33200000.0,,,,29500000.0,68400000.0,-25500000.0,9800000.0,-252600000.0,-6900000.0,-6900000.0,,20500000.0,52800000.0,-5100000.0,1210900000.0,,16500000.0,678400000.0,,,525000000.0,38500000.0,300000.0,0.0,-0.355429,-20400000.0,,,98000000.0,,-81900000.0,23600000.0,-17200000.0,,7200000.0,,58000000.0,-176700000.0,,,52800000.0,106300000.0,,,493000000.0,76000000.0,220800000.0,-4800000.0,1700000.0,13300000.0,,883600000.0,144800000.0,58200000.0,-4500000.0,32400000.0,,,,-400000.0,-176700000.0,,,52800000.0,,,,-12700000.0,,800000.0,-31200000.0,-7300000.0,706900000.0,-20800000.0,0.0,,,,19413165.0,500100000.0,-1.045682,883600000.0,,15900000.0,0.0,-20300000.0,-4500000.0,,102600000.0,41800000.0,-409000000.0,600000.0,30200000.0,,68400000.0,16500000.0,52800000.0,,16500000.0,-228300000.0,19413165.0,,,-1.045682,224000000.0,,29500000.0,0.0,-403800000.0,32900000.0,1152700000.0,,,,493000000.0,-22200000.0,3200000.0,16500000.0,-0.355429,10500000.0,32400000.0,500100000.0,,73400000.0,,-6900000.0,37400000.0,19413165.0,19413165.0,67000000.0,16500000.0,-86400000.0,600000.0,,-543700000.0,-4000000.0,710800000.0,,,44500000.0,678400000.0,-600000.0,6100000.0,16500000.0,,102600000.0,67000000.0,706900000.0,89700000.0,,58200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
