,annualChangeInCashSupplementalAsReported,quarterlyNetOtherInvestingChanges,trailingChangeInCashSupplementalAsReported,quarterlyChangesInAccountReceivables,trailingNetIncomeCommonStockholders,annualGrossPPE,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,quarterlyStockholdersEquity,annualBeginningCashPosition,annualRepaymentOfDebt,annualInterestExpense,annualDilutedAverageShares,annualDilutedEPS,trailingChangesInAccountReceivables,annualOtherNonCurrentLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,annualTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,annualOtherIncomeExpense,trailingGrossProfit,quarterlySaleOfInvestment,annualCapitalExpenditure,annualSellingGeneralAndAdministration,quarterlyDilutedEPS,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,trailingInterestExpense,quarterlyCapitalStock,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyRepaymentOfDebt,annualBasicAverageShares,annualStockBasedCompensation,trailingStockBasedCompensation,annualNetOtherFinancingCharges,annualCashFlowFromContinuingFinancingActivities,quarterlyTotalRevenue,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,trailingNetOtherFinancingCharges,quarterlyEbitda,trailingTaxProvision,trailingDepreciationAndAmortization,quarterlyCashFlowFromContinuingFinancingActivities,trailingOtherNonCashItems,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,annualTotalRevenue,annualCurrentDeferredRevenue,annualCurrentDebt,annualCostOfRevenue,annualCapitalStock,quarterlyCurrentAssets,quarterlyPretaxIncome,annualGrossProfit,quarterlyRepurchaseOfCapitalStock,annualOperatingExpense,quarterlyPurchaseOfBusiness,trailingFreeCashFlow,quarterlyGrossPPE,quarterlyCurrentLiabilities,trailingSellingGeneralAndAdministration,quarterlyOperatingCashFlow,annualTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,annualAccumulatedDepreciation,trailingNetIncomeContinuousOperations,annualChangeInWorkingCapital,trailingCostOfRevenue,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyBasicAverageShares,quarterlyChangeInCashSupplementalAsReported,quarterlyCommonStockIssuance,trailingCashDividendsPaid,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,trailingOperatingExpense,quarterlyTaxProvision,trailingBeginningCashPosition,trailingPurchaseOfBusiness,quarterlyNonCurrentDeferredRevenue,quarterlyNetPPE,annualChangesInAccountReceivables,annualRetainedEarnings,quarterlyTotalNonCurrentAssets,trailingNetIncome,annualTotalAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyBasicEPS,trailingPretaxIncome,annualNetOtherInvestingChanges,annualAccountsReceivable,annualPretaxIncome,quarterlyFreeCashFlow,annualPurchaseOfInvestment,quarterlyLongTermDebt,annualNetIncome,trailingChangeInWorkingCapital,quarterlyTotalAssets,annualCashDividendsPaid,annualFreeCashFlow,trailingCommonStockIssuance,annualAccountsPayable,trailingInvestingCashFlow,quarterlyDepreciationAndAmortization,annualInvestingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,annualLongTermDebt,quarterlyOtherNonCurrentLiabilities,annualStockholdersEquity,trailingPurchaseOfInvestment,annualOtherCurrentAssets,annualOtherNonCashItems,annualEndCashPosition,annualOperatingIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualNonCurrentDeferredRevenue,trailingTotalRevenue,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyInvestingCashFlow,trailingEndCashPosition,annualDepreciationAndAmortization,annualTaxProvision,annualCashAndCashEquivalents,annualBasicEPS,annualCurrentLiabilities,trailingCashFlowFromContinuingFinancingActivities,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,trailingOperatingCashFlow,quarterlyCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,annualInvestmentsAndAdvances,trailingOtherIncomeExpense,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeCommonStockholders,quarterlyDilutedAverageShares,trailingOperatingIncome,quarterlyNetOtherFinancingCharges,quarterlyOperatingExpense,quarterlyGrossProfit,annualOtherIntangibleAssets,annualOtherNonCurrentAssets,annualCommonStockIssuance,quarterlyCashDividendsPaid,annualNetPPE,annualSaleOfInvestment,annualCashCashEquivalentsAndMarketableSecurities,annualGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,annualOperatingCashFlow,quarterlyOtherNonCurrentAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCurrentAssets,annualEbitda,trailingNetOtherInvestingChanges,annualRepurchaseOfCapitalStock,annualChangeInInventory,annualGoodwill,trailingDilutedAverageShares,annualResearchAndDevelopment,trailingBasicEPS,quarterlyDeferredIncomeTax,annualIncomeTaxPayable,trailingChangeInAccountPayable,annualDeferredIncomeTax,trailingDeferredIncomeTax,quarterlyGoodwill,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,trailingBasicAverageShares,quarterlyCurrentDebt,trailingChangeInInventory,trailingResearchAndDevelopment,trailingCapitalExpenditure,annualOtherShortTermInvestments,quarterlyNonCurrentDeferredTaxesLiabilities,trailingSaleOfInvestment,annualCurrentAccruedExpenses,quarterlyIncomeTaxPayable,trailingRepurchaseOfCapitalStock,annualInventory,quarterlyInventory,trailingRepaymentOfDebt,annualNonCurrentDeferredTaxesLiabilities,quarterlyCurrentAccruedExpenses,trailingDilutedEPS,quarterlyOtherShortTermInvestments
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088553600,,,,,,,,,,,,,,,,,,,,,,,,,-0.04,,,,,,,,,,,,,,0.0,,,,,-1549181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1549181.0,,24397524.0,,,,,,,,,,,,,,,,,,,-0.04,,,,,,,,,,,,,,,,,,-1069892.0,-1069892.0,1212457.0,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,-1069892.0,24399813.0,,,1549181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096502400,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.1,,,210502151.0,,,,,0.0,,,,,,5039072.0,,-121359776.0,,,3397681.0,,,-225738.0,,,,,,,,,,,,,,,,,,,3818655.0,,0.0,,,,,2464917.0,,26082862.0,-160083938.0,-35493.0,,1374637.0,,,,,,,,,,,,,,,0.1,,,,,-117541121.0,,,,,,,,,,,932764.0,,2628938.0,2628938.0,1631600.0,,,,,,,,,,,,50418213.0,0.0,-163676855.0,,,,,,,,-42317079.0,24547.0,,,,,,,,2628938.0,26085312.0,,-190245.0,2574155.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104451200,97443677.0,-23151797.0,,,,151523580.0,4576349.0,,231728444.0,100000.0,-300000.0,32769.0,19312634.0,0.24,,,,,,,,,-128131582.0,5057284.0,,97543677.0,97543677.0,50418213.0,,26083.0,,,0.0,19310833.0,,,-3869767.0,283125421.0,5854387.0,-1311757.0,14792981.0,,,3831606.0,,,49712192.0,,,4576349.0,10893459.0,,,,26083.0,,,,,7214601.0,,,151523580.0,,,7772272.0,73777619.0,-1181880.0,-1311757.0,,6124585.0,,3248624.0,,,47125464.0,0.0,,4860143.0,-1924329.0,,,,,3578229.0,150211823.0,-729545.0,-1924329.0,,,306506063.0,,,,,-23151797.0,,,22565253.0,,56000000.0,4576349.0,,306506063.0,-2608286.0,-118212684.0,,,,582982.0,-195600642.0,3511027.0,3511027.0,1727725.0,56000000.0,,231728444.0,,,-2299566.0,97543677.0,3678858.0,,3578229.0,,97543677.0,,-10359000.0,,1517530.0,,97543677.0,0.24,,,,0.0,,,73777619.0,,,,,3511027.0,,,-3679522.0,2605763.0,,,,233703474.0,-2608286.0,150211823.0,,97543677.0,,6854130.0,9918898.0,,,,5196388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112227200,,7725958.0,,-1165958.0,,,,,232494263.0,,,,,,,,,,,,,,,,0.14,,,97543677.0,,26083.0,,,-858333.0,,,,,,6864300.0,,-40455029.0,,,8777170.0,,,15594813.0,,,,,,,,,,,,,,,,,,,1643836.0,,323190.0,,,,,7759268.0,,26099195.0,-15490422.0,,,-3257190.0,-1233510.0,,,,,,189808747.0,,,,,,,,0.14,,,,,-38811193.0,,74141667.0,,,326304079.0,,,,,,1017902.0,,3559934.0,3559934.0,1698249.0,,,,,,,,,,,,82053255.0,,-32729071.0,,,,,,,,,711149.0,,,92047316.0,,,-462637.0,,3559934.0,26103259.0,,322261.0,-894968.0,,,,,-2869115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120089600,,0.0,,-698314.0,,,,,232660462.0,,,,,,,,,,,,,,,,0.17,34357866.0,34357866.0,82053255.0,,26083.0,,,-937500.0,,,,,,7241777.0,-3294873.0,-42601912.0,,,5826710.0,,,-1983440.0,,,,,,,,,,,,,,,,238151964.0,,,1824735.0,,-3107931.0,,,,,4852714.0,,26096021.0,-47695389.0,,,-765459.0,-1043786.0,,,,,6418038.0,234857091.0,,,,,,,,0.17,,,,,-40777177.0,,73204167.0,,,333744392.0,,,,,,868552.0,,4379811.0,4379811.0,1415067.0,,,,,,,,,,,,34357866.0,0.0,-47536684.0,,,,,,,,,831117.0,,,98946430.0,,,-1695740.0,,4379811.0,26110119.0,,-1045939.0,2389063.0,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128038400,,0.0,,-119593.0,,,,,357321842.0,,,,,,,,,,,,,,,,0.14,100826702.0,100826702.0,34357866.0,,39293.0,,,-32837500.0,,,,,,8204941.0,-3969062.0,-27426626.0,,,5705851.0,,,81270028.0,,,,,,,,,,,,,,,,265610101.0,,,12625434.0,,-454990.0,,,,,4488174.0,,37606480.0,66468836.0,126299359.0,,6368688.0,-2584400.0,,,,,8465676.0,261641039.0,,,,,,,,0.14,,,,,-14801192.0,,40366667.0,,,431592587.0,,,,,,1217677.0,,5256091.0,5256091.0,1990971.0,,,,,,,,,,,,100826702.0,0.0,-27426626.0,,,,,,,,0.0,0.0,,,72133245.0,,,6488281.0,,5256091.0,37654576.0,,1739075.0,3716767.0,,,,,-13855906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135987200,-38427845.0,-78613843.0,,-815337.0,,376479780.0,19640347.0,,356277142.0,97543677.0,-60645833.0,1542266.0,32370089.0,0.61,,,,,,,,,-97813601.0,8016992.0,,59115832.0,59115832.0,100826702.0,,39345.0,,,-26012500.0,32343019.0,,,-398842.0,151971555.0,9621953.0,-5260219.0,12669966.0,,,7363191.0,,,57090154.0,,,19640347.0,31549199.0,,,,39345.0,,,,0.0,12421353.0,,,376479780.0,,,8207259.0,142722538.0,-1095189.0,-5260219.0,,3495913.0,,5899647.0,,,-41710870.0,-952057.0,,1149874.0,-3350565.0,,,,,10922317.0,371219561.0,-2799202.0,-3350565.0,,,501173546.0,,,,,-70887885.0,,,20877225.0,-45999178.0,100484520.0,19640347.0,,501173546.0,-16730414.0,-73512337.0,,,,1463544.0,-214700664.0,6444511.0,6444511.0,2907138.0,100484520.0,,356277142.0,,,-4334920.0,59115832.0,19127846.0,,10922317.0,,59115832.0,,-107008283.0,,4567675.0,,59115832.0,0.61,,,-41064406.0,0.0,,,142722538.0,,,1965211.0,,6444511.0,,,-1414239.0,3722306.0,,,,125347302.0,-5392.0,371219561.0,,59115832.0,,6295115.0,24301264.0,,,,23695521.0,,-75000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143763200,,0.0,,-249791.0,,,,,356669059.0,,,,,,,,,,,,,,,,0.2,5424613.0,5424613.0,59115832.0,,39419.0,,,-29000000.0,,,,,,12692267.0,-7626698.0,-33705058.0,,,10195991.0,,,-32168039.0,,,,,,,,,,,,,,,,410805206.0,,,12491878.0,,-1101068.0,,,,,8403529.0,,39428071.0,-53691219.0,,,3575457.0,-3786234.0,,,,,12326691.0,403178508.0,,,,,,,,0.2,,,,,-21213180.0,,75511051.0,,,482907315.0,,,,,,1792462.0,,7977610.0,7977610.0,2544871.0,,,,,,,,,,,,5424613.0,0.0,-34015058.0,,,,,,,,-310000.0,537040.0,,,123999450.0,,,3825248.0,,7977610.0,39501723.0,,-24973607.0,4288738.0,,,,,-7194432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151625600,,0.0,,-808117.0,,,,,355513434.0,,,,,,,,,,,,,,,,0.2,1833614.0,1833614.0,5424613.0,,39472.0,,,0.0,,,,,,13164371.0,-9389097.0,-28023120.0,,,10384348.0,,,17529491.0,,,,,,,,,,,,,,,,437596841.0,,,8002630.0,,-584934.0,,,,,8546829.0,,39519695.0,-3590999.0,,,-1411840.0,-5934235.0,,,,,13947179.0,428207744.0,,,,,,,,0.2,,,,,-20020490.0,,101453178.0,,,510259617.0,,,,,,1837519.0,,7915071.0,7915071.0,2855142.0,,,,,,,,,,,,1833614.0,0.0,-29123120.0,,,,,,,,-1100000.0,637473.0,,,152450606.0,,,-603723.0,,7915071.0,39757723.0,,25941054.0,4617542.0,,,,,-8411563.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
