,trailingNetIncome,annualRetainedEarnings,quarterlyTotalAssets,trailingPretaxIncome,annualNetIncome,quarterlyGoodwill,annualNetOtherInvestingChanges,quarterlyLongTermDebt,quarterlyOtherShortTermInvestments,annualPurchaseOfInvestment,annualAccountsReceivable,quarterlyFreeCashFlow,quarterlyChangeInCashSupplementalAsReported,annualCashDividendsPaid,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,annualGoodwill,annualPretaxIncome,annualCommonStockIssuance,trailingSaleOfInvestment,quarterlyNetIncome,quarterlyDepreciationAndAmortization,trailingCommonStockIssuance,annualInvestingCashFlow,quarterlyNetIncomeContinuousOperations,annualOperatingIncome,trailingChangeInWorkingCapital,trailingInvestingCashFlow,annualAccountsPayable,quarterlyInvestmentsAndAdvances,trailingChangeInAccountPayable,annualOtherNonCashItems,trailingTotalRevenue,annualStockholdersEquity,quarterlySellingGeneralAndAdministration,annualLongTermDebt,annualEndCashPosition,annualDepreciationAndAmortization,annualTaxProvision,annualTotalAssets,quarterlyEndCashPosition,trailingEndCashPosition,annualCurrentAccruedExpenses,trailingCashFlowFromContinuingFinancingActivities,quarterlyPurchaseOfInvestment,annualCashAndCashEquivalents,trailingOperatingCashFlow,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyChangeInAccountPayable,annualSaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyCashDividendsPaid,annualInvestmentsAndAdvances,quarterlyInvestingCashFlow,annualOtherShortTermInvestments,quarterlyOtherIntangibleAssets,annualOtherIntangibleAssets,annualRepurchaseOfCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualOperatingCashFlow,annualGainsLossesNotAffectingRetainedEarnings,annualNetPPE,annualChangeInCashSupplementalAsReported,quarterlyNetOtherInvestingChanges,annualNetIncomeCommonStockholders,annualGrossPPE,trailingChangeInCashSupplementalAsReported,trailingNetIncomeCommonStockholders,annualBeginningCashPosition,quarterlySaleOfInvestment,annualInterestExpense,quarterlyChangesInAccountReceivables,trailingChangesInAccountReceivables,annualSellingGeneralAndAdministration,trailingRepurchaseOfCapitalStock,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingRepaymentOfDebt,quarterlyCapitalStock,annualCapitalExpenditure,quarterlyBeginningCashPosition,annualRepaymentOfDebt,quarterlyCashAndCashEquivalents,quarterlyStockholdersEquity,trailingInterestExpense,quarterlyRepaymentOfDebt,annualCashFlowFromContinuingFinancingActivities,trailingTaxProvision,quarterlyNetPPE,annualStockBasedCompensation,quarterlyTaxProvision,trailingNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,quarterlyStockBasedCompensation,annualNetIncomeContinuousOperations,quarterlyCommonStockIssuance,annualPurchaseOfBusiness,trailingDepreciationAndAmortization,annualTotalRevenue,trailingOtherNonCashItems,annualCapitalStock,annualNetOtherFinancingCharges,annualFreeCashFlow,annualAccumulatedDepreciation,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,trailingSellingGeneralAndAdministration,quarterlyOtherNonCashItems,annualChangeInWorkingCapital,trailingNetIncomeContinuousOperations,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,annualChangesInAccountReceivables,quarterlyOperatingCashFlow,trailingCashDividendsPaid,quarterlyChangeInWorkingCapital,quarterlyTotalRevenue,trailingBeginningCashPosition,trailingPurchaseOfBusiness,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,quarterlyGrossPPE,annualDilutedEPS,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherNonCurrentAssets,quarterlyTotalNonCurrentAssets,annualOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyCurrentLiabilities,annualCostOfRevenue,quarterlyGrossProfit,trailingBasicAverageShares,annualEbitda,trailingOperatingIncome,quarterlyResearchAndDevelopment,annualChangeInInventory,annualNonCurrentDeferredRevenue,quarterlyBasicAverageShares,quarterlyOperatingExpense,quarterlyDilutedEPS,quarterlyOtherNonCurrentLiabilities,annualIncomeTaxPayable,annualInventory,quarterlyOtherIncomeExpense,annualTotalNonCurrentAssets,trailingDeferredIncomeTax,annualDilutedAverageShares,trailingResearchAndDevelopment,quarterlyBasicEPS,quarterlyDeferredIncomeTax,annualCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,trailingDilutedEPS,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentAssets,quarterlyEbitda,trailingNetOtherInvestingChanges,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingOtherIncomeExpense,trailingPurchaseOfInvestment,annualResearchAndDevelopment,annualBasicEPS,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherCurrentLiabilities,quarterlyInventory,quarterlyOtherNonCurrentAssets,annualCurrentDebt,quarterlyOtherCurrentAssets,annualOtherIncomeExpense,trailingDilutedAverageShares,annualOtherNonCurrentLiabilities,annualGrossProfit,annualNonCurrentDeferredTaxesLiabilities,trailingOperatingExpense,annualCurrentDeferredRevenue,annualOtherCurrentAssets,quarterlyNonCurrentDeferredRevenue,trailingCapitalExpenditure,quarterlyDilutedAverageShares,annualBasicAverageShares,annualDeferredIncomeTax,trailingStockBasedCompensation,trailingCostOfRevenue,annualOtherCurrentLiabilities,trailingGrossProfit,trailingChangeInInventory,quarterlyChangeInInventory,annualCurrentLiabilities,trailingBasicEPS
962323200,,,1470773336.0,,,,,,,,,4811906.0,-34402.0,,6117961.0,6898611.0,,,,,3838955.0,519905.0,,,3838955.0,,,,,1450852364.0,,,,,507322.0,,,,,,121512.0,,,,-85683126.0,,,21453016.0,,2583473.0,,,3838955.0,-4864891.0,,-28267515.0,,,,,1360333690.0,,,,,,0.0,,,,,,57415611.0,,,,,,6117961.0,-35008078.0,,142080.0,,155914.0,,121512.0,110439646.0,,,,,,,,,,,,,,,,,,,,,,,2543.0,,,,,,,3838956.0,23421207.0,,4811906.0,,517819.0,4346278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970272000,,,1769414148.0,,,,,,,,,2719513.0,-8616.0,,8078937.0,10066568.0,,,,,3806097.0,826937.0,,,3806097.0,,,,,1664136333.0,,,,,526881.0,,,,,,112896.0,,,,-398401549.0,,,24779096.0,,767479.0,,,3806097.0,-4262403.0,,-180496705.0,,,,,1650706801.0,,,,,,0.0,,,,,,217904844.0,,,,,,8078937.0,-27739094.0,,142994.0,,121512.0,,112896.0,118707347.0,,,,,,,,,,,,,,,,,,,,,,,233781.0,,,,,,,3806097.0,177768576.0,,2719513.0,,-1040572.0,4332978.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978220800,,696554.0,2035028788.0,,16587288.0,,0.0,,,-952737643.0,11502482.0,2571293.0,165.0,-17455969.0,8314414.0,11502482.0,,,,,4093873.0,825205.0,,-294411186.0,4093873.0,16587288.0,,,8314414.0,1978219376.0,,,,135642386.0,670104.0,,113061.0,2646753.0,,2035028788.0,113061.0,,8314414.0,,-380224283.0,113061.0,,27376631.0,,1725290.0,,658326457.0,4093873.0,-3575214.0,1978219376.0,-98186845.0,,,,,1899386402.0,,14253427.0,-13044259.0,,41143.0,0.0,16587288.0,,,,71918.0,282037438.0,92901697.0,,,2286626.0,,8314414.0,-13044259.0,,145230.0,,112896.0,-13906889971.0,113061.0,135642386.0,,,280198902.0,,,,,,,,16587288.0,,,,18873914.0,,145230.0,7392859.0,14253427.0,,,,696554.0,,,,-2955409.0,,,4093873.0,95615717.0,,2571293.0,,-1367156.0,4763977.0,,,1899386402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985996800,,,3523081226.0,,,,,,,,,6284757.0,-69878.0,,14694685.0,22104991.0,,,,,8330273.0,2213482.0,,,8330273.0,,,,,3500609873.0,,,,,920549.0,,,,,,43183.0,,,,-1838388423.0,,,33453077.0,,0.0,,,8330273.0,-3630745.0,,-1592090610.0,,,,,3271198144.0,,,,,,0.0,,,,,,246297813.0,,,,,,14694685.0,3150882.0,,257015.0,,113061.0,,43183.0,251883082.0,,,,,,,,,,,,,,,,,,,,,,,1316389.0,,,,,,,8330273.0,1585735975.0,,6284757.0,,-3989520.0,9250822.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993859200,,,5610318419.0,,,,,,,,,18615990.0,72068.0,,18226032.0,32189910.0,,,,,18594843.0,6724307.0,,,18594843.0,,,,,5572287848.0,,,,,1392778.0,,,,,,115251.0,,,,-2148120233.0,,,45283966.0,,0.0,,,18594843.0,-7710437.0,,-1569983644.0,,,,,5160367859.0,,,,,,0.0,,,,,,578136589.0,,,,,,18226032.0,4860055.0,,446767.0,,43183.0,,115251.0,449950560.0,,,,,,,,,,,,,,,,,,,,,,,2040535.0,,,,,,,18594843.0,1551439722.0,,18615990.0,,-6221224.0,19987621.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001808000,,,6528519142.0,,,,,,,,,32104144.0,734407.0,,19784272.0,36580296.0,,,,,26345168.0,8685442.0,,,26345168.0,,,,,6428852659.0,,,,,1993431.0,,,,,,849658.0,,,,-1924645074.0,,,48620332.0,,51930.0,,,26345168.0,-17870698.0,,-1234936264.0,,,,,5846474554.0,,,,,,0.0,,,,,,689708810.0,,,,,,19784272.0,56676820.0,,597550.0,,115251.0,,849658.0,682044588.0,,,,,,,,,,,,,,,,,,,,,,,1492573.0,,,,,,,26345168.0,1203566527.0,,32104144.0,,-2187390.0,28338599.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009756800,,4603788.0,7717313899.0,,92277685.0,,0.0,,,-8194215283.0,46803644.0,42766185.0,-420411.0,-56105011.0,16043004.0,46803644.0,,,,,39007401.0,19241881.0,,-5259528831.0,39007401.0,92277685.0,,,16043004.0,7575379313.0,,1775608.0,,667357005.0,3004450.0,,429247.0,36865112.0,,7717313899.0,429247.0,,16043004.0,,-2283061553.0,429247.0,,40697929.0,,475609566.0,,2934686452.0,39007401.0,-26893131.0,7575379313.0,-862518313.0,,,,,7049956894.0,,99771076.0,38169285.0,,316186.0,0.0,92277685.0,,,,113061.0,1420543240.0,168055304.0,,,7311208.0,,16043004.0,38169285.0,,598270.0,,849658.0,-45033274527.0,429247.0,667357005.0,,,5160073941.0,,,,,,,,92277685.0,,,,99588893.0,,598270.0,475661496.0,99771076.0,,,,4603788.0,,,1330285.0,-26560864.0,,,39007401.0,819331717.0,,42766185.0,,-14162730.0,42011851.0,,,7049956894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017532800,,,10258410884.0,,,,,,,,,68429843.0,57840.0,,21456101.0,51301847.0,,,,,53042977.0,17891420.0,,,53042977.0,,,,,10206227634.0,,,,,3254907.0,,,,,,487087.0,,,,-3838615668.0,,,40011880.0,,347895822.0,,,53042977.0,-35896185.0,,-2352162640.0,,,,,9249723205.0,,,,,,1092990753.0,,,,,,393462275.0,,,,,,21456101.0,30501985.0,,828827.0,,429247.0,,487087.0,1008687679.0,,,,,,,,,,,,,,,,,,,,,,,5423890.0,,,98680.0,,,,53042977.0,2283790637.0,,68429843.0,,807011.0,56297884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025395200,,,11177513904.0,,,,,,,,,77134381.0,158601.0,,20709661.0,50852975.0,,,,,59369331.0,19796977.0,,,59369331.0,,,,,11124770611.0,,,,,3536217.0,,,,,,645688.0,,,,-2151126971.0,,,47860099.0,,-347895822.0,,,59369331.0,-52222875.0,,-871251599.0,,,,,10127883360.0,,,,,,-1092990753.0,,,,,,2372866125.0,,,,,,20709661.0,67282541.0,,829625.0,,487087.0,,645688.0,1049630544.0,,,,,,,,,,,,,,,,,,,,,,,8389719.0,,,-304859.0,,,,59369331.0,794275819.0,,77134381.0,,-384430.0,62905548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033344000,,,11619982000.0,,,,,,,,,89848776.0,1356559.0,,28035000.0,49950000.0,,,,,56668000.0,28228603.0,,,56668000.0,,,,,11489538000.0,,,,,3268000.0,,,,,,2002000.0,,,,-2021616361.0,,,54012000.0,,2249000.0,,,56668000.0,-56414940.0,,-686144761.0,,,,,10534977000.0,,,,,,0.0,,,,,,1335471600.0,,,,,,28035000.0,74382000.0,,845000.0,,645688.0,,2002000.0,1085005000.0,,,,,,,,,,,,,,,,,,,,,,,7581000.0,,,1252179.0,,,,56668000.0,597652544.0,,89848776.0,,8446419.0,59936000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
