date,annualGrossPPE,trailingChangeInCashSupplementalAsReported,trailingNetIncomeCommonStockholders,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,annualChangeInCashSupplementalAsReported,quarterlyChangesInAccountReceivables,annualOtherCurrentLiabilities,annualDilutedEPS,annualNetIncomeCommonStockholders,annualBasicAverageShares,annualInterestExpense,quarterlyOtherIntangibleAssets,annualRepaymentOfDebt,annualOtherNonCurrentLiabilities,quarterlyOperatingExpense,quarterlyChangeInInventory,annualBeginningCashPosition,trailingOtherIncomeExpense,trailingCapitalExpenditure,quarterlyCashAndCashEquivalents,annualCapitalExpenditure,quarterlyCurrentDeferredRevenue,trailingGrossProfit,quarterlyCashCashEquivalentsAndMarketableSecurities,annualBasicEPS,annualTotalNonCurrentAssets,annualSellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlySaleOfInvestment,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyCapitalStock,annualCashFlowFromContinuingFinancingActivities,trailingInterestExpense,quarterlyRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,annualOtherIncomeExpense,trailingRepaymentOfDebt,quarterlyTotalRevenue,quarterlyStockBasedCompensation,annualNetIncomeContinuousOperations,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,annualChangeInInventory,quarterlyOperatingIncome,annualNetOtherFinancingCharges,annualInventory,trailingTaxProvision,quarterlyEbitda,trailingNetOtherFinancingCharges,annualCurrentDebt,quarterlyAccumulatedDepreciation,annualOperatingExpense,annualCurrentDeferredRevenue,annualCostOfRevenue,annualTotalRevenue,annualPurchaseOfBusiness,annualCapitalStock,quarterlyOperatingCashFlow,quarterlyIncomeTaxPayable,quarterlyBasicEPS,quarterlyCurrentLiabilities,trailingSellingGeneralAndAdministration,annualResearchAndDevelopment,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,annualAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,annualGrossProfit,annualDeferredIncomeTax,trailingFreeCashFlow,trailingCashDividendsPaid,annualTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,annualNonCurrentDeferredTaxesLiabilities,quarterlyPurchaseOfBusiness,trailingNetIncome,trailingCostOfRevenue,quarterlyOtherCurrentLiabilities,trailingNetIncomeContinuousOperations,quarterlyNetPPE,annualChangeInWorkingCapital,annualDilutedAverageShares,annualChangesInAccountReceivables,quarterlyPretaxIncome,trailingOperatingExpense,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyResearchAndDevelopment,annualNetOtherInvestingChanges,trailingNetOtherInvestingChanges,quarterlyCostOfRevenue,quarterlyOtherShortTermInvestments,quarterlyBasicAverageShares,quarterlyAccountsReceivable,annualRetainedEarnings,trailingPretaxIncome,annualNetIncome,annualPretaxIncome,quarterlyTotalAssets,annualCommonStockIssuance,annualFreeCashFlow,annualAccountsReceivable,quarterlyTotalNonCurrentAssets,annualPurchaseOfInvestment,annualCashDividendsPaid,quarterlyFreeCashFlow,quarterlyLongTermDebt,trailingInvestingCashFlow,annualAccountsPayable,trailingOperatingIncome,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,annualInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualTaxProvision,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalAssets,annualEndCashPosition,trailingTotalRevenue,annualLongTermDebt,annualStockholdersEquity,annualOtherNonCashItems,annualOtherCurrentAssets,annualOperatingIncome,annualDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyCurrentDebt,annualCurrentLiabilities,annualCashAndCashEquivalents,quarterlyInterestExpense,trailingEndCashPosition,trailingCashFlowFromContinuingFinancingActivities,quarterlyChangeInAccountPayable,annualIncomeTaxPayable,quarterlyTotalLiabilitiesNetMinorityInterest,annualSaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,annualInvestmentsAndAdvances,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyDilutedEPS,quarterlyOtherIncomeExpense,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualNetPPE,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,annualOperatingCashFlow,annualOtherNonCurrentAssets,annualCashCashEquivalentsAndMarketableSecurities,annualOtherShortTermInvestments,annualOtherIntangibleAssets,annualCurrentAssets,annualEbitda,annualRepurchaseOfCapitalStock,annualCurrentAccruedExpenses,quarterlyCurrentAccruedExpenses,trailingChangeInAccountPayable,trailingOtherNonCashItems,trailingChangeInWorkingCapital,trailingBasicAverageShares,annualGoodwill,annualNonCurrentDeferredRevenue,trailingOperatingCashFlow,trailingPurchaseOfBusiness,annualStockBasedCompensation,trailingDeferredIncomeTax,trailingResearchAndDevelopment,trailingSaleOfInvestment,quarterlyCommonStockIssuance,trailingDilutedEPS,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,trailingDilutedAverageShares,trailingCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,trailingStockBasedCompensation,trailingRepurchaseOfCapitalStock,trailingDepreciationAndAmortization,trailingChangeInInventory,quarterlyGoodwill,trailingBasicEPS
1996-12-31,172100000.0,-75237000.0,-31390000.0,,,103000000.0,,10500000.0,0.105,25900000.0,246666667.0,7000000.0,,,40500000.0,,,1400000.0,40366000.0,-102860000.0,,-18100000.0,,56244000.0,,0.105,218000000.0,18100000.0,,,,,,96800000.0,38689000.0,,,,32400000.0,-156276000.0,,,25900000.0,,,300000.0,,-47100000.0,16000000.0,-2553000.0,,-9861000.0,6400000.0,,30000000.0,,58300000.0,84700000.0,,58600000.0,,,,,93300000.0,,,,,,-108700000.0,,26400000.0,,59451000.0,-30546000.0,127100000.0,,,354945000.0,,,-31390000.0,845078000.0,,-27644000.0,,1100000.0,246666667.0,,,94516000.0,,,,-8000000.0,-8005000.0,,,,,36300000.0,-30197000.0,25900000.0,30700000.0,,165300000.0,14100000.0,,,,-11200000.0,,,-110865000.0,4800000.0,-38272000.0,,,-26100000.0,,,,4800000.0,,387000000.0,104400000.0,901322000.0,64900000.0,257400000.0,-100000.0,26600000.0,-3600000.0,11900000.0,,,21700000.0,104400000.0,,279708000.0,-126683000.0,,,,,,,,,,,,,,,,,,105400000.0,63400000.0,3700000.0,,32200000.0,142300000.0,104400000.0,,12300000.0,169000000.0,8300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-03-31,,,,,271507000.0,,,,,,,,57674000.0,,,7794000.0,,,,,,,,,,,,,275636000.0,,,,,,,,209034000.0,0.0,,,16551000.0,,,,,,-2993000.0,,,,127000.0,,,-108700000.0,,,,,,,0.0,,0.0875,78924000.0,,,,178094000.0,,172153000.0,,,,,,,,,,,,,,,,,63453000.0,,,,24859000.0,,886000.0,62473000.0,,,,11750000.0,,275636000.0,,,,,,375966000.0,,,,197872000.0,,,0.0,23112000.0,,,,4674000.0,73000.0,,,23973000.0,23973000.0,,23185000.0,,,,,,,,,,,,,,,,,,,102109000.0,,23973000.0,76745000.0,,0.0,0.0,,,4801000.0,,,0.0875,38643000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269333333.0,,,,,,,,,,,,17500000.0,,,,,,17500000.0,,,,17500000.0,,,,,,,,,,,,0.0375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269333333.0,,,,,,,,,,,,,,,,,,,,,,10100000.0,10100000.0,,,,,,,,,,,,,,,,,,,,,,,10100000.0,,,,,,,,,,0.0375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269333333.0,,,,,,,,,,,,17500000.0,,,,,,17500000.0,,,,17500000.0,,,,,,,,,,,,0.0375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269333333.0,,,,,,,,,,,,,,,,,,,,,,10100000.0,10100000.0,,,,,,,,,,,,,,,,,,,,,,,10100000.0,,,,,,,,,,0.0375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31,180700000.0,,,,288700000.0,-22400000.0,,9200000.0,0.145,40200000.0,277241379.0,1700000.0,18100000.0,,0.0,,,104800000.0,,,82400000.0,-23900000.0,,,82400000.0,0.145,210800000.0,17900000.0,,,55100000.0,5700000.0,58800000.0,-14800000.0,,,7700000.0,,66300000.0,,17500000.0,,40200000.0,,,,-86900000.0,-1000000.0,16500000.0,,-86900000.0,,55900000.0,-114000000.0,50100000.0,,54300000.0,70000000.0,,58800000.0,,,,70800000.0,,,,174600000.0,,180700000.0,-114000000.0,,15700000.0,,,,93700000.0,,,,,,,,9200000.0,,66700000.0,100000.0,277241379.0,,,,,62700000.0,,-35800000.0,,,,,,62700000.0,,40200000.0,41900000.0,385400000.0,,28100000.0,,210800000.0,,-11700000.0,,22900000.0,,5700000.0,,,0.0,-59700000.0,,9900000.0,9900000.0,1700000.0,22900000.0,385400000.0,82400000.0,,22900000.0,288700000.0,-100000.0,55100000.0,-34400000.0,32200000.0,,55900000.0,70800000.0,82400000.0,,,,,,93700000.0,,9900000.0,126000000.0,,,,,16500000.0,,,,,,,22900000.0,66700000.0,7700000.0,,52000000.0,126000000.0,82400000.0,,18100000.0,174600000.0,-2200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-03-31,,,,,291543000.0,,,,,,,,55438000.0,,,7510000.0,,,,,,,,,,,,,274380000.0,,,,,,,,216461000.0,0.0,,,9287000.0,,,,,,-4484000.0,,,,-870000.0,,,-122000000.0,,,,,,,0.0,,0.0325,74986000.0,,,,176883000.0,,188822000.0,,,,,,,,,,,,,,,,,66822000.0,,,,8259000.0,,277000.0,75082000.0,,,,6261000.0,,274380000.0,,,,,,391880000.0,,,,214997000.0,,,0.0,22625000.0,,,,3896000.0,1000.0,,,7982000.0,7982000.0,,22626000.0,,,,,,,,,,,,,,,,,,,97612000.0,,7982000.0,92737000.0,,0.0,0.0,,,3026000.0,,,0.0325,10587000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246153846.0,,,,,,,,,,,,15100000.0,,,,,,15100000.0,,,,15100000.0,,,,,,,,,,,,0.0325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246153846.0,,,,,,,,,,,,,,,,,,,,,,8000000.0,8000000.0,,,,,,,,,,,,,,,,,,,,,,,8000000.0,,,,,,,,,,0.0325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246153846.0,,,,,,,,,,,,15100000.0,,,,,,15100000.0,,,,15100000.0,,,,,,,,,,,,0.0325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246153846.0,,,,,,,,,,,,,,,,,,,,,,8000000.0,8000000.0,,,,,,,,,,,,,,,,,,,,,,,8000000.0,,,,,,,,,,0.0325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31,177000000.0,,,,283800000.0,-31300000.0,,10000000.0,0.125,32000000.0,256000000.0,1800000.0,34700000.0,,0.0,,,78700000.0,,,47400000.0,-36600000.0,,,47400000.0,0.125,231100000.0,17000000.0,,,14000000.0,9700000.0,54100000.0,-53900000.0,,,10700000.0,,62800000.0,,15200000.0,,32000000.0,,,200000.0,-79300000.0,4400000.0,16000000.0,,-79300000.0,,25900000.0,-112300000.0,43900000.0,,50600000.0,60500000.0,,54100000.0,,,,45600000.0,,,,104200000.0,,177000000.0,-112300000.0,,9900000.0,,,,46300000.0,,,,,,,,10000000.0,,64700000.0,-4300000.0,256000000.0,,,,,76900000.0,,24900000.0,,,,,,76900000.0,,32000000.0,35400000.0,335300000.0,,-2300000.0,,231100000.0,,-9200000.0,,700000.0,,9700000.0,,,0.0,-11700000.0,,8000000.0,8000000.0,3400000.0,700000.0,335300000.0,47400000.0,,700000.0,283800000.0,,14000000.0,-34000000.0,25900000.0,,25900000.0,45600000.0,47400000.0,,,,,,46300000.0,,8000000.0,131700000.0,,,,,16000000.0,,,,,,,700000.0,64700000.0,10700000.0,,34300000.0,131700000.0,47400000.0,,34700000.0,104200000.0,-8100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-31,,,,,277808000.0,,,,,,,,84491000.0,,,8479000.0,,,,,,,,,,,,,252504304.0,,,,,,,,190076000.0,0.0,,,14908000.0,,,,,,-4400000.0,,,,305000.0,,,-112300000.0,,,,,,,0.0,,0.0425,29023000.0,,,,58478000.0,,174655000.0,,,,,,,,,,,,,,,,,62355000.0,,,,11741000.0,,909000.0,87732000.0,,,,10829000.0,,252504304.0,,,,,,311768000.0,,,,253290000.0,,,0.0,228000.0,,,,3774000.0,0.0,,,10832000.0,10832000.0,,228000.0,,,,,,,,,,,,,,,,,,,29251000.0,,10832000.0,106444000.0,,0.0,0.0,,,4079000.0,,,0.0425,16089000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
