,trailingNetIncome,annualGoodwill,annualTotalAssets,trailingPretaxIncome,quarterlyAccountsReceivable,quarterlyGoodwill,annualNetOtherInvestingChanges,annualRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyFreeCashFlow,annualPurchaseOfInvestment,quarterlyLongTermDebt,annualAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,trailingChangeInWorkingCapital,annualNetIncome,annualPretaxIncome,annualCashDividendsPaid,quarterlyDilutedEPS,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,annualFreeCashFlow,annualIncomeTaxPayable,trailingCommonStockIssuance,quarterlyDepreciationAndAmortization,annualInvestingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualAccountsPayable,trailingInvestingCashFlow,annualOtherNonCashItems,annualOtherCurrentAssets,trailingTotalRevenue,quarterlySellingGeneralAndAdministration,annualLongTermDebt,annualDepreciationAndAmortization,annualOperatingIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualEndCashPosition,annualDilutedAverageShares,annualStockholdersEquity,trailingCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyInventory,annualTaxProvision,trailingEndCashPosition,quarterlyBasicAverageShares,quarterlyPurchaseOfInvestment,annualCurrentAccruedExpenses,quarterlyCurrentDebt,annualCurrentLiabilities,annualCashAndCashEquivalents,quarterlyInterestExpense,quarterlyNonCurrentDeferredTaxesLiabilities,annualBasicAverageShares,quarterlyCurrentDeferredRevenue,quarterlyInvestmentsAndAdvances,trailingOperatingCashFlow,quarterlyOperatingExpense,quarterlyNetOtherFinancingCharges,quarterlyCashDividendsPaid,trailingOtherIncomeExpense,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,annualInvestmentsAndAdvances,quarterlyChangeInAccountPayable,trailingRepurchaseOfCapitalStock,annualCashCashEquivalentsAndMarketableSecurities,annualOtherShortTermInvestments,annualCommonStockIssuance,annualSaleOfInvestment,annualOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,annualNetPPE,annualGainsLossesNotAffectingRetainedEarnings,annualOperatingCashFlow,annualOtherNonCurrentAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,trailingNetOtherInvestingChanges,annualEbitda,annualCurrentAssets,annualRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,trailingChangeInCashSupplementalAsReported,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,trailingNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,annualGrossPPE,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,trailingChangesInAccountReceivables,quarterlyChangeInInventory,annualInterestExpense,quarterlyBasicEPS,quarterlyOtherIntangibleAssets,annualSellingGeneralAndAdministration,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,annualOtherIncomeExpense,quarterlySaleOfInvestment,quarterlyCapitalStock,trailingGrossProfit,annualRepaymentOfDebt,annualTotalNonCurrentAssets,trailingDeferredIncomeTax,annualCapitalExpenditure,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyStockholdersEquity,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,quarterlyRepaymentOfDebt,trailingInterestExpense,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,trailingTaxProvision,annualDilutedEPS,quarterlyTaxProvision,annualInventory,quarterlyNetPPE,annualNetOtherFinancingCharges,annualCashFlowFromContinuingFinancingActivities,trailingStockBasedCompensation,annualChangeInInventory,trailingNetOtherFinancingCharges,trailingChangeInInventory,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,annualCapitalStock,annualPurchaseOfBusiness,trailingDepreciationAndAmortization,annualNetIncomeContinuousOperations,trailingOtherNonCashItems,annualCurrentDeferredRevenue,annualCostOfRevenue,annualTotalRevenue,annualStockBasedCompensation,annualCurrentDebt,quarterlyPurchaseOfBusiness,annualAccumulatedDepreciation,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,annualOperatingExpense,quarterlyGrossPPE,trailingOperatingExpense,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,annualBasicEPS,trailingSellingGeneralAndAdministration,quarterlyOperatingCashFlow,annualDeferredIncomeTax,quarterlyDilutedAverageShares,annualGrossProfit,quarterlyOtherNonCashItems,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,annualChangeInWorkingCapital,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,trailingNetIncomeContinuousOperations,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyNonCurrentDeferredRevenue,quarterlyCurrentLiabilities,trailingCashDividendsPaid,annualNonCurrentDeferredTaxesLiabilities,annualChangesInAccountReceivables,quarterlyPretaxIncome,trailingPurchaseOfBusiness,trailingCostOfRevenue,quarterlyChangeInWorkingCapital,trailingBeginningCashPosition,quarterlyDeferredIncomeTax,trailingBasicAverageShares,annualResearchAndDevelopment,annualNonCurrentDeferredRevenue,trailingBasicEPS,trailingDilutedEPS,quarterlyResearchAndDevelopment,trailingPurchaseOfInvestment,trailingChangeInAccountPayable,trailingSaleOfInvestment,trailingResearchAndDevelopment,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575769600,,,,,,,,,,,,,,,,,,,,,0.015,,,,,,,,1100000.0,,,,,,,,,,,,,,,,,,,,,,83608000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,83608000.0,,,,,,,52000000.0,,,52000000.0,,,,,,,,,,,,,,,,,,,,,,,
583632000,,,,,,,,,,,,,,,,,,,,,0.015,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,83608000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,83608000.0,,,,,,,52000000.0,,,52000000.0,,,,,,,,,,,,,,,,,,,,,,,
591580800,,,,,,,,,,,,,,,,,,,,,0.015,,,,,,,,1100000.0,,,,,,,,,,,,,,,,,,,,,,83608000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,83608000.0,,,,,,,52000000.0,,,52000000.0,,,,,,,,,,,,,,,,,,,,,,,
599529600,,,277300000.0,,,,,-5600000.0,,1700000.0,,,24400000.0,,,,,4300000.0,6600000.0,,,227500000.0,277300000.0,0.0,,,,0.0,1100000.0,,,,,2800000.0,,,24400000.0,,8500000.0,26100000.0,0.0,71666667.0,204600000.0,,,,,2000000.0,2300000.0,,,,,19700000.0,46600000.0,15500000.0,,,71666667.0,,,,,,,,,,,,,15500000.0,,,,2000000.0,4800000.0,72700000.0,220700000.0,,0.0,4800000.0,26100000.0,,,18300000.0,49800000.0,,,,,4300000.0,26900000.0,,,231900000.0,1700000.0,0.0,,,2900000.0,,2000000.0,53300000.0,,,900000.0,,,,,227500000.0,,,15500000.0,204600000.0,15500000.0,,,,,,,2800000.0,,0.06,,2000000.0,220700000.0,,,,,,,-147400000.0,,-11200000.0,,,,,4300000.0,,,136300000.0,207900000.0,,19700000.0,,-11200000.0,49800000.0,-5600000.0,,63100000.0,231900000.0,,72700000.0,,0.06,,,,,71600000.0,,,,,,-147400000.0,26900000.0,,52000000.0,,,46600000.0,,,,,,,,,,,,,,,,,,,,
607305600,,,,,,,,,,,,,,,,,,,,,0.095,,,,,,,,8000000.0,,,,,,,,,,,,,,,,,,,,,,83608000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,83608000.0,,,,,,,50400000.0,,,50400000.0,,,,,,,,,,,,,,,,,,,,,,,
615168000,,,,,,,,,,1400000.0,,,400000.0,,,39100000.0,,,,,0.225,147300000.0,256800000.0,,,,,,18800000.0,18800000.0,,,,,,10600000.0,,,,3200000.0,,,,,,27900000.0,,1600000.0,,,83555556.0,,,300000.0,,,200000.0,1400000.0,,,,,12900000.0,,,,18800000.0,,,,,,,,,,3800000.0,27200000.0,,,,,,,,,,,,,,,,,,,,,,,,0.225,1700000.0,,,14200000.0,,,,,,,,,81400000.0,229600000.0,81400000.0,,,,,,2100000.0,2500000.0,,,10100000.0,,141800000.0,,,,,,,3600000.0,,-11200000.0,,,,,,,,,,,,,,109500000.0,19500000.0,,,153000000.0,,,,,,,,83555556.0,,,,,,,1300000.0,21600000.0,,53300000.0,,,24000000.0,,,,28900000.0,,,,,,,,,,,,,,,,
623116800,,,,,,,,,-7200000.0,1400000.0,-7300000.0,,300000.0,,,34700000.0,,,,,0.01,150500000.0,255400000.0,,,,2600000.0,,900000.0,900000.0,,,,,,6800000.0,,,,3300000.0,,,,,-4700000.0,1900000.0,0.0,1400000.0,,,90000000.0,,,300000.0,,,100000.0,1600000.0,,,,,8800000.0,0.0,,,900000.0,,,,,,,,,,3200000.0,24900000.0,,,,,,,,,,,,200000.0,,,,,,,,,,100000.0,,0.01,1700000.0,,,8400000.0,,,,,,,,,74100000.0,230500000.0,74100000.0,,0.0,,,,2900000.0,2700000.0,,,500000.0,,145600000.0,,,,,,,2200000.0,,-11200000.0,-4900000.0,,,,,,,,,,,,,104900000.0,20400000.0,,,156800000.0,,,,,,-2400000.0,,90000000.0,,100000.0,0.0,,,,-400000.0,18400000.0,,43100000.0,,,21600000.0,,,,1400000.0,,,-9000000.0,,200000.0,,,,,,,,,,,
631065600,,,292400000.0,,,,-11000000.0,21800000.0,24000000.0,1400000.0,2200000.0,,200000.0,,,33000000.0,,25600000.0,39700000.0,,,162400000.0,292400000.0,-7200000.0,,,2600000.0,80600000.0,1500000.0,1500000.0,4500000.0,,-24700000.0,2600000.0,,8100000.0,200000.0,11700000.0,9200000.0,4200000.0,0.0,83934426.0,265100000.0,,-17200000.0,1200000.0,0.0,1700000.0,14100000.0,,,,,300000.0,23100000.0,98100000.0,-100000.0,2600000.0,83934426.0,,,,10700000.0,33100000.0,,,1500000.0,,,,,98100000.0,,33100000.0,,1600000.0,13200000.0,27300000.0,147600000.0,,12500000.0,13200000.0,4200000.0,,,20900000.0,130000000.0,,,-11300000.0,,25600000.0,18300000.0,,82700000.0,163600000.0,1400000.0,15500000.0,,-200000.0,600000.0,,1600000.0,37700000.0,,11900000.0,31100000.0,,,,,162400000.0,,-19700000.0,98100000.0,265100000.0,98100000.0,,0.0,,,,4500000.0,2600000.0,,0.305,1100000.0,1700000.0,147600000.0,0.0,-10400000.0,,100000.0,,,3800000.0,,-16000000.0,-5900000.0,,,,25600000.0,,,154400000.0,213000000.0,,300000.0,,-16000000.0,130000000.0,21800000.0,,49400000.0,163600000.0,,27300000.0,,0.305,,8100000.0,2600000.0,,58600000.0,-200000.0,33000000.0,,,-14600000.0,1200000.0,18300000.0,,44900000.0,,,23100000.0,,2600000.0,,2600000.0,,,1200000.0,,1000000.0,,,,,,,,,,,
638841600,,,,,,,,,-89200000.0,1200000.0,-157000000.0,,27100000.0,,,39900000.0,,,,,-0.015,307300000.0,349000000.0,,,,3400000.0,,-1600000.0,-1600000.0,,,,,,10700000.0,,,,30000000.0,,,,,-148300000.0,900000.0,0.0,1700000.0,,,106666667.0,,,500000.0,,,100000.0,1700000.0,,,,,14100000.0,0.0,,,-1600000.0,,,,,,,,,,5600000.0,50500000.0,,,,,,,,,,,,5700000.0,,,,,,,,,,,,-0.015,1600000.0,,,10700000.0,,,,,,,,,9000000.0,298500000.0,9000000.0,,98100000.0,,,,4600000.0,4200000.0,,,-900000.0,,300100000.0,,,,,,,0.0,,-16000000.0,-154000000.0,,,,,,,,,,,,,41700000.0,20200000.0,,,316100000.0,,,,,,-3000000.0,,106666667.0,,-100000.0,62200000.0,,35100000.0,,-3400000.0,15400000.0,,50600000.0,,,20500000.0,,,,-2500000.0,,,-7600000.0,,-900000.0,,,,,,,,,,,
